dit	這	dit	這	PRO;NOM;SG;3	PRO
gebore	出生	gebore	出生	V;PRS	V
provinsie	省	provinsie	省	N;SG	N
provinsie	省省	provinsie	省省	N;SG	N
provinsie	省份	provinsie	省份	N;SG	N
provinsie	郡	provinsie	郡	N;SG	N
provinsie	縣	provinsie	縣	N;SG	N
provinsie	國家	provinsie	國家	N;SG	N
provinsie	州	provinsie	州	N;SG	N
universiteit	大學	universiteit	大學	N;SG	N
beskou	考慮	beskou	考慮	V;PRS	V
lewe	生命	lewe	生命	N;SG	N
lewe	人生	lewe	人生	N;SG	N
vier	慶祝	vier	慶祝	V;PRS	V
vier	慶祝	vier	慶祝	V;PRS	V
dood	死神	dood	死神	N;SG	N
dood	死	dood	死	N;SG	N
dieselfde	相同	dieselfde	相同	ADJ;NOM	ADJ
wêreld	世界	wêreld	世界	N;SG	N
miljoen	百萬	miljoen	百萬	NUM	NUM
aantal	數量	aantal	數量	N;SG	N
aantal	量	aantal	量	N;SG	N
dikwels	時常	dikwels	時常	ADV	ADV
dikwels	常常	dikwels	常常	ADV	ADV
dikwels	經常	dikwels	經常	ADV	ADV
voëls	鳥類	voël	鳥類	N;PL	N
voëls	鳥	voël	鳥	N;PL	N
voëls	鳥兒	voël	鳥兒	N;PL	N
eers	首先	eers	首先		
steeds	仍然	steeds	仍然	ADV	ADV
steeds	依然	steeds	依然	ADV	ADV
groep	群組	groep	群組	N;SG	N
groep	群	groep	群	N;SG	N
stel	設	stel	設	V;PRS	V
stel	設定	stel	設定	V;PRS	V
sluit	退出	sluit	退出	V;PRS	V
sluit	關閉	sluit	關閉	V;PRS	V
hoofstad	資本	hoofstad	資本	N;SG	N
hoofstad	首都	hoofstad	首都	N;SG	N
state	國家	staat	國家	N;PL	N
water	水	water	水	N;SG	N
einde	終	einde	終	N;SG	N
einde	結尾	einde	結尾	N;SG	N
regering	政府	regering	政府	N;SG	N
dae	日子	dag	日子	N;PL	N
dae	天數	dag	天數	N;PL	N
oorlog	戰	oorlog	戰	N;SG	N
oorlog	戰爭	oorlog	戰爭	N;SG	N
besluit	決定	besluit	決定	V;PRS	V
besluit	決定	besluit	決定	V;PRS	V
ryk	富	ryk	富		
geskiedenis	歷史	geskiedenis	歷史	N;SG	N
vis	魚類	vis	魚類	N;SG	N
vis	魚	vis	魚	N;SG	N
vis	魚兒	vis	魚兒	N;SG	N
lande	國家	land	國家	N;PL	N
lande	各國	land	各國	N;PL	N
seun	男孩	seun	男孩	N;SG	N
seun	兒子	seun	兒子	N;SG	N
verskillende	不同	verskil	不同	ADJ;NOM	ADJ
belangrike	重要	belangrik	重要	ADJ;NOM	ADJ
kinders	小孩	kind	小孩	N;PL	N
kinders	兒童	kind	兒童	N;PL	N
vertaal	翻譯	vertaal	翻譯	V;PRS	V
munisipaliteit	市	munisipaliteit	市	N;SG	N
republiek	共和	republiek	共和	N;SG	N
republiek	共和	republiek	共和	N;SG	N
plek	地點	plek	地點	N;SG	N
plek	場地	plek	場地	N;SG	N
plek	會場	plek	會場	N;SG	N
plek	地方	plek	地方	N;SG	N
plek	地點	plek	地點	N;SG	N
selfs	甚至	selfs	甚至	ADV	ADV
tydperk	期限	tydperk	期限	N;SG	N
maande	月	maand	月	N;PL	N
maande	月份	maand	月份	N;PL	N
skool	學校	skool	學校	N;SG	N
familie	家人	familie	家人	N;SG	N
familie	家屬	familie	家屬	N;SG	N
familie	家庭	familie	家庭	N;SG	N
voorkom	防止	voorkom	防止	V;PRS	V
eiland	海島	eiland	海島	N;SG	N
eiland	島嶼	eiland	島嶼	N;SG	N
volg	追蹤	volg	追蹤	V;PRS	V
volg	跟	volg	跟	V;PRS	V
vyf	五	vyf	五	NUM	NUM
vyf	五	vyf	五	NUM	NUM
ontwerp	設計	ontwerp	設計	V;PRS	V
aarde	大地	aarde	大地	N;SG	N
kry	獲取	kry	獲取	V;PRS	V
kry	獲得	kry	獲得	V;PRS	V
kry	得到	kry	得到	V;PRS	V
rol	作用	rol	作用	N;SG	N
rol	角色	rol	角色	N;SG	N
rol	捲	rol	捲	N;SG	N
rol	卷	rol	卷	N;SG	N
vrou	女人	vrou	女人	N;SG	N
vrou	女	vrou	女	N;SG	N
vrou	女子	vrou	女子	N;SG	N
vrou	妻子	vrou	妻子	N;SG	N
gebiede	領土	gebied	領土	N;PL	N
gebiede	地區	gebied	地區	N;PL	N
dag	白天	dag	白天	N;SG	N
moderne	現代	modern	現代	N;SG	N
moderne	近代	modern	近代	N;SG	N
moderne	現代	modern	現代	N;SG	N
woord	詞	woord	詞	N;SG	N
woord	單詞	woord	單詞	N;SG	N
woord	字	woord	字	N;SG	N
woord	單字	woord	單字	N;SG	N
president	總統	president	總統	N;SG	N
president	主席	president	主席	N;SG	N
koninkryk	王國	koninkryk	王國	N;SG	N
koninkryk	國度	koninkryk	國度	N;SG	N
tale	語言	taal	語言	N;PL	N
tale	語文	taal	語文	N;PL	N
ontvang	接收	ontvang	接收	V;PRS	V
ontvang	接收	ontvang	接收	V;PRS	V
webwerf	網站	webwerf	網站	N;SG	N
webwerf	網頁	webwerf	網頁	N;SG	N
staat	國家	staat	國家	N;SG	N
staat	州	staat	州	N;SG	N
daardie	那些	daardie	那些	DET	DET
aanvaar	接受	aanvaar	接受	V;PRS	V
aanvaar	接受	aanvaar	接受	V;PRS	V
geskryf	書寫	skryf	書寫	V;PST;V.PTCP	V
geskryf	撰寫	skryf	撰寫	V;PST;V.PTCP	V
bevat	含有	bevat	含有	V;PRS	V
bevat	包含	bevat	包含	V;PRS	V
skrywer	作家	skrywer	作家	N;SG	N
skrywer	作者	skrywer	作者	N;SG	N
skrywer	編劇	skrywer	編劇	N;SG	N
skrywer	作者	skrywer	作者	N;SG	N
verander	取消	verander	取消	V;PRS	V
verander	變更	verander	變更	V;PRS	V
verander	變動	verander	變動	V;PRS	V
verander	變化	verander	變化	V;PRS	V
verander	變更	verander	變更	V;PRS	V
verander	修改	verander	修改	V;PRS	V
verander	改變	verander	改變	V;PRS	V
verander	變更	verander	變更	V;PRS	V
verander	變	verander	變	V;PRS	V
inwoners	居民	inwoner	居民	N;PL	N
man	丈夫	man	丈夫	N;SG	N
man	人	man	人	N;SG	N
man	男人	man	男人	N;SG	N
huis	家	huis	家	N;SG	N
huis	住家	huis	住家	N;SG	N
huis	屋	huis	屋	N;SG	N
huis	房屋	huis	房屋	N;SG	N
huis	房子	huis	房子	N;SG	N
besoek	參觀	besoek	參觀	V;PRS	V
besoek	訪問	besoek	訪問	V;PRS	V
bekende	著名	bekend	著名	ADJ;NOM	ADJ
kerke	教會	kerk	教會	N;PL	N
kerke	教堂	kerk	教堂	N;PL	N
skryf	撰寫	skryf	撰寫	V;PRS	V
skryf	寫	skryf	寫	V;PRS	V
skryf	寫信	skryf	寫信	V;PRS	V
skryf	寫入	skryf	寫入	V;PRS	V
skryf	燒錄	skryf	燒錄	V;PRS	V
skryf	燃燒	skryf	燃燒	V;PRS	V
skryf	燒死	skryf	燒死	V;PRS	V
wie	誰	wie	誰	PRO	PRO
gekry	找到	kry	找到	V;PST;V.PTCP	V
gekry	發現	kry	發現	V;PST;V.PTCP	V
reeks	系列	reeks	系列	N;SG	N
eilande	群島	eilande	群島	N;PL	N
eilande	島嶼	eilande	島嶼	N;PL	N
speel	玩	speel	玩	V;PRS	V
speel	播放	speel	播放	V;PRS	V
speel	重播	speel	重播	V;PRS	V
speel	播放	speel	播放	V;PRS	V
speel	玩	speel	玩	V;PRS	V
speel	播放	speel	播放	V;PRS	V
bou	建	bou	建	V;PRS	V
bou	建立	bou	建立	V;PRS	V
minder	少	min	少		
stigting	編隊	stigting	編隊	N;SG	N
beskryf	描述	beskryf	描述	V;PRS	V
streek	區域	streek	區域	N;SG	N
rivier	河	rivier	河	N;SG	N
rivier	江河	rivier	江河	N;SG	N
rivier	河流	rivier	河流	N;SG	N
mees	大多	baie	大多	ADV;RL	ADV
mees	大	baie	大	ADV;RL	ADV
ses	六	ses	六	NUM	NUM
ses	六	ses	六	NUM	NUM
grond	泥土	grond	泥土	N;SG	N
grond	土壤	grond	土壤	N;SG	N
grond	土	grond	土	N;SG	N
grond	陸地	grond	陸地	N;SG	N
grond	土地	grond	土地	N;SG	N
grond	地面	grond	地面	N;SG	N
spesies	魚種	spesie	魚種	N;PL	N
spesies	物種	spesie	物種	N;PL	N
beroep	職業	beroep	職業	N;SG	N
beroep	專業	beroep	專業	N;SG	N
gedoen	完成	doen	完成	V;PST;V.PTCP	V
lede	成員	lid	成員	N;PL	N
minister	大臣	minister	大臣	N;SG	N
minister	部長	minister	部長	N;SG	N
span	團隊	span	團隊	N;SG	N
span	球隊	span	球隊	N;SG	N
span	隊伍	span	隊伍	N;SG	N
dele	部件	deel	部件	N;PL	N
distrik	區	distrik	區	N;SG	N
distrik	地區	distrik	地區	N;SG	N
god	神	god	神	N;SG	N
pad	公路	pad	公路	N;SG	N
pad	道路	pad	道路	N;SG	N
pad	路	pad	路	N;SG	N
inligting	資訊	inligting	資訊	N;SG	N
ontdek	發現	ontdek	發現	V;PRS	V
ontdek	探索	ontdek	探索	V;PRS	V
boek	圖書	boek	圖書	N;SG	N
boek	書	boek	書	N;SG	N
boek	書籍	boek	書籍	N;SG	N
artikels	文章	artikel	文章	N;PL	N
kalender	日曆	kalender	日曆	N;SG	N
kalender	曆	kalender	曆	N;SG	N
wet	法律	wet	法律	N;SG	N
val	下降	val	下降	V;PRS	V
val	跌	val	跌	V;PRS	V
beheer	控制	beheer	控制	V;PRS	V
beheer	控制	beheer	控制	V;PRS	V
predikant	神職	predikant	神職	N;SG	N
gevind	找到	vind	找到	V;PST;V.PTCP	V
gevind	發現	vind	發現	V;PST;V.PTCP	V
omgewing	環境	omgewing	環境	N;SG	N
omgewing	面積	omgewing	面積	N;SG	N
omgewing	地區	omgewing	地區	N;SG	N
omgewing	區域	omgewing	區域	N;SG	N
omgewing	區	omgewing	區	N;SG	N
lid	會員	lid	會員	N;SG	N
lid	成員	lid	成員	N;SG	N
grens	邊界	grens	邊界	N;SG	N
grens	邊框	grens	邊框	N;SG	N
grens	邊境	grens	邊境	N;SG	N
skeidsregter	裁判	skeidsregter	裁判	N;SG	N
data	資料	data	資料	N;SG	N
invloed	影響	invloed	影響	V;PRS	V
invloed	影響	invloed	影響	V;PRS	V
ouderdom	年紀	ouderdom	年紀	N;SG	N
ouderdom	年齡	ouderdom	年齡	N;SG	N
vind	找到	vind	找到	V;PRS	V
vind	尋找	vind	尋找	V;PRS	V
woorde	詞語	woord	詞語	N;PL	N
woorde	字	woord	字	N;PL	N
woorde	詞	woord	詞	N;PL	N
verbind	連線	verbind	連線	V;PRS	V
verbind	連結	verbind	連結	V;PRS	V
geval	案例	geval	案例	N;SG	N
geval	個案	geval	個案	N;SG	N
geval	案件	geval	案件	N;SG	N
unie	聯盟	unie	聯盟	N;SG	N
unie	工會	unie	工會	N;SG	N
werke	工作	werk	工作	N;PL	N
sterre	火花	sterr	火花	N;PL	N
sterre	酒吧	sterr	酒吧	N;PL	N
sterre	星星	sterr	星星	N;PL	N
sterre	明星	sterr	明星	N;PL	N
sterre	星空	sterr	星空	N;PL	N
sterre	星	sterr	星	N;PL	N
sterre	恆星	sterr	恆星	N;PL	N
jou	你	jou	你	PRO;ACC;SG;2	PRO;2
slag	戰	slag	戰	N;SG	N
slag	戰役	slag	戰役	N;SG	N
slag	戰鬥	slag	戰鬥	N;SG	N
slag	戰役	slag	戰役	N;SG	N
deelstaat	國家	deelstaat	國家	N;SG	N
deelstaat	州	deelstaat	州	N;SG	N
oseaan	大洋	oseaan	大洋	N;SG	N
oseaan	洋	oseaan	洋	N;SG	N
oseaan	海洋	oseaan	海洋	N;SG	N
oseaan	海	oseaan	海	N;SG	N
help	幫助	help	幫助	V;PRS	V
help	幫忙	help	幫忙	V;PRS	V
museum	博物	museum	博物	N;SG	N
probeer	嘗試	probeer	嘗試	V;PRS	V
probeer	試試	probeer	試試	V;PRS	V
bome	樹	bome	樹	N;PL	N
bome	樹木	bome	樹木	N;PL	N
kilometer	公里	kilometer	公里	N;SG	N
kilometer	公里	kilometer	公里	N;SG	N
kilometer	公里	kilometer	公里	N;SG	N
stelsel	系統	stelsel	系統	N;SG	N
raad	安理	raad	安理	N;SG	N
dorpe	城鎮	dorpe	城鎮	N;PL	N
stede	城市	stede	城市	N;PL	N
klub	幫會	klub	幫會	N;SG	N
klub	俱樂部	klub	俱樂部	N;SG	N
vader	父親	vader	父親	N;SG	N
vader	神父	vader	神父	N;SG	N
vader	父	vader	父	N;SG	N
ster	星星	ster	星星	N;SG	N
ster	恆星	ster	恆星	N;SG	N
ster	星	ster	星	N;SG	N
ster	明星	ster	明星	N;SG	N
almal	大家	almal	大家	PRO	PRO
vanuit	從	vanuit	從	ADP	ADP
skakel	連結	skakel	連結	V;PRS	V
skakel	致電	skakel	致電	V;PRS	V
skakel	打電	skakel	打電	V;PRS	V
skakel	呼叫	skakel	呼叫	V;PRS	V
genus	屬	genus	屬	N;SG	N
weke	星期	week	星期	N;PL	N
weke	週數	week	週數	N;PL	N
vergadering	會議	vergadering	會議	N;SG	N
orde	秩序	orde	秩序	N;SG	N
orde	順序	orde	順序	N;SG	N
loop	散步	loop	散步	V;PRS	V
loop	行走	loop	行走	V;PRS	V
loop	走路	loop	走路	V;PRS	V
nooit	從來	nooit	從來	ADV	ADV
antieke	古老	antiek	古老	ADJ;NOM	ADJ
uitgawe	版	uitgawe	版	N;SG	N
verkoop	賣	verkoop	賣	V;PRS	V
verkoop	出售	verkoop	出售	V;PRS	V
verkoop	賣	verkoop	賣	V;PRS	V
verkoop	售出	verkoop	售出	V;PRS	V
verkoop	銷售	verkoop	銷售	V;PRS	V
verkoop	賣	verkoop	賣	V;PRS	V
voël	鳥	voël	鳥	N;SG	N
hoër	較高	hoog	較高	ADJ;NOM;CMPR	ADJ
hoër	更高	hoog	更高	ADJ;NOM;CMPR	ADJ
lei	領先	lei	領先	V;PRS	V
lei	帶頭	lei	帶頭	V;PRS	V
gestel	設	stel	設	V;PST;V.PTCP	V
gestel	設定	stel	設定	V;PST;V.PTCP	V
foto	像片	foto	像片	N;SG	N
foto	照片	foto	照片	N;SG	N
verloor	失	verloor	失	V;PRS	V
verloor	輸	verloor	輸	V;PRS	V
verloor	輸	verloor	輸	V;PRS	V
verloor	遺失	verloor	遺失	V;PRS	V
verloor	迷失	verloor	迷失	V;PRS	V
sewe	七七	sewe	七七	NUM	NUM
sewe	七	sewe	七	NUM	NUM
sewe	七	sewe	七	NUM	NUM
oorspronklik	原本	oorspronklik	原本	ADV	ADV
voorbeeld	樣品	voorbeeld	樣品	N;SG	N
voorbeeld	抽樣	voorbeeld	抽樣	N;SG	N
voorbeeld	樣本	voorbeeld	樣本	N;SG	N
voorbeeld	範例	voorbeeld	範例	N;SG	N
voorsitter	椅	voorsitter	椅	N;SG	N
voorsitter	椅子	voorsitter	椅子	N;SG	N
oppervlakte	面積	oppervlak	面積	N;PL	N
oppervlakte	地區	oppervlak	地區	N;PL	N
oppervlakte	區域	oppervlak	區域	N;PL	N
oppervlakte	區	oppervlak	區	N;PL	N
bevestig	確認	bevestig	確認	V;PRS	V
bevestig	證實	bevestig	證實	V;PRS	V
klas	階級	klas	階級	N;SG	N
klas	類	klas	類	N;SG	N
klas	類別	klas	類別	N;SG	N
klas	課堂	klas	課堂	N;SG	N
klas	班級	klas	班級	N;SG	N
vertoon	揭露	vertoon	揭露	V;PRS	V
vertoon	揭示	vertoon	揭示	V;PRS	V
vertoon	顯示	vertoon	顯示	V;PRS	V
vertoon	顯示	vertoon	顯示	V;PRS	V
vertoon	展示	vertoon	展示	V;PRS	V
lig	加註	lig	加註	V;PRS	V
punt	點	punt	點	N;SG	N
punt	角	punt	角	N;SG	N
punt	點	punt	點	N;SG	N
vroue	婦女	vrou	婦女	N;PL	N
vroue	女性	vrou	女性	N;PL	N
week	星期	week	星期	N;SG	N
week	週	week	週	N;SG	N
stadium	舞台	stadium	舞台	N;SG	N
stadium	階段	stadium	階段	N;SG	N
akteur	男	akteur	男	N;SG	N
akteur	演員	akteur	演員	N;SG	N
sentrale	中央	sentraal	中央	N;SG	N
behaal	成	behaal	成	V;PRS	V
natuurlike	天然	natuurlik	天然	ADJ;NOM	ADJ
loopbaan	職業	loopbaan	職業	N;SG	N
skep	創建	skep	創建	V;PRS	V
dogter	女兒	dogter	女兒	N;SG	N
dra	攜	dra	攜	V;PRS	V
druk	壓	druk	壓		
boeke	圖書	boeke	圖書	N;PL	N
boeke	書	boeke	書	N;PL	N
boeke	書籍	boeke	書籍	N;PL	N
kus	沿海	kus	沿海	N;SG	N
kus	沿岸	kus	沿岸	N;SG	N
kus	海岸	kus	海岸	N;SG	N
kus	海岸	kus	海岸	N;SG	N
gepubliseer	直播	publiseer	直播	V;PST;V.PTCP	V
gepubliseer	出版	publiseer	出版	V;PST;V.PTCP	V
gepubliseer	發表	publiseer	發表	V;PST;V.PTCP	V
bring	帶	bring	帶	V;PRS	V
geld	金錢	geld	金錢	N;SG	N
geld	錢	geld	錢	N;SG	N
leier	領袖	leier	領袖	N;SG	N
boom	樹	boom	樹	N;SG	N
boom	樹木	boom	樹木	N;SG	N
boom	繁榮	boom	繁榮	N;SG	N
rolprent	電影	rolprent	電影	N;SG	N
rolprent	影片	rolprent	影片	N;SG	N
rolprent	電影	rolprent	電影	N;SG	N
rolprent	膠片	rolprent	膠片	N;SG	N
rolprent	影片	rolprent	影片	N;SG	N
verdeel	分化	verdeel	分化	V;PRS	V
beweging	動議	beweging	動議	N;SG	N
beweging	運動	beweging	運動	N;SG	N
beweging	運動	beweging	運動	N;SG	N
diere	動物	dier	動物	N;PL	N
punte	點數	punt	點數	N;PL	N
liggaam	屍體	liggaam	屍體	N;SG	N
liggaam	體	liggaam	體	N;SG	N
liggaam	身體	liggaam	身體	N;SG	N
wen	贏	wen	贏	V;PRS	V
basis	基地	basis	基地	N;SG	N
basis	基礎	basis	基礎	N;SG	N
basis	基數	basis	基數	N;SG	N
verlaat	休假	verlaat	休假	V;PRS	V
verlaat	離開	verlaat	離開	V;PRS	V
verlaat	退出	verlaat	退出	V;PRS	V
verlaat	出境	verlaat	出境	V;PRS	V
goewerneur	省長	goewerneur	省長	N;SG	N
goewerneur	總督	goewerneur	總督	N;SG	N
goewerneur	州	goewerneur	州	N;SG	N
kultuur	文化	kultuur	文化	N;SG	N
kaart	地圖	kaart	地圖	N;SG	N
oorsprong	原產	oorsprong	原產	N;SG	N
oorsprong	起源	oorsprong	起源	N;SG	N
kennis	熟人	kennis	熟人	N;SG	N
kennis	知識	kennis	知識	N;SG	N
parlement	國會	parlement	國會	N;SG	N
parlement	議會	parlement	議會	N;SG	N
geboue	建築	bou	建築	N;PL	N
stem	表決	stem	表決	V;PRS	V
stem	投票	stem	投票	V;PRS	V
energie	能量	energie	能量	N;SG	N
energie	能源	energie	能源	N;SG	N
boere	農民	boer	農民	N;PL	N
boere	農夫	boer	農夫	N;PL	N
boere	農民	boer	農民	N;PL	N
boere	農夫	boer	農夫	N;PL	N
prys	價	prys	價	N;SG	N
prys	價錢	prys	價錢	N;SG	N
prys	價格	prys	價格	N;SG	N
prys	獎品	prys	獎品	N;SG	N
prys	獎賞	prys	獎賞	N;SG	N
prys	獎	prys	獎	N;SG	N
ligging	位置	ligging	位置	N;SG	N
ligging	地點	ligging	地點	N;SG	N
broer	弟弟	broer	弟弟	N;SG	N
broer	師兄	broer	師兄	N;SG	N
broer	哥哥	broer	哥哥	N;SG	N
broer	兄弟	broer	兄弟	N;SG	N
studente	學生	student	學生	N;PL	N
gemeenskap	社會	gemeenskap	社會	N;SG	N
berg	山	berg	山	N;SG	N
berg	山區	berg	山區	N;SG	N
berg	山地	berg	山地	N;SG	N
oppervlak	表面	oppervlak	表面	N;SG	N
oppervlak	地面	oppervlak	地面	N;SG	N
oppervlak	地表	oppervlak	地表	N;SG	N
bronne	來源	bron	來源	N;PL	N
bronne	來源	bron	來源	N;PL	N
beleid	政策	beleid	政策	N;SG	N
album	相簿	album	相簿	N;SG	N
album	專輯	album	專輯	N;SG	N
beweeg	無	beweeg	無	V;PRS	V
beweeg	移動	beweeg	移動	V;PRS	V
beweeg	感動	beweeg	感動	V;PRS	V
verskaf	提供	verskaf	提供	V;PRS	V
verskaf	提供	verskaf	提供	V;PRS	V
verskaf	供應	verskaf	供應	V;PRS	V
verskaf	供給	verskaf	供給	V;PRS	V
lees	讀	lees	讀	V;PRS	V
lees	讀取	lees	讀取	V;PRS	V
lees	讀取	lees	讀取	V;PRS	V
lees	讀	lees	讀	V;PRS	V
webtuiste	網站	webtuiste	網站	N;SG	N
webtuiste	網頁	webtuiste	網頁	N;SG	N
onderwys	教育	onderwys	教育	N;SG	N
onderwys	學歷	onderwys	學歷	N;SG	N
periode	期間	periode	期間	N;SG	N
agt	八	agt	八	NUM	NUM
agt	八	agt	八	NUM	NUM
lengte	長度	lengte	長度	N;SG	N
aangebied	呈現	aanbied	呈現	V;PST;V.PTCP	V
aangebied	主辦	aanbied	主辦	V;PST;V.PTCP	V
ingesluit	包括	insluit	包括	V;PST;V.PTCP	V
ingesluit	包括	insluit	包括	V;PST;V.PTCP	V
stemme	選票	stemm	選票	N;SG	N
politikus	政客	politikus	政客	N;SG	N
politikus	政治	politikus	政治	N;SG	N
toon	投球	toon	投球	V;PRS	V
los	休假	los	休假	V;PRS	V
los	離開	los	離開	V;PRS	V
massa	質量	massa	質量	N;SG	N
massa	彌撒	massa	彌撒	N;SG	N
voorgestel	推薦	voorstel	推薦	V;PST;V.PTCP	V
besit	持有	besit	持有	V;PRS	V
besit	擁有	besit	擁有	V;PRS	V
besit	佔有	besit	佔有	V;PRS	V
plekke	地方	plek	地方	N;PL	N
plekke	地點	plek	地點	N;PL	N
ekonomie	經濟	ekonomie	經濟	N;SG	N
ekonomie	經濟	ekonomie	經濟	N;SG	N
ekonomie	經濟	ekonomie	經濟	N;SG	N
mark	市場	mark	市場	N;SG	N
mark	標記	mark	標記	N;SG	N
saak	原因	saak	原因	N;SG	N
spesie	魚種	spesie	魚種	N;SG	N
spesie	物種	spesie	物種	N;SG	N
hoogte	身高	hoogte	身高	N;SG	N
hoogte	高度	hoogte	高度	N;SG	N
sake	起因	saak	起因	N;PL	N
dinastie	朝代	dinastie	朝代	N;SG	N
dinastie	王朝	dinastie	王朝	N;SG	N
verwerf	掙	verwerf	掙	V;PRS	V
verwerf	賺取	verwerf	賺取	V;PRS	V
verwerf	賺	verwerf	賺	V;PRS	V
verwerf	賺取	verwerf	賺取	V;PRS	V
onafhanklikheid	獨立	onafhanklikheid	獨立	N;SG	N
verower	征服	verower	征服	V;PRS	V
verhouding	比率	verhouding	比率	N;SG	N
verhouding	比值	verhouding	比值	N;SG	N
verhouding	比例	verhouding	比例	N;SG	N
verhouding	戀愛	verhouding	戀愛	N;SG	N
verhouding	感情	verhouding	感情	N;SG	N
verhouding	關係	verhouding	關係	N;SG	N
gekies	選取	kies	選取	V;PST;V.PTCP	V
waarde	價值	waarde	價值	N;SG	N
waarde	數值	waarde	數值	N;SG	N
waarde	值	waarde	值	N;SG	N
mans	男性	man	男性	N;PL	N
mans	男性	man	男性	N;PL	N
mans	男人	man	男人	N;PL	N
mans	男子	man	男子	N;PL	N
maatskappy	公司	maatskappy	公司	N;SG	N
maatskappy	逗號	maatskappy	逗號	N;SG	N
regte	權利	reg	權利	N;PL	N
dorpie	村	dorpie	村	N;SG	N
dorpie	鄉村	dorpie	鄉村	N;SG	N
dorpie	村	dorpie	村	N;SG	N
dorpie	村落	dorpie	村落	N;SG	N
dorpie	村子	dorpie	村子	N;SG	N
rigting	方向	rigting	方向	N;SG	N
ondersoek	探測	ondersoek	探測	V;PRS	V
ondersoek	探測	ondersoek	探測	V;PRS	V
ondersoek	偵測	ondersoek	偵測	V;PRS	V
gereeld	常常	gereeld	常常	ADV	ADV
gereeld	經常	gereeld	經常	ADV	ADV
gereeld	時常	gereeld	時常	ADV	ADV
gereeld	常常	gereeld	常常	ADV	ADV
gereeld	經常	gereeld	經常	ADV	ADV
getal	數字	getal	數字	N;SG	N
getal	數	getal	數	N;SG	N
getal	號碼	getal	號碼	N;SG	N
getal	編號	getal	編號	N;SG	N
wys	展示	wys	展示	V;PRS	V
wys	顯示	wys	顯示	V;PRS	V
gemiddelde	平均	gemiddel	平均	ADJ;NOM	ADJ
stryd	鬥爭	stryd	鬥爭	N;SG	N
stryd	奮鬥	stryd	奮鬥	N;SG	N
huwelik	婚姻	huwelik	婚姻	N;SG	N
vrygestel	獲釋	vrystel	獲釋	V;PST;V.PTCP	V
leef	生活	leef	生活	V;PRS	V
toegeken	指派	toeken	指派	V;PST;V.PTCP	V
media	媒體	media	媒體	N;SG	N
media	媒介	media	媒介	N;SG	N
beïnvloed	影響	beïnvloed	影響	V;PRS	V
beïnvloed	影響	beïnvloed	影響	V;PRS	V
bron	來源	bron	來源	N;SG	N
projek	項目	projek	項目	N;SG	N
alfabet	字母	alfabet	字母	N;SG	N
kind	小孩	kind	小孩	N;SG	N
