撤消	ανακαλέσει	撤消	ανακαλώ	V	V;PFV;IND;SG;3;FIN;ACT
鷗	γλάρος	鷗	γλάρος	N	N;NOM;MASC;SG
冥王	πλούτωνα	冥王	πλούτωνα	N	N;NOM;NEUT;SG
冥王	πλούτο	冥王	πλούτος	N	N;ACC;MASC;SG
掩護	κάλυμμα	掩護	κάλυμμα	N	N;NOM;NEUT;SG
掩護	κάλυψη	掩護	κάλυψη	N	N;ACC;FEM;SG
掩護	εξώφυλλο	掩護	εξώφυλλο	N	N;NOM;NEUT;SG
鈍	αμβλύ	鈍	αμβλύς	N	N
長壽	μακροζωία	長壽	μακροζωίος	N	N;NOM;FEM;SG
友誼	φιλια	友誼	φιλιά	N	N;NOM;FEM;SG
友誼	φιλία	友誼	φιλία	N	N;NOM;FEM;SG
山麓	πρόποδες	山麓	πρόποδος	N	N;NOM;MASC;PL
甜蜜	γλυκό	甜蜜	γλυκό	N	N;NOM;NEUT;SG
甜蜜	γλυκά	甜蜜	γλυκά	N	N;NOM;NEUT;PL
甜蜜	γλυκιά	甜蜜	γλυκιά	N	N;NOM;FEM;SG
瘦	σλιμ	瘦	σλιμ	N	N;NOM;MASC;SG
瘦	λεπτό	瘦	λεπτό	N	N;NOM;NEUT;SG
甲烷	μεθάνιο	甲烷	μεθάνιο	N	N;NOM;NEUT;SG
優質	ποιότητας	優質	ποιότητα	N	N;GEN;FEM;SG
優質	ποιότητα	優質	ποιότητα	N	N;ACC;FEM;SG
書法	καλλιγραφία	書法	καλλιγραφία	N	N;NOM;FEM;SG
船員	πλήρωμα	船員	πλήρωμα	N	N;NOM;NEUT;SG
前衛	εμπροσθοφυλακή	前衛	εμπροσθοφυλακή	N	N;ACC;FEM;SG
山羊	κατσίκα	山羊	κατσίκα	N	N;NOM;FEM;SG
山羊	τράγος	山羊	τράγος	N	N;NOM;MASC;SG
山羊	κατσίκες	山羊	κατσίκη	N	N;NOM;FEM;PL
財團	κοινοπραξία	財團	κοινοπραξία	N	N;NOM;FEM;SG
批量	χύδην	批量	χύδην	N	N
批量	χύμα	批量	χύμα	N	N;NOM;NEUT;SG
消化	χωνέψει	消化	χωνεύω	V	V;PFV;3;NFIN;ACT
成效	αποτελεσματικότητα	成效	αποτελεσματικότητα	N	N;ACC;FEM;SG
樹木	δέντρο	樹木	δέντρο	N	N;NOM;NEUT;SG
樹木	δένδρο	樹木	δένδρο	N	N;NOM;NEUT;SG
樹木	δεντρο	樹木	δεντρο	N	N;NOM;NEUT;SG
樹木	δένδρα	樹木	δένδρος	N	N;NOM;NEUT;PL
樹木	δέντρα	樹木	δέντρο	N	N;NOM;NEUT;PL
租賃	μίσθωση	租賃	μίσθωση	N	N;NOM;FEM;SG
租賃	εκμίσθωση	租賃	εκμίσθωση	N	N;ACC;FEM;SG
租賃	μισθώσεις	租賃	μίσθωση	N	N;NOM;FEM;PL
租賃	μίσθωση	租賃	μίσθωση	N	N;NOM;FEM;SG
租賃	ενοικίαση	租賃	ενοικίαση	N	N;NOM;FEM;SG
租賃	μίσθωση	租賃	μίσθωση	N	N;NOM;FEM;SG
租賃	εκμίσθωση	租賃	εκμίσθωση	N	N;ACC;FEM;SG
胖	λίπος	胖	λίπος	N	N;NOM;NEUT;SG
狹窄	στενή	狹窄	στενός	ADJ	ADJ;NOM;FEM;SG
磚	τούβλα	磚	τούβλα	N	N;NOM;NEUT;PL
磚	τούβλο	磚	τούβλο	N	N;NOM;NEUT;SG
利率	ρυθμός	利率	ρυθμός	N	N;NOM;MASC;SG
利率	ποσοστό	利率	ποσοστό	N	N;NOM;NEUT;SG
利率	συντελεστής	利率	συντελεστής	N	N;NOM;MASC;SG
高大	ψηλή	高大	ψηλός	ADJ	ADJ;NOM;FEM;SG
高大	ψηλό	高大	ψηλός	ADJ	ADJ;NOM;NEUT;SG
高大	ψηλός	高大	ψηλός	ADJ	ADJ;NOM;MASC;SG
高大	ψηλοί	高大	ψηλός	ADJ	ADJ;NOM;MASC;PL
水下	υποβρύχια	水下	υποβρύχιο	N	N;NOM;NEUT;PL
意向	προθέσεις	意向	πρόθεση	N	N;NOM;FEM;PL
意向	κλίση	意向	κλίση	N	N;NOM;FEM;SG
意向	πρόθεση	意向	πρόθεση	N	N;ACC;FEM;SG
意向	πρόθεσή	意向	πρόθεση	N	N;ACC;FEM;SG
意向	πρόθεση	意向	πρόθεση	N	N;ACC;FEM;SG
壓制	καταστείλει	壓制	καταστέλλω	V	V;PFV;NFIN;ACT
進度	πρόοδος	進度	πρόοδος	N	N;NOM;FEM;SG
進度	πρόοδο	進度	πρόοδος	N	N;ACC;FEM;SG
爺爺	παππούς	爺爺	παππούς	N	N;NOM;MASC;SG
爺爺	παππού	爺爺	παππού	N	N;ACC;MASC;SG
情侶	ζευγάρια	情侶	ζευγάριο	N	N;NOM;NEUT;PL
情侶	ζευγάρι	情侶	ζευγάρι	N	N;NOM;NEUT;SG
情侶	εραστές	情侶	εραστής	N	N;NOM;MASC;PL
保全	διαφύλαξη	保全	διαφύλαξη	N	N;ACC;FEM;SG
保全	διατήρηση	保全	διατήρηση	N	N;ACC;FEM;SG
宮殿	ανάκτορα	宮殿	ανάκτορα	N	N;NOM;NEUT;PL
宮殿	παλάτι	宮殿	παλάτι	N	N;NOM;NEUT;SG
智力	εξυπνάδα	智力	εξυπνάδα	N	N;NOM;FEM;SG
智力	ευφυία	智力	ευφυία	N	N;NOM;FEM;SG
智力	νοημοσύνη	智力	νοημοσύνη	N	N;NOM;FEM;SG
爆破	ανατινάξεις	爆破	ανατίναξη	N	N;NOM;FEM;PL
渡口	φέρι	渡口	φέρι	N	N
糾紛	διενέξεις	糾紛	διένεξη	N	N;NOM;FEM;PL
糾紛	διαφορές	糾紛	διαφορά	N	N;NOM;FEM;PL
糾紛	διαφωνίες	糾紛	διαφωνία	N	N;NOM;FEM;PL
糾紛	αμφισβητήσεις	糾紛	αμφισβήτηση	N	N;NOM;FEM;PL
糾紛	διαφορών	糾紛	διαφορά	N	N;GEN;FEM;PL
糾紛	αμφισβήτηση	糾紛	αμφισβήτηση	N	N;ACC;FEM;SG
糾紛	διαφωνία	糾紛	διαφωνία	N	N;NOM;FEM;SG
糾紛	διένεξη	糾紛	διένεξη	N	N;ACC;FEM;SG
糾紛	διαμάχη	糾紛	διαμάχη	N	N;ACC;FEM;SG
發光	λάμψει	發光	λαμπένω	V	V;PFV;NFIN;ACT
異議	ένσταση	異議	ένσταση	N	N;ACC;FEM;SG
係數	συντελεστής	係數	συντελεστής	N	N;NOM;MASC;SG
係數	συντελεστή	係數	συντελεστής	N	N;ACC;NEUT;SG
係數	συντελεστές	係數	συντελεστής	N	N;NOM;MASC;PL
抱怨	παραπονιέται	抱怨	παραπονία	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
銀色	ασημί	銀色	ασημί	N	N;NOM;NEUT;PL
銀色	ασήμι	銀色	ασήμι	N	N;NOM;NEUT;SG
鞘	θήκη	鞘	θήκη	N	N;NOM;FEM;SG
口味	γεύσεις	口味	γεύση	N	N;NOM;FEM;PL
口味	γεύσεις	口味	γεύση	N	N;NOM;FEM;PL
人性	ανθρωπιά	人性	ανθρωπιά	N	N;ACC;FEM;SG
人性	ανθρωπότητας	人性	ανθρωπότητα	N	N;GEN;FEM;SG
人性	ανθρωπότητα	人性	ανθρωπότητα	N	N;ACC;FEM;SG
失誤	σφάλματα	失誤	σφάλμα	N	N;NOM;NEUT;PL
失誤	λάθη	失誤	λάθος	N	N;NOM;NEUT;PL
溶解	διαλυθεί	溶解	διαλύω	V	V;PFV;NFIN;PASS
溶解	διαλύθηκε	溶解	διαλύω	V	V;PFV;IND;SG;3;PST;FIN;PASS
溶解	διαλύεται	溶解	διαλύω	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
溶解	διαλύονται	溶解	διαλύω	V	V;IPFV;IND;PL;3;PRS;FIN;PASS
公報	ανακοινωθέν	公報	ανακοινώνω	N	N;NOM;NEUT;SG
公報	ανακοινωθέν	公報	ανακοινώνω	N	N;NOM;NEUT;SG
主觀	υποκειμενικότητα	主觀	υποκειμενικότητα	N	N;ACC;FEM;SG
天平	κλίμακες	天平	κλίμαι	N	N;NOM;FEM;PL
神仙	νεράιδα	神仙	νεράιδα	N	N;NOM;FEM;SG
腸	λουκάνικα	腸	λουκάνικος	N	N;NOM;NEUT;PL
腸	λουκάνικο	腸	λουκάνικος	N	N;NOM;NEUT;SG
腸	έντερο	腸	έντερος	N	N;NOM;NEUT;SG
腸	έντερο	腸	έντερος	N	N;NOM;NEUT;SG
腸	εντέρου	腸	έντερος	N	N;GEN;NEUT;SG
腸	έντερο	腸	έντερος	N	N;NOM;NEUT;SG
腸	έντερα	腸	έντερα	N	N;NOM;NEUT;PL
鹼	αλκαλίων	鹼	αλκάλιο	N	N;GEN;NEUT;PL
石板	δισκίο	石板	δισκίο	N	N;NOM;NEUT;SG
君主	μοναρχία	君主	μοναρχία	N	N;NOM;FEM;SG
野心	φιλοδοξίες	野心	φιλοδοξία	N	N;NOM;FEM;PL
野心	φιλόδοξο	野心	φιλόδοξος	N	N;NOM;NEUT;SG
野心	φιλόδοξος	野心	φιλόδοξος	N	N;NOM;MASC;SG
野心	φιλοδοξίες	野心	φιλοδοξία	N	N;NOM;FEM;PL
野心	φιλοδοξίας	野心	φιλοδοξία	N	N;GEN;FEM;SG
野心	φιλοδοξία	野心	φιλοδοξία	N	N;ACC;FEM;SG
別墅	βίλες	別墅	βίλος	N	N;NOM;FEM;PL
籠	κλουβί	籠	κλουβί	N	N;NOM;NEUT;SG
監管	επίβλεψη	監管	επίβλεψη	N	N;ACC;FEM;SG
監管	επιτήρηση	監管	επιτήρηση	N	N;NOM;FEM;SG
監管	εποπτεία	監管	εποπτεία	N	N;NOM;FEM;SG
有害	επιβλαβές	有害	επιβλαβή	N	N;NOM;MASC;PL
有害	επιβλαβείς	有害	επιβλαβής	N	N;NOM;FEM;PL
有害	επιβλαβής	有害	επιβλαβή	N	N;NOM;FEM;SG
罰款	πρόστιμα	罰款	πρόστιμα	N	N;NOM;NEUT;PL
葡萄	γλυκόζη	葡萄	γλύκονος	N	N;NOM;FEM;SG
葡萄	γλυκόζης	葡萄	γλυκόνη	N	N;GEN;FEM;SG
鋰	λιθίου	鋰	λίθιο	N	N;GEN;NEUT;SG
鋰	λίθιο	鋰	λίθιο	N	N;NOM;NEUT;SG
徒步	πεζοπορία	徒步	πεζοπορία	N	N;NOM;FEM;SG
奶奶	γιαγιά	奶奶	γιαγιά	N	N;NOM;FEM;SG
蚊	κουνούπι	蚊	κουνώ	N	N;NOM;NEUT;SG
補償	αντιστάθμιση	補償	αντιστάθμιση	N	N;ACC;FEM;SG
補償	αποζημίωση	補償	αποζημίωση	N	N;ACC;FEM;SG
教父	νονός	教父	νονός	N	N;NOM;MASC;SG
教父	νονό	教父	νονό	N	N;VOC;MASC;SG
肽	πεπτίδιο	肽	πεπτίδιο	N	N;NOM;NEUT;SG
葉子	φύλλα	葉子	φύλλο	N	N;NOM;NEUT;PL
葉子	φύλλο	葉子	φύλλο	N	N;NOM;NEUT;SG
乙醇	αιθανόλη	乙醇	αιθάνολος	N	N;NOM;FEM;SG
禮拜	λατρεία	禮拜	λατρεία	N	N;NOM;FEM;SG
樣式	στυλ	樣式	στυλ	N	N;NOM;NEUT;SG
樣式	στυλ	樣式	στυλ	N	N;NOM;NEUT;SG
樣式	ύφος	樣式	ύφος	N	N;NOM;NEUT;SG
樣式	στιλ	樣式	στιλ	N	N;NOM;NEUT;SG
遷徙	μεταναστεύουν	遷徙	μεταναστεύω	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
螢	γινγκ	螢	γινγκ	N	N
讀音	προφορά	讀音	προφορά	N	N;NOM;FEM;SG
聖殿	ναός	聖殿	ναός	N	N;NOM;MASC;SG
聖殿	ναό	聖殿	ναός	N	N;ACC;MASC;SG
空格	χώροι	空格	χώρος	N	N;NOM;MASC;PL
空格	χώρους	空格	χώρος	N	N;ACC;MASC;PL
郵票	σφραγίδα	郵票	σφραγίδα	N	N;NOM;FEM;SG
郵票	γραμματόσημο	郵票	γραμματόσημος	N	N;NOM;NEUT;SG
郵票	γραμματόσημα	郵票	γραμματόσημα	N	N;NOM;NEUT;PL
郵票	σφραγίδες	郵票	σφραγίδα	N	N;NOM;FEM;PL
騷擾	παρενοχλεί	騷擾	παρενοχλώ	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
冷卻	ψύξη	冷卻	ψύξη	N	N;NOM;FEM;SG
冷卻	ψύξης	冷卻	ψύξη	N	N;GEN;FEM;SG
皇宮	ανάκτορα	皇宮	ανάκτορα	N	N;NOM;NEUT;PL
皇宮	παλάτι	皇宮	παλάτι	N	N;NOM;NEUT;SG
法老	φαραώ	法老	φαραάνω	N	N;NOM;MASC;SG
微小	μικροσκοπική	微小	μικροσκοπικός	ADJ	ADJ;NOM;FEM;SG
微小	μικροσκοπικό	微小	μικροσκοπικός	ADJ	ADJ;NOM;NEUT;SG
精美	εξαίσιο	精美	εξαίσιο	ADJ	ADJ;NOM;NEUT;SG
精美	εξαιρετικό	精美	εξαιρετικός	ADJ	ADJ;NOM;NEUT;SG
溫和	ευγενική	溫和	ευγενικός	ADJ	ADJ;NOM;FEM;SG
溫和	ευγενικός	溫和	ευγενικός	ADJ	ADJ;NOM;MASC;SG
溫和	μέτριος	溫和	μέτριος	ADJ	ADJ;NOM;MASC;SG
溫和	ήπια	溫和	ήπιος	ADJ	ADJ;NOM;FEM;SG
溫和	ήπιο	溫和	ήπιος	ADJ	ADJ;NOM;NEUT;SG
溫和	ήπιες	溫和	ήπιος	ADJ	ADJ;NOM;FEM;PL
香料	καρυκεύματα	香料	καρύκευμα	N	N;NOM;NEUT;PL
悼念	διαγωνιζόμενοι	悼念	διαγωνιζόμενος	V	V;PFV;NOM;MASC;PL;V.PTCP;PASS
辣椒	τσίλι	辣椒	τσίλι	N	N;NOM;NEUT;SG
辣椒	πιπέρι	辣椒	πιπέρι	N	N;NOM;NEUT;SG
辣椒	πιπεριά	辣椒	πιπερία	N	N;NOM;FEM;SG
辣椒	πέπερ	辣椒	πέπερ	N	N
賭場	καζίνο	賭場	καζίνο	N	N;NOM;NEUT;SG
賭場	καζίνο	賭場	καζίνο	N	N;NOM;NEUT;SG
國徽	έμβλημα	國徽	έμβλημα	N	N;NOM;NEUT;SG
悲劇	τραγωδία	悲劇	τραγωδία	N	N;ACC;FEM;SG
鎖定	κλειδωμένος	鎖定	κλειδωμένος	V	V;PFV;NOM;MASC;SG;V.PTCP;PASS
鎖定	κλειδωμένη	鎖定	κλειδω	V	V;PFV;NOM;FEM;SG;V.PTCP;PASS
鎖定	κλειδώθηκε	鎖定	κλειδώνω	V	V;PFV;IND;SG;3;PST;FIN;PASS
鎖定	κλειδωμένο	鎖定	κλειδω	V	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
租金	ενοίκια	租金	ενοίκιο	N	N;NOM;NEUT;PL
租金	ενοικιαζόμενα	租金	ενοικιαζόμενα	N	N;NOM;NEUT;PL
租金	ενοικίαση	租金	ενοικίαση	N	N;NOM;FEM;SG
租金	μίσθωση	租金	μίσθωση	N	N;NOM;FEM;SG
租金	ενοικίαση	租金	ενοικίαση	N	N;NOM;FEM;SG
租金	νοίκι	租金	νοίκι	N	N;NOM;NEUT;SG
租金	ενοίκια	租金	ενοίκιο	N	N;NOM;NEUT;PL
租金	ενοικίαση	租金	ενοικίαση	N	N;NOM;FEM;SG
租金	ενοίκιο	租金	ενοίκιο	N	N;NOM;NEUT;SG
租金	ενοίκια	租金	ενοίκιο	N	N;NOM;NEUT;PL
彎曲	κυρτό	彎曲	κυρτό	N	N;NOM;NEUT;SG
溫暖	ζεστό	溫暖	ζεστός	N	N;NOM;NEUT;SG
溫暖	ζεστασιά	溫暖	ζεστασιά	N	N;NOM;FEM;SG
溫暖	θέρμη	溫暖	θέρμη	N	N;ACC;FEM;SG
神像	γκάτο	神像	γκάτος	N	N
手套	γάντια	手套	γάντια	N	N;NOM;NEUT;PL
手套	γάντι	手套	γάντι	N	N;NOM;NEUT;SG
硬幣	νομίσματα	硬幣	νόμισμα	N	N;NOM;NEUT;PL
硬幣	κέρματα	硬幣	κέρμα	N	N;NOM;NEUT;PL
硬幣	κέρμα	硬幣	κέρμα	N	N;NOM;NEUT;SG
硬幣	νόμισμα	硬幣	νόμισμα	N	N;NOM;NEUT;SG
纜車	γόνδολα	纜車	γόνδολος	N	N;NOM;FEM;SG
朝代	δυναστεία	朝代	δυναστεία	N	N;NOM;FEM;SG
皂	σαπούνι	皂	σαπούνι	N	N;NOM;NEUT;SG
皂	σαπούνια	皂	σαπούνια	N	N;NOM;NEUT;PL
草坪	γκαζόν	草坪	γκαζόν	N	N;NOM;NEUT;SG
草坪	γρασίδι	草坪	γρασίδι	N	N;NOM;NEUT;SG
鉛	μόλυβδο	鉛	μόλυβδος	N	N;NOM;NEUT;PL
鉛	μόλυβδος	鉛	μόλυβδος	N	N;NOM;MASC;SG
鞭	μαστίγιο	鞭	μαστίγιο	N	N;NOM;NEUT;SG
氣溫	θερμοκρασία	氣溫	θερμοκρασία	N	N;NOM;FEM;SG
氣溫	θερμοκρασίες	氣溫	θερμοκρασία	N	N;NOM;FEM;PL
概括	γενίκευση	概括	γενίκευση	N	N;NOM;FEM;SG
彈性	ευελιξία	彈性	ευελιξία	N	N;ACC;FEM;SG
彈性	ελαστικότητα	彈性	ελαστικότητα	N	N;ACC;FEM;SG
彈性	ελαστικότητα	彈性	ελαστικότητα	N	N;ACC;FEM;SG
彈性	ελαστικό	彈性	ελαστικός	N	N;NOM;NEUT;SG
長老	γέροντα	長老	γέρω	N	N;VOC;MASC;SG
長老	γηραιοί	長老	γηραιός	N	N
野牛	βουβάλι	野牛	βουβάλι	N	N;NOM;NEUT;SG
野牛	βουβάλια	野牛	βουβάλιο	N	N;NOM;NEUT;PL
野牛	βίσωνα	野牛	βίσωνα	N	N;GEN;NEUT;PL
特許	παραχωρήσεις	特許	παραχώρηση	N	N;NOM;FEM;PL
特許	παραχώρηση	特許	παραχώρηση	N	N;ACC;FEM;SG
特許	παραχώρησης	特許	παραχώρηση	N	N;GEN;FEM;SG
盾牌	ασπιδα	盾牌	ασπιδα	N	N
盾牌	ασπίδα	盾牌	ασπίδα	N	N;NOM;FEM;SG
盾牌	ασπίδες	盾牌	ασπίδα	N	N;NOM;FEM;PL
走私	λαθρεμπόριο	走私	λαθρεμπόριο	N	N;NOM;NEUT;SG
走私	λαθραία	走私	λαθραία	N	N;NOM;NEUT;PL
紀念	μνημείο	紀念	μνημείο	N	N;NOM;NEUT;SG
紀念	μεμόριαλ	紀念	μεμόριαλ	N	N;NOM;NEUT;SG
戒指	δακτύλιο	戒指	δακτύλιο	N	N;NOM;NEUT;SG
戒指	δακτύλιος	戒指	δακτύλιος	N	N;NOM;MASC;SG
戒指	δαχτυλίδι	戒指	δαχτυλίδι	N	N;NOM;NEUT;SG
戒指	δαχτυλίδια	戒指	δαχτυλίδιο	N	N;NOM;NEUT;PL
祭司	παπάς	祭司	παπάς	N	N;NOM;MASC;SG
祭司	ιερέας	祭司	ιερία	N	N;NOM;MASC;SG
祭司	ιερέα	祭司	ιερία	N	N;ACC;MASC;SG
握手	χειραψία	握手	χειραψία	N	N;NOM;FEM;SG
乘法	πολλαπλασιασμού	乘法	πολλαπλασιασμός	N	N;GEN;MASC;SG
乘法	πολλαπλασιασμός	乘法	πολλαπλασιασμός	N	N;NOM;MASC;SG
乘法	πολλαπλασιασμό	乘法	πολλαπλασιασμός	N	N;ACC;MASC;SG
繪圖	χαρτογράφηση	繪圖	χαρτογράφηση	N	N;ACC;FEM;SG
繪圖	σχέδια	繪圖	σχέδιο	N	N;NOM;NEUT;PL
繪圖	ζωγραφιές	繪圖	ζωγραφιά	N	N;NOM;FEM;PL
繪圖	σκίτσα	繪圖	σκίτσα	N	N;NOM;NEUT;PL
繪圖	ζωγραφιά	繪圖	ζωγραφιά	N	N;NOM;FEM;SG
繪圖	κλήρωση	繪圖	κλήρωση	N	N;NOM;FEM;SG
食堂	καντίνα	食堂	καντίνα	N	N;NOM;FEM;SG
食堂	καφετέρια	食堂	καφετέρια	N	N;NOM;NEUT;SG
食堂	κυλικείο	食堂	κυλικείο	N	N;NOM;NEUT;SG
誓	όρκο	誓	όρκο	N	N;ACC;MASC;SG
誓	όρκος	誓	όρκος	N	N;NOM;MASC;SG
誓	όρκο	誓	όρκο	N	N;ACC;MASC;SG
誓	όρκος	誓	όρκος	N	N;NOM;MASC;SG
損壞	βλάβη	損壞	βλάβη	N	N;ACC;FEM;SG
損壞	ζημιά	損壞	ζημιά	N	N;ACC;FEM;SG
損壞	ζημία	損壞	ζημία	N	N;ACC;FEM;SG
損壞	βλάβη	損壞	βλάβη	N	N;ACC;FEM;SG
損壞	ζημίες	損壞	ζημία	N	N;NOM;FEM;PL
損壞	ζημιές	損壞	ζημιά	N	N;NOM;FEM;PL
損壞	ζημιά	損壞	ζημιά	N	N;ACC;FEM;SG
損壞	ζημίες	損壞	ζημία	N	N;NOM;FEM;PL
損壞	ζημιές	損壞	ζημιά	N	N;NOM;FEM;PL
專長	κόγχη	專長	κόγχη	N	N;NOM;FEM;SG
專長	ειδικότητα	專長	ειδικότητα	N	N;NOM;FEM;SG
專長	σπεσιαλιτέ	專長	σπεσιαλιτής	N	N;NOM;FEM;SG
專長	ειδικότητα	專長	ειδικότητα	N	N;NOM;FEM;SG
專長	σπεσιαλιτέ	專長	σπεσιαλιτής	N	N;NOM;FEM;SG
專長	ειδικότητες	專長	ειδικότητα	N	N;NOM;FEM;PL
專長	εμπειρογνωμοσύνη	專長	εμπειρογνωμοσύνη	N	N;NOM;FEM;SG
基底	υπόστρωμα	基底	υπόστρωμα	N	N;NOM;NEUT;SG
基底	υπόγειο	基底	υπόγειο	N	N;NOM;NEUT;SG
骨架	σκελετός	骨架	σκελετός	N	N;NOM;MASC;SG
骨架	σκελετό	骨架	σκέλετος	N	N;NOM;NEUT;SG
照射	ανοίγματα	照射	ανόιγμα	N	N;NOM;NEUT;PL
標語	σλόγκαν	標語	σλόγκαν	N	N;NOM;NEUT;SG
標語	συνθήματα	標語	σύνθημα	N	N;NOM;NEUT;PL
標語	σλόγκαν	標語	σλόγκαν	N	N;NOM;NEUT;SG
標語	σύνθημα	標語	σύνθημα	N	N;NOM;NEUT;SG
摩天	ουρανοξύστη	摩天	ουρανοξύστης	N	N;NOM;NEUT;SG
摩天	ουρανοξύστες	摩天	ουρανοξύστης	N	N;NOM;MASC;PL
迷失	χάθηκε	迷失	χάνω	V	V;PFV;IND;SG;3;PST;FIN;PASS
迷失	χαμένος	迷失	χαμένος	V	V;PFV;NOM;MASC;SG;V.PTCP;PASS
迷失	χάσαμε	迷失	χάνω	V	V;PFV;IND;PL;1;PST;FIN;ACT
迷失	χαμένη	迷失	χαμένος	V	V;PFV;NOM;FEM;SG;V.PTCP;PASS
迷失	χάσει	迷失	χάνω	V	V;PFV;NFIN;ACT
迷失	χαμένοι	迷失	χάνω	V	V;PFV;NOM;MASC;PL;V.PTCP;PASS
警務	αστυνόμευση	警務	αστυνόμευση	N	N;ACC;FEM;SG
警務	αστυνομία	警務	αστυνομία	N	N;NOM;FEM;SG
仙女	ανδρομέδα	仙女	ανδρομέδα	N	N;NOM;FEM;SG
橘子	πορτοκάλι	橘子	πορτοκάλι	N	N;NOM;NEUT;SG
橘子	πορτοκαλί	橘子	πορτοκαλί	N	N;NOM;NEUT;SG
橘子	πορτοκάλια	橘子	πορτοκάλιο	N	N;NOM;NEUT;PL
歌聲	τραγούδι	歌聲	τραγούδι	N	N;NOM;NEUT;SG
症候	σύνδρομο	症候	σύνδρομος	N	N;NOM;NEUT;SG
污水	λυμάτων	污水	λύμα	N	N;GEN;NEUT;PL
污水	λύματα	污水	λύμα	N	N;NOM;NEUT;PL
獨裁	απολυταρχία	獨裁	απολυταρχία	N	N;NOM;FEM;SG
獨裁	δικτατορία	獨裁	δικτατορία	N	N;NOM;FEM;SG
宮廷	ανάκτορα	宮廷	ανάκτορα	N	N;NOM;NEUT;PL
宮廷	παλάτι	宮廷	παλάτι	N	N;NOM;NEUT;SG
想象	φαντασία	想象	φαντασία	N	N;NOM;FEM;SG
祈	προσεύχεται	祈	προσεύχομαι	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
相容	συμβατό	相容	συμβατός	N	N;NOM;NEUT;SG
相容	συμβατότητα	相容	συμβατότητα	N	N;NOM;FEM;SG
廚師	μάγειρα	廚師	μάγειρα	N	N;NOM;NEUT;SG
廚師	μαγείρισσα	廚師	μαγείρισσα	N	N;NOM;FEM;SG
廚師	μάγειρας	廚師	μάγειρα	N	N;NOM;MASC;SG
廚師	μαγείρεμα	廚師	μαγείρεμα	N	N;NOM;NEUT;SG
營養	διατροφή	營養	διατροφή	N	N;NOM;FEM;SG
橡膠	ελαστικό	橡膠	ελαστικός	N	N;NOM;NEUT;SG
橡膠	καουτσούκ	橡膠	καουτσούκ	N	N;NOM;NEUT;SG
教義	διδασκαλίες	教義	διδασκαλία	N	N;NOM;FEM;PL
教義	δόγμα	教義	δόγμα	N	N;NOM;NEUT;SG
扳機	έναυσμα	扳機	έναυσμα	N	N;ACC;NEUT;SG
扳機	σκανδάλη	扳機	σκάνδαλο	N	N;ACC;FEM;SG
