van	від	van	від	ADP	ADP;GEN
lijst	перелік	lijst	перелік	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
lijst	список	lijst	список	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
hier	тут	hier	тут	ADV	ADV
omdat	адже	omdat	адже	CONJ	CONJ
omdat	бо	omdat	бо	CONJ	CONJ
links	лівий	links	лівий	ADJ	ADJ;NOM;MASC;SG
tijd	тайм	tijd	тайм	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
tijd	час	tijd	час	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
daar	туди	daar	туди	ADV	ADV
daar	там	daar	там	ADV	ADV
drie	три	drie	три	NUM	NUM;NOM
vanaf	від	vanaf	від	ADP	ADP;GEN
kwam	приїхала	komen	приїхати	V;SG;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
kwam	приїхав	komen	приїхати	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
kwam	зайшла	komen	зайти	V;SG;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
kwam	прийшло	komen	прийти	V;SG;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
kwam	прийшов	komen	прийти	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
provincie	провінція	provincie	провінція	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
link	посиланням	link	посилання	N;MASC+FEM;SG	N;INAN;INS;NEUT;SG
link	лінк	link	лінк	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
gebruikt	використовується	gebruiken	використовуватися	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
gebruikt	використано	gebruiken	використати	V;V.PTCP	V;PFV;IND;0;FIN
alleen	наодинці	alleen	наодинці	ADV	ADV
alleen	поодинці	alleen	поодинець	ADV	ADV
nederlands	нідерландська	nederland	нідерландський	ADJ	ADJ;NOM;FEM;SG
nederlands	голландська	nederland	голландський	ADJ	ADJ;NOM;FEM;SG
eeuw	ст	eeuw	ст.	N;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
eeuw	століття	eeuw	століття	N;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
vlinder	метелик	vlinder	метелик	N;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
keversoort	жук	keversoort	жук	N;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
bekend	відома	bekend	відомий	ADJ	ADJ;NOM;FEM;SG
bekend	відоме	bekend	відомий	ADJ	ADJ;NOM;NEUT;SG
bekend	відомі	bekend	відомий	ADJ	ADJ;NOM;PL
bekend	знайомі	bekend	знайомий	ADJ	ADJ;NOM;PL
club	клуб	club	клуб	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
samen	разом	samen	разом	ADV	ADV
één	одна	één	один	NUM	NUM;NOM;FEM
één	один	één	один	NUM	NUM;NOM;MASC
maakt	робить	maken	робити	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
maken	творити	maken	творити	V;NFIN	V;IPFV;NFIN
maken	створити	maken	створити	V;NFIN	V;PFV;NFIN
maken	зробити	maken	зробити	V;NFIN	V;PFV;NFIN
behoort	належить	behoren	належати	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
amerikaanse	американський	amerikaans	американський	ADJ	ADJ;NOM;MASC;SG
amerikaanse	американські	amerikaans	американський	ADJ	ADJ;NOM;PL
amerikaanse	американська	amerikaans	американський	ADJ	ADJ;NOM;FEM;SG
amerikaanse	американської	amerikaans	американський	ADJ	ADJ;GEN;FEM;SG
enkele	дехто	enkele	дехто	PRO	PRO;ANIM;NOM
verschillende	різні	verschillend	різний	ADJ	ADJ;NOM;PL
verschillende	різних	verschillend	різний	ADJ	ADJ;ACC;PL
verschillende	відмінні	verschillend	відмінний	ADJ	ADJ;NOM;PL
verschillende	різноманітні	verschillend	різноманітний	ADJ	ADJ;NOM;PL
verschillende	різні	verschillend	різний	ADJ	ADJ;NOM;PL
bestaat	існує	bestaan	існувати	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
seizoen	сезон	seizoen	сезон	N;NEUT;SG	N;INAN;NOM;MASC;SG
seizoen	сезону	seizoen	сезон	N;NEUT;SG	N;INAN;GEN;MASC;SG
eigen	власні	eigen	власний	ADJ	ADJ;NOM;PL
eigen	власний	eigen	власний	ADJ	ADJ;NOM;MASC;SG
gaat	їздить	gaan	їздити	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gaat	йде	gaan	йти	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gaat	переходить	gaan	переходити	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gaat	ходить	gaan	ходити	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
weg	геть	weg	геть	ADV	ADV
insect	комаху	insect	комаха	N;NEUT;SG	N;INAN;ACC;FEM;SG
insect	комаха	insect	комаха	N;NEUT;SG	N;INAN;NOM;FEM;SG
insect	ваду	insect	вада	N;NEUT;SG	N;INAN;ACC;FEM;SG
insect	вада	insect	вада	N;NEUT;SG	N;INAN;NOM;FEM;SG
film	фільм	film	фільм	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
film	кіно	film	кіно	N;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
film	фільм	film	фільм	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
film	плівка	film	плівка	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
franse	французька	frans	французький	ADJ	ADJ;NOM;FEM;SG
franse	французькою	frans	французький	ADJ	ADJ;INS;FEM;SG
franse	французький	frans	французький	ADJ	ADJ;NOM;MASC;SG
terug	назад	terug	назад	ADV	ADV
terug	ззаду	terug	ззаду	ADV	ADV
land	країна	land	країна	N;NEUT;SG	N;INAN;NOM;FEM;SG
land	земля	land	земля	N;NEUT;SG	N;INAN;NOM;FEM;SG
ging	поїхала	gaan	поїхати	V;SG;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
ging	ходив	gaan	ходити	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
ging	поїхав	gaan	поїхати	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
werk	робота	werk	робота	N;NEUT;SG	N;INAN;NOM;FEM;SG
werk	роботу	werk	робота	N;NEUT;SG	N;INAN;ACC;FEM;SG
website	сайті	website	сайт	N;MASC+FEM;SG	N;INAN;DAT;MASC;SG
website	сайт	website	сайт	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
goed	хороші	goed	хороший	ADJ	ADJ;NOM;PL
goed	гарні	goed	гарний	ADJ	ADJ;NOM;PL
goed	добрий	goed	добрий	ADJ	ADJ;NOM;MASC;SG
duitse	німецька	duits	німецький	ADJ	ADJ;NOM;FEM;SG
duitse	німецькою	duits	німецький	ADJ	ADJ;INS;FEM;SG
duitse	німецький	duits	німецький	ADJ	ADJ;NOM;MASC;SG
bestand	файл	bestand	файл	N;NEUT;SG	N;INAN;NOM;MASC;SG
mensen	люди	mens	людина	N;PL	N;ANIM;NOM;FEM;PL
mensen	людей	mens	людина	N;PL	N;ANIM;ACC;FEM;PL
mensen	люди	mens	людина	N;PL	N;ANIM;NOM;FEM;PL
gaan	їду	gaan	їха	V;PRS;NFIN	V;IPFV;IND;SG;1;PRS;FIN
gaan	йдемо	gaan	йти	V;PRS;NFIN	V;IPFV;IND;PL;1;PRS;FIN
vaak	спільними	vaak	спільний	ADJ	ADJ;INS;PL
vaak	поширені	vaak	поширений	ADJ	ADJ;PFV;NOM;PL;V.PTCP;PASS
vaak	спільне	vaak	спільний	ADJ	ADJ;NOM;NEUT;SG
vaak	загальні	vaak	загальний	ADJ	ADJ;NOM;PL
orde	ордер	orde	ордер	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
orde	наказ	orde	наказ	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
orde	порядок	orde	порядок	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
groot	великі	groot	великий	ADJ	ADJ;NOM;PL
groot	великих	groot	великий	ADJ	ADJ;ANIM;ACC;PL
groot	великі	groot	великий	ADJ	ADJ;NOM;PL
groot	велике	groot	великий	ADJ	ADJ;NOM;NEUT;SG
groot	велика	groot	великий	ADJ	ADJ;NOM;FEM;SG
groot	великий	groot	великий	ADJ	ADJ;NOM;MASC;SG
groot	великий	groot	великий	ADJ	ADJ;NOM;MASC;SG
vooral	особливо	vooral	особливо	ADV	ADV
vooral	здебільшого	vooral	здебільшого	ADV	ADV
vooral	переважно	vooral	переважно	ADV	ADV
marine	флот	marine	флот	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
kerk	церква	kerk	церква	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
kerk	костел	kerk	костел	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
regio	ділянку	regio	ділянка	N;MASC+FEM;SG	N;INAN;ACC;FEM;SG
regio	регіон	regio	регіон	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
oppervlakte	область	oppervlakte	область	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
oppervlakte	ділянка	oppervlakte	ділянка	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
oppervlakte	площа	oppervlakte	площа	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
oppervlakte	місцевість	oppervlakte	місцевість	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
genoemd	згадала	noemen	згадати	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
genoemd	згадав	noemen	згадати	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
genoemd	згадував	noemen	згадувати	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
genoemd	назвали	noemen	назвати	V;V.PTCP	V;PFV;IND;PL;PST;FIN
genoemd	названо	noemen	назвати	V;V.PTCP	V;PFV;IND;0;FIN
genoemd	назвали	noemen	назвати	V;V.PTCP	V;PFV;IND;PL;PST;FIN
genoemd	викликала	noemen	викликати	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
genoemd	називається	noemen	називатися	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
genoemd	викликали	noemen	викликати	V;V.PTCP	V;PFV;IND;PL;PST;FIN
komen	іду	komen	іти	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
komen	наближається	komen	наближатися	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
ongeveer	приблизно	ongeveer	приблизно	ADV	ADV
ongeveer	приблизно	ongeveer	приблизно	ADV	ADV
speelde	грала	spelen	грати	V;SG;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN
speelde	грав	spelen	грати	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
dorp	село	dorp	село	N;NEUT;SG	N;INAN;NOM;NEUT;SG
plaatsen	місць	plaats	місце	N;PL	N;INAN;GEN;NEUT;PL
plaatsen	місця	plaats	місце	N;PL	N;INAN;NOM;NEUT;PL
plaatsen	місцини	plaats	місцина	N;PL	N;INAN;NOM;FEM;PL
geraadpleegd	звертаюся	raadplegen	звертатися	V;V.PTCP	V;IPFV;IND;SG;1;PRS;FIN
leven	життя	leven	життя	N;NEUT;SG	N;INAN;NOM;NEUT;SG
leven	трансляція	leven	трансляція	N;NEUT;SG	N;INAN;NOM;FEM;SG
register	регістр	register	регістр	N;NEUT;SG	N;INAN;NOM;MASC;SG
register	реєстрація	register	реєстрація	N;NEUT;SG	N;INAN;NOM;FEM;SG
register	реєстр	register	реєстр	N;NEUT;SG	N;INAN;NOM;MASC;SG
vier	чотирьох	vier	чотири	NUM	NUM;NOM
vier	чотири	vier	чотири	NUM	NUM;NOM
toch	ще	toch	ще	ADV	ADV
zeer	дуже	zeer	дуже	ADV	ADV
top	саміт	top	саміт	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
top	вершина	top	вершина	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
oude	старі	oud	старий	ADJ	ADJ;NOM;PL
oude	старе	oud	старий	ADJ	ADJ;NOM;NEUT;SG
oude	старим	oud	старий	ADJ	ADJ;INS;NEUT;SG
oude	стара	oud	старий	ADJ	ADJ;NOM;FEM;SG
oude	старий	oud	старий	ADJ	ADJ;NOM;MASC;SG
zonder	без	zonder	без	ADP	ADP;GEN
ronde	кругла	ronde	кругти	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
ronde	раунд	ronde	раунд	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
gemaakt	зробила	maken	зробити	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
gemaakt	створено	maken	створити	V;V.PTCP	V;PFV;IND;0;FIN
groep	група	groep	група	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
groep	групу	groep	група	N;MASC+FEM;SG	N;INAN;ACC;FEM;SG
groep	спільнота	groep	спільнота	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
won	переміг	winnen	перемогти	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
won	виграв	winnen	виграти	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
goals	голи	goal	голий	N;PL	N;INAN;NOM;MASC;PL
gebruik	користування	gebruik	користування	N;NEUT;SG	N;INAN;NOM;NEUT;SG
gebruik	використання	gebruik	використання	N;NEUT;SG	N;INAN;NOM;NEUT;SG
gebruik	користування	gebruik	користування	N;NEUT;SG	N;INAN;NOM;NEUT;SG
gebruik	використання	gebruik	використання	N;NEUT;SG	N;INAN;NOM;NEUT;SG
werken	працюю	werken	працювати	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
werken	працюють	werken	працювати	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN
werken	працює	werken	працювати	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
derde	третій	drie	третій	ADJ	ADJ;NOM;MASC;SG
derde	третя	drie	третій	ADJ	ADJ;NOM;FEM;SG
iets	щось	iets	щось	PRO;3	PRO;INAN;NOM;NEUT;SG
iets	чимось	iets	щось	PRO;3	PRO;INAN;INS;NEUT;SG
zuid	південна	zuid	південний	ADJ	ADJ;NOM;FEM;SG
zuid	південний	zuid	південний	ADJ	ADJ;NOM;MASC;SG
kleine	малий	klein	малий	ADJ	ADJ;NOM;MASC;SG
kleine	малі	klein	малий	ADJ	ADJ;NOM;PL
kleine	маленькі	klein	маленький	ADJ	ADJ;NOM;PL
kleine	маленька	klein	маленький	ADJ	ADJ;NOM;FEM;SG
kleine	маленький	klein	маленький	ADJ	ADJ;NOM;MASC;SG
kleine	маленькі	klein	маленький	ADJ	ADJ;NOM;PL
zien	подивитися	zien	подивитися	V;NFIN	V;PFV;NFIN
zien	бачите	zien	бачити	V;NFIN	V;IPFV;IND;PL;2;PRS;FIN
zien	бачу	zien	бачити	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
zien	переглянути	zien	переглянути	V;NFIN	V;PFV;NFIN
album	альбому	album	альбий	N;NEUT;SG	N;INAN;GEN;MASC;SG
album	альбом	album	альбом	N;NEUT;SG	N;INAN;NOM;MASC;SG
mogelijk	можливе	mogelijk	можливий	ADJ	ADJ;NOM;NEUT;SG
mogelijk	можлива	mogelijk	можливий	ADJ	ADJ;NOM;FEM;SG
wil	мріє	willen	мріяти	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
wil	хоче	willen	хотіти	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
wil	хочу	willen	хотіти	V;SG;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN
wil	хочеш	willen	хотіти	V;SG;PRS;FIN	V;IPFV;IND;SG;2;PRS;FIN
staten	стани	state	стан	N;PL	N;INAN;NOM;MASC;PL
nam	взяв	nemen	взяти	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
nam	забрала	nemen	забрати	V;SG;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
nam	забрав	nemen	забрати	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
station	станція	station	станція	N;NEUT;SG	N;INAN;NOM;FEM;SG
station	вокзал	station	вокзал	N;NEUT;SG	N;INAN;NOM;MASC;SG
zoon	сина	zoon	син	N;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
zoon	сину	zoon	син	N;MASC+FEM;SG	N;ANIM;VOC;MASC;SG
zoon	син	zoon	син	N;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
man	людина	man	людина	N;MASC+FEM;SG	N;ANIM;NOM;FEM;SG
man	чоловік	man	чоловік	N;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
man	мужчина	man	мужчина	N;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
water	вода	water	вода	N;NEUT;SG	N;INAN;NOM;FEM;SG
gezien	бачили	zien	бачити	V;V.PTCP	V;IPFV;IND;PL;PST;FIN
gezien	бачив	zien	бачити	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
begin	старт	begin	старт	N;NEUT;SG	N;INAN;NOM;MASC;SG
begin	початок	begin	початок	N;NEUT;SG	N;INAN;NOM;MASC;SG
begin	початок	begin	початок	N;NEUT;SG	N;INAN;NOM;MASC;SG
begin	початок	begin	початок	N;NEUT;SG	N;INAN;NOM;MASC;SG
koning	король	koning	король	N;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
koning	цар	koning	цар	N;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
spelen	відтворити	spelen	відтворити	V;NFIN	V;PFV;NFIN
spelen	грати	spelen	грати	V;NFIN	V;IPFV;NFIN
spelen	програти	spelen	програти	V;NFIN	V;PFV;NFIN
spelen	грає	spelen	грати	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
periode	строк	periode	строк	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
periode	період	periode	період	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
volkstelling	перепис	volkstelling	перепис	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
officiële	офіційні	officeel	офіційний	ADJ	ADJ;NOM;PL
officiële	офіційна	officeel	офіційний	ADJ	ADJ;NOM;FEM;SG
officiële	офіційний	officeel	офіційний	ADJ	ADJ;NOM;MASC;SG
officiële	офіційне	officeel	офіційний	ADJ	ADJ;NOM;NEUT;SG
lid	член	lid	член	N;NEUT;SG	N;ANIM;NOM;MASC;SG
lid	учасник	lid	учасник	N;NEUT;SG	N;ANIM;NOM;MASC;SG
lid	учасника	lid	учасник	N;NEUT;SG	N;ANIM;ACC;MASC;SG
lid	члена	lid	член	N;NEUT;SG	N;ANIM;ACC;MASC;SG
titel	напис	titel	напис	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
titel	підпис	titel	підпис	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
titel	назва	titel	назва	N;MASC+FEM;SG	N;INAN;NOM;FEM;SG
titel	заголовок	titel	заголовок	N;MASC+FEM;SG	N;INAN;NOM;MASC;SG
titel	титул	titel	титул	N;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
feb	лютого	feb	лютий	N;MASC+FEM;SG	N;INAN;GEN;MASC;SG
begon	почалося	beginnen	початися	V;SG;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
begon	почалось	beginnen	початися	V;SG;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
begon	розпочато	beginnen	розпочати	V;SG;PST;FIN	V;PFV;IND;0;FIN
