til	varten	til	varten	ADV	ADV
død	kuolema	død	kuolema	N;INDF;MASC+FEM;SG	N;NOM;SG
findes	olemassa	findes	olla	V;IND;PRS;FIN;ACT	V;IN+ESS;SG;NFIN;ACT
findes	olemassa	findes	olla	V;IND;PRS;FIN;ACT	V;IN+ESS;SG;NFIN;ACT
august	elokuu	august	elokuu	N;INDF;MASC+FEM;SG	N;NOM;SG
august	elokuuta	august	elokuu	N;INDF;MASC+FEM;SG	N;PRT;SG
august	elokuussa	august	elokuu	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
august	elokuun	august	elokuu	N;INDF;MASC+FEM;SG	N;GEN;SG
august	august	august	august	N;INDF;MASC+FEM;SG	N;NOM;SG
gang	aika	gang	aika	N;INDF;MASC+FEM;SG	N;NOM;SG
gang	ajan	gang	aika	N;INDF;MASC+FEM;SG	N;GEN;SG
gang	aikaa	gang	aika	N;INDF;MASC+FEM;SG	N;PRT;SG
forskellige	erilaiset	forskellig	erilainen	ADJ;PL	ADJ;NOM;PL
forskellige	eri	forskellig	eri	ADJ;PL	ADJ
tid	aika	tid	aika	N;INDF;MASC+FEM;SG	N;NOM;SG
tid	ajan	tid	aika	N;INDF;MASC+FEM;SG	N;GEN;SG
tid	aikaa	tid	aika	N;INDF;MASC+FEM;SG	N;PRT;SG
nye	uudet	ny	uusi	ADJ;PL	ADJ;NOM;PL
nye	uusia	ny	uusi	ADJ;PL	ADJ;PRT;PL
januar	tammikuu	januar	tammikuu	N;INDF;MASC+FEM;SG	N;NOM;SG
januar	tammikuussa	januar	tammikuu	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
januar	tammikuun	januar	tammikuu	N;INDF;MASC+FEM;SG	N;GEN;SG
januar	tammikuuta	januar	tammikuu	N;INDF;MASC+FEM;SG	N;PRT;SG
gennem	kautta	gennem	kautta	ADV	ADV
gennem	kautta	gennem	kautta	ADV	ADV
gennem	läpi	gennem	läpi	ADV	ADV
stor	iso	stor	iso	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;SG
stor	suuri	stor	suuri	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;SG
stor	iso	stor	iso	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;SG
stor	suuri	stor	suuri	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;SG
stor	hienoa	stor	hieno	ADJ;INDF;MASC+FEM;SG	ADJ;PRT;SG
uden	ilman	uden	ilman	ADV	ADV
når	kun	når	kun	CONJ	CONJ
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	N;NOM;SG
juni	kesäkuu	juni	kesäkuu	N;INDF;MASC+FEM;SG	N;NOM;SG
juni	kesäkuuta	juni	kesäkuu	N;INDF;MASC+FEM;SG	N;PRT;SG
juni	kesäkuussa	juni	kesäkuu	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
kendt	tunnettu	kendt	tunnettu	ADJ;INDF;SG	ADJ;NOM;SG
kendt	kuuluisa	kendt	kuuluisa	ADJ;INDF;SG	ADJ;NOM;SG
kendt	tunnettu	kendt	tunnettu	ADJ;INDF;SG	ADJ;NOM;SG
før	ennen	før	ennen	ADV	ADV
sogn	seurakunta	sogn	seura#kunta	N;INDF;NEUT;SG	N;NOM;SG
september	syys	september	syys	N;INDF;MASC+FEM;SG	N;NOM;SG
september	syyskuuta	september	syyskuu	N;INDF;MASC+FEM;SG	N;PRT;SG
september	syyskuu	september	syyskuu	N;INDF;MASC+FEM;SG	N;NOM;SG
mest	eniten	mest	eniten	ADV;RL	ADV
april	huhtikuu	april	huhtikuu	N;INDF;MASC+FEM;SG	N;NOM;SG
april	huhtikuuta	april	huhtikuu	N;INDF;MASC+FEM;SG	N;PRT;SG
april	huhtikuussa	april	huhtikuu	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
april	huhtikuun	april	huhtikuu	N;INDF;MASC+FEM;SG	N;GEN;SG
april	huhti	april	huhti	N;INDF;MASC+FEM;SG	N;NOM;SG
oktober	lokakuussa	oktober	lokakuu	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
oktober	lokakuun	oktober	lokakuu	N;INDF;MASC+FEM;SG	N;GEN;SG
oktober	lokakuu	oktober	lokakuu	N;INDF;MASC+FEM;SG	N;NOM;SG
marts	maaliskuu	marts	maaliskuu	N;INDF;MASC+FEM;SG	N;NOM;SG
marts	maaliskuuta	marts	maaliskuu	N;INDF;MASC+FEM;SG	N;PRT;SG
hele	koko	hel	koko	ADJ;DEF;SG	ADJ
hele	kokonaisena	hel	kokonainen	ADJ;DEF;SG	ADJ;FRML;SG
hele	kokonainen	hel	kokonainen	ADJ;DEF;SG	ADJ;NOM;SG
juli	heinäkuu	juli	heinäkuu	N;INDF;MASC+FEM;SG	N;NOM;SG
juli	heinäkuussa	juli	heinäkuu	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
juli	heinäkuun	juli	heinäkuu	N;INDF;MASC+FEM;SG	N;GEN;SG
juli	heinä	juli	hän	N;INDF;MASC+FEM;SG	N;NOM;SG
juli	heinäkuuta	juli	heinäkuu	N;INDF;MASC+FEM;SG	N;PRT;SG
kirke	kirkon	kirke	kirkko	N;INDF;MASC+FEM;SG	N;GEN;SG
kirke	kirkossa	kirke	kirkko	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
kirke	kirkkoon	kirke	kirkko	N;INDF;MASC+FEM;SG	N;IN+ALL;SG
kirke	kirkko	kirke	kirkko	N;INDF;MASC+FEM;SG	N;NOM;SG
kirke	seurakunta	kirke	seura#kunta	N;INDF;MASC+FEM;SG	N;NOM;SG
række	riviä	række	rivi	N;INDF;MASC+FEM;SG	N;PRT;SG
række	rivin	række	rivi	N;INDF;MASC+FEM;SG	N;GEN;SG
række	rivi	række	rivi	N;INDF;MASC+FEM;SG	N;NOM;SG
derfor	siksi	derfor	siksi	ADV	ADV
navn	nimi	navn	nimi	N;INDF;NEUT;SG	N;NOM;SG
navn	nimeä	navn	nimi	N;INDF;NEUT;SG	N;PRT;SG
ofte	usein	ofte	usein	ADV	ADV
ofte	usein	ofte	usein	ADV	ADV
november	marraskuuta	november	marraskuu	N;INDF;MASC+FEM;SG	N;PRT;SG
november	marraskuussa	november	marraskuu	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
november	marraskuu	november	marraskuu	N;INDF;MASC+FEM;SG	N;NOM;SG
december	joulukuu	december	joulukuu	N;INDF;MASC+FEM;SG	N;NOM;SG
december	joulukuussa	december	joulukuu	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
december	joulukuuta	december	joulukuu	N;INDF;MASC+FEM;SG	N;PRT;SG
først	ensin	først	ensin	ADV	ADV
først	ensiksi	først	ensiksi	ADV	ADV
mål	target	mål	tarki	N;INDF;NEUT;SG	N;NOM;SG
mål	kohde	mål	kohde	N;INDF;NEUT;SG	N;NOM;SG
mål	tavoite	mål	tavoite	N;INDF;NEUT;SG	N;NOM;SG
mål	maali	mål	maali	N;INDF;NEUT;SG	N;NOM;SG
mål	tavoite	mål	tavoite	N;INDF;NEUT;SG	N;NOM;SG
mål	päämäärä	mål	pää#määrä	N;INDF;NEUT;SG	N;NOM;SG
mål	tavoitteen	mål	tavoite	N;INDF;NEUT;SG	N;GEN;SG
film	elokuvat	film	elo#kuva	N;INDF;MASC+FEM;PL	N;NOM;PL
film	elokuvia	film	elo#kuva	N;INDF;MASC+FEM;PL	N;PRT;PL
film	elokuvista	film	elo#kuva	N;INDF;MASC+FEM;PL	N;IN+ABL;PL
film	elokuvat	film	elo#kuva	N;INDF;MASC+FEM;PL	N;NOM;PL
film	elokuvissa	film	elo#kuva	N;INDF;MASC+FEM;PL	N;IN+ESS;PL
film	elokuvia	film	elo#kuva	N;INDF;MASC+FEM;PL	N;PRT;PL
sidste	viimeisenä	sidste	viimeinen	ADJ	ADJ;FRML;SG
sidste	viimeinen	sidste	viimeinen	ADJ	ADJ;NOM;SG
sidste	viime	sidste	viime	ADJ	ADJ
blive	ryhdy	blive	ryhtyä	V;NFIN;ACT	V;IMP;SG;2;FIN;ACT
noget	jotakin	nogen	jokin	PRO;NEUT;SG	PRO;PRT;SG
noget	jotain	nogen	jokin	PRO;NEUT;SG	PRO;PRT;SG
gik	meni	gå	mennä	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
gik	käveli	gå	kävellä	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
gik	kävellyt	gå	kävellä	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;ACT
indtil	kunnes	indtil	kunnes	CONJ	CONJ
februar	helmikuuta	februar	helmikuu	N;INDF;MASC+FEM;SG	N;PRT;SG
februar	helmikuussa	februar	helmikuu	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
februar	helmikuu	februar	helmikuu	N;INDF;MASC+FEM;SG	N;NOM;SG
fire	neljä	fire	neljä	NUM	NUM;NOM;SG
vandt	voitin	vinde	voida	V;IND;PST;FIN;ACT	V;IND;SG;1;PST;FIN;ACT
vandt	voitti	vinde	voittaa	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
vandt	voittanut	vinde	voittaa	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;ACT
inden	ennen	inden	ennen	ADV	ADV
mindre	vähemmän	mindre	vähemmän	ADV;CMPR	ADV
frem	eteenpäin	frem	eteenpäin	ADV	ADV
største	suurimmat	stor	suuri	ADJ;DEF;RL	ADJ;NOM;RL;PL
største	suurin	stor	suuri	ADJ;DEF;RL	ADJ;NOM;RL;SG
største	isoin	stor	iso#i	ADJ;DEF;RL	ADJ;NOM;RL;SG
største	suurimpia	stor	suuri	ADJ;DEF;RL	ADJ;PRT;RL;PL
største	suurimmat	stor	suuri	ADJ;DEF;RL	ADJ;NOM;RL;PL
største	suurinta	stor	suuri	ADJ;DEF;RL	ADJ;PRT;RL;SG
største	suurin	stor	suuri	ADJ;DEF;RL	ADJ;NOM;RL;SG
hjemmeside	sivuston	hjemmeside	sivusto	N;INDF;MASC+FEM;SG	N;GEN;SG
hjemmeside	sivusto	hjemmeside	sivusto	N;INDF;MASC+FEM;SG	N;NOM;SG
hjemmeside	verkkosivusto	hjemmeside	verkko#sivusto	N;INDF;MASC+FEM;SG	N;NOM;SG
hjemmeside	kotisivu	hjemmeside	koti#sivu	N;INDF;MASC+FEM;SG	N;NOM;SG
side	sivu	side	sivu	N;INDF;MASC+FEM;SG	N;NOM;SG
side	sivulla	side	sivu	N;INDF;MASC+FEM;SG	N;AT+ESS
;SG
side	puolella	side	puoli	N;INDF;MASC+FEM;SG	N;AT+ESS
;SG
side	side	side	side	N;INDF;MASC+FEM;SG	N;NOM;SG
medlem	jäsen	medlem	jäsen	N;INDF;NEUT;SG	N;NOM;SG
medlem	jäsenen	medlem	jäsen	N;INDF;NEUT;SG	N;GEN;SG
større	suuremmat	stor	suuri	ADJ;CMPR	ADJ;NOM;CMPR;PL
større	suurempi	stor	suuri	ADJ;CMPR	ADJ;NOM;CMPR;SG
større	suurempia	stor	suuri	ADJ;CMPR	ADJ;PRT;CMPR;PL
større	suuremmat	stor	suuri	ADJ;CMPR	ADJ;NOM;CMPR;PL
større	suurempi	stor	suuri	ADJ;CMPR	ADJ;NOM;CMPR;SG
større	isompi	stor	iso	ADJ;CMPR	ADJ;NOM;CMPR;SG
større	isommat	stor	iso	ADJ;CMPR	ADJ;NOM;CMPR;PL
større	isompia	stor	iso	ADJ;CMPR	ADJ;PRT;CMPR;PL
større	suurempi	stor	suuri	ADJ;CMPR	ADJ;NOM;CMPR;SG
større	isompi	stor	iso	ADJ;CMPR	ADJ;NOM;CMPR;SG
spillede	pelasi	spille	pelata	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
spillede	pelannut	spille	pelata	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;ACT
igen	uudestaan	igen	uudestaan	ADV	ADV
igen	uudelleen	igen	uudelleen	ADV	ADV
igen	taas	igen	taas	ADV	ADV
igen	jälleen	igen	jälleen	ADV	ADV
søn	poika	søn	poika	N;INDF;MASC+FEM;SG	N;NOM;SG
grund	järki	grund	järki	N;INDF;NEUT;SG	N;NOM;SG
grund	syy	grund	syy	N;INDF;NEUT;SG	N;NOM;SG
grund	syyn	grund	syy	N;INDF;NEUT;SG	N;GEN;SG
tog	otti	tage	ottaa	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
tog	vei	tage	viedä	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
amerikansk	amerikkalainen	amerikansk	amerikkalainen	ADJ;INDF;SG	ADJ;NOM;SG
lille	pieni	lille	pieni	ADJ;SG	ADJ;NOM;SG
lille	pieni	lille	pieni	ADJ;SG	ADJ;NOM;SG
lille	pikku	lille	pikku	ADJ;SG	ADJ
således	siten	således	siten	ADV	ADV
således	täten	således	täten	ADV	ADV
nord	pohjoinen	nord	pohjoinen	N;INDF	N;NOM;SG
nord	pohjoiseen	nord	pohjoinen	N;INDF	N;IN+ALL;SG
nord	pohjois	nord	pohjois	N;INDF	N;NOM;SG
kort	lyhyt	kort	lyhyt	ADJ;INDF;SG	ADJ;NOM;SG
artikler	artikkelit	artikel	artikkeli	N;INDF;MASC+FEM;PL	N;NOM;PL
artikler	artikkeleita	artikel	artikkeli	N;INDF;MASC+FEM;PL	N;PRT;PL
artikler	artiklat	artikel	artikla	N;INDF;MASC+FEM;PL	N;NOM;PL
begyndte	alkanut	begynde	alkaa	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;ACT
begyndte	alkoi	begynde	alkaa	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
begyndte	aloitti	begynde	aloittaa	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
begyndte	alkanut	begynde	alkaa	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;ACT
begyndte	alkoi	begynde	alkaa	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
begyndte	aloitti	begynde	aloittaa	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
udgivet	julkaistu	udgive	julkaista	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
udgivet	luovutettu	udgive	luovuttaa	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
udgivet	vapautettu	udgive	vapauttaa	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
udgivet	julkaistu	udgive	julkaista	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
udgivet	julkaissut	udgive	julkaista	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
helt	kokonaan	helt	kokonaan	ADV	ADV
helt	täysin	helt	täysin	ADV	ADV
gamle	vanhat	gammel	vanha	ADJ;PL	ADJ;NOM;PL
gamle	vanhoja	gammel	vanha	ADJ;PL	ADJ;PRT;PL
isbn	isbn	isbn	isbn	N;INDF;MASC+FEM;SG	N;NOM;SG
gange	aikoja	gang	aika	N;INDF;MASC+FEM;PL	N;PRT;PL
gange	ajat	gang	aika	N;INDF;MASC+FEM;PL	N;NOM;PL
bedste	paras	god	hyvä	ADJ;DEF;RL	ADJ;NOM;RL;SG
bedste	parhaat	god	hyvä	ADJ;DEF;RL	ADJ;NOM;RL;PL
bedste	parasta	god	hyvä	ADJ;DEF;RL	ADJ;PRT;RL;SG
tysk	saksalainen	tysk	saksalainen	ADJ;INDF;SG	ADJ;NOM;SG
meter	mittarit	meter	mittari	N;INDF;MASC+FEM;PL	N;NOM;PL
gruppe	konserni	gruppe	konserni	N;INDF;MASC+FEM;SG	N;NOM;SG
gruppe	ryhmän	gruppe	ryhmä	N;INDF;MASC+FEM;SG	N;GEN;SG
gruppe	ryhmä	gruppe	ryhmä	N;INDF;MASC+FEM;SG	N;NOM;SG
stedet	paikassa	sted	paikka	N;DEF;NEUT;SG	N;IN+ESS;SG
stedet	paikka	sted	paikka	N;DEF;NEUT;SG	N;NOM;SG
lige	suoraan	lige	suoraan	ADV	ADV
spillet	pelattu	spille	pelata	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
spillet	soitettu	spille	soittaa	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
spillet	pelasi	spille	pelata	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
spillet	pelannut	spille	pelata	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
forbindelse	yhteys	forbindelse	yhteys	N;INDF;MASC+FEM;SG	N;NOM;SG
forbindelse	yhteyden	forbindelse	yhteys	N;INDF;MASC+FEM;SG	N;GEN;SG
hver	jokainen	hver	jokainen	PRO;MASC+FEM;SG	PRO;NOM;SG
hver	jokainen	hver	jokainen	PRO;MASC+FEM;SG	PRO;NOM;SG
hver	kunkin	hver	kukin	PRO;MASC+FEM;SG	PRO;GEN;SG
hver	kumpikin	hver	kumpikin	PRO;MASC+FEM;SG	PRO;NOM;SG
hver	kukin	hver	kukin	PRO;MASC+FEM;SG	PRO;NOM;SG
allerede	jo	allerede	jo	ADV	ADV
historie	tarinaa	historie	tarina	N;INDF;MASC+FEM;SG	N;PRT;SG
historie	tarina	historie	tarina	N;INDF;MASC+FEM;SG	N;NOM;SG
historie	tarinan	historie	tarina	N;INDF;MASC+FEM;SG	N;GEN;SG
historie	historia	historie	historia	N;INDF;MASC+FEM;SG	N;NOM;SG
historie	historiaan	historie	historia	N;INDF;MASC+FEM;SG	N;IN+ALL;SG
historie	historiaa	historie	historia	N;INDF;MASC+FEM;SG	N;PRT;SG
historie	historian	historie	historia	N;INDF;MASC+FEM;SG	N;GEN;SG
historie	historiasta	historie	historia	N;INDF;MASC+FEM;SG	N;IN+ABL;SG
århundrede	vuosisadan	århundrede	vuosi#sata	N;INDF;NEUT;SG	N;GEN;SG
århundrede	vuosisata	århundrede	vuosi#sata	N;INDF;NEUT;SG	N;NOM;SG
stadig	vielä	stadig	vielä	ADV	ADV
stadig	vieläkin	stadig	vieläkin	ADV	ADV
stadig	edelleen	stadig	edelleen	ADV	ADV
stadig	yhä	stadig	yhä	ADV	ADV
sted	paikassa	sted	paikka	N;INDF;NEUT;SG	N;IN+ESS;SG
sted	paikka	sted	paikka	N;INDF;NEUT;SG	N;NOM;SG
sted	sijainti	sted	sijainti	N;INDF;NEUT;SG	N;NOM;SG
center	keskus	center	keskus	N;INDF;NEUT;SG	N;NOM;SG
center	keskusta	center	keskusta	N;INDF;NEUT;SG	N;NOM;SG
center	center	center	center	N;INDF;NEUT;SG	N;NOM;SG
center	keskus	center	keskus	N;INDF;NEUT;SG	N;NOM;SG
center	keskusta	center	keskusta	N;INDF;NEUT;SG	N;NOM;SG
forhold	suhde	forhold	suhde	N;INDF;NEUT;SG	N;NOM;SG
forhold	suhdeluku	forhold	suhdelu	N;INDF;NEUT;SG	N;NOM;SG
forhold	suhde	forhold	suhde	N;INDF;NEUT;SG	N;NOM;SG
spiller	pelaamassa	spille	pelata	V;IND;PRS;FIN;ACT	V;IN+ESS;SG;NFIN;ACT
spiller	leikkii	spille	leikkiä	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
kommer	tulee	komme	tulla	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
kommer	tulee	komme	tulla	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
især	erityisesti	især	erityisesti	ADV	ADV
især	varsinkin	især	varsinkin	ADV	ADV
især	etenkin	især	etenkin	ADV	ADV
kampe	ottelut	kamp	ottelu	N;INDF;MASC+FEM;PL	N;NOM;PL
kampe	tulitikkuja	kamp	tuli#tikku	N;INDF;MASC+FEM;PL	N;PRT;PL
kampe	ottelut	kamp	ottelu	N;INDF;MASC+FEM;PL	N;NOM;PL
kampe	taistelut	kamp	taistelu	N;INDF;MASC+FEM;PL	N;NOM;PL
