και	y	και	y	CONJ	CONJ
αρχείο	fichero	αρχείο	fichero	N;NOM;NEUT;SG	N;MASC;SG
αρχείο	expediente	αρχείο	expediente	N;NOM;NEUT;SG	N;MASC;SG
αρχείο	archivo	αρχείο	archivo	N;NOM;NEUT;SG	N;MASC;SG
πρέπει	debe	πρέπει	deber	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
φορά	hora	φορά	hora	N;ACC;FEM;SG	N;FEM;SG
φορά	tiempo	φορά	tiempo	N;ACC;FEM;SG	N;MASC;SG
φορά	time	φορά	time	N;ACC;FEM;SG	N
πάνω	arriba	πάνω	arriba	ADV	ADV
ομάδες	grupos	ομάδα	grupo	N;NOM;FEM;PL	N;MASC;PL
ομάδες	agrupaciones	ομάδα	agrupación	N;NOM;FEM;PL	N;FEM;PL
ομάδες	equipos	ομάδα	equipo	N;NOM;FEM;PL	N;MASC;PL
έργο	project	έργο	project	N;NOM;NEUT;SG	N
έργο	proyecto	έργο	proyecto	N;NOM;NEUT;SG	N;MASC;SG
έργο	obra	έργο	obra	N;NOM;NEUT;SG	N;FEM;SG
έργο	trabajo	έργο	trabajo	N;NOM;NEUT;SG	N;MASC;SG
κυρίως	principalmente	κυρίως	principalmente	ADV	ADV
κυρίως	principalmente	κυρίως	principalmente	ADV	ADV
κυρίως	mayormente	κυρίως	mayormente	ADV	ADV
ελληνική	griega	ελληνικός	griego	ADJ;NOM;FEM;SG	ADJ;FEM;SG
μεγάλη	grande	μεγάλος	grande	ADJ;NOM;FEM;SG	ADJ;SG
μεγάλη	gran	μεγάλος	gran	ADJ;NOM;FEM;SG	ADJ;SG
υπό	bajo	υπό	bajo	ADP	ADP
έως	hasta	ώς	hasta	ADP	ADP
ποδοσφαιριστές	futbolistas	ποδοσφαιριστής	futbolista	N;NOM;MASC;PL	N;PL
ταινία	pelicula	ταινία	pelicula	N;NOM;FEM;SG	N;FEM;SG
ταινία	cine	ταινία	cine	N;NOM;FEM;SG	N;MASC;SG
ταινία	movie	ταινία	movie	N;NOM;FEM;SG	N;SG
ταινία	película	ταινία	película	N;NOM;FEM;SG	N;FEM;SG
ταινία	cinta	ταινία	cinta	N;NOM;FEM;SG	N;FEM;SG
ταινία	pelicula	ταινία	pelicula	N;NOM;FEM;SG	N;FEM;SG
ταινία	cine	ταινία	cine	N;NOM;FEM;SG	N;MASC;SG
ταινία	película	ταινία	película	N;NOM;FEM;SG	N;FEM;SG
ταινία	film	ταινία	film	N;NOM;FEM;SG	N;MASC;SG
άλλα	otras	άλλος	otro	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
άλλα	otros	άλλος	otro	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
άλλα	otras	άλλος	otro	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
άλλα	otros	άλλος	otro	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
τμήμα	departamento	τμήμα	departamento	N;NOM;NEUT;SG	N;MASC;SG
τμήμα	seccion	τμήμα	seccionar	N;NOM;NEUT;SG	N;FEM;SG
τμήμα	sección	τμήμα	sección	N;NOM;NEUT;SG	N;FEM;SG
εκεί	allí	εκεί	allí	ADV	ADV
εκεί	ahí	εκεί	ahí	ADV	ADV
άλλες	otras	άλλος	otro	PRO;NOM;FEM;PL;3	PRO;FEM;PL
άλλες	otros	άλλος	otro	PRO;NOM;FEM;PL;3	PRO;MASC;PL
τέλος	finalmente	τέλος	finalmente	ADV	ADV
σειρά	serie	σειρά	serie	N;ACC;FEM;SG	N;FEM;SG
σειρά	orden	σειρά	orden	N;ACC;FEM;SG	N;MASC;SG
σειρά	encargo	σειρά	encargo	N;ACC;FEM;SG	N;MASC;SG
σειρά	hilera	σειρά	haler	N;ACC;FEM;SG	N;FEM;SG
σειρά	fila	σειρά	fila	N;ACC;FEM;SG	N;FEM;SG
στοιχεία	elementos	στοιχείο	elemento	N;NOM;NEUT;PL	N;MASC;PL
στοιχεία	datos	στοιχείο	dato	N;NOM;NEUT;PL	N;MASC;PL
συνέχεια	continuidad	συνέχεια	continuidad	N;ACC;FEM;SG	N;FEM;SG
συνέχεια	continuación	συνέχεια	continuación	N;ACC;FEM;SG	N;FEM;SG
κάτω	abajo	κάτω	abajo	ADV	ADV
κάτω	abajo	κάτω	abajo	ADV	ADV
κάτω	debajo	κάτω	debajo	ADV	ADV
κάτω	abajo	κάτω	abajo	ADV	ADV
σύστημα	system	σύστημα	system	N;NOM;NEUT;SG	N
σύστημα	sistema	σύστημα	sistema	N;NOM;NEUT;SG	N;MASC;SG
ακόμα	todavía	ακόμα	todavía	ADV	ADV
ακόμα	aún	ακόμα	aún	ADV	ADV
φορές	tiempos	φορά	tiempo	N;NOM;FEM;PL	N;MASC;PL
φορές	veces	φορά	vez	N;NOM;FEM;PL	N;FEM;PL
φορές	épocas	φορά	época	N;NOM;FEM;PL	N;FEM;PL
φορές	times	φορά	time	N;NOM;FEM;PL	N
ίδια	idéntica	ίδιος	idéntico	ADJ;NOM;FEM;SG	ADJ;FEM;SG
ίδια	idéntico	ίδιος	idéntico	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ίδια	mismo	ίδιος	mismo	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ιουλίου	julio	ιούλιος	julio	N;GEN;NEUT;SG	N
χώρα	pais	χώρα	pais	N;NOM;FEM;SG	N;MASC;SG
χώρα	país	χώρα	país	N;NOM;FEM;SG	N;MASC;SG
αποτέλεσμα	desenlace	αποτέλεσμα	desenlace	N;ACC;NEUT;SG	N;MASC;SG
αποτέλεσμα	resultado	αποτέλεσμα	resultado	N;ACC;NEUT;SG	N;MASC;SG
αποτέλεσμα	resultado	αποτέλεσμα	resultado	N;ACC;NEUT;SG	N;MASC;SG
αποτέλεσμα	efecto	αποτέλεσμα	efecto	N;ACC;NEUT;SG	N;MASC;SG
οκτωβρίου	octubre	οκτώβριος	octubre	N;GEN;MASC;SG	N
σεπτεμβρίου	setiembre	σεπτέμβριο	setiembre	N;GEN;MASC;SG	N
σεπτεμβρίου	septiembre	σεπτέμβριο	septiembre	N;GEN;MASC;SG	N
νοεμβρίου	noviembre	νόεμβριος	noviembre	N;GEN;MASC;SG	N
αγώνες	cerillas	αγώνας	cerilla	N;NOM;MASC;PL	N;FEM;PL
αγώνες	fósforos	αγώνας	fósforo	N;NOM;MASC;PL	N;MASC;PL
αγώνες	coincidencias	αγώνας	coincidencia	N;NOM;MASC;PL	N;FEM;PL
αγώνες	partidos	αγώνας	partido	N;NOM;MASC;PL	N;MASC;PL
αγώνες	juegos	αγώνας	juego	N;NOM;MASC;PL	N;MASC;PL
ταινίες	films	ταινία	film	N;NOM;FEM;PL	N;MASC;PL
ταινίες	peliculas	ταινία	pelicula	N;NOM;FEM;PL	N;FEM;PL
ταινίες	películas	ταινία	película	N;NOM;FEM;PL	N;FEM;PL
ταινίες	peliculas	ταινία	pelicula	N;NOM;FEM;PL	N;FEM;PL
ταινίες	películas	ταινία	película	N;NOM;FEM;PL	N;FEM;PL
μέσω	mediante	μέσω	mediante	ADP	ADP
μαρτίου	marcha	μάρτιος	marcha	N;GEN;MASC;SG	N;FEM;SG
μαρτίου	marzo	μάρτιος	marzo	N;GEN;MASC;SG	N
ιουνίου	junio	ιούνιος	junio	N;GEN;MASC;SG	N
αυτές	éstas	αυτός	este	PRO;NOM;FEM;PL;3	PRO;FEM;PL
αυτές	estos	αυτός	este	PRO;NOM;FEM;PL;3	PRO;MASC;PL
αυτές	estas	αυτός	este	PRO;NOM;FEM;PL;3	PRO;FEM;PL
αυτές	éstos	αυτός	este	PRO;NOM;FEM;PL;3	PRO;MASC;PL
απριλίου	abril	απρίλιος	abril	N;GEN;MASC;SG	N
τρεις	tres	τρεις	tres	NUM;NOM;MASC;PL	NUM;PL
αυγούστου	agosto	αυγούστος	agosto	N;GEN;MASC;SG	N
έργα	trabajos	έργο	trabajo	N;NOM;NEUT;PL	N;MASC;PL
έργα	obras	έργο	obra	N;NOM;NEUT;PL	N;FEM;PL
έργα	proyectos	έργο	proyecto	N;NOM;NEUT;PL	N;MASC;PL
έργα	projects	έργο	project	N;NOM;NEUT;PL	N
δεκεμβρίου	diciembre	δεκέμβριο	diciembre	N;GEN;MASC;SG	N
χρήση	uso	χρήση	uso	N;ACC;FEM;SG	N;MASC;SG
χρήση	utilización	χρήση	utilización	N;ACC;FEM;SG	N;FEM;SG
πρόεδρος	president	πρόεδρος	president	N;ACC;MASC;SG	N;MASC;SG
πρόεδρος	presidenta	πρόεδρος	presidenta	N;ACC;MASC;SG	N;FEM;SG
πρόεδρος	presidente	πρόεδρος	presidente	N;ACC;MASC;SG	N;MASC;SG
πολιτική	póliza	πολιτική	póliza	N;NOM;FEM;SG	N;FEM;SG
πολιτική	politica	πολιτική	politica	N;NOM;FEM;SG	N;FEM;SG
πολιτική	política	πολιτική	política	N;NOM;FEM;SG	N;FEM;SG
πολιτική	politica	πολιτική	politica	N;NOM;FEM;SG	N;FEM;SG
πολιτική	política	πολιτική	política	N;NOM;FEM;SG	N;FEM;SG
ακόμη	todavía	ακόμα	todavía	ADV	ADV
ακόμη	aún	ακόμα	aún	ADV	ADV
ίδιο	mismo	ίδιος	mismo	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
εκλογές	elecciones	εκλογή	elección	N;NOM;FEM;PL	N;FEM;PL
εκλογές	elecciones	εκλογή	elección	N;NOM;FEM;PL	N;FEM;PL
μέλη	diputados	μέλος	diputado	N;NOM;NEUT;PL	N;MASC;PL
μέλη	miembros	μέλος	miembro	N;NOM;NEUT;PL	N;MASC;PL
τελικά	eventualmente	τελικά	eventualmente	ADV	ADV
τελικά	finalmente	τελικά	finalmente	ADV	ADV
μέλος	miembro	μέλος	miembro	N;NOM;NEUT;SG	N;MASC;SG
εποχή	temporada	εποχή	temporada	N;ACC;FEM;SG	N;FEM;SG
χωριό	pueblo	χωριό	pueblo	N;NOM;NEUT;SG	N;MASC;SG
χωριό	villa	χωριό	villa	N;NOM;NEUT;SG	N;FEM;SG
χωριό	aldea	χωριό	aldea	N;NOM;NEUT;SG	N;FEM;SG
αρχικά	inicialmente	αρχικά	inicialmente	ADV	ADV
αρχικά	originalmente	αρχικά	originalmente	ADV	ADV
αρχικά	originariamente	αρχικά	originariamente	ADV	ADV
περίοδος	periodo	περίοδος	periodo	N;NOM;FEM;SG	N;MASC;SG
περίοδος	período	περίοδος	período	N;NOM;FEM;SG	N;MASC;SG
δήμος	municipalidad	δήμος	municipalidad	N;NOM;MASC;SG	N;FEM;SG
δήμος	municipio	δήμος	municipio	N;NOM;MASC;SG	N;MASC;SG
κύπελλο	taza	κύπελλος	taza	N;NOM;NEUT;SG	N;FEM;SG
κύπελλο	copa	κύπελλος	copa	N;NOM;NEUT;SG	N;FEM;SG
κύπελλο	cup	κύπελλος	cupo	N;NOM;NEUT;SG	N;FEM;SG
ζωή	vida	ζωή	vida	N;ACC;FEM;SG	N;FEM;SG
ζωή	life	ζωή	life	N;ACC;FEM;SG	N
ζωή	zoe	ζωή	zoe	N;ACC;FEM;SG	N;FEM;SG
έδρα	sede	έδρα	sede	N;NOM;FEM;SG	N;FEM;SG
έδρα	cuartel	έδρα	cuartel	N;NOM;FEM;SG	N;MASC;SG
έδρα	asiento	έδρα	asiento	N;NOM;FEM;SG	N;MASC;SG
έδρα	seat	έδρα	seat	N;NOM;FEM;SG	N;MASC;SG
περιλαμβάνει	incluye	περιλαμβάνω	incluir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
μεγάλο	grande	μεγάλος	grande	ADJ;NOM;NEUT;SG	ADJ;SG
μεγάλο	grande	μεγάλος	grande	ADJ;NOM;NEUT;SG	ADJ;SG
μεγάλο	gran	μεγάλος	gran	ADJ;NOM;NEUT;SG	ADJ;SG
βάση	base	βάση	base	N;ACC;FEM;SG	N;SG
κέντρο	centro	κέντρο	centro	N;NOM;NEUT;SG	N;MASC;SG
κέντρο	center	κέντρο	center	N;NOM;NEUT;SG	N;MASC;SG
κέντρο	centro	κέντρο	centro	N;NOM;NEUT;SG	N;MASC;SG
κέντρο	centre	κέντρο	centre	N;NOM;NEUT;SG	N;MASC;SG
γεννήσεις	partos	γεννήση	parto	N;NOM;FEM;PL	N;MASC;PL
γεννήσεις	nacimientos	γεννήση	nacimiento	N;NOM;FEM;PL	N;MASC;PL
φεβρουαρίου	febrero	φεβρουάριο	febrero	N;GEN;MASC;SG	N
κάτι	algo	κάτι	algo	PRO;NOM;NEUT;SG;3	PRO;SG
κοντά	cerca	κοντά	cerca	ADV	ADV
κοντά	cerca	κοντά	cerca	ADV	ADV
κοντά	cerca	κοντά	cerca	ADV	ADV
μορφή	forma	μορφή	forma	N;NOM;FEM;SG	N;FEM;SG
μορφή	formulario	μορφή	formulario	N;NOM;FEM;SG	N;MASC;SG
μορφή	formato	μορφή	formato	N;NOM;FEM;SG	N;MASC;SG
χρόνο	hora	χρόνος	hora	N;ACC;MASC;SG	N;FEM;SG
χρόνο	tiempo	χρόνος	tiempo	N;ACC;MASC;SG	N;MASC;SG
χρόνο	time	χρόνος	time	N;ACC;MASC;SG	N
ιστοσελίδα	website	ιστοσελίδα	website	N;NOM;FEM;SG	N;MASC;SG
ιστοσελίδα	web	ιστοσελίδα	web	N;NOM;FEM;SG	N;FEM;SG
ιστοσελίδα	sitio	ιστοσελίδα	sitio	N;NOM;FEM;SG	N;MASC;SG
κόμμα	parte	κόμμα	parte	N;NOM;NEUT;SG	N;FEM;SG
κόμμα	partido	κόμμα	partido	N;NOM;NEUT;SG	N;MASC;SG
κόμμα	fiesta	κόμμα	fiesta	N;NOM;NEUT;SG	N;FEM;SG
κόμμα	party	κόμμα	party	N;NOM;NEUT;SG	N
γιατί	porque	γιατί	porque	CONJ	CONJ
ρόλο	rollo	ρόλος	rollo	N;ACC;MASC;SG	N;MASC;SG
ρόλο	rol	ρόλος	rol	N;ACC;MASC;SG	N;MASC;SG
άλμπουμ	álbum	άλμπουμ	álbum	N;MASC;SG	N;MASC;SG
άλμπουμ	album	άλμπουμ	album	N;MASC;SG	N;MASC;SG
άλμπουμ	disco	άλμπουμ	disco	N;MASC;SG	N;MASC;SG
επειδή	porque	επειδή	porque	CONJ	CONJ
έκδοση	edición	έκδοση	edición	N;ACC;FEM;SG	N;FEM;SG
έκδοση	edition	έκδοση	edition	N;ACC;FEM;SG	N;MASC;SG
έκδοση	version	έκδοση	version	N;ACC;FEM;SG	N;FEM;SG
έκδοση	versión	έκδοση	versión	N;ACC;FEM;SG	N;FEM;SG
αρχές	autoridades	αρχή	autoridad	N;NOM;FEM;PL	N;FEM;PL
αρχές	principios	αρχή	principio	N;NOM;FEM;PL	N;MASC;PL
γύρω	alrededor	γύρω	alrededor	ADV	ADV
συνήθως	habitualmente	συνήθως	habitualmente	ADV	ADV
συνήθως	normalmente	συνήθως	normalmente	ADV	ADV
συνήθως	generalmente	συνήθως	generalmente	ADV	ADV
συνήθως	usualmente	συνήθως	usualmente	ADV	ADV
ονομασία	nombre	ονομασία	nombre	N;NOM;FEM;SG	N;MASC;SG
ονομασία	name	ονομασία	name	N;NOM;FEM;SG	N
ονομασία	denominación	ονομασία	denominación	N;NOM;FEM;SG	N;FEM;SG
ονομασία	designación	ονομασία	designación	N;NOM;FEM;SG	N;FEM;SG
ονομασία	denominación	ονομασία	denominación	N;NOM;FEM;SG	N;FEM;SG
κοινότητα	comunidad	κοινότητα	comunidad	N;ACC;FEM;SG	N;FEM;SG
τελευταία	últimamente	τελευταία	últimamente	ADV	ADV
τελευταία	ultimamente	τελευταία	ultimamente	ADV	ADV
έκανε	hizo	κάνω	hacer	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
ξεκίνησε	comenzó	ξεκινώ	comenzar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
ξεκίνησε	comenzado	ξεκινώ	comenzar	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
κυβέρνηση	gobierno	κυβέρνηση	gobierno	N;NOM;FEM;SG	N;MASC;SG
πήρε	tomó	παίρνω	tomar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
γλώσσα	lengua	γλώσσα	lengua	N;NOM;FEM;SG	N;FEM;SG
γλώσσα	lengua	γλώσσα	lengua	N;NOM;FEM;SG	N;FEM;SG
γλώσσα	idioma	γλώσσα	idioma	N;NOM;FEM;SG	N;MASC;SG
γλώσσα	lenguaje	γλώσσα	lenguaje	N;NOM;FEM;SG	N;MASC;SG
γιος	hijo	γιος	hijo	N;NOM;MASC;SG	N;MASC;SG
μάχη	batalla	μάχη	batalla	N;ACC;FEM;SG	N;FEM;SG
μάχη	combate	μάχη	combate	N;ACC;FEM;SG	N;MASC;SG
μάχη	combate	μάχη	combate	N;ACC;FEM;SG	N;MASC;SG
μάχη	pelea	μάχη	pelea	N;ACC;FEM;SG	N;FEM;SG
μάχη	fight	μάχη	fight	N;ACC;FEM;SG	N
μάχη	lucha	μάχη	lucha	N;ACC;FEM;SG	N;FEM;SG
πανεπιστήμιο	universitario	πανεπιστήμιο	universitario	N;NOM;NEUT;SG	N;MASC;SG
πανεπιστήμιο	universidad	πανεπιστήμιο	universidad	N;NOM;NEUT;SG	N;FEM;SG
κάποια	algunas	κάποιος	alguno	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
κάποια	algunos	κάποιος	alguno	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
δείτε	ver	βλέπω	ver	V;PFV;IMP;PL;2;FIN;ACT	V;NFIN
δείτε	mirar	βλέπω	mirar	V;PFV;IMP;PL;2;FIN;ACT	V;NFIN
πόλεμο	guerra	πόλεμος	guerra	N;ACC;MASC;SG	N;FEM;SG
πόλεμο	war	πόλεμος	war	N;ACC;MASC;SG	N;SG
συχνά	frecuentemente	συχνά	frecuentemente	ADV	ADV
συχνά	frecuentemente	συχνά	frecuentemente	ADV	ADV
περιοχές	regiones	περιοχή	región	N;NOM;FEM;PL	N;FEM;PL
περιοχές	áreas	περιοχή	área	N;NOM;FEM;PL	N;FEM;PL
περιοχές	zonas	περιοχή	zona	N;NOM;FEM;PL	N;FEM;PL
περιοχές	areas	περιοχή	area	N;NOM;FEM;PL	N;FEM;PL
συμμετοχές	participaciones	συμμετοχή	participación	N;NOM;FEM;PL	N;FEM;PL
παράδειγμα	ejemplo	παράδειγμα	ejemplo	N;NOM;NEUT;SG	N;MASC;SG
άρθρο	articulo	άρθρο	articulo	N;NOM;NEUT;SG	N;MASC;SG
άρθρο	artículo	άρθρο	artículo	N;NOM;NEUT;SG	N;MASC;SG
εικόνα	foto	εικόνα	foto	N;NOM;FEM;SG	N;FEM;SG
εικόνα	imagen	εικόνα	imagen	N;NOM;FEM;SG	N;FEM;SG
εικόνα	imágen	εικόνα	imágen	N;NOM;FEM;SG	N;FEM;SG
επίσημη	oficial	επίσημος	oficial	ADJ;NOM;FEM;SG	ADJ;SG
επίσημη	formal	επίσημος	formal	ADJ;NOM;FEM;SG	ADJ;SG
κατοίκους	habitantes	κάτοικος	habitante	N;ACC;MASC;PL	N;PL
κατοίκους	residentes	κάτοικος	residente	N;ACC;MASC;PL	N;PL
κατοίκους	habitantes	κάτοικος	habitante	N;ACC;MASC;PL	N;PL
πηγές	fuentes	πηγή	fuente	N;NOM;FEM;PL	N;FEM;PL
πόλεις	ciudades	πόλη	ciudad	N;NOM;FEM;PL	N;FEM;PL
πόλεις	pueblos	πόλη	pueblo	N;NOM;FEM;PL	N;MASC;PL
πόλεις	ciudades	πόλη	ciudad	N;NOM;FEM;PL	N;FEM;PL
ιδιαίτερα	particularmente	ιδιαίτερα	particularmente	ADV	ADV
ιδιαίτερα	especialmente	ιδιαίτερα	especialmente	ADV	ADV
ιδιαίτερα	especialmente	ιδιαίτερα	especialmente	ADV	ADV
αγώνα	race	αγώνας	race	N;ACC;MASC;SG	N
αγώνα	carrera	αγώνας	carrera	N;ACC;MASC;SG	N;FEM;SG
