van	din	van	din	ADP	ADP;ACC
twee	doi	twee	doi	NUM	NUM;MASC;PL
twee	două	twee	doi	NUM	NUM;FEM;PL
inwoners	locuitori	inwoner	locuitor	N;PL	N;INDF;MASC;PL
inwoners	locuitori	inwoner	locuitor	N;PL	N;INDF;MASC;PL
inwoners	locuitorii	inwoner	locuitor	N;PL	N;DEF;MASC;PL
inwoners	rezidenți	inwoner	rezident	N;PL	N;INDF;MASC;PL
deel	parte	deel	parte	N;NEUT;SG	N;INDF;FEM;SG
deel	partea	deel	parte	N;NEUT;SG	N;DEF;FEM;SG
deel	cota	deel	cotă	N;NEUT;SG	N;DEF;FEM;SG
externe	extern	extern	extern	ADJ	ADJ;INDF;MASC;SG
externe	externe	extern	extern	ADJ	ADJ;INDF;FEM;PL
externe	externi	extern	extern	ADJ	ADJ;INDF;MASC;PL
externe	externă	extern	extern	ADJ	ADJ;INDF;FEM;SG
overleg	consultare	overleg	consultare	N;NEUT;SG	N;INDF;FEM;SG
overleg	consultarea	overleg	consultare	N;NEUT;SG	N;DEF;FEM;SG
overleg	consultare	overleg	consultare	N;NEUT;SG	N;INDF;FEM;SG
tussen	între	tussen	între	ADP	ADP;ACC
had	avut	hebben	avea	V;SG;PST;FIN	V;MASC;SG;V.PTCP
zou	ar	zullen	avea	V;SG;PST;FIN	V;3
waar	unde	waar	unde	ADV	ADV
waar	adevărat	waar	adevărat	ADV	ADV
veel	mulți	veel	mult	PRO	PRO;MASC;PL;3
veel	multe	veel	mult	PRO	PRO;FEM;PL;3
komt	vine	komen	veni	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
tegen	împotriva	tegen	împotriva	ADP	ADP;GEN
kunnen	pot	kunnen	putea	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
zie	vezi	zien	vedea	V;SG;PRS;FIN	V;IND;SG;2;PRS;FIN
geslacht	sexul	geslacht	sex	N;NEUT;SG	N;DEF;MASC;SG
geslacht	gen	geslacht	gen	N;NEUT;SG	N;INDF;MASC;SG
geslacht	sex	geslacht	sex	N;NEUT;SG	N;INDF;MASC;SG
geslacht	sexul	geslacht	sex	N;NEUT;SG	N;DEF;MASC;SG
geslacht	sex	geslacht	sex	N;NEUT;SG	N;INDF;MASC;SG
grote	mare	groot	mare	ADJ	ADJ;INDF;MASC;SG
grote	mari	groot	mare	ADJ	ADJ;INDF;PL
bar	barul	bar	bar	N;MASC+FEM;SG	N;DEF;MASC;SG
bar	bar	bar	bar	N;MASC+FEM;SG	N;INDF;MASC;SG
aantal	numar	aantal	numar	N;NEUT;SG	N;INDF;MASC;SG
aantal	număr	aantal	număr	N;NEUT;SG	N;INDF;MASC;SG
aantal	numărul	aantal	număr	N;NEUT;SG	N;DEF;MASC;SG
nieuwe	nou	nieuw	nou	ADJ	ADJ;INDF;MASC;SG
nieuwe	noua	nieuw	nou	ADJ	ADJ;DEF;FEM;SG
jaren	ani	jaar	an	N;PL	N;INDF;MASC;PL
jaren	anii	jaar	an	N;PL	N;DEF;MASC;PL
artikel	articolul	artikel	articol	N;NEUT;SG	N;DEF;MASC;SG
artikel	articol	artikel	articol	N;NEUT;SG	N;INDF;MASC;SG
gebied	zonă	gebied	zonă	N;NEUT;SG	N;INDF;FEM;SG
gebied	zona	gebied	zonă	N;NEUT;SG	N;DEF;FEM;SG
gebied	zonă	gebied	zonă	N;NEUT;SG	N;INDF;FEM;SG
gebied	zona	gebied	zonă	N;NEUT;SG	N;DEF;FEM;SG
gebied	suprafață	gebied	suprafață	N;NEUT;SG	N;INDF;FEM;SG
nederlandse	olandeză	nederlands	olandez	ADJ	ADJ;INDF;FEM;SG
nederlandse	olandezi	nederlands	olandez	ADJ	ADJ;INDF;MASC;PL
nederlandse	olandez	nederlands	olandez	ADJ	ADJ;INDF;MASC;SG
stad	oraș	stad	oraș	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oras	stad	oras	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oraşul	stad	orac	N;MASC+FEM;SG	N;DEF;MASC;SG
stad	oraş	stad	oraş	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	city	stad	city	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oras	stad	oras	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oraș	stad	oraș	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oraş	stad	oraş	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oraşul	stad	orac	N;MASC+FEM;SG	N;DEF;MASC;SG
stad	orașul	stad	oraș	N;MASC+FEM;SG	N;DEF;MASC;SG
lijst	lista	lijst	listă	N;MASC+FEM;SG	N;DEF;FEM;SG
lijst	listă	lijst	listă	N;MASC+FEM;SG	N;INDF;FEM;SG
hier	aici	hier	aici	ADV	ADV
omdat	deoarece	omdat	deoarece	CONJ	CONJ;POS
tijd	timp	tijd	timp	N;MASC+FEM;SG	N;INDF;MASC;SG
tijd	ora	tijd	oră	N;MASC+FEM;SG	N;DEF;FEM;SG
tijd	timpul	tijd	timp	N;MASC+FEM;SG	N;DEF;MASC;SG
daar	acolo	daar	acolo	ADV	ADV
drie	trei	drie	trei	NUM	NUM;PL
vanaf	din	vanaf	din	ADP	ADP;ACC
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	N
provincie	provincie	provincie	provincie	N;MASC+FEM;SG	N;INDF;FEM;SG
provincie	provincia	provincie	provincie	N;MASC+FEM;SG	N;DEF;FEM;SG
link	legătura	link	legătură	N;MASC+FEM;SG	N;DEF;FEM;SG
link	legătură	link	legătură	N;MASC+FEM;SG	N;INDF;FEM;SG
link	link	link	link	N;MASC+FEM;SG	N;INDF;MASC;SG
link	linkul	link	link	N;MASC+FEM;SG	N;DEF;MASC;SG
http	http	ht	http	N;MASC+FEM;SG	N
alleen	doar	alleen	doar	ADV	ADV
alleen	numai	alleen	numai	ADV	ADV
nederlands	olandeză	nederland	olandez	ADJ	ADJ;INDF;FEM;SG
nederlands	olandezi	nederland	olandez	ADJ	ADJ;INDF;MASC;PL
nederlands	olandez	nederland	olandez	ADJ	ADJ;INDF;MASC;SG
eeuw	secolul	eeuw	secol	N;MASC+FEM;SG	N;DEF;MASC;SG
eeuw	secol	eeuw	secol	N;MASC+FEM;SG	N;INDF;MASC;SG
vlinder	butterfly	vlinder	butterfly	N;MASC+FEM;SG	N;INDF;MASC;SG
vlinder	fluture	vlinder	fluture	N;MASC+FEM;SG	N;INDF;MASC;SG
vlinder	fluturele	vlinder	fluture	N;MASC+FEM;SG	N;DEF;MASC;SG
bekend	cunoscut	bekend	cunoscut	ADJ	ADJ;INDF;MASC;SG
bekend	cunoscută	bekend	cunoscut	ADJ	ADJ;INDF;FEM;SG
bekend	cunoscute	bekend	cunoscut	ADJ	ADJ;INDF;FEM;PL
bekend	familiară	bekend	familiar	ADJ	ADJ;INDF;FEM;SG
bekend	familiare	bekend	familiar	ADJ	ADJ;INDF;FEM;PL
club	club	club	club	N;MASC+FEM;SG	N;INDF;MASC;SG
club	clubul	club	club	N;MASC+FEM;SG	N;DEF;MASC;SG
samen	împreună	samen	împreună	ADV	ADV
één	unu	één	unu	NUM	NUM;MASC;SG
maken	creează	maken	crea	V;NFIN	V;IND;3;PRS;FIN
maken	face	maken	face	V;NFIN	V;IND;SG;3;PRS;FIN
behoort	aparține	behoren	aparține	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
amerikaanse	american	amerikaans	american	ADJ	ADJ;INDF;MASC;SG
amerikaanse	americană	amerikaans	american	ADJ	ADJ;INDF;FEM;SG
amerikaanse	americancă	amerikaans	americanc	ADJ	ADJ;INDF;FEM;SG
enkele	unele	enkele	unul	PRO	PRO;FEM;PL;3
enkele	unii	enkele	unul	PRO	PRO;MASC;PL;3
verschillende	diferit	verschillend	diferit	ADJ	ADJ;INDF;MASC;SG
verschillende	diferite	verschillend	diferit	ADJ	ADJ;INDF;FEM;PL
verschillende	diferită	verschillend	diferit	ADJ	ADJ;INDF;FEM;SG
verschillende	diferita	verschillend	diferita	ADJ	ADJ;DEF;FEM;SG
verschillende	diverse	verschillend	divers	ADJ	ADJ;INDF;FEM;PL
seizoen	anotimpul	seizoen	anotimp	N;NEUT;SG	N;DEF;MASC;SG
seizoen	sezonul	seizoen	sezon	N;NEUT;SG	N;DEF;MASC;SG
seizoen	sezon	seizoen	sezon	N;NEUT;SG	N;INDF;MASC;SG
seizoen	anotimp	seizoen	anotimp	N;NEUT;SG	N;INDF;MASC;SG
eigen	proprie	eigen	propriu	ADJ	ADJ;INDF;FEM;SG
eigen	proprii	eigen	propriu	ADJ	ADJ;INDF;PL
weg	departe	weg	departe	ADV	ADV
insect	insectă	insect	insect	N;NEUT;SG	N;INDF;FEM;SG
insect	insecta	insect	insecta	N;NEUT;SG	N;DEF;FEM;SG
insect	bug	insect	bug	N;NEUT;SG	N;INDF;MASC;SG
insect	gândac	insect	gândac	N;NEUT;SG	N;INDF;MASC;SG
film	film	film	film	N;MASC+FEM;SG	N;INDF;MASC;SG
film	peliculă	film	pelicul	N;MASC+FEM;SG	N;INDF;FEM;SG
film	film	film	film	N;MASC+FEM;SG	N;INDF;MASC;SG
franse	franceză	frans	francez	ADJ	ADJ;INDF;FEM;SG
franse	francezi	frans	francez	ADJ	ADJ;INDF;MASC;PL
franse	francez	frans	francez	ADJ	ADJ;INDF;MASC;SG
terug	înapoi	terug	înapoi	ADV	ADV
wikipedia	wikipedia	wikipedia	wikipedia	N;MASC+FEM;SG	N;DEF;FEM;SG
land	țară	land	țară	N;NEUT;SG	N;INDF;FEM;SG
land	tara	land	tară	N;NEUT;SG	N;DEF;FEM;SG
land	țara	land	țară	N;NEUT;SG	N;DEF;FEM;SG
land	ţara	land	gară	N;NEUT;SG	N;DEF;FEM;SG
land	ţară	land	ţară	N;NEUT;SG	N;INDF;FEM;SG
land	teren	land	teren	N;NEUT;SG	N;INDF;MASC;SG
land	land	land	land	N;NEUT;SG	N;INDF;MASC;SG
land	pământ	land	pământ	N;NEUT;SG	N;INDF;MASC;SG
werk	munca	werk	muncă	N;NEUT;SG	N;DEF;FEM;SG
werk	lucru	werk	lucru	N;NEUT;SG	N;INDF;MASC;SG
werk	muncă	werk	muncă	N;NEUT;SG	N;INDF;FEM;SG
goed	buna	goed	bun	ADJ	ADJ;DEF;FEM;SG
goed	bun	goed	bun	ADJ	ADJ;INDF;MASC;SG
duitse	german	duits	german	ADJ	ADJ;INDF;MASC;SG
bestand	fișierul	bestand	fișier	N;NEUT;SG	N;DEF;MASC;SG
bestand	fişier	bestand	fişier	N;NEUT;SG	N;INDF;MASC;SG
bestand	fișier	bestand	fișier	N;NEUT;SG	N;INDF;MASC;SG
bestand	dosar	bestand	dosar	N;NEUT;SG	N;INDF;MASC;SG
mensen	oamenii	mens	om	N;PL	N;DEF;MASC;PL
mensen	oamenii	mens	om	N;PL	N;DEF;MASC;PL
mensen	oameni	mens	om	N;PL	N;INDF;MASC;PL
mensen	persoane	mens	persoană	N;PL	N;INDF;FEM;PL
gaan	mergând	gaan	merge	V;PRS;NFIN	V;V.MSDR
vaak	comună	vaak	comun	ADJ	ADJ;INDF;FEM;SG
vaak	comun	vaak	comun	ADJ	ADJ;INDF;MASC;SG
vaak	frecvente	vaak	frecvent	ADJ	ADJ;INDF;FEM;PL
orde	comanda	orde	comandă	N;MASC+FEM;SG	N;DEF;FEM;SG
orde	ordinea	orde	ordine	N;MASC+FEM;SG	N;DEF;FEM;SG
orde	comandă	orde	comandă	N;MASC+FEM;SG	N;INDF;FEM;SG
orde	ordine	orde	ordine	N;MASC+FEM;SG	N;INDF;FEM;SG
orde	ordin	orde	ordin	N;MASC+FEM;SG	N;INDF;MASC;SG
groot	mare	groot	mare	ADJ	ADJ;INDF;MASC;SG
groot	mari	groot	mare	ADJ	ADJ;INDF;PL
groot	mare	groot	mare	ADJ	ADJ;INDF;MASC;SG
marine	marina	marine	marină	N;MASC+FEM;SG	N;DEF;FEM;SG
marine	navy	marine	navy	N;MASC+FEM;SG	N;INDF;MASC;SG
marine	marină	marine	marină	N;MASC+FEM;SG	N;INDF;FEM;SG
kerk	biserica	kerk	biserică	N;MASC+FEM;SG	N;DEF;FEM;SG
kerk	biserică	kerk	biserică	N;MASC+FEM;SG	N;INDF;FEM;SG
regio	regiunea	regio	regiune	N;MASC+FEM;SG	N;DEF;FEM;SG
regio	regiune	regio	regiune	N;MASC+FEM;SG	N;INDF;FEM;SG
oppervlakte	zonă	oppervlakte	zonă	N;MASC+FEM;SG	N;INDF;FEM;SG
oppervlakte	zona	oppervlakte	zonă	N;MASC+FEM;SG	N;DEF;FEM;SG
oppervlakte	suprafață	oppervlakte	suprafață	N;MASC+FEM;SG	N;INDF;FEM;SG
komen	venind	komen	veni	V;NFIN	V;V.MSDR
komen	vin	komen	veni	V;NFIN	V;IND;PL;3;PRS;FIN
ongeveer	aproximativ	ongeveer	aproximativ	ADV	ADV
php	php	php	php	N;MASC+FEM;SG	N
dorp	satul	dorp	sat	N;NEUT;SG	N;DEF;MASC;SG
dorp	satului	dorp	sat	N;NEUT;SG	N;DEF;MASC;SG
dorp	sat	dorp	sat	N;NEUT;SG	N;INDF;MASC;SG
plaatsen	localuri	plaats	local	N;PL	N;INDF;FEM;PL
plaatsen	locuri	plaats	loc	N;PL	N;INDF;FEM;PL
leven	viaţa	leven	viapă	N;NEUT;SG	N;DEF;FEM;SG
leven	viaţă	leven	viaţă	N;NEUT;SG	N;INDF;FEM;SG
leven	viața	leven	viață	N;NEUT;SG	N;DEF;FEM;SG
leven	viață	leven	viață	N;NEUT;SG	N;INDF;FEM;SG
leven	viata	leven	viată	N;NEUT;SG	N;DEF;FEM;SG
register	registru	register	registru	N;NEUT;SG	N;INDF;MASC;SG
register	inregistrare	register	inregistrare	N;NEUT;SG	N;INDF;FEM;SG
register	registru	register	registru	N;NEUT;SG	N;INDF;MASC;SG
zal	va	zullen	vrea	V;SG;PRS;FIN	V;SG;3
meter	metru	meter	metru	N;MASC+FEM;SG	N;INDF;MASC;SG
meter	contor	meter	contor	N;MASC+FEM;SG	N;INDF;MASC;SG
meter	metru	meter	metru	N;MASC+FEM;SG	N;INDF;MASC;SG
vier	patru	vier	patru	NUM	NUM;PL
zeer	foarte	zeer	foarte	ADV	ADV
top	top	top	top	N;MASC+FEM;SG	N;INDF;MASC;SG
top	topul	top	top	N;MASC+FEM;SG	N;DEF;MASC;SG
top	summitul	top	summit	N;MASC+FEM;SG	N;DEF;MASC;SG
top	summit	top	summit	N;MASC+FEM;SG	N;INDF;MASC;SG
oude	bătrân	oud	bătrân	ADJ	ADJ;INDF;MASC;SG
oude	vechi	oud	vechi	ADJ	ADJ;INDF;MASC;SG
oude	veche	oud	vechi	ADJ	ADJ;INDF;FEM;SG
oude	bătrâne	oud	bătrâne	ADJ	ADJ;INDF;FEM;PL
zonder	fără	zonder	fără	ADP	ADP;ACC
ronde	rundă	ronde	rund	N;MASC+FEM;SG	N;INDF;FEM;SG
ronde	runda	ronde	runda	N;MASC+FEM;SG	N;DEF;FEM;SG
gemaakt	făcut	maken	face	V;V.PTCP	V;MASC;SG;V.PTCP
groep	grupa	groep	grupă	N;MASC+FEM;SG	N;DEF;FEM;SG
groep	grup	groep	grup	N;MASC+FEM;SG	N;INDF;MASC;SG
groep	grupul	groep	grup	N;MASC+FEM;SG	N;DEF;MASC;SG
groep	grupă	groep	grupă	N;MASC+FEM;SG	N;INDF;FEM;SG
goals	obiectivele	goal	obiectiv	N;PL	N;DEF;FEM;PL
goals	goluri	goal	gol	N;PL	N;INDF;FEM;PL
goals	obiective	goal	obiectiv	N;PL	N;INDF;FEM;PL
gebruik	utilizare	gebruik	utilizare	N;NEUT;SG	N;INDF;FEM;SG
gebruik	folosire	gebruik	folosire	N;NEUT;SG	N;INDF;FEM;SG
gebruik	utilizarea	gebruik	utilizare	N;NEUT;SG	N;DEF;FEM;SG
gebruik	utilizare	gebruik	utilizare	N;NEUT;SG	N;INDF;FEM;SG
werken	muncind	werken	munci	V;NFIN	V;V.MSDR
werken	lucrând	werken	lucra	V;NFIN	V;V.MSDR
werken	funcționează	werken	funcționa	V;NFIN	V;IND;3;PRS;FIN
iets	ceva	iets	ceva	PRO;3	PRO;SG;3
kleine	mic	klein	mic	ADJ	ADJ;INDF;MASC;SG
kleine	mică	klein	mic	ADJ	ADJ;INDF;FEM;SG
kleine	mici	klein	mic	ADJ	ADJ;INDF;PL
kleine	mic	klein	mic	ADJ	ADJ;INDF;MASC;SG
eens	odată	eens	odată	ADV	ADV
zien	vezi	zien	vedea	V;NFIN	V;IND;SG;2;PRS;FIN
album	album	album	album	N;NEUT;SG	N;INDF;MASC;SG
album	albumul	album	album	N;NEUT;SG	N;DEF;MASC;SG
mogelijk	posibile	mogelijk	posibil	ADJ	ADJ;INDF;FEM;PL
mogelijk	posibila	mogelijk	posibil	ADJ	ADJ;DEF;FEM;SG
mogelijk	posibilă	mogelijk	posibil	ADJ	ADJ;INDF;FEM;SG
wil	vrei	willen	vrea	V;SG;PRS;FIN	V;IND;SG;2;PRS;FIN
wil	vreau	willen	vrea	V;SG;PRS;FIN	V;IND;SG;1;PRS;FIN
staten	statele	state	stat	N;PL	N;DEF;FEM;PL
staten	state	state	stat	N;PL	N;INDF;FEM;PL
staten	stări	state	stare	N;PL	N;INDF;FEM;PL
station	staţie	station	staţie	N;NEUT;SG	N;INDF;FEM;SG
station	gara	station	gară	N;NEUT;SG	N;DEF;FEM;SG
station	stația	station	stație	N;NEUT;SG	N;DEF;FEM;SG
station	statie	station	statie	N;NEUT;SG	N;INDF;FEM;SG
station	stație	station	stație	N;NEUT;SG	N;INDF;FEM;SG
station	gară	station	gară	N;NEUT;SG	N;INDF;FEM;SG
zoon	fiul	zoon	fiu	N;MASC+FEM;SG	N;DEF;MASC;SG
zoon	fiu	zoon	fiu	N;MASC+FEM;SG	N;INDF;MASC;SG
man	bărbat	man	bărbat	N;MASC+FEM;SG	N;INDF;MASC;SG
man	om	man	om	N;MASC+FEM;SG	N;INDF;MASC;SG
man	omul	man	om	N;MASC+FEM;SG	N;DEF;MASC;SG
man	barbat	man	barbat	N;MASC+FEM;SG	N;INDF;MASC;SG
water	apă	water	apă	N;NEUT;SG	N;INDF;FEM;SG
water	apa	water	apă	N;NEUT;SG	N;DEF;FEM;SG
begin	start	begin	start	N;NEUT;SG	N;INDF;MASC;SG
begin	pornire	begin	pornire	N;NEUT;SG	N;INDF;FEM;SG
begin	început	begin	început	N;NEUT;SG	N;INDF;MASC;SG
koning	regele	koning	rege	N;MASC+FEM;SG	N;DEF;MASC;SG
koning	king	koning	king	N;MASC+FEM;SG	N;INDF;MASC;SG
koning	rege	koning	rege	N;MASC+FEM;SG	N;INDF;MASC;SG
slechts	doar	slechts	doar	ADV	ADV
slechts	numai	slechts	numai	ADV	ADV
spelen	joacă	spelen	juca	V;NFIN	V;IND;3;PRS;FIN
spelen	jucând	spelen	juca	V;NFIN	V;V.MSDR
periode	perioadă	periode	perioadă	N;MASC+FEM;SG	N;INDF;FEM;SG
periode	perioada	periode	perioadă	N;MASC+FEM;SG	N;DEF;FEM;SG
volkstelling	recensământului	volkstelling	recensământ	N;MASC+FEM;SG	N;DEF;MASC;SG
volkstelling	recensământul	volkstelling	recensământ	N;MASC+FEM;SG	N;DEF;MASC;SG
volkstelling	recensământ	volkstelling	recensământ	N;MASC+FEM;SG	N;INDF;MASC;SG
officiële	oficial	officeel	oficial	ADJ	ADJ;INDF;MASC;SG
officiële	oficiale	officeel	oficial	ADJ	ADJ;INDF;FEM;PL
officiële	oficiala	officeel	oficială	ADJ	ADJ;DEF;FEM;SG
officiële	oficială	officeel	oficial	ADJ	ADJ;INDF;FEM;SG
lid	membru	lid	membru	N;NEUT;SG	N;INDF;MASC;SG
lid	membră	lid	membră	N;NEUT;SG	N;INDF;FEM;SG
lid	membrul	lid	membru	N;NEUT;SG	N;DEF;MASC;SG
titel	caption	titel	caption	N;MASC+FEM;SG	N;INDF;MASC;SG
titel	descriere	titel	descriere	N;MASC+FEM;SG	N;INDF;FEM;SG
titel	legendă	titel	legendă	N;MASC+FEM;SG	N;INDF;FEM;SG
titel	titlul	titel	titlu	N;MASC+FEM;SG	N;DEF;MASC;SG
titel	titlu	titel	titlu	N;MASC+FEM;SG	N;INDF;MASC;SG
nieuw	nou	nieuw	nou	ADJ	ADJ;INDF;MASC;SG
nieuw	noua	nieuw	nou	ADJ	ADJ;DEF;FEM;SG
nummer	numar	nummer	numar	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	număr	nummer	număr	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	numărul	nummer	număr	N;MASC+FEM;SG	N;DEF;MASC;SG
nummer	cantec	nummer	cantec	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	song	nummer	song	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	melodie	nummer	melodie	N;MASC+FEM;SG	N;INDF;FEM;SG
nummer	cântec	nummer	cântec	N;MASC+FEM;SG	N;INDF;MASC;SG
lang	lung	lang	lung	ADJ	ADJ;INDF;MASC;SG
lang	lungă	lang	lung	ADJ	ADJ;INDF;FEM;SG
tekst	text	tekst	text	N;MASC+FEM;SG	N;INDF;MASC;SG
tekst	textul	tekst	text	N;MASC+FEM;SG	N;DEF;MASC;SG
vinden	găsiți	vinden	găsi	V;NFIN	V;IND;PL;2;IPFV;FIN
vinden	găseşte	vinden	găsea	V;NFIN	V;IND;SG;3;PRS;FIN
vinden	găsește	vinden	găsi	V;NFIN	V;IND;SG;3;PRS;FIN
pagina	paginii	pagina	pagină	N;MASC+FEM;SG	N;DEF;FEM;SG
pagina	pagina	pagina	pagină	N;MASC+FEM;SG	N;DEF;FEM;SG
pagina	pagină	pagina	pagină	N;MASC+FEM;SG	N;INDF;FEM;SG
noord	nordul	noord	nord	N;NEUT;SG	N;DEF;MASC;SG
noord	nord	noord	nord	N;NEUT;SG	N;INDF;MASC;SG
noord	noord	noord	noord	N;NEUT;SG	N;INDF;MASC;SG
bron	sursă	bron	sursă	N;MASC+FEM;SG	N;INDF;FEM;SG
bron	sursa	bron	sursă	N;MASC+FEM;SG	N;DEF;FEM;SG
district	districtul	district	district	N;NEUT;SG	N;DEF;MASC;SG
district	district	district	district	N;NEUT;SG	N;INDF;MASC;SG
daarna	atunci	daarna	atunci	ADV	ADV
daarna	apoi	daarna	apoi	ADV	ADV
band	trupă	band	trupă	N;MASC+FEM;SG	N;INDF;FEM;SG
band	trupa	band	trupă	N;MASC+FEM;SG	N;DEF;FEM;SG
band	formație	band	formație	N;MASC+FEM;SG	N;INDF;FEM;SG
band	formatie	band	formatie	N;MASC+FEM;SG	N;INDF;FEM;SG
west	vest	west	vest	N;MASC+FEM;SG	N;INDF;MASC;SG
west	occident	west	occident	N;MASC+FEM;SG	N;INDF;MASC;SG
west	vestul	west	vest	N;MASC+FEM;SG	N;DEF;MASC;SG
soorten	specii	soort	specie	N;PL	N;INDF;FEM;PL
soorten	tipuri	soort	tip	N;PL	N;INDF;FEM;PL
soorten	tipurile	soort	tip	N;PL	N;DEF;FEM;PL
dec	dec	dec	dec	N;MASC+FEM;SG	N;INDF;MASC
boven	deasupra	boven	deasupra	ADP	ADP;GEN
vorm	formă	vorm	formă	N;MASC+FEM;SG	N;INDF;FEM;SG
vorm	forma	vorm	formă	N;MASC+FEM;SG	N;DEF;FEM;SG
vorm	formular	vorm	formular	N;MASC+FEM;SG	N;INDF;MASC;SG
vorm	formă	vorm	formă	N;MASC+FEM;SG	N;INDF;FEM;SG
vorm	forma	vorm	formă	N;MASC+FEM;SG	N;DEF;FEM;SG
vorm	formularul	vorm	formular	N;MASC+FEM;SG	N;DEF;MASC;SG
beschreven	descrise	beschrijven	descrie	V;V.PTCP	V;IND;SG;3;PST;FIN
huidige	actual	huidig	actual	ADJ	ADJ;INDF;MASC;SG
huidige	actuală	huidig	actual	ADJ	ADJ;INDF;FEM;SG
actief	active	actief	activ	ADJ	ADJ;INDF;FEM;PL
actief	activi	actief	activ	ADJ	ADJ;INDF;MASC;PL
actief	activ	actief	activ	ADJ	ADJ;INDF;MASC;SG
actief	activă	actief	activ	ADJ	ADJ;INDF;FEM;SG
wanneer	când	wanneer	când	ADV	ADV
toont	arată	tonen	arăta	V;SG;PRS;FIN	V;IND;3;PRS;FIN
hoe	cum	hoe	cum	ADV	ADV
klasse	clasă	klasse	clasă	N;MASC+FEM;SG	N;INDF;FEM;SG
klasse	clasa	klasse	clasă	N;MASC+FEM;SG	N;DEF;FEM;SG
