bros	bracia	bros	brat	N	N;NOM;MASC;PL
dam	tama	dam	tama		
areal	areał	areal	areał	N;SG	N;NOM;MASC;SG
pukulan	cios	pukulan	cios	N;SG	N;NOM;MASC;SG
romantis	romans	romantis	romans	N;SG	N;NOM;MASC;SG
romantis	romansu	romantis	romans	N;SG	N;GEN;MASC;SG
beri	dawać	beri	dawać	V;SG;ACT	V;IPFV;NFIN;ACT
beri	dajesz	beri	dawać	V;SG;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
beri	daj	beri	dać	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
mendatang	nadchodzący	mendatang	nadchodzący	ADJ;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
mendatang	nadchodzące	mendatang	nadchodzić	ADJ;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
agregat	agregacji	agregat	agregacja	N;SG	N;GEN;FEM;SG
perlombaan	wyścig	perlombaan	wyścig	N;SG	N;NOM;MASC;SG
perlombaan	rasa	perlombaan	rasa	N;SG	N;NOM;FEM;SG
serigala	wilków	serigala	wilk	N	N;ACC;MASC;PL
serigala	wilki	serigala	wilka	N	N;NOM;MASC;PL
serigala	wilka	serigala	wilka	N	N;ACC;MASC;SG
serigala	wilk	serigala	wilk	N	N;NOM;MASC;SG
taksi	taksówka	taksi	taksówka	N;SG	N;NOM;FEM;SG
taksi	taksówka	taksi	taksówka	N;SG	N;NOM;FEM;SG
taksi	kabina	taksi	kabina	N;SG	N;NOM;FEM;SG
taksi	taksówkę	taksi	taksówka	N;SG	N;ACC;FEM;SG
wabah	epidemia	wabah	epidemia	N;SG	N;NOM;FEM;SG
wabah	plaga	wabah	plaga	N;SG	N;NOM;FEM;SG
wabah	zaraza	wabah	zarazać	N;SG	N;NOM;FEM;SG
wabah	epidemii	wabah	epidemia	N;SG	N;GEN;FEM;SG
wabah	epidemia	wabah	epidemia	N;SG	N;NOM;FEM;SG
lilin	świeca	lilin	świeca	N;SG	N;NOM;FEM;SG
lilin	świecę	lilin	świeca	N;SG	N;ACC;FEM;SG
lilin	wosk	lilin	wosk	N;SG	N;NOM;MASC;SG
menyerbu	najechał	menserbu	najechać	V;SG;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
laras	beczka	laras	beczka	N	N;NOM;FEM;SG
laras	lufy	laras	lufa	N	N;GEN;FEM;PL
patroli	patrol	patroli	patrol	N;SG	N;NOM;MASC;SG
mutlak	absolutna	mutlak	absolutny	ADJ;SG	ADJ;NOM;FEM;SG
mutlak	bezwzględna	mutlak	bezwzględny	ADJ;SG	ADJ;NOM;FEM;SG
mutlak	absolutny	mutlak	absolutny	ADJ;SG	ADJ;NOM;MASC;SG
mutlak	bezwzględne	mutlak	bezwzględny	ADJ;SG	ADJ;NOM;NEUT;SG
plasma	osoczu	plasma	osocze	N	N;ACC;NEUT;SG
plasma	osocza	plasma	osocze	N	N;GEN;NEUT;SG
produktif	produktywne	produktif	produktywny	ADJ;SG	ADJ;NOM;NEUT;SG
bandingkan	porównaj	bandingkan	porównać	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
bandingkan	porównać	bandingkan	porównać	V;SG;ACT	V;PFV;NFIN;ACT
pelaut	marynarz	penlaut	marynarz	N;SG	N;NOM;MASC;SG
pelaut	marynarz	penlaut	marynarz	N;SG	N;NOM;MASC;SG
perkantoran	biura	perkantoran	biuro	N;SG	N;NOM;NEUT;SG
perkantoran	urząd	perkantoran	urząd	N;SG	N;NOM;MASC;SG
utang	długu	utang	dług	N;SG	N;GEN;MASC;SG
utang	dług	utang	dług	N;SG	N;NOM;MASC;SG
utang	zadłużenie	utang	zadłużenie	N;SG	N;NOM;NEUT;SG
pecinta	kochanka	pecinta	kochanka	N;SG	N;NOM;FEM;SG
pecinta	kochankiem	pecinta	kochanek	N;SG	N;INS;MASC;SG
pecinta	kochanek	pecinta	kochanek	N;SG	N;ACC;MASC;SG
tayangan	wyświetlenia	tayangan	wyświetlić	N;SG	N;GEN;NEUT;SG
tayangan	wyświetlenia	tayangan	wyświetlić	N;SG	N;GEN;NEUT;SG
tayangan	wrażenie	tayangan	wrażenie	N;SG	N;NOM;NEUT;SG
tayangan	wyświetlenie	tayangan	wyświetlenie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
kelanjutan	odroczenie	kelanjutan	odroczyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
kelanjutan	kontynuacja	kelanjutan	kontynuacja	N;SG	N;NOM;FEM;SG
kelanjutan	kontynuacji	kelanjutan	kontynuacja	N;SG	N;GEN;FEM;SG
menyelidiki	badając	menselidiki	badać	V;SG;ACT	V;IPFV;PRS;V.CVB;ACT
menyelidiki	zbadać	menselidiki	zbadać	V;SG;ACT	V;PFV;NFIN;ACT
orientasi	orientację	orientasi	orientacja	N;SG	N;ACC;FEM;SG
orientasi	orientacji	orientasi	orientacja	N;SG	N;GEN;FEM;SG
orientasi	ukierunkowanie	orientasi	ukierunkowanie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
bir	piwa	bir	piwo	N;SG	N;ACC;NEUT;SG
bir	piwko	bir	piwko	N;SG	N;NOM;NEUT;SG
bir	piwo	bir	piwo	N;SG	N;NOM;NEUT;SG
bir	piwa	bir	piwo	N;SG	N;ACC;NEUT;SG
bir	piwo	bir	piwo	N;SG	N;NOM;NEUT;SG
rusa	jeleń	rusa	jeleń	N	N;NOM;MASC;SG
rusa	łosia	rusa	łoś	N	N;ACC;MASC;SG
rusa	jelenie	rusa	jelenie	N	N;NOM;MASC;PL
rusa	jeleń	rusa	jeleń	N	N;NOM;MASC;SG
bahu	ramię	bahu	ramię	N;SG	N;NOM;NEUT;SG
berlari	biegał	berlari	biegać	V;SG;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
berlari	biegł	berlari	biec	V;SG;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
residen	rezydenta	residen	rezydent	N	N;ACC;MASC;SG
residen	mieszkaniec	residen	mieszkaniec	N	N;NOM;MASC;SG
referendum	referendum	referendum	referendum	N	N;NOM;NEUT;SG
arwah	dusze	arwah	dusza	N;SG	N;NOM;FEM;SG
seminari	seminarzystów	seminari	seminarzysta	N	N;ACC;MASC;PL
seminari	seminarium	seminari	seminarium	N	N;ACC;NEUT;SG
sindrom	syndrom	sindrom	syndrom	N	N;ACC;MASC;SG
sajak	rymy	sajak	rym	N	N;NOM;MASC;PL
kejayaan	triumf	kejayaan	triumf	N;SG	N;NOM;MASC;SG
elit	elita	elit	elita	N;SG	N;NOM;FEM;SG
jujur	uczciwy	jujur	uczciwy	ADJ;SG	ADJ;NOM;MASC;SG
jujur	szczery	jujur	szczery	ADJ;SG	ADJ;NOM;MASC;SG
jujur	szczera	jujur	szczery	ADJ;SG	ADJ;NOM;FEM;SG
instalasi	instalacji	instalasi	instalacja	N;SG	N;GEN;FEM;SG
instalasi	instalacji	instalasi	instalacja	N;SG	N;GEN;FEM;SG
instalasi	instalacja	instalasi	instalacja	N;SG	N;NOM;FEM;SG
instalasi	instalowanie	instalasi	instalować	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
instalasi	instalacja	instalasi	instalacja	N;SG	N;NOM;FEM;SG
instalasi	instalacji	instalasi	instalacja	N;SG	N;GEN;FEM;SG
lencana	odznakę	lencana	odznaka	N;SG	N;ACC;FEM;SG
lembar	arkusz	lembar	arkusz	N;SG	N;NOM;MASC;SG
mengarahkan	sterować	menkarahkan	sterować	V;SG;ACT	V;IPFV;NFIN;ACT
faksi	frakcji	faksi	frakcja	N;SG	N;GEN;FEM;SG
faksi	frakcja	faksi	frakcja	N;SG	N;NOM;FEM;SG
kelautan	żołnierz	kelautan	żołnierz	N;SG	N;NOM;MASC;SG
bayangan	cieniu	bayangan	cień	N;SG	N;GEN;MASC;SG
bayangan	cienia	bayangan	cień	N;SG	N;GEN;MASC;SG
keberadaannya	istnienia	keberadaan	istnieć	N;SG	N;GEN;NEUT;SG
keberadaannya	występowanie	keberadaan	występowanie	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
keberadaannya	istnienie	keberadaan	istnienie	N;SG	N;NOM;NEUT;SG
waris	dziedzica	waris	dziedzic	N;SG	N;ACC;MASC;SG
keterbatasan	ograniczenia	keterbatasan	ograniczenie	N;SG	N;NOM;NEUT;SG
keterbatasan	ograniczenie	keterbatasan	ograniczenie	N;SG	N;NOM;NEUT;SG
keterbatasan	ograniczanie	keterbatasan	ograniczać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
torpedo	torpeda	torpedo	torpeda	N	N;NOM;FEM;SG
busur	łuk	busur	łuk	N;SG	N;NOM;MASC;SG
busur	łuk	busur	łuk	N;SG	N;NOM;MASC;SG
persenjataan	ordnance	persenjataan	ordnanka	N;SG	N;GEN;FEM;SG
persenjataan	artyleria	persenjataan	artylerium	N;SG	N;NOM;FEM;SG
persenjataan	zbrojowni	persenjataan	zbrojowny	N;SG	N;GEN;FEM;SG
kantong	kieszeni	kantong	kieszeń	N;SG	N;GEN;FEM;SG
kantong	kieszeń	kantong	kieszeń	N;SG	N;NOM;FEM;SG
kantong	torebka	kantong	torebka	N;SG	N;NOM;FEM;SG
kantong	worek	kantong	worek	N;SG	N;NOM;MASC;SG
kantong	torba	kantong	torba	N;SG	N;NOM;FEM;SG
kantong	torbę	kantong	torba	N;SG	N;ACC;FEM;SG
kantong	woreczek	kantong	woreczek	N;SG	N;NOM;MASC;SG
kantong	kieszeni	kantong	kieszeń	N;SG	N;GEN;FEM;SG
kantong	kieszeń	kantong	kieszeń	N;SG	N;NOM;FEM;SG
kelayakan	wykonalności	kelayakan	wykonalność	N;SG	N;ACC;FEM;SG
fisikawan	fizyk	fisikawan	fizyk	N;MASC;SG	N;NOM;MASC;SG
robinson	robinson	robinson	robinson	N	N;NOM;MASC;SG
depresi	depresję	depresi	depresja	N;SG	N;ACC;FEM;SG
depresi	depresji	depresi	depresja	N;SG	N;GEN;FEM;SG
depresi	depresja	depresi	depresja	N;SG	N;NOM;FEM;SG
pembaruan	przedłużenie	penbaruan	przedłużyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
pembaruan	odnowienie	penbaruan	odnowienie	N;SG	N;NOM;NEUT;SG
pembaruan	uaktualnienia	penbaruan	uaktualnienie	N;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
pembaruan	aktualizacja	penbaruan	aktualizacja	N;SG	N;NOM;FEM;SG
pembaruan	aktualizacji	penbaruan	aktualizacja	N;SG	N;GEN;FEM;SG
pembaruan	uaktualnienie	penbaruan	uaktualnienie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
pengecualian	wyjątku	pengecualian	wyjątek	N;SG	N;GEN;MASC;SG
pengecualian	wyjątkiem	pengecualian	wyjątek	N;SG	N;INS;MASC;SG
pengecualian	wyjątek	pengecualian	wyjątek	N;SG	N;ACC;MASC;SG
pengecualian	wykluczenie	pengecualian	wykluczyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
pengecualian	wyłączenia	pengecualian	wyłączyć	N;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
pengecualian	wykluczenia	pengecualian	wykluczyć	N;SG	N;NOM;NEUT;SG
pengecualian	wyłączenie	pengecualian	wyłączyć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
pengecualian	wyłączenia	pengecualian	wyłączyć	N;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
pengecualian	wykluczenia	pengecualian	wykluczyć	N;SG	N;NOM;NEUT;SG
butuh	potrzebuje	butuh	potrzebować	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
butuh	potrzeba	butuh	potrzeba	V;SG;ACT	V;IND;PRS;FIN
butuh	potrzebuję	butuh	potrzebować	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
keterlibatan	aktywność	keterlibatan	aktywność	N;SG	N;NOM;FEM;SG
keterlibatan	zaangażowanie	keterlibatan	zaangażowanie	N;SG	N;NOM;NEUT;SG
keterlibatan	zaangażowanie	keterlibatan	zaangażowanie	N;SG	N;NOM;NEUT;SG
tendangan	kopnięcie	tendangan	kopnięcie	N;SG	N;NOM;NEUT;SG
kesimpulan	wniosek	kesimpulan	wniosek	N;SG	N;NOM;MASC;SG
kesimpulan	zawarcie	kesimpulan	zawarcie	N;SG	N;NOM;NEUT;SG;V.MSDR
menyembuhkan	leczy	mensembuhkan	leczyć	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
menyembuhkan	uleczyć	mensembuhkan	uleczyć	V;SG;ACT	V;PFV;NFIN;ACT
menyembuhkan	wyleczyć	mensembuhkan	wyleczyć	V;SG;ACT	V;PFV;NFIN;ACT
kebijaksanaan	mądrości	kebijaksanaan	mądrość	N;SG	N;GEN;FEM;SG
kebijaksanaan	mądrość	kebijaksanaan	mądrość	N;SG	N;NOM;FEM;SG
striker	napastnik	striker	napastnik	N;SG	N;NOM;MASC;SG
ringkasan	streszczenie	ringkasan	streszczenie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
ringkasan	zestawienie	ringkasan	zestawienie	N;SG	N;NOM;NEUT;SG
ringkasan	podsumowanie	ringkasan	podsumowanie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
perkemahan	obozy	perkemahan	obóz	N	N;NOM;MASC;PL
perkemahan	obozu	perkemahan	obóz	N	N;GEN;MASC;SG
perkemahan	obóz	perkemahan	obóz	N	N;NOM;MASC;SG
perkemahan	obozy	perkemahan	obóz	N	N;NOM;MASC;PL
perkemahan	obozach	perkemahan	obóz	N	N;GEN;MASC;PL
persemakmuran	commonwealth	persemakmuran	commonwealt	N	N;NOM;MASC;SG
persemakmuran	wspólnota	persemakmuran	wspólnota	N	N;NOM;FEM;SG
pemujaan	kult	penpujaan	kult	N;SG	N;NOM;MASC;SG
pemujaan	sekta	penpujaan	sekt	N;SG	N;NOM;FEM;SG
survey	ankieta	survey	ankieta	N	N;NOM;FEM;SG
survey	ankiety	survey	ankieta	N	N;ACC;MASC;SG
survey	ankietę	survey	ankieta	N	N;ACC;FEM;SG
kutukan	przekleństwo	kutukan	przekleństwo	N;SG	N;NOM;NEUT;SG
kutukan	klątwę	kutukan	klątwa	N;SG	N;ACC;FEM;SG
kutukan	potępienie	kutukan	potępienie	N;SG	N;NOM;NEUT;SG
perundingan	negocjacji	penrundingan	negocjacja	N;SG	N;GEN;FEM;SG
perundingan	rokowania	penrundingan	rokować	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
temuan	ustalenia	temuan	ustalenie	N;SG	N;NOM;NEUT;SG
temuan	odkrycia	temuan	odkrycie	N;SG	N;NOM;NEUT;SG
temuan	odkrywanie	temuan	odkrywać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
temuan	odkrycie	temuan	odkrycie	N;SG	N;NOM;NEUT;SG
pentas	etap	pentas	etap	N	N;NOM;MASC;SG
pentas	scena	pentas	scena	N	N;NOM;FEM;SG
pentas	faza	pentas	faza	N	N;NOM;FEM;SG
pentas	etapie	pentas	etap	N	N;INS;MASC;SG
antarmuka	interfejs	antarmuka	interfejs	N;SG	N;NOM;MASC;SG
antarmuka	interfejsu	antarmuka	interfejs	N;SG	N;GEN;MASC;SG
petang	wieczór	petang	wieczór	N;SG	N;NOM;MASC;SG
petang	wieczorem	petang	wieczór	N;SG	N;INS;MASC;SG
diagram	diagram	diagram	diagrać	N;SG	N;NOM;MASC;SG
diagram	schemat	diagram	schemat	N;SG	N;NOM;MASC;SG
diagram	wykres	diagram	wykres	N;SG	N;NOM;MASC;SG
diagram	wykres	diagram	wykres	N;SG	N;NOM;MASC;SG
sandi	hasła	sandi	hasło	N;SG	N;NOM;NEUT;SG
sandi	hasło	sandi	hasło	N;SG	N;NOM;NEUT;SG
sandi	szyfr	sandi	szyfr	N;SG	N;NOM;MASC;SG
sandi	hasła	sandi	hasło	N;SG	N;NOM;NEUT;SG
administrator	administrator	administrator	administrator	N;SG	N;NOM;MASC;SG
administrator	zarządca	administrator	zarządca	N;SG	N;NOM;MASC;SG
administrator	administratora	administrator	administrator	N;SG	N;ACC;MASC;SG
administrator	administratorem	administrator	administrator	N;SG	N;INS;MASC;SG
mewarisi	dziedziczy	menwarisi	dziedziczy	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
mewarisi	odziedziczyć	menwarisi	odziedziczyć	V;SG;ACT	V;PFV;NFIN;ACT
mewarisi	odziedziczył	menwarisi	odziedziczyć	V;SG;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
kental	skrócony	kental	skrócić	ADJ;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
