novak	novak	novak	novak	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
náklad	cargaison	náklad	cargaison	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
náklad	fret	náklad	fret	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
socialistická	socialiste	socialistický	socialiste	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
automobilový	automobile	automobilový	automobile	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
zajímavá	intéressante	zajímavý	intéressant	ADJ;NOM;FEM;SG;POS	ADJ;FEM;SG
zajímavá	intéressant	zajímavý	intéressant	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
ztrácí	perdant	ztrácet	perdre	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;PRS;V.PTCP
ztrácí	perdre	ztrácet	perdre	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;NFIN
ztrácí	perd	ztrácet	perdre	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
uzavřené	clos	uzavřený	clore	ADJ;NOM;NEUT;SG;POS	ADJ;MASC;SG
uzavřené	clos	uzavřený	clore	ADJ;NOM;NEUT;SG;POS	ADJ;MASC;SG
nutnost	nécessité	nutnost	nécessité	N;NOM;FEM;SG;POS	N;FEM;SG
zápasník	chasseur	zápasník	chasseur	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
zápasník	fighter	zápasník	fighter	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
zápasník	combattant	zápasník	combattant	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
zápasník	boxeur	zápasník	boxeur	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
zápasník	lutteur	zápasník	lutteur	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
zápasník	catcheur	zápasník	catcheur	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
vodíku	hydrogène	vodík	hydrogène	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
ekonomická	économique	ekonomický	économique	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
ekonomická	economique	ekonomický	economique	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
ekonomická	économique	ekonomický	économique	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
ekonomická	economique	ekonomický	economique	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
senát	sénat	senát	sénat	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
indické	indienne	indický	indien	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
indické	indien	indický	indien	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
důvěru	confidence	důvěra	confidence	N;ACC;FEM;SG;POS	N;FEM;SG
důvěru	confiance	důvěra	confiance	N;ACC;FEM;SG;POS	N;FEM;SG
důvěru	fiducie	důvěra	fiducie	N;ACC;FEM;SG;POS	N;FEM;SG
důvěru	confiance	důvěra	confiance	N;ACC;FEM;SG;POS	N;FEM;SG
sedmé	septième	sedmý	septième	ADJ;NOM;NEUT;SG;POS	ADJ;MASC;SG
irský	irlandaise	irský	irlandais	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;FEM;SG
irský	irlandais	irský	irlandais	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;MASC;SG
ředitelství	direction	ředitelství	direction	N;NOM;NEUT;SG;POS	N;FEM;SG
vzduchem	airborne	vzduch	airborne	N;INAN;INS;MASC;SG;POS	N;MASC;SG
vyhráli	gagnées	vyhrát	gagnée	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
vyhráli	gagnés	vyhrát	gagner	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
náhrada	remboursement	náhrada	remboursement	N;NOM;FEM;SG;POS	N;MASC;SG
náhrada	restitution	náhrada	restitution	N;NOM;FEM;SG;POS	N;FEM;SG
náhrada	remboursement	náhrada	remboursement	N;NOM;FEM;SG;POS	N;MASC;SG
náhrada	dédommagement	náhrada	dédommagement	N;NOM;FEM;SG;POS	N;MASC;SG
náhrada	indemnité	náhrada	indemnité	N;NOM;FEM;SG;POS	N;FEM;SG
náhrada	indemnisation	náhrada	indemnisation	N;NOM;FEM;SG;POS	N;FEM;SG
náhrada	rémunération	náhrada	rémunération	N;NOM;FEM;SG;POS	N;FEM;SG
náhrada	remplacement	náhrada	remplacement	N;NOM;FEM;SG;POS	N;MASC;SG
účtu	compte	účet	compte	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
zjevení	révélation	zjevení	révélation	N;NOM;NEUT;SG;POS	N;FEM;SG
zjevení	épiphanie	zjevení	épiphanie	N;NOM;NEUT;SG;POS	N;FEM;SG
zjevení	apparition	zjevení	apparition	N;NOM;NEUT;SG;POS	N;FEM;SG
domácnosti	ménages	domácnost	ménage	N;NOM;FEM;PL;POS	N;MASC;PL
domácnosti	ménages	domácnost	ménage	N;NOM;FEM;PL;POS	N;MASC;PL
potomků	descendants	potomek	descendant	N;ANIM;GEN;MASC;PL;POS	N;MASC;PL
nízký	basse	nízký	bas	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
nízký	faible	nízký	faible	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
nízký	bas	nízký	bas	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
závislost	dépendance	závislost	dépendance	N;NOM;FEM;SG;POS	N;FEM;SG
závislost	toxicomanie	závislost	toxicomanie	N;NOM;FEM;SG;POS	N;FEM;SG
závislost	addiction	závislost	addiction	N;NOM;FEM;SG;POS	N;FEM;SG
závislost	dépendance	závislost	dépendance	N;NOM;FEM;SG;POS	N;FEM;SG
závislost	dépendance	závislost	dépendance	N;NOM;FEM;SG;POS	N;FEM;SG
předpokladu	prémisse	předpoklad	prémisse	N;INAN;GEN;MASC;SG;POS	N;FEM;SG
podpořil	appuyé	podpořit	appuyer	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
podpořil	soutenue	podpořit	soutenir	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;FEM;SG;PST;V.PTCP
podpořil	soutenu	podpořit	soutenir	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
podpořil	supporté	podpořit	supporter	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
kuchyně	cuisine	kuchyně	cuisine	N;NOM;FEM;SG;POS	N;FEM;SG
kuchyně	gastronomie	kuchyně	gastronomie	N;NOM;FEM;SG;POS	N;FEM;SG
kuchyně	cuisine	kuchyně	cuisine	N;NOM;FEM;SG;POS	N;FEM;SG
napadení	agression	napadení	agression	N;NOM;NEUT;SG;POS	N;FEM;SG
napadení	assaut	napadení	assaut	N;NOM;NEUT;SG;POS	N;MASC;SG
záměrně	délibérément	záměrně	délibérément	ADV;POS	ADV
záměrně	délibérément	záměrně	délibérément	ADV;POS	ADV
záměrně	intentionnellement	záměrně	intentionnellement	ADV;POS	ADV
vítěze	vainqueur	vítěz	vainqueur	N;ANIM;ACC;MASC;SG;POS	N;MASC;SG
vítěze	lauréat	vítěz	lauréat	N;ANIM;ACC;MASC;SG;POS	N;MASC;SG
úhlu	angle	úhel	angle	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
míč	boule	míč	boule	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
míč	balle	míč	balle	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
míč	ballon	míč	ballon	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
výslovně	expressément	výslovně	expressément	ADV;POS	ADV
výslovně	explicitement	výslovně	explicitement	ADV;POS	ADV
výslovně	expressément	výslovně	expressément	ADV;POS	ADV
výslovně	explicitement	výslovně	explicitement	ADV;POS	ADV
výslovně	spécifiquement	výslovně	spécifiquement	ADV;POS	ADV
výslovně	précisément	výslovně	précisément	ADV;POS	ADV
výslovně	spécialement	výslovně	spécialement	ADV;POS	ADV
výpočet	calcul	výpočet	calcul	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
výpočet	calcul	výpočet	calcul	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
autorka	auteure	autorka	auteure	N;NOM;FEM;SG;POS	N;FEM;SG
autorka	auteur	autorka	auteur	N;NOM;FEM;SG;POS	N;MASC;SG
stanovení	détermination	stanovení	détermination	N;NOM;NEUT;SG;POS	N;FEM;SG
hospodářská	économique	hospodářský	économique	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
hospodářská	economique	hospodářský	economique	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
barceloně	barcelone	barcelon	barcelone	N;DAT;FEM;SG;POS	N;MASC;SG
pouť	pèlerinage	pouť	pèlerinage	N;NOM;FEM;SG;POS	N;MASC;SG
prezentace	présentation	prezentace	présentation	N;NOM;FEM;SG;POS	N;FEM;SG
prezentace	diaporama	prezentace	diaporama	N;NOM;FEM;SG;POS	N;MASC;SG
objevit	découvrez	objevit	découvrir	V;PFV;POS;NFIN	V;IMP;PL;2;PRS;FIN
objevit	découverte	objevit	découvrir	V;PFV;POS;NFIN	V;FEM;SG;PST;V.PTCP
objevit	découvrir	objevit	découvrir	V;PFV;POS;NFIN	V;NFIN
par	vapeur	par	vapeur	N;NOM;FEM;SG;POS	N;FEM;SG
přežil	survécu	přežít	survivre	V;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
padesát	cinquante	padesát	cinquante	NUM;NOM;SG	NUM
oprávnění	autorisation	oprávnění	autorisation	N;NOM;NEUT;SG;POS	N;FEM;SG
oprávnění	permission	oprávnění	permission	N;NOM;NEUT;SG;POS	N;FEM;SG
oprávnění	autorisation	oprávnění	autorisation	N;NOM;NEUT;SG;POS	N;FEM;SG
příze	fils	příze	fils	N;NOM;FEM;SG;POS	N;MASC;SG
příze	fil	příze	fil	N;NOM;FEM;SG;POS	N;MASC;SG
směry	directions	směr	direction	N;INAN;NOM;MASC;PL;POS	N;FEM;PL
směry	orientations	směr	orientation	N;INAN;NOM;MASC;PL;POS	N;FEM;PL
verše	versets	verš	verset	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
dodržování	adhérence	dodržování	adhérence	N;NOM;NEUT;SG;POS	N;FEM;SG
dodržování	respect	dodržování	respect	N;NOM;NEUT;SG;POS	N;MASC;SG
dodržování	conformité	dodržování	conformité	N;NOM;NEUT;SG;POS	N;FEM;SG
dodržování	observance	dodržování	observance	N;NOM;NEUT;SG;POS	N;FEM;SG
teplo	chaleur	teplo	chaleur	N;NOM;NEUT;SG;POS	N;FEM;SG
teplo	chaleur	teplo	chaleur	N;NOM;NEUT;SG;POS	N;FEM;SG
dobrovolně	volontiers	dobrovolně	volontiers	ADV;POS	ADV
dobrovolně	volontairement	dobrovolně	volontairement	ADV;POS	ADV
rna	arn	rna	arn	N;NOM;FEM;SG;POS	N;MASC;SG
reagovat	réagir	reagovat	réagir	V;IPFV;POS;NFIN	V;NFIN
reagovat	répondez	reagovat	répondre	V;IPFV;POS;NFIN	V;IMP;PL;2;PRS;FIN
duševní	spirituelle	duševní	spirituel	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
duševní	spirituel	duševní	spirituel	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
duševní	mentale	duševní	mental	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
duševní	mental	duševní	mental	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
duševní	intellectuelle	duševní	intellectuel	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
duševní	intellectuel	duševní	intellectuel	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
terapie	thérapie	terapie	thérapie	N;NOM;FEM;SG;POS	N;FEM;SG
mnich	moine	mnich	moine	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
soukromá	privé	soukromý	privé	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
rozpočtu	budget	rozpočet	budget	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
úseky	sections	úsek	section	N;INAN;NOM;MASC;PL;POS	N;FEM;PL
ukrajinský	ukrainien	ukrajinský	ukrainien	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;MASC;SG
ukrajinský	ukrainienne	ukrajinský	ukrainien	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;FEM;SG
brigády	brigades	brigáda	brigade	N;NOM;FEM;PL;POS	N;FEM;PL
květ	fleur	květ	fleur	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
květ	fleur	květ	fleur	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
květ	floraison	květ	floraison	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
společenský	sociable	společenský	sociable	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
společenský	sociale	společenský	social	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
společenský	social	společenský	social	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
bohové	dieux	boh	dieu	N;ANIM;NOM;MASC;PL;POS	N;MASC;PL
subjekt	entité	subjekt	entité	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
subjekt	objet	subjekt	objet	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
subjekt	sujet	subjekt	sujet	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
vhodnější	préférable	vhodný	préférable	ADJ;NOM;CMPR;MASC;SG;POS	ADJ;MASC;SG
oka	yeux	oko	oeil	N;NOM;NEUT;PL;POS	N;MASC;PL
čapek	čapek	čapek	čapek	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
vazba	reliure	vazba	reliure	N;NOM;FEM;SG;POS	N;FEM;SG
dánská	danois	dánský	danois	ADJ;NOM;FEM;SG;POS	ADJ;MASC;SG
dánská	danoise	dánský	danois	ADJ;NOM;FEM;SG;POS	ADJ;FEM;SG
řetězec	chaîne	řetězec	chaîne	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
řetězec	ficelle	řetězec	ficelle	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
řetězec	string	řetězec	string	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
řetězec	chaîne	řetězec	chaîne	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
řetězec	chaine	řetězec	chaîne	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
schválení	approbation	schválení	approbation	N;NOM;NEUT;SG;POS	N;FEM;SG
schválení	agrément	schválení	agrément	N;NOM;NEUT;SG;POS	N;MASC;SG
schválení	homologation	schválení	homologation	N;NOM;NEUT;SG;POS	N;FEM;SG
nabídky	soumissions	nabídka	soumetion	N;NOM;FEM;PL;POS	N;FEM;PL
nabídky	offres	nabídka	offre	N;NOM;FEM;PL;POS	N;FEM;PL
symbolů	symboles	symbol	symbole	N;INAN;GEN;MASC;PL;POS	N;MASC;PL
vstoupit	entrer	vstoupit	entrer	V;PFV;POS;NFIN	V;NFIN
vstoupit	entrez	vstoupit	entrer	V;PFV;POS;NFIN	V;IMP;PL;2;PRS;FIN
vstoupit	saisir	vstoupit	saisir	V;PFV;POS;NFIN	V;NFIN
vstoupit	saisissez	vstoupit	saisir	V;PFV;POS;NFIN	V;IMP;PL;2;PRS;FIN
střecha	toit	střecha	toit	N;NOM;FEM;SG;POS	N;MASC;SG
střecha	toit	střecha	toit	N;NOM;FEM;SG;POS	N;MASC;SG
střecha	toiture	střecha	toiture	N;NOM;FEM;SG;POS	N;FEM;SG
návštěvy	visiteurs	návštěva	visiteur	N;NOM;FEM;PL;POS	N;MASC;PL
návštěvy	visites	návštěva	visite	N;NOM;FEM;PL;POS	N;FEM;PL
bloky	blocages	blok	blocage	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
bloky	blocs	blok	bloc	N;INAN;NOM;MASC;PL;POS	N;MASC;PL
součet	somme	součet	somme	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
psí	canine	psí	canine	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
regulace	réglementation	regulace	réglementation	N;NOM;FEM;SG;POS	N;FEM;SG
regulace	règlement	regulace	règlement	N;NOM;FEM;SG;POS	N;MASC;SG
regulace	régulation	regulace	régulation	N;NOM;FEM;SG;POS	N;FEM;SG
regulace	règlementation	regulace	règlementation	N;NOM;FEM;SG;POS	N;FEM;SG
regulace	régulation	regulace	régulation	N;NOM;FEM;SG;POS	N;FEM;SG
rozměrů	proportions	rozměr	proportion	N;INAN;GEN;MASC;PL;POS	N;FEM;PL
sektoru	secteur	sektor	secteur	N;INAN;GEN;MASC;SG;POS	N;MASC;SG
špatný	méchant	špatný	méchant	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
špatný	mauvaise	špatný	mauvais	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
špatný	mauvais	špatný	mauvais	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
přesný	précis	přesný	précis	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
přesný	précise	přesný	précis	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
přesný	exacte	přesný	exact	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
přesný	précis	přesný	précis	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
přesný	exacte	přesný	exact	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
přesný	exact	přesný	exact	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
organismů	organismes	organismus	organisme	N;INAN;GEN;MASC;PL;POS	N;MASC;PL
rezignaci	résignation	rezignace	résignation	N;ACC;FEM;SG;POS	N;FEM;SG
rezignaci	démission	rezignace	démission	N;ACC;FEM;SG;POS	N;FEM;SG
etapa	phase	etapa	phase	N;NOM;FEM;SG;POS	N;FEM;SG
etapa	patte	etapa	patte	N;NOM;FEM;SG;POS	N;FEM;SG
etapa	cuisse	etapa	cuisser	N;NOM;FEM;SG;POS	N;FEM;SG
etapa	jambe	etapa	jambe	N;NOM;FEM;SG;POS	N;FEM;SG
etapa	étape	etapa	étape	N;NOM;FEM;SG;POS	N;FEM;SG
etapa	stade	etapa	stade	N;NOM;FEM;SG;POS	N;MASC;SG
etapa	scène	etapa	scène	N;NOM;FEM;SG;POS	N;FEM;SG
