kegubernuran	gubernia	kegubernuran	guberní	N;SG	N;NOM;FEM;SG
sertifikat	potvrdenie	sertifikat	potvrdenie	N;SG	N;NOM;NEUT;SG
sertifikat	certifikát	sertifikat	certifikát	N;SG	N;INAN;NOM;MASC;SG
athletic	athletic	athletic	athletica	N	N;INAN;NOM;MASC;SG
paralel	paralely	paralel	paralel	N	N;INAN;NOM;MASC;PL
kuburan	cintorín	kuburan	cintorina	N;SG	N;INAN;NOM;MASC;SG
kuburan	cintorín	kuburan	cintorina	N;SG	N;INAN;NOM;MASC;SG
kuburan	hrobu	kuburan	hrob	N;SG	N;INAN;GEN;MASC;SG
kuburan	hrobe	kuburan	hrob	N;SG	N;INAN;ESS;MASC;SG
kuburan	hrob	kuburan	hrob	N;SG	N;INAN;NOM;MASC;SG
benih	osiva	benih	osiva	N;SG	N;INAN;GEN;MASC;SG
benih	semeno	benih	semeno	N;SG	N;NOM;NEUT;SG
benih	osivo	benih	osivo	N;SG	N;INAN;NOM;MASC;SG
benih	semienka	benih	semienka	N;SG	N;NOM;FEM;SG
penolakan	odmietnutie	pentolakan	odmietnutie	N;SG	N;NOM;NEUT;SG
penolakan	zamietnutie	pentolakan	zamietnutie	N;SG	N;NOM;NEUT;SG
penolakan	poklesu	pentolakan	pokles	N;SG	N;INAN;GEN;MASC;SG
interior	vnútro	interior	vnútro	N;SG	N;NOM;NEUT;SG
interior	interiér	interior	interiér	N;SG	N;INAN;NOM;MASC;SG
enterprise	podnik	enterprise	podnik	N	N;INAN;NOM;MASC;SG
enterprise	podnikanie	enterprise	podnikanie	N	N;NOM;NEUT;SG
enterprise	enterprise	enterprise	enterprisa	N	N;NOM;FEM;SG
berpengalaman	zažil	berpengalaman	zažiť	V;SG;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
integrasi	integrácia	integrasi	integrácia	N;SG	N;NOM;FEM;SG
integrasi	začlenenie	integrasi	začlenenie	N;SG	N;NOM;NEUT;SG
integrasi	integráciu	integrasi	integrácia	N;SG	N;ACC;FEM;SG
staff	zamestnanci	staff	zamestnanec	N	N;ANIM;NOM;MASC;PL
staff	personál	staff	personál	N	N;INAN;NOM;MASC;SG
output	výstup	output	výstup	N	N;INAN;NOM;MASC;SG
output	produkcia	output	produkcia	N	N;NOM;FEM;SG
output	výstupy	output	výstup	N	N;INAN;NOM;MASC;PL
output	výstupov	output	výstup	N	N;INAN;GEN;MASC;PL
mengkritik	kritizovať	menkritik	kritizovať	V;SG;ACT	V;IPFV;POS;NFIN
fisiologi	fyziológia	fisiologi	fyziológia	N	N;NOM;FEM;SG
mengingatkan	pripomenul	meningatkan	pripomenúť	V;SG;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
mengingatkan	pripomenula	meningatkan	pripomenúť	V;SG;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
mengingatkan	pripomenúť	meningatkan	pripomenúť	V;SG;ACT	V;PFV;POS;NFIN
mengingatkan	pripomínať	meningatkan	pripomínať	V;SG;ACT	V;IPFV;POS;NFIN
dinamis	dynamický	dinamis	dynamický	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
dinamis	dynamická	dinamis	dynamický	ADJ;SG	ADJ;NOM;FEM;SG
dinamis	dynamické	dinamis	dynamický	ADJ;SG	ADJ;NOM;NEUT;SG
animation	animácie	animation	animácia	N	N;NOM;FEM;PL
animation	oživenie	animation	oživenie	N	N;NOM;NEUT;SG
cacing	červa	cacing	červ	N;SG	N;INAN;NOM;MASC;SG
cacing	červ	cacing	červ	N;SG	N;INAN;NOM;MASC;SG
orangtua	rodiča	orangtua	rodiča	N;SG	N;ANIM;ACC;MASC;SG
orangtua	rodič	orangtua	rodič	N;SG	N;ANIM;NOM;MASC;SG
gandum	obilie	gandum	obilie	N;SG	N;NOM;NEUT;SG
gandum	zrno	gandum	zrno	N;SG	N;NOM;NEUT;SG
gandum	zrna	gandum	zrna	N;SG	N;GEN;NEUT;SG
gandum	pšenica	gandum	pšenica	N;SG	N;NOM;FEM;SG
gandum	pšenicu	gandum	pšenica	N;SG	N;ACC;FEM;SG
digit	číslica	digit	číslica	N;SG	N;NOM;FEM;SG
krim	krém	krim	krém	N;SG	N;INAN;NOM;MASC;SG
krim	smotana	krim	smotan	N;SG	N;NOM;FEM;SG
cerah	jasná	cerah	jasný	ADJ;SG	ADJ;NOM;FEM;SG
cerah	svetlý	cerah	svetlý	ADJ;SG	ADJ;INAN;NOM;MASC;SG
cerah	svetlé	cerah	svetlý	ADJ;SG	ADJ;NOM;NEUT;SG
cerah	slnečný	cerah	slnečný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
rupanya	zjavne	rupa	zjavne	ADV;SG	ADV
rupanya	očividne	rupa	očividne	ADV;SG	ADV
berikan	dať	berrikan	dať	V;SG;ACT	V;POS;NFIN
berikan	daj	berrikan	dať	V;SG;ACT	V;IPFV;IMP;SG;2;POS;FIN
transformasi	premena	transformasi	premena	N;SG	N;NOM;FEM;SG
transformasi	transformácia	transformasi	transformácia	N;SG	N;NOM;FEM;SG
transformasi	transformácia	transformasi	transformácia	N;SG	N;NOM;FEM;SG
kekacauan	chaos	kekacauan	chaos	N;SG	N;INAN;NOM;MASC;SG
mengenang	spomínať	menkenang	spomínať	V;SG;ACT	V;IPFV;POS;NFIN
pilih	vybrať	pilih	vybrať	V;SG;ACT	V;PFV;POS;NFIN
pilih	vybrať	pilih	vybrať	V;SG;ACT	V;PFV;POS;NFIN
impor	import	impor	import	N;SG;ACT	N;INAN;NOM;MASC;SG
impor	dovoz	impor	dovoz	N;SG;ACT	N;INAN;NOM;MASC;SG
impor	dovoz	impor	dovoz	N;SG;ACT	N;INAN;NOM;MASC;SG
kesan	dojem	kesan	dojem	N;SG	N;INAN;NOM;MASC;SG
marsekal	šerif	marsekal	šerif	N	N;ANIM;NOM;MASC;SG
marsekal	maršal	marsekal	maršať	N	N;ANIM;NOM;MASC;SG
marsekal	maršalov	marsekal	maršal	N	N;ANIM;NOM;MASC;PL
acak	náhodný	acak	náhodný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
acak	náhodné	acak	náhodný	ADJ;SG	ADJ;NOM;NEUT;SG
terkejut	prekvapilo	terkejut	prekvapiť	V;SG;PASS	V;PFV;NEUT;SG;POS;PST;V.PTCP
terkejut	prekvapil	terkejut	prekvapiť	V;SG;PASS	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
botol	fľašu	botol	fľaša	N;SG	N;ACC;FEM;SG
botol	fľaša	botol	fľaša	N;SG	N;NOM;FEM;SG
syuting	natáčanie	syuting	natáčanie	N	N;NOM;NEUT;SG
syuting	natáčania	syuting	natáčanie	N	N;NOM;NEUT;PL
kehancuran	devastácia	kehancuran	devastácia	N;SG	N;NOM;FEM;SG
kehancuran	ničenie	kehancuran	ničenie	N;SG	N;NOM;NEUT;SG
kehancuran	zničenie	kehancuran	zničenie	N;SG	N;NOM;NEUT;SG
kenangan	pamäť	kenangan	pamäť	N;SG	N;NOM;FEM;SG
kenangan	spomienka	kenangan	spomienka	N;SG	N;NOM;FEM;SG
kenangan	spomienku	kenangan	spomienka	N;SG	N;ACC;FEM;SG
ditembak	zastrelil	ditembak	zastreliť	V;SG;PASS	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
pukulan	úder	pukulan	úder	N;SG	N;INAN;NOM;MASC;SG
romantis	romantika	romantis	romantika	N;SG	N;NOM;FEM;SG
romantis	romantik	romantis	romantik	N;SG	N;ANIM;NOM;MASC;SG
romantis	romantika	romantis	romantika	N;SG	N;NOM;FEM;SG
beri	dať	beri	dať	V;SG;ACT	V;POS;NFIN
beri	daj	beri	dať	V;SG;ACT	V;IPFV;IMP;SG;2;POS;FIN
mendatang	nadchádzajúce	mendatang	nadchádzajúci	ADJ;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
bersembunyi	skrýva	bersembunyi	skrývať	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
perlombaan	závod	perlombaan	závod	N;SG	N;INAN;NOM;MASC;SG
perlombaan	rasa	perlombaan	ras	N;SG	N;NOM;FEM;SG
serigala	vlci	serigala	vlk	N	N;ANIM;NOM;MASC;PL
serigala	vlkov	serigala	vlk	N	N;INAN;GEN;MASC;PL
serigala	vlk	serigala	vlk	N	N;ANIM;NOM;MASC;SG
ruas	políčka	ruas	políček	N;SG	N;INAN;NOM;MASC;SG
taksi	taxi	taksi	taxi	N;SG	N;INAN;NOM;MASC;SG
taksi	taxíkom	taksi	taxík	N;SG	N;INAN;INS;MASC;SG
taksi	taxík	taksi	taxík	N;SG	N;INAN;NOM;MASC;SG
taksi	taxi	taksi	taxi	N;SG	N;INAN;NOM;MASC;SG
taksi	kabína	taksi	kabína	N;SG	N;NOM;FEM;SG
taksi	taxík	taksi	taxík	N;SG	N;INAN;NOM;MASC;SG
wabah	ohnisko	wabah	ohnisko	N;SG	N;NOM;NEUT;SG
wabah	mor	wabah	mor	N;SG	N;INAN;NOM;MASC;SG
wabah	epidémia	wabah	epidémia	N;SG	N;NOM;FEM;SG
lilin	sviečku	lilin	sviečka	N;SG	N;ACC;FEM;SG
lilin	sviečka	lilin	sviečko	N;SG	N;NOM;FEM;SG
lilin	vosk	lilin	vosk	N;SG	N;INAN;NOM;MASC;SG
lilin	vosku	lilin	voska	N;SG	N;INAN;GEN;MASC;SG
laras	barel	laras	barel	N	N;NOM;FEM;SG
laras	sud	laras	sud	N	N;INAN;NOM;MASC;SG
akademisi	academia	akademisi	academia	N;SG	N;NOM;FEM;SG
patroli	hliadka	patroli	hliadka	N;SG	N;NOM;FEM;SG
mutlak	absolútna	mutlak	absolútny	ADJ;SG	ADJ;NOM;FEM;SG
mutlak	absolútny	mutlak	absolútny	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
plasma	plazmy	plasma	plazma	N	N;NOM;FEM;PL
plasma	plazme	plasma	plazať	N	N;DAT;FEM;SG
volkswagen	volkswagen	volkswagen	volkswagen	N	N;NOM;FEM;SG
bandingkan	porovnávať	bandingkan	porovnávať	V;SG;ACT	V;IPFV;POS;NFIN
bandingkan	porovnať	bandingkan	porovnať	V;SG;ACT	V;PFV;POS;NFIN
bandingkan	porovnaj	bandingkan	porovnaj	V;SG;ACT	V;PFV;IMP;SG;2;POS;FIN
tertangkap	chytil	tertangkap	chytiť	V;SG;PASS	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
pelaut	námorníkom	penlaut	námorník	N;SG	N;ANIM;INS;MASC;SG
pelaut	námorník	penlaut	námorník	N;SG	N;ANIM;NOM;MASC;SG
pelaut	námorník	penlaut	námorník	N;SG	N;ANIM;NOM;MASC;SG
perkantoran	kancelária	perkantoran	kancelária	N;SG	N;NOM;FEM;SG
perkantoran	úrad	perkantoran	úrad	N;SG	N;INAN;NOM;MASC;SG
utang	dlhu	utang	dlh	N;SG	N;INAN;GEN;MASC;SG
utang	dlh	utang	dlh	N;SG	N;INAN;NOM;MASC;SG
utang	pohľadávka	utang	pohľadávka	N;SG	N;NOM;FEM;SG
pecinta	milenka	pecinta	milenka	N;SG	N;NOM;FEM;SG
pecinta	milenec	pecinta	milenec	N;SG	N;ANIM;NOM;MASC;SG
tayangan	dojem	tayangan	dojem	N;SG	N;INAN;NOM;MASC;SG
kelanjutan	pokračovanie	kelanjutan	pokračovanie	N;SG	N;NOM;NEUT;SG
menyelidiki	vyšetrovať	menselidiki	vyšetrovať	V;SG;ACT	V;IPFV;POS;NFIN
menyelidiki	prešetriť	menselidiki	prešetriť	V;SG;ACT	V;PFV;POS;NFIN
menyelidiki	vyšetriť	menselidiki	vyšetriť	V;SG;ACT	V;PFV;POS;NFIN
orientasi	orientácia	orientasi	orientácia	N;SG	N;NOM;FEM;SG
diperhatikan	všimol	diperhatikan	všimnúť	V;SG;PASS	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
mangga	mango	mangga	mango	N	N;NOM;FEM;SG
mangga	mango	mangga	mango	N	N;NOM;FEM;SG
bir	piva	bir	pivo	N;SG	N;NOM;NEUT;SG
bir	pivo	bir	pivo	N;SG	N;NOM;NEUT;SG
bir	pivko	bir	pivko	N;SG	N;INAN;NOM;MASC;SG
bir	pivko	bir	pivko	N;SG	N;INAN;NOM;MASC;SG
rusa	jeleň	rusa	jeleň	N	N;ANIM;NOM;MASC;SG
rusa	jeleň	rusa	jeleň	N	N;ANIM;NOM;MASC;SG
rusa	jeleňa	rusa	jeleň	N	N;ANIM;ACC;MASC;SG
bahu	plece	bahu	plece	N;SG	N;NOM;NEUT;SG
bahu	rameno	bahu	rameno	N;SG	N;NOM;NEUT;SG
berlari	bežal	berlari	bežať	V;SG;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
berlari	bežala	berlari	bežať	V;SG;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
berlari	beží	berlari	bežať	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
residen	obyvateľ	residen	obyvateľ	N	N;ANIM;NOM;MASC;SG
residen	bydlisko	residen	bydlisko	N	N;NOM;NEUT;SG
residen	prefekt	residen	prefekt	N	N;ANIM;NOM;MASC;SG
anggrek	orchidea	anggrek	orchidea	N;SG	N;NOM;FEM;SG
referendum	referendum	referendum	referendum	N	N;NOM;NEUT;SG
diteruskan	postúpila	diteruskan	postúpiť	V;SG;PASS	V;PFV;FEM;SG;POS;PST;V.PTCP
sindrom	syndrómu	sindrom	syndróm	N	N;INAN;GEN;MASC;SG
sindrom	syndróm	sindrom	syndróm	N	N;INAN;NOM;MASC;SG
sajak	rým	sajak	rým	N	N;INAN;NOM;MASC;SG
sajak	rýmy	sajak	rým	N	N;INAN;NOM;MASC;PL
kejayaan	triumf	kejayaan	triumf	N;SG	N;INAN;NOM;MASC;SG
elit	elita	elit	elita	N;SG	N;NOM;FEM;SG
jujur	úprimná	jujur	úprimný	ADJ;SG	ADJ;NOM;FEM;SG
jujur	čestné	jujur	čestný	ADJ;SG	ADJ;NOM;NEUT;SG
jujur	úprimný	jujur	úprimný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
instalasi	inštalácia	instalasi	inštalácia	N;SG	N;NOM;FEM;SG
instalasi	inštaláciu	instalasi	inštalácia	N;SG	N;ACC;FEM;SG
instalasi	montáž	instalasi	montáž	N;SG	N;NOM;FEM;SG
instalasi	zariadenie	instalasi	zariadenie	N;SG	N;NOM;NEUT;SG
instalasi	inštalovanie	instalasi	inštalovanie	N;SG	N;NOM;NEUT;SG
instalasi	inštalácia	instalasi	inštalácia	N;SG	N;NOM;FEM;SG
cabai	chili	cabai	chili	N;SG	N;INAN;NOM;MASC;SG
lencana	odznak	lencana	odznak	N;SG	N;INAN;NOM;MASC;SG
lembar	list	lembar	list	N;SG	N;INAN;NOM;MASC;SG
lembar	plech	lembar	plech	N;SG	N;INAN;NOM;MASC;SG
lembar	výtlačok	lembar	výtlačok	N;SG	N;INAN;NOM;MASC;SG
mengarahkan	riadiť	menkarahkan	riadiť	V;SG;ACT	V;IPFV;POS;NFIN
faksi	frakcia	faksi	frakcia	N;SG	N;NOM;FEM;SG
kelautan	mariňák	kelautan	mariňák	N;SG	N;ANIM;NOM;MASC;SG
kelautan	námorník	kelautan	námorník	N;SG	N;ANIM;NOM;MASC;SG
kelautan	marine	kelautan	marin	N;SG	N;NOM;FEM;SG
bayangan	tieň	bayangan	tieň	N;SG	N;INAN;NOM;MASC;SG
bayangan	tieňom	bayangan	tieň	N;SG	N;INAN;INS;MASC;SG
bayangan	tieňa	bayangan	tieň	N;SG	N;INAN;GEN;MASC;SG
keberadaannya	existenciou	keberadaan	existencia	N;SG	N;INS;FEM;SG
keberadaannya	existenciu	keberadaan	existencia	N;SG	N;ACC;FEM;SG
keberadaannya	existencia	keberadaan	existencia	N;SG	N;NOM;FEM;SG
waris	dediča	waris	dediča	N;SG	N;ANIM;ACC;MASC;SG
waris	dedič	waris	dedič	N;SG	N;ANIM;NOM;MASC;SG
dirasakan	cítil	dirasakan	cítiť	V;SG;PASS	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
dirasakan	cítila	dirasakan	cítiť	V;SG;PASS	V;IPFV;FEM;SG;POS;PST;V.PTCP
keterbatasan	obmedzenie	keterbatasan	obmedzenie	N;SG	N;NOM;NEUT;SG
mitsubishi	mitsubishi	mitsubishi	mitsubis	N	N;INAN;NOM;MASC;SG
torpedo	torpédo	torpedo	torpédo	N	N;NOM;NEUT;SG
torpedo	torpéda	torpedo	torpéda	N	N;NOM;NEUT;SG
busur	oblúk	busur	oblúk	N;SG	N;INAN;NOM;MASC;SG
busur	luk	busur	luk	N;SG	N;INAN;NOM;MASC;SG
persenjataan	arzenálu	persenjataan	arzenál	N;SG	N;INAN;GEN;MASC;SG
persenjataan	výzbroj	persenjataan	výzbroj	N;SG	N;NOM;FEM;SG
kantong	vrecko	kantong	vrecko	N;SG	N;NOM;NEUT;SG
kantong	vrecka	kantong	vrecko	N;SG	N;NOM;NEUT;SG
kantong	vrecku	kantong	vrecko	N;SG	N;DAT;NEUT;SG
kantong	vak	kantong	vak	N;SG	N;INAN;NOM;MASC;SG
kantong	tašku	kantong	taška	N;SG	N;ACC;FEM;SG
kantong	vrecko	kantong	vrecko	N;SG	N;NOM;NEUT;SG
kantong	vrece	kantong	vrece	N;SG	N;NOM;NEUT;SG
kantong	taška	kantong	taška	N;SG	N;NOM;FEM;SG
kantong	vrecko	kantong	vrecko	N;SG	N;NOM;NEUT;SG
kelayakan	oprávnenosť	kelayakan	oprávnenosť	N;SG	N;NOM;FEM;SG
kelayakan	spôsobilosť	kelayakan	spôsobilosť	N;SG	N;NOM;FEM;SG
kelayakan	oprávnenie	kelayakan	oprávnenie	N;SG	N;NOM;NEUT;SG
fisikawan	fyzik	fisikawan	fyzik	N;MASC;SG	N;ANIM;NOM;MASC;SG
robinson	robinson	robinson	robinson	N	N;ANIM;NOM;MASC;SG
depresi	depresiu	depresi	depresi	N;SG	N;ACC;FEM;SG
depresi	depresia	depresi	depresi	N;SG	N;NOM;FEM;SG
depresi	depresiu	depresi	depresi	N;SG	N;ACC;FEM;SG
pembaruan	obnova	penbaruan	obnova	N;SG	N;NOM;FEM;SG
pembaruan	obnovenie	penbaruan	obnovenie	N;SG	N;NOM;NEUT;SG
pembaruan	aktualizácia	penbaruan	aktualizácia	N;SG	N;NOM;FEM;SG
pembaruan	update	penbaruan	updať	N;SG	N;NOM;FEM;SG
pengecualian	výnimka	pengecualian	výnimka	N;SG	N;NOM;FEM;SG
pengecualian	výnimku	pengecualian	výnimka	N;SG	N;ACC;FEM;SG
pengecualian	vylúčenie	pengecualian	vylúčenie	N;SG	N;NOM;NEUT;SG
pengecualian	vyňatie	pengecualian	vyňatie	N;SG	N;NOM;NEUT;SG
pengecualian	vylúčenie	pengecualian	vylúčenie	N;SG	N;NOM;NEUT;SG
butuh	potrebovať	butuh	potrebovať	V;SG;ACT	V;IPFV;POS;NFIN
sintesis	syntézu	sintesis	syntéza	N;SG	N;ACC;FEM;SG
keterlibatan	zapojenie	keterlibatan	zapojenie	N;SG	N;NOM;NEUT;SG
keterlibatan	interakcia	keterlibatan	interakcia	N;SG	N;NOM;FEM;SG
keterlibatan	angažovanosť	keterlibatan	angažovanosť	N;SG	N;NOM;FEM;SG
keterlibatan	zapojenie	keterlibatan	zapojenie	N;SG	N;NOM;NEUT;SG
keterlibatan	angažovanosť	keterlibatan	angažovanosť	N;SG	N;NOM;FEM;SG
keterlibatan	spoluúčasť	keterlibatan	spoluúčasť	N;SG	N;NOM;FEM;SG
tendangan	kop	tendangan	kop	N;SG	N;INAN;NOM;MASC;SG
dimasak	varila	dimasak	variť	V;SG;PASS	V;IPFV;FEM;SG;POS;PST;V.PTCP
dimasak	varil	dimasak	variť	V;SG;PASS	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
ditangani	zvládol	ditangani	zvládnuť	V;SG;PASS	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
kesimpulan	záver	kesimpulan	záver	N;SG	N;INAN;NOM;MASC;SG
menyembuhkan	liečiť	mensembuhkan	liečiť	V;SG;ACT	V;IPFV;POS;NFIN
menyembuhkan	vyliečiť	mensembuhkan	vyliečiť	V;SG;ACT	V;PFV;POS;NFIN
menyembuhkan	vyliečiť	mensembuhkan	vyliečiť	V;SG;ACT	V;PFV;POS;NFIN
kebijaksanaan	múdrosť	kebijaksanaan	múdrosť	N;SG	N;NOM;FEM;SG
kebijaksanaan	múdrosti	kebijaksanaan	múdrosť	N;SG	N;NOM;FEM;SG
striker	útočník	striker	útočník	N;SG	N;ANIM;NOM;MASC;SG
ringkasan	súhrn	ringkasan	súhrn	N;SG	N;INAN;NOM;MASC;SG
ringkasan	zhrnutie	ringkasan	zhrnutie	N;SG	N;NOM;NEUT;SG
perkemahan	tábora	perkemahan	tábor	N	N;INAN;GEN;MASC;SG
perkemahan	camp	perkemahan	camp	N	N;INAN;NOM;MASC;SG
perkemahan	tábor	perkemahan	tábor	N	N;INAN;NOM;MASC;SG
perkemahan	táboroch	perkemahan	tábor	N	N;INAN;ESS;MASC;PL
perkemahan	tábory	perkemahan	tábor	N	N;INAN;NOM;MASC;PL
perkemahan	táborov	perkemahan	tábor	N	N;INAN;GEN;MASC;PL
persemakmuran	spoločenstva	persemakmuran	spoločenstvo	N	N;NOM;NEUT;PL
persemakmuran	spoločenstvo	persemakmuran	spoločenstvo	N	N;NOM;NEUT;SG
pemujaan	kult	penpujaan	kult	N;SG	N;INAN;NOM;MASC;SG
survey	prieskum	survey	prieskum	N	N;INAN;NOM;MASC;SG
survey	zisťovanie	survey	zisťovanie	N	N;NOM;NEUT;SG
terganggu	obťažoval	terganggu	obťažovať	V;SG;PASS	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
kutukan	kliatba	kutukan	kliatba	N;SG	N;NOM;FEM;SG
kutukan	prekliatie	kutukan	prekliatie	N;SG	N;NOM;NEUT;SG
kutukan	kliatbu	kutukan	kliatba	N;SG	N;ACC;FEM;SG
perundingan	vyjednávanie	penrundingan	vyjednávanie	N;SG	N;NOM;NEUT;SG
perundingan	vyjednávanie	penrundingan	vyjednávanie	N;SG	N;NOM;NEUT;SG
temuan	objavenie	temuan	objavenie	N;SG	N;NOM;NEUT;SG
temuan	objav	temuan	objav	N;SG	N;INAN;NOM;MASC;SG
pentas	etapa	pentas	etap	N	N;NOM;FEM;SG
pentas	javisko	pentas	javisko	N	N;NOM;NEUT;SG
pentas	fáze	pentas	fáza	N	N;DAT;FEM;SG
pentas	fáza	pentas	fáza	N	N;NOM;FEM;SG
pentas	pódium	pentas	pódium	N	N;NOM;NEUT;SG
pentas	štádium	pentas	štádium	N	N;NOM;NEUT;SG
antarmuka	rozhranie	antarmuka	rozhranie	N;SG	N;NOM;NEUT;SG
antarmuka	rozhraní	antarmuka	rozhranie	N;SG	N;NOM;NEUT;SG
diagram	diagram	diagram	diagram	N;SG	N;INAN;NOM;MASC;SG
diagram	schéma	diagram	schéma	N;SG	N;NOM;FEM;SG
diagram	graf	diagram	graf	N;SG	N;INAN;NOM;MASC;SG
elektro	elektro	elektro	elektro	N;SG	N;NOM;FEM;SG
sandi	heslo	sandi	heslo	N;SG	N;NOM;NEUT;SG
sandi	šifra	sandi	šifer	N;SG	N;NOM;FEM;SG
administrator	administrátor	administrator	administrátor	N;SG	N;ANIM;NOM;MASC;SG
administrator	správcu	administrator	správca	N;SG	N;ANIM;ACC;MASC;SG
administrator	správca	administrator	správca	N;SG	N;ANIM;NOM;MASC;SG
mewarisi	zdedí	menwarisi	zdedieť	V;SG;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
mewarisi	zdediť	menwarisi	zdediť	V;SG;ACT	V;PFV;POS;NFIN
mewarisi	zdedil	menwarisi	zdediť	V;SG;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
mewarisi	zdedila	menwarisi	zdediť	V;SG;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
susah	tvrdá	susah	tvrdý	ADJ;SG	ADJ;NOM;FEM;SG
susah	ťažké	susah	ťažký	ADJ;SG	ADJ;NOM;NEUT;SG
susah	ťažké	susah	ťažký	ADJ;SG	ADJ;NOM;NEUT;SG
susah	náročné	susah	náročný	ADJ;SG	ADJ;NOM;NEUT;SG
susah	zložité	susah	zložitý	ADJ;SG	ADJ;NOM;NEUT;SG
dilepaskan	oddeliť	dilepaskan	oddeliť	V;SG;PASS	V;PFV;POS;NFIN
penomoran	číslovanie	pennomoran	číslovanie	N;SG	N;NOM;NEUT;SG
mediterania	stredozemie	mediterania	stredozemie	N;SG	N;NOM;NEUT;SG
adventure	dobrodružstvo	adventure	dobrodružstvo	N	N;NOM;NEUT;SG
ketegangan	napätie	ketegangan	napätie	N;SG	N;NOM;NEUT;SG
ketegangan	napätí	ketegangan	napätie	N;SG	N;NOM;NEUT;SG
petir	hrom	petir	hrom	N;SG	N;INAN;NOM;MASC;SG
petir	blesk	petir	blesk	N;SG	N;INAN;NOM;MASC;SG
menantang	vyzvať	mentantang	vyzvať	V;SG;ACT	V;PFV;POS;NFIN
menantang	vyzval	mentantang	vyzvať	V;SG;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
