ve	та	ve	та	CONJ	CONJ
ilgili	зацікавлений	ilgili	зацікавлений	ADJ	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
ilgili	схожі	ilgili	схожий	ADJ	ADJ;NOM;PL
madde	речовина	madde	речовина	N;NOM;SG;3	N;INAN;NOM;FEM;SG
madde	матеріал	madde	матеріал	N;NOM;SG;3	N;INAN;NOM;MASC;SG
madde	речовина	madde	речовина	N;NOM;SG;3	N;INAN;NOM;FEM;SG
madde	стаття	madde	стаття	N;NOM;SG;3	N;INAN;NOM;FEM;SG
genel	загальна	genel	загальний	ADJ	ADJ;NOM;FEM;SG
genel	загальні	genel	загальний	ADJ	ADJ;NOM;PL
genel	звичайний	genel	звичайний	ADJ	ADJ;NOM;MASC;SG
genel	загальний	genel	загальний	ADJ	ADJ;NOM;MASC;SG
genel	загальне	genel	загальний	ADJ	ADJ;NOM;NEUT;SG
genel	загальна	genel	загальний	ADJ	ADJ;NOM;FEM;SG
genel	загальний	genel	загальний	ADJ	ADJ;NOM;MASC;SG
genel	загальні	genel	загальний	ADJ	ADJ;NOM;PL
genel	загальний	genel	загальний	ADJ	ADJ;NOM;MASC;SG
genel	загальне	genel	загальний	ADJ	ADJ;NOM;NEUT;SG
adı	назва	ad	назва	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ama	але	ama	але	CONJ	CONJ
ikinci	другий	ikinci	другий	ADJ	ADJ;NOM;MASC;SG
ikinci	друге	ikinci	другий	ADJ	ADJ;NOM;NEUT;SG
üniversitesi	університет	üniversitesi	університет	N;NOM;SG;3	N;INAN;NOM;MASC;SG
zaman	тайм	zaman	тайм	N;NOM;SG;3	N;INAN;NOM;MASC;SG
zaman	час	zaman	час	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bazı	деякі	bazı	деякий	DET	DET;NOM;PL
bazı	якесь	bazı	якийсь	DET	DET;NOM;NEUT;SG
bazı	якийсь	bazı	якийсь	DET	DET;NOM;MASC;SG
aralık	грудень	aralık	грудень	N;NOM;SG;3	N;INAN;NOM;MASC;SG
aralık	схилення	aralık	схилення	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
aralık	схил	aralık	схила	N;NOM;SG;3	N;INAN;NOM;MASC;SG
aralık	інтервал	aralık	інтервал	N;NOM;SG;3	N;INAN;NOM;MASC;SG
aralık	проміжок	aralık	проміжок	N;NOM;SG;3	N;INAN;NOM;MASC;SG
yüksek	високий	yüksek	високий	ADJ	ADJ;NOM;MASC;SG
yüksek	висока	yüksek	високий	ADJ	ADJ;NOM;FEM;SG
yüksek	значне	yüksek	значний	ADJ	ADJ;NOM;NEUT;SG
yüksek	високе	yüksek	високий	ADJ	ADJ;NOM;NEUT;SG
yüksek	високі	yüksek	високий	ADJ	ADJ;NOM;PL
yüksek	вищу	yüksek	вищий	ADJ	ADJ;ACC;RL;FEM;SG
yüksek	вищий	yüksek	вищий	ADJ	ADJ;NOM;CMPR;MASC;SG
yüksek	вищі	yüksek	вищий	ADJ	ADJ;NOM;RL;PL
yüksek	вища	yüksek	вищий	ADJ	ADJ;NOM;RL;FEM;SG
birçok	багатьох	birçok	багато	DET	DET;ACC
sadece	щойно	sadece	щойно	ADV	ADV
bilgi	інформація	bilgi	інформація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bilgi	інформація	bilgi	інформація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bilgi	знання	bilgi	знання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kez	таймс	kez	таймс	N;NOM;SG;3	N;INAN;NOM;MASC;SG
kez	час	kez	час	N;NOM;SG;3	N;INAN;NOM;MASC;SG
devlet	стан	devlet	стан	N;NOM;SG;3	N;INAN;NOM;MASC;SG
devlet	держава	devlet	держава	N;NOM;SG;3	N;INAN;NOM;FEM;SG
devlet	правління	devlet	правління	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
devlet	уряд	devlet	уряд	N;NOM;SG;3	N;INAN;NOM;MASC;SG
üç	три	üç	три	NUM	NUM;NOM
başladı	почалося	başla	початися	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN
başladı	почалось	başla	початися	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN
başladı	почався	başla	початися	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
başladı	почалась	başla	початися	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
başladı	почалося	başla	початися	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN
başladı	почалось	başla	початися	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN
küçük	малий	küçük	малий	ADJ	ADJ;NOM;MASC;SG
küçük	малі	küçük	малий	ADJ	ADJ;NOM;PL
küçük	маленькі	küçük	маленький	ADJ	ADJ;NOM;PL
küçük	маленька	küçük	маленький	ADJ	ADJ;NOM;FEM;SG
küçük	маленький	küçük	маленький	ADJ	ADJ;NOM;MASC;SG
küçük	маленькі	küçük	маленький	ADJ	ADJ;NOM;PL
kabul	визнання	kabul	визнання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kupası	чашка	kupa	чашка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kupası	чаша	kupa	чаш	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kupası	кубок	kupa	кубок	N;NOM;SG;3	N;INAN;NOM;MASC;SG
okulu	школа	okul	школа	N;NOM;SG;3	N;INAN;NOM;FEM;SG
okulu	училище	okul	училище	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
aldı	забрала	al	забрати	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
aldı	взяв	al	взяти	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
aldı	забрала	al	забрати	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
aldı	забрав	al	забрати	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
aldı	отримала	al	отримати	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
farklı	різні	farklı	різний	ADJ	ADJ;NOM;PL
farklı	різних	farklı	різний	ADJ	ADJ;ACC;PL
farklı	відмінні	farklı	відмінний	ADJ	ADJ;NOM;PL
özel	ексклюзивний	özel	ексклюзивний	ADJ	ADJ;NOM;MASC;SG
özel	ексклюзивні	özel	ексклюзивний	ADJ	ADJ;NOM;PL
özel	приватні	özel	приватний	ADJ	ADJ;NOM;PL
özel	приватна	özel	приватний	ADJ	ADJ;NOM;FEM;SG
özel	особисте	özel	особистий	ADJ	ADJ;NOM;NEUT;SG
özel	приватний	özel	приватний	ADJ	ADJ;NOM;MASC;SG
özel	особливий	özel	особливий	ADJ	ADJ;NOM;MASC;SG
özel	спеціальний	özel	спеціальний	ADJ	ADJ;NOM;MASC;SG
özel	особливі	özel	особливий	ADJ	ADJ;NOM;PL
özel	особливе	özel	особливий	ADJ	ADJ;NOM;NEUT;SG
özel	спеціальні	özel	спеціальний	ADJ	ADJ;NOM;PL
özel	особлива	özel	особливий	ADJ	ADJ;NOM;FEM;SG
özel	власний	özel	власний	ADJ	ADJ;NOM;MASC;SG
özel	особлива	özel	особливий	ADJ	ADJ;NOM;FEM;SG
özel	нетипові	özel	нетиповий	ADJ	ADJ;NOM;PL
özel	нетиповий	özel	нетиповий	ADJ	ADJ;NOM;MASC;SG
biri	хтось	biri	хтось	PRO;NOM;SG;3	PRO;ANIM;NOM
biri	хтось	biri	хтось	PRO;NOM;SG;3	PRO;ANIM;NOM
alanı	поле	alan	поле	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
alanı	область	alan	область	N;NOM;SG;3	N;INAN;NOM;FEM;SG
alanı	ділянка	alan	ділянка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
alanı	площа	alan	площа	N;NOM;SG;3	N;INAN;NOM;FEM;SG
alanı	місцевість	alan	місцевість	N;NOM;SG;3	N;INAN;NOM;FEM;SG
uzun	високий	uzun	високий	ADJ	ADJ;NOM;MASC;SG
uzun	розширені	uzun	розширений	ADJ	ADJ;PFV;NOM;PL;V.PTCP;PASS
uzun	розширена	uzun	розширений	ADJ	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
uzun	розширений	uzun	розширений	ADJ	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
uzun	вищими	uzun	вищий	ADJ	ADJ;INS;RL;PL
uzun	вища	uzun	вищий	ADJ	ADJ;NOM;RL;FEM;SG
uzun	вищий	uzun	вищий	ADJ	ADJ;NOM;CMPR;MASC;SG
uzun	довгий	uzun	довгий	ADJ	ADJ;NOM;MASC;SG
uzun	довга	uzun	довга	ADJ	ADJ;NOM;FEM;SG
uzun	довгі	uzun	довгий	ADJ	ADJ;NOM;PL
elektrik	електрика	elektrik	електрик	N;NOM;SG;3	N;INAN;NOM;FEM;SG
elektrik	електрика	elektrik	електрик	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kısa	короткий	kısa	короткий	ADJ	ADJ;NOM;MASC;SG
kısa	коротка	kısa	короткий	ADJ	ADJ;NOM;FEM;SG
kısa	коротке	kısa	короткий	ADJ	ADJ;NOM;NEUT;SG
kısa	короткі	kısa	короткий	ADJ	ADJ;NOM;PL
kişi	особа	kişi	особа	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
el	кисть	el	кисть	N;NOM;SG;3	N;INAN;NOM;FEM;SG
el	правиця	el	правиця	N;NOM;SG;3	N;INAN;NOM;FEM;SG
el	рука	el	рука	N;NOM;SG;3	N;INAN;NOM;FEM;SG
gol	озеро	gol	озеро	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
gol	мета	gol	мета	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ödülü	винагороду	ödül	винагорода	N;ACC;SG;3	N;INAN;ACC;FEM;SG
gün	день	gün	день	N;NOM;SG;3	N;INAN;NOM;MASC;SG
süre	тайм	süre	тайм	N;NOM;SG;3	N;INAN;NOM;MASC;SG
süre	час	süre	час	N;NOM;SG;3	N;INAN;NOM;MASC;SG
süre	тривалість	süre	тривалість	N;NOM;SG;3	N;INAN;NOM;FEM;SG
eğitim	тренування	eğitim	тренування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
eğitim	тренінг	eğitim	тренінг	N;NOM;SG;3	N;INAN;NOM;MASC;SG
eğitim	освіта	eğitim	освіта	N;NOM;SG;3	N;INAN;NOM;FEM;SG
eğitim	підручник	eğitim	підручник	N;NOM;SG;3	N;INAN;NOM;MASC;SG
eğitim	навчання	eğitim	навчання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
az	менше	az	менше	ADV	ADV;CMPR
kullanılan	використано	kullan	використати	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
görev	завдання	görev	завдання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
görev	призначення	görev	призначення	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
görev	присвоєння	görev	присвоєння	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
görev	місія	görev	місія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yine	знов	yine	знов	ADV	ADV
yine	знову	yine	знову	ADV	ADV
ekonomisi	господарство	ekonomi	господарство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
ekonomisi	економіка	ekonomi	економіка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ekonomisi	економія	ekonomi	економія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
telefon	телефон	telefon	телефон	N;NOM;SG;3	N;INAN;NOM;MASC;SG
telefon	телефон	telefon	телефон	N;NOM;SG;3	N;INAN;NOM;MASC;SG
yeniden	знов	yeniden	знов	ADV	ADV
yeniden	знову	yeniden	знову	ADV	ADV
yeniden	заново	yeniden	заново	ADV	ADV
savaş	битва	savaş	битво	N;NOM;SG;3	N;INAN;NOM;FEM;SG
savaş	бій	savaş	бій	N;NOM;SG;3	N;INAN;NOM;MASC;SG
savaş	війна	savaş	війна	N;NOM;SG;3	N;INAN;NOM;FEM;SG
savaş	комбат	savaş	комбат	N;NOM;SG;3	N;INAN;NOM;MASC;SG
savaş	бій	savaş	бій	N;NOM;SG;3	N;INAN;NOM;MASC;SG
savaş	бійка	savaş	бійка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kullanıcı	користувач	kullanıcı	користувач	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
birliği	союз	birlik	союз	N;NOM;SG;3	N;INAN;NOM;MASC;SG
kanalizasyon	каналізація	kanalizasyon	каналізація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
maç	гра	maç	гра	N;NOM;SG;3	N;INAN;NOM;FEM;SG
maç	збіг	maç	збігти	N;NOM;SG;3	N;INAN;NOM;MASC;SG
maç	відповідність	maç	відповідність	N;NOM;SG;3	N;INAN;NOM;FEM;SG
maç	матч	maç	матч	N;NOM;SG;3	N;INAN;NOM;MASC;SG
maç	двобій	maç	двобія	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sıra	рядок	sıra	рядок	N;NOM;SG;3	N;INAN;NOM;MASC;SG
teknik	технічні	teknik	технічний	ADJ	ADJ;NOM;PL
teknik	технічна	teknik	технічний	ADJ	ADJ;NOM;FEM;SG
teknik	технічний	teknik	технічний	ADJ	ADJ;NOM;MASC;SG
uygun	зручний	uygun	зручний	ADJ	ADJ;NOM;MASC;SG
uygun	зручна	uygun	зручний	ADJ	ADJ;NOM;FEM;SG
uygun	відповідний	uygun	відповідний	ADJ	ADJ;NOM;MASC;SG
uygun	відповідні	uygun	відповідний	ADJ	ADJ;NOM;PL
uygun	відповідну	uygun	відповідний	ADJ	ADJ;ACC;FEM;SG
bütün	цілу	bütün	цілий	ADJ	ADJ;ACC;FEM;SG
bütün	цілий	bütün	цілий	ADJ	ADJ;NOM;MASC;SG
bütün	ціла	bütün	цілий	ADJ	ADJ;NOM;FEM;SG
listesi	перелік	liste	перелік	N;NOM;SG;3	N;INAN;NOM;MASC;SG
listesi	список	liste	список	N;NOM;SG;3	N;INAN;NOM;MASC;SG
dört	чотирьох	dört	чотири	NUM	NUM;NOM
dört	чотири	dört	чотири	NUM	NUM;NOM
stadyumu	стадіон	stadyum	стадіон	N;NOM;SG;3	N;INAN;NOM;MASC;SG
stadyumu	стедіум	stadyum	стедія	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bar	бар	bar	бар	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bar	смужка	bar	смужка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bar	паб	bar	паб	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sonunda	нарешті	sonunda	нарешті	ADV	ADV
onu	нього	o	він	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
onu	його	o	він	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
onu	її	o	вона	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
verilen	дано	ver	дати	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
verilen	надано	ver	надати	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
birkaç	кілька	birkaç	кілька	DET	DET;NOM
birkaç	декілька	birkaç	декілька	DET	DET;NOM
açık	відкрита	açık	відкритий	ADJ	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
açık	відкриті	açık	відкритий	ADJ	ADJ;PFV;NOM;PL;V.PTCP;PASS
açık	відкритий	açık	відкритий	ADJ	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
insan	особа	insan	особа	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
insan	людина	insan	людина	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
insan	чоловік	insan	чоловік	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
insan	мужчина	insan	мужчина	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
insan	людина	insan	людина	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
neden	навіщо	ne	навіщо		
stadyum	стадіон	stadyum	стадіон	N;NOM;SG;3	N;INAN;NOM;MASC;SG
stadyum	стедіум	stadyum	стедія	N;NOM;SG;3	N;INAN;NOM;MASC;SG
an	момент	an	момент	N;NOM;SG;3	N;INAN;NOM;MASC;SG
iş	завдання	iş	завдання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
iş	робота	iş	робота	N;NOM;SG;3	N;INAN;NOM;FEM;SG
iş	робота	iş	робота	N;NOM;SG;3	N;INAN;NOM;FEM;SG
iş	завдання	iş	завдання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
iş	бізнес	iş	бізнути	N;NOM;SG;3	N;INAN;NOM;MASC;SG
iş	справа	iş	справа	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bölümü	розділ	bölüm	розділ	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölümü	секція	bölüm	секція	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bölümü	департамент	bölüm	департамент	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölümü	відділ	bölüm	відділ	N;NOM;SG;3	N;INAN;NOM;MASC;SG
güzel	прекрасні	güzel	прекрасний	ADJ	ADJ;NOM;PL
güzel	красивий	güzel	красивий	ADJ	ADJ;NOM;MASC;SG
güzel	красива	güzel	красиво	ADJ	ADJ;NOM;FEM;SG
güzel	красиві	güzel	красивий	ADJ	ADJ;NOM;PL
güzel	хороші	güzel	хороший	ADJ	ADJ;NOM;PL
güzel	гарні	güzel	гарний	ADJ	ADJ;NOM;PL
güzel	добрий	güzel	добрий	ADJ	ADJ;NOM;MASC;SG
çocuk	хлопчик	çocuk	хлопчик	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
çocuk	малиш	çocuk	малиш	N;NOM;SG;3	N;INAN;NOM;MASC;SG
çocuk	дитя	çocuk	дитя	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
çocuk	дитина	çocuk	дитина	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
çocuk	нащадок	çocuk	нащадок	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
sinema	фільм	sine	фільм	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sinema	кіно	sine	кіно	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
sinema	кіно	sine	кіно	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
sinema	кінематограф	sine	кінематограф	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sinema	кіно	sine	кіно	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
ay	місяць	ay	місяць	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ay	місяць	ay	місяць	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ay	супутник	ay	супутник	N;NOM;SG;3	N;INAN;NOM;MASC;SG
imparatorluğu	імперія	imparatorluk	імперія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
internet	інтернет	internet	інтернет	N;NOM;SG;3	N;INAN;NOM;MASC;SG
tiyatro	драма	tiyatro	драма	N;NOM;SG;3	N;INAN;NOM;FEM;SG
tiyatro	театр	tiyatro	театр	N;NOM;SG;3	N;INAN;NOM;MASC;SG
tiyatro	театр	tiyatro	театр	N;NOM;SG;3	N;INAN;NOM;MASC;SG
oldukça	зовсім	oldukça	зовсім	ADV	ADV
oldukça	досить	oldukça	досить	ADV	ADV
kazandı	посіла	kazan	посіти	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
kazandı	переміг	kazan	перемогти	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
kazandı	виграв	kazan	виграти	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
karar	вердикт	karar	вердикт	N;NOM;SG;3	N;INAN;NOM;MASC;SG
karar	рішення	karar	рішення	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
karar	рішення	karar	рішення	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
tarih	дата	tarih	дата	N;NOM;SG;3	N;INAN;NOM;FEM;SG
tarih	журнал	tarih	журнал	N;NOM;SG;3	N;INAN;NOM;MASC;SG
tarih	історія	tarih	історія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
temel	базові	temel	базовий	ADJ	ADJ;NOM;PL
temel	базове	temel	базовий	ADJ	ADJ;NOM;NEUT;SG
temel	основні	temel	основний	ADJ	ADJ;NOM;PL
temel	базовий	temel	базовий	ADJ	ADJ;NOM;MASC;SG
temel	основний	temel	основний	ADJ	ADJ;NOM;MASC;SG
ünlü	відома	ünlü	відомий	ADJ	ADJ;NOM;FEM;SG
ünlü	знамениті	ünlü	знаменитий	ADJ	ADJ;NOM;PL
ünlü	відомий	ünlü	відомий	ADJ	ADJ;NOM;MASC;SG
ünlü	знаменитий	ünlü	знаменитий	ADJ	ADJ;NOM;MASC;SG
çıktı	вивести	çık	вивести	V;PFV;IND;SG;3;POS;PST	V;PFV;NFIN
sosyal	соціальне	sosyal	соціальний	ADJ	ADJ;NOM;NEUT;SG
sosyal	соціальні	sosyal	соціальний	ADJ	ADJ;NOM;PL
sosyal	соціальна	sosyal	соціальний	ADJ	ADJ;NOM;FEM;SG
sosyal	соціальний	sosyal	соціальний	ADJ	ADJ;NOM;MASC;SG
geldi	прибуло	gel	прибути	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN
geldi	приїхав	gel	приїхати	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
oy	голосування	oy	голосування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
oy	голосування	oy	голосування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
geniş	широкий	geniş	широкий	ADJ	ADJ;NOM;MASC;SG
geniş	широка	geniş	широка	ADJ	ADJ;NOM;FEM;SG
geniş	широкі	geniş	широкий	ADJ	ADJ;NOM;PL
geniş	широке	geniş	широке	ADJ	ADJ;NOM;NEUT;SG
geniş	великі	geniş	великий	ADJ	ADJ;NOM;PL
geniş	великих	geniş	великий	ADJ	ADJ;ANIM;ACC;PL
ev	дім	ev	дім	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ev	домівка	ev	домівка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ev	будинок	ev	будинок	N;NOM;SG;3	N;INAN;NOM;MASC;SG
hareket	рух	hareket	рух	N;NOM;SG;3	N;INAN;NOM;MASC;SG
hareket	хід	hareket	хід	N;NOM;SG;3	N;INAN;NOM;MASC;SG
hareket	пересування	hareket	пересування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
hareket	рух	hareket	рух	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölgesi	регіон	bölge	регіон	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölgesi	територія	bölge	територія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
sahibi	власник	sahip	власник	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
bilim	наука	bilim	наука	N;NOM;SG;3	N;INAN;NOM;FEM;SG
verdi	віддала	ver	віддати	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
verdi	дав	ver	дати	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
verdi	дала	ver	дати	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
hiç	ніколи	hiç	ніколи	ADV	ADV
ifade	експрес	ifade	експрес	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ifade	заява	ifade	заява	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ifade	виписка	ifade	виписка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ifade	твердження	ifade	твердження	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
ifade	показання	ifade	показання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
ifade	вираз	ifade	вираз	N;NOM;SG;3	N;INAN;NOM;MASC;SG
şey	фішка	şey	фішка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
şey	річ	şey	річ	N;NOM;SG;3	N;INAN;NOM;FEM;SG
rapor	скарга	rapor	скарга	N;NOM;SG;3	N;INAN;NOM;FEM;SG
rapor	звіт	rapor	звіт	N;NOM;SG;3	N;INAN;NOM;MASC;SG
kurulan	встановлено	kur	встановити	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
kurulan	засновано	kur	засновати	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
altı	шість	altı	шість	NUM	NUM;NOM
altı	шестеро	altı	шестеро	NUM	NUM;NOM
dizi	серія	dizi	серія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
dizi	ряд	dizi	ряд	N;NOM;SG;3	N;INAN;NOM;MASC;SG
dizi	масив	dizi	масити	N;NOM;SG;3	N;INAN;NOM;MASC;SG
dizi	послідовність	dizi	послідовність	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ayrı	відокремлених	ayrı	відокремлений	ADJ	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS
ayrı	розділені	ayrı	розділений	ADJ	ADJ;PFV;NOM;PL;V.PTCP;PASS
ayrı	окреме	ayrı	окреме	ADJ	ADJ;NOM;NEUT;SG
şampiyonası	чемпіонат	şampiyon	чемпіонат	N;NOM;SG;3	N;INAN;NOM;MASC;SG
göz	навігація	göz	навігація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
göz	перегляд	göz	перегляд	N;NOM;SG;3	N;INAN;NOM;MASC;SG
göz	око	göz	око	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
