retratos	portrætter	retrato	portrætte	N;MASC;PL	N;INDF;MASC+FEM;PL
contribuyó	bidrog	contribuir	bidrog	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
contribuyó	bidraget	contribuir	bidrage	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
rara	sjælden	raro	sjælden	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
figueroa	figueroa	figueroa	figueroa	N;MASC;SG	N;INDF;MASC+FEM;SG
fantasía	fantasi	fantasía	fantasi	N;FEM;SG	N;INDF;MASC+FEM;SG
fenómenos	fænomener	fenómeno	fænomene	N;MASC;PL	N;INDF;NEUT;PL
fenómenos	tosser	fenómeno	tosse	N;MASC;PL	N;INDF;MASC+FEM;PL
conecta	forbinde	conectar	forbinde	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
bus	bus	bus	bus	N;MASC;SG	N;INDF;MASC+FEM;SG
bus	bussen	bus	bus	N;MASC;SG	N;DEF;MASC+FEM;SG
master	mester	master	mester	N;MASC;SG	N;INDF;MASC+FEM;SG
master	herre	master	herre	N;MASC;SG	N;INDF;MASC+FEM;SG
africano	afrikansk	africano	afrikansk	ADJ;MASC;SG	ADJ;INDF;SG
poética	poetisk	poética	poetisk	ADJ;FEM;SG	ADJ;INDF;SG
robinson	robinson	robinson	robinson	N;MASC;SG	N;INDF;MASC+FEM;SG
finanzas	finanser	finanzas	finanser	N;FEM;PL	N;INDF;MASC+FEM;PL
finanzas	finanser	finanzas	finanser	N;FEM;PL	N;INDF;MASC+FEM;PL
sinfónica	symfonisk	sinfónico	symfonisk	ADJ;FEM;SG	ADJ;INDF;SG
suborden	underordenen	subordar	underorden	N;MASC;SG	N;DEF;MASC+FEM;SG
boxeo	boksning	boxeo	boksning	N;MASC;SG	N;INDF;MASC+FEM;SG
ocupada	travl	ocupado	travl	ADJ;FEM;SG;V.PTCP	ADJ;INDF;MASC+FEM;SG
renault	renault	renault	renault	N;MASC;SG	N;INDF;MASC+FEM;SG
comparte	deler	compartir	dele	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
árbitro	dommer	árbitro	dommer	N;MASC;SG	N;INDF;MASC+FEM;SG
árbitro	voldgiftsmand	árbitro	voldgiftsmand	N;MASC;SG	N;INDF;MASC+FEM;SG
árbitro	ref	árbitro	ref	N;MASC;SG	N;INDF;NEUT;SG
antropología	antropologi	antropología	antropologi	N;FEM;SG	N;INDF;MASC+FEM;SG
favorable	favorabel	favorable	favorabel	ADJ;SG	ADJ;INDF;MASC+FEM;SG
favorable	gunstig	favorable	gunstig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
favorable	gunstigt	favorable	gunstigt	ADJ;SG	ADJ;INDF;NEUT;SG
favorable	favorabel	favorable	favorabel	ADJ;SG	ADJ;INDF;MASC+FEM;SG
favorable	gunstig	favorable	gunstig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
favorable	gunstigt	favorable	gunstigt	ADJ;SG	ADJ;INDF;NEUT;SG
favorable	fordelagtig	favorable	fordelagtig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
significativa	meningsfuld	significativo	meningsfuld	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
significativa	betydningsfuldt	significativo	betydningsfuld	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
significativa	betydende	significativo	betydende	ADJ;FEM;SG	ADJ
significativa	betydelig	significativo	betydelig	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
significativa	væsentlig	significativo	væsentlig	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
significativa	signifikant	significativo	signifikant	ADJ;FEM;SG	ADJ;INDF;SG
fiel	trofast	fiel	trofast	ADJ;SG	ADJ;INDF;SG
rodaje	skydning	rodaje	skydning	N;MASC;SG	N;INDF;MASC+FEM;SG
rodaje	skyderi	rodaje	skyderi	N;MASC;SG	N;INDF;NEUT;SG
escalera	trappe	escalera	trappe	N;FEM;SG	N;INDF;MASC+FEM;SG
escalera	trappe	escalera	trappe	N;FEM;SG	N;INDF;MASC+FEM;SG
escalera	trappe	escalera	trappe	N;FEM;SG	N;INDF;MASC+FEM;SG
escalera	stigen	escalera	stig	N;FEM;SG	N;DEF;MASC+FEM;SG
escalera	trappe	escalera	trappe	N;FEM;SG	N;INDF;MASC+FEM;SG
escalera	trappen	escalera	trappe	N;FEM;SG	N;DEF;MASC+FEM;SG
arabia	arabien	arabia	arabi	N;FEM;SG	N;DEF;MASC+FEM;SG
experimentos	eksperimenterne	experimento	eksperiment	N;MASC;PL	N;DEF;MASC+FEM;PL
experimentos	eksperimenter	experimento	eksperiment	N;MASC;PL	N;INDF;MASC+FEM;PL
experimentos	eksperimenter	experimento	eksperiment	N;MASC;PL	N;INDF;MASC+FEM;PL
paisajes	landskaber	paisaje	landskaber	N;MASC;PL	N;INDF;NEUT;PL
paisajes	landskaber	paisaje	landskaber	N;MASC;PL	N;INDF;NEUT;PL
mito	myte	mito	myte	N;MASC;SG	N;INDF;MASC+FEM;SG
mito	myten	mito	myte	N;MASC;SG	N;DEF;MASC+FEM;SG
dispuesto	villig	dispuesto	villig	ADJ;MASC;SG;V.PTCP	ADJ;INDF;MASC+FEM;SG
efectivo	kontant	efectivo	kontant	ADJ;MASC;SG	ADJ;INDF;SG
robot	robot	robot	robot	N;MASC;SG	N;INDF;MASC+FEM;SG
robot	robotten	robot	robotten	N;MASC;SG	N;DEF;MASC+FEM;SG
cuota	gebyr	cuota	gebyr	N;FEM;SG	N;INDF;NEUT;SG
cuota	afgift	cuota	afgift	N;FEM;SG	N;INDF;MASC+FEM;SG
cuota	honorar	cuota	honorar	N;FEM;SG	N;INDF;NEUT;SG
cuota	kontingent	cuota	kontingent	N;FEM;SG	N;INDF;NEUT;SG
cuota	kvote	cuota	kvote	N;FEM;SG	N;INDF;MASC+FEM;SG
obreros	arbejdstagere	obrero	arbejdstager	N;MASC;PL	N;INDF;MASC+FEM;PL
obreros	arbejdstagerne	obrero	arbejdstage	N;MASC;PL	N;DEF;MASC+FEM;PL
obreros	arbejdere	obrero	arbejder	N;MASC;PL	N;INDF;MASC+FEM;PL
sagrada	hellig	sagrado	hellig	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
sagrada	helligt	sagrado	helligt	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
interpretaciones	fortolkninger	interpretación	fortolkning	N;FEM;PL	N;INDF;MASC+FEM;PL
hembra	hunkøn	hembra	hunkøn	N;FEM;SG	N;INDF;NEUT;SG
hembra	kvinde	hembra	kvinde	N;FEM;SG	N;INDF;MASC+FEM;SG
añadió	tilføjet	añadir	tilføje	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
añadió	føjet	añadir	føje	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
añadió	tilføjede	añadir	tilføje	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
añadió	tilsat	añadir	tilsat	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
gold	guld	gold	guld	N	N;INDF;NEUT;SG
procedimientos	procedurerne	procedimiento	procedur	N;MASC;PL	N;DEF;MASC+FEM;PL
procedimientos	procedurer	procedimiento	procedur	N;MASC;PL	N;INDF;MASC+FEM;PL
procedimientos	fremgangsmåder	procedimiento	fremgangsmåde	N;MASC;PL	N;INDF;NEUT;PL
dominante	fremherskende	dominante	fremherskende	ADJ;SG	ADJ
luchador	bokser	luchador	bokse	N;MASC;SG	N;INDF;MASC+FEM;SG
luchador	fighter	luchador	fight	N;MASC;SG	N;INDF;MASC+FEM;SG
ligera	let	ligero	let	ADJ;FEM;SG	ADJ;INDF;SG
facultades	fakulteter	facultad	fakulteter	N;FEM;PL	N;INDF;MASC+FEM;PL
tocando	leger	tocar	lege	V;V.MSDR	V;IND;PRS;FIN;ACT
tocando	spiller	tocar	spille	V;V.MSDR	V;IND;PRS;FIN;ACT
tocando	spille	tocar	spille	V;V.MSDR	V;NFIN;ACT
recuerdos	erindringer	recuerdo	erindring	N;MASC;PL	N;INDF;MASC+FEM;PL
site	site	sitir	site	N;MASC;SG	N;INDF;NEUT;SG
específicos	specifikke	específico	specifikke	ADJ;MASC;PL	ADJ;PL
falla	svigt	fallar	svig	N;FEM;SG	N;INDF;NEUT;SG
falla	fiasko	fallar	fiasko	N;FEM;SG	N;INDF;MASC+FEM;SG
falla	brist	fallar	brist	N;FEM;SG	N;INDF;MASC+FEM;SG
romper	bryde	romper	bryde	V;NFIN	V;NFIN;ACT
romper	bræk	romper	bræk	V;NFIN	V;IMP
romper	bryd	romper	bryd	V;NFIN	V;IMP
romper	bryder	romper	bryde	V;NFIN	V;IND;PRS;FIN;ACT
huerta	orchard	huerta	orchard	N;FEM;SG	N;INDF;NEUT;SG
septentrional	nordlig	septentrional	nordlig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
seguimiento	sporing	seguimiento	sporing	N;MASC;SG	N;INDF;MASC+FEM;SG
seguimiento	opfølgning	seguimiento	opfølgning	N;MASC;SG	N;INDF;MASC+FEM;SG
seguimiento	monitorering	seguimiento	monitorering	N;MASC;SG	N;INDF;MASC+FEM;SG
seguimiento	overvågning	seguimiento	overvågning	N;MASC;SG	N;INDF;MASC+FEM;SG
difíciles	svære	difícil	svær	ADJ;PL	ADJ;PL
cerveza	øl	cerveza	øl	N;FEM;SG	N;INDF;MASC+FEM;SG
cerveza	bajer	cerveza	baje	N;FEM;SG	N;INDF;MASC+FEM;SG
proyección	fremskrivning	proyección	fremskrivning	N;FEM;SG	N;INDF;MASC+FEM;SG
proyección	projektion	proyección	projektion	N;FEM;SG	N;INDF;MASC+FEM;SG
proyección	screening	proyección	screening	N;FEM;SG	N;INDF;MASC+FEM;SG
neerlandés	hollænder	neerlandés	hollænder	N;MASC;SG	N;INDF;MASC+FEM;SG
maneras	måder	manera	måde	N;FEM;PL	N;INDF;MASC+FEM;PL
tocó	rørt	tocar	rør	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
tocó	berørt	tocar	berøre	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
tocó	rørte	tocar	røre	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
infierno	helvede	infierno	helvede	N;MASC;SG	N;INDF;NEUT;SG
infierno	inferno	infierno	inferno	N;MASC;SG	N;INDF;NEUT;SG
gastos	udgifter	gasto	udgift	N;MASC;PL	N;INDF;MASC+FEM;PL
gastos	udgifter	gasto	udgift	N;MASC;PL	N;INDF;MASC+FEM;PL
africana	afrikansk	africano	afrikansk	ADJ;FEM;SG	ADJ;INDF;SG
depósito	deponering	depósito	deponering	N;MASC;SG	N;INDF;MASC+FEM;SG
depósito	depositum	depósito	depositum	N;MASC;SG	N;INDF;NEUT;SG
lucio	lucius	lucio	lucius	N;MASC;SG	N;INDF;MASC+FEM;SG
montenegro	montenegros	montenegro	montenegros	N;FEM;SG	N;INDF;MASC+FEM;SG
jornadas	dage	jornada	dag	N;FEM;PL	N;INDF;MASC+FEM;PL
situados	beliggende	situado	beliggende	ADJ;MASC;PL;V.PTCP	ADJ
lobos	ulve	lobo	ulv	N;MASC;PL	N;INDF;MASC+FEM;PL
lobos	ulvene	lobo	ulv	N;MASC;PL	N;DEF;MASC+FEM;PL
lobos	ulve	lobo	ulv	N;MASC;PL	N;INDF;MASC+FEM;PL
especialista	specialist	especialista	specialist	N;SG	N;INDF;MASC+FEM;SG
especialista	speciallæge	especialista	speciallæge	N;SG	N;INDF;MASC+FEM;SG
octava	ottende	octavo	otte	ADJ;FEM;SG	ADJ
pendiente	udestående	pendiente	udestående	ADJ;SG	ADJ
realista	realistisk	realista	realistisk	ADJ;SG	ADJ;INDF;SG
definitivo	definitiv	definitivo	definitiv	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
recordar	mindes	recordar	mindes	V;NFIN	V;NFIN;ACT
recordar	husker	recordar	huske	V;NFIN	V;IND;PRS;FIN;ACT
recordar	huske	recordar	huske	V;NFIN	V;NFIN;ACT
recordar	husker	recordar	huske	V;NFIN	V;IND;PRS;FIN;ACT
recordar	husk	recordar	husk	V;NFIN	V;IMP
comenzando	begynder	comenzar	begynde	V;V.MSDR	V;IND;PRS;FIN;ACT
comenzando	indleder	comenzar	indlede	V;V.MSDR	V;IND;PRS;FIN;ACT
comenzando	påbegynder	comenzar	påbegynde	V;V.MSDR	V;IND;PRS;FIN;ACT
comenzando	begynder	comenzar	begynde	V;V.MSDR	V;IND;PRS;FIN;ACT
comenzando	startende	comenzar	starte	V;V.MSDR	V;PRS;V.PTCP
comenzando	starter	comenzar	starte	V;V.MSDR	V;IND;PRS;FIN;ACT
paraíso	paradiset	paraíso	paradis	N;MASC;SG	N;DEF;NEUT;SG
paraíso	paradis	paraíso	paradis	N;MASC;SG	N;INDF;NEUT;SG
paraíso	paradise	paraíso	paradis	N;MASC;SG	N;INDF;MASC+FEM;SG
autora	forfatteren	autora	forfatter	N;FEM;SG	N;DEF;MASC+FEM;SG
autora	forfatter	autora	forfatter	N;FEM;SG	N;INDF;MASC+FEM;SG
autora	forslagsstiller	autora	forslagsstiller	N;FEM;SG	N;INDF;MASC+FEM;SG
autora	ophavsmand	autora	ophavsmand	N;FEM;SG	N;INDF;MASC+FEM;SG
testimonio	vidne	testimonio	vidne	N;MASC;SG	N;INDF;NEUT;SG
testimonio	vidneudsagn	testimonio	vidneudsagn	N;MASC;SG	N;INDF;NEUT;SG
testimonio	vidnesbyrd	testimonio	vidnesbyrd	N;MASC;SG	N;INDF;NEUT;SG
testimonio	vidneforklaring	testimonio	vidneforklaring	N;MASC;SG	N;INDF;MASC+FEM;SG
malta	malt	malta	malt	N;FEM;SG	N;INDF;MASC+FEM;SG
malta	maltas	malta	maltas	N;FEM;SG	N;INDF;MASC+FEM;SG
malta	malta	malta	malta	N;FEM;SG	N;INDF;MASC+FEM;SG
aerolíneas	flyselskaber	aerolínea	flyselskab	N;FEM;PL	N;INDF;NEUT;PL
aerolíneas	luftfartsselskaber	aerolínea	luftfartsselskab	N;FEM;PL	N;INDF;NEUT;PL
balonmano	håndbold	balonmano	håndbold	N;MASC;SG	N;INDF;MASC+FEM;SG
bloques	blokeringer	bloque	blokering	N;MASC;PL	N;INDF;MASC+FEM;PL
bloques	klodser	bloque	klods	N;MASC;PL	N;INDF;MASC+FEM;PL
positiva	positivt	positivo	positiv	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
positiva	positiv	positivo	positiv	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
separa	adskiller	separar	adskille	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
turner	turner	turner	turner	N;SG	N;INDF;MASC+FEM;SG
polvo	støv	polvo	støv	N;MASC;SG	N;INDF;NEUT;SG
polvo	krudt	polvo	kryde	N;MASC;SG	N;INDF;NEUT;SG
polvo	pudder	polvo	pudder	N;MASC;SG	N;INDF;MASC+FEM;SG
polvo	pulver	polvo	pulve	N;MASC;SG	N;INDF;MASC+FEM;SG
balón	bal	balón	bal	N;MASC;SG	N;INDF;MASC+FEM;SG
balón	bold	balón	bold	N;MASC;SG	N;INDF;MASC+FEM;SG
balón	kugle	balón	kugle	N;MASC;SG	N;INDF;MASC+FEM;SG
declara	erklærer	declarar	erklære	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
declara	erklærer	declarar	erklære	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
alegría	glæde	alegría	glæde	N;FEM;SG	N;INDF;MASC+FEM;SG
alegría	livsglæde	alegría	livsglæde	N;FEM;SG	N;INDF;MASC+FEM;SG
alegría	hep	alegría	hep	N;FEM;SG	N;INDF;MASC+FEM;SG
luxemburgo	luxemburg	luxemburgo	luxemburg	N;MASC;SG	N;INDF;MASC+FEM;SG
luxemburgo	luxemburg	luxemburgo	luxemburg	N;MASC;SG	N;INDF;MASC+FEM;SG
prusia	preussen	prusia	preuss	N;FEM;SG	N;INDF;MASC+FEM;SG
declaraciones	erklæringer	declaración	erklæring	N;FEM;PL	N;INDF;MASC+FEM;PL
declaraciones	redegørelser	declaración	redegørelse	N;FEM;PL	N;INDF;MASC+FEM;PL
declaraciones	opgørelser	declaración	opgørelse	N;FEM;PL	N;INDF;MASC+FEM;PL
declaraciones	erklæringer	declaración	erklæring	N;FEM;PL	N;INDF;MASC+FEM;PL
declaraciones	udtalelser	declaración	udtalelse	N;FEM;PL	N;INDF;MASC+FEM;PL
reconoció	erkendte	reconocer	erkende	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
reconoció	erkendt	reconocer	erkendt	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
reconoció	anerkendt	reconocer	anerkende	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
cronología	kronologi	cronología	kronologi	N;FEM;SG	N;INDF;MASC+FEM;SG
cronología	tidslinjen	cronología	tidslinje	N;FEM;SG	N;DEF;MASC+FEM;SG
cronología	tidslinje	cronología	tidslinje	N;FEM;SG	N;INDF;MASC+FEM;SG
cría	avl	cría	avl	N;FEM;SG	N;INDF;MASC+FEM;SG
cría	opdræt	cría	opdræte	N;FEM;SG	N;INDF;NEUT;SG
ilustraciones	illustrationer	ilustración	illustration	N;FEM;PL	N;INDF;MASC+FEM;PL
cross	kryds	cross	kryds	N	N;INDF;NEUT;SG
cross	kors	cross	kors	N	N;INDF;NEUT;SG
vital	vital	vital	vital	ADJ;SG	ADJ;INDF;MASC+FEM;SG
