per	for	per	for	ADP	ADP
fine	avslutt	fine	avslutt	N;FEM;SG	N;INDF;MASC;SG
fine	ende	fine	ende	N;FEM;SG	N;INDF;MASC;SG
fine	slutt	fine	slutt	N;FEM;SG	N;INDF;MASC;SG
seguito	skygget	seguito	skygg	N;MASC;SG	N;DEF;NEUT;SG
seguito	følges	seguito	følgje	N;MASC;SG	N;INDF;MASC;SG
aveva	hatt	avere	ha	V;IND;SG;3;IPFV;FIN	V;V.PTCP
album	album	album	album	N;MASC	N;INDF;NEUT;SG
album	albumet	album	album	N;MASC	N;DEF;NEUT;SG
album	album	album	album	N;MASC	N;INDF;NEUT;SG
album	albumene	album	albume	N;MASC	N;DEF;FEM;PL
già	allerede	già	allerede	ADV	ADV
già	allereie	già	allereie	ADV	ADV
ancora	igjen	ancora	igjen	ADV	ADV
ancora	framleis	ancora	framleis	ADV	ADV
ancora	likevel	ancora	likevel	ADV	ADV
senza	utan	senza	utan	ADP	ADP
finale	siste	finale	sist	ADJ;SG	ADJ;DEF;SG
vita	liv	vita	liv	N;FEM;SG	N;INDF;NEUT;SG
vita	livet	vita	liv	N;FEM;SG	N;DEF;NEUT;SG
vita	life	vita	life	N;FEM;SG	N;INDF;MASC;SG
vita	vita	vita	vite	N;FEM;SG	N;INDF;MASC;SG
vita	midje	vita	midje	N;FEM;SG	N;INDF;MASC;SG
vita	midjen	vita	midje	N;FEM;SG	N;INDF;MASC;SG
titolo	tittel	titolo	tittel	N;MASC;SG	N;INDF;MASC;SG
shift	skift	shift	skift	N	N;INDF;NEUT;SG
shift	skiftet	shift	skift	N	N;DEF;NEUT;SG
campionato	mesterskap	campionato	mesterskap	N;MASC;SG	N;INDF;NEUT;SG
campionato	championship	campionato	championship	N;MASC;SG	N;INDF;MASC;SG
mondo	mondo	mondo	mondo	N;MASC;SG	N;INDF;MASC;SG
mondo	verdens	mondo	verd	N;MASC;SG	N;GEN;DEF;MASC;SG
mondo	world	mondo	world	N;MASC;SG	N
settembre	september	settembre	september	N;MASC;SG	N;INDF;MASC;SG
nazionale	nasjonal	nazionale	nasjonal	ADJ;SG	ADJ;INDF;SG
nazionale	nasjonalt	nazionale	nasjonal	ADJ;SG	ADJ;INDF;NEUT;SG
circa	omtrent	circa	omtrent	ADV	ADV
sotto	under	sotto	under	ADP	ADP
sotto	under	sotto	under	ADP	ADP
wikipedia	wikipedia	wikipedia	wikipedia	N;FEM;SG	N;DEF;NEUT;SG
calcio	fotball	calcio	fotball	N;MASC;SG	N;INDF;MASC;SG
calcio	kalsium	calcio	kalsium	N;MASC;SG	N;INDF;NEUT;SG
famiglia	familien	famiglia	familie	N;FEM;SG	N;DEF;MASC;SG
famiglia	familie	famiglia	familie	N;FEM;SG	N;INDF;MASC;SG
famiglia	slekt	famiglia	slekkje	N;FEM;SG	N;INDF;FEM;SG
inoltre	òg	inoltre	òg	ADV	ADV
inoltre	også	inoltre	også	ADV	ADV
numero	tall	numero	tall	N;MASC;SG	N;INDF;NEUT;SG
numero	nummer	numero	nummer	N;MASC;SG	N;INDF;NEUT;SG
numero	number	numero	number	N;MASC;SG	N
numero	antall	numero	antall	N;MASC;SG	N;INDF;NEUT;SG
posto	spisested	posto	spisested	N;MASC;SG	N;INDF;MASC;SG
posto	place	posto	place	N;MASC;SG	N
ottobre	oktober	ottobre	oktober	N;MASC;SG	N;INDF;MASC;SG
ottobre	october	ottobre	october	N;MASC;SG	N
maggio	mai	maggio	mai	N;MASC;SG	N;INDF;MASC;SG
maggio	may	maggio	may	N;MASC;SG	N;INDF;MASC;SG
ruolo	rolle	ruolo	rolle	N;MASC;SG	N;INDF;FEM;SG
gennaio	januar	gennaio	januar	N;MASC;SG	N;INDF;MASC;SG
modo	veg	modo	veg	N;MASC;SG	N;INDF;MASC;SG
modo	måte	modo	måte	N;MASC;SG	N;INDF;MASC;SG
modo	way	modo	way	N;MASC;SG	N
nuovo	ny	nuovo	ny	ADJ;MASC;SG	ADJ;INDF;SG
nuovo	nytt	nuovo	ny	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
perché	kvifor	perché	kvifor	ADV	ADV
casa	house	casa	house	N;FEM;SG	N;INDF;MASC;SG
casa	huset	casa	hus	N;FEM;SG	N;DEF;NEUT;SG
casa	hus	casa	hus	N;FEM;SG	N;INDF;NEUT;SG
casa	hjem	casa	hjem	N;FEM;SG	N;INDF;NEUT;SG
casa	hjemmet	casa	hjem	N;FEM;SG	N;DEF;NEUT;SG
casa	home	casa	home	N;FEM;SG	N;INDF;NEUT;SG
generale	generell	generale	generell	ADJ;SG	ADJ;INDF;SG
generale	generelt	generale	generell	ADJ;SG	ADJ;INDF;NEUT;SG
marzo	marsjer	marzo	marsje	N;MASC;SG	N;INDF;MASC;SG
marzo	march	marzo	march	N;MASC;SG	N
marzo	marsj	marzo	marsj	N;MASC;SG	N;INDF;MASC;SG
marzo	mars	marzo	mars	N;MASC;SG	N;INDF;MASC;SG
squadra	avdeling	squadra	avdeling	N;FEM;SG	N;INDF;FEM;SG
squadra	squad	squadra	squad	N;FEM;SG	N;INDF;MASC;SG
squadra	troppen	squadra	tropp	N;FEM;SG	N;DEF;MASC;SG
squadra	lag	squadra	lag	N;FEM;SG	N;INDF;NEUT;SG
squadra	laget	squadra	lag	N;FEM;SG	N;DEF;NEUT;SG
squadra	team	squadra	team	N;FEM;SG	N;INDF;NEUT;SG
dicembre	desember	dicembre	desember	N;MASC;SG	N;INDF;MASC;SG
caso	case	caso	case	N;MASC;SG	N
caso	sak	caso	sak	N;MASC;SG	N;INDF;FEM;SG
caso	kasus	caso	kasus	N;MASC;SG	N;INDF;NEUT;SG
caso	saken	caso	sak	N;MASC;SG	N;DEF;MASC;SG
giugno	juni	giugno	juni	N;MASC;SG	N;INDF;MASC;SG
giugno	june	giugno	june	N;MASC;SG	N;INDF;MASC;SG
agosto	august	agosto	august	N;MASC;SG	N;INDF;MASC;SG
agosto	aug	agosto	aug	N;MASC;SG	N
luglio	juli	luglio	juli	N;MASC;SG	N;INDF;MASC;SG
luglio	july	luglio	july	N;MASC;SG	N
politico	politisk	politico	politisk	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
opera	opera	opera	opera	N;FEM;SG	N;INDF;MASC;SG
opera	operaen	opera	opera	N;FEM;SG	N;DEF;MASC;SG
opera	opus	opera	opus	N;FEM;SG	N;INDF;MASC;SG
fra	mellom	fra	mellom	ADP	ADP
aprile	april	aprile	april	N;MASC;SG	N;INDF;MASC;SG
pagina	sida	pagina	side	N;FEM;SG	N;DEF;FEM;SG
pagina	side	pagina	side	N;FEM;SG	N;INDF;FEM;SG
pagina	page	pagina	page	N;FEM;SG	N;INDF;MASC;SG
periodo	punktum	periodo	punktum	N;MASC;SG	N;INDF;NEUT;SG
periodo	perioden	periodo	periode	N;MASC;SG	N;DEF;MASC;SG
periodo	periode	periodo	periode	N;MASC;SG	N;INDF;MASC;SG
novembre	november	novembre	november	N;MASC;SG	N;INDF;MASC;SG
giovanni	giovanni	giovanne	giovanni	N;MASC;SG	N;INDF;MASC;SG
giovanni	john	giovanne	john	N;MASC;SG	N;INDF;MASC;SG
grazie	takk	grazie	takk	N	N;INDF;FEM;SG
morte	døden	morte	død	N;FEM;SG	N;DEF;MASC;SG
morte	død	morte	død	N;FEM;SG	N;INDF;MASC;SG
morte	death	morte	death	N;FEM;SG	N
morte	dødsstraff	morte	dødsstraff	N;FEM;SG	N;INDF;FEM;SG
maria	marie	maria	marie	N;FEM;SG	N;INDF;FEM;SG
maria	mary	maria	mary	N;FEM;SG	N;INDF;FEM;SG
maria	maria	maria	maria	N;FEM;SG	N;INDF;FEM;SG
nuova	ny	nuovo	ny	ADJ;FEM;SG	ADJ;INDF;SG
nuova	nytt	nuovo	ny	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
febbraio	februar	febbraio	februar	N;MASC;SG	N;INDF;MASC;SG
febbraio	feb	febbraio	feb	N;MASC;SG	N
john	john	john	john	N;SG	N;INDF;MASC;SG
centro	sentrum	centro	sentrum	N;MASC;SG	N;INDF;NEUT;SG
centro	center	centro	cente	N;MASC;SG	N;INDF;NEUT;SG
centro	senter	centro	senter	N;MASC;SG	N;INDF;NEUT;SG
centro	senter	centro	senter	N;MASC;SG	N;INDF;NEUT;SG
centro	centre	centro	cente	N;MASC;SG	N;INDF;MASC;SG
inglese	engelsk	inglese	engelsk	N;SG	N;INDF;MASC;SG
quattro	fire	quattro	fire	NUM	NUM;PL
interno	intern	interno	intern	ADJ;MASC;SG	ADJ;INDF;SG
interno	internt	interno	intern	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
interno	indre	interno	indre	ADJ;MASC;SG	ADJ;CMPR
attività	aktivitetene	attività	aktivitet	N;FEM	N;DEF;FEM;PL
attività	aktiviteter	attività	aktiviteter	N;FEM	N;INDF;MASC;PL
attività	aktivitet	attività	aktivitet	N;FEM	N;INDF;MASC;SG
edizione	edition	edizione	edition	N;FEM;SG	N;INDF;MASC;SG
edizione	utgaven	edizione	utgav	N;FEM;SG	N;DEF;MASC;SG
edizione	utgave	edizione	utgave	N;FEM;SG	N;INDF;MASC;SG
qui	her	qui	her	ADV	ADV
diretto	regissert	diretto	regissere	ADJ;MASC;SG	ADJ;INDF;SG;V.PTCP
diretto	direkte	diretto	direkte	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
esempio	eksempel	esempio	eksempel	N;MASC;SG	N;INDF;NEUT;SG
ultimo	siste	ultimo	sist	ADJ;MASC;SG	ADJ;DEF;SG
sfondo	bakgrunnen	sfondo	bakgrunn	N;MASC;SG	N;DEF;MASC;SG
sfondo	bakgrunn	sfondo	bakgrunn	N;MASC;SG	N;INDF;MASC;SG
versione	versjonen	versione	versjon	N;FEM;SG	N;DEF;MASC;SG
versione	versjon	versione	versjon	N;FEM;SG	N;INDF;MASC;SG
provincia	provins	provincia	provins	N;FEM;SG	N;INDF;MASC;SG
provincia	provinser	provincia	provinser	N;FEM;SG	N;INDF;MASC;SG
provincia	provinsen	provincia	provins	N;FEM;SG	N;DEF;MASC;SG
attore	aktør	attore	aktør	N;MASC;SG	N;INDF;MASC;SG
attore	skuespiller	attore	skuespille	N;MASC;SG	N;INDF;MASC;SG
coppa	coppa	coppa	coppe	N;FEM;SG	N;DEF;NEUT;SG
coppa	cupen	coppa	cup	N;FEM;SG	N;DEF;MASC;SG
coppa	kopp	coppa	kopp	N;FEM;SG	N;INDF;MASC;SG
coppa	beger	coppa	bege	N;FEM;SG	N;INDF;NEUT;SG
coppa	cup	coppa	cup	N;FEM;SG	N;INDF;NEUT;SG
forma	formen	forma	form	N;FEM;SG	N;DEF;MASC;SG
forma	shape	forma	shape	N;FEM;SG	N
forma	form	forma	form	N;FEM;SG	N;INDF;FEM;SG
forma	fasong	forma	fasong	N;FEM;SG	N;INDF;MASC;SG
forma	skjemaet	forma	skjema	N;FEM;SG	N;DEF;NEUT;SG
forma	skjema	forma	skjeme	N;FEM;SG	N;INDF;NEUT;SG
codice	codex	codice	codex	N;MASC;SG	N;INDF;MASC;SG
codice	kode	codice	kode	N;MASC;SG	N;INDF;MASC;SG
codice	koden	codice	kode	N;MASC;SG	N;DEF;MASC;SG
base	base	base	base	N;FEM;SG	N;INDF;MASC;SG
base	basen	base	base	N;FEM;SG	N;DEF;MASC;SG
base	grunnlag	base	grunnlag	N;FEM;SG	N;INDF;NEUT;SG
base	basis	base	basis	N;FEM;SG	N;INDF;MASC;SG
trova	finn	trovare	finne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
punto	punto	punto	punto	N;MASC;SG	N;INDF;MASC;SG
punto	poeng	punto	poeng	N;MASC;SG	N;INDF;NEUT;SG
punto	punkt	punto	punkt	N;MASC;SG	N;INDF;NEUT;SG
punto	point	punto	poin	N;MASC;SG	N;INDF;MASC;SG
figlio	sønn	figlio	sønn	N;MASC;SG	N;INDF;MASC;SG
figlio	son	figlio	son	N;MASC;SG	N;INDF;MASC;SG
corso	kurs	corso	kurs	N;MASC;SG	N;INDF;MASC;SG
corso	løype	corso	løype	N;MASC;SG	N;INDF;FEM;SG
corso	corso	corso	corso	N;MASC;SG	N
allenatore	coach	allenatore	coach	N;MASC;SG	N
sistema	systemet	sistema	system	N;MASC;SG	N;DEF;NEUT;SG
sistema	system	sistema	system	N;MASC;SG	N;INDF;NEUT;SG
società	society	società	society	N;FEM	N;INDF;NEUT;SG
società	samfunnet	società	samfunn	N;FEM	N;DEF;NEUT;SG
società	samfunn	società	samfunn	N;FEM	N;INDF;NEUT;SG
società	firma	società	firme	N;FEM	N;INDF;NEUT;SG
società	selskap	società	selskap	N;FEM	N;INDF;NEUT;SG
società	kompani	società	kompani	N;FEM	N;INDF;NEUT;SG
società	bedrift	società	bedrift	N;FEM	N;INDF;FEM;SG
club	club	club	club	N;MASC	N;INDF;MASC;SG
club	klubb	club	klubb	N;MASC	N;INDF;MASC;SG
regione	region	regione	region	N;FEM;SG	N;INDF;MASC;SG
sud	sud	sud	sud	N;MASC;SG	N
sud	southern	sud	southern	N;MASC;SG	N;INDF;NEUT;SG
sud	syd	sud	syd	N;MASC;SG	N;INDF;MASC;SG
sud	syden	sud	syde	N;MASC;SG	N;DEF;MASC;SG
discussione	diskusjon	discussione	diskusjon	N;FEM;SG	N;INDF;MASC;SG
discussione	debatt	discussione	debatt	N;FEM;SG	N;INDF;MASC;SG
padre	far	padre	far	N;MASC;SG	N;INDF;MASC;SG
padre	fader	padre	fad	N;MASC;SG	N;INDF;FEM;SG
padre	father	padre	father	N;MASC;SG	N;INDF;MASC;SG
padre	pater	padre	pater	N;MASC;SG	N;INDF;MASC;SG
padre	padre	padre	parre	N;MASC;SG	N;INDF;MASC;SG
linea	strek	linea	strek	N;FEM;SG	N;INDF;MASC;SG
linea	linje	linea	linje	N;FEM;SG	N;INDF;FEM;SG
linea	line	linea	line	N;FEM;SG	N;INDF;FEM;SG
linea	linea	linea	line	N;FEM;SG	N;DEF;FEM;SG
santa	helgen	santo	helg	N;FEM;SG	N;INDF;MASC;SG
santa	saint	santo	sain	N;FEM;SG	N;INDF;NEUT;SG
santa	julenissen	santo	juleniss	N;FEM;SG	N;DEF;MASC;SG
santa	nissen	santo	niss	N;FEM;SG	N;DEF;MASC;SG
santa	santa	santo	sante	N;FEM;SG	N;DEF;FEM;SG
santa	nisse	santo	nisse	N;FEM;SG	N;INDF;MASC;SG
pubblicato	publiserte	pubblicare	publisere	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN
pubblicato	publiserte	pubblicare	publisere	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN
carlo	charles	carlo	charlas	N;MASC;SG	N;INDF;MASC;SG
carlo	karl	carlo	karl	N;MASC;SG	N;MASC
carlo	carl	carlo	carl	N;MASC;SG	N;INDF;MASC;SG
carlo	carlo	carlo	carlo	N;MASC;SG	N;INDF;MASC;SG
carlo	karl	carlo	karl	N;MASC;SG	N;MASC
progetto	project	progetto	project	N;MASC;SG	N;INDF;NEUT;SG
progetto	prosjekt	progetto	prosjekt	N;MASC;SG	N;INDF;NEUT;SG
mai	aldri	mai	aldri	ADV	ADV
sito	nettsted	sito	nettsted	N;MASC;SG	N;INDF;NEUT;SG
sito	nettstedet	sito	nettsted	N;MASC;SG	N;DEF;NEUT;SG
sito	site	sito	sitje	N;MASC;SG	N;INDF;MASC;SG
lungo	lenge	lungo	lenge	ADJ;MASC;SG	ADJ
lungo	lang	lungo	lang	ADJ;MASC;SG	ADJ;INDF;SG
uso	bruken	uso	bruk	N;MASC;SG	N;DEF;MASC;SG
uso	bruk	uso	bruk	N;MASC;SG	N;INDF;MASC;SG
uso	bruken	uso	bruk	N;MASC;SG	N;DEF;MASC;SG
lavoro	jobben	lavoro	jobb	N;MASC;SG	N;DEF;MASC;SG
lavoro	job	lavoro	job	N;MASC;SG	N;INDF;SG
lavoro	jobb	lavoro	jobb	N;MASC;SG	N;INDF;MASC;SG
lavoro	arbeid	lavoro	arbeid	N;MASC;SG	N;INDF;NEUT;SG
lavoro	jobb	lavoro	jobb	N;MASC;SG	N;INDF;MASC;SG
giorno	dag	giorno	dag	N;MASC;SG	N;INDF;MASC;SG
giorno	dagen	giorno	dag	N;MASC;SG	N;DEF;MASC;SG
giorno	day	giorno	day	N;MASC;SG	N;INDF;SG
regno	kingdom	regno	kingdom	N;MASC;SG	N;INDF;MASC;SG
regno	kongedømme	regno	kongedømme	N;MASC;SG	N;INDF;NEUT;SG
regno	regjeringstid	regno	regjeringstid	N;MASC;SG	N;INDF;FEM;SG
specie	art	specie	art	N;FEM	N;INDF;MASC;SG
specie	arter	specie	arter	N;FEM	N;INDF;FEM;PL
persone	personer	persona	person	N;FEM;PL	N;INDF;FEM;PL
persone	personer	persona	person	N;FEM;PL	N;INDF;FEM;PL
persone	personar	persona	person	N;FEM;PL	N;INDF;MASC;PL
persone	folk	persona	folk	N;FEM;PL	N;INDF;NEUT;PL
pagine	sidene	pagina	side	N;FEM;PL	N;DEF;FEM;PL
pagine	sider	pagina	side	N;FEM;PL	N;INDF;FEM;PL
volte	tidspunkter	volta	tidspunkt	N;FEM;PL	N;INDF;FEM;PL
volte	tider	volta	tid	N;FEM;PL	N;INDF;FEM;PL
volte	tidene	volta	tid	N;FEM;PL	N;DEF;FEM;PL
volte	ganger	volta	gange	N;FEM;PL	N;INDF;MASC;PL
set	angitt	set	angitt	N;MASC	N;INDF;MASC;SG
inizio	start	inizio	start	N;MASC;SG	N;INDF;MASC;SG
inizio	begynn	inizio	begynn	N;MASC;SG	N;INDF;MASC;SG
inizio	begynnelsen	inizio	begynnels	N;MASC;SG	N;DEF;MASC;SG
inizio	begynnelse	inizio	begynnelse	N;MASC;SG	N;INDF;MASC;SG
jpg	jpg	jpg	jpg	N	N;INDF;MASC;SG
episodio	episode	episodio	episode	N;MASC;SG	N;INDF;MASC;SG
posizione	stilling	posizione	stilling	N;FEM;SG	N;INDF;FEM;SG
posizione	posisjon	posizione	posisjon	N;FEM;SG	N;INDF;MASC;SG
genere	sjanger	genere	sjanger	N;MASC;SG	N;INDF;MASC;SG
genere	kjønn	genere	kjønn	N;MASC;SG	N;INDF;NEUT;SG
presidente	president	presidente	president	N;MASC;SG	N;INDF;MASC;SG
presidente	presidenten	presidente	president	N;MASC;SG	N;DEF;MASC;SG
presidente	formann	presidente	formann	N;MASC;SG	N;INDF;MASC;SG
presidente	styreleder	presidente	styrelede	N;MASC;SG	N;INDF;MASC;SG
militare	militær	militare	militær	ADJ;SG	ADJ;INDF;SG
uomo	mannfolk	uomo	mannfolk	N;MASC;SG	N;INDF;NEUT;SG
uomo	mannen	uomo	mann	N;MASC;SG	N;DEF;MASC;SG
uomo	mann	uomo	mann	N;MASC;SG	N;INDF;MASC;SG
comunque	uansett	comunque	uansett	ADV	ADV
campo	field	campo	field	N;MASC;SG	N;INDF;NEUT;SG
campo	feltet	campo	felt	N;MASC;SG	N;DEF;NEUT;SG
campo	felt	campo	felt	N;MASC;SG	N;INDF;NEUT;SG
campo	jorde	campo	jorde	N;MASC;SG	N;INDF;NEUT;SG
campo	campo	campo	campo	N;MASC;SG	N;INDF;MASC;SG
giorni	dager	giorno	dag	N;MASC;PL	N;INDF;FEM;PL
giorni	dagene	giorno	dag	N;MASC;PL	N;DEF;FEM;PL
carriera	karriere	carriera	karriere	N;FEM;SG	N;INDF;FEM;SG
carriera	karrieren	carriera	karriere	N;FEM;SG	N;DEF;MASC;SG
carriera	karriere	carriera	karriere	N;FEM;SG	N;INDF;FEM;SG
mar	mar	mare	mar	N;MASC;SG	N;INDF;MASC;SG
mar	tue	mare	tue	N;MASC;SG	N;INDF;MASC;SG
scritto	skreiv	scrivere	skrive	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN
ora	nå	ora	nå	ADV	ADV
territorio	territoriet	territorio	territorium	N;MASC;SG	N;DEF;NEUT;SG
territorio	territorium	territorio	territorium	N;MASC;SG	N;INDF;NEUT;SG
antonio	anthony	antonio	anthony	N;MASC;SG	N;INDF;MASC;SG
antonio	antony	antonio	antony	N;MASC;SG	N;INDF;MASC;SG
antonio	antonius	antonio	antonius	N;MASC;SG	N;INDF;MASC;SG
antonio	antonio	antonio	antonio	N;MASC;SG	N;INDF;MASC;SG
giuseppe	joseph	giuseppo	joseph	N;MASC;SG	N;INDF;NEUT;SG
giuseppe	josef	giuseppo	josef	N;MASC;SG	N;INDF;MASC;SG
giuseppe	giuseppe	giuseppo	giuseppe	N;MASC;SG	N;INDF;MASC;SG
quasi	nesten	quasi	nesten	ADV	ADV
quasi	nesten	quasi	nesten	ADV	ADV
terra	jorden	terra	jord	N;FEM;SG	N;DEF;MASC;SG
terra	jorda	terra	jord	N;FEM;SG	N;DEF;FEM;SG
terra	jord	terra	jord	N;FEM;SG	N;INDF;FEM;SG
terra	earth	terra	earth	N;FEM;SG	N
terra	land	terra	land	N;FEM;SG	N;INDF;NEUT;SG
