van	od	van	od	ADP	ADP
nieuwe	nowy	nieuw	nowy	ADJ	ADJ;NOM;MASC;SG
zij	ona	zij	on	PRO;NOM;3	PRO;NOM;FEM;SG;3
zij	oni	zij	on	PRO;NOM;3	PRO;NOM;MASC;PL;3
jaren	lat	jaar	rok	N;PL	N;GEN;MASC;PL
jaren	lata	jaar	rok	N;PL	N;NOM;MASC;PL
artikel	artykułu	artikel	artykuł	N;NEUT;SG	N;GEN;MASC;SG
artikel	artykul	artikel	artykul	N;NEUT;SG	N;ACC;MASC;SG
artikel	artykuł	artikel	artykuł	N;NEUT;SG	N;NOM;MASC;SG
gebied	strefie	gebied	strefa	N;NEUT;SG	N;DAT;FEM;SG
gebied	obszar	gebied	obszar	N;NEUT;SG	N;NOM;MASC;SG
gebied	strefa	gebied	strefa	N;NEUT;SG	N;NOM;FEM;SG
gebied	teren	gebied	teren	N;NEUT;SG	N;NOM;MASC;SG
gebied	powierzchnia	gebied	powierzchnia	N;NEUT;SG	N;NOM;FEM;SG
gebied	obszarze	gebied	obszarz	N;NEUT;SG	N;ACC;MASC;SG
gebied	obszar	gebied	obszar	N;NEUT;SG	N;NOM;MASC;SG
hem	go	hem	on	PRO;ACC;3	PRO;ACC;MASC;SG;3
nederlandse	holenderskie	nederlands	holenderski	ADJ	ADJ;NOM;NEUT;SG
nederlandse	holenderski	nederlands	holenderski	ADJ	ADJ;NOM;MASC;SG
alle	wszystkie	al	wszystek	DET	DET;NOM;MASC;PL
stad	miasta	stad	miasto	N;MASC+FEM;SG	N;GEN;NEUT;SG
stad	miejscowość	stad	miejscowość	N;MASC+FEM;SG	N;NOM;FEM;SG
stad	miasto	stad	miasto	N;MASC+FEM;SG	N;NOM;NEUT;SG
stad	miejscowość	stad	miejscowość	N;MASC+FEM;SG	N;NOM;FEM;SG
stad	miasta	stad	miasto	N;MASC+FEM;SG	N;GEN;NEUT;SG
stad	miasto	stad	miasto	N;MASC+FEM;SG	N;NOM;NEUT;SG
lijst	wykaz	lijst	wykaz	N;MASC+FEM;SG	N;NOM;MASC;SG
lijst	lista	lijst	list	N;MASC+FEM;SG	N;NOM;FEM;SG
lijst	spis	lijst	spis	N;MASC+FEM;SG	N;NOM;MASC;SG
lijst	listę	lijst	lista	N;MASC+FEM;SG	N;ACC;FEM;SG
hier	tutaj	hier	tutaj	ADV	ADV
omdat	bo	omdat	bo	CONJ	CONJ
links	lewy	links	lewy	ADJ	ADJ;NOM;MASC;SG
nederland	holandii	nederland	holandia	N;NEUT;SG	N;GEN;FEM;SG
nederland	holandia	nederland	holandia	N;NEUT;SG	N;NOM;FEM;SG
tijd	czasu	tijd	czas	N;MASC+FEM;SG	N;GEN;MASC;SG
tijd	czas	tijd	czas	N;MASC+FEM;SG	N;NOM;MASC;SG
daar	tam	daar	tam	ADV	ADV
drie	trzy	drie	trzy	NUM	NUM;ACC;MASC;PL
vanaf	od	vanaf	od	ADP	ADP
kwam	przyszedł	komen	przyjść	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
kwam	przyszło	komen	przyjść	V;SG;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN;ACT
provincie	województwo	provincie	województwo	N;MASC+FEM;SG	N;NOM;NEUT;SG
provincie	prowincji	provincie	prowincja	N;MASC+FEM;SG	N;GEN;FEM;SG
provincie	prowincja	provincie	prowincja	N;MASC+FEM;SG	N;NOM;FEM;SG
link	odnośnik	link	odnośnik	N;MASC+FEM;SG	N;ACC;MASC;SG
alleen	samotnie	alleen	samotnie	ADV	ADV
nederlands	holenderskie	nederland	holenderski	ADJ	ADJ;NOM;NEUT;SG
nederlands	holenderski	nederland	holenderski	ADJ	ADJ;NOM;MASC;SG
eeuw	wieku	eeuw	wiek	N;MASC+FEM;SG	N;GEN;MASC;SG
eeuw	wiek	eeuw	wiek	N;MASC+FEM;SG	N;NOM;MASC;SG
vlinder	motyl	vlinder	motyl	N;MASC+FEM;SG	N;NOM;MASC;SG
keversoort	żuk	keversoort	żuk	N;MASC+FEM;SG	N;NOM;MASC;SG
bekend	znane	bekend	znać	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
club	klub	club	klub	N;MASC+FEM;SG	N;NOM;MASC;SG
club	klubie	club	klub	N;MASC+FEM;SG	N;DAT;MASC;SG
samen	razem	samen	razem	ADV	ADV
samen	wspólnie	samen	wspólnie	ADV	ADV
maakt	czyni	maken	czynić	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
maken	tworzy	maken	tworzyć	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
maken	stwórz	maken	stwórz	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
maken	tworzyć	maken	tworzyć	V;NFIN	V;IPFV;NFIN;ACT
maken	utwórz	maken	utwórzyć	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
amerikaanse	amerykańska	amerikaans	amerykański	ADJ	ADJ;NOM;FEM;SG
amerikaanse	amerykański	amerikaans	amerykański	ADJ	ADJ;NOM;MASC;SG
amerikaanse	amerykańskie	amerikaans	amerykański	ADJ	ADJ;NOM;NEUT;SG
verder	dalszy	verder	daleki	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
verder	dalsze	verder	daleki	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
verschillende	inna	verschillend	inny	ADJ	ADJ;NOM;FEM;SG
verschillende	różne	verschillend	różny	ADJ	ADJ;NOM;NEUT;SG
verschillende	inny	verschillend	inny	ADJ	ADJ;NOM;MASC;SG
verschillende	różnych	verschillend	różny	ADJ	ADJ;GEN;MASC;PL
verschillende	różnych	verschillend	różny	ADJ	ADJ;GEN;MASC;PL
verschillende	różne	verschillend	różny	ADJ	ADJ;NOM;NEUT;SG
bestaat	istnieje	bestaan	istnieć	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
seizoen	sezonie	seizoen	sezon	N;NEUT;SG	N;INS;MASC;SG
seizoen	sezon	seizoen	sezon	N;NEUT;SG	N;NOM;MASC;SG
eigen	własne	eigen	własny	ADJ	ADJ;NOM;NEUT;SG
eigen	własny	eigen	własny	ADJ	ADJ;NOM;MASC;SG
eigen	własna	eigen	własny	ADJ	ADJ;NOM;FEM;SG
gaat	idzie	gaan	iść	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
insect	robak	insect	robak	N;NEUT;SG	N;NOM;MASC;SG
film	filmu	film	film	N;MASC+FEM;SG	N;GEN;MASC;SG
film	film	film	film	N;MASC+FEM;SG	N;ACC;MASC;SG
film	folia	film	folia	N;MASC+FEM;SG	N;NOM;FEM;SG
film	film	film	film	N;MASC+FEM;SG	N;ACC;MASC;SG
franse	francuski	frans	francuski	ADJ	ADJ;NOM;MASC;SG
franse	francuska	frans	francuski	ADJ	ADJ;NOM;FEM;SG
franse	francuskie	frans	francuski	ADJ	ADJ;NOM;NEUT;SG
land	ojczyzna	land	ojczyzna	N;NEUT;SG	N;NOM;FEM;SG
land	kraju	land	kraj	N;NEUT;SG	N;GEN;MASC;SG
land	kraj	land	kraj	N;NEUT;SG	N;NOM;MASC;SG
land	państwo	land	państwo	N;NEUT;SG	N;NOM;NEUT;SG
land	kraina	land	kraina	N;NEUT;SG	N;NOM;FEM;SG
land	ląd	land	ląd	N;NEUT;SG	N;NOM;MASC;SG
land	ziemia	land	ziemia	N;NEUT;SG	N;NOM;FEM;SG
ging	poszedł	gaan	pójść	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
ging	poszło	gaan	pójść	V;SG;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN;ACT
werk	pracy	werk	praca	N;NEUT;SG	N;GEN;FEM;SG
werk	praca	werk	praca	N;NEUT;SG	N;NOM;FEM;SG
duitse	niemiecka	duits	niemiecki	ADJ	ADJ;NOM;FEM;SG
duitse	niemieckim	duits	niemiecki	ADJ	ADJ;INS;MASC;SG
duitse	niemieckie	duits	niemiecki	ADJ	ADJ;NOM;NEUT;SG
duitse	niemiecki	duits	niemiecki	ADJ	ADJ;NOM;MASC;SG
bestand	plik	bestand	plik	N;NEUT;SG	N;ACC;MASC;SG
bestand	pliku	bestand	plik	N;NEUT;SG	N;GEN;MASC;SG
mensen	ludzie	mens	człowiek	N;PL	N;NOM;MASC;PL
mensen	ludzi	mens	człowiek	N;PL	N;ACC;MASC;PL
mensen	osoby	mens	osoba	N;PL	N;NOM;FEM;PL
mensen	ludzie	mens	człowiek	N;PL	N;NOM;MASC;PL
vaak	wspólnej	vaak	wspólny	ADJ	ADJ;GEN;FEM;SG
vaak	wspólny	vaak	wspólny	ADJ	ADJ;NOM;MASC;SG
vaak	wspólne	vaak	wspólny	ADJ	ADJ;NOM;NEUT;SG
orde	porządek	orde	porządek	N;MASC+FEM;SG	N;NOM;MASC;SG
orde	zamówienie	orde	zamówienie	N;MASC+FEM;SG	N;NOM;NEUT;SG
orde	kolejność	orde	kolejność	N;MASC+FEM;SG	N;NOM;FEM;SG
groot	duża	groot	duży	ADJ	ADJ;NOM;FEM;SG
groot	duży	groot	duży	ADJ	ADJ;NOM;MASC;SG
groot	dużych	groot	duży	ADJ	ADJ;GEN;MASC;PL
groot	duże	groot	duży	ADJ	ADJ;NOM;NEUT;SG
groot	duża	groot	duży	ADJ	ADJ;NOM;FEM;SG
groot	duże	groot	duży	ADJ	ADJ;NOM;NEUT;SG
groot	wielka	groot	wielki	ADJ	ADJ;NOM;FEM;SG
groot	duży	groot	duży	ADJ	ADJ;NOM;MASC;SG
groot	wielki	groot	wielki	ADJ	ADJ;NOM;MASC;SG
groot	świetne	groot	świetny	ADJ	ADJ;NOM;NEUT;SG
vooral	szczególnie	vooral	szczególnie	ADV	ADV
vooral	najczęściej	vooral	często	ADV	ADV;RL
marine	marynarka	marine	marynarka	N;MASC+FEM;SG	N;NOM;FEM;SG
marine	marynarki	marine	marynarka	N;MASC+FEM;SG	N;GEN;FEM;SG
kerk	kościoła	kerk	kościół	N;MASC+FEM;SG	N;GEN;MASC;SG
kerk	kościół	kerk	kościół	N;MASC+FEM;SG	N;NOM;MASC;SG
regio	region	regio	region	N;MASC+FEM;SG	N;NOM;MASC;SG
regio	regionie	regio	region	N;MASC+FEM;SG	N;ACC;MASC;SG
regio	regionu	regio	regić	N;MASC+FEM;SG	N;GEN;MASC;SG
oppervlakte	teren	oppervlakte	teren	N;MASC+FEM;SG	N;NOM;MASC;SG
oppervlakte	powierzchnia	oppervlakte	powierzchnia	N;MASC+FEM;SG	N;NOM;FEM;SG
oppervlakte	obszarze	oppervlakte	obszarz	N;MASC+FEM;SG	N;ACC;MASC;SG
oppervlakte	obszar	oppervlakte	obszar	N;MASC+FEM;SG	N;NOM;MASC;SG
genoemd	wspomniano	noemen	wspomnieć	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
genoemd	wspomniał	noemen	wspomnieć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
genoemd	dzwonił	noemen	dzwonić	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
komen	przyjdzie	komen	przyjść	V;NFIN	V;PFV;IND;SG;3;FUT;FIN;ACT
speelde	grało	spelen	grać	V;SG;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
speelde	grał	spelen	grać	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
dorp	wiosce	dorp	wioska	N;NEUT;SG	N;DAT;FEM;SG
dorp	wioska	dorp	wioska	N;NEUT;SG	N;NOM;FEM;SG
dorp	village	dorp	village	N;NEUT;SG	N;NOM;MASC;SG
dorp	wioski	dorp	wioska	N;NEUT;SG	N;ACC;FEM;SG
dorp	wieś	dorp	wieś	N;NEUT;SG	N;NOM;FEM;SG
plaatsen	lokale	plaats	lokał	N;PL	N;NOM;MASC;PL
plaatsen	miejsca	plaats	miejsce	N;PL	N;NOM;NEUT;PL
plaatsen	miejsc	plaats	miejsce	N;PL	N;GEN;NEUT;PL
leven	życia	leven	życie	N;NEUT;SG	N;GEN;NEUT;SG
leven	dożywocie	leven	dożywocie	N;NEUT;SG	N;NOM;NEUT;SG
leven	życie	leven	życie	N;NEUT;SG	N;NOM;NEUT;SG
register	rejestru	register	rejester	N;NEUT;SG	N;GEN;MASC;SG
register	rejestr	register	rejestr	N;NEUT;SG	N;NOM;MASC;SG
register	rejestru	register	rejester	N;NEUT;SG	N;GEN;MASC;SG
register	rejestr	register	rejestr	N;NEUT;SG	N;NOM;MASC;SG
meter	metry	meter	metr	N;MASC+FEM;SG	N;ACC;MASC;SG
meter	metry	meter	metr	N;MASC+FEM;SG	N;ACC;MASC;SG
meter	licznik	meter	licznik	N;MASC+FEM;SG	N;NOM;MASC;SG
meter	miernik	meter	miernik	N;MASC+FEM;SG	N;NOM;MASC;SG
vier	czterech	vier	cztery	NUM	NUM;ACC;MASC;PL
vier	cztery	vier	cztery	NUM	NUM;ACC;MASC;PL
zeer	bardzo	zeer	bardzo	ADV	ADV
top	szczyt	top	szczyt	N;MASC+FEM;SG	N;NOM;MASC;SG
top	szczycie	top	szczyt	N;MASC+FEM;SG	N;ACC;MASC;SG
top	szczytu	top	szczyt	N;MASC+FEM;SG	N;GEN;MASC;SG
top	szczyt	top	szczyt	N;MASC+FEM;SG	N;NOM;MASC;SG
oude	stary	oud	stary	ADJ	ADJ;NOM;MASC;SG
zonder	bez	zonder	bez	ADP	ADP
ronde	runda	ronde	runda	N;MASC+FEM;SG	N;NOM;FEM;SG
gemaakt	utworzono	maken	utworzyć	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
gemaakt	stworzył	maken	stworzyć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
groep	grupie	groep	grupa	N;MASC+FEM;SG	N;DAT;FEM;SG
groep	grupy	groep	grupa	N;MASC+FEM;SG	N;ACC;FEM;SG
groep	grupa	groep	grupa	N;MASC+FEM;SG	N;NOM;FEM;SG
won	wygrał	winnen	wygrać	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
goals	bramki	goal	bramka	N;PL	N;ACC;FEM;PL
goals	cele	goal	cel	N;PL	N;NOM;MASC;PL
goals	celów	goal	cel	N;PL	N;GEN;MASC;PL
goals	bramek	goal	bramek	N;PL	N;GEN;FEM;PL
gebruik	wykorzystanie	gebruik	wykorzystać	N;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
gebruik	korzystanie	gebruik	korzystać	N;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
gebruik	użycie	gebruik	użyć	N;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
gebruik	użytkowanie	gebruik	użytkować	N;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
gebruik	wykorzystanie	gebruik	wykorzystać	N;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
werken	pracuj	werken	pracować	V;NFIN	V;IPFV;IMP;SG;2;FIN;ACT
werken	pracujemy	werken	pracować	V;NFIN	V;IPFV;IND;PL;1;PRS;FIN;ACT
werken	działa	werken	działać	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
werken	dziala	werken	dzialać	V;NFIN	V;IPFV;IND;SG;PST;FIN;ACT
derde	trzecia	drie	trzeci	ADJ	ADJ;NOM;FEM;SG
derde	trzeci	drie	trzeci	ADJ	ADJ;NOM;MASC;SG
iets	coś	iets	coś	PRO;3	PRO;NOM;NEUT;SG
kleine	mały	klein	mały	ADJ	ADJ;NOM;MASC;SG
kleine	niewielkie	klein	niewielki	ADJ	ADJ;NOM;NEUT;SG
kleine	mały	klein	mały	ADJ	ADJ;NOM;MASC;SG
eens	kiedyś	eens	kiedyś	ADV	ADV
zien	patrz	zien	patrzeć	V;NFIN	V;IPFV;IMP;SG;2;FIN;ACT
zien	zobacz	zien	zobaczyć	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
album	album	album	album	N;NEUT;SG	N;NOM;MASC;SG
album	płyta	album	płyta	N;NEUT;SG	N;NOM;FEM;SG
mogelijk	możliwy	mogelijk	możliwy	ADJ	ADJ;NOM;MASC;SG
mogelijk	możliwa	mogelijk	możliwy	ADJ	ADJ;NOM;FEM;SG
mogelijk	możliwe	mogelijk	możliwy	ADJ	ADJ;NOM;NEUT;SG
wil	chce	willen	chcieć	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
wil	chcesz	willen	chcieć	V;SG;PRS;FIN	V;IPFV;IND;SG;2;PRS;FIN;ACT
wil	chce	willen	chcieć	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
staten	stany	state	stany	N;PL	N;NOM;MASC;PL
staten	stanów	state	stan	N;PL	N;GEN;MASC;PL
nam	zabrał	nemen	zabrać	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
nam	wzięła	nemen	wziąć	V;SG;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
nam	wziął	nemen	wziąć	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
station	posterunek	station	posterunek	N;NEUT;SG	N;NOM;MASC;SG
station	stacji	station	stacja	N;NEUT;SG	N;GEN;FEM;SG
station	stacja	station	stacja	N;NEUT;SG	N;NOM;FEM;SG
station	dworzec	station	dworzec	N;NEUT;SG	N;NOM;MASC;SG
zoon	synu	zoon	syn	N;MASC+FEM;SG	N;VOC;MASC;SG
zoon	syn	zoon	syn	N;MASC+FEM;SG	N;NOM;MASC;SG
man	mężczyzna	man	mężczyzna	N;MASC+FEM;SG	N;NOM;MASC;SG
man	człowiek	man	człowiek	N;MASC+FEM;SG	N;NOM;MASC;SG
water	woda	water	woda	N;NEUT;SG	N;NOM;FEM;SG
water	wody	water	woda	N;NEUT;SG	N;GEN;FEM;SG
gezien	widział	zien	widzieć	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
begin	rozpoczęcie	begin	rozpocząć	N;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
begin	początek	begin	początek	N;NEUT;SG	N;NOM;MASC;SG
begin	początku	begin	początek	N;NEUT;SG	N;GEN;MASC;SG
begin	początek	begin	początek	N;NEUT;SG	N;NOM;MASC;SG
koning	króla	koning	król	N;MASC+FEM;SG	N;ACC;MASC;SG
koning	król	koning	król	N;MASC+FEM;SG	N;NOM;MASC;SG
spelen	graj	spelen	graj	V;NFIN	V;IPFV;IMP;SG;2;FIN;ACT
spelen	zagraj	spelen	zagrać	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
spelen	gra	spelen	grać	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
periode	okres	periode	okres	N;MASC+FEM;SG	N;NOM;MASC;SG
officiële	oficjalne	officeel	oficjalny	ADJ	ADJ;NOM;NEUT;SG
officiële	oficjalna	officeel	oficjalny	ADJ	ADJ;NOM;FEM;SG
officiële	urzędowym	officeel	urzędowy	ADJ	ADJ;INS;MASC;SG
officiële	oficjalny	officeel	oficjalny	ADJ	ADJ;NOM;MASC;SG
lid	członka	lid	członek	N;NEUT;SG	N;ACC;MASC;SG
lid	członkiem	lid	członek	N;NEUT;SG	N;INS;MASC;SG
lid	członek	lid	członek	N;NEUT;SG	N;NOM;MASC;SG
titel	podpis	titel	podpis	N;MASC+FEM;SG	N;ACC;MASC;SG
titel	tytuł	titel	tytuł	N;MASC+FEM;SG	N;ACC;MASC;SG
titel	tytuł	titel	tytuł	N;MASC+FEM;SG	N;ACC;MASC;SG
begon	rozpoczęto	beginnen	rozpocząć	V;SG;PST;FIN	V;PFV;IND;0;PST;FIN;ACT
begon	zaczął	beginnen	zacząć	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
bezocht	odwiedzili	bezoeken	odwiedzić	V;V.PTCP	V;PFV;MASC;IND;PL;PST;FIN;ACT
bezocht	odwiedził	bezoeken	odwiedzić	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
bezocht	odwiedziła	bezoeken	odwiedzić	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
nieuw	nowe	nieuw	nowy	ADJ	ADJ;NOM;NEUT;SG
nieuw	nowy	nieuw	nowy	ADJ	ADJ;NOM;MASC;SG
nummer	numer	nummer	numer	N;MASC+FEM;SG	N;NOM;MASC;SG
nummer	liczba	nummer	liczba	N;MASC+FEM;SG	N;NOM;FEM;SG
