категория	категорія	категория	категорія	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
община	край	община	край	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
място	місце	място	місце	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
място	розміщення	място	розміщення	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
място	місцезнаходження	място	місцезнаходження	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
място	локація	място	локація	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
място	місце	място	місце	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
място	розташування	място	розташування	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
когато	коли	когато	коли	ADV	ADV
вид	типу	вид	тип	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
вид	тип	вид	тип	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
вид	виді	вид	вид	N;INDF;MASC;SG	N;INAN;DAT;MASC;SG
вид	вид	вид	вид	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
една	одна	един	один	NUM;INDF;FEM;SG	NUM;NOM;FEM
една	один	един	один	NUM;INDF;FEM;SG	NUM;NOM;MASC
семейство	сімейство	семейство	сімейство	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
семейство	родина	семейство	родина	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
започва	починається	започвам-(се)	починатися	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
започва	починає	започвам-(се)	починати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
започва	починається	започвам-(се)	починатися	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
започва	запускає	започвам-(се)	запускати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
започва	стартує	започвам-(се)	стартувати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
над	над	над	над	ADP	ADP;ACC
него	нього	аз	він	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
него	його	аз	він	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
тези	ці	този	цей	DET;PL	DET;NOM;PL
тези	ті	този	той	DET;PL	DET;NOM;PL
тези	тих	този	той	DET;PL	DET;GEN;PL
тези	тими	този	той	DET;PL	DET;INS;PL
мини	копальні	мина	копальня	N;INDF;FEM;PL	N;INAN;NOM;FEM;PL
мини	міни	мина	міна	N;INDF;FEM;PL	N;INAN;NOM;FEM;PL
мини	мінні	мина	мінній	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
намира	знаходить	намирам-(се)	знаходити	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
република	республіка	република	республіка	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
късно	пізно	късно	пізно	ADV	ADV
късно	запізно	късно	запізно	ADV	ADV
път	контур	път	контура	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
път	шлях	път	шлях	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
път	маршрут	път	маршрут	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
път	дорога	път	дорога	N;INDF;MASC;SG	N;INAN;NOM;FEM;SG
отбор	команда	отбор	команда	N;INDF;MASC;SG	N;INAN;NOM;FEM;SG
август	серпня	август	серпень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
август	серпень	август	серпень	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
роден	народився	родя-(се)	народитися	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN
роден	народилась	родя-(се)	народитися	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN
роден	народилася	родя-(се)	народитися	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN
беседа	спілкування	бесед	спілкування	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
беседа	розмова	бесед	розмова	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
беседа	бесіда	бесед	бесіда	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
беседа	дискурс	бесед	дискурс	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
септември	вересня	септември	вересень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
септември	вересень	септември	вересень	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
преди	перед	преди	перед	ADP	ADP;INS
името	назва	име	назва	N;DEF;NEUT;SG	N;INAN;NOM;FEM;SG
група	гурт	група	гурт	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
група	група	група	група	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
група	групу	група	група	N;INDF;FEM;SG	N;INAN;ACC;FEM;SG
група	спільнота	група	спільнота	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
език	язик	език	язик	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
език	язика	език	язик	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
език	мова	език	мова	N;INDF;MASC;SG	N;INAN;NOM;FEM;SG
език	мову	език	мова	N;INDF;MASC;SG	N;INAN;ACC;FEM;SG
юли	липень	юли	липень	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
юли	липня	юли	липень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
някои	дехто	някой	дехто	PRO;NOM;PL	PRO;ANIM;NOM
тях	їх	аз	вони	PRO;ACC;PL;3	PRO;ACC;PL;3
река	річка	река	річка	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
река	ріка	река	ріка	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
януари	січень	януари	січеня	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
януари	січня	януари	січень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
юни	червня	юни	червень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
юни	червень	юни	червень	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
две	два	два	два	NUM;INDF;FEM;PL	NUM;NOM;MASC
две	дві	два	два	NUM;INDF;FEM;PL	NUM;NOM;FEM
две	двоє	два	двоє	NUM;INDF;FEM;PL	NUM;NOM
две	двох	два	два	NUM;INDF;FEM;PL	NUM;ACC
октомври	жовтень	октомври	жовтень	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
октомври	жовтня	октомври	жовтень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
октомври	жовтня	октомври	жовтень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
име	назва	име	назва	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
заедно	разом	заедно	разом	ADV	ADV
фон	тло	фон	тло	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
фон	тла	фон	тло	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
американски	американський	американски	американський	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
американски	американська	американски	американський	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
американски	американської	американски	американський	ADJ;INDF;MASC;SG	ADJ;GEN;FEM;SG
март	березень	март	березень	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
март	березня	март	березень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
ноември	листопаді	ноември	листопад	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
ноември	листопад	ноември	листопад	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
ноември	листопада	ноември	листопад	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
април	квітень	април	квітень	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
април	квітня	април	квітень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
декември	грудень	декември	грудень	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
декември	грудня	декември	грудень	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
декември	схилення	декември	схилення	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
декември	схил	декември	схила	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
чрез	через	чрез	через	ADP	ADP;ACC
чрез	через	чрез	через	ADP	ADP;ACC
история	історія	история	історія	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
история	сюжет	история	сюжет	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
история	розповідь	история	розповідь	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
история	публікація	история	публікація	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
история	журнал	история	журнал	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
история	історія	история	історія	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
жители	мешканці	жител	мешканець	N;INDF;MASC;PL	N;ANIM;NOM;MASC;PL
жители	мешканці	жител	мешканець	N;INDF;MASC;PL	N;ANIM;NOM;MASC;PL
жители	мешканців	жител	мешканець	N;INDF;MASC;PL	N;ANIM;ACC;MASC;PL
различни	різні	различен	різний	ADJ;INDF;PL	ADJ;NOM;PL
различни	різних	различен	різний	ADJ;INDF;PL	ADJ;ACC;PL
различни	відмінні	различен	відмінний	ADJ;INDF;PL	ADJ;NOM;PL
различни	різноманітні	различен	різноманітний	ADJ;INDF;PL	ADJ;NOM;PL
различни	різні	различен	різний	ADJ;INDF;PL	ADJ;NOM;PL
различни	різні	различен	різний	ADJ;INDF;PL	ADJ;NOM;PL
без	без	без	без	ADP	ADP;GEN
често	часто	често	часто	ADV	ADV
получава	здобуває	получавам	здобувати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
получава	отримує	получавам	отримувати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
получава	отримує	получавам	отримувати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
февруари	лютому	февруари	лютий	N;INDF;MASC;SG	N;INAN;DAT;MASC;SG
февруари	лютого	февруари	лютий	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
февруари	лютого	февруари	лютий	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
провинция	провінція	провинция	провінція	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
империя	імперія	империя	імперія	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
център	центр	център	центр	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
център	центр	център	центр	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
вече	уже	вече	уже	ADV	ADV
вече	вже	вече	вже	ADV	ADV
сред	серед	сред	серед	ADP	ADP;GEN
три	три	три	три	NUM;INDF;PL	NUM;NOM
страна	країна	страна	країна	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
страна	сторона	страна	сторона	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
страна	бік	страна	бік	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
градове	містами	град	місто	N;INDF;MASC;PL	N;INAN;INS;NEUT;PL
градове	городи	град	город	N;INDF;MASC;PL	N;INAN;NOM;MASC;PL
градове	містах	град	місто	N;INDF;MASC;PL	N;INAN;ESS;NEUT;PL
население	населення	население	населення	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
население	населення	население	населення	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
завършва	завершується	завършвам	завершуватися	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
завършва	завершує	завършвам	завершувати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
завършва	закінчується	завършвам	закінчуватися	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
университет	університет	университет	університет	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
син	сина	син	син	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
син	сину	син	син	N;INDF;MASC;SG	N;ANIM;VOC;MASC;SG
син	син	син	син	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
награда	винагороду	награда	винагорода	N;INDF;FEM;SG	N;INAN;ACC;FEM;SG
награда	нагорода	награда	нагорода	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
награда	премія	награда	премія	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
награда	нагорода	награда	нагорода	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
голяма	велике	голям	великий	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
голяма	велика	голям	великий	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
голяма	великий	голям	великий	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
сайт	сайті	сайт	сайт	N;INDF;MASC;SG	N;INAN;DAT;MASC;SG
сайт	сайт	сайт	сайт	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
сайт	сайт	сайт	сайт	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
използва	використовує	използвам	використовувати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
използва	користується	използвам	користуватися	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
сезон	сезон	сезон	сезон	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
сезон	сезону	сезон	сезон	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
окръг	графство	окръг	графство	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
окръг	повіт	окръг	повіт	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
окръг	жупанія	окръг	жупанія	N;INDF;MASC;SG	N;INAN;NOM;FEM;SG
окръг	улус	окръг	улус	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
окръг	округ	окръг	округ	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
окръг	район	окръг	район	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
днес	сьогодні	днес	сьогодні	ADV	ADV
смъртта	смерть	смърт	смерть	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
национален	національна	национален	національний	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
национален	національне	национален	національний	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
национален	національний	национален	національний	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
вижте	подивитися	видя-(се)	подивитися	V;PFV;IMP;PL;2;FIN	V;PFV;NFIN
вижте	переглянути	видя-(се)	переглянути	V;PFV;IMP;PL;2;FIN	V;PFV;NFIN
английски	англійською	английски	англійський	ADJ;INDF;MASC;SG	ADJ;INS;FEM;SG
английски	англійська	английски	англійський	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
едно	одна	един	один	NUM;INDF;NEUT;SG	NUM;NOM;FEM
едно	один	един	один	NUM;INDF;NEUT;SG	NUM;NOM;MASC
първи	перша	първи	перший	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
първи	перший	първи	перший	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
отново	знов	отново	знов	ADV	ADV
отново	знову	отново	знову	ADV	ADV
член	член	член	член	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
член	учасник	член	учасник	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
член	учасника	член	учасник	N;INDF;MASC;SG	N;ANIM;ACC;MASC;SG
член	члена	член	член	N;INDF;MASC;SG	N;ANIM;ACC;MASC;SG
член	стаття	член	стаття	N;INDF;MASC;SG	N;INAN;NOM;FEM;SG
член	статтю	член	стаття	N;INDF;MASC;SG	N;INAN;ACC;FEM;SG
височина	висота	височина	висота	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
височина	висота	височина	висота	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
височина	висота	височина	висота	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
дъщеря	донька	дъщеря	донька	N;INDF;FEM;SG	N;ANIM;NOM;FEM;SG
дъщеря	дочка	дъщеря	дочка	N;INDF;FEM;SG	N;ANIM;NOM;FEM;SG
там	туди	там	туди	ADV	ADV
там	там	там	там	ADV	ADV
система	система	система	система	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
нея	її	аз	вона	PRO;ACC;FEM;SG;3	PRO;ACC;FEM;SG;3
училище	школа	училище	школа	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
училище	училище	училище	училище	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
света	света	свят	свет	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
света	світ	свят	світ	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
света	світе	свят	світи	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
села	селах	село	село	N;INDF;NEUT;PL	N;INAN;ESS;NEUT;PL
села	сіл	село	сіль	N;INDF;NEUT;PL	N;INAN;GEN;FEM;PL
филми	фільми	филм	фільм	N;INDF;MASC;PL	N;INAN;NOM;MASC;PL
филми	фільмів	филм	фільм	N;INDF;MASC;PL	N;INAN;GEN;MASC;PL
филми	фільми	филм	фільм	N;INDF;MASC;PL	N;INAN;NOM;MASC;PL
умира	вмирає	умирам	вмирати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
умира	гине	умирам	гинати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
умира	помирає	умирам	помирати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
южна	південна	южен	південний	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
южна	південний	южен	південний	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
южна	південна	южен	південний	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
южна	південний	южен	південний	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
части	частини	част	частина	N;INDF;FEM;PL	N;INAN;NOM;FEM;PL
части	частинами	част	частина	N;INDF;FEM;PL	N;INAN;INS;FEM;PL
баща	батька	баща	батько	N;INDF;MASC;SG	N;ANIM;ACC;MASC;SG
баща	батько	баща	батько	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
баща	батьку	баща	батько	N;INDF;MASC;SG	N;ANIM;VOC;MASC;SG
баща	отець	баща	отець	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
нова	нове	нов	новий	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
нова	нова	нов	новий	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
нова	новий	нов	новий	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
нова	нова	нов	новий	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
крал	король	крал	король	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
крал	цар	крал	цар	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
армия	армії	армия	армія	N;INDF;FEM;SG	N;INAN;GEN;FEM;SG
армия	армія	армия	армія	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
армия	військо	армия	військо	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
църква	церква	църква	церква	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
църква	костел	църква	костел	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
официален	офіційна	официален	офіційний	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
официален	офіційний	официален	офіційний	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
официален	офіційне	официален	офіційний	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
официален	формальна	официален	формальний	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
северна	північна	северен	північний	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
северна	північний	северен	північний	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
северна	північна	северен	північний	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
северна	північний	северен	північний	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
северна	північне	северен	північний	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
времето	погода	време	погода	N;DEF;NEUT;SG	N;INAN;NOM;FEM;SG
времето	тайм	време	тайм	N;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
времето	час	време	час	N;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
българска	болгарський	български	болгарський	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
българска	болгарська	български	болгарський	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
освен	крім	освен	крім	ADP	ADP;GEN
места	місць	място	місце	N;INDF;NEUT;PL	N;INAN;GEN;NEUT;PL
места	місця	място	місце	N;INDF;NEUT;PL	N;INAN;NOM;NEUT;PL
места	місцини	място	місцина	N;INDF;NEUT;PL	N;INAN;NOM;FEM;PL
места	місця	място	місце	N;INDF;NEUT;PL	N;INAN;NOM;NEUT;PL
начин	спосіб	начин	спосіб	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
начин	шлях	начин	шлях	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
период	строк	период	строк	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
период	період	период	період	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
резултат	рахунок	резултат	рахунок	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
резултат	результат	резултат	результат	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
резултат	оцінка	резултат	оцінка	N;INDF;MASC;SG	N;INAN;NOM;FEM;SG
резултат	результат	резултат	результат	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
страница	сторінку	страница	сторінка	N;INDF;FEM;SG	N;INAN;ACC;FEM;SG
страница	сторінка	страница	сторінка	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
картинка	зображення	картинка	зображення	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
картинка	картинка	картинка	картинка	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
картинка	зображення	картинка	зображення	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
граф	граф	граф	граф	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
играе	грати	играя	грати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;NFIN
играе	грає	играя	грати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
играе	відтворює	играя	відтворювати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
играе	грає	играя	грати	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
живот	життя	живот	життя	N;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
тук	тут	там	тут	ADV	ADV
император	імператор	император	імператор	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
църквата	церква	църква	церква	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
църквата	костел	църква	костел	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
ден	день	ден	день	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
ден	дню	ден	день	N;INDF;MASC;SG	N;INAN;DAT;MASC;SG
ден	дня	ден	день	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
жени	жінок	жена	жінка	N;INDF;FEM;PL	N;ANIM;ACC;FEM;PL
жени	жінки	жена	жінка	N;INDF;FEM;PL	N;ANIM;NOM;FEM;PL
руски	російська	руски	російський	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
руски	російською	руски	російський	ADJ;INDF;MASC;SG	ADJ;INS;FEM;SG
руски	російську	руски	російський	ADJ;INDF;MASC;SG	ADJ;ACC;FEM;SG
известен	відома	известен	відомий	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
известен	відоме	известен	відомий	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
известен	відома	известен	відомий	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
известен	відомий	известен	відомий	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
известен	знаменитий	известен	знаменитий	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
добре	добре	добре	добре	ADV	ADV
дори	навіть	дори	навіть	PART	PART
тогава	потім	тогава	потім	ADV	ADV
тогава	тоді	тогава	тоді	ADV	ADV
голям	велике	голям	великий	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
голям	велика	голям	великий	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
голям	великий	голям	великий	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
