dari	من	dari	مِن	ADP	ADP
kota	البلدة	kota	بَلدَة	N;SG	N;NOM;DEF;SG
kota	مدينة	kota	مَدِينَة	N;SG	N;NOM;INDF;SG
kota	المدينة	kota	مَدِينَة	N;SG	N;NOM;DEF;SG
seperti	مثل	seperti	مِثلَ	ADP	ADP;NOM
pranala	الرابط	pranala	رَابِط	N;SG	N;NOM;DEF;SG
pranala	وصلة	pranala	وِصلَة	N;SG	N;NOM;INDF;SG
pranala	ربط	pranala	رَبط	N;SG	N;NOM;INDF;SG
pranala	رابط	pranala	رابط	N;SG	N;NOM;INDF;SG
desa	قرية	desa	قَريَة	N;SG	N;NOM;INDF;SG
desa	القرية	desa	قَريَة	N;SG	N;NOM;DEF;SG
nama	اسم	nama	اِسم	N;SG	N;NOM;INDF;SG
nama	الاسم	nama	اِسم	N;SG	N;NOM;DEF;SG
kayu	خشب	kayu	خشب	N;SG	N;NOM;INDF;SG
kayu	الخشب	kayu	خَشَب	N;SG	N;NOM;DEF;SG
kayu	الحطب	kayu	حَطب	N;SG	N;NOM;DEF;SG
kayu	خشب	kayu	خشب	N;SG	N;NOM;INDF;SG
kayu	الخشب	kayu	خَشَب	N;SG	N;NOM;DEF;SG
setelah	بعد	setelah	بَعدَ	ADP	ADP;NOM
bahasa	لغة	bahasa	لُغَة	N;SG	N;NOM;INDF;SG
bahasa	اللغة	bahasa	لُغَة	N;SG	N;NOM;DEF;SG
lain	اخرى	lain	آخَر	ADJ;SG	ADJ;NOM;INDF;FEM;SG
besar	كبيرة	besar	كَبِير	ADJ;SG	ADJ;NOM;INDF;FEM;SG
besar	الكبير	besar	كَبِير	ADJ;SG	ADJ;NOM;DEF;MASC;SG
besar	كبيرة	besar	كَبِير	ADJ;SG	ADJ;NOM;INDF;FEM;SG
besar	كبير	besar	كَبِير	ADJ;SG	ADJ;NOM;INDF;MASC;SG
besar	عظيم	besar	عظيم	ADJ;SG	ADJ;NOM;INDF;MASC;SG
besar	عظيمة	besar	عَظِيمَة	ADJ;SG	ADJ;NOM;INDF;FEM;SG
besar	العظيم	besar	عَظِيم	ADJ;SG	ADJ;NOM;DEF;MASC;SG
film	الفيلم	film	فِيلم	N;SG	N;NOM;DEF;SG
film	فيلم	film	فِيلم	N;SG	N;NOM;INDF;SG
film	الفلم	film	فَلَّم	N;SG	N;NOM;DEF;SG
film	الفيلم	film	فِيلم	N;SG	N;NOM;DEF;SG
film	فيلم	film	فِيلم	N;SG	N;NOM;INDF;SG
kelas	الطبقة	kelas	طَبَقَة	N;SG	N;NOM;DEF;SG
kelas	الفصل	kelas	فَصل	N;SG	N;NOM;DEF;SG
kelas	صف	kelas	صَفّ	N;SG	N;NOM;INDF;SG
kelas	الصف	kelas	صَفّ	N;SG	N;NOM;DEF;SG
kelas	الفئة	kelas	فِئَة	N;SG	N;NOM;DEF;SG
kecamatan	المنطقة	kecamatan	مِنطَقَة	N;SG	N;NOM;DEF;SG
kecamatan	المقاطعة	kecamatan	مُقَاطَعَة	N;SG	N;NOM;DEF;SG
kecamatan	منطقة	kecamatan	مِنطَقَة	N;SG	N;NOM;INDF;SG
salah	الخطا	salah	خَطَا	N;SG	N;NOM;DEF;SG
salah	خطا	salah	خَطّ	N;SG	N;NOM;INDF;SG
negara	بلد	negara	بَلَد	N;SG	N;NOM;INDF;SG
negara	البلد	negara	بَلَد	N;SG	N;NOM;DEF;SG
negara	الولاية	negara	وِلَايَة	N;SG	N;NOM;DEF;SG
negara	دولة	negara	دَولَة	N;SG	N;NOM;INDF;SG
negara	ولاية	negara	وِلَايَة	N;SG	N;NOM;INDF;SG
negara	الحالة	negara	حَالَة	N;SG	N;NOM;DEF;SG
negara	الدولة	negara	دَولَة	N;SG	N;NOM;DEF;SG
kemudian	اذن	kemudian	إِذَن	ADV	ADV
kabupaten	مقاطعة	kabupaten	مُقَاطَعَة	N;SG	N;NOM;INDF;SG
kabupaten	المقاطعة	kabupaten	مُقَاطَعَة	N;SG	N;NOM;DEF;SG
kabupaten	المنطقة	kabupaten	مِنطَقَة	N;SG	N;NOM;DEF;SG
kabupaten	المقاطعة	kabupaten	مُقَاطَعَة	N;SG	N;NOM;DEF;SG
kabupaten	منطقة	kabupaten	مِنطَقَة	N;SG	N;NOM;INDF;SG
kumbang	الخنفساء	kumbang	خُنفُسَاء	N	N;NOM;DEF;SG
lalat	ذبابة	lalat	ذَبَّابَة	N;SG	N;NOM;INDF;SG
lalat	الذباب	lalat	ذَبَّاب	N;SG	N;NOM;DEF;SG
isi	محتوى	isi	مُحتَوَى	N;SG	N;NOM;INDF;SG
isi	المحتوى	isi	المحتوى	N;SG	N;NOM;DEF;SG
isi	المضمون	isi	المضمون	N;SG	N;NOM;DEF;SG
isi	ملء	isi	مَلء	N;SG	N;NOM;INDF;SG
isi	املا	isi	أَمَل	N;SG	N;ACC;INDF;SG
daftar	قائمة	daftar	قَائِمَة	N;SG	N;NOM;INDF;SG
daftar	القائمة	daftar	قَائِمَة	N;SG	N;NOM;DEF;SG
baru	جديد	baru	جَدِيد	ADJ;SG	ADJ;NOM;INDF;MASC;SG
baru	جديدة	baru	جَدِيد	ADJ;SG	ADJ;NOM;INDF;FEM;SG
baru	الجديد	baru	جَدِيد	ADJ;SG	ADJ;NOM;DEF;MASC;SG
antara	بين	antara	بَينَ	ADP	ADP;ACC
barat	الغرب	barat	غَرب	N;SG	N;NOM;DEF;SG
barat	غربا	barat	غَرب	N;SG	N;ACC;INDF;SG
barat	غرب	barat	غَرب	N;SG	N;NOM;INDF;SG
barat	غرب	barat	غَرب	N;SG	N;NOM;INDF;SG
wilayah	مساحة	wilayah	مِسَاحَة	N;SG	N;NOM;INDF;SG
wilayah	المساحة	wilayah	مِسَاحَة	N;SG	N;NOM;DEF;SG
wilayah	منطقة	wilayah	مِنطَقَة	N;SG	N;NOM;INDF;SG
wilayah	المنطقة	wilayah	مِنطَقَة	N;SG	N;NOM;DEF;SG
wilayah	منطقة	wilayah	مِنطَقَة	N;SG	N;NOM;INDF;SG
wilayah	المنطقة	wilayah	مِنطَقَة	N;SG	N;NOM;DEF;SG
tanggal	موعد	tanggal	مَوعِد	N;SG;ACT	N;NOM;INDF;SG
tanggal	الموعد	tanggal	مَوعِد	N;SG;ACT	N;NOM;DEF;SG
tanggal	التاريخ	tanggal	تَارِيخ	N;SG;ACT	N;NOM;DEF;SG
tanggal	تاريخ	tanggal	تَارِيخ	N;SG;ACT	N;NOM;INDF;SG
dunia	عالم	dunia	عَالَم	N;SG	N;NOM;INDF;SG
dunia	الدنيا	dunia	دِنِّيَا	N;SG	N;NOM;DEF;SG
dunia	العالم	dunia	عَالَم	N;SG	N;NOM;DEF;SG
timur	شرق	timur	شَرق	N;SG	N;NOM;INDF;SG
timur	الشرق	timur	شَرق	N;SG	N;NOM;DEF;SG
timur	شرقا	timur	شِرق	N;SG	N;ACC;INDF;SG
timur	شرق	timur	شَرق	N;SG	N;NOM;INDF;SG
tempat	مكان	tempat	مَكَان	N;SG	N;NOM;INDF;SG
tempat	المكان	tempat	مَكَان	N;SG	N;NOM;DEF;SG
dua	اثنين	dua	اِثنَان	NUM	NUM;NOM;INDF;MASC
dua	اثنتان	dua	اِثنَان	NUM	NUM;NOM;INDF;FEM
selatan	جنوب	selatan	جَنُوب	N;SG	N;NOM;INDF;SG
selatan	جنوبا	selatan	جَنُوب	N;SG	N;ACC;INDF;SG
selatan	الجنوب	selatan	جَنُوب	N;SG	N;NOM;DEF;SG
selatan	جنوب	selatan	جَنُوب	N;SG	N;NOM;INDF;SG
september	ايلول	september	أَيلُول	N;SG	N;NOM;INDF;SG
september	سبتمبر	september	سِبتَمبِر	N;SG	N;GEN;INDF;SG
anak	الابن	anak	اِبن	N;SG	N;NOM;DEF;SG
anak	الطفلة	anak	طِفلَة	N;SG	N;NOM;DEF;SG
anak	طفل	anak	طِفل	N;SG	N;NOM;INDF;SG
anak	طفلة	anak	طِفلَة	N;SG	N;NOM;INDF;SG
anak	الطفل	anak	طِفل	N;SG	N;NOM;DEF;SG
species	الانواع	species	نَوع	N	N;NOM;DEF;PL
hidup	الحياة	hidup	حَيَاة	N;SG	N;NOM;DEF;SG
hidup	الحياه	hidup	حِيَاه	N;SG	N;NOM;DEF;SG
hidup	حياة	hidup	حَيَاة	N;SG	N;NOM;INDF;SG
hidup	حيا	hidup	حَيّ	N;SG	N;NOM;INDF;SG
lagu	الاغنية	lagu	أَغنِيّ	N;SG	N;NOM;DEF;SG
lagu	اغنية	lagu	أَغنِيّ	N;SG	N;NOM;INDF;SG
daerah	المنطقة	daerah	مِنطَقَة	N;SG	N;NOM;DEF;SG
daerah	المقاطعة	daerah	مُقَاطَعَة	N;SG	N;NOM;DEF;SG
daerah	منطقة	daerah	مِنطَقَة	N;SG	N;NOM;INDF;SG
daerah	مساحة	daerah	مِسَاحَة	N;SG	N;NOM;INDF;SG
daerah	المساحة	daerah	مِسَاحَة	N;SG	N;NOM;DEF;SG
daerah	منطقة	daerah	مِنطَقَة	N;SG	N;NOM;INDF;SG
daerah	المنطقة	daerah	مِنطَقَة	N;SG	N;NOM;DEF;SG
daerah	منطقة	daerah	مِنطَقَة	N;SG	N;NOM;INDF;SG
daerah	المنطقة	daerah	مِنطَقَة	N;SG	N;NOM;DEF;SG
daerah	مقاطعة	daerah	مُقَاطَعَة	N;SG	N;NOM;INDF;SG
daerah	المقاطعة	daerah	مُقَاطَعَة	N;SG	N;NOM;DEF;SG
daerah	القسم	daerah	قِسم	N;SG	N;NOM;DEF;SG
daerah	قسم	daerah	قِسم	N;SG	N;NOM;INDF;SG
daerah	الفرع	daerah	فَرع	N;SG	N;NOM;DEF;SG
sekolah	مدرسة	sekolah	مَدرَسَة	N;SG	N;NOM;INDF;SG
sekolah	المدرسة	sekolah	مَدرَسَة	N;SG	N;NOM;DEF;SG
hanya	فقط	hanya	فَقَط	ADV	ADV
hanya	فقط	hanya	فَقَط	ADV	ADV
air	الماء	air	مَاء	N;SG	N;NOM;DEF;SG
air	ماء	air	مَاء	N;SG	N;NOM;INDF;SG
air	هواء	air	هَوَاء	N;SG	N;NOM;INDF;SG
air	الهواء	air	هَوَاء	N;SG	N;NOM;DEF;SG
hari	اليوم	hari	يَوم	N;SG	N;ACC;DEF;SG
hari	يوم	hari	يَوم	N;SG	N;NOM;INDF;SG
digunakan	استخدمت	digunakan	اِستَخدَم	V;SG;PASS	V;PFV;FEM;SG;3;PASS
kali	وقت	kali	وَقت	N;SG	N;NOM;INDF;SG
kali	الزمن	kali	زَمَن	N;SG	N;NOM;DEF;SG
kali	الوقت	kali	وَقت	N;SG	N;NOM;DEF;SG
kali	زمن	kali	زَمَن	N;SG	N;NOM;INDF;SG
kali	الزمان	kali	زَمَان	N;SG	N;NOM;DEF;SG
sama	متساوية	sama	مُتَسَاوِي	ADJ;SG	ADJ;NOM;INDF;FEM;SG
sama	متساو	sama	مُتسَاو	ADJ;SG	ADJ;NOM;INDF;MASC;SG
sama	مساو	sama	مَسَاو	ADJ;SG	ADJ;NOM;INDF;MASC;SG
album	الالبوم	album	أَلبُوم	N;SG	N;NOM;DEF;SG
hal	الشيء	hal	شَيء	N;SG	N;NOM;DEF;SG
hal	امور	hal	أَمر	N;SG	N;NOM;INDF;SG
panjang	طويلا	panjang	طَوِيل	ADJ;SG	ADJ;ACC;INDF;MASC;SG
panjang	طويلة	panjang	طَوِيل	ADJ;SG	ADJ;NOM;INDF;FEM;SG
panjang	طويل	panjang	طَوِيل	ADJ;SG	ADJ;NOM;INDF;MASC;SG
anggota	عضوة	anggota	عُضوَة	N;SG	N;NOM;INDF;SG
anggota	عضو	anggota	عُضو	N;SG	N;NOM;INDF;SG
anggota	العضو	anggota	عُضو	N;SG	N;NOM;DEF;SG
selama	اثناء	selama	أَثنَاءَ	ADP	ADP;ACC
selama	خلال	selama	خِلَالَ	ADP	ADP;ACC
sejak	منذ	sejak	مُنذُ	ADP	ADP
lainnya	المزيد	lainnya	مَزِيد	N	N;NOM;DEF;SG
lainnya	مزيد	lainnya	مَزِيد	N	N;NOM;INDF;SG
menggunakan	استعمل	mengunakan	اِستَعمَل	V;SG;ACT	V;PFV;MASC;SG;3;ACT
menggunakan	استخدم	mengunakan	اِستَخدَم	V;SG;ACT	V;PFV;MASC;SG;3;ACT
berasal	يستمد	berasal	اِستَمَدّ	V;SG;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
berasal	تستمد	berasal	اِستَمَدّ	V;SG;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
utama	رئيسية	utama	رَئِيسِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
utama	الرئيسية	utama	رَئِيسِيّ	ADJ;SG	ADJ;NOM;DEF;FEM;SG
utama	الابتدائي	utama	اِبتِدَائِيّ	ADJ;SG	ADJ;NOM;DEF;MASC;SG
utama	الابتدائية	utama	اِبتِدَائِيّ	ADJ;SG	ADJ;NOM;DEF;FEM;SG
disebut	يشار	disebut	أَشَار	V;SG;PASS	V;IPFV;MASC;IND;SG;3;FIN;PASS
kembali	عاد	kembali	عَاد	V;SG;ACT	V;PFV;MASC;SG;3;ACT
kembali	ارجع	kembali	أَرجَع	V;SG;ACT	V;PFV;MASC;SG;3;ACT
kembali	ظهر	kembali	ظَهَر	V;SG;ACT	V;PFV;MASC;SG;3;ACT
menyebabkan	تسبب	mensebabkan	تَسَبَّب	V;SG;ACT	V;PFV;MASC;SG;3;ACT
menyebabkan	يسبب	mensebabkan	سَبَّب	V;SG;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
lihat	ترى	lihat	رَأَى	V;SG;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
tinggi	عالي	tinggi	عَالِي	ADJ;SG	ADJ;NOM;INDF;MASC;SG
tinggi	مرتفع	tinggi	مُرتَفِع	ADJ;SG	ADJ;NOM;INDF;MASC;SG
tinggi	عالية	tinggi	عَالِي	ADJ;SG	ADJ;NOM;INDF;FEM;SG
tinggi	عاليا	tinggi	عَالِي	ADJ;SG	ADJ;ACC;INDF;MASC;SG
tinggi	الاعلى	tinggi	أَعلَى	ADJ;SG	ADJ;NOM;DEF;MASC;SG
waktu	وقت	waktu	وَقت	N;SG	N;NOM;INDF;SG
waktu	الزمن	waktu	زَمَن	N;SG	N;NOM;DEF;SG
waktu	الوقت	waktu	وَقت	N;SG	N;NOM;DEF;SG
waktu	زمن	waktu	زَمَن	N;SG	N;NOM;INDF;SG
waktu	الزمان	waktu	زَمَان	N;SG	N;NOM;DEF;SG
jenis	نوع	jenis	نَوع	N;SG	N;NOM;INDF;SG
jenis	النوع	jenis	نَوع	N;SG	N;NOM;DEF;SG
jenis	نوع	jenis	نَوع	N;SG	N;NOM;INDF;SG
bulan	القمر	bulan	قَمَر	N;SG	N;NOM;DEF;SG
bulan	شهرا	bulan	شَهر	N;SG	N;ACC;INDF;SG
bulan	الشهر	bulan	شَهر	N;SG	N;NOM;DEF;SG
bulan	شهر	bulan	شَهر	N;SG	N;NOM;INDF;SG
departemen	القسم	departemen	قِسم	N;SG	N;NOM;DEF;SG
departemen	قسم	departemen	قِسم	N;SG	N;NOM;INDF;SG
departemen	الادارة	departemen	إِدَارَة	N;SG	N;NOM;DEF;SG
laba	الربح	laba	رِبح	N;SG	N;NOM;DEF;SG
laba	ربح	laba	ربح	N;SG	N;NOM;INDF;SG
laba	العنكبوت	laba	العنكبوت	N;SG	N;NOM;DEF;SG
membuat	يخلق	menbuat	خَلَق	V;SG;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
membuat	خلق	menbuat	خَلَق	V;SG;ACT	V;PFV;MASC;SG;3;ACT
membuat	جعل	menbuat	جَعَل	V;SG;ACT	V;PFV;MASC;SG;3;ACT
membuat	صنع	menbuat	صَنَع	V;SG;ACT	V;PFV;MASC;SG;3;ACT
membuat	اجعل	menbuat	أَجعَل	V;SG;ACT	V;PFV;MASC;SG;3;ACT
membuat	اصنع	menbuat	أَصنَع	V;SG;ACT	V;PFV;MASC;SG;3;ACT
resmi	رسمي	resmi	رَسمِيّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
resmi	الرسمي	resmi	رَسمِيّ	ADJ;SG	ADJ;NOM;DEF;MASC;SG
resmi	رسمية	resmi	رَسمِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
sekitar	حول	sekitar	حَولَ	ADP	ADP;ACC
sekitar	عن	sekitar	عَن	ADP	ADP
udara	هواء	udara	هَوَاء	N;SG	N;NOM;INDF;SG
udara	الهواء	udara	هَوَاء	N;SG	N;NOM;DEF;SG
melalui	عبر	melalui	عَبرَ	ADP	ADP;ACC
melalui	عبر	melalui	عَبرَ	ADP	ADP;ACC
melalui	خلال	melalui	خِلَالَ	ADP	ADP;ACC
nasional	وطنية	nasional	وَطَنِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
nasional	وطني	nasional	وَطَنِيّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
perang	حرب	perang	حَرب	N;SG	N;NOM;INDF;SG
perang	الحرب	perang	حَرب	N;SG	N;NOM;DEF;SG
tentang	حول	tentang	حَولَ	ADP;SG;ACT	ADP;ACC
tentang	عن	tentang	عَن	ADP;SG;ACT	ADP
pulau	الجزيرة	pulau	جَزِيرَة	N;SG	N;NOM;DEF;SG
pulau	جزيرة	pulau	جَزِيرَة	N;SG	N;NOM;INDF;SG
pulau	الجزر	pulau	جُزر	N;SG	N;NOM;DEF;SG
rumah	المنزل	rumah	مَنزِل	N;SG	N;NOM;DEF;SG
rumah	الوطن	rumah	وَطَن	N;SG	N;NOM;DEF;SG
rumah	منزل	rumah	مَنزِل	N;SG	N;NOM;INDF;SG
rumah	البيت	rumah	بَيت	N;SG	N;NOM;DEF;SG
rumah	المنزل	rumah	مَنزِل	N;SG	N;NOM;DEF;SG
rumah	منزل	rumah	مَنزِل	N;SG	N;NOM;INDF;SG
rumah	البيت	rumah	بَيت	N;SG	N;NOM;DEF;SG
pendidikan	تعليم	pendidikan	تَعلِيم	N;SG	N;NOM;INDF;SG
pendidikan	التربية	pendidikan	تَربِيَة	N;SG	N;NOM;DEF;SG
pendidikan	التعليم	pendidikan	تَعلِيم	N;SG	N;NOM;DEF;SG
laut	البحر	laut	بَحر	N;SG	N;NOM;DEF;SG
laut	بحر	laut	بَحر	N;SG	N;NOM;INDF;SG
laut	المحيط	laut	مُحِيط	N;SG	N;NOM;DEF;SG
tim	الفرق	tim	فِرقَة	N;SG	N;NOM;DEF;SG
tim	الفريق	tim	فَرِيق	N;SG	N;NOM;DEF;SG
tim	فريق	tim	فَرِيق	N;SG	N;NOM;INDF;SG
sistem	نظام	sistem	نِظَام	N;SG	N;NOM;INDF;SG
sistem	النظام	sistem	نِظَام	N;SG	N;NOM;DEF;SG
sistem	المنظومة	sistem	مَنظُومَة	N;SG	N;NOM;DEF;SG
komune	بلديات	komune	بَلَدِيَّة	N	N;NOM;INDF;PL
termasuk	شملت	termasuk	شَمَل	V	V;PFV;FEM;SG;3;ACT
termasuk	شمل	termasuk	شَمِل	V	V;PFV;MASC;SG;3;ACT
termasuk	تشمل	termasuk	شَمِل	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
termasuk	يشمل	termasuk	شَمِل	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
termasuk	يتضمن	termasuk	تَضَمَّن	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
termasuk	تتضمن	termasuk	تَضَمَّن	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
termasuk	تشمل	termasuk	شَمِل	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
larva	اليرقة	larva	يَرقَة	N	N;NOM;DEF;SG
terhadap	ضد	terhadap	ضِدَّ	ADP	ADP;ACC
batang	الحانة	batang	حَانَة	N;SG	N;NOM;DEF;SG
batang	حانة	batang	حَانَة	N;SG	N;NOM;INDF;SG
batang	شريط	batang	شَرِيط	N;SG	N;NOM;INDF;SG
batang	البار	batang	بَار	N;SG	N;NOM;DEF;SG
sendiri	وحيدة	sendiri	وَحِيد	ADJ;SG	ADJ;NOM;INDF;FEM;SG
matahari	الشمس	matahari	شَمس	N;SG	N;NOM;DEF;SG
presiden	رئيس	presiden	رَئِيس	N;SG	N;NOM;INDF;SG
presiden	الرئيس	presiden	رَئِيس	N;SG	N;NOM;DEF;SG
masyarakat	مجتمع	masyarakat	مُجتَمَع	N;SG	N;NOM;INDF;SG
masyarakat	المجتمع	masyarakat	مُجتَمَع	N;SG	N;NOM;DEF;SG
masyarakat	الجماعة	masyarakat	جَمَاعَة	N;SG	N;NOM;DEF;SG
masyarakat	مجتمع	masyarakat	مُجتَمَع	N;SG	N;NOM;INDF;SG
masyarakat	المجتمع	masyarakat	مُجتَمَع	N;SG	N;NOM;DEF;SG
masyarakat	الجمعية	masyarakat	جَمعِيَّة	N;SG	N;NOM;DEF;SG
tiga	ثلاثة	tiga	ثَلَاثَة	NUM	NUM;NOM;INDF;MASC
tiga	ثلاث	tiga	ثَلَاثَة	NUM	NUM;NOM;INDF;FEM
jalan	الطريق	jalan	طَرِيق	N;SG;ACT	N;NOM;DEF;SG
jalan	طريق	jalan	طَرِيق	N;SG;ACT	N;NOM;INDF;SG
musik	موسيقى	musik	مُوسِيقِيّ	N;SG	N;NOM;INDF;SG
musik	موسيقي	musik	مُوسِيقِيّ	N;SG	N;NOM;INDF;SG
musik	الموسيقى	musik	الموسيقى	N;SG	N;NOM;DEF;SG
musik	موسيقي	musik	مُوسِيقِيّ	N;SG	N;NOM;INDF;SG
planet	الكوكب	planet	كُوَكب	N;SG	N;NOM;DEF;SG
umum	عامة	umum	عَامّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
kerusakan	عطل	kerusakan	عَطَّل	N;SG	N;NOM;INDF;SG
kerusakan	ضرر	kerusakan	ضَرَّر	N;SG	N;NOM;INDF;SG
kerusakan	الضرر	kerusakan	ضَرر	N;SG	N;NOM;DEF;SG
kecil	صغير	kecil	صَغِير	ADJ;SG	ADJ;NOM;INDF;MASC;SG
kecil	صغيرة	kecil	صَغِير	ADJ;SG	ADJ;NOM;INDF;FEM;SG
kecil	قليل	kecil	قَلِيل	ADJ;SG	ADJ;NOM;INDF;MASC;SG
kecil	قاصر	kecil	قَاصِر	ADJ;SG	ADJ;NOM;INDF;MASC;SG
menteri	سكرتيرة	menteri	سِكرِتِيرَة	N;SG	N;NOM;INDF;SG
menteri	الامين	menteri	أَمِين	N;SG	N;NOM;DEF;SG
menteri	سكرتير	menteri	سِكرِتِير	N;SG	N;NOM;INDF;SG
menteri	السكرتير	menteri	سِكرِتِير	N;SG	N;NOM;DEF;SG
menteri	وزير	menteri	وَزِير	N;SG	N;NOM;INDF;SG
menteri	وزيرة	menteri	وَزِيرَة	N;SG	N;NOM;INDF;SG
menteri	الوزيرة	menteri	وَزِيرَة	N;SG	N;NOM;DEF;SG
menteri	الوزير	menteri	وَزِير	N;SG	N;NOM;DEF;SG
jumlah	مبالغ	jumlah	مَبلَغ	N;SG	N;NOM;INDF;SG
jumlah	المبلغ	jumlah	مَبلَغ	N;SG	N;NOM;DEF;SG
jumlah	مبلغ	jumlah	مَبلَغ	N;SG	N;NOM;INDF;SG
jumlah	المبلغ	jumlah	مَبلَغ	N;SG	N;NOM;DEF;SG
jumlah	الكمية	jumlah	كَمِّيَّة	N;SG	N;NOM;DEF;SG
jumlah	كمية	jumlah	كَمِّيَّة	N;SG	N;NOM;INDF;SG
kata	كلمة	kata	كَلِمَة	N;SG	N;NOM;INDF;SG
kata	الكلمة	kata	كَلِمَة	N;SG	N;NOM;DEF;SG
penduduk	المقيم	penduduk	مُقِيم	N;SG	N;NOM;DEF;SG
penduduk	مقيم	penduduk	مُقَيَّم	N;SG	N;NOM;INDF;SG
bawah	القاع	bawah	قَاع	N;SG	N;NOM;DEF;SG
bawah	قاع	bawah	قَاع	N;SG	N;NOM;INDF;SG
sebelum	قبل	sebelum	قَبلَ	ADP	ADP;ACC
awal	المبكر	awal	مُبَكِّر	ADJ;SG	ADJ;NOM;DEF;MASC;SG
awal	باكرا	awal	بَاكِر	ADJ;SG	ADJ;ACC;INDF;MASC;SG
awal	مبكرة	awal	مُبَكِّر	ADJ;SG	ADJ;NOM;INDF;FEM;SG
awal	مبكر	awal	مُبَكِّر	ADJ;SG	ADJ;NOM;INDF;MASC;SG
awal	مبكرا	awal	مُبَكِّر	ADJ;SG	ADJ;ACC;INDF;MASC;SG
artikel	مقالة	artikel	مَقَالَة	N;SG	N;NOM;INDF;SG
artikel	مقال	artikel	مَقَال	N;SG	N;NOM;INDF;SG
artikel	المقالة	artikel	مُقَال	N;SG	N;NOM;DEF;SG
artikel	المادة	artikel	مَادَّة	N;SG	N;NOM;DEF;SG
tanduk	القرون	tanduk	قَرن	N	N;NOM;DEF;PL
tanduk	قرون	tanduk	قَرن	N	N;NOM;INDF;PL
tanduk	قرن	tanduk	قَرن	N	N;NOM;INDF;SG
tanduk	القرن	tanduk	قَرن	N	N;NOM;DEF;SG
karya	تحفة	karya	حَفَص	N;SG	N;NOM;INDF;SG
tanah	الارض	tanah	أَرض	N;SG	N;NOM;DEF;SG
tanah	تربة	tanah	تَربَة	N;SG	N;NOM;INDF;SG
tanah	التربة	tanah	تَرَبَّة	N;SG	N;NOM;DEF;SG
tanah	التربة	tanah	تَرَبَّة	N;SG	N;NOM;DEF;SG
abad	قرن	abad	قَرن	N;SG	N;NOM;INDF;SG
abad	القرن	abad	قَرن	N;SG	N;NOM;DEF;SG
