von	從	von	從	ADP	ADP
danach	那麼	danach	那麼	ADV	ADV
danach	後	danach	後	ADV	ADV
fünf	五	fünf	五	NUM	NUM
fünf	五	fünf	五	NUM	NUM
könig	國王	könig	國王	N;NOM;SG	N
form	模具	form	模具	N;SG	N
form	形狀	form	形狀	N;SG	N
form	模具	form	模具	N;SG	N
form	形式	form	形式	N;SG	N
form	表格	form	表格	N;SG	N
schloss	鎖定	schließen	鎖定	V;SG	V
schloss	鎖	schließen	鎖	V;SG	V
gruppe	群組	grappe	群組	N;NOM;FEM;SG	N
gruppe	群	grappe	群	N;NOM;FEM;SG	N
finden	找到	finden	找到	V;NFIN	V
finden	尋找	finden	尋找	V;NFIN	V
neu	新	neu	新	ADJ	ADJ
frage	問題	frage	問題	N;NOM;FEM;SG	N
gehörte	屬	gehören	屬	V;IND;SG;3;PST;FIN	V
kurz	簡短	kurz	簡短	ADJ	ADJ
kurz	簡短	kurz	簡短	ADJ	ADJ
unternehmen	企業	unternehmen	企業	N;NOM;NEUT;PL	N
unternehmen	公司	unternehmen	公司	N;NOM;NEUT;PL	N
unternehmen	公司	unternehmen	公司	N;NOM;NEUT;PL	N
unternehmen	企業	unternehmen	企業	N;NOM;NEUT;PL	N
unternehmen	業務	unternehmen	業務	N;NOM;NEUT;PL	N
unternehmen	商業	unternehmen	商業	N;NOM;NEUT;PL	N
unternehmen	商務	unternehmen	商務	N;NOM;NEUT;PL	N
unternehmen	企業	unternehmen	企業	N;NOM;NEUT;PL	N
verwendet	使用	verwenden	使用	V;V.PTCP	V
einfach	只	einfach	只	ADV	ADV
einfach	容易	einfach	容易	ADV	ADV
schließlich	終於	schließlich	終於	ADV	ADV
frau	女人	frau	女人	N;NOM;FEM;SG	N
frau	女	frau	女	N;NOM;FEM;SG	N
frau	女子	frau	女子	N;NOM;FEM;SG	N
frau	妻子	frau	妻子	N;NOM;FEM;SG	N
lassen	讓	lassen	讓	V;NFIN	V;CAUS
fast	幾乎	fast	幾乎	ADV	ADV
trat	加入	treten	加入	V;IND;SG;3;PST;FIN	V
arbeit	工作	arbeit	工作	N;NOM;FEM;SG	N
arbeit	勞工	arbeit	勞工	N;NOM;FEM;SG	N
arbeit	勞力	arbeit	勞力	N;NOM;FEM;SG	N
arbeit	勞工	arbeit	勞工	N;NOM;FEM;SG	N
vielleicht	或	vielleicht	或	ADV	ADV
vielleicht	或	vielleicht	或	ADV	ADV
vielleicht	也	vielleicht	也	ADV	ADV
oft	常常	oft	常常	ADV	ADV
oft	經常	oft	經常	ADV	ADV
oft	時常	oft	時常	ADV	ADV
oft	常常	oft	常常	ADV	ADV
oft	經常	oft	經常	ADV	ADV
oft	經常	oft	經常	ADV	ADV
landkreis	郡	landkreis	郡	N	N
landkreis	縣	landkreis	縣	N	N
landkreis	區	landkreis	區	N	N
landkreis	地區	landkreis	地區	N	N
kategorie	類別	kategorie	類別	N;NOM;FEM;SG	N
kategorie	類別	kategorie	類別	N;NOM;FEM;SG	N
bedeutung	重要	bedeutung	重要	ADJ	ADJ
bedeutung	重要	bedeutung	重要	ADJ	ADJ
welt	世界	welt	世界	N;NOM;FEM;SG	N
welt	全球	welt	全球	N;NOM;FEM;SG	N
anfang	早期	anfang	早期	N;ACC;MASC;SG	N
anfang	開端	anfang	開端	N;ACC;MASC;SG	N
insbesondere	尤其	insbesondere	尤其	ADV	ADV
insbesondere	尤其	insbesondere	尤其	ADV	ADV
haus	屋	haus	屋	N;NOM;NEUT;SG	N
haus	房屋	haus	房屋	N;NOM;NEUT;SG	N
haus	房子	haus	房子	N;NOM;NEUT;SG	N
haus	房屋	haus	房屋	N;NOM;NEUT;SG	N
haus	房子	haus	房子	N;NOM;NEUT;SG	N
haus	家	haus	家	N;NOM;NEUT;SG	N
haus	住家	haus	住家	N;NOM;NEUT;SG	N
fand	找到	finden	找到	V;IND;SG;3;PST;FIN	V
fand	發現	finden	發現	V;IND;SG;3;PST;FIN	V
meist	通常	meist	通常	ADV	ADV
meist	大多	meist	大多	ADV	ADV
meist	大	meist	大	ADV	ADV
meist	大多	meist	大多	ADV	ADV
findet	找到	finden	找到	V;IND;SG;3;PRS;FIN	V
findet	尋找	finden	尋找	V;IND;SG;3;PRS;FIN	V
besonders	尤其	besonders	尤其	ADV	ADV
besonders	尤其	besonders	尤其	ADV	ADV
begriff	片語	begreifen	片語	N;MASC;SG	N
begriff	任期	begreifen	任期	N;MASC;SG	N
begriff	術語	begreifen	術語	N;MASC;SG	N
begriff	學期	begreifen	學期	N;MASC;SG	N
begriff	構想	begreifen	構想	N;MASC;SG	N
begriff	概念	begreifen	概念	N;MASC;SG	N
begriff	理念	begreifen	理念	N;MASC;SG	N
website	網站	websit	網站	N;SG	N
website	網頁	websit	網頁	N;SG	N
website	網站	websit	網站	N;SG	N
website	工地	websit	工地	N;SG	N
folge	插曲	folge	插曲	N;NOM;FEM;SG	N
folge	集	folge	集	N;NOM;FEM;SG	N
folge	序列	folge	序列	N;NOM;FEM;SG	N
folge	數列	folge	數列	N;NOM;FEM;SG	N
folge	順序	folge	順序	N;NOM;FEM;SG	N
einwohner	居民	einwohner	居民	N;NOM;MASC;PL	N
einwohner	人口	einwohner	人口	N;NOM;MASC;PL	N
alten	古老	alt	古老	ADJ;NOM;MASC;PL	ADJ
alten	舊	alt	舊	ADJ;NOM;MASC;PL	ADJ
kinder	小孩	kinder	小孩	N;NOM;NEUT;PL	N
kinder	兒童	kinder	兒童	N;NOM;NEUT;PL	N
gerade	直直	gerade	直直	ADV	ADV
gerade	只	gerade	只	ADV	ADV
sechs	六	sechs	六	NUM	NUM
sechs	六	sechs	六	NUM	NUM
verschiedenen	不同	verschieden	不同	ADJ;NOM;PL	ADJ
museum	博物	museum	博物	N;NOM;NEUT;SG	N
musik	音樂	musik	音樂	N;NOM;FEM;SG	N
thema	題目	thema	題目	N;NOM;NEUT;SG	N
thema	話題	thema	話題	N;NOM;NEUT;SG	N
thema	專題	thema	專題	N;NOM;NEUT;SG	N
thema	主題	thema	主題	N;NOM;NEUT;SG	N
thema	專題	thema	專題	N;NOM;NEUT;SG	N
thema	主題	thema	主題	N;NOM;NEUT;SG	N
thema	主題	thema	主題	N;NOM;NEUT;SG	N
stehen	站立	stehen	站立	V;NFIN	V
stehen	站立	stehen	站立	V;NFIN	V
stehen	站	stehen	站	V;NFIN	V
rolle	捲軸	roll	捲軸	N;NOM;FEM;SG	N
rolle	作用	roll	作用	N;NOM;FEM;SG	N
rolle	角色	roll	角色	N;NOM;FEM;SG	N
rolle	捲軸	roll	捲軸	N;NOM;FEM;SG	N
rolle	作用	roll	作用	N;NOM;FEM;SG	N
rolle	角色	roll	角色	N;NOM;FEM;SG	N
rolle	捲	roll	捲	N;NOM;FEM;SG	N
rolle	卷	roll	卷	N;NOM;FEM;SG	N
damals	然後	damals	然後	ADV	ADV
damals	那麼	damals	那麼	ADV	ADV
werk	工作	werk	工作	N;NOM;NEUT;SG	N
werk	廠	werk	廠	N;NOM;NEUT;SG	N
werk	工廠	werk	工廠	N;NOM;NEUT;SG	N
gewünscht	通緝	wünschen	通緝	V;V.PTCP	V
bau	施工	bau	施工	N;SG	N
bau	建築	bau	建築	N;SG	N
vater	父親	vater	父親	N;NOM;MASC;SG	N
vater	神父	vater	神父	N;NOM;MASC;SG	N
vater	父	vater	父	N;NOM;MASC;SG	N
sehen	見	sehen	見	V;NFIN	V
schule	學校	schule	學校	N;NOM;FEM;SG	N
schule	學校	schule	學校	N;NOM;FEM;SG	N
jeder	大家	jed	大家	PRO;NOM;INDF;MASC;SG	PRO
archivierung	歸檔	archivierung	歸檔	N;NOM;FEM;SG	N
archivierung	檔案	archivierung	檔案	N;NOM;FEM;SG	N
archivierung	歸檔	archivierung	歸檔	N;NOM;FEM;SG	N
archivierung	檔案	archivierung	檔案	N;NOM;FEM;SG	N
dorf	鄉村	dorf	鄉村	N;NOM;NEUT;SG	N
dorf	村	dorf	村	N;NOM;NEUT;SG	N
dorf	村	dorf	村	N;NOM;NEUT;SG	N
dorf	鄉村	dorf	鄉村	N;NOM;NEUT;SG	N
dorf	村	dorf	村	N;NOM;NEUT;SG	N
dorf	村落	dorf	村落	N;NOM;NEUT;SG	N
dorf	村子	dorf	村子	N;NOM;NEUT;SG	N
gesperrt	鎖定	sperren	鎖定	V;V.PTCP	V
stark	強壯	stark	強壯	ADJ	ADJ
stark	強烈	stark	強烈	ADJ	ADJ
stark	堅強	stark	堅強	ADJ	ADJ
gewählt	當選	wählen	當選	V;V.PTCP	V
gewählt	選取	wählen	選取	V;V.PTCP	V
spielen	玩	spielen	玩	V;NFIN	V
spielen	播放	spielen	播放	V;NFIN	V
spielen	玩	spielen	玩	V;NFIN	V
spielen	播放	spielen	播放	V;NFIN	V
sogar	甚至	sogar	甚至	ADV	ADV
wer	誰	wer	誰	PRO;NOM;SG	PRO
version	版	version	版	N;NOM;FEM;SG	N
version	版本	version	版本	N;NOM;FEM;SG	N
tage	日子	tagen	日子	N;NOM;MASC;PL	N
tage	天數	tagen	天數	N;NOM;MASC;PL	N
tage	白天	tagen	白天	N;NOM;MASC;PL	N
werke	工廠	werk	工廠	N;NOM;NEUT;PL	N
werke	工程	werk	工程	N;NOM;NEUT;PL	N
werke	作品	werk	作品	N;NOM;NEUT;PL	N
gegenüber	對	gegenüber	對	ADP	ADP
autor	作者	autor	作者	N;NOM;MASC;SG	N
müssen	必須	müssen	必須	V;IND;PL;3;PRS;FIN	V
spiel	比賽	spielen	比賽	N;NOM;NEUT;SG	N
spiel	遊戲	spielen	遊戲	N;NOM;NEUT;SG	N
spiel	遊戲	spielen	遊戲	N;NOM;NEUT;SG	N
spiel	彈	spielen	彈	N;NOM;NEUT;SG	N
burg	堡壘	burg	堡壘		
serie	系列	serie	系列	N;NOM;FEM;SG	N
verschiedene	不同	verschieden	不同	ADJ;NOM;FEM;PL	ADJ
tag	標記	tagen	標記	N;NOM;MASC;SG	N
tag	標籤	tagen	標籤	N;NOM;MASC;SG	N
tag	白天	tagen	白天	N;NOM;MASC;SG	N
sollten	應	sollen	應	V;IND;PL;3;PST;FIN	V
errichtet	建	errichten	建	V;V.PTCP	V
einsatz	用法	einsatz	用法	N	N
einsatz	用量	einsatz	用量	N	N
einsatz	部署	einsatz	部署	N	N
jahres	年度	jahres	年度	N;NOM;NEUT;SG	N
jahres	年份	jahres	年份	N;NOM;NEUT;SG	N
jahres	年	jahres	年	N;NOM;NEUT;SG	N
krieg	戰	kriegen	戰	N	N
krieg	戰爭	kriegen	戰爭	N	N
krieg	戰爭	kriegen	戰爭	N	N
besser	更好	gut	更好	ADJ	ADJ
meisten	最多	meist	最多	ADJ;NOM;INDF;PL	ADJ
meisten	多數	meist	多數	ADJ;NOM;INDF;PL	ADJ
sprache	語言	sprechen	語言	N;NOM;FEM;SG	N
sprache	語文	sprechen	語文	N;NOM;FEM;SG	N
sprache	講話	sprechen	講話	N;NOM;FEM;SG	N
sprache	演講	sprechen	演講	N;NOM;FEM;SG	N
sprache	語音	sprechen	語音	N;NOM;FEM;SG	N
sprache	語言	sprechen	語言	N;NOM;FEM;SG	N
sprache	語	sprechen	語	N;NOM;FEM;SG	N
sprache	語文	sprechen	語文	N;NOM;FEM;SG	N
zeigt	展示	zeigen	展示	V;IND;SG;3;PRS;FIN	V
zeigt	顯示	zeigen	顯示	V;IND;SG;3;PRS;FIN	V
zeigt	顯示	zeigen	顯示	V;IND;SG;3;PRS;FIN	V
kunst	藝術	kunst	藝術	N;NOM;FEM;SG	N
kunst	美術	kunst	美術	N;NOM;FEM;SG	N
kunst	藝術	kunst	藝術	N;NOM;FEM;SG	N
kunst	藝術	kunst	藝術	N;NOM;FEM;SG	N
auswahl	甄選	auswahl	甄選	N;NOM;SG	N
alter	舊	alt	舊	ADJ	ADJ
gemeinden	公社	gemeinden	公社	N;NOM;FEM;PL	N
gemeinden	市鎮	gemeinden	市鎮	N;NOM;FEM;PL	N
gemeinden	市	gemeinden	市	N;NOM;FEM;PL	N
gemeinden	市鎮	gemeinden	市鎮	N;NOM;FEM;PL	N
gemeinden	城鎮	gemeinden	城鎮	N;NOM;FEM;PL	N
professor	教授	professor	教授	N;NOM;MASC;SG	N
ebenso	還	ebenso	還	ADV	ADV
ebenso	也	ebenso	也	ADV	ADV
ebenso	同樣	ebenso	同樣	ADV	ADV
gemacht	完成	machen	完成	V;V.PTCP	V
kleinen	小	klein	小	ADJ;PL	ADJ
kleinen	微小	klein	微小	ADJ;PL	ADJ
erwähnt	提及	erwähnen	提及	V;V.PTCP	V
meister	主人	meist	主人	N;NOM;MASC;SG	N
meister	大師	meist	大師	N;NOM;MASC;SG	N
meister	師父	meist	師父	N;NOM;MASC;SG	N
meister	師傅	meist	師傅	N;NOM;MASC;SG	N
meister	冠軍	meist	冠軍	N;NOM;MASC;SG	N
meister	冠軍	meist	冠軍	N;NOM;MASC;SG	N
insel	海島	insel	海島	N;NOM;FEM;SG	N
insel	島嶼	insel	島嶼	N;NOM;FEM;SG	N
veröffentlicht	獲釋	veröffentlichen	獲釋	V;V.PTCP	V
veröffentlicht	出版	veröffentlichen	出版	V;V.PTCP	V
veröffentlicht	發表	veröffentlichen	發表	V;V.PTCP	V
sieben	七七	sieben	七七	NUM	NUM
sieben	七	sieben	七	NUM	NUM
sieben	七	sieben	七	NUM	NUM
alte	古老	alt	古老	ADJ;NOM;FEM;PL	ADJ
alte	舊	alt	舊	ADJ;NOM;FEM;PL	ADJ
problem	問題	probel	問題	N;NOM;SG	N
problem	麻煩	probel	麻煩	N;NOM;SG	N
gleichen	相同	gleich	相同	ADJ;NOM;MASC;PL	ADJ
mitglieder	會員	mitglied	會員	N;NOM;NEUT;PL	N
mitglieder	成員	mitglied	成員	N;NOM;NEUT;PL	N
mitglieder	成員	mitglied	成員	N;NOM;NEUT;PL	N
betrieb	運算	betreiben	運算	V;IND;SG;3;PST;FIN	V
betrieb	操作	betreiben	操作	V;IND;SG;3;PST;FIN	V
betrieb	持有	betreiben	持有	V;IND;SG;3;PST;FIN	V
betrieb	控股	betreiben	控股	V;IND;SG;3;PST;FIN	V
eben	只	eben	只	ADV	ADV
nie	從來	nie	從來	ADV	ADV
arten	魚種	arten	魚種	N;PL	N
arten	物種	arten	物種	N;PL	N
arten	類型	arten	類型	N;PL	N
geboren	生	gebären	生	V;V.PTCP	V
geboren	誕生	gebären	誕生	V;V.PTCP	V
geboren	出生	gebären	出生	V;V.PTCP	V
sitz	總部	sitz	總部	N;NOM;MASC;SG	N
sitz	總部	sitz	總部	N;NOM;MASC;SG	N
sitz	座位	sitz	座位	N;NOM;MASC;SG	N
zog	感動	ziehen	感動	V;IND;SG;3;PST;FIN	V
wasser	水	wasser	水	N;NOM;NEUT;SG	N
wasser	水域	wasser	水域	N;NOM;NEUT;SG	N
zehn	十	zehn	十	NUM	NUM
zehn	十	zehn	十	NUM	NUM
system	系統	system	系統	N;NOM;NEUT;SG	N
system	系統	system	系統	N;NOM;NEUT;SG	N
bilder	影像	Bild	影像	N;NOM;NEUT;PL	N
bilder	圖片	Bild	圖片	N;NOM;NEUT;PL	N
bilder	圖片	Bild	圖片	N;NOM;NEUT;PL	N
bilder	像片	Bild	像片	N;NOM;NEUT;PL	N
bilder	圖畫	Bild	圖畫	N;NOM;NEUT;PL	N
bilder	照片	Bild	照片	N;NOM;NEUT;PL	N
bilder	像片	Bild	像片	N;NOM;NEUT;PL	N
bilder	照片	Bild	照片	N;NOM;NEUT;PL	N
sollen	應	sollen	應	V;IND;PL;3;PRS;FIN	V
enthält	含有	enthalten	含有	V;IND;SG;3;PRS;FIN	V
enthält	包含	enthalten	包含	V;IND;SG;3;PRS;FIN	V
enthält	包括	enthalten	包括	V;IND;SG;3;PRS;FIN	V
beitrag	郵政	beitregen	郵政	N;SG	N
linie	世系	linie	世系	N	N
linie	血統	linie	血統	N	N
linie	線	linie	線	N	N
linie	線路	linie	線路	N	N
bahnhof	火車	bahnhof	火車	N;NOM;MASC;SG	N
bahnhof	列車	bahnhof	列車	N;NOM;MASC;SG	N
bahnhof	站	bahnhof	站	N;NOM;MASC;SG	N
bahnhof	車站	bahnhof	車站	N;NOM;MASC;SG	N
acht	八	acht	八	NUM	NUM
acht	八	acht	八	NUM	NUM
scheint	看	scheinen	看	V;IND;SG;3;PRS;FIN	V
ziel	目標	ziel	目標	N;NOM;NEUT;SG	N
ziel	目	ziel	目	N;NOM;NEUT;SG	N
ziel	目標	ziel	目標	N;NOM;NEUT;SG	N
ziel	目標	ziel	目標	N;NOM;NEUT;SG	N
ziel	目標	ziel	目標	N;NOM;NEUT;SG	N
lediglich	只	lediglich	只	ADV	ADV
sieht	看	sehen	看	V;IND;SG;3;PRS;FIN	V
per	通過	per	通過	ADP	ADP
per	經	per	經	ADP	ADP
roman	小說	roman	小說	N;NOM;MASC;SG	N
liga	聯盟	liga	聯盟	N;NOM;FEM;SG	N
liga	同盟	liga	同盟	N;NOM;FEM;SG	N
liga	聯賽	liga	聯賽	N;NOM;FEM;SG	N
spiele	火柴	spiel	火柴	N;NOM;NEUT;PL	N
spiele	彈	spiel	彈	N;NOM;NEUT;PL	N
spiele	遊戲	spiel	遊戲	N;NOM;NEUT;PL	N
folgen	跟	folgen	跟	V;NFIN	V
uhr	手錶	uhr	手錶	N;NOM;FEM;SG	N
uhr	鐘	uhr	鐘	N;NOM;FEM;SG	N
uhr	時鐘	uhr	時鐘	N;NOM;FEM;SG	N
geben	輸入	geben	輸入	V;NFIN	V
meinung	意見	meinung	意見	N;NOM;FEM;SG	N
meinung	意見	meinung	意見	N;NOM;FEM;SG	N
genutzt	被	nutzen	被	V;V.PTCP	V;PASS
armee	集團	arme	集團	N;NOM;FEM;SG	N
armee	軍隊	arme	軍隊	N;NOM;FEM;SG	N
armee	軍	arme	軍	N;NOM;FEM;SG	N
armee	陸軍	arme	陸軍	N;NOM;FEM;SG	N
aufgenommen	包括	aufnehmen	包括	V;V.PTCP	V
strecke	路線	strecken	路線	N;SG	N
strecke	線	strecken	線	N;SG	N
strecke	線路	strecken	線路	N;SG	N
strecke	軌跡	strecken	軌跡	N;SG	N
strecke	小徑	strecken	小徑	N;SG	N
gefunden	找到	finden	找到	V;V.PTCP	V
gefunden	發現	finden	發現	V;V.PTCP	V
daten	日期	daten	日期	N;NOM;NEUT;PL	N
daten	資料	daten	資料	N;NOM;NEUT;PL	N
erledigt	完成	erledigen	完成	V;V.PTCP	V
erledigt	完成	erledigen	完成	V;V.PTCP	V
theater	劇院	theat	劇院	N;NOM;SG	N
theater	戲院	theat	戲院	N;NOM;SG	N
theater	電影	theat	電影	N;NOM;SG	N
theater	劇場	theat	劇場	N;NOM;SG	N
theater	戲劇	theat	戲劇	N;NOM;SG	N
theater	劇院	theat	劇院	N;NOM;SG	N
theater	戲院	theat	戲院	N;NOM;SG	N
theater	劇場	theat	劇場	N;NOM;SG	N
theater	戰區	theat	戰區	N;NOM;SG	N
theater	戲劇	theat	戲劇	N;NOM;SG	N
theater	劇院	theat	劇院	N;NOM;SG	N
theater	戲院	theat	戲院	N;NOM;SG	N
hilfe	援助	helfen	援助	N;NOM;FEM;SG	N
hilfe	援助	helfen	援助	N;NOM;FEM;SG	N
reich	豐富	reich	豐富	ADJ	ADJ
überhaupt	甚至	überhaupt	甚至	ADV	ADV
besten	最好	gut	最好	ADJ	ADJ
republik	共和	republik	共和	N;NOM;FEM;SG	N
republik	共和	republik	共和	N;NOM;FEM;SG	N
fragen	提問	fragen	提問	V;NFIN	V
nähe	親近	nähe	親近	N;NOM;FEM;SG	N
nähe	附近	nähe	附近	N;NOM;FEM;SG	N
nähe	周邊	nähe	周邊	N;NOM;FEM;SG	N
nähe	鄰近	nähe	鄰近	N;NOM;FEM;SG	N
nähe	附近	nähe	附近	N;NOM;FEM;SG	N
besuchte	出席	besuchen	出席	V;IND;SG;3;PST;FIN	V
groß	偉大	groß	偉大	ADJ	ADJ
groß	高大	groß	高大	ADJ	ADJ
geschrieben	書寫	schreiben	書寫	V;V.PTCP	V
geschrieben	撰寫	schreiben	撰寫	V;V.PTCP	V
gerne	高興	gerne	高興	ADV	ADV
spielt	播放	spielen	播放	V;IND;SG;3;PRS;FIN	V
finde	找到	finden	找到	V;IND;SG;2;PRS;FIN	V
finde	尋找	finden	尋找	V;IND;SG;2;PRS;FIN	V
führen	領先	führen	領先	V;NFIN	V
führen	帶頭	führen	帶頭	V;NFIN	V
ausbildung	學徒	ausbildung	學徒	N;FEM;SG	N
ausbildung	培訓	ausbildung	培訓	N;FEM;SG	N
ausbildung	教育	ausbildung	教育	N;FEM;SG	N
ausbildung	學歷	ausbildung	學歷	N;FEM;SG	N
wort	詞	wort	詞	N;NOM;NEUT;SG	N
wort	單詞	wort	單詞	N;NOM;NEUT;SG	N
wort	字	wort	字	N;NOM;NEUT;SG	N
wort	單字	wort	單字	N;NOM;NEUT;SG	N
zahl	整數	zahl	整數	N;NOM;FEM;SG	N
