csak	ちょうど	csak	ちょうど	ADV	ADV
szövetség	アライアンス	szövetség	アライアンス	N;NOM;SG	N
szövetség	連邦	szövetség	連邦	N;NOM;SG	N
szövetség	社団	szövetség	社団	N;NOM;SG	N
szövetség	協会	szövetség	協会	N;NOM;SG	N
szövetség	アソシエーション	szövetség	アソシエーション	N;NOM;SG	N
része	パート	rész	パート	N;NOM;SG	N
része	部分	rész	部分	N;NOM;SG	N
kis	小さな	kis	小さな	ADJ;NOM;SG	ADJ
kis	小さい	kis	小さい	ADJ;NOM;SG	ADJ
kis	小さい	kis	小さい	ADJ;NOM;SG	ADJ
templom	寺院	templom	寺院	N;NOM;SG	N
templom	神殿	templom	神殿	N;NOM;SG	N
templom	教会堂	templom	教会堂	N;NOM;SG	N
templom	教会	templom	教会	N;NOM;SG	N
elhunyt	合格	el+huny	合格	V;INDF;IND;SG;3;PST;FIN;ACT	V
hivatkozások	参考	hivatkozás	参考	N;NOM;PL	N
kapott	受け取り	kap	受け取る	V;INDF;IND;SG;3;PST;FIN;ACT	V
kapott	受信	kap	受信	V;INDF;IND;SG;3;PST;FIN;ACT	V
család	家族	család	家族	N;NOM;SG	N
falu	村落	falu	村落	N;NOM;SG	N
falu	ヴィレッジ	falu	ヴィレッジ	N;NOM;SG	N
neve	名前	név	名前	N;NOM;SG	N
neve	氏名	név	氏名	N;NOM;SG	N
neve	名称	név	名称	N;NOM;SG	N
szett	集合	szett	集合	N;NOM;SG	N
szett	セット	szett	セット	N;NOM;SG	N
film	映画	film	映画	N;NOM;SG	N
film	ムービー	film	ムービー	N;NOM;SG	N
film	映画	film	映画	N;NOM;SG	N
film	フィルム	film	フィルム	N;NOM;SG	N
éve	イヤー	év	イヤー	N;NOM;SG	N
adott	与え	ad	与える	V;INDF;IND;SG;3;PST;FIN;ACT	V
jegyzőkönyv	議定	jegyzőkönyv	議定	N;NOM;SG	N
jegyzőkönyv	プロトコル	jegyzőkönyv	プロトコル	N;NOM;SG	N
bajnokság	チャンピオンシップ	bajnokság	チャンピオンシップ	N;NOM;SG	N
bajnokság	選手権	bajnokság	選手権	N;NOM;SG	N
bajnokság	トーナメント	bajnokság	トーナメント	N;NOM;SG	N
szó	ワード	szó	ワード	N;NOM;SG	N
szó	言葉	szó	言葉	N;NOM;SG	N
szó	単語	szó	単語	N;NOM;SG	N
kiadó	パブリッシャー	kiadó	パブリッシャー	N;NOM;SG	N
kiadó	出版社	kiadó	出版社	N;NOM;SG	N
kiadó	レンタル	kiadó	レンタル	N;NOM;SG	N
kiadó	家賃	kiadó	家賃	N;NOM;SG	N
kiadó	パブリッシング	kiadó	パブリッシング	N;NOM;SG	N
sorozat	シリーズ	sorozat	シリーズ	N;NOM;SG	N
sorozat	シリアル	sorozat	シリアル	N;NOM;SG	N
lap	シート	lap	シート	N;NOM;SG	N
lap	ジャーナル	lap	ジャーナル	N;NOM;SG	N
lap	日記	lap	日記	N;NOM;SG	N
lap	タブ	lap	タブ	N;NOM;SG	N
cikk	記事	cikk	記事	N;NOM;SG	N
cikk	冠詞	cikk	冠詞	N;NOM;SG	N
száma	番号	szám	番号	N;NOM;SG	N
száma	数値	szám	数値	N;NOM;SG	N
száma	ナンバー	szám	ナンバー	N;NOM;SG	N
község	市町村	község	市町村	N;NOM;SG	N
csoport	集団	csoport	集団	N;NOM;SG	N
csoport	グループ	csoport	グループ	N;NOM;SG	N
író	作家	író	作家	N;NOM;SG	N
író	ライター	író	ライター	N;NOM;SG	N
író	作家	író	作家	N;NOM;SG	N
író	著者	író	著者	N;NOM;SG	N
író	作者	író	作者	N;NOM;SG	N
férfi	男性	férfi	男性	N;NOM;SG	N
férfi	オス	férfi	オス	N;NOM;SG	N
férfi	男性	férfi	男性	N;NOM;SG	N
férfi	メン	férfi	メン	N;NOM;SG	N
férfi	男性	férfi	男性	N;NOM;SG	N
ember	ヒト	ember	ヒト	N;NOM;SG	N
ember	ヒューマン	ember	ヒューマン	N;NOM;SG	N
ember	人間	ember	人間	N;NOM;SG	N
ember	男性	ember	男性	N;NOM;SG	N
fontos	重要	fontos	重要	ADJ;NOM;SG	ADJ
faj	人種	faj	人種	N;NOM;SG	N
faj	競走	faj	競走	N;NOM;SG	N
faj	レース	faj	レース	N;NOM;SG	N
mindig	常に	mindig	常に	ADV	ADV
mindig	いつも	mindig	いつも	ADV	ADV
újra	再び	újra	再び	ADV	ADV
stadion	スタジアム	stadion	スタジアム	N;NOM;SG	N
kisebb	小さい	kis	小さい	ADJ;NOM;CMPR;SG	ADJ
inkább	むしろ	inkább	むしろ	ADV	ADV
maradt	滞在	marad	滞在	V;INDF;IND;SG;3;PST;FIN;ACT	V
rendező	監督	rendező	監督	N;NOM;SG	N
rendező	取締役	rendező	取締役	N;NOM;SG	N
helyszín	会場	helyszín	会場	N;NOM;SG	N
helyszín	所在	helyszín	所在	N;NOM;SG	N
helyszín	ロケーション	helyszín	ロケーション	N;NOM;SG	N
helyszín	場所	helyszín	場所	N;NOM;SG	N
helyszín	サイト	helyszín	サイト	N;NOM;SG	N
helyszín	敷地	helyszín	敷地	N;NOM;SG	N
nyelv	言語	nyelv	言語	N;NOM;SG	N
háború	戦争	háború	戦争	N;NOM;SG	N
jobb	ベター	jó	ベター	ADJ;NOM;CMPR;SG	ADJ
egyetem	大学	egyetem	大学	N;NOM;SG	N
egyetem	カレッジ	egyetem	カレッジ	N;NOM;SG	N
egyetem	大学	egyetem	大学	N;NOM;SG	N
hely	場所	hely	場所	N;NOM;SG	N
hely	スポット	hely	スポット	N;NOM;SG	N
hely	所在	hely	所在	N;NOM;SG	N
hely	ロケーション	hely	ロケーション	N;NOM;SG	N
hely	場所	hely	場所	N;NOM;SG	N
utca	ストリート	utca	ストリート	N;NOM;SG	N
utca	通り	utca	通り	N;NOM;SG	N
szám	番号	szám	番号	N;NOM;SG	N
szám	数値	szám	数値	N;NOM;SG	N
szám	ナンバー	szám	ナンバー	N;NOM;SG	N
tovább	さらに	tovább	さらに	ADV	ADV
félidő	ハーフタイム	félidő	ハーフタイム	N;NOM;SG	N
szemben	反対	szemben	反対		
nap	太陽	nap	太陽	N;NOM;SG	N
nap	一日	nap	一日	N;NOM;SG	N
változott	変更	változik	変更	V;INDF;IND;SG;3;PST;FIN;ACT	V
története	記事	történet	記事	N;NOM;SG	N
története	ストーリー	történet	ストーリー	N;NOM;SG	N
története	物語	történet	物語	N;NOM;SG	N
múzeum	美術館	múzeum	美術館	N;NOM;SG	N
múzeum	博物館	múzeum	博物館	N;NOM;SG	N
múzeum	美術館	múzeum	美術館	N;NOM;SG	N
múzeum	博物館	múzeum	博物館	N;NOM;SG	N
forrás	ソース	forrás	ソース	N;NOM;SG	N
forrás	出典	forrás	出典	N;NOM;SG	N
forrás	リソース	forrás	リソース	N;NOM;SG	N
forrás	資源	forrás	資源	N;NOM;SG	N
forrás	ソース	forrás	ソース	N;NOM;SG	N
forrás	出典	forrás	出典	N;NOM;SG	N
név	名前	név	名前	N;NOM;SG	N
név	氏名	név	氏名	N;NOM;SG	N
név	名称	név	名称	N;NOM;SG	N
kupa	カップ	kupa	カップ	N;NOM;SG	N
kupa	コップ	kupa	コップ	N;NOM;SG	N
terület	縄張り	terület	縄張り	N;NOM;SG	N
terület	面積	terület	面積	N;NOM;SG	N
terület	領域	terület	領域	N;NOM;SG	N
terület	エリア	terület	エリア	N;NOM;SG	N
végzett	卒業	végez	卒業	V;INDF;IND;SG;3;PST;FIN;ACT	V
herceg	公爵	herceg	公爵	N;NOM;SG	N
herceg	プリンス	herceg	プリンス	N;NOM;SG	N
magas	高い	magas	高い	ADJ;NOM;SG	ADJ
magas	高い	magas	高い	ADJ;NOM;SG	ADJ
azok	それら	az	それら	PRO;NOM;PL;3	PRO
színház	劇場	színház	劇場	N;NOM;SG	N
színház	シアター	színház	シアター	N;NOM;SG	N
színház	演劇	színház	演劇	N;NOM;SG	N
színház	演劇	színház	演劇	N;NOM;SG	N
színház	劇場	színház	劇場	N;NOM;SG	N
elsősorban	主に	elsősorban	主に	ADV	ADV
elsősorban	主に	elsősorban	主に	ADV	ADV
millió	百万	millió	百万	NUM;NOM;SG	NUM
köztársaság	共和制	köztársaság	共和制	N;NOM;SG	N
köztársaság	共和国	köztársaság	共和国	N;NOM;SG	N
vendég	顧客	vendég	顧客	N;NOM;SG	N
oldal	ページ	oldal	ページ	N;NOM;SG	N
idő	タイム	idő	タイム	N;NOM;SG	N
idő	時間	idő	時間	N;NOM;SG	N
rendszer	システム	rendszer	システム	N;NOM;SG	N
album	アルバム	album	アルバム	N;NOM;SG	N
tanár	教員	tanár	教員	N;NOM;SG	N
tanár	教師	tanár	教師	N;NOM;SG	N
tanár	先生	tanár	先生	N;NOM;SG	N
szerkesztő	エディタ	szerkesztő	エディタ	N;NOM;SG	N
méter	メートル	méter	メートル	N;NOM;SG	N
méter	メートル	méter	メートル	N;NOM;SG	N
méter	メートル	méter	メートル	N;NOM;SG	N
méter	メーター	méter	メーター	N;NOM;SG	N
méter	メーター	méter	メーター	N;NOM;SG	N
színész	俳優	színész	俳優	N;NOM;SG	N
ház	ハウス	ház	ハウス	N;NOM;SG	N
iskola	学校	iskola	学校	N;NOM;SG	N
iskola	流派	iskola	流派	N;NOM;SG	N
iskola	学校	iskola	学校	N;NOM;SG	N
iskola	スクール	iskola	スクール	N;NOM;SG	N
költő	詩人	költő	詩人	N;NOM;SG	N
költő	歌人	költő	歌人	N;NOM;SG	N
ideje	タイム	idő	タイム	N;NOM;SG	N
ideje	時間	idő	時間	N;NOM;SG	N
hét	週間	hét	週間	N;NOM;SG	N
bajnok	チャンプ	bajn	チャンプ	N;NOM;SG	N
bajnok	チャンピオン	bajn	チャンピオン	N;NOM;SG	N
állam	都道府県	állam	都道府県	N;NOM;SG	N
állam	状態	állam	状態	N;NOM;SG	N
emberek	男性	ember	男性	N;NOM;PL	N
emberek	メン	ember	メン	N;NOM;PL	N
emberek	ヒト	ember	ヒト	N;NOM;PL	N
emberek	ピープル	ember	ピープル	N;NOM;PL	N
tartott	開催	tart	開催	V;INDF;IND;SG;3;PST;FIN;ACT	V
dal	歌曲	dal	歌曲	N;NOM;SG	N
dal	ソング	dal	ソング	N;NOM;SG	N
ezeket	これら	ez	これら	PRO;ACC;PL;3	PRO
ezeket	これら	ez	これら	PRO;ACC;PL;3	PRO
miért	なぜ	miért	なぜ	ADV	ADV
birodalom	帝国	birodalom	帝国	N;NOM;SG	N
birodalom	帝政	birodalom	帝政	N;NOM;SG	N
tér	正方	tér	正方	N;NOM;SG	N
tér	広場	tér	広場	N;NOM;SG	N
tér	スペース	tér	スペース	N;NOM;SG	N
tér	空間	tér	空間	N;NOM;SG	N
park	パーク	park	パーク	N;NOM;SG	N
park	公園	park	公園	N;NOM;SG	N
utóbbi	後者	utóbbi	後者	N;NOM;SG	N
kör	サークル	kör	サークル	N;NOM;SG	N
kör	ラウンド	kör	ラウンド	N;NOM;SG	N
sablon	テンプレート	sablon	テンプレート	N;NOM;SG	N
járás	地区	járás	地区	N;NOM;SG	N
minta	サンプリング	minta	サンプリング	N;NOM;SG	N
minta	サンプル	minta	サンプル	N;NOM;SG	N
minta	パターン	minta	パターン	N;NOM;SG	N
minta	モデル	minta	モデル	N;NOM;SG	N
játékok	ゲーム	játék	ゲーム	N;NOM;PL	N
játékok	おもちゃ	játék	おもちゃ	N;NOM;PL	N
források	ソース	forrás	ソース	N;NOM;PL	N
források	出典	forrás	出典	N;NOM;PL	N
források	負債	forrás	負債	N;NOM;PL	N
források	リソース	forrás	リソース	N;NOM;PL	N
források	資源	forrás	資源	N;NOM;PL	N
csapatok	チーム	csapat	チーム	N;NOM;PL	N
föld	地球	föld	地球	N;NOM;SG	N
föld	アース	föld	アース	N;NOM;SG	N
föld	ランド	föld	ランド	N;NOM;SG	N
föld	土地	föld	土地	N;NOM;SG	N
tagjai	メンバー	tag	メンバー	N;NOM;PL	N
kormány	政府	kormány	政府	N;NOM;SG	N
hadsereg	軍事	hadsereg	軍事	N;NOM;SG	N
hadsereg	軍隊	hadsereg	軍隊	N;NOM;SG	N
hadsereg	軍隊	hadsereg	軍隊	N;NOM;SG	N
hadsereg	陸軍	hadsereg	陸軍	N;NOM;SG	N
királyság	王国	királyság	王国	N;NOM;SG	N
szerepet	役割	szerep	役割	N;ACC;SG	N
cím	肩書	cím	肩書	N;NOM;SG	N
cím	称号	cím	称号	N;NOM;SG	N
cím	タイトル	cím	タイトル	N;NOM;SG	N
cím	アドレス	cím	アドレス	N;NOM;SG	N
cím	住所	cím	住所	N;NOM;SG	N
játékos	プレイヤー	játékos	プレイヤー	N;NOM;SG	N
játékos	プレーヤー	játékos	プレーヤー	N;NOM;SG	N
játékos	ゲーマー	játékos	ゲーマー	N;NOM;SG	N
élet	生命	élet	生命	N;NOM;SG	N
élet	人生	élet	人生	N;NOM;SG	N
élet	ライフ	élet	ライフ	N;NOM;SG	N
nyert	勝利	nyert	勝利	V;INDF;IND;SG;3;PST;FIN;ACT	V
törvény	法律	törvény	法律	N;NOM;SG	N
törvény	法学	törvény	法学	N;NOM;SG	N
hatalmas	巨大	hatalmas	巨大	ADJ;NOM;SG	ADJ
akadémia	アカデミー	akadémia	アカデミー	N;NOM;SG	N
irodalom	文学	irodalom	文学	N;NOM;SG	N
irodalom	文芸	irodalom	文芸	N;NOM;SG	N
társaság	会社	társaság	会社	N;NOM;SG	N
szöveg	テキスト	szöveg	テキスト	N;NOM;SG	N
szöveg	歌詞	szöveg	歌詞	N;NOM;SG	N
szöveg	作詞	szöveg	作詞	N;NOM;SG	N
területe	縄張り	terület	縄張り	N;NOM;SG	N
rész	パート	rész	パート	N;NOM;SG	N
rész	部分	rész	部分	N;NOM;SG	N
rész	エピソード	rész	エピソード	N;NOM;SG	N
sugárzás	放射線	sugárzás	放射線	N;NOM;SG	N
sugárzás	放射	sugárzás	放射	N;NOM;SG	N
filmek	映画	film	映画	N;NOM;PL	N
mérkőzés	マッチ	mérkőzés	マッチ	N;NOM;SG	N
képek	画像	kép	画像	N;NOM;PL	N
képek	イメージ	kép	イメージ	N;NOM;PL	N
kor	年齢	kor	年齢	N;NOM;SG	N
egyszer	一度	egyszer	一度	ADV	ADV
épület	建物	épület	建物	N;NOM;SG	N
politikus	政治家	politikus	政治家	N;NOM;SG	N
tartomány	ドメイン	tartomány	ドメイン	N;NOM;SG	N
tartomány	範囲	tartomány	範囲	N;NOM;SG	N
tartomány	レンジ	tartomány	レンジ	N;NOM;SG	N
vár	待ち	vár	待つ	V;INDF;IND;SG;3;PRS;FIN;ACT	V
művészeti	芸術	művészeti	芸術	N;NOM;SG	N
adatok	データ	adat	データ	N;NOM;PL	N
honlap	ウェブ	honlap	ウェブ	N;NOM;SG	N
honlap	ホームページ	honlap	ホームページ	N;NOM;SG	N
természetes	自然	természetes	自然	ADJ;NOM;SG	ADJ
kiemelt	注目	kiemelt	注目	V;INDF;IND;SG;3;PST;FIN;ACT	V
csata	バトル	csata	バトル	N;NOM;SG	N
tanult	学習	tanult	学習	V;INDF;IND;SG;3;PST;FIN;ACT	V
játék	ゲーム	játék	ゲーム	N;NOM;SG	N
játék	おもちゃ	játék	おもちゃ	N;NOM;SG	N
játék	ゲーム	játék	ゲーム	N;NOM;SG	N
könyv	書物	könyv	書物	N;NOM;SG	N
könyv	ブック	könyv	ブック	N;NOM;SG	N
könyv	書物	könyv	書物	N;NOM;SG	N
könyv	帳簿	könyv	帳簿	N;NOM;SG	N
könyv	書籍	könyv	書籍	N;NOM;SG	N
intézet	研究所	intézet	研究所	N;NOM;SG	N
egyház	教会堂	egyház	教会堂	N;NOM;SG	N
egyház	教会	egyház	教会	N;NOM;SG	N
barlang	洞窟	barlang	洞窟	N;NOM;SG	N
üzenet	メッセージ	üzenet	メッセージ	N;NOM;SG	N
üzenet	伝言	üzenet	伝言	N;NOM;SG	N
tartalmazza	含む	tartalmaz	含む	V;DEF;IND;SG;3;PRS;FIN;ACT	V
tartalmazza	含む	tartalmaz	含む	V;DEF;IND;SG;3;PRS;FIN;ACT	V
regény	小説	regény	小説	N;NOM;SG	N
regény	小説	regény	小説	N;NOM;SG	N
osztály	階級	osztály	階級	N;NOM;SG	N
osztály	クラス	osztály	クラス	N;NOM;SG	N
lakosság	人口	lakosság	人口	N;NOM;SG	N
széles	ワイド	széles	ワイド	N;NOM;SG	N
file	ファイル	file	ファイル	N;NOM;SG	N
írók	作家	író	作家	N;NOM;PL	N
írók	作家	író	作家	N;NOM;PL	N
írók	著者	író	著者	N;NOM;PL	N
írók	作者	író	作者	N;NOM;PL	N
aszteroida	小惑星	aszteroida	小惑星	N;NOM;SG	N
egyszerű	シンプル	egyszerű	シンプル	ADJ;NOM;SG	ADJ
egyszerű	簡単	egyszerű	簡単	ADJ;NOM;SG	ADJ
egyszerű	単純	egyszerű	単純	ADJ;NOM;SG	ADJ
kiadás	エディション	kiadás	エディション	N;NOM;SG	N
kiadás	パブリッシング	kiadás	パブリッシング	N;NOM;SG	N
rend	オーダー	rend	オーダー	N;NOM;SG	N
szakma	職業	szakma	職業	N;NOM;SG	N
verseny	人種	verseny	人種	N;NOM;SG	N
verseny	競走	verseny	競走	N;NOM;SG	N
verseny	レース	verseny	レース	N;NOM;SG	N
verseny	競技	verseny	競技	N;NOM;SG	N
verseny	コンペ	verseny	コンペ	N;NOM;SG	N
verseny	競争	verseny	競争	N;NOM;SG	N
verseny	コンペティション	verseny	コンペティション	N;NOM;SG	N
verseny	コンテスト	verseny	コンテスト	N;NOM;SG	N
verseny	コンテスト	verseny	コンテスト	N;NOM;SG	N
eredmény	結果	eredmény	結果	N;NOM;SG	N
eredmény	結果	eredmény	結果	N;NOM;SG	N
test	本文	test	本文	N;NOM;SG	N
test	身体	test	身体	N;NOM;SG	N
test	本体	test	本体	N;NOM;SG	N
test	ボディ	test	ボディ	N;NOM;SG	N
ének	聖歌	én	聖歌	N;NOM;SG	N
ének	ボーカル	én	ボーカル	N;NOM;SG	N
változat	バージョン	változat	バージョン	N;NOM;SG	N
gól	ゴール	gól	ゴール	N;NOM;SG	N
egyéni	個別	egyéni	個別		
díjak	景品	díj	景品	N;NOM;PL	N
díjak	懸賞	díj	懸賞	N;NOM;PL	N
díjak	賞品	díj	賞品	N;NOM;PL	N
díjak	手数	díj	手数	N;NOM;PL	N
uralkodó	定規	uralkodó	定規	N;NOM;SG	N
uralkodó	皇帝	uralkodó	皇帝	N;NOM;SG	N
uralkodó	天皇	uralkodó	天皇	N;NOM;SG	N
uralkodó	君主	uralkodó	君主	N;NOM;SG	N
zeneszerző	作曲家	zeneszerző	作曲家	N;NOM;SG	N
évad	季節	évad	季節	N;NOM;SG	N
évad	シーズン	évad	シーズン	N;NOM;SG	N
program	プログラム	program	プログラム	N;NOM;SG	N
program	プログラム	program	プログラム	N;NOM;SG	N
szezon	季節	szez	季節	N;NOM;SG	N
szezon	シーズン	szez	シーズン	N;NOM;SG	N
nők	女性	nő	女性	N;NOM;PL	N
bizottság	手数	bizottság	手数	N;NOM;SG	N
bizottság	コミッション	bizottság	コミッション	N;NOM;SG	N
zenekar	バンド	zenekar	バンド	N;NOM;SG	N
zenekar	オーケストラ	zenekar	オーケストラ	N;NOM;SG	N
színésznő	女優	színésznő	女優	N;NOM;SG	N
színésznő	俳優	színésznő	俳優	N;NOM;SG	N
gitár	ギター	gitár	ギター	N;NOM;SG	N
kötet	音量	kötet	音量	N;NOM;SG	N
kötet	ボリューム	kötet	ボリューム	N;NOM;SG	N
kötet	体積	kötet	体積	N;NOM;SG	N
kötet	ボリューム	kötet	ボリューム	N;NOM;SG	N
kötet	体積	kötet	体積	N;NOM;SG	N
tartalmaz	含む	tartalmaz	含む	V;DEF;IND;SG;3;PRS;FIN;ACT	V
országok	国々	ország	国々	N;NOM;PL	N
munka	職業	munka	職業	N;NOM;SG	N
munka	仕事	munka	仕事	N;NOM;SG	N
munka	ジョブ	munka	ジョブ	N;NOM;SG	N
munka	作業	munka	作業	N;NOM;SG	N
munka	仕事	munka	仕事	N;NOM;SG	N
munka	ワーク	munka	ワーク	N;NOM;SG	N
elnök	大統領	elnök	大統領	N;NOM;SG	N
elnök	社長	elnök	社長	N;NOM;SG	N
elnök	会長	elnök	会長	N;NOM;SG	N
elnök	議長	elnök	議長	N;NOM;SG	N
egység	単位	egység	単位	N;NOM;SG	N
egység	ユニット	egység	ユニット	N;NOM;SG	N
egység	統一	egység	統一	N;NOM;SG	N
egység	単位	egység	単位	N;NOM;SG	N
egység	ユニット	egység	ユニット	N;NOM;SG	N
történet	記事	történet	記事	N;NOM;SG	N
történet	ストーリー	történet	ストーリー	N;NOM;SG	N
történet	物語	történet	物語	N;NOM;SG	N
középkori	中世	középkori	中世	N;NOM;SG	N
cég	会社	cég	会社	N;NOM;SG	N
cég	会社	cég	会社	N;NOM;SG	N
újságíró	ジャーナリスト	újságíró	ジャーナリスト	N;NOM;SG	N
újságíró	リポーター	újságíró	リポーター	N;NOM;SG	N
újságíró	レポーター	újságíró	レポーター	N;NOM;SG	N
írni	書き込み	ír	書き込み	V;NFIN;ACT	V
írni	書く	ír	書く	V;NFIN;ACT	V
írni	書き込む	ír	書き込む	V;NFIN;ACT	V
víz	ウォーター	víz	ウォーター	N;NOM;SG	N
forradalom	革命	forradalom	革命	N;NOM;SG	N
forradalom	レボリューション	forradalom	レボリューション	N;NOM;SG	N
hamarosan	まも	hamarosan	まも	ADV	ADV
hamarosan	もう	hamarosan	もう	ADV	ADV
vasúti	鉄道	vasúti	鉄道	N;NOM;SG	N
egyesület	社団	egyesület	社団	N;NOM;SG	N
egyesület	協会	egyesület	協会	N;NOM;SG	N
egyesület	アソシエーション	egyesület	アソシエーション	N;NOM;SG	N
vége	エンド	vég	エンド	N;NOM;SG	N
hercegnő	公爵夫人	hercegnő	公爵夫人	N;NOM;SG	N
hercegnő	王女	hercegnő	王女	N;NOM;SG	N
hercegnő	プリンセス	hercegnő	プリンセス	N;NOM;SG	N
szervezet	団体	szervezet	団体	N;NOM;SG	N
szervezet	組織	szervezet	組織	N;NOM;SG	N
szervezet	組織	szervezet	組織	N;NOM;SG	N
akadémiai	アカデミック	akadémiai	アカデミック	N;NOM;SG	N
tagok	メンバー	tag	メンバー	N;NOM;PL	N
óra	時間	óra	時間	N;NOM;SG	N
óra	クロック	óra	クロック	N;NOM;SG	N
óra	時計	óra	時計	N;NOM;SG	N
óra	時計	óra	時計	N;NOM;SG	N
óra	腕時	óra	腕時	N;NOM;SG	N
óra	時間	óra	時間	N;NOM;SG	N
óra	階級	óra	階級	N;NOM;SG	N
óra	クラス	óra	クラス	N;NOM;SG	N
kastély	キャッスル	kastély	キャッスル	N;NOM;SG	N
vidék	田舎	vidék	田舎	N;NOM;SG	N
városban	タウン	város	タウン	N;IN+ESS;SG	N
bajnokok	チャンピオン	bajnok	チャンピオン	N;NOM;PL	N
temploma	寺院	temploma	寺院	N;NOM;SG	N
temploma	神殿	temploma	神殿	N;NOM;SG	N
helyén	サイト	hely	サイト	N;ON+ESS;SG	N
helyén	敷地	hely	敷地	N;ON+ESS;SG	N
könyvtár	ディレクトリ	Könyvtár	ディレクトリ	N;NOM;SG	N
könyvtár	フォルダ	Könyvtár	フォルダ	N;NOM;SG	N
könyvtár	図書館	Könyvtár	図書館	N;NOM;SG	N
könyvtár	ライブラリ	Könyvtár	ライブラリ	N;NOM;SG	N
tartották	開催	tart	開催	V;DEF;IND;PL;3;PST;FIN;ACT	V
kultúra	文化	kultúra	文化	N;NOM;SG	N
kultúra	カルチャー	kultúra	カルチャー	N;NOM;SG	N
orvos	医師	orvos	医師	N;NOM;SG	N
orvos	医師	orvos	医師	N;NOM;SG	N
orvos	ドクター	orvos	ドクター	N;NOM;SG	N
orvos	先生	orvos	先生	N;NOM;SG	N
orvos	医者	orvos	医者	N;NOM;SG	N
csatorna	運河	csator	運河	N;NOM;SG	N
csatorna	チャネル	csator	チャネル	N;NOM;SG	N
csatorna	チャンネル	csator	チャンネル	N;NOM;SG	N
csatorna	海峡	csator	海峡	N;NOM;SG	N
producer	プロデューサー	producer	プロデューサー	N;NOM;SG	N
festő	画家	festő	画家	N;NOM;SG	N
zene	ミュージック	zene	ミュージック	N;NOM;SG	N
zene	音楽	zene	音楽	N;NOM;SG	N
híd	ブリッジ	híd	ブリッジ	N;NOM;SG	N
nemzet	国民	nemzet	国民	N;NOM;SG	N
szakasz	フェーズ	szakasz	フェーズ	N;NOM;SG	N
szakasz	位相	szakasz	位相	N;NOM;SG	N
szakasz	セクション	szakasz	セクション	N;NOM;SG	N
szakasz	小隊	szakasz	小隊	N;NOM;SG	N
családi	家族	családi	家族	N;NOM;SG	N
címe	肩書	cím	肩書	N;NOM;SG	N
címe	称号	cím	称号	N;NOM;SG	N
címe	タイトル	cím	タイトル	N;NOM;SG	N
címe	アドレス	cím	アドレス	N;NOM;SG	N
címe	住所	cím	住所	N;NOM;SG	N
művész	芸術家	művész	芸術家	N;NOM;SG	N
művész	アーティスト	művész	アーティスト	N;NOM;SG	N
records	レコード	records	レコード	N;NOM;SG	N
katona	兵士	katona	兵士	N;NOM;SG	N
katona	兵隊	katona	兵隊	N;NOM;SG	N
patak	ストリーム	patak	ストリーム	N;NOM;SG	N
