اتھاہ	adanc	اتھاہ	adanc		
اِحتمالی	conjuncturală	اِحتمالی	conjunctural	ADJ	ADJ;INDF;FEM;SG
اِحتمالی	ipotetic	اِحتمالی	ipotetic	ADJ	ADJ;INDF;MASC;SG
اِحتمالی	ipotetică	اِحتمالی	ipotetic	ADJ	ADJ;INDF;FEM;SG
اِحتیاطی	preventive	اِحتیاطی	preventiv	ADJ;NOM	ADJ;INDF;FEM;PL
احکام	comenzi	حکم	comandă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
احکام	comenzi	حکم	comandă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
احکام	decrete	حکم	decret	N;NOM;MASC;PL;3	N;INDF;FEM;PL
احوال	stat	احوال	stat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
احیاناً	ocazional	احیاناً	ocazional	ADV	ADV
احیاناً	uneori	احیاناً	uneori	ADV	ADV
احیاناً	câteodată	احیاناً	câteodată	ADV	ADV
اخ	frate	اخ	frate		
اخ	vere	اخ	vere		
اخبار	ziar	اخبار	ziar	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اخبار	ziar	اخبار	ziar	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِختتام	sfarsit	اِختتام	sfarsi		
اِختراع	artificiu	اِختراع	artificiu	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِختراعی	inovator	اِختراعی	inovator	ADJ;NOM	ADJ;INDF;MASC;SG
اِختصار	sumar	اِختصار	sumar	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِختصار	rezumat	اِختصار	rezumat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِختصاصی	specializat	اِختصاصی	specializat	ADJ;NOM	ADJ;INDF;MASC;SG
اِختصاصی	specializate	اِختصاصی	specializat	ADJ;NOM	ADJ;INDF;FEM;PL
اِختلاط	amestec	اِختلاط	amestec	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِختلافی	controversate	اِختلافی	controversat	ADJ;NOM	ADJ;INDF;FEM;PL
اِختلافی	controversat	اِختلافی	controversa	ADJ;NOM	ADJ;INDF;MASC;SG
اِختلافی	contestat	اِختلافی	contesta	ADJ;NOM	ADJ;INDF;MASC;SG
اِختیار	power	اِختیار	power	N;NOM;MASC;SG;3	N
اِختیار	control	اِختیار	control	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِختیاری	opțional	اِختیاری	opțional	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اخراجات	cheltuieli	خرچ	cheltuială	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اخروٹ	nuc	اخروٹ	nuc	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اخضر	verde	اخضر	verde		
اخو	frate	اخو	frate		
اخی	frate	اخی	frate		
اخیر	sfarsit	اخیر	sfarsi		
اخیر	sfarsit	اخیر	sfarsi		
ادا	stil	ادا	stil	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ادات	alfabet	ادات	alfabet	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُداسی	pustnic	اُداسی	pustnic	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اداکار	actor	اداکار	actor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ادب	respect	ادب	respect	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ادب	respect	ادب	respect	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ادرک	ghimbir	ادرک	ghimbir	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ادرک	ginger	ادرک	ginger	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ادوات	instrumente	ادوات	instrument	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ادوات	unelte	ادوات	unealtă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ادوات	scule	ادوات	scul	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ادوات	instrumente	ادوات	instrument	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ادوات	arme	ادوات	armă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ادویات	droguri	دوای	drog	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ادویات	medicamente	دوای	medicament	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ادویات	medicamente	دوای	medicament	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ادویاتی	medicinale	ادویاتی	medicinal	ADJ;NOM	ADJ;INDF;FEM;PL
ادویاتی	medicamentoase	ادویاتی	medicamentos	ADJ;NOM	ADJ;INDF;FEM;PL
ادویاتی	medicinal	ادویاتی	medicinal	ADJ;NOM	ADJ;INDF;MASC;SG
ادیان	religii	ادیان	religie	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ادیب	autor	ادیب	autor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ادیب	autor	ادیب	autor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ادیب	scriitor	ادیب	scriitor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ادھر	lip	ادھر	lip		
اِدھر	închide	اِدھر	închide	V;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
اِدھر	inchide	اِدھر	inchide	V;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
اِرادی	deliberată	اِرادی	deliberat	ADJ	ADJ;INDF;FEM;SG
اِرادی	deliberat	اِرادی	deliberat	ADJ	ADJ;INDF;MASC;SG
اِرادی	voită	اِرادی	voită	ADJ	ADJ;INDF;FEM;SG
اِرادی	intenționat	اِرادی	intenționat	ADJ	ADJ;INDF;MASC;SG
اراضی	câmp	اراضی	câmp	N;NOM;FEM;SG;3	N;INDF;MASC;SG
اراضی	field	اراضی	field	N;NOM;FEM;SG;3	N;INDF;MASC;SG
اراضی	teren	اراضی	teren	N;NOM;FEM;SG;3	N;INDF;MASC;SG
اراضی	complot	اراضی	complot	N;NOM;FEM;SG;3	N;INDF;MASC;SG
اراضیات	terenuri	اراضیات	teren	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اراضیات	meleaguri	اراضیات	meleag	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اراضیات	pământuri	اراضیات	pământ	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اراکین	membri	رکن	membru	N;NOM;MASC;PL;3	N;INDF;MASC;PL
اِرتحال	deces	اِرتحال	deces	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ارزاں	ieftine	ارزاں	ieftin	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اِرشادات	zicale	اِرشاد	zical	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اِرشادات	comenzi	اِرشاد	comandă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ارض	teren	ارض	teren	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ارض	land	ارض	land	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ارض	pământ	ارض	pământ	N;NOM;MASC;SG;3	N;INDF;MASC;SG
ارضی	lumesc	ارضی	lumesc	ADJ	ADJ;INDF;MASC;SG
ارضی	temporală	ارضی	temporal	ADJ	ADJ;INDF;FEM;SG
ارضی	terestru	ارضی	terestru	ADJ	ADJ;INDF;MASC;SG
ارضی	terestre	ارضی	terestru	ADJ	ADJ;INDF;FEM;PL
ارضی	terestră	ارضی	terestră	ADJ	ADJ;INDF;FEM;SG
ارغوانی	mov	ارغوانی	mov	ADJ	ADJ
ارکان	componente	رکن	componentă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ارکان	membri	رکن	membru	N;NOM;MASC;PL;3	N;INDF;MASC;PL
ارکان	stâlpi	رکن	stâlp	N;NOM;MASC;PL;3	N;INDF;MASC;PL
ارکان	piloni	رکن	pilon	N;NOM;MASC;PL;3	N;INDF;MASC;PL
ارکان	nobili	رکن	nobil	N;NOM;MASC;PL;3	N;INDF;MASC;PL
ارکان	ingrediente	رکن	ingredient	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ارکان	coloane	رکن	coloană	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ارکان	capete	رکن	cap	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ارمانی	înclinată	ارمانی	înclina	ADJ	ADJ;INDF;FEM;SG
ارمانی	înclinat	ارمانی	înclina	ADJ	ADJ;INDF;MASC;SG
اریکہ	tron	اریکہ	tron		
اڑانا	purta	اڑانا	purta	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;IPFV;FIN
اڑانا	poartă	اڑانا	purta	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;3;PRS;FIN
اڑنا	opune	اڑنا	opune	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُڑنا	evapora	اُڑنا	evapora	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُڑنا	explodează	اُڑنا	exploda	V;MASC;SG;NFIN;ACT	V;IND;3;PRS;FIN
اُڑنا	exploda	اُڑنا	exploda	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُڑنا	zboara	اُڑنا	zboară	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُڑنا	zboară	اُڑنا	zbura	V;MASC;SG;NFIN;ACT	V;IND;3;PRS;FIN
ازلی	perpetuă	ازلی	perpete	ADJ	ADJ;INDF;FEM;SG
ازلی	eternă	ازلی	etern	ADJ	ADJ;INDF;FEM;SG
ازلی	eterna	ازلی	eterna	ADJ	ADJ;DEF;FEM;SG
ازلی	eterne	ازلی	etern	ADJ	ADJ;INDF;FEM;PL
ازلی	etern	ازلی	etern	ADJ	ADJ;INDF;MASC;SG
ازواج	neveste	ازواج	nevastă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ازواج	soții	ازواج	soție	N;NOM;MASC;PL;3	N;INDF;FEM;PL
ازواج	soții	ازواج	soție	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اساتذہ	masterat	اساتذہ	masterat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اساتذہ	masters	اساتذہ	masters	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اساسی	fundamentală	اساسی	fundamental	ADJ	ADJ;INDF;FEM;SG
اساسی	fundamentale	اساسی	fundamental	ADJ	ADJ;INDF;FEM;PL
اساسی	fundamental	اساسی	fundamental	ADJ	ADJ;INDF;MASC;SG
اساسی	primare	اساسی	primar	ADJ	ADJ;INDF;FEM;PL
اساسی	primară	اساسی	primar	ADJ	ADJ;INDF;FEM;SG
اساسی	fundamentală	اساسی	fundamental	ADJ	ADJ;INDF;FEM;SG
اساسی	fundamentale	اساسی	fundamental	ADJ	ADJ;INDF;FEM;PL
اساسی	fundamental	اساسی	fundamental	ADJ	ADJ;INDF;MASC;SG
اساسی	primare	اساسی	primar	ADJ	ADJ;INDF;FEM;PL
اساسی	primară	اساسی	primar	ADJ	ADJ;INDF;FEM;SG
اساطیری	legendar	اساطیری	legendar	ADJ	ADJ;INDF;MASC;SG
اساطیری	legendară	اساطیری	legendar	ADJ	ADJ;INDF;FEM;SG
اساطیری	legendara	اساطیری	legendară	ADJ	ADJ;DEF;FEM;SG
اساطیری	mitic	اساطیری	mitic	ADJ	ADJ;INDF;MASC;SG
اساطیری	fabulos	اساطیری	fabulos	ADJ	ADJ;INDF;MASC;SG
اساطیری	fabuloasa	اساطیری	fabulosa	ADJ	ADJ;DEF;FEM;SG
اساطیری	fabuloasă	اساطیری	fabulos	ADJ	ADJ;INDF;FEM;SG
اساطیری	mitologic	اساطیری	mitologic	ADJ	ADJ;INDF;MASC;SG
اساطِین	posturi	اساطِین	post	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اساطِین	postări	اساطِین	postare	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اساطِین	stâlpi	اساطِین	stâlp	N;NOM;MASC;PL;3	N;INDF;MASC;PL
اساطِین	piloni	اساطِین	pilon	N;NOM;MASC;PL;3	N;INDF;MASC;PL
اساطِین	coloane	اساطِین	coloană	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	bunuri	اسباب	bun	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	marfuri	اسباب	marfă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	mărfuri	اسباب	marfă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	lucruri	اسباب	lucru	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	motive	اسباب	motiv	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	articole	اسباب	articol	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	resurse	اسباب	resursă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	bagaje	اسباب	bagaj	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	mijloace	اسباب	mijloc	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباب	cauze	اسباب	cauză	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباق	lectii	اسباق	lectie	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسباق	lecții	اسباق	lecție	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسپتال	spital	اسپتال	spital	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُستاد	tutore	اُستاد	totor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُستاد	profesor	اُستاد	profesor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُستاد	instructor	اُستاد	instructor	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُستادی	viclean	اُستادی	viclean	ADJ	ADJ;INDF;MASC;SG
اِستبدادیت	autoritarism	اِستبدادیت	autoritarism	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِستحصالی	exploatator	اِستحصالی	exploatator	ADJ	ADJ;INDF;MASC;SG
اِستحقاقی	preferențiale	اِستحقاقی	preferențial	ADJ;NOM	ADJ;INDF;FEM;PL
اِستحقاقی	privilegiate	اِستحقاقی	privilegia	ADJ;NOM	ADJ;INDF;FEM;PL
اِستحقاقی	privilegiat	اِستحقاقی	privilegiat	ADJ;NOM	ADJ;INDF;MASC;SG
اُستخوانی	durabile	اُستخوانی	durabil	ADJ;NOM	ADJ;INDF;FEM;PL
اُستخوانی	durabil	اُستخوانی	durabil	ADJ;NOM	ADJ;INDF;MASC;SG
اُستخوانی	rezistent	اُستخوانی	rezistent	ADJ;NOM	ADJ;INDF;MASC;SG
اُستخوانی	puternic	اُستخوانی	puternic	ADJ;NOM	ADJ;INDF;MASC;SG
اِستشارہ	plebiscit	اِستشارہ	plebisci	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِستعارتاً	figurativ	اِستعارتاً	figurativ	ADV	ADV
اِستعارتاً	metaforic	اِستعارتاً	metaforic	ADV	ADV
اِستعارہ	împrumut	اِستعارہ	împrumut	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِستعمالی	folosit	اِستعمالی	folosit	ADJ;NOM	ADJ;INDF;MASC;SG
اِستعمالی	utilizate	اِستعمالی	utilizat	ADJ;NOM	ADJ;INDF;FEM;PL
اِستعمالی	folosite	اِستعمالی	folosit	ADJ;NOM	ADJ;INDF;FEM;PL
اِستعمالی	utilizat	اِستعمالی	utilizat	ADJ;NOM	ADJ;INDF;MASC;SG
اُستُوانی	cilindric	اُستُوانی	cilindric	ADJ;NOM	ADJ;INDF;MASC;SG
اِسرار	ghost	اِسرار	ghost	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِسرار	spectru	اِسرار	spectru	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِسرائیلی	evreiesc	اِسرائیلی	evreiesc	ADJ;NOM	ADJ;INDF;MASC;SG
اسفار	rolls	اسفار	rolls	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُسقُف	episcop	اُسقُف	episcop	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُسقُف	bishop	اُسقُف	bishop	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِسلامی	islamice	اِسلامی	islamic	ADJ	ADJ;INDF;FEM;PL
اِسلامی	islamică	اِسلامی	islamic	ADJ	ADJ;INDF;FEM;SG
اِسلامی	musulmană	اِسلامی	musulmană	ADJ	ADJ;INDF;FEM;SG
اِسلامی	musulmani	اِسلامی	musulman	ADJ	ADJ;INDF;MASC;PL
اِسلامی	musulmane	اِسلامی	musulman	ADJ	ADJ;INDF;FEM;PL
اِسلامی	musulman	اِسلامی	musulman	ADJ	ADJ;INDF;MASC;SG
اِسم	name	اِسم	name		
اسناد	certificate	سند	certificat	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسناد	diplome	سند	diplomă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اسناد	motive	سند	motiv	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اِشارات	simboluri	اِشار	simbol	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اِشارات	indicii	اِشار	indiciu	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اِشارات	semne	اِشار	semn	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اِشارات	indicii	اِشار	indiciu	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اِشارہ	ordin	اِشارہ	ordin	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِشارہ	semn	اِشارہ	semn	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِشارہ	gest	اِشارہ	gest	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِشارہ	semnal	اِشارہ	semnal	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِشارہ	simbol	اِشارہ	simbol	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِشباعی	alungite	اِشباعی	alungi	ADJ	ADJ;INDF;FEM;PL
اِشتراکی	socialistă	اِشتراکی	socialist	ADJ	ADJ;INDF;FEM;SG
اِشتراکی	socialist	اِشتراکی	socialist	ADJ	ADJ;INDF;MASC;SG
اِشتراکی	socialiste	اِشتراکی	socialist	ADJ	ADJ;INDF;FEM;PL
اِشتعالی	provocator	اِشتعالی	provocator	ADJ	ADJ;INDF;MASC;SG
اِشتعالی	provocatoare	اِشتعالی	provocator	ADJ	ADJ;INDF;FEM
اِشتمالی	comunist	اِشتمالی	comunist	ADJ	ADJ;INDF;MASC;SG
