and	ja	and	ja	CONJ	CONJ
made	tehty	make	tehdä	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
made	valmistettu	make	valmistaa	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
people	ihmiset	people	ihminen	N;PL	N;NOM;PL
people	ihmisiä	people	ihminen	N;PL	N;PRT;PL
people	henkilöt	people	henkilö	N;PL	N;NOM;PL
after	jälkeen	after	jälkeen	ADV	ADV
should	pitäisi	should	pitää	V;FIN	V;COND;SG;3;FIN;ACT
should	pitäis	should	pitää	V;FIN	V;COND;SG;3;FIN;ACT
should	pitäisikö	should	pitää	V;FIN	V;COND;SG;3;FIN;ACT
two	kaksi	two	kaksi	NUM	NUM;NOM;SG
two	kaks	two	kaksi	NUM	NUM;NOM;SG
would	olisi	would	olla	V;FIN	V;COND;SG;3;FIN;ACT
she	hän	she	hän	PRO;NOM;FEM;SG;3	PRO;NOM;SG;3
about	noin	about	noin	ADV	ADV
when	milloin	when	milloin	ADV	ADV
time	aika	time	aika	N;SG	N;NOM;SG
time	ajan	time	aika	N;SG	N;GEN;SG
time	aikaa	time	aika	N;SG	N;PRT;SG
team	tiimi	team	tiimi	N;SG	N;NOM;SG
team	ryhmä	team	ryhmä	N;SG	N;NOM;SG
team	joukkue	team	joukkue	N;SG	N;NOM;SG
american	amerikkalainen	american	amerikkalainen	ADJ	ADJ;NOM;SG
such	tällainen	such	tällainen	ADJ	ADJ;NOM;SG
discussion	keskustelua	discussion	keskustelu	N;SG	N;PRT;SG
discussion	keskustelun	discussion	keskustelu	N;SG	N;GEN;SG
discussion	keskustelu	discussion	keskustelu	N;SG	N;NOM;SG
links	linkit	link	linkki	N;PL	N;NOM;PL
links	yhteydet	link	yhteys	N;PL	N;NOM;PL
links	linkkejä	link	linkki	N;PL	N;PRT;PL
links	linkkien	link	linkki	N;PL	N;GEN;PL
only	ainoastaan	only	ainoastaan	ADV	ADV
only	vain	only	vain	ADV	ADV
see	katso	see	katsoa	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
years	vuodet	year	vuosi	N;PL	N;NOM;PL
years	vuosien	year	vuosi	N;PL	N;GEN;PL
years	vuosia	year	vuosi	N;PL	N;PRT;PL
school	koulussa	school	koulu	N;SG	N;IN+ESS;SG
school	koulun	school	koulu	N;SG	N;GEN;SG
school	koulu	school	koulu	N;SG	N;NOM;SG
school	koulua	school	koulu	N;SG	N;PRT;SG
school	school	school	school	N;SG	N;NOM;SG
world	maailmassa	world	maailma	N;SG	N;IN+ESS;SG
world	maailma	world	maailma	N;SG	N;NOM;SG
world	maailmaa	world	maailma	N;SG	N;PRT;SG
world	maailman	world	maailma	N;SG	N;GEN;SG
world	maailmaan	world	maailma	N;SG	N;IN+ALL;SG
university	korkeakoulu	university	korkea#koulu	N;SG	N;NOM;SG
university	yliopisto	university	yli#opisto	N;SG	N;NOM;SG
out	ulos	out	ulos	ADV	ADV
state	osavaltio	state	osa#valtio	N;SG	N;NOM;SG
state	valtion	state	valtio	N;SG	N;GEN;SG
state	valtio	state	valtio	N;SG	N;NOM;SG
states	valtioiden	state	valtio	N;PL	N;GEN;PL
states	valtiot	state	valtio	N;PL	N;NOM;PL
states	osavaltiot	state	osa#valtio	N;PL	N;NOM;PL
national	kansallinen	national	kansallinen	ADJ	ADJ;NOM;SG
national	kansalliset	national	kansallinen	ADJ	ADJ;NOM;PL
national	kansallisten	national	kansallinen	ADJ	ADJ;GEN;PL
wikipedia	wikipedia	wikipedia	wikipedia	N;SG	N;NOM;SG
year	vuoden	year	vuosi	N;SG	N;GEN;SG
year	vuosi	year	vuosi	N;SG	N;NOM;SG
year	vuonna	year	vuosi	N;SG	N;FRML;SG
most	useimmat	most	usea	ADJ;RL	ADJ;NOM;RL;PL
most	useimmilla	most	usea	ADJ;RL	ADJ;AT+ESS
;RL;PL
city	kaupunki	city	kaupunki	N;SG	N;NOM;SG
city	paikkakunta	city	paikka#kunta	N;SG	N;NOM;SG
used	käytetyt	use	käyttää	V;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
used	käytetty	use	käyttää	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
used	käytettyjä	use	käyttää	V;PST;V.PTCP	V;PRT;PL;V.PTCP;PASS
then	sitten	then	sitten	ADV	ADV
county	lääni	county	lääni	N;SG	N;NOM;SG
county	piirikunnan	county	piiri#kunta	N;SG	N;GEN;SG
county	piirikunta	county	piiri#kunta	N;SG	N;NOM;SG
external	ulkoisen	external	ulkoinen	ADJ	ADJ;GEN;SG
external	ulkoinen	external	ulkoinen	ADJ	ADJ;NOM;SG
external	ulkoiset	external	ulkoinen	ADJ	ADJ;NOM;PL
external	ulkopuolinen	external	ulko#puolinen	ADJ	ADJ;NOM;SG
what	mitä	what	mikä	PRO	PRO;PRT;SG
what	mikä	what	mikä	PRO	PRO;NOM;SG
delete	poista	delete	poistaa	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
these	nämä	these	tämä	PRO;PL	PRO;NOM;PL
these	näitä	these	tämä	PRO;PL	PRO;PRT;PL
film	elokuva	film	elo#kuva	N;SG	N;NOM;SG
film	kalvo	film	kalvo	N;SG	N;NOM;SG
film	filmi	film	filmi	N;SG	N;NOM;SG
him	hänet	he	hän	PRO;ACC;MASC;SG;3	PRO;ACC;SG;3
between	väliin	between	väliin	ADV	ADV
between	välillä	between	välillä	ADV	ADV
between	välissä	between	välissä	ADV	ADV
three	kolme	three	kolme	NUM	NUM;NOM;SG
use	käytä	use	käyttää	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
use	käytettävä	use	käyttää	V;IMP;FIN	V;NOM;SG;V.PTCP;PASS
war	sodan	war	sota	N;SG	N;GEN;SG
war	sotaa	war	sota	N;SG	N;PRT;SG
war	sota	war	sota	N;SG	N;NOM;SG
under	alta	under	alta	ADV	ADV
under	alle	under	alle	ADV	ADV
under	alla	under	alla	ADV	ADV
born	syntynyt	bear	syntyä	V;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
born	syntyneet	bear	syntyä	V;PST;V.PTCP	V;NOM;PL;V.PTCP;ACT
born	syntyi	bear	syntyä	V;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
link	yhteys	link	yhteys	N;SG	N;NOM;SG
link	linkistä	link	linki	N;SG	N;IN+ABL;SG
link	linkkiä	link	linkki	N;SG	N;PRT;SG
link	linkin	link	linkki	N;SG	N;GEN;SG
link	linkki	link	linkki	N;SG	N;NOM;SG
later	myöhemmin	later	myöhemmin	ADV	ADV
part	osa	part	osa	N;SG	N;NOM;SG
players	toimijoiden	player	toimija	N;PL	N;GEN;PL
players	pelaajien	player	pelaaja	N;PL	N;GEN;PL
players	pelaajia	player	pelaaja	N;PL	N;PRT;PL
players	pelaajat	player	pelaaja	N;PL	N;NOM;PL
list	lista	list	lista	N;SG	N;NOM;SG
list	luettelo	list	luettelo	N;SG	N;NOM;SG
list	listan	list	lista	N;SG	N;GEN;SG
list	listaa	list	lista	N;SG	N;PRT;SG
list	luetteloon	list	luettelo	N;SG	N;IN+ALL;SG
know	tunnetaan	know	tuntea	V;IND;PRS;FIN	V;IND;PRS;FIN;PASS
name	nimi	name	nimi	N;SG	N;NOM;SG
name	nimeä	name	nimi	N;SG	N;PRT;SG
group	konserni	group	konserni	N;SG	N;NOM;SG
group	ryhmän	group	ryhmä	N;SG	N;GEN;SG
group	ryhmä	group	ryhmä	N;SG	N;NOM;SG
history	historia	history	historia	N;SG	N;NOM;SG
history	historiaan	history	historia	N;SG	N;IN+ALL;SG
history	historiaa	history	historia	N;SG	N;PRT;SG
history	historian	history	historia	N;SG	N;GEN;SG
history	historiasta	history	historia	N;SG	N;IN+ABL;SG
series	sarja	series	sarja	N;SG	N;NOM;SG
just	vain	just	vain	ADV	ADV
work	työn	work	työ	N;SG	N;GEN;SG
work	työ	work	työ	N;SG	N;NOM;SG
work	työtä	work	työ	N;SG	N;PRT;SG
before	ennen	before	ennen	ADV	ADV
season	kausi	season	kausi	N;SG	N;NOM;SG
season	kauden	season	kausi	N;SG	N;GEN;SG
high	korkea	high	korkea	ADJ	ADJ;NOM;SG
high	korkeat	high	korkea	ADJ	ADJ;NOM;PL
high	korkealla	high	korkea	ADJ	ADJ;AT+ESS
;SG
through	kautta	through	kautta	ADV	ADV
through	läpi	through	läpi	ADV	ADV
district	piiri	district	piiri	N;SG	N;NOM;SG
district	piirikunta	district	piiri#kunta	N;SG	N;NOM;SG
now	nyt	now	nyt	ADV	ADV
comments	kommentit	comment	kommentti	N;PL	N;NOM;PL
comments	kommentteja	comment	kommentti	N;PL	N;PRT;PL
comments	huomautuksia	comment	huomautus	N;PL	N;PRT;PL
comments	huomautukset	comment	huomautus	N;PL	N;NOM;PL
because	koska	because	koska	CONJ	CONJ
football	jalkapallon	football	jalka#pallo	N;SG	N;GEN;SG
football	jalkapallo	football	jalka#pallo	N;SG	N;NOM;SG
football	jalkapalloa	football	jalka#pallo	N;SG	N;PRT;SG
music	musiikkia	music	musiikki	N;SG	N;PRT;SG
music	musiikin	music	musiikki	N;SG	N;GEN;SG
music	musiikki	music	musiikki	N;SG	N;NOM;SG
diff	diff	diff	diff	N;SG	N;NOM;SG
century	vuosisadan	century	vuosi#sata	N;SG	N;GEN;SG
century	vuosisata	century	vuosi#sata	N;SG	N;NOM;SG
edits	muokkaukset	edit	muokkaus	N;PL	N;NOM;PL
debate	keskustelua	debate	keskustelu	N;SG	N;PRT;SG
debate	väittely	debate	väittely	N;SG	N;NOM;SG
debate	keskustelu	debate	keskustelu	N;SG	N;NOM;SG
title	otsikko	title	otsikko	N;SG	N;NOM;SG
title	osasto	title	osasto	N;SG	N;NOM;SG
title	nimike	title	nimike	N;SG	N;NOM;SG
articles	artikkelit	article	artikkeli	N;PL	N;NOM;PL
articles	artikkeleita	article	artikkeli	N;PL	N;PRT;PL
articles	artiklat	article	artikla	N;PL	N;NOM;PL
could	vois	could	voida	V;FIN	V;COND;SG;3;FIN;ACT
could	voisi	could	voida	V;FIN	V;COND;SG;3;FIN;ACT
album	albumi	album	albumi	N;SG	N;NOM;SG
album	levyn	album	levy	N;SG	N;GEN;SG
album	levy	album	levy	N;SG	N;NOM;SG
album	albumin	album	albumi	N;SG	N;GEN;SG
album	albumia	album	albumi	N;SG	N;PRT;SG
number	lukumäärä	number	luku#määrä	N;SG	N;NOM;SG
number	numero	number	numero	N;SG	N;NOM;SG
number	luku	number	luku	N;SG	N;NOM;SG
family	suku	family	suku	N;SG	N;NOM;SG
family	perhe	family	perhe	N;SG	N;NOM;SG
family	perheen	family	perhe	N;SG	N;GEN;SG
user	käyttäjää	user	käyttäjä	N;SG	N;PRT;SG
user	käyttäjän	user	käyttäjä	N;SG	N;GEN;SG
user	käyttäjä	user	käyttäjä	N;SG	N;NOM;SG
based	perustuva	base	perustua	V;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
area	alue	area	alue	N;SG	N;NOM;SG
life	elämää	life	elämä	N;SG	N;PRT;SG
life	elämän	life	elämä	N;SG	N;GEN;SG
life	elämä	life	elämä	N;SG	N;NOM;SG
british	brittiläinen	british	brittiläinen	ADJ	ADJ;NOM;SG
international	kansainvälisen	international	kansain#välinen	ADJ	ADJ;GEN;SG
international	kansainvälinen	international	kansain#välinen	ADJ	ADJ;NOM;SG
international	kansainväliset	international	kansain#välinen	ADJ	ADJ;NOM;PL
game	peliä	game	peli	N;SG	N;PRT;SG
game	pelin	game	peli	N;SG	N;GEN;SG
game	peli	game	peli	N;SG	N;NOM;SG
above	yläpuolelle	above	yläpuolelle	ADV	ADV
above	yläpuolelta	above	yläpuolelta	ADV	ADV
above	yllä	above	yllä	ADV	ADV
above	yläpuolella	above	yläpuolella	ADV	ADV
above	edellä	above	edellä	ADV	ADV
club	klubi	club	klubi	N;SG	N;NOM;SG
club	club	club	club	N;SG	N;NOM;SG
club	kerho	club	kerho	N;SG	N;NOM;SG
club	seura	club	seura	N;SG	N;NOM;SG
your	sinun	you	sinä	PRO;2	PRO;GEN;SG;2
until	kunnes	until	kunnes	CONJ	CONJ
early	aikaisin	early	aikaisin	ADV	ADV
best	paras	best	hyvä	ADJ;RL	ADJ;NOM;RL;SG
best	parhaat	best	hyvä	ADJ;RL	ADJ;NOM;RL;PL
best	parasta	best	hyvä	ADJ;RL	ADJ;PRT;RL;SG
house	house	house	house	N;SG	N;NOM;SG
house	talo	house	talo	N;SG	N;NOM;SG
house	talon	house	talo	N;SG	N;GEN;SG
company	yritys	company	yritys	N;SG	N;NOM;SG
company	yhtiö	company	yhtiö	N;SG	N;NOM;SG
company	seura	company	seura	N;SG	N;NOM;SG
company	komppania	company	komppani	N;SG	N;NOM;SG
general	yleinen	general	yleinen	ADJ	ADJ;NOM;SG
general	yleiset	general	yleinen	ADJ	ADJ;NOM;PL
general	yleistä	general	yleinen	ADJ	ADJ;PRT;SG
very	hyvin	very	hyvin	ADV	ADV
very	erittäin	very	erittäin	ADV	ADV
here	täällä	here	täällä	ADV	ADV
living	asuminen	living	asuminen	N;SG	N;NOM;SG
living	eläminen	living	eläminen	N;SG	N;NOM;SG
day	päivä	day	päivä	N;SG	N;NOM;SG
day	päivän	day	päivä	N;SG	N;GEN;SG
several	useita	several	usea	ADJ	ADJ;PRT;PL
several	useat	several	usea	ADJ	ADJ;NOM;PL
place	paikassa	place	paikka	N;SG	N;IN+ESS;SG
place	paikka	place	paikka	N;SG	N;NOM;SG
party	osapuoli	party	osa#puoli	N;SG	N;NOM;SG
party	juhla	party	juhla	N;SG	N;NOM;SG
party	puolue	party	puolue	N;SG	N;NOM;SG
college	college	college	college	N;SG	N;NOM;SG
college	korkeakoulu	college	korkea#koulu	N;SG	N;NOM;SG
college	yliopisto	college	yli#opisto	N;SG	N;NOM;SG
result	tulos	result	tulos	N;SG	N;NOM;SG
result	tuloksena	result	tulos	N;SG	N;FRML;SG
result	lopputulos	result	loppu#tulos	N;SG	N;NOM;SG
result	tuloksen	result	tulos	N;SG	N;GEN;SG
result	tulosta	result	tulos	N;SG	N;PRT;SG
keep	säilytä	keep	säilyttää	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
keep	pidä	keep	pitää	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
appropriate	tarkoituksenmukainen	appropriate	tarkoitus#mukainen	ADJ	ADJ;NOM;SG
appropriate	asianmukaiset	appropriate	asian#mukainen	ADJ	ADJ;NOM;PL
appropriate	asianmukainen	appropriate	asian#mukainen	ADJ	ADJ;NOM;SG
appropriate	sopivaa	appropriate	sopiva	ADJ	ADJ;PRT;SG
appropriate	sopiva	appropriate	sopiva	ADJ	ADJ;NOM;SG
four	neljä	four	neljä	NUM	NUM;NOM;SG
even	edes	even	edes	ADV	ADV
even	jopa	even	jopa	ADV	ADV
class	luokan	class	luokka	N;SG	N;GEN;SG
class	luokka	class	luokka	N;SG	N;NOM;SG
government	valtio	government	valtio	N;SG	N;NOM;SG
government	hallitus	government	hallitus	N;SG	N;NOM;SG
government	hallituksen	government	hallitus	N;SG	N;GEN;SG
how	miten	how	miten	ADV	ADV
how	kuinka	how	kuinka	ADV	ADV
called	kutsuttu	call	kutsua	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
called	soitti	call	soittaa	V;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
found	löydetty	find	löytää	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
found	löytynyt	find	löytyä	V;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
found	löydettiin	find	löytää	V;PST;V.PTCP	V;IND;PST;FIN;PASS
found	löysi	find	löytää	V;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
found	löyty	find	löytyä	V;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
found	löytyi	find	löytyä	V;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
center	keskus	center	keskus	N;SG	N;NOM;SG
center	keskusta	center	keskusta	N;SG	N;NOM;SG
center	center	center	center	N;SG	N;NOM;SG
style	style	style	style	N;SG	N;NOM;SG
style	tyyliä	style	tyyli	N;SG	N;PRT;SG
style	tyyli	style	tyyli	N;SG	N;NOM;SG
long	kauan	long	kauan	ADV	ADV
long	pitkään	long	pitkään	ADV	ADV
country	maa	country	maa	N;SG	N;NOM;SG
country	valtio	country	valtio	N;SG	N;NOM;SG
country	maata	country	maa	N;SG	N;PRT;SG
country	maan	country	maa	N;SG	N;GEN;SG
back	takaisin	back	takaisin	ADV	ADV
back	taaksepäin	back	taaksepäin	ADV	ADV
way	tapa	way	tapa	N;SG	N;NOM;SG
way	keino	way	keino	N;SG	N;NOM;SG
www	www	wwwiw	www	N;SG	N;NOM;SG
modify	muokata	modify	muokata	V;IMP;FIN	V;SG;NFIN;ACT
end	loppu	end	loppu	N;SG	N;NOM;SG
end	loppua	end	loppu	N;SG	N;PRT;SG
end	lopussa	end	loppu	N;SG	N;IN+ESS;SG
make	tee	make	tehdä	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
make	tehdä	make	tehdä	V;IMP;FIN	V;SG;NFIN;ACT
public	julkinen	public	julkinen	ADJ	ADJ;NOM;SG
public	julkisen	public	julkinen	ADJ	ADJ;GEN;SG
public	julkiset	public	julkinen	ADJ	ADJ;NOM;PL
played	pelattu	play	pelata	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
played	soitettu	play	soittaa	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
played	pelasi	play	pelata	V;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
played	pelannut	play	pelata	V;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
won	voitin	win	voida	V;PST;FIN	V;IND;SG;1;PST;FIN;ACT
won	voitti	win	voittaa	V;PST;FIN	V;IND;SG;3;PST;FIN;ACT
won	voittanut	win	voittaa	V;PST;FIN	V;NOM;SG;V.PTCP;ACT
released	julkaistu	release	julkaista	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
released	luovutettu	release	luovuttaa	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
released	vapautettu	release	vapauttaa	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
added	lisättiin	add	lisätä	V;PST;V.PTCP	V;IND;PST;FIN;PASS
added	lisäsi	add	lisätä	V;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
added	lisätty	add	lisätä	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
support	tuen	support	tuki	N;SG	N;GEN;SG
support	tukea	support	tuki	N;SG	N;PRT;SG
support	tuki	support	tuki	N;SG	N;NOM;SG
games	pelejä	game	peli	N;PL	N;PRT;PL
games	pelit	game	peli	N;PL	N;NOM;PL
games	pelien	game	peli	N;PL	N;GEN;PL
games	kisat	game	kisa	N;PL	N;NOM;PL
former	entinen	former	entinen	ADJ	ADJ;NOM;SG
former	entiset	former	entinen	ADJ	ADJ;NOM;PL
those	nuo	those	tuo	PRO;PL	PRO;NOM;PL
those	noi	those	tuo	PRO;PL	PRO;NOM;PL
films	elokuvat	film	elo#kuva	N;PL	N;NOM;PL
films	elokuvia	film	elo#kuva	N;PL	N;PRT;PL
church	kirkon	church	kirkko	N;SG	N;GEN;SG
church	kirkossa	church	kirkko	N;SG	N;IN+ESS;SG
church	kirkkoon	church	kirkko	N;SG	N;IN+ALL;SG
church	kirkko	church	kirkko	N;SG	N;NOM;SG
church	seurakunta	church	seura#kunta	N;SG	N;NOM;SG
line	jono	line	jono	N;SG	N;NOM;SG
line	rivi	line	rivi	N;SG	N;NOM;SG
line	viiva	line	viiva	N;SG	N;NOM;SG
line	linja	line	linja	N;SG	N;NOM;SG
members	jäseniä	member	jäsen	N;PL	N;PRT;PL
members	jäsenet	member	jäsen	N;PL	N;NOM;PL
good	hyvää	good	hyvä	ADJ	ADJ;PRT;SG
good	hyvä	good	hyvä	ADJ	ADJ;NOM;SG
image	kuva	image	kuva	N;SG	N;NOM;SG
show	näytä	show	näyttää	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
still	vielä	still	vielä	ADV	ADV
still	vieläkin	still	vieläkin	ADV	ADV
still	edelleen	still	edelleen	ADV	ADV
still	yhä	still	yhä	ADV	ADV
think	ajattele	think	ajatella	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
think	mieti	think	mieti	V;IMP;FIN	V;IMP;SG;2;FIN;ACT
below	alapuolelle	below	alapuolelle	ADV	ADV
below	alle	below	alle	ADV	ADV
below	alapuolella	below	alapuolella	ADV	ADV
below	alla	below	alla	ADV	ADV
tow	kaupunki	tow	kaupunki	N;SG	N;NOM;SG
last	viimeisenä	last	viimeinen	ADJ	ADJ;FRML;SG
last	viimeinen	last	viimeinen	ADJ	ADJ;NOM;SG
last	viime	last	viime	ADJ	ADJ
system	järjestelmän	system	järjestelmä	N;SG	N;GEN;SG
system	systeemi	system	systeemi	N;SG	N;NOM;SG
system	järjestelmä	system	järjestelmä	N;SG	N;NOM;SG
song	biisi	song	biisi	N;SG	N;NOM;SG
song	laulua	song	laulu	N;SG	N;PRT;SG
song	laulu	song	laulu	N;SG	N;NOM;SG
song	kappale	song	kappale	N;SG	N;NOM;SG
notable	huomattava	notable	huomattava	ADJ	ADJ;NOM;SG
section	jakso	section	jaksaa	N;SG	N;NOM;SG
section	pääluokka	section	pää#luokka	N;SG	N;NOM;SG
single	naimaton	single	naimaton	ADJ	ADJ;NOM;SG
single	yksittäinen	single	yksittäinen	ADJ	ADJ;NOM;SG
included	sisällytetty	include	sisällyttää	V;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
home	kotiin	home	koti	N;SG	N;IN+ALL;SG
home	kodin	home	koti	N;SG	N;GEN;SG
home	koti	home	koti	N;SG	N;NOM;SG
women	naisten	woman	nainen	N;PL	N;GEN;PL
women	naiset	woman	nainen	N;PL	N;NOM;PL
women	naisia	woman	nainen	N;PL	N;PRT;PL
television	tv	television	tv	N;SG	N;NOM;SG
television	televisio	television	televisio	N;SG	N;NOM;SG
seed	siemen	seed	siemi	N;SG	N;NOM;SG
member	jäsen	member	jäsen	N;SG	N;NOM;SG
member	jäsenen	member	jäsen	N;SG	N;GEN;SG
goals	maalit	goal	maali	N;PL	N;NOM;PL
goals	tavoitteita	goal	tavoite	N;PL	N;PRT;PL
goals	maaleja	goal	maali	N;PL	N;PRT;PL
goals	tavoitteet	goal	tavoite	N;PL	N;NOM;PL
sources	lähteet	source	lähteä	N;PL	N;NOM;PL
book	kirja	book	kirja	N;SG	N;NOM;SG
book	kirjaa	book	kirja	N;SG	N;PRT;SG
book	varaa	book	vara	N;SG	N;PRT;SG
station	metroasema	station	metro#asema	N;SG	N;NOM;SG
station	rautatieasema	station	rauta#tie#asema	N;SG	N;NOM;SG
station	asema	station	asema	N;SG	N;NOM;SG
order	tilaus	order	tilaus	N;SG	N;NOM;SG
order	järjestys	order	järjestys	N;SG	N;NOM;SG
order	tilaa	order	tila	N;SG	N;PRT;SG
old	vanhat	old	vanha	ADJ	ADJ;NOM;PL
old	vanhoja	old	vanha	ADJ	ADJ;PRT;PL
old	vanha	old	vanha	ADJ	ADJ;NOM;SG
old	vanhaa	old	vanha	ADJ	ADJ;PRT;SG
information	tiedotus	information	tiedotus	N;SG	N;NOM;SG
information	tietoa	information	tieto	N;SG	N;PRT;SG
information	tiedottaminen	information	tiedottaminen	N;SG	N;NOM;SG
set	määritä	set	määrittää	V;FIN	V;IMP;SG;2;FIN;ACT
set	asettaa	set	asettaa	V;FIN	V;IND;SG;FIN;ACT
set	aseta	set	asettaa	V;FIN	V;IMP;SG;2;FIN;ACT
set	asetettu	set	asettaa	V;FIN	V;NOM;SG;V.PTCP;PASS
own	omista	own	oma	ADJ	ADJ;IN+ABL;PL
own	oman	own	oma	ADJ	ADJ;GEN;SG
own	oma	own	oma	ADJ	ADJ;NOM;SG
own	omat	own	oma	ADJ	ADJ;NOM;PL
text	teksti	text	teksti	N;SG	N;NOM;SG
text	tekstiä	text	teksti	N;SG	N;PRT;SG
text	tekstin	text	teksti	N;SG	N;GEN;SG
band	bändi	band	bändi	N;SG	N;NOM;SG
band	band	band	band	N;SG	N;NOM;SG
band	yhtye	band	yhtye	N;SG	N;NOM;SG
band	bändiä	band	bändi	N;SG	N;PRT;SG
point	pisteen	point	piste	N;SG	N;GEN;SG
point	kohta	point	kohta	N;SG	N;NOM;SG
point	pistettä	point	piste	N;SG	N;PRT;SG
point	piste	point	piste	N;SG	N;NOM;SG
point	point	point	pointa	N;SG	N;NOM;SG
local	paikallinen	local	paikallinen	ADJ	ADJ;NOM;SG
local	paikalliset	local	paikallinen	ADJ	ADJ;NOM;PL
local	paikallisia	local	paikallinen	ADJ	ADJ;PRT;PL
local	paikallisten	local	paikallinen	ADJ	ADJ;GEN;PL
local	paikallista	local	paikallinen	ADJ	ADJ;PRT;SG
around	ympärillä	around	ympärillä	ADV	ADV
around	ympäri	around	ympäri	ADV	ADV
river	joen	river	joki	N;SG	N;GEN;SG
river	joki	river	joki	N;SG	N;NOM;SG
top	huippu	top	huippu	N;SG	N;NOM;SG
top	huippua	top	huippu	N;SG	N;PRT;SG
top	ylä	top	ylä	N;SG	N;NOM;SG
main	pääasialliset	main	pää#asiallinen	ADJ	ADJ;NOM;PL
