από	от	από	от	ADP	ADP
συζήτηση	разговор	συζήτηση	разговор	N;ACC;FEM;SG	N;INDF;MASC;SG
συζήτηση	беседа	συζήτηση	бесед	N;ACC;FEM;SG	N;INDF;FEM;SG
συζήτηση	дискусия	συζήτηση	дискусия	N;ACC;FEM;SG	N;INDF;FEM;SG
συζήτηση	обсъждане	συζήτηση	обсъждане	N;ACC;FEM;SG	N;INDF;NEUT;SG
συζήτηση	разискване	συζήτηση	разискване	N;ACC;FEM;SG	N;INDF;NEUT;SG
συζήτηση	дебат	συζήτηση	дебат	N;ACC;FEM;SG	N;INDF;MASC;SG
αρχείο	архив	αρχείο	архив	N;NOM;NEUT;SG	N;INDF;MASC;SG
αρχείο	файл	αρχείο	файл	N;NOM;NEUT;SG	N;INDF;MASC;SG
αρχείο	файлът	αρχείο	файл	N;NOM;NEUT;SG	N;DEF;MASC;SG
αρχείο	досие	αρχείο	досие	N;NOM;NEUT;SG	N;INDF;NEUT;SG
φορά	времето	φορά	време	N;ACC;FEM;SG	N;DEF;NEUT;SG
φορά	време	φορά	време	N;ACC;FEM;SG	N;INDF;NEUT;SG
πάνω	горе	πάνω	горе	ADV	ADV
ομάδες	групи	ομάδα	група	N;NOM;FEM;PL	N;INDF;FEM;PL
ομάδες	отбори	ομάδα	отбор	N;NOM;FEM;PL	N;INDF;MASC;PL
ομάδες	екипи	ομάδα	екип	N;NOM;FEM;PL	N;INDF;MASC;PL
έργο	проект	έργο	проект	N;NOM;NEUT;SG	N;INDF;MASC;SG
έργο	проектът	έργο	проект	N;NOM;NEUT;SG	N;DEF;MASC;SG
έργο	проекта	έργο	проект	N;NOM;NEUT;SG	N;DEF;MASC;SG
έργο	работа	έργο	работа	N;NOM;NEUT;SG	N;INDF;FEM;SG
έργο	труд	έργο	труд	N;NOM;NEUT;SG	N;INDF;MASC;SG
κυρίως	основно	κυρίως	основно	ADV	ADV
κυρίως	предимно	κυρίως	предимно	ADV	ADV
κυρίως	главно	κυρίως	главно	ADV	ADV
κυρίως	предимно	κυρίως	предимно	ADV	ADV
κυρίως	главно	κυρίως	главно	ADV	ADV
ελληνική	гръцки	ελληνικός	гръцки	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;SG
ελληνική	гръцка	ελληνικός	гръцки	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
μεγάλη	голям	μεγάλος	голям	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;SG
μεγάλη	голяма	μεγάλος	голям	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
υπό	под	υπό	под	ADP	ADP
ποδοσφαιριστές	футболисти	ποδοσφαιριστής	футболист	N;NOM;MASC;PL	N;INDF;MASC;PL
ποδοσφαιριστές	футболистите	ποδοσφαιριστής	футболист	N;NOM;MASC;PL	N;DEF;MASC;PL
ταινία	филм	ταινία	филм	N;NOM;FEM;SG	N;INDF;MASC;SG
ταινία	касета	ταινία	касета	N;NOM;FEM;SG	N;INDF;FEM;SG
ταινία	лента	ταινία	лента	N;NOM;FEM;SG	N;INDF;FEM;SG
ταινία	филм	ταινία	филм	N;NOM;FEM;SG	N;INDF;MASC;SG
ταινία	лента	ταινία	лента	N;NOM;FEM;SG	N;INDF;FEM;SG
τμήμα	отдел	τμήμα	отдел	N;NOM;NEUT;SG	N;INDF;MASC;SG
τμήμα	департамент	τμήμα	департамент	N;NOM;NEUT;SG	N;INDF;MASC;SG
τμήμα	сечение	τμήμα	сечение	N;NOM;NEUT;SG	N;INDF;NEUT;SG
τμήμα	секция	τμήμα	секция	N;NOM;NEUT;SG	N;INDF;FEM;SG
τμήμα	раздел	τμήμα	раздел	N;NOM;NEUT;SG	N;INDF;MASC;SG
εκεί	там	εκεί	там	ADV	ADV
σειρά	серия	σειρά	серия	N;ACC;FEM;SG	N;INDF;FEM;SG
σειρά	поредица	σειρά	поредица	N;ACC;FEM;SG	N;INDF;FEM;SG
σειρά	сериал	σειρά	сериал	N;ACC;FEM;SG	N;INDF;MASC;SG
σειρά	ред	σειρά	ред	N;ACC;FEM;SG	N;INDF;MASC;SG
σειρά	поръчка	σειρά	поръчка	N;ACC;FEM;SG	N;INDF;FEM;SG
σειρά	ред	σειρά	ред	N;ACC;FEM;SG	N;INDF;MASC;SG
στοιχεία	елементи	στοιχείο	елемент	N;NOM;NEUT;PL	N;INDF;MASC;PL
στοιχεία	данни	στοιχείο	данна	N;NOM;NEUT;PL	N;INDF;FEM;PL
συνέχεια	приемственост	συνέχεια	приемственост	N;ACC;FEM;SG	N;INDF;FEM;SG
συνέχεια	продължение	συνέχεια	продължение	N;ACC;FEM;SG	N;INDF;NEUT;SG
συνέχεια	продължаване	συνέχεια	продължаване	N;ACC;FEM;SG	N;INDF;NEUT;SG
κάτω	долу	κάτω	долу	ADV	ADV
κάτω	надолу	κάτω	надолу	ADV	ADV
κάτω	долу	κάτω	долу	ADV	ADV
κάτω	долу	κάτω	долу	ADV	ADV
κάτω	отдолу	κάτω	отдолу	ADV	ADV
σύστημα	система	σύστημα	система	N;NOM;NEUT;SG	N;INDF;FEM;SG
σύστημα	системата	σύστημα	система	N;NOM;NEUT;SG	N;DEF;FEM;SG
ακόμα	още	ακόμα	още	ADV	ADV
φορές	времена	φορά	време	N;NOM;FEM;PL	N;INDF;NEUT;PL
ίδια	идентичен	ίδιος	идентичен	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;SG
ίδια	идентична	ίδιος	идентичен	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
ίδια	същият	ίδιος	същ	ADJ;NOM;FEM;SG	ADJ;DEF;MASC;SG
ίδια	същата	ίδιος	същ	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
ίδια	същото	ίδιος	същ	ADJ;NOM;FEM;SG	ADJ;DEF;NEUT;SG
ιουλίου	юли	ιούλιος	юли	N;GEN;NEUT;SG	N;INDF;MASC;SG
χώρα	държава	χώρα	държава	N;NOM;FEM;SG	N;INDF;FEM;SG
χώρα	страна	χώρα	страна	N;NOM;FEM;SG	N;INDF;FEM;SG
αποτέλεσμα	развръзка	αποτέλεσμα	развръзка	N;ACC;NEUT;SG	N;INDF;FEM;SG
αποτέλεσμα	изход	αποτέλεσμα	изход	N;ACC;NEUT;SG	N;INDF;MASC;SG
αποτέλεσμα	резултат	αποτέλεσμα	резултат	N;ACC;NEUT;SG	N;INDF;MASC;SG
αποτέλεσμα	резултат	αποτέλεσμα	резултат	N;ACC;NEUT;SG	N;INDF;MASC;SG
αποτέλεσμα	резултата	αποτέλεσμα	резултат	N;ACC;NEUT;SG	N;DEF;MASC;SG
αποτέλεσμα	ефект	αποτέλεσμα	ефект	N;ACC;NEUT;SG	N;INDF;MASC;SG
αποτέλεσμα	въздействие	αποτέλεσμα	въздействие	N;ACC;NEUT;SG	N;INDF;NEUT;SG
οκτωβρίου	октомври	οκτώβριος	октомври	N;GEN;MASC;SG	N;INDF;MASC;SG
σεπτεμβρίου	септември	σεπτέμβριο	септември	N;GEN;MASC;SG	N;INDF;MASC;SG
νοεμβρίου	ноември	νόεμβριος	ноември	N;GEN;MASC;SG	N;INDF;MASC;SG
αγώνες	мачове	αγώνας	мач	N;NOM;MASC;PL	N;INDF;MASC;PL
αγώνες	съвпадения	αγώνας	съвпадя	N;NOM;MASC;PL	N;INDF;NEUT;PL
αγώνες	игри	αγώνας	игра	N;NOM;MASC;PL	N;INDF;FEM;PL
ταινίες	филми	ταινία	филм	N;NOM;FEM;PL	N;INDF;MASC;PL
ταινίες	филми	ταινία	филм	N;NOM;FEM;PL	N;INDF;MASC;PL
μέσω	чрез	μέσω	чрез	ADP	ADP
μέσω	чрез	μέσω	чрез	ADP	ADP
μέσω	през	μέσω	през	ADP	ADP
μαρτίου	март	μάρτιος	март	N;GEN;MASC;SG	N;INDF;MASC;SG
γεννήθηκε	роден	γεννώ	родя-(се)	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
γεννήθηκε	родена	γεννώ	родя-(се)	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ιουνίου	джун	ιούνιος	джун	N;GEN;MASC;SG	N;INDF;MASC;SG
ιουνίου	юни	ιούνιος	юни	N;GEN;MASC;SG	N;INDF;MASC;SG
απριλίου	април	απρίλιος	април	N;GEN;MASC;SG	N;INDF;MASC;SG
τρεις	три	τρεις	три	NUM;NOM;MASC;PL	NUM;INDF;PL
τρεις	трима	τρεις	трима	NUM;NOM;MASC;PL	NUM;INDF;PL
αυγούστου	август	αυγούστος	август	N;GEN;MASC;SG	N;INDF;MASC;SG
έργα	произведения	έργο	произведение	N;NOM;NEUT;PL	N;INDF;NEUT;PL
έργα	проекти	έργο	проект	N;NOM;NEUT;PL	N;INDF;MASC;PL
δεκεμβρίου	декември	δεκέμβριο	декември	N;GEN;MASC;SG	N;INDF;MASC;SG
χρήση	използване	χρήση	използване	N;ACC;FEM;SG	N;INDF;NEUT;SG
χρήση	употреба	χρήση	употреба	N;ACC;FEM;SG	N;INDF;FEM;SG
πρόεδρος	президентът	πρόεδρος	президент	N;ACC;MASC;SG	N;DEF;MASC;SG
πρόεδρος	президент	πρόεδρος	президент	N;ACC;MASC;SG	N;INDF;MASC;SG
πρόεδρος	председател	πρόεδρος	председател	N;ACC;MASC;SG	N;INDF;MASC;SG
πολιτική	политиката	πολιτική	политика	N;NOM;FEM;SG	N;DEF;FEM;SG
πολιτική	полица	πολιτική	полица	N;NOM;FEM;SG	N;INDF;FEM;SG
πολιτική	политика	πολιτική	политика	N;NOM;FEM;SG	N;INDF;FEM;SG
πολιτική	политиката	πολιτική	политика	N;NOM;FEM;SG	N;DEF;FEM;SG
πολιτική	политика	πολιτική	политика	N;NOM;FEM;SG	N;INDF;FEM;SG
ακόμη	още	ακόμα	още	ADV	ADV
ίδιο	същият	ίδιος	същ	ADJ;NOM;NEUT;SG	ADJ;DEF;MASC;SG
ίδιο	същата	ίδιος	същ	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
ίδιο	същото	ίδιος	същ	ADJ;NOM;NEUT;SG	ADJ;DEF;NEUT;SG
εκλογές	избори	εκλογή	избор	N;NOM;FEM;PL	N;INDF;MASC;PL
εκλογές	изборите	εκλογή	избор	N;NOM;FEM;PL	N;DEF;MASC;PL
εκλογές	избори	εκλογή	избор	N;NOM;FEM;PL	N;INDF;MASC;PL
μέλη	членове	μέλος	член	N;NOM;NEUT;PL	N;INDF;MASC;PL
μέλη	членовете	μέλος	член	N;NOM;NEUT;PL	N;DEF;MASC;PL
μέλος	член	μέλος	член	N;NOM;NEUT;SG	N;INDF;MASC;SG
εποχή	епоха	εποχή	епоха	N;ACC;FEM;SG	N;INDF;FEM;SG
εποχή	сезон	εποχή	сезон	N;ACC;FEM;SG	N;INDF;MASC;SG
εποχή	сезона	εποχή	сезон	N;ACC;FEM;SG	N;DEF;MASC;SG
εποχή	епоха	εποχή	епоха	N;ACC;FEM;SG	N;INDF;FEM;SG
εποχή	ерата	εποχή	ера	N;ACC;FEM;SG	N;DEF;FEM;SG
εποχή	ера	εποχή	ера	N;ACC;FEM;SG	N;INDF;FEM;SG
χωριό	село	χωριό	село	N;NOM;NEUT;SG	N;INDF;NEUT;SG
αρχικά	първоначално	αρχικά	първоначално	ADV	ADV
αρχικά	първоначално	αρχικά	първоначално	ADV	ADV
περίοδος	период	περίοδος	период	N;NOM;FEM;SG	N;INDF;MASC;SG
δήμος	община	δήμος	община	N;NOM;MASC;SG	N;INDF;FEM;SG
κύπελλο	чашка	κύπελλος	чашки	N;NOM;NEUT;SG	N;INDF;FEM;SG
κύπελλο	чаша	κύπελλος	чаша	N;NOM;NEUT;SG	N;INDF;FEM;SG
κύπελλο	купа	κύπελλος	купа	N;NOM;NEUT;SG	N;INDF;FEM;SG
κύπελλο	къп	κύπελλος	къп	N;NOM;NEUT;SG	N;INDF;MASC;SG
ζωή	живот	ζωή	живот	N;ACC;FEM;SG	N;INDF;MASC;SG
ζωή	живота	ζωή	живот	N;ACC;FEM;SG	N;DEF;MASC;SG
ζωή	лайф	ζωή	лайф	N;ACC;FEM;SG	N;INDF;MASC;SG
ζωή	животът	ζωή	живот	N;ACC;FEM;SG	N;DEF;MASC;SG
ζωή	зоуи	ζωή	зоуя	N;ACC;FEM;SG	N;INDF;FEM;SG
έδρα	седалище	έδρα	седалище	N;NOM;FEM;SG	N;INDF;NEUT;SG
έδρα	щаб	έδρα	щаб	N;NOM;FEM;SG	N;INDF;MASC;SG
έδρα	щаба	έδρα	щаб	N;NOM;FEM;SG	N;DEF;MASC;SG
έδρα	централа	έδρα	централа	N;NOM;FEM;SG	N;INDF;FEM;SG
έδρα	седалка	έδρα	седалка	N;NOM;FEM;SG	N;INDF;FEM;SG
έδρα	седалката	έδρα	седалка	N;NOM;FEM;SG	N;DEF;FEM;SG
περιλαμβάνει	включва	περιλαμβάνω	включвам-(се)	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
μεγάλο	голям	μεγάλος	голям	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
μεγάλο	голяма	μεγάλος	голям	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
μεγάλο	голям	μεγάλος	голям	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
μεγάλο	голяма	μεγάλος	голям	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
βάση	основа	βάση	основа	N;ACC;FEM;SG	N;INDF;FEM;SG
βάση	база	βάση	база	N;ACC;FEM;SG	N;INDF;FEM;SG
βάση	основа	βάση	основа	N;ACC;FEM;SG	N;INDF;FEM;SG
βάση	основание	βάση	основание	N;ACC;FEM;SG	N;INDF;NEUT;SG
βάση	база	βάση	база	N;ACC;FEM;SG	N;INDF;FEM;SG
κέντρο	център	κέντρο	център	N;NOM;NEUT;SG	N;INDF;MASC;SG
κέντρο	център	κέντρο	център	N;NOM;NEUT;SG	N;INDF;MASC;SG
γεννήσεις	раждания	γεννήση	раждане	N;NOM;FEM;PL	N;INDF;NEUT;PL
φεβρουαρίου	февруари	φεβρουάριο	февруари	N;GEN;MASC;SG	N;INDF;MASC;SG
κάτι	нещо	κάτι	някой	PRO;NOM;NEUT;SG;3	PRO;NOM;INDF;NEUT;SG
κοντά	близко	κοντά	близък	ADV	ADV
κοντά	близо	κοντά	близо	ADV	ADV
κοντά	близко	κοντά	близък	ADV	ADV
κοντά	близо	κοντά	близо	ADV	ADV
κοντά	наблизо	κοντά	наблизо	ADV	ADV
μορφή	формуляр	μορφή	формуляр	N;NOM;FEM;SG	N;INDF;MASC;SG
μορφή	форма	μορφή	форма	N;NOM;FEM;SG	N;INDF;FEM;SG
μορφή	формат	μορφή	формат	N;NOM;FEM;SG	N;INDF;MASC;SG
χρόνο	времето	χρόνος	време	N;ACC;MASC;SG	N;DEF;NEUT;SG
χρόνο	време	χρόνος	време	N;ACC;MASC;SG	N;INDF;NEUT;SG
ιστοσελίδα	уебсайт	ιστοσελίδα	уебсайт	N;NOM;FEM;SG	N;INDF;MASC;SG
ιστοσελίδα	сайт	ιστοσελίδα	сайт	N;NOM;FEM;SG	N;INDF;MASC;SG
κόμμα	парти	κόμμα	парта	N;NOM;NEUT;SG	N;INDF;NEUT;SG
κόμμα	купон	κόμμα	купон	N;NOM;NEUT;SG	N;INDF;MASC;SG
κόμμα	партия	κόμμα	партия	N;NOM;NEUT;SG	N;INDF;FEM;SG
κόμμα	запетая	κόμμα	запетая	N;NOM;NEUT;SG	N;INDF;FEM;SG
ρόλο	роло	ρόλος	роло	N;ACC;MASC;SG	N;INDF;MASC;SG
ρόλο	роля	ρόλος	роля	N;ACC;MASC;SG	N;INDF;FEM;SG
άλμπουμ	албум	άλμπουμ	албум	N;MASC;SG	N;INDF;MASC;SG
έκδοση	изданието	έκδοση	издание	N;ACC;FEM;SG	N;DEF;NEUT;SG
έκδοση	издание	έκδοση	издание	N;ACC;FEM;SG	N;INDF;NEUT;SG
έκδοση	версия	έκδοση	версия	N;ACC;FEM;SG	N;INDF;FEM;SG
αρχές	властите	αρχή	власт	N;NOM;FEM;PL	N;DEF;FEM;PL
αρχές	власти	αρχή	власт	N;NOM;FEM;PL	N;INDF;FEM;PL
αρχές	органи	αρχή	орган	N;NOM;FEM;PL	N;INDF;MASC;PL
αρχές	принципи	αρχή	принцип	N;NOM;FEM;PL	N;INDF;MASC;PL
γύρω	наоколо	γύρω	наоколо	ADV	ADV
συνήθως	обикновенно	συνήθως	обикновенно	ADV	ADV
συνήθως	обикновено	συνήθως	обикновено	ADV	ADV
ονομασία	името	ονομασία	име	N;NOM;FEM;SG	N;DEF;NEUT;SG
ονομασία	наименование	ονομασία	наименование	N;NOM;FEM;SG	N;INDF;NEUT;SG
ονομασία	име	ονομασία	име	N;NOM;FEM;SG	N;INDF;NEUT;SG
ονομασία	обозначение	ονομασία	обозначение	N;NOM;FEM;SG	N;INDF;NEUT;SG
ονομασία	означение	ονομασία	означение	N;NOM;FEM;SG	N;INDF;NEUT;SG
ονομασία	обозначаване	ονομασία	обозначаване	N;NOM;FEM;SG	N;INDF;NEUT;SG
ονομασία	определяне	ονομασία	определяне	N;NOM;FEM;SG	N;INDF;NEUT;SG
κοινότητα	общност	κοινότητα	общност	N;ACC;FEM;SG	N;INDF;FEM;SG
κοινότητα	общността	κοινότητα	общност	N;ACC;FEM;SG	N;DEF;FEM;SG
τελευταία	последно	τελευταία	последно	ADV	ADV
τελευταία	напоследък	τελευταία	напоследък	ADV	ADV
ξεκίνησε	започна	ξεκινώ	започна	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
κυβέρνηση	правителство	κυβέρνηση	правителство	N;NOM;FEM;SG	N;INDF;NEUT;SG
γλώσσα	език	γλώσσα	език	N;NOM;FEM;SG	N;INDF;MASC;SG
γλώσσα	езикът	γλώσσα	език	N;NOM;FEM;SG	N;DEF;MASC;SG
γλώσσα	езика	γλώσσα	език	N;NOM;FEM;SG	N;DEF;MASC;SG
γλώσσα	език	γλώσσα	език	N;NOM;FEM;SG	N;INDF;MASC;SG
γιος	син	γιος	син	N;NOM;MASC;SG	N;INDF;MASC;SG
μάχη	битката	μάχη	битка	N;ACC;FEM;SG	N;DEF;FEM;SG
μάχη	битка	μάχη	битка	N;ACC;FEM;SG	N;INDF;FEM;SG
μάχη	битка	μάχη	битка	N;ACC;FEM;SG	N;INDF;FEM;SG
μάχη	борба	μάχη	борба	N;ACC;FEM;SG	N;INDF;FEM;SG
μάχη	битка	μάχη	битка	N;ACC;FEM;SG	N;INDF;FEM;SG
μάχη	бой	μάχη	бой	N;ACC;FEM;SG	N;INDF;MASC;SG
πανεπιστήμιο	университет	πανεπιστήμιο	университет	N;NOM;NEUT;SG	N;INDF;MASC;SG
πανεπιστήμιο	университета	πανεπιστήμιο	университет	N;NOM;NEUT;SG	N;DEF;MASC;SG
κάποια	някои	κάποιος	някой	PRO;NOM;NEUT;PL;3	PRO;NOM;PL
δείτε	вижте	βλέπω	видя-(се)	V;PFV;IMP;PL;2;FIN;ACT	V;PFV;IMP;PL;2;FIN
πόλεμο	войната	πόλεμος	война	N;ACC;MASC;SG	N;DEF;FEM;SG
πόλεμο	война	πόλεμος	война	N;ACC;MASC;SG	N;INDF;FEM;SG
συχνά	често	συχνά	често	ADV	ADV
περιοχές	райони	περιοχή	район	N;NOM;FEM;PL	N;INDF;MASC;PL
περιοχές	региони	περιοχή	регион	N;NOM;FEM;PL	N;INDF;MASC;PL
περιοχές	регионите	περιοχή	регион	N;NOM;FEM;PL	N;DEF;MASC;PL
περιοχές	райони	περιοχή	район	N;NOM;FEM;PL	N;INDF;MASC;PL
περιοχές	зони	περιοχή	зоня	N;NOM;FEM;PL	N;INDF;FEM;PL
περιοχές	площи	περιοχή	площ	N;NOM;FEM;PL	N;INDF;FEM;PL
περιοχές	области	περιοχή	област	N;NOM;FEM;PL	N;INDF;FEM;PL
συμμετοχές	участия	συμμετοχή	участие	N;NOM;FEM;PL	N;INDF;NEUT;PL
παράδειγμα	пример	παράδειγμα	пример	N;NOM;NEUT;SG	N;INDF;MASC;SG
άρθρο	статия	άρθρο	статия	N;NOM;NEUT;SG	N;INDF;FEM;SG
άρθρο	член	άρθρο	член	N;NOM;NEUT;SG	N;INDF;MASC;SG
εικόνα	снимка	εικόνα	снимка	N;NOM;FEM;SG	N;INDF;FEM;SG
εικόνα	картинка	εικόνα	картинка	N;NOM;FEM;SG	N;INDF;FEM;SG
εικόνα	имидж	εικόνα	имидж	N;NOM;FEM;SG	N;INDF;MASC;SG
εικόνα	картинка	εικόνα	картинка	N;NOM;FEM;SG	N;INDF;FEM;SG
εικόνα	образ	εικόνα	образ	N;NOM;FEM;SG	N;INDF;MASC;SG
εικόνα	изображение	εικόνα	изображение	N;NOM;FEM;SG	N;INDF;NEUT;SG
επίσημη	официален	επίσημος	официален	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;SG
επίσημη	официална	επίσημος	официален	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
