پُشتَینی	kalıtsal	پُشتَینی	kalıtsal	ADJ	ADJ
پیار	arkadaşlık	پیار	arkadaşlık	N;NOM;MASC;SG;3	N;NOM;SG;3
پیار	dostluk	پیار	dostluk	N;NOM;MASC;SG;3	N;NOM;SG;3
پیار	eklenti	پیار	ekle	N;NOM;MASC;SG;3	N;NOM;SG;3
پیار	şefkat	پیار	şefkat	N;NOM;MASC;SG;3	N;NOM;SG;3
پیارا	sevgilim	پیارا	sevgilim	ADJ;NOM;MASC;SG	ADJ;NOM;SG;3
پیچ	taktikleri	پیچ	taktik	V;SG;V.PTCP;ACT	V;PFV;NOM;IND;POS;PST;V.PTCP
پیچ	dön	پیچ	dön	V;SG;V.PTCP;ACT	V;PFV;IMP;SG;2;POS;PRS
پیچاک	karışık	پیچاک	karışık		
پیچاک	kompleks	پیچاک	kompleks		
پیچاک	twist	پیچاک	twist		
پیچاک	salyangoz	پیچاک	salyangoz		
پیچاک	dönüş	پیچاک	dönüş		
پیچاک	curl	پیچاک	curl		
پیچاں	çarpık	پیچاں	çarpık		
پیچاں	sapkın	پیچاں	sapkın		
پیچاں	çarpık	پیچاں	çarpık		
پیچاں	sapkın	پیچاں	sapkın		
پیچیدگی	komplikasyon	پیچیدگی	komplikasyon	N;NOM;MASC;SG;3	N;NOM;SG;3
پیچیدگی	karmaşıklık	پیچیدگی	karmaşıklık	N;NOM;MASC;SG;3	N;NOM;SG;3
پیچیدگی	komplikasyon	پیچیدگی	komplikasyon	N;NOM;MASC;SG;3	N;NOM;SG;3
پیچیدہ	karmaşık	پیچیدہ	karmaşık	ADJ	ADJ
پیچیدہ	karmaşık	پیچیدہ	karmaşık	ADJ	ADJ
پیچیدہ	karmaşık	پیچیدہ	karmaşık	ADJ	ADJ
پیش	önceden	پیش	önceden	ADV;MASC;SG;3	ADV
پیشانی	başlığı	پیشانی	başlık	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشانی	başlığı	پیشانی	başlık	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشتر	öncesi	پیشتر	önce	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشکش	öneri	پیشکش	öneri	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشکش	teklif	پیشکش	teklif	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشکش	teklif	پیشکش	teklif	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشکش	öneri	پیشکش	öneri	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشکش	teklif	پیشکش	teklif	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشوا	modeli	پیشوا	model	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشوا	rehberlik	پیشوا	rehberlik	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشوا	rehberi	پیشوا	rehber	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشوا	lideri	پیشوا	lider	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشوائی	önceliği	پیشوائی	öncelik	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشوائی	öncelik	پیشوائی	öncelik	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشوائی	liderlik	پیشوائی	liderlik	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشوائی	hidayet	پیشوائی	hidayet	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشوائی	rehberlik	پیشوائی	rehberlik	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشہ	iş	پیشہ	iş	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشہ	fahişelik	پیشہ	fahişelik	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشہ	mesleği	پیشہ	meslek	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشہ	iş	پیشہ	iş	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشہ	fahişelik	پیشہ	fahişelik	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشی	varlığı	پیشی	varlık	N;NOM;MASC;SG;3	N;NOM;SG;3
پیشین	akşam	پیشین	akşam	N;NOM;MASC;SG;3	N;NOM;SG;3
پیکھنا	gör	پیکھ	gör	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پیکھنا	görmek	پیکھ	gör	V;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پیل	it	پیل	it		
پیل	bolca	پیل	bolca		
پیل	bolluk	پیل	bolluk		
پَین	kanal	پَین	kanal		
پَین	channel	پَین	channel		
پَین	bilardo	پَین	bil		
پَین	havuz	پَین	havuz		
پَیں	bip	پَیں	bip		
پیندا	kalça	پیندا	kalça		
پیندا	popo	پیندا	popo		
پیندا	kalça	پیندا	kalça		
پینڈ	yumru	پینڈ	yumru		
پینڈ	balo	پینڈ	balo		
پینڈ	top	پینڈ	top		
پینڈ	ball	پینڈ	ball		
پھاٹ	bölüm	پھاٹ	bölüm		
پھاٹ	division	پھاٹ	divi		
پھاٹک	girişi	پھاٹک	giriş		
پھاٹک	gate	پھاٹک	gate		
پھاٹک	geçit	پھاٹک	geçit		
پھاٹک	kontrol	پھاٹک	kontrol		
پھاٹک	çek	پھاٹک	çek		
پھاٹک	şah	پھاٹک	şah		
پھال	step	پھال	step		
پھال	basamak	پھال	basamak		
پھال	adım	پھال	adım		
پھال	stride	پھال	stri		
پھانس	endişe	پھانس	endiş		
پھانس	kıymık	پھانس	kıy		
پھانس	kaygı	پھانس	kaygı		
پھانس	endişe	پھانس	endiş		
پھانسی	döngüsü	پھانسی	döngü	N;NOM;FEM;SG;3	N;NOM;SG;3
پھانسی	ilmek	پھانسی	il	N;NOM;FEM;SG;3	N;NOM;SG;3
پھانک	meteliksiz	پھانک	meteliksiz		
پھانک	meteliksiz	پھانک	meteliksiz		
پھانک	bit	پھانک	bit		
پھانک	yarık	پھانک	yarık		
پھانک	pay	پھانک	pay		
پھانک	porsiyon	پھانک	porsiyon		
پھانک	parça	پھانک	parça		
پھانک	kesim	پھانک	kesim		
پھانک	kes	پھانک	kes		
پھانکڑ	cüretkar	پھانکڑ	cüretkar		
پھانکڑ	cesur	پھانکڑ	cesur		
پھانکڑ	zekice	پھانکڑ	zekice		
پھانکڑ	zeki	پھانکڑ	zeki		
پھانکڑ	akıllı	پھانکڑ	akıllı		
پھانکڑ	züppe	پھانکڑ	züppe		
پھانکڑ	zeki	پھانکڑ	zeki		
پھانکڑ	akıllı	پھانکڑ	akıllı		
پھانکڑ	sağlam	پھانکڑ	sağlam		
پھانکنا	açın	پھانکنا	aç	V;NFIN;ACT	V;PFV;IMP;PL;2;POS;PRS
پھب	zarafet	پھب	zarafet		
پھب	grace	پھب	grace		
پھب	zarafet	پھب	zarafet		
پھبن	zarafet	پھبن	zarafet		
پھبن	grace	پھبن	grace		
پھبن	tılsım	پھبن	tıl		
پھبن	zarafet	پھبن	zarafet		
پھپک	büyüme	پھپک	büyü		
پھپک	kalkınma	پھپک	kalkın		
پھپک	gelişme	پھپک	geliş		
پھپک	gelişim	پھپک	geliş		
پُھٹکر	ayrıldı	پُھٹکر	ayrıl	V;V.CVB;ACT	V;PFV;IND;SG;3;POS;PST
پھدک	kaynayan	پھدک	kayna		
پھدک	kaynar	پھدک	kaynar		
پھدک	heves	پھدک	heves		
پھدک	coşku	پھدک	coşku		
پھرک	kalkan	پھرک	kalk		
پِھرنا	dolaşıp	پِھر	dolaş	V;MASC;SG;NFIN;ACT	V;PFV;IND;POS;PRS;V.CVB
پھڑک	ajitasyon	پھڑک	ajitasyon		
پھڑکن	nabzı	پھڑکن	nabzı		
پھڑکن	nabız	پھڑکن	nabız		
پھڑکن	hasret	پھڑکن	hasret		
پھڑکن	özlem	پھڑکن	özlem		
پھڑکن	dilek	پھڑکن	dilek		
پھڑکن	keske	پھڑکن	keske		
پھڑکن	ajitasyon	پھڑکن	ajitasyon		
پھُس	fısıltı	پھُس	fısıltı		
پھسائو	yakala	پھسائو	yakal		
پھسائو	yakalama	پھسائو	yakalama		
پُھسکنا	fısıltı	پُھسک	fısıltı		
پُھسلانا	kaçırılma	پُھسلانا	kaçır	V;MASC;SG;V.PTCP;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پُھسلانا	kaçırmak	پُھسلانا	kaçır	V;MASC;SG;V.PTCP;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پُھکنا	yansın	پُھک	yan	V;NFIN;ACT	V;PFV;IMP;SG;3;POS;PRS
پُھکنا	yanar	پُھک	yan	V;NFIN;ACT	V;IPFV;IND;SG;3;POS
پھل	kazanç	پھل	kazanç	N;NOM;MASC;SG;3	N;NOM;SG;3
پھل	etkisi	پھل	etki	N;NOM;MASC;SG;3	N;NOM;SG;3
پھل	çocuk	پھل	çocuk	N;NOM;MASC;SG;3	N;NOM;SG;3
پھل	kazanç	پھل	kazanç	N;NOM;MASC;SG;3	N;NOM;SG;3
پھُل	çiçek	پھُل	çiçek		
پھلکا	blister	پھلکا	bliste		
پھلی	döngüsü	پھلا	döngü	N;NOM;MASC;SG;3	N;NOM;SG;3
پھند	taktik	پھند	taktik		
پھند	tuzak	پھند	tuzak		
پھند	kapan	پھند	kap		
پُھوٹنا	kalkın	پُھوٹنا	kalk	V;NFIN;ACT	V;PFV;IMP;PL;2;POS;PRS
پُھوٹنا	vur	پُھوٹنا	vur	V;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
پُھوٹنا	patlamış	پُھوٹنا	patla	V;NFIN;ACT	V;PFV;NFH;IND;POS;PST;V.PTCP
پُھوٹنا	söyleyin	پُھوٹنا	söyle	V;NFIN;ACT	V;PFV;IMP;PL;2;POS;PRS
پُھوٹنا	ayırın	پُھوٹنا	ayır	V;NFIN;ACT	V;PFV;IMP;PL;2;POS;PRS
پھوک	oyuk	پھوک	oyuk		
پھوک	bos	پھوک	bos		
پھوک	bomboş	پھوک	bomboş		
پھوک	kuru	پھوک	kuru		
پھوک	çöp	پھوک	çöp		
پھوک	oyuk	پھوک	oyuk		
پھوک	reddetme	پھوک	reddet		
پھوک	bos	پھوک	bos		
پھوک	bomboş	پھوک	bomboş		
پھوک	kuru	پھوک	kuru		
پھوک	çöp	پھوک	çöp		
پھیر	dön	پھیر	dön	V;ACT	V;PFV;IMP;SG;2;POS;PRS
پھیرا	dön	پھیرا	dön	V;MASC;SG;V.PTCP;ACT	V;PFV;IMP;SG;2;POS;PRS
پِھینچنا	sıkmak	پِھینچ	sık	V;MASC;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
پِھینچنا	yıkama	پِھینچ	yıka	V;MASC;SG;NFIN;ACT	V;PFV;IND;2;NEG;PRS
تِ	three	تِ	three		
تاب	sıcaklık	تاب	sıcaklık	N;NOM;MASC;SG;3	N;NOM;SG;3
تاب	aydınlık	تاب	aydınlık	N;NOM;MASC;SG;3	N;NOM;SG;3
تاب	parlaklık	تاب	parlaklık	N;NOM;MASC;SG;3	N;NOM;SG;3
تاب	dayanıklılık	تاب	dayanıklılık	N;NOM;MASC;SG;3	N;NOM;SG;3
تاب	sıcaklık	تاب	sıcaklık	N;NOM;MASC;SG;3	N;NOM;SG;3
تاباں	parlak	تاباں	parlak		
تابہ	tava	تابہ	tava		
تابہ	çarpık	تابہ	çarpık		
تابہ	sapkın	تابہ	sapkın		
تابی	sıcaklık	تابی	sıcaklık	N;NOM;MASC;SG;3	N;NOM;SG;3
تابی	sıcaklık	تابی	sıcaklık	N;NOM;MASC;SG;3	N;NOM;SG;3
تاپ	yanan	تاپ	yan		
تاپ	yakmak	تاپ	yak		
تاپ	yanma	تاپ	yan		
تاپ	isı	تاپ	isı		
تاپ	ateş	تاپ	ateş		
تاپ	ates	تاپ	ates		
تات	sevgili	تات	sevgili		
تات	onurlu	تات	onurlu		
تاتار	tartar	تاتار	tarta		
تاجو	zalim	تاجو	zalim		
تاجو	hırçın	تاجو	hırçın		
تاخت	taarruz	تاخت	taarruz	N;NOM;MASC;SG;3	N;NOM;SG;3
تار	iplik	تار	iplik	N;NOM;MASC;SG;3	N;NOM;SG;3
تارک	üst	تارک	üst		
تارک	üstü	تارک	üst		
تارک	top	تارک	top		
تارک	tepe	تارک	tepe		
تاریخ	randevu	تاریخ	randev	N;NOM;MASC;SG;3	N;NOM;SG;3
تاریخ	tarih	تاریخ	tarih	N;NOM;MASC;SG;3	N;NOM;SG;3
تاریخ	tarih	تاریخ	tarih	N;NOM;MASC;SG;3	N;NOM;SG;3
تاڑ	anlama	تاڑ	anla		
تاڑ	anlama	تاڑ	anla		
تاڑ	anlayış	تاڑ	anlayış		
تاڑنا	anlıyor	تاڑنا	anla	V;SG;NFIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
تاڑنا	anlamak	تاڑنا	anla	V;SG;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
تاز	irk	تاز	irk		
تاز	yarış	تاز	yarış		
تاز	koşu	تاز	koşu		
تاز	koşan	تاز	koş		
تاز	saldırı	تاز	saldırı		
تاز	işgal	تاز	işgal		
تاز	istila	تاز	istila		
تازگی	yenilik	تازگی	yenilik	N;NOM;MASC;SG;3	N;NOM;SG;3
تازگی	yenilik	تازگی	yenilik	N;NOM;MASC;SG;3	N;NOM;SG;3
تازہ	yeni	تازہ	yeni	ADJ	ADJ
تازہ	mutlu	تازہ	mutlu	ADJ	ADJ
تازہ	yeni	تازہ	yeni	ADJ	ADJ
تازہ	yeşil	تازہ	yeşil	ADJ	ADJ
تازہ	yeşili	تازہ	yeşil	ADJ	ADJ;ACC;SG;3
تازہ	mutlu	تازہ	mutlu	ADJ	ADJ
تاس	leğen	تاس	leğen		
تاس	yalak	تاس	yalak		
تاغ	dağ	تاغ	dağ		
تاغ	nar	تاغ	nar		
تاک	asma	تاک	as		
تاک	vine	تاک	vin		
تاک	sarmaşık	تاک	sarmaşık		
تاک	hedef	تاک	hedef		
تاک	üzüm	تاک	üz		
تاک	bakım	تاک	bakım		
تاک	özen	تاک	özen		
تاک	izle	تاک	izle		
تاک	nişan	تاک	nişan		
تاک	hedef	تاک	hedef		
تاکنا	seç	تاکنا	seç		
تاکنا	seçim	تاکنا	seçim		
تاکنا	seçme	تاکنا	seç		
تاکنا	dikiz	تاکنا	dikiz		
تاکنا	peep	تاکنا	peep		
تاکنا	dilek	تاکنا	dilek		
تاکنا	keske	تاکنا	keske		
تاکنا	seç	تاکنا	seç		
تاکنا	seçim	تاکنا	seçim		
تاکنا	seçme	تاکنا	seç		
تاکنا	dikiz	تاکنا	dikiz		
تاکنا	peep	تاکنا	peep		
تاکنا	dilek	تاکنا	dilek		
تاکنا	keske	تاکنا	keske		
تال	tankı	تال	tankı	N;NOM;MASC;SG;3	N;NOM;SG;3
تال	ölçüm	تال	ölçüm	N;NOM;MASC;SG;3	N;NOM;SG;3
تال	havuzu	تال	havuz	N;NOM;MASC;SG;3	N;NOM;SG;3
تال	pond	تال	pond	N;NOM;MASC;SG;3	N;NOM;SG;3
