dan	και	dan	και	CONJ	CONJ
hanya	απλα	hanya	απλά	ADV	ADV
hanya	απλά	hanya	απλά	ADV	ADV
hanya	απλώς	hanya	απλά	ADV	ADV
air	νερό	air	νερό	N;SG	N;NOM;NEUT;SG
air	νερο	air	νερο	N;SG	N;NOM;NEUT;SG
air	αερα	air	αέρας	N;SG	N;ACC;MASC;SG
air	αέρα	air	αέρας	N;SG	N;ACC;MASC;SG
air	αέρας	air	αέρας	N;SG	N;NOM;MASC;SG
terletak	εντοπίστηκε	terletak	εντοπίζω	V;SG;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
hari	μερα	hari	μερα	N;SG	N;NOM;FEM;SG
hari	ημερα	hari	ημερα	N;SG	N;NOM;FEM;SG
hari	ημέρα	hari	ημέρα	N;SG	N;NOM;FEM;SG
hari	μέρα	hari	μέρα	N;SG	N;ACC;FEM;SG
hingga	μέχρι	hingga	μέχρι	ADP	ADP
hingga	έως	hingga	ώς	ADP	ADP
sampai	μέχρι	sampai	μέχρι	ADP	ADP
sampai	έως	sampai	ώς	ADP	ADP
digunakan	χρησιμοποιήθηκε	digunakan	χρησιμοποιώ	V;SG;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
digunakan	χρησιμοποιείται	digunakan	χρησιμοποιώ	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
kali	χρόνος	kali	χρόνος	N;SG	N;NOM;MASC;SG
kali	ώρα	kali	ώρα	N;SG	N;ACC;FEM;SG
kali	φορά	kali	φορά	N;SG	N;ACC;FEM;SG
kali	ωρα	kali	ωρα	N;SG	N;ACC;FEM;SG
kali	χρόνο	kali	χρόνος	N;SG	N;ACC;MASC;SG
sama	ίσης	sama	ίσος	ADJ;SG	ADJ;GEN;FEM;SG
ketika	όταν	ketika	όταν	CONJ	CONJ
ketika	οταν	ketika	οταν	CONJ	CONJ
sangat	πολυ	sangat	πολυ	ADV	ADV
sangat	πολύ	sangat	πολύ	ADV	ADV
sangat	έντονα	sangat	έντονα	ADV	ADV
sangat	εξαιρετικά	sangat	εξαιρετικά	ADV	ADV
album	δίσκος	album	δίσκος	N;SG	N;NOM;MASC;SG
album	άλμπουμ	album	άλμπουμ	N;SG	N;MASC;SG
album	άλμπουμ	album	άλμπουμ	N;SG	N;MASC;SG
panjang	μακρύς	panjang	μακρύς	ADJ;SG	ADJ;NOM;MASC;SG
anggota	μέλος	anggota	μέλος	N;SG	N;NOM;NEUT;SG
anggota	βουλευτής	anggota	βουλευτής	N;SG	N;NOM;MASC;SG
anggota	μελος	anggota	μελος	N;SG	N;NOM;NEUT;SG
menggunakan	χρησιμοποιώντας	mengunakan	χρησιμοποιώ	V;SG;ACT	V;IPFV;V.CVB;ACT
menggunakan	χρησιμοποιεί	mengunakan	χρησιμοποιώ	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
utama	πρωτοβάθμια	utama	πρωτοβάθμιος	ADJ;SG	ADJ;NOM;FEM;SG
disebut	ονομάζεται	disebut	ονομάζω	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
sudah	ήδη	sudah	ήδη	ADV;SG;ACT	ADV
sudah	ηδη	sudah	ηδη	ADV;SG;ACT	ADV
menyebabkan	προκαλώντας	mensebabkan	προκαλώ	V;SG;ACT	V;IPFV;V.CVB;ACT
menyebabkan	προκαλεί	mensebabkan	προκαλώ	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
masih	ακόμη	masih	ακόμα	ADV	ADV
masih	ακομα	masih	ακομα	ADV	ADV
masih	ακόμα	masih	ακόμα	ADV	ADV
lihat	βλέπεις	lihat	βλέπη	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
lihat	κοίτα	lihat	κοίτα	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
tinggi	υψηλή	tinggi	ψηλός	ADJ;SG	ADJ;NOM;FEM;SG
tinggi	υψηλός	tinggi	υψηλός	ADJ;SG	ADJ;NOM;MASC;SG
tinggi	υψηλό	tinggi	ψηλός	ADJ;SG	ADJ;NOM;NEUT;SG
waktu	χρόνος	waktu	χρόνος	N;SG	N;NOM;MASC;SG
waktu	ώρα	waktu	ώρα	N;SG	N;ACC;FEM;SG
waktu	φορά	waktu	φορά	N;SG	N;ACC;FEM;SG
waktu	ωρα	waktu	ωρα	N;SG	N;ACC;FEM;SG
waktu	χρόνο	waktu	χρόνος	N;SG	N;ACC;MASC;SG
jenis	τύπου	jenis	τύπος	N;SG	N;GEN;MASC;SG
jenis	τύπος	jenis	τύπος	N;SG	N;NOM;MASC;SG
jenis	είδος	jenis	είδος	N;SG	N;NOM;NEUT;SG
bulan	φεγγάρι	bulan	φεγγάρι	N;SG	N;NOM;NEUT;SG
bulan	σελήνη	bulan	σελήνη	N;SG	N;NOM;FEM;SG
bulan	μήνα	bulan	μήνας	N;SG	N;ACC;MASC;SG
bulan	μήνας	bulan	μήνας	N;SG	N;NOM;MASC;SG
departemen	τμήμα	departemen	τμήμα	N;SG	N;NOM;NEUT;SG
departemen	τμημα	departemen	τμημα	N;SG	N;NOM;NEUT;SG
dikenal	αναγνωρισμένο	dikenal	αναγνωρίζω	V;SG;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
dikenal	αναγνωρίζεται	dikenal	αναγνωρίζω	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
dikenal	αναγνωρίστηκε	dikenal	αναγνωρίζω	V;SG;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
dikenal	αναγνωρισμένη	dikenal	αναγνωρίζω	V;SG;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
dikenal	αναγνωρίζεται	dikenal	αναγνωρίζω	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
dikenal	αναγνωρισμένο	dikenal	αναγνωρίζω	V;SG;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
dikenal	αναγνωρισμένος	dikenal	αναγνωρισμένος	V;SG;PASS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
dikenal	αναγνωρισμένη	dikenal	αναγνωρίζω	V;SG;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
laba	κέρδος	laba	κέρδος	N;SG	N;NOM;NEUT;SG
laba	σπάιντερ	laba	σπάιντερ	N;SG	N
laba	αράχνη	laba	αράχνω	N;SG	N;NOM;FEM;SG
membuat	δημιουργώντας	menbuat	δημιουργώ	V;SG;ACT	V;IPFV;V.CVB;ACT
sementara	ενώ	sementara	ενώ	CONJ	CONJ
mulai	ξεκίνα	mulai	ξεκίνα	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
mulai	αρχίζοντας	mulai	αρχίζω	V;SG;ACT	V;IPFV;V.CVB;ACT
mulai	ξεκινώντας	mulai	ξεκινώ	V;SG;ACT	V;IPFV;V.CVB;ACT
resmi	επίσημο	resmi	επίσημος	ADJ;SG	ADJ;NOM;NEUT;SG
resmi	επίσημη	resmi	επίσημος	ADJ;SG	ADJ;NOM;FEM;SG
udara	κεραία	udara	κεραίος	N;SG	N;NOM;FEM;SG
udara	αερα	udara	αέρας	N;SG	N;ACC;MASC;SG
udara	αέρα	udara	αέρας	N;SG	N;ACC;MASC;SG
udara	αέρας	udara	αέρας	N;SG	N;NOM;MASC;SG
melalui	μέσω	melalui	μέσω	ADP	ADP
melalui	μεσω	melalui	μεσω	ADP	ADP
melalui	μέσω	melalui	μέσω	ADP	ADP
nasional	εθνικός	nasional	εθνικός	ADJ;SG	ADJ;NOM;MASC;SG
nasional	εθνικό	nasional	εθνικός	ADJ;SG	ADJ;NOM;NEUT;SG
nasional	εθνικη	nasional	εθνικη	ADJ;SG	ADJ;NOM;FEM;SG
nasional	εθνική	nasional	εθνικός	ADJ;SG	ADJ;NOM;FEM;SG
sekarang	τώρα	sekarang	τώρα	ADV	ADV
sekarang	τωρα	sekarang	τωρα	ADV	ADV
perang	πόλεμος	perang	πόλεμος	N;SG	N;NOM;MASC;SG
perang	πόλεμο	perang	πόλεμος	N;SG	N;ACC;MASC;SG
pulau	νησί	pulau	νησί	N;SG	N;NOM;NEUT;SG
pulau	νησι	pulau	νησι	N;SG	N;NOM;NEUT;SG
rumah	πατρίδα	rumah	πατρίδα	N;SG	N;ACC;FEM;SG
rumah	σπιτι	rumah	σπιτι	N;SG	N;NOM;NEUT;SG
rumah	σπίτι	rumah	σπίτι	N;SG	N;NOM;NEUT;SG
rumah	σπιτι	rumah	σπιτι	N;SG	N;NOM;NEUT;SG
rumah	σπίτι	rumah	σπίτι	N;SG	N;NOM;NEUT;SG
pendidikan	εκπαίδευση	pendidikan	εκπαίδευση	N;SG	N;ACC;FEM;SG
pendidikan	παιδεία	pendidikan	παιδεία	N;SG	N;NOM;FEM;SG
laut	πεζοναύτης	laut	πεζοναύτης	N;SG	N;NOM;MASC;SG
laut	πεζοναύτη	laut	πεζοναύτης	N;SG	N;NOM;MASC;SG
laut	θάλασσα	laut	θάλασσα	N;SG	N;NOM;FEM;SG
laut	θαλασσα	laut	θαλασσα	N;SG	N;NOM;FEM;SG
laut	ωκεανού	laut	ωκεανός	N;SG	N;GEN;NEUT;SG
laut	ωκεανό	laut	ωκεανός	N;SG	N;VOC;MASC;SG
tim	ομαδα	tim	ομαδα	N;SG	N;NOM;FEM;SG
tim	ομάδα	tim	ομάδα	N;SG	N;ACC;FEM;SG
sistem	συστημα	sistem	συστημα	N;SG	N;NOM;NEUT;SG
sistem	σύστημα	sistem	σύστημα	N;SG	N;NOM;NEUT;SG
termasuk	συμπεριλαμβάνεται	termasuk	συμπεριλαμβάνω	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
termasuk	περιλαμβάνονται	termasuk	περιλαμβάνω	V	V;IPFV;IND;PL;3;PRS;FIN;PASS
termasuk	συμπεριλαμβάνονται	termasuk	συμπεριλαμβάνω	V	V;IPFV;IND;PL;3;PRS;FIN;PASS
termasuk	περιλαμβάνεται	termasuk	περιλαμβάνω	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
termasuk	συμπεριλαμβανομένου	termasuk	συμπεριλαμβανόμενος	V	V;PFV;GEN;MASC;SG;V.PTCP;PASS
termasuk	συμπεριλαμβανομένης	termasuk	συμπεριλαμβανόμενος	V	V;PFV;GEN;FEM;SG;V.PTCP;PASS
termasuk	συμπεριλαμβανομένων	termasuk	συμπεριλαμβανόμενος	V	V;PFV;GEN;FEM;PL;V.PTCP;PASS
termasuk	συμπεριλάβετε	termasuk	συμπεριλαμβάνω	V	V;PFV;IND;PL;2;FIN;ACT
termasuk	περιλαμβάνουν	termasuk	περιλαμβάνω	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
termasuk	περιλαμβάνονται	termasuk	περιλαμβάνω	V	V;IPFV;IND;PL;3;PRS;FIN;PASS
termasuk	περιλαμβάνει	termasuk	περιλαμβάνω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
larva	προνύμφες	larva	προνύμφα	N	N;NOM;FEM;PL
larva	προνύμφη	larva	προνύμφη	N	N;NOM;NEUT;SG
terhadap	εναντίον	terhadap	εναντίον	ADP	ADP
batang	ράβδος	batang	ράβδος	N;SG	N;NOM;FEM;SG
batang	μπάρ	batang	μπάρ	N;SG	N;NOM;NEUT;SG
batang	μπάρα	batang	μπάρα	N;SG	N;NOM;FEM;SG
sendiri	μόνη	sendiri	μόνος	ADJ;SG	ADJ;NOM;FEM;SG
sendiri	μόνος	sendiri	μόνος	ADJ;SG	ADJ;NOM;MASC;SG
matahari	σουν	matahari	σε	N;SG	N
presiden	πρόεδρος	presiden	πρόεδρος	N;SG	N;ACC;MASC;SG
presiden	πρόεδρε	presiden	πρόεδρος	N;SG	N;VOC;MASC;SG
presiden	πρόεδρο	presiden	πρόεδρος	N;SG	N;ACC;MASC;SG
masyarakat	κοινοτητα	masyarakat	κοινοτητα	N;SG	N;NOM;FEM;SG
masyarakat	κοινότητα	masyarakat	κοινότητα	N;SG	N;ACC;FEM;SG
masyarakat	κοινότητας	masyarakat	κοινότητα	N;SG	N;GEN;FEM;SG
masyarakat	κοινωνία	masyarakat	κοινωνία	N;SG	N;NOM;FEM;SG
masyarakat	κοινωνια	masyarakat	κοινωνια	N;SG	N;NOM;FEM;SG
pernah	ποτέ	pernah	ποτέ	ADV	ADV
pernah	ποτε	pernah	ποτε	ADV	ADV
pernah	ποτέ	pernah	ποτέ	ADV	ADV
tiga	τρεις	tiga	τρεις	NUM	NUM;NOM;MASC;PL
tiga	τρία	tiga	τρεις	NUM	NUM;NOM;NEUT;PL
tiga	τρια	tiga	τρεις	NUM	NUM
jalan	οδός	jalan	οδός	N;SG;ACT	N;NOM;FEM;SG
jalan	δρόμος	jalan	δρόμος	N;SG;ACT	N;NOM;MASC;SG
jalan	δρόμο	jalan	δρόμος	N;SG;ACT	N;ACC;MASC;SG
musik	μουσικη	musik	μουσίκη	N;SG	N;NOM;FEM;SG
musik	μιούζικαλ	musik	μιούζικαλ	N;SG	N;NOM;NEUT;SG
planet	πλανήτης	planet	πλανήτης	N;SG	N;NOM;MASC;SG
planet	πλανήτη	planet	πλανήτης	N;SG	N;ACC;MASC;SG
umum	γενική	umum	γενικός	ADJ;SG	ADJ;NOM;FEM;SG
umum	γενικό	umum	γενικός	ADJ;SG	ADJ;NOM;NEUT;SG
kerusakan	δυσλειτουργία	kerusakan	δυσλειτουργία	N;SG	N;NOM;FEM;SG
kerusakan	βλάβη	kerusakan	βλάβη	N;SG	N;ACC;FEM;SG
kerusakan	ζημία	kerusakan	ζημία	N;SG	N;ACC;FEM;SG
kerusakan	βλάβη	kerusakan	βλάβη	N;SG	N;ACC;FEM;SG
kerusakan	ζημιά	kerusakan	ζημιά	N;SG	N;ACC;FEM;SG
kecil	μικρή	kecil	μικρός	ADJ;SG	ADJ;NOM;FEM;SG
kecil	μικρό	kecil	μικρός	ADJ;SG	ADJ;NOM;NEUT;SG
kecil	μικρός	kecil	μικρός	ADJ;SG	ADJ;NOM;MASC;SG
kecil	μικρή	kecil	μικρός	ADJ;SG	ADJ;NOM;FEM;SG
kecil	μικρό	kecil	μικρός	ADJ;SG	ADJ;NOM;NEUT;SG
kecil	ανήλικος	kecil	ανήλικος	ADJ;SG	ADJ;NOM;MASC;SG
kecil	μικροσκοπική	kecil	μικροσκοπικός	ADJ;SG	ADJ;NOM;FEM;SG
kecil	μικροσκοπικό	kecil	μικροσκοπικός	ADJ;SG	ADJ;NOM;NEUT;SG
menteri	γραμματέας	menteri	γραμματέας	N;SG	N;NOM;MASC;SG
menteri	γραμματέα	menteri	γραμματέας	N;SG	N;ACC;MASC;SG
menteri	υπουργός	menteri	υπουργός	N;SG	N;NOM;MASC;SG
lagi	πάλι	lagi	πάλι	ADV	ADV
lagi	ξανά	lagi	ξανά	ADV	ADV
lagi	παλι	lagi	παλι	ADV	ADV
lagi	περισσότερο	lagi	πολύ	ADV	ADV;CMPR
lagi	πιο	lagi	πιο	ADV	ADV
jumlah	άθροισμα	jumlah	άθροισμα	N;SG	N;NOM;NEUT;SG
jumlah	ποσό	jumlah	ποσό	N;SG	N;NOM;NEUT;SG
jumlah	ποσότητα	jumlah	ποσότητα	N;SG	N;NOM;FEM;SG
kata	λέξη	kata	λέξη	N;SG	N;ACC;FEM;SG
kata	λεξη	kata	λεξη	N;SG	N;NOM;FEM;SG
penduduk	κάτοικος	penduduk	κάτοικος	N;SG	N;NOM;MASC;SG
penduduk	κάτοικο	penduduk	κάτοικος	N;SG	N;ACC;MASC;SG
penduduk	πληθυσμός	penduduk	πληθυσμός	N;SG	N;NOM;MASC;SG
penduduk	πληθυσμού	penduduk	πληθυσμός	N;SG	N;GEN;MASC;SG
bawah	πάτος	bawah	πάτος	N;SG	N;NOM;NEUT;SG
bawah	βυθό	bawah	βυθός	N;SG	N;NOM;NEUT;SG
terdiri	αποτελείται	terdiri	αποτελώ	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
terdiri	αποτελείται	terdiri	αποτελώ	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
artikel	αρθρο	artikel	αρθρο	N;SG	N;NOM;NEUT;SG
artikel	άρθρο	artikel	άρθρο	N;SG	N;NOM;NEUT;SG
tanduk	κέρατα	tanduk	κέρατος	N	N;NOM;NEUT;PL
tanduk	κέρατα	tanduk	κέρατος	N	N;NOM;NEUT;PL
