процедура	procedimento	процедура	procedimento	N;INAN;NOM;FEM;SG	N;MASC;SG
пропустил	ignorada	пропустить	ignorar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;SG;V.PTCP
пропустил	errou	пропустить	errar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
пропустил	faltou	пропустить	faltar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
свидетельство	certidão	свидетельство	certidão	N;INAN;NOM;NEUT;SG	N;FEM;SG
свидетельство	atestado	свидетельство	atestado	N;INAN;NOM;NEUT;SG	N;MASC;SG
свидетельство	testemunho	свидетельство	testemunho	N;INAN;NOM;NEUT;SG	N;MASC;SG
сервер	servidor	сервер	servidor	N;INAN;NOM;MASC;SG	N;MASC;SG
сервер	server	сервер	server	N;INAN;NOM;MASC;SG	N;MASC;SG
пишу	escrevendo	писать	escrever	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;V.MSDR
пишу	escrever	писать	escrever	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;NFIN
королей	reis	король	rei	N;ANIM;GEN;MASC;PL	N;MASC;PL
описано	descreveu	описать	descrever	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;SG;3;PST;FIN
описано	descrita	описать	descrever	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;FEM;SG;V.PTCP
описано	descrito	описать	descrever	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;MASC;SG;V.PTCP
фифа	fifa	фиф	fifa	N;INAN;NOM;MASC;SG	N;FEM;SG
косово	kosovo	косово	kosovo	N;INAN;NOM;NEUT;SG	N;MASC;SG
атаковать	atacar	атаковать	atacar	V;IPFV;NFIN;ACT	V;NFIN
атаковать	ataquem	атаковать	ataquem	V;IPFV;NFIN;ACT	V;SBJV;PL;3;PRS;FIN
присоединились	aderiram	присоединиться	aderir	V;PFV;IND;PL;PST;FIN;MID	V;IND;PL;3;FIN
абдул	abdul	абдул	abdul	N;ANIM;NOM;MASC;SG	N;MASC;SG
эксперт	perito	эксперт	perito	N;ANIM;NOM;MASC;SG	N;MASC;SG
эксперт	expert	эксперт	expert	N;ANIM;NOM;MASC;SG	N;MASC;SG
эксперт	especialista	эксперт	especialista	N;ANIM;NOM;MASC;SG	N;MASC;SG
розыгрыш	rifa	розыгрыш	rifa	N;INAN;NOM;MASC;SG	N;FEM;SG
розыгрыш	sorteio	розыгрыш	sorteio	N;INAN;NOM;MASC;SG	N;MASC;SG
розыгрыш	sorteio	розыгрыш	sorteio	N;INAN;NOM;MASC;SG	N;MASC;SG
розыгрыш	brincadeira	розыгрыш	brincadeira	N;INAN;NOM;MASC;SG	N;FEM;SG
розыгрыш	pegadinha	розыгрыш	pegadinha	N;INAN;NOM;MASC;SG	N;FEM;SG
розыгрыш	trote	розыгрыш	trote	N;INAN;NOM;MASC;SG	N;MASC;SG
армяне	armênios	армянин	armênio	N;ANIM;NOM;MASC;PL	N;MASC;PL
армяне	arménios	армянин	arménio	N;ANIM;NOM;MASC;PL	N;MASC;PL
дружба	amizade	дружба	amizade	N;INAN;NOM;FEM;SG	N;FEM;SG
древняя	antigo	древний	antigo	ADJ;NOM;FEM;SG	ADJ;MASC;SG
совершить	cometer	совершить	cometer	V;PFV;NFIN;ACT	V;NFIN
ссылаться	invocar	ссылаться	invocar	V;IPFV;NFIN;MID	V;NFIN
ископаемых	fósseis	ископаемое	fóssil	N;INAN;GEN;NEUT;PL	N;MASC;PL
фотограф	fotógrafa	фотограф	fotógrafa	N;ANIM;NOM;MASC;SG	N;FEM;SG
фотограф	fotografo	фотограф	fotografo	N;ANIM;NOM;MASC;SG	N;MASC;SG
фотограф	fotógrafo	фотограф	fotógrafo	N;ANIM;NOM;MASC;SG	N;MASC;SG
кислорода	oxigénio	кислород	oxigénio	N;INAN;GEN;MASC;SG	N;MASC;SG
кислорода	oxigênio	кислород	oxigênio	N;INAN;GEN;MASC;SG	N;MASC;SG
мэн	meng	мэн	meng	N;INAN;NOM;MASC;SG	N;MASC;SG
мэн	maine	мэн	maine	N;INAN;NOM;MASC;SG	N;MASC;SG
объединяет	une	объединять	unir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
позади	atrás	позади	atrás	ADV	ADV
николас	nicolás	николас	nicolás	N;ANIM;NOM;MASC;SG	N;MASC;SG
николас	nicolás	николас	nicolás	N;ANIM;NOM;MASC;SG	N;MASC;SG
николас	nicolau	николас	nicolar	N;ANIM;NOM;MASC;SG	N;MASC;SG
формировании	moldagem	формирование	moldagem	N;INAN;ESS;NEUT;SG	N;FEM;SG
поправки	emendas	поправка	emenda	N;INAN;NOM;FEM;PL	N;FEM;PL
поправки	alterações	поправка	alteração	N;INAN;NOM;FEM;PL	N;FEM;PL
астроном	astrónomo	астроном	astrónomo	N;ANIM;NOM;MASC;SG	N;MASC;SG
астроном	astrônomo	астроном	astrônomo	N;ANIM;NOM;MASC;SG	N;MASC;SG
экологии	ecologia	экология	ecologia	N;INAN;NOM;FEM;SG	N;FEM;SG
анхальт	anhalt	анхальт	anhalt	N;INAN;NOM;MASC;SG	N;MASC;SG
альберта	alberta	альберт	alberto	N;ANIM;NOM;MASC;SG	N;FEM;SG
жозеф	joseph	жозеф	joseph	N;ANIM;NOM;MASC;SG	N;MASC;SG
жозеф	josé	жозеф	josé	N;ANIM;NOM;MASC;SG	N;MASC;SG
госпиталь	hospital	госпиталь	hospital	N;INAN;NOM;MASC;SG	N;MASC;SG
простое	simples	простой	simples	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
рой	roy	рой	roy	N;ANIM;NOM;MASC;SG	N;MASC;SG
рой	enxame	рой	enxame	N;ANIM;NOM;MASC;SG	N;MASC;SG
альберто	alberto	альберто	alberto	N;INAN;NOM;MASC;SG	N;MASC;SG
пьетро	pietro	пьетро	pietro	N;INAN;NOM;MASC;SG	N;MASC;SG
задняя	posterior	задний	posterior	ADJ;NOM;FEM;SG	ADJ;MASC;SG
камер	secções	камера	secção	N;INAN;GEN;FEM;PL	N;FEM;PL
камер	câmaras	камера	câmara	N;INAN;GEN;FEM;PL	N;FEM;PL
возражения	objecções	возражение	objecção	N;INAN;NOM;NEUT;PL	N;FEM;PL
возражения	objecções	возражение	objecção	N;INAN;NOM;NEUT;PL	N;FEM;PL
возражения	objeções	возражение	objeção	N;INAN;NOM;NEUT;PL	N;FEM;PL
уилсон	wilson	уилсон	wilson	N;ANIM;NOM;MASC;SG	N;MASC;SG
исаак	isaac	исаак	isaac	N;ANIM;NOM;MASC;SG	N;MASC;SG
стекла	vidros	стекло	vidro	N;INAN;NOM;NEUT;PL	N;MASC;PL
показания	testemunhos	показание	testemunho	N;INAN;NOM;NEUT;PL	N;MASC;PL
янг	yang	янг	yang	N;ANIM;NOM;MASC;SG	N;MASC;SG
янг	young	янг	young	N;ANIM;NOM;MASC;SG	N;MASC;SG
кинотеатр	teatro	кинотеатр	teatro	N;INAN;NOM;MASC;SG	N;MASC;SG
кинотеатр	cinemas	кинотеатр	cinema	N;INAN;NOM;MASC;SG	N;MASC;SG
кинотеатр	cinema	кинотеатр	cinema	N;INAN;NOM;MASC;SG	N;MASC;SG
важность	importancia	важность	importancia	N;INAN;NOM;FEM;SG	N;FEM;SG
важность	importância	важность	importância	N;INAN;NOM;FEM;SG	N;FEM;SG
разновидности	variedades	разновидность	variedade	N;INAN;NOM;FEM;PL	N;FEM;PL
разновидности	castas	разновидность	casta	N;INAN;NOM;FEM;PL	N;FEM;PL
настоящая	verdadeiro	настоящий	verdadeiro	ADJ;NOM;FEM;SG	ADJ;MASC;SG
настоящая	verdadeira	настоящий	verdadeiro	ADJ;NOM;FEM;SG	ADJ;FEM;SG
пресса	imprensa	пресса	imprensa	N;INAN;NOM;FEM;SG	N;FEM;SG
гостиница	hotel	гостиница	hotel	N;INAN;NOM;FEM;SG	N;MASC;SG
развиваться	evoluir	развиваться	evoluir	V;IPFV;NFIN;MID	V;NFIN
хозяин	dona	хозяин	dona	N;ANIM;NOM;MASC;SG	N;FEM;SG
хозяин	proprietária	хозяин	proprietária	N;ANIM;NOM;MASC;SG	N;FEM;SG
хозяин	dono	хозяин	dono	N;ANIM;NOM;MASC;SG	N;MASC;SG
хозяин	proprietário	хозяин	proprietário	N;ANIM;NOM;MASC;SG	N;MASC;SG
хозяин	mestre	хозяин	mestre	N;ANIM;NOM;MASC;SG	N;MASC;SG
хозяин	master	хозяин	master	N;ANIM;NOM;MASC;SG	N;MASC;SG
ранг	patente	ранг	patente	N;INAN;NOM;MASC;SG	N;FEM;SG
ранг	rank	ранг	rank	N;INAN;NOM;MASC;SG	N;MASC;SG
ранг	posto	ранг	posto	N;INAN;NOM;MASC;SG	N;MASC;SG
дополнительное	complementar	дополнительный	complementar	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
дополнительное	suplementar	дополнительный	suplementar	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
дополнительное	adicional	дополнительный	adicional	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
колония	colônia	колония	colônia	N;INAN;NOM;FEM;SG	N;FEM;SG
колония	colónia	колония	colónia	N;INAN;NOM;FEM;SG	N;FEM;SG
носила	vestiu	носить	vestir	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
арнольд	arnold	арнольд	arnold	N;ANIM;NOM;MASC;SG	N;MASC;SG
борцы	lutadores	борец	lutador	N;ANIM;NOM;MASC;PL	N;MASC;PL
боги	deuses	бог	deus	N;ANIM;NOM;MASC;PL	N;MASC;PL
обложка	cobertura	обложка	cobertura	N;INAN;NOM;FEM;SG	N;FEM;SG
обложка	cover	обложка	cover	N;INAN;NOM;FEM;SG	N;MASC;SG
обложка	capa	обложка	capa	N;INAN;NOM;FEM;SG	N;FEM;SG
оформить	formalizar	оформить	formalizar	V;PFV;NFIN;ACT	V;NFIN
картинки	imagens	картинка	imagem	N;INAN;NOM;FEM;PL	N;FEM;PL
картинки	fotografias	картинка	fotografia	N;INAN;NOM;FEM;PL	N;FEM;PL
картинки	fotos	картинка	foto	N;INAN;NOM;FEM;PL	N;FEM;PL
картинки	imagens	картинка	imagem	N;INAN;NOM;FEM;PL	N;FEM;PL
нынешней	atual	нынешний	atual	ADJ;INS;FEM;SG	ADJ;MASC;SG
нынешней	actual	нынешний	actual	ADJ;INS;FEM;SG	ADJ;MASC;SG
перепись	recenseamento	перепись	recenseamento	N;INAN;NOM;FEM;SG	N;MASC;SG
перепись	censo	перепись	censo	N;INAN;NOM;FEM;SG	N;MASC;SG
объяснения	explicações	объяснение	explicação	N;INAN;NOM;NEUT;PL	N;FEM;PL
швейцарский	suíço	швейцарский	suíço	ADJ;NOM;MASC;SG	ADJ;MASC;SG
зубов	dentes	зуб	dente	N;INAN;GEN;MASC;PL	N;MASC;PL
грант	subvenção	грант	subvenção	N;INAN;NOM;MASC;SG	N;FEM;SG
грант	grant	грант	grant	N;INAN;NOM;MASC;SG	N;MASC;SG
постановления	acórdãos	постановление	acórdão	N;INAN;NOM;NEUT;PL	N;MASC;PL
дискуссия	discussão	дискуссия	discussão	N;INAN;NOM;FEM;SG	N;FEM;SG
барабаны	tambores	барабан	tambor	N;INAN;NOM;MASC;PL	N;MASC;PL
студент	aluno	студент	aluno	N;ANIM;NOM;MASC;SG	N;MASC;SG
студент	aluna	студент	aluna	N;ANIM;NOM;MASC;SG	N;FEM;SG
студент	estudante	студент	estudante	N;ANIM;NOM;MASC;SG	N;MASC;SG
студент	student	студент	student	N;ANIM;NOM;MASC;SG	N;MASC;SG
водорода	hidrogénio	водород	hidrogénio	N;INAN;GEN;MASC;SG	N;MASC;SG
водорода	hidrogênio	водород	hidrogênio	N;INAN;GEN;MASC;SG	N;MASC;SG
образы	imagens	образ	imagem	N;INAN;NOM;MASC;PL	N;FEM;PL
проявляется	manifestada	проявляться	manifestar	V;IPFV;IND;SG;3;PRS;FIN;MID	V;FEM;SG;V.PTCP
проявляется	manifestado	проявляться	manifestar	V;IPFV;IND;SG;3;PRS;FIN;MID	V;MASC;SG;V.PTCP
дэн	dan	дэн	dan	N;ANIM;NOM;MASC;SG	N;MASC;SG
приборы	instrumentos	прибор	instrumento	N;INAN;NOM;MASC;PL	N;MASC;PL
арест	prisão	арест	prisão	N;INAN;NOM;MASC;SG	N;FEM;SG
арест	detenção	арест	detenção	N;INAN;NOM;MASC;SG	N;FEM;SG
рисунки	fotografias	рисунок	fotografia	N;INAN;NOM;MASC;PL	N;FEM;PL
рисунки	fotos	рисунок	foto	N;INAN;NOM;MASC;PL	N;FEM;PL
рисунки	imagens	рисунок	imagem	N;INAN;NOM;MASC;PL	N;FEM;PL
рисунки	desenhos	рисунок	desenho	N;INAN;NOM;MASC;PL	N;MASC;PL
заказ	ordem	заказ	ordem	N;INAN;NOM;MASC;SG	N;FEM;SG
заказ	encomenda	заказ	encomenda	N;INAN;NOM;MASC;SG	N;FEM;SG
павлов	pavlov	павл	pavlov	N;ANIM;NOM;MASC;SG	N;MASC;SG
социальный	social	социальный	social	ADJ;NOM;MASC;SG	ADJ;MASC;SG
обсуждается	discute	обсуждать	discutir	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IND;SG;3;PRS;FIN
красноярск	krasnoyarsk	красноярск	krasnoyarsk	N;INAN;NOM;MASC;SG	N;MASC;SG
выразил	expresso	выразить	expresso	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
выразил	expressado	выразить	expressado	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
выразил	expressa	выразить	esprimir	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;SG;V.PTCP
реальность	realidade	реальность	realidade	N;INAN;NOM;FEM;SG	N;FEM;SG
реальность	reality	реальность	reality	N;INAN;NOM;FEM;SG	N;MASC;SG
хасан	hasan	хасан	hasan	N;ANIM;NOM;MASC;SG	N;MASC;SG
хасан	hassan	хасан	hassan	N;ANIM;NOM;MASC;SG	N;MASC;SG
намерения	intenções	намерение	intenção	N;INAN;NOM;NEUT;PL	N;FEM;PL
намерения	intenções	намерение	intenção	N;INAN;NOM;NEUT;PL	N;FEM;PL
гонсалес	gonzalez	гонсалес	gonzalez	N;ANIM;NOM;MASC;SG	N;MASC;SG
гонсалес	gonzález	гонсалес	gonzález	N;ANIM;NOM;MASC;SG	N;MASC;SG
гонсалес	gonzales	гонсалес	gonzales	N;ANIM;NOM;MASC;SG	N;MASC;SG
гонсалес	gonzález	гонсалес	gonzález	N;ANIM;NOM;MASC;SG	N;MASC;SG
хоп	lúpulo	хоп	lúpulo	N;INAN;NOM;MASC;SG	N;MASC;SG
хоп	hop	хоп	hop	N;INAN;NOM;MASC;SG	N;MASC;SG
юлий	julius	юлий	juliu	N;ANIM;NOM;MASC;SG	N;MASC;SG
юлий	júlio	юлий	júlio	N;ANIM;NOM;MASC;SG	N;MASC;SG
мок	coi	мок	coi	N;INAN;NOM;FEM;SG	N;MASC;SG
арбитр	árbitro	арбитр	árbitro	N;ANIM;NOM;MASC;SG	N;MASC;SG
арбитр	árbitro	арбитр	árbitro	N;ANIM;NOM;MASC;SG	N;MASC;SG
арбитр	árbitro	арбитр	árbitro	N;ANIM;NOM;MASC;SG	N;MASC;SG
свадьба	boda	свадьба	boda	N;INAN;NOM;FEM;SG	N;FEM;SG
свадьба	casamento	свадьба	casamento	N;INAN;NOM;FEM;SG	N;MASC;SG
свадьба	wedding	свадьба	wedding	N;INAN;NOM;FEM;SG	N;MASC;SG
преобразование	conversão	преобразование	conversão	N;INAN;NOM;NEUT;SG	N;FEM;SG
преобразование	reconversão	преобразование	reconversão	N;INAN;NOM;NEUT;SG	N;FEM;SG
преобразование	transformação	преобразование	transformação	N;INAN;NOM;NEUT;SG	N;FEM;SG
ученый	cientista	ученый	cientista	N;ANIM;NOM;MASC;SG	N;MASC;SG
ученый	erudito	ученый	erudito	N;ANIM;NOM;MASC;SG	N;MASC;SG
ученый	estudioso	ученый	estudioso	N;ANIM;NOM;MASC;SG	N;MASC;SG
театры	teatros	театр	teatro	N;INAN;NOM;MASC;PL	N;MASC;PL
гитары	guitarras	гитара	guitarra	N;INAN;NOM;FEM;PL	N;FEM;PL
крейсеров	cruzadores	крейсер	cruzador	N;INAN;GEN;MASC;PL	N;MASC;PL
неба	ceu	небо	ceu	N;INAN;GEN;NEUT;SG	N;MASC;SG
неба	sky	небо	sky	N;INAN;GEN;NEUT;SG	N;MASC;SG
неба	céu	небо	céu	N;INAN;GEN;NEUT;SG	N;MASC;SG
закрыто	fechou	закрыть	fechar	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;SG;3;PST;FIN
закрыто	fechado	закрыть	fechar	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;MASC;SG;V.PTCP
закрыто	fechada	закрыть	fechar	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;FEM;SG;V.PTCP
мельница	moinho	мельница	moinho	N;INAN;NOM;FEM;SG	N;MASC;SG
механик	mecânico	механик	mecânico	N;ANIM;NOM;MASC;SG	N;MASC;SG
механик	mecânica	механик	mecânico	N;ANIM;NOM;MASC;SG	N;FEM;SG
склад	armazém	склад	armazém	N;INAN;NOM;MASC;SG	N;MASC;SG
склад	entreposto	склад	entreposto	N;INAN;NOM;MASC;SG	N;MASC;SG
склад	armazenagem	склад	armazenagem	N;INAN;NOM;MASC;SG	N;FEM;SG
склад	armazenamento	склад	armazenamento	N;INAN;NOM;MASC;SG	N;MASC;SG
публично	publicamente	публично	publicamente	ADV	ADV
джейсон	jason	джейсон	jason	N;ANIM;NOM;MASC;SG	N;MASC;SG
чрезвычайный	extraordinária	чрезвычайный	extraordinário	ADJ;NOM;MASC;SG	ADJ;FEM;SG
чрезвычайный	extraordinário	чрезвычайный	extraordinário	ADJ;NOM;MASC;SG	ADJ;MASC;SG
используемые	utilizados	использовать	utilizar	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	V;MASC;PL;V.PTCP
используемые	usados	использовать	usar	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	V;MASC;PL;V.PTCP
райан	ryan	райан	ryan	N;ANIM;NOM;MASC;SG	N;MASC;SG
особняк	mansão	особняк	mansão	N;INAN;NOM;MASC;SG	N;FEM;SG
хлеб	pão	хлеб	pão	N;INAN;NOM;MASC;SG	N;MASC;SG
избрана	eleito	избрать	eleger	V;PFV;FEM;SG;PST;V.PTCP;PASS	V;MASC;SG;V.PTCP
избрана	eleita	избрать	eleger	V;PFV;FEM;SG;PST;V.PTCP;PASS	V;FEM;SG;V.PTCP
сады	pomares	сад	pomar	N;INAN;NOM;MASC;PL	N;MASC;PL
сады	jardins	сад	jardin	N;INAN;NOM;MASC;PL	N;MASC;PL
сады	gardens	сад	gardem	N;INAN;NOM;MASC;PL	N;MASC;PL
слоя	camada	слой	camada	N;INAN;GEN;MASC;SG	N;FEM;SG
движок	motor	движок	motor	N;INAN;NOM;MASC;SG	N;MASC;SG
девочки	miúdas	девочка	miúda	N;ANIM;NOM;FEM;PL	N;FEM;PL
девочки	garotas	девочка	garota	N;ANIM;NOM;FEM;PL	N;FEM;PL
девочки	raparigas	девочка	rapariga	N;ANIM;NOM;FEM;PL	N;FEM;PL
девочки	meninas	девочка	menina	N;ANIM;NOM;FEM;PL	N;FEM;PL
освободить	solte	освободить	soltar	V;PFV;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
освободить	libertar	освободить	libertar	V;PFV;NFIN;ACT	V;NFIN
гипотезы	hipóteses	гипотеза	hipótese	N;INAN;NOM;FEM;PL	N;FEM;PL
середина	mid	середина	midir	N;INAN;NOM;FEM;SG	N;MASC;SG
логично	lógico	логичный	lógico	ADJ;NEUT;SG	ADJ;MASC;SG
выпускников	graduados	выпускник	graduar	N;ANIM;GEN;MASC;PL	N;MASC;PL
месяцы	meses	месяц	mês	N;INAN;NOM;MASC;PL	N;MASC;PL
индонезия	indonésia	индонезия	indonésio	N;INAN;NOM;FEM;SG	N;MASC;SG
дизайнер	desenhador	дизайнер	desenhador	N;ANIM;NOM;MASC;SG	N;MASC;SG
дизайнер	designer	дизайнер	designer	N;ANIM;NOM;MASC;SG	N;MASC;SG
дизайнер	desenhista	дизайнер	desenhista	N;ANIM;NOM;MASC;SG	N;MASC;SG
дизайнер	estilista	дизайнер	estilista	N;ANIM;NOM;MASC;SG	N;MASC;SG
стол	tabela	стол	tabela	N;INAN;NOM;MASC;SG	N;FEM;SG
стол	mesa	стол	mesa	N;INAN;NOM;MASC;SG	N;FEM;SG
стол	quadro	стол	quadro	N;INAN;NOM;MASC;SG	N;MASC;SG
стол	secretária	стол	secretária	N;INAN;NOM;MASC;SG	N;FEM;SG
стол	escrivaninha	стол	escrivaninha	N;INAN;NOM;MASC;SG	N;FEM;SG
исчезли	desapareceram	исчезнуть	desaparecer	V;PFV;IND;PL;PST;FIN;ACT	V;IND;PL;3;FIN
могилы	sepulturas	могила	sepultura	N;INAN;NOM;FEM;PL	N;FEM;PL
могилы	túmulos	могила	túmulo	N;INAN;NOM;FEM;PL	N;MASC;PL
могилы	campas	могила	campa	N;INAN;NOM;FEM;PL	N;FEM;PL
томми	tommy	то	tommy	N;ANIM;NOM;MASC;SG	N;MASC;SG
белков	proteínas	белок	proteína	N;INAN;GEN;MASC;PL	N;FEM;PL
способствовало	contribuiu	способствовать	contribuir	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
способствовало	contribuído	способствовать	contribuir	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
соглашается	concorda	соглашаться	concordar	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IND;SG;3;PRS;FIN
улицах	ruas	улица	rua	N;INAN;ESS;FEM;PL	N;FEM;PL
казнь	execução	казнь	execução	N;INAN;NOM;FEM;SG	N;FEM;SG
тольятти	togliatti	тольять	togliatti	N;INAN;NOM;MASC;SG	N;MASC;SG
морис	maurice	морис	maurice	N;ANIM;NOM;MASC;SG	N;MASC;SG
морис	maurício	морис	maurício	N;ANIM;NOM;MASC;SG	N;MASC;SG
совершает	comete	совершать	cometer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
самцы	machos	самец	macho	N;ANIM;NOM;MASC;PL	N;MASC;PL
убедить	convence	убедить	convencer	V;PFV;NFIN;ACT	V;IND;SG;3;PRS;FIN
убедить	convencer	убедить	convencer	V;PFV;NFIN;ACT	V;NFIN
убедить	convença	убедить	convençar	V;PFV;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
убедить	persuadir	убедить	persuadir	V;PFV;NFIN;ACT	V;NFIN
убедить	convencer	убедить	convencer	V;PFV;NFIN;ACT	V;NFIN
убедить	convença	убедить	convençar	V;PFV;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
технику	técnica	техника	técnica	N;INAN;ACC;FEM;SG	N;FEM;SG
частного	privada	частный	privado	ADJ;GEN;MASC;SG	ADJ;FEM;SG
частного	privado	частный	privado	ADJ;GEN;MASC;SG	ADJ;MASC;SG
цветы	flores	цветы	flor	N;INAN;NOM;MASC;PL	N;FEM;PL
рыцарь	knight	рыцарь	knight	N;ANIM;NOM;MASC;SG	N;MASC;SG
рыцарь	cavaleiro	рыцарь	cavaleiro	N;ANIM;NOM;MASC;SG	N;MASC;SG
рыцарь	cavalo	рыцарь	cavalo	N;ANIM;NOM;MASC;SG	N;MASC;SG
прокат	aluguel	прокат	aluguel	N;INAN;NOM;MASC;SG	N;MASC;SG
прокат	aluguel	прокат	aluguel	N;INAN;NOM;MASC;SG	N;MASC;SG
прокат	renda	прокат	renda	N;INAN;NOM;MASC;SG	N;FEM;SG
литве	lituânia	литв	lituânia	N;INAN;NOM;FEM;SG	N;FEM;SG
родригес	rodriguez	родригес	rodriguez	N;ANIM;NOM;MASC;SG	N;MASC;SG
родригес	rodríguez	родригес	rodríguez	N;ANIM;NOM;MASC;SG	N;MASC;SG
родригес	rodrigues	родригес	rodrigues	N;ANIM;NOM;MASC;SG	N;MASC;SG
родригес	rodríguez	родригес	rodríguez	N;ANIM;NOM;MASC;SG	N;MASC;SG
наблюдать	observem	наблюдать	observar	V;IPFV;NFIN;ACT	V;SBJV;PL;3;PRS;FIN
наблюдать	observar	наблюдать	observar	V;IPFV;NFIN;ACT	V;NFIN
наблюдать	observe	наблюдать	observar	V;IPFV;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
