catégorie	類別	catégorie	類別	N;FEM;SG	N
cas	案例	cas	案例	N;MASC;SG	N
cas	個案	cas	個案	N;MASC;SG	N
cas	案件	cas	案件	N;MASC;SG	N
cas	案例	cas	案例	N;MASC;SG	N
jeu	比賽	jeu	比賽	N;MASC;SG	N
jeu	遊戲	jeu	遊戲	N;MASC;SG	N
jeu	賭	jeu	賭	N;MASC;SG	N
jeu	賭博	jeu	賭博	N;MASC;SG	N
genre	類型	genre	類型	N;MASC;SG	N
genre	流派	genre	流派	N;MASC;SG	N
genre	性別	genre	性別	N;MASC;SG	N
genre	屬	genre	屬	N;MASC;SG	N
musique	音樂	musique	音樂	N;FEM;SG	N
fils	電線	fils	電線	N;MASC;SG	N
fils	鋼絲	fils	鋼絲	N;MASC;SG	N
fils	鐵絲	fils	鐵絲	N;MASC;SG	N
fils	兒子	fils	兒子	N;MASC;SG	N
fils	紗	fils	紗	N;MASC;SG	N
roi	國王	roi	國王	N;MASC;SG	N
parti	派	partir	派	V;MASC;SG;PST;V.PTCP	V;CAUS
jour	白天	jour	白天	N;MASC;SG	N
forme	形式	forme	形式	N;FEM;SG	N
forme	表格	forme	表格	N;FEM;SG	N
forme	形狀	forme	形狀	N;FEM;SG	N
époque	紀元	époque	紀元	N;FEM;SG	N
ancien	古老	ancien	古老	ADJ;MASC;SG	ADJ
ancien	舊	ancien	舊	ADJ;MASC;SG	ADJ
origine	原產	origine	原產	N;FEM;SG	N
origine	起源	origine	起源	N;FEM;SG	N
origine	起源	origine	起源	N;FEM;SG	N
ordre	秩序	ordre	秩序	N;MASC;SG	N
ordre	順序	ordre	順序	N;MASC;SG	N
château	城堡	château	城堡	N;MASC;SG	N
château	城	château	城	N;MASC;SG	N
école	學校	école	學校	N;FEM;SG	N
école	學校	école	學校	N;FEM;SG	N
carrière	職業	carrière	職業	N;FEM;SG	N
carrière	職業	carrière	職業	N;FEM;SG	N
bar	酒吧	bar	酒吧	N;MASC;SG	N
située	位	situer	位	V;FEM;SG;PST;V.PTCP	V
points	點	point	點	N;MASC;PL	N
points	點數	point	點數	N;MASC;PL	N
rue	街頭	rue	街頭	N;FEM;SG	N
rue	街道	rue	街道	N;FEM;SG	N
rue	街	rue	街	N;FEM;SG	N
chef	廚師	chef	廚師	N;MASC;SG	N
chef	首席	chef	首席	N;MASC;SG	N
chef	科長	chef	科長	N;MASC;SG	N
père	父親	père	父親	N;MASC;SG	N
père	神父	père	神父	N;MASC;SG	N
père	父	père	父	N;MASC;SG	N
exemple	範例	exemple	範例	N;MASC;SG	N
rapport	報告	rapport	報告	N;MASC;SG	N
art	美術	art	美術	N;MASC;SG	N
art	藝術	art	藝術	N;MASC;SG	N
art	藝術	art	藝術	N;MASC;SG	N
canton	縣	canton	縣	N;MASC;SG	N
type	型態	type	型態	N;MASC;SG	N
type	類型	type	類型	N;MASC;SG	N
habitants	居民	habitant	居民	N;MASC;PL	N
point	角	point	角	N;MASC;SG	N
point	點	point	點	N;MASC;SG	N
compte	數	compte	數	N;MASC;SG	N
compte	伯爵	compte	伯爵	N;MASC;SG	N
compte	數數	compte	數數	N;MASC;SG	N
compte	計數	compte	計數	N;MASC;SG	N
compte	帳號	compte	帳號	N;MASC;SG	N
compte	帳戶	compte	帳戶	N;MASC;SG	N
période	期間	période	期間	N;FEM;SG	N
armée	軍方	armée	軍方	N;FEM;SG	N
armée	軍事	armée	軍事	N;FEM;SG	N
armée	集團	armée	集團	N;FEM;SG	N
armée	軍隊	armée	軍隊	N;FEM;SG	N
armée	軍	armée	軍	N;FEM;SG	N
armée	陸軍	armée	陸軍	N;FEM;SG	N
eau	水	eau	水	N;FEM;SG	N
discuter	討論	discuter	討論	V;NFIN	V
discuter	聊	discuter	聊	V;NFIN	V
projet	項目	projet	項目	N;MASC;SG	N
chaque	每個	chaque	每個	DET;FEM;SG	DET
chaque	每	chaque	每	DET;FEM;SG	DET
chaque	每個	chaque	每個	DET;FEM;SG	DET
province	省	province	省	N;FEM;SG	N
province	省省	province	省省	N;FEM;SG	N
province	省份	province	省份	N;FEM;SG	N
conseil	咨詢	conseil	咨詢	N;MASC;SG	N
conseil	安理	conseil	安理	N;MASC;SG	N
maison	屋	maison	屋	N;FEM;SG	N
maison	房屋	maison	房屋	N;FEM;SG	N
maison	房子	maison	房子	N;FEM;SG	N
maison	家	maison	家	N;FEM;SG	N
maison	住家	maison	住家	N;FEM;SG	N
cela	這	cela	這	PRO;SG	PRO
fonction	功能	fonction	功能	N;FEM;SG	N
fonction	職能	fonction	職能	N;FEM;SG	N
fonction	函數	fonction	函數	N;FEM;SG	N
toujours	仍然	toujours	仍然	ADV	ADV
toujours	依然	toujours	依然	ADV	ADV
production	產量	production	產量	N;FEM;SG	N
membre	會員	membre	會員	N;MASC;SG	N
membre	成員	membre	成員	N;MASC;SG	N
rôle	作用	rôle	作用	N;MASC;SG	N
rôle	角色	rôle	角色	N;MASC;SG	N
meilleur	更好	meilleur	更好	ADJ;MASC;SG	ADJ
meilleur	最好	meilleur	最好	ADJ;MASC;SG	ADJ
droit	右	droit	右	N;MASC;SG	N
droit	法律	droit	法律	N;MASC;SG	N
mois	月	mois	月	N;MASC;SG	N
mois	月份	mois	月份	N;MASC;SG	N
mois	月	mois	月	N;MASC;SG	N
mois	個	mois	個	N;MASC;SG	N
mois	月份	mois	月份	N;MASC;SG	N
île	海島	île	海島	N;FEM;SG	N
île	島嶼	île	島嶼	N;FEM;SG	N
république	共和	république	共和	N;FEM;SG	N
république	共和	république	共和	N;FEM;SG	N
score	分數	score	分數	N;MASC;SG	N
score	得分	score	得分	N;MASC;SG	N
ensuite	然後	ensuite	然後	ADV	ADV
ensuite	那麼	ensuite	那麼	ADV	ADV
langue	語言	langue	語言	N;FEM;SG	N
langue	語	langue	語	N;FEM;SG	N
langue	語文	langue	語文	N;FEM;SG	N
gouvernement	政府	gouvernement	政府	N;MASC;SG	N
center	中心	center	中心	N;MASC;SG	N
elles	她們	il	她	PRO;FEM;PL;3	PRO;PL;3
elles	他們	il	他	PRO;FEM;PL;3	PRO;PL;3
elles	它們	il	它	PRO;FEM;PL;3	PRO;PL;3
argent	金錢	argent	金錢	N;MASC;SG	N
argent	錢	argent	錢	N;MASC;SG	N
argent	銀色	argent	銀色	N;MASC;SG	N
argent	銀	argent	銀	N;MASC;SG	N
argent	現金	argent	現金	N;MASC;SG	N
souvent	常常	souvent	常常	ADV	ADV
souvent	經常	souvent	經常	ADV	ADV
souvent	時常	souvent	時常	ADV	ADV
souvent	常常	souvent	常常	ADV	ADV
souvent	經常	souvent	經常	ADV	ADV
style	樣式	style	樣式	N;MASC;SG	N
style	風格	style	風格	N;MASC;SG	N
face	臉	face	臉	N;FEM;SG	N
face	臉部	face	臉部	N;FEM;SG	N
top	頂	top	頂	N;MASC;SG	N
top	頂端	top	頂端	N;MASC;SG	N
top	熱門	top	熱門	N;MASC;SG	N
ministre	大臣	ministre	大臣	N;MASC;SG	N
ministre	部長	ministre	部長	N;MASC;SG	N
théâtre	電影	théâtre	電影	N;MASC;SG	N
théâtre	劇場	théâtre	劇場	N;MASC;SG	N
théâtre	戲劇	théâtre	戲劇	N;MASC;SG	N
théâtre	劇院	théâtre	劇院	N;MASC;SG	N
théâtre	戲院	théâtre	戲院	N;MASC;SG	N
théâtre	劇場	théâtre	劇場	N;MASC;SG	N
théâtre	戰區	théâtre	戰區	N;MASC;SG	N
théâtre	戲劇	théâtre	戲劇	N;MASC;SG	N
théâtre	劇院	théâtre	劇院	N;MASC;SG	N
théâtre	戲院	théâtre	戲院	N;MASC;SG	N
épisode	插曲	épisode	插曲	N;MASC;SG	N
épisode	集	épisode	集	N;MASC;SG	N
scène	場景	scène	場景	N;FEM;SG	N
scène	現場	scène	現場	N;FEM;SG	N
scène	舞台	scène	舞台	N;FEM;SG	N
scène	階段	scène	階段	N;FEM;SG	N
situé	位	situer	位	V;MASC;SG;PST;V.PTCP	V
toute	全部	tout	全部	DET;FEM;SG	DET
toute	所有	tout	所有	DET;FEM;SG	DET
musée	博物	musée	博物	N;MASC;SG	N
auteur	作者	auteur	作者	N;MASC;SG	N
auteur	作家	auteur	作家	N;MASC;SG	N
auteur	作者	auteur	作者	N;MASC;SG	N
auteur	編劇	auteur	編劇	N;MASC;SG	N
cependant	然而	cependant	然而	ADV	ADV
système	系統	système	系統	N;MASC;SG	N
stade	體育	stade	體育	N;MASC;SG	N
stade	球場	stade	球場	N;MASC;SG	N
stade	舞台	stade	舞台	N;MASC;SG	N
stade	階段	stade	階段	N;MASC;SG	N
tard	遲	tard	遲	ADV	ADV
reste	留	rester	留	V;IND;SG;3;PRS;FIN	V
reste	留下	rester	留下	V;IND;SG;3;PRS;FIN	V
reste	留下	rester	留下	V;IND;SG;3;PRS;FIN	V
jours	日子	jour	日子	N;MASC;PL	N
jours	天數	jour	天數	N;MASC;PL	N
édition	編輯	édition	編輯	N;FEM;SG	N
édition	版	édition	版	N;FEM;SG	N
édition	剪輯	édition	剪輯	N;FEM;SG	N
édition	編輯	édition	編輯	N;FEM;SG	N
éditions	版本	édition	版本	N;FEM;PL	N
âge	年紀	âge	年紀	N;MASC;SG	N
âge	年齡	âge	年齡	N;MASC;SG	N
effet	特效	effet	特效	N;MASC;SG	N
effet	效果	effet	效果	N;MASC;SG	N
effet	效應	effet	效應	N;MASC;SG	N
version	版	version	版	N;FEM;SG	N
version	版本	version	版本	N;FEM;SG	N
membres	會員	membre	會員	N;MASC;PL	N
membres	成員	membre	成員	N;MASC;PL	N
membres	成員	membre	成員	N;MASC;PL	N
niveau	層次	niveau	層次	N;MASC;SG	N
niveau	級別	niveau	級別	N;MASC;SG	N
niveau	等級	niveau	等級	N;MASC;SG	N
niveau	關卡	niveau	關卡	N;MASC;SG	N
champion	冠軍	champion	冠軍	N;MASC;SG	N
champion	冠軍	champion	冠軍	N;MASC;SG	N
espèce	魚種	espèce	魚種	N;FEM;SG	N
espèce	物種	espèce	物種	N;FEM;SG	N
raison	理由	raison	理由	N;FEM;SG	N
raison	理性	raison	理性	N;FEM;SG	N
raison	原因	raison	原因	N;FEM;SG	N
modèle	模範	modèle	模範	N;MASC;SG	N
modèle	模型	modèle	模型	N;MASC;SG	N
modèle	型號	modèle	型號	N;MASC;SG	N
modèle	模特	modèle	模特	N;MASC;SG	N
modèle	樣板	modèle	樣板	N;MASC;SG	N
modèle	模板	modèle	模板	N;MASC;SG	N
travail	工作	travail	工作	N;MASC;SG	N
femme	婦女	femme	婦女	N;FEM;SG	N
femme	女性	femme	女性	N;FEM;SG	N
femme	女人	femme	女人	N;FEM;SG	N
femme	女	femme	女	N;FEM;SG	N
femme	女子	femme	女子	N;FEM;SG	N
femme	女	femme	女	N;FEM;SG	N
femme	女性	femme	女性	N;FEM;SG	N
femme	妻子	femme	妻子	N;FEM;SG	N
cinq	五	cinq	五	NUM	NUM
cinq	五	cinq	五	NUM	NUM
déjà	已經	déjà	已經	ADV	ADV
texte	文字	texte	文字	N;MASC;SG	N
texte	案文	texte	案文	N;MASC;SG	N
terre	大地	terre	大地	N;FEM;SG	N
terre	陸地	terre	陸地	N;FEM;SG	N
terre	土地	terre	土地	N;FEM;SG	N
terre	泥土	terre	泥土	N;FEM;SG	N
terre	土壤	terre	土壤	N;FEM;SG	N
terre	土	terre	土	N;FEM;SG	N
compétition	競爭	compétition	競爭	N;FEM;SG	N
compétition	競爭	compétition	競爭	N;FEM;SG	N
compétition	競賽	compétition	競賽	N;FEM;SG	N
porte	門	porte	門	N;FEM;SG	N
porte	大門	porte	大門	N;FEM;SG	N
porte	門	porte	門	N;FEM;SG	N
hommes	男性	homme	男性	N;MASC;PL	N
hommes	男人	homme	男人	N;MASC;PL	N
hommes	男子	homme	男子	N;MASC;PL	N
hommes	男性	homme	男性	N;MASC;PL	N
bataille	戰	bataille	戰	N;FEM;SG	N
bataille	戰役	bataille	戰役	N;FEM;SG	N
bataille	戰鬥	bataille	戰鬥	N;FEM;SG	N
corps	屍體	corps	屍體	N;MASC;SG	N
corps	體	corps	體	N;MASC;SG	N
corps	身體	corps	身體	N;MASC;SG	N
siège	圍城	siège	圍城	N;MASC;SG	N
siège	總部	siège	總部	N;MASC;SG	N
siège	總部	siège	總部	N;MASC;SG	N
siège	座位	siège	座位	N;MASC;SG	N
personnes	人	personne	人	N;FEM;PL	N
personnes	人們	personne	人	N;FEM;PL	N;PL
personnes	人民	personne	人民	N;FEM;PL	N
route	路線	route	路線	N;FEM;SG	N
route	公路	route	公路	N;FEM;SG	N
route	公路	route	公路	N;FEM;SG	N
route	道路	route	道路	N;FEM;SG	N
route	路	route	路	N;FEM;SG	N
finale	決賽	finale	決賽	N;FEM;SG	N
finale	決賽	finale	決賽	N;FEM;SG	N
jeune	年輕	jeune	年輕	ADJ;MASC;SG	ADJ
match	比賽	match	比賽	N;MASC;SG	N
match	遊戲	match	遊戲	N;MASC;SG	N
royaume	王國	royaume	王國	N;MASC;SG	N
royaume	國度	royaume	國度	N;MASC;SG	N
royaume	王國	royaume	王國	N;MASC;SG	N
royaume	境界	royaume	境界	N;MASC;SG	N
latitude	緯度	latitude	緯度	N;FEM;SG	N
base	基地	base	基地	N;FEM;SG	N
base	基礎	base	基礎	N;FEM;SG	N
base	基數	base	基數	N;FEM;SG	N
base	基礎	base	基礎	N;FEM;SG	N
association	協會	association	協會	N;FEM;SG	N
longitude	經度	longitude	經度	N;FEM;SG	N
bronze	青銅	bronze	青銅	N;MASC;SG	N
bronze	銅	bronze	銅	N;MASC;SG	N
livre	圖書	livre	圖書	N;MASC;SG	N
livre	書	livre	書	N;MASC;SG	N
livre	書籍	livre	書籍	N;MASC;SG	N
livre	鎊	livre	鎊	N;MASC;SG	N
livre	磅	livre	磅	N;MASC;SG	N
haut	最高	haut	最高	ADJ;MASC;SG	ADJ
dire	說	dire	說	V;NFIN	V
fille	女生	fille	女生	N;FEM;SG	N
fille	姑娘	fille	姑娘	N;FEM;SG	N
fille	女孩	fille	女孩	N;FEM;SG	N
fille	女兒	fille	女兒	N;FEM;SG	N
buts	目的	but	目的	N;MASC;PL	N
buts	宗旨	but	宗旨	N;MASC;PL	N
buts	目標	but	目標	N;MASC;PL	N
enfants	小孩	enfant	小孩	N;MASC;PL	N
enfants	兒童	enfant	兒童	N;MASC;PL	N
direction	方向	direction	方向	N;FEM;SG	N
position	職位	position	職位	N;FEM;SG	N
position	位置	position	位置	N;FEM;SG	N
position	立場	position	立場	N;FEM;SG	N
but	目標	but	目標	N;MASC;SG	N
tête	頭	tête	頭	N;FEM;SG	N
tête	頭部	tête	頭部	N;FEM;SG	N
territoire	領地	territoire	領地	N;MASC;SG	N
territoire	領土	territoire	領土	N;MASC;SG	N
union	聯盟	union	聯盟	N;FEM;SG	N
union	工會	union	工會	N;FEM;SG	N
construction	施工	construction	施工	N;FEM;SG	N
construction	建築	construction	建築	N;FEM;SG	N
ancienne	古老	ancien	古老	ADJ;FEM;SG	ADJ
ancienne	舊	ancien	舊	ADJ;FEM;SG	ADJ
maire	市長	maire	市長	N;MASC;SG	N
maire	鎮長	maire	鎮長	N;MASC;SG	N
personnalité	人格	personnalité	人格	N;FEM;SG	N
personnalité	性格	personnalité	性格	N;FEM;SG	N
personnalité	個性	personnalité	個性	N;FEM;SG	N
ligue	聯盟	ligue	聯盟	N;FEM;SG	N
ligue	同盟	ligue	同盟	N;FEM;SG	N
ligue	聯賽	ligue	聯賽	N;FEM;SG	N
pages	頁	page	頁	N;FEM;PL	N
simple	簡單	simple	簡單	ADJ;MASC;SG	ADJ
chanson	歌曲	chanson	歌曲	N;FEM;SG	N
chanson	歌	chanson	歌	N;FEM;SG	N
chanson	歌曲	chanson	歌曲	N;FEM;SG	N
chanson	首歌	chanson	首歌	N;FEM;SG	N
chanson	歌	chanson	歌	N;FEM;SG	N
poste	郵政	poste	郵政	N;MASC;SG	N
culture	文化	culture	文化	N;FEM;SG	N
grâce	恩典	grâce	恩典	N;FEM;SG	N
sortie	產出	sortir	產出	V;FEM;SG;PST;V.PTCP	V
sortie	出遊	sortir	出遊	V;FEM;SG;PST;V.PTCP	V
sortie	退出	sortir	退出	V;FEM;SG;PST;V.PTCP	V
sortie	出境	sortir	出境	V;FEM;SG;PST;V.PTCP	V
sortie	出局	sortir	出局	V;FEM;SG;PST;V.PTCP	V
empire	帝國	empire	帝國	N;MASC;SG	N
loi	法律	loi	法律	N;FEM;SG	N
équipes	團隊	équipe	團隊	N;FEM;PL	N
équipes	球隊	équipe	球隊	N;FEM;PL	N
équipes	隊伍	équipe	隊伍	N;FEM;PL	N
côté	側	côté	側	N;MASC;SG	N
mer	大海	mer	大海	N;FEM;SG	N
mer	海上	mer	海上	N;FEM;SG	N
mer	海	mer	海	N;FEM;SG	N
vue	檢視	voir	檢視	V;FEM;SG;PST;V.PTCP	V
vue	瀏覽	voir	瀏覽	V;FEM;SG;PST;V.PTCP	V
mère	母后	mère	母后	N;FEM;SG	N
mère	母親	mère	母親	N;FEM;SG	N
fichier	文件	fichier	文件	N;MASC;SG	N
