تابی	ヒート	تابی	ヒート	N;NOM;MASC;SG;3	N
تبدیل	バリエーション	تبدیل	バリエーション	N;NOM;MASC;SG;3	N
تبدیلی	改造	تبدیلی	改造	N;NOM;FEM;SG;3	N
تبصرہ	レビュー	تبصرہ	レビュー	N;NOM;MASC;SG;3	N
تبصرہ	審査	تبصرہ	審査	N;NOM;MASC;SG;3	N
تبصرہ	評論	تبصرہ	評論	N;NOM;MASC;SG;3	N
تبصرہ	コメント	تبصرہ	コメント	N;NOM;MASC;SG;3	N
تبلیغ	通信	تبلیغ	通信	N;NOM;MASC;SG;3	N
تبلیغ	コミュニケーション	تبلیغ	コミュニケーション	N;NOM;MASC;SG;3	N
تِبن	わら	تِبن	わら		
تِپائی	三脚	تِپائی	三脚	N;NOM;MASC;SG;3	N
تثلیث	息子	تثلیث	息子	N;NOM;MASC;SG;3	N
تِجارت	トラフィック	تِجارت	トラフィック	N;NOM;MASC;SG;3	N
تِجارت	交通	تِجارت	交通	N;NOM;MASC;SG;3	N
تِجارت	商業	تِجارت	商業	N;NOM;MASC;SG;3	N
تِجارت	貿易	تِجارت	貿易	N;NOM;MASC;SG;3	N
تِجارت	営業	تِجارت	営業	N;NOM;MASC;SG;3	N
تِجارت	事業	تِجارت	事業	N;NOM;MASC;SG;3	N
تِجارت	ビジネス	تِجارت	ビジネス	N;NOM;MASC;SG;3	N
تجدید	ノベルティ	تجدید	ノベルティ	N;NOM;MASC;SG;3	N
تجدید	リバイバル	تجدید	リバイバル	N;NOM;MASC;SG;3	N
تجدید	ノベルティ	تجدید	ノベルティ	N;NOM;MASC;SG;3	N
تجدید	リニューアル	تجدید	リニューアル	N;NOM;MASC;SG;3	N
تجربہ	エクスペリエンス	تجربہ	エクスペリエンス	N;NOM;MASC;SG;3	N
تجربہ	実験	تجربہ	実験	N;NOM;MASC;SG;3	N
تجربہ	公判	تجربہ	公判	N;NOM;MASC;SG;3	N
تجربہ	トライアル	تجربہ	トライアル	N;NOM;MASC;SG;3	N
تجربہ	審判	تجربہ	審判	N;NOM;MASC;SG;3	N
تجسُّس	好奇心	تجسُّس	好奇心	N;NOM;MASC;SG;3	N
تجسیم	化身	تجسیم	化身	N;NOM;MASC;SG;3	N
تجویز	意見	تجویز	意見	N;NOM;FEM;SG;3	N
تجویز	審判	تجویز	審判	N;NOM;FEM;SG;3	N
تجویز	解像	تجویز	解像	N;NOM;FEM;SG;3	N
تجویز	意見	تجویز	意見	N;NOM;FEM;SG;3	N
تجویز	審判	تجویز	審判	N;NOM;FEM;SG;3	N
تجویز	解像	تجویز	解像	N;NOM;FEM;SG;3	N
تجویز	計画	تجویز	計画	N;NOM;FEM;SG;3	N
تجویز	プラン	تجویز	プラン	N;NOM;FEM;SG;3	N
تحاوُر	台詞	تحاوُر	台詞	N;NOM;MASC;SG;3	N
تحاوُر	談話	تحاوُر	談話	N;NOM;MASC;SG;3	N
تحاوُر	スレッド	تحاوُر	スレッド	N;NOM;MASC;SG;3	N
تحائف	ギフト	تحفہ	ギフト	N;NOM;MASC;PL;3	N
تحائف	贈り物	تحفہ	贈り物	N;NOM;MASC;PL;3	N
تحریر	ドキュメント	تحریر	ドキュメント	N;NOM;MASC;SG;3	N
تحریر	書類	تحریر	書類	N;NOM;MASC;SG;3	N
تحریر	文書	تحریر	文書	N;NOM;MASC;SG;3	N
تحریر	原稿	تحریر	原稿	N;NOM;MASC;SG;3	N
تحریر	写本	تحریر	写本	N;NOM;MASC;SG;3	N
تحریر	ドキュメント	تحریر	ドキュメント	N;NOM;MASC;SG;3	N
تحریر	書類	تحریر	書類	N;NOM;MASC;SG;3	N
تحریر	文書	تحریر	文書	N;NOM;MASC;SG;3	N
تحریر	筆記	تحریر	筆記	N;NOM;MASC;SG;3	N
تحریر	原稿	تحریر	原稿	N;NOM;MASC;SG;3	N
تحریر	写本	تحریر	写本	N;NOM;MASC;SG;3	N
تحریم	名誉	تحریم	名誉	N;NOM;MASC;SG;3	N
تحریم	禁酒	تحریم	禁酒	N;NOM;MASC;SG;3	N
تحصیل	ラーニング	تحصیل	ラーニング	N;NOM;MASC;SG;3	N
تحصیل	学問	تحصیل	学問	N;NOM;MASC;SG;3	N
تحصیل	利得	تحصیل	利得	N;NOM;MASC;SG;3	N
تحصیل	コレクション	تحصیل	コレクション	N;NOM;MASC;SG;3	N
تحصیلات	コレクション	تحصیل	コレクション	N;NOM;MASC;PL;3	N
تحقیر	侮蔑	تحقیر	侮蔑	N;NOM;MASC;SG;3	N
تحقیر	侮辱	تحقیر	侮辱	N;NOM;MASC;SG;3	N
تحقیر	侮蔑	تحقیر	侮蔑	N;NOM;MASC;SG;3	N
تحقیر	侮辱	تحقیر	侮辱	N;NOM;MASC;SG;3	N
تحقیر	屈辱	تحقیر	屈辱	N;NOM;MASC;SG;3	N
تحقیق	真理	تحقیق	真理	N;NOM;MASC;SG;3	N
تحقیق	認証	تحقیق	認証	N;NOM;MASC;SG;3	N
تحویل	現金	تحویل	現金	N;NOM;MASC;SG;3	N
تحویل	預金	تحویل	預金	N;NOM;MASC;SG;3	N
تحویل	デポジット	تحویل	デポジット	N;NOM;MASC;SG;3	N
تحویل	ケア	تحویل	ケア	N;NOM;MASC;SG;3	N
تحویل	介護	تحویل	介護	N;NOM;MASC;SG;3	N
تحویل	チャージ	تحویل	チャージ	N;NOM;MASC;SG;3	N
تحویل	充電	تحویل	充電	N;NOM;MASC;SG;3	N
تحویل	資本	تحویل	資本	N;NOM;MASC;SG;3	N
تحویل	首都	تحویل	首都	N;NOM;MASC;SG;3	N
تخاطُب	アドレス	تخاطُب	アドレス	N;NOM;MASC;SG;3	N
تخاطُب	住所	تخاطُب	住所	N;NOM;MASC;SG;3	N
تخالُف	野党	تخالُف	野党	N;NOM;MASC;SG;3	N
تخبُّط	狂気	تخبُّط	狂気	N;NOM;MASC;SG;3	N
تخت	君主	تخت	君主	N;NOM;MASC;SG;3	N
تخت	玉座	تخت	玉座	N;NOM;MASC;SG;3	N
تختہ	ボード	تختہ	ボード	N;NOM;MASC;SG;3	N
تختہ	ベンチ	تختہ	ベンチ	N;NOM;MASC;SG;3	N
تختہ	テーブル	تختہ	テーブル	N;NOM;MASC;SG;3	N
تختی	タブレット	تختی	タブレット	N;NOM;FEM;SG;3	N
تختی	表札	تختی	表札	N;NOM;FEM;SG;3	N
تخریج	推論	تخریج	推論	N;NOM;MASC;SG;3	N
تخریج	値引き	تخریج	値引き	N;NOM;MASC;SG;3	N
تخصیص	名物	تخصیص	名物	N;NOM;MASC;SG;3	N
تخطیط	デザイン	تخطیط	デザイン	N;NOM;MASC;SG;3	N
تخطیط	意匠	تخطیط	意匠	N;NOM;MASC;SG;3	N
تخفیف	レリーフ	تخفیف	レリーフ	N;NOM;MASC;SG;3	N
تخفیف	レリーフ	تخفیف	レリーフ	N;NOM;MASC;SG;3	N
تخلیق	プロダクション	تخلیق	プロダクション	N;NOM;MASC;SG;3	N
تخلیق	プロダクション	تخلیق	プロダクション	N;NOM;MASC;SG;3	N
تخمیر	ネイチャー	تخمیر	ネイチャー	N;NOM;MASC;SG;3	N
تخمیناً	ほぼ	تخمیناً	ほぼ	ADV	ADV
تخمینہ	評定	تخمینہ	評定	N;NOM;MASC;SG;3	N
تخمینہ	評定	تخمینہ	評定	N;NOM;MASC;SG;3	N
تدبیر	意見	تدبیر	意見	N;NOM;MASC;SG;3	N
تدبیر	マネジメント	تدبیر	マネジメント	N;NOM;MASC;SG;3	N
تدبیر	マネージメント	تدبیر	マネージメント	N;NOM;MASC;SG;3	N
تدبیر	デバイス	تدبیر	デバイス	N;NOM;MASC;SG;3	N
تدبیر	機器	تدبیر	機器	N;NOM;MASC;SG;3	N
تدبیر	ウェイ	تدبیر	ウェイ	N;NOM;MASC;SG;3	N
تدبیر	計画	تدبیر	計画	N;NOM;MASC;SG;3	N
تدبیر	プラン	تدبیر	プラン	N;NOM;MASC;SG;3	N
تدبیر	意見	تدبیر	意見	N;NOM;MASC;SG;3	N
تدبیر	マネジメント	تدبیر	マネジメント	N;NOM;MASC;SG;3	N
تدبیر	マネージメント	تدبیر	マネージメント	N;NOM;MASC;SG;3	N
تدبیر	デバイス	تدبیر	デバイス	N;NOM;MASC;SG;3	N
تدبیر	機器	تدبیر	機器	N;NOM;MASC;SG;3	N
تدبیر	戦術	تدبیر	戦術	N;NOM;MASC;SG;3	N
تدبیر	ウェイ	تدبیر	ウェイ	N;NOM;MASC;SG;3	N
تدبیر	計画	تدبیر	計画	N;NOM;MASC;SG;3	N
تدبیر	プラン	تدبیر	プラン	N;NOM;MASC;SG;3	N
تدریس	教育	تدریس	教育	N;NOM;MASC;SG;3	N
تدریس	学歴	تدریس	学歴	N;NOM;MASC;SG;3	N
تذلیل	恥辱	تذلیل	恥辱	N;NOM;MASC;SG;3	N
تذلیل	屈辱	تذلیل	屈辱	N;NOM;MASC;SG;3	N
تذلیل	恥辱	تذلیل	恥辱	N;NOM;MASC;SG;3	N
بہتر	ベター	بہتر	ベター	ADJ	ADJ
تردامنی	不道	تردامنی	不道	ADJ;NOM	ADJ
ترازو	残高	ترازو	残高	N;NOM;MASC;SG;3	N
ترازو	バランス	ترازو	バランス	N;NOM;MASC;SG;3	N
تراشہ	スプリンター	تراشہ	スプリンター	N;NOM;MASC;SG;3	N
تراشہ	チップ	تراشہ	チップ	N;NOM;MASC;SG;3	N
تراکیب	計画	تراکیب	計画	N;NOM;MASC;SG;3	N
تراکیب	プラン	تراکیب	プラン	N;NOM;MASC;SG;3	N
ترانہ	バラード	ترانہ	バラード	N;NOM;MASC;SG;3	N
ترانہ	バラッド	ترانہ	バラッド	N;NOM;MASC;SG;3	N
ترانہ	メロディ	ترانہ	メロディ	N;NOM;MASC;SG;3	N
ترانہ	メロディー	ترانہ	メロディー	N;NOM;MASC;SG;3	N
ترانہ	バラード	ترانہ	バラード	N;NOM;MASC;SG;3	N
ترانہ	バラッド	ترانہ	バラッド	N;NOM;MASC;SG;3	N
ترانہ	メロディ	ترانہ	メロディ	N;NOM;MASC;SG;3	N
ترانہ	メロディー	ترانہ	メロディー	N;NOM;MASC;SG;3	N
ترتیب	デコレーション	ترتیب	デコレーション	N;NOM;FEM;SG;3	N
ترتیب	フォーメーション	ترتیب	フォーメーション	N;NOM;FEM;SG;3	N
ترتیب	オーダー	ترتیب	オーダー	N;NOM;FEM;SG;3	N
ترتیب	編纂	ترتیب	編纂	N;NOM;FEM;SG;3	N
ترتیب	コンパイル	ترتیب	コンパイル	N;NOM;FEM;SG;3	N
ترتیب	デコレーション	ترتیب	デコレーション	N;NOM;FEM;SG;3	N
ترتیب	編曲	ترتیب	編曲	N;NOM;FEM;SG;3	N
ترجمان	代理人	ترجمان	代理人	N;NOM;MASC;SG;3	N
ترجمان	インタプリタ	ترجمان	インタプリタ	N;NOM;MASC;SG;3	N
ترجمان	代理人	ترجمان	代理人	N;NOM;MASC;SG;3	N
ترجمہ	バージョン	ترجمہ	バージョン	N;NOM;MASC;SG;3	N
ترجمہ	レンダリング	ترجمہ	レンダリング	N;NOM;MASC;SG;3	N
ترجیع	リターン	ترجیع	リターン	N;NOM;MASC;SG;3	N
ترخنا	爆裂	ترخنا	爆裂		
ترس	恐れ	ترس	恐れる	V;ACT	V
ترسا	あこがれ	ترسا	あこがれ		
ترساں	臆病	ترساں	臆病		
ترساں	臆病	ترساں	臆病		
ترشاترشایا	トリミング	ترشاترشایا	トリミング	N;NOM;MASC;SG;3	N
ترشُّح	霧雨	ترشُّح	霧雨	N;NOM;MASC;SG;3	N
تُرشئی	酸性	تُرشئی	酸性	N;NOM;MASC;SG;3	N
ترُّفع	身長	ترُّفع	身長	N;NOM;MASC;SG;3	N
ترُّفع	プライド	ترُّفع	プライド	N;NOM;MASC;SG;3	N
ترُّفع	傲慢	ترُّفع	傲慢	N;NOM;MASC;SG;3	N
ترقّی	振興	ترقّی	振興	N;NOM;MASC;SG;3	N
ترقّی	プロモーション	ترقّی	プロモーション	N;NOM;MASC;SG;3	N
ترکاری	野菜	ترکاری	野菜	N;NOM;FEM;SG;3	N
ترکُّز	濃度	ترکُّز	濃度	N;NOM;MASC;SG;3	N
ترکیب	フォーメーション	ترکیب	フォーメーション	N;NOM;FEM;SG;3	N
ترکیب	システム	ترکیب	システム	N;NOM;FEM;SG;3	N
ترکیب	構造	ترکیب	構造	N;NOM;FEM;SG;3	N
ترکیب	モード	ترکیب	モード	N;NOM;FEM;SG;3	N
ترکیب	プロシージャ	ترکیب	プロシージャ	N;NOM;FEM;SG;3	N
ترکیب	手順	ترکیب	手順	N;NOM;FEM;SG;3	N
ترکیب	機構	ترکیب	機構	N;NOM;FEM;SG;3	N
ترکیب	メカニズム	ترکیب	メカニズム	N;NOM;FEM;SG;3	N
ترکیب	テクニック	ترکیب	テクニック	N;NOM;FEM;SG;3	N
ترکیب	技法	ترکیب	技法	N;NOM;FEM;SG;3	N
ترکیب	体質	ترکیب	体質	N;NOM;FEM;SG;3	N
ترکیب	憲法	ترکیب	憲法	N;NOM;FEM;SG;3	N
ترکیب	ソリューション	ترکیب	ソリューション	N;NOM;FEM;SG;3	N
ترکیب	溶液	ترکیب	溶液	N;NOM;FEM;SG;3	N
ترکیب	戦術	ترکیب	戦術	N;NOM;FEM;SG;3	N
ترکیب	方法	ترکیب	方法	N;NOM;FEM;SG;3	N
ترکیب	計画	ترکیب	計画	N;NOM;FEM;SG;3	N
ترکیب	プラン	ترکیب	プラン	N;NOM;FEM;SG;3	N
ترکیب	過程	ترکیب	過程	N;NOM;FEM;SG;3	N
ترکیب	プロセス	ترکیب	プロセス	N;NOM;FEM;SG;3	N
ترکیب	フォーメーション	ترکیب	フォーメーション	N;NOM;FEM;SG;3	N
ترکیب	システム	ترکیب	システム	N;NOM;FEM;SG;3	N
ترکیب	構造	ترکیب	構造	N;NOM;FEM;SG;3	N
ترکیب	モード	ترکیب	モード	N;NOM;FEM;SG;3	N
ترکیب	プロシージャ	ترکیب	プロシージャ	N;NOM;FEM;SG;3	N
ترکیب	手順	ترکیب	手順	N;NOM;FEM;SG;3	N
ترکیب	機構	ترکیب	機構	N;NOM;FEM;SG;3	N
ترکیب	メカニズム	ترکیب	メカニズム	N;NOM;FEM;SG;3	N
ترکیب	テクニック	ترکیب	テクニック	N;NOM;FEM;SG;3	N
ترکیب	技法	ترکیب	技法	N;NOM;FEM;SG;3	N
ترکیب	体質	ترکیب	体質	N;NOM;FEM;SG;3	N
ترکیب	憲法	ترکیب	憲法	N;NOM;FEM;SG;3	N
ترکیب	ソリューション	ترکیب	ソリューション	N;NOM;FEM;SG;3	N
ترکیب	溶液	ترکیب	溶液	N;NOM;FEM;SG;3	N
ترکیب	戦術	ترکیب	戦術	N;NOM;FEM;SG;3	N
ترکیب	方法	ترکیب	方法	N;NOM;FEM;SG;3	N
ترکیب	計画	ترکیب	計画	N;NOM;FEM;SG;3	N
ترکیب	プラン	ترکیب	プラン	N;NOM;FEM;SG;3	N
ترکیب	過程	ترکیب	過程	N;NOM;FEM;SG;3	N
ترکیب	プロセス	ترکیب	プロセス	N;NOM;FEM;SG;3	N
ترمیم	改造	ترمیم	改造	N;NOM;FEM;SG;3	N
ترمیم	改造	ترمیم	改造	N;NOM;FEM;SG;3	N
ترویج	通貨	ترویج	通貨	N;NOM;MASC;SG;3	N
ترویج	循環	ترویج	循環	N;NOM;MASC;SG;3	N
تڑی	威嚇	تڑی	威嚇		
تزئین	デコレーション	تزئین	デコレーション	N;NOM;MASC;SG;3	N
تزئین	デコレーション	تزئین	デコレーション	N;NOM;MASC;SG;3	N
تسجیل	登記	تسجیل	登記	N;NOM;MASC;SG;3	N
تسلیم	あいさつ	تسلیم	あいさつ	N;NOM;MASC;SG;3	N
تسلیم	オマージュ	تسلیم	オマージュ	N;NOM;MASC;SG;3	N
تسلیم	あいさつ	تسلیم	あいさつ	N;NOM;MASC;SG;3	N
تسلیم	オマージュ	تسلیم	オマージュ	N;NOM;MASC;SG;3	N
تسلیمات	あいさつ	تسلیم	あいさつ	N;NOM;MASC;PL;3	N
تسیُّر	ツアー	تسیُّر	ツアー	N;NOM;MASC;SG;3	N
تشخُّص	個性	تشخُّص	個性	N;NOM;MASC;SG;3	N
تشخُّص	人柄	تشخُّص	人柄	N;NOM;MASC;SG;3	N
تشخُّص	性格	تشخُّص	性格	N;NOM;MASC;SG;3	N
تشخُّص	人格	تشخُّص	人格	N;NOM;MASC;SG;3	N
تشخُّص	パーソナリティ	تشخُّص	パーソナリティ	N;NOM;MASC;SG;3	N
تشخُّص	アイデンティティー	تشخُّص	アイデンティティー	N;NOM;MASC;SG;3	N
تشخُّص	アイデンティティ	تشخُّص	アイデンティティ	N;NOM;MASC;SG;3	N
تشخُّص	差別	تشخُّص	差別	N;NOM;MASC;SG;3	N
تشخیص	評定	تشخیص	評定	N;NOM;MASC;SG;3	N
تشخیص	評定	تشخیص	評定	N;NOM;MASC;SG;3	N
تشرُّف	名誉	تشرُّف	名誉	N;NOM;MASC;SG;3	N
تشریح	詳細	تشریح	詳細	N;NOM;MASC;SG;3	N
تشریح	詳細	تشریح	詳細	N;NOM;MASC;SG;3	N
تشریع	シャリーア	تشریع	シャリーア	N;NOM;MASC;SG;3	N
تشفُّع	おすすめ	تشفُّع	おすすめ	N;NOM;MASC;SG;3	N
تشکیل	フォーメーション	تشکیل	フォーメーション	N;NOM;MASC;SG;3	N
تشکیل	メイキング	تشکیل	メイキング	N;NOM;MASC;SG;3	N
تشکیل	建物	تشکیل	建物	N;NOM;MASC;SG;3	N
تشنیع	蔑称	تشنیع	蔑称	N;NOM;MASC;SG;3	N
تشویش	関心	تشویش	関心	N;NOM;MASC;SG;3	N
تشہیر	恥辱	تشہیر	恥辱	N;NOM;MASC;SG;3	N
تشہیر	恥辱	تشہیر	恥辱	N;NOM;MASC;SG;3	N
تشہیر	広報	تشہیر	広報	N;NOM;MASC;SG;3	N
تصافُح	握手	تصافُح	握手	N;NOM;MASC;SG;3	N
تصانیف	書物	تصانیف	書物	N;NOM;MASC;SG;3	N
تصانیف	帳簿	تصانیف	帳簿	N;NOM;MASC;SG;3	N
تصانیف	書籍	تصانیف	書籍	N;NOM;MASC;SG;3	N
تصحیح	整流	تصحیح	整流	N;NOM;MASC;SG;3	N
تصدیق	認証	تصدیق	認証	N;NOM;MASC;SG;3	N
تصدیق	認証	تصدیق	認証	N;NOM;MASC;SG;3	N
تصدیق	認証	تصدیق	認証	N;NOM;MASC;SG;3	N
تصریح	ディテール	تصریح	ディテール	N;NOM;MASC;SG;3	N
تصعید	レイジング	تصعید	レイジング	N;NOM;MASC;SG;3	N
تصنیف	書物	تصنیف	書物	N;NOM;MASC;SG;3	N
تصنیف	ブック	تصنیف	ブック	N;NOM;MASC;SG;3	N
تصنیف	記事	تصنیف	記事	N;NOM;MASC;SG;3	N
تصنیف	冠詞	تصنیف	冠詞	N;NOM;MASC;SG;3	N
تصویر	フォト	تصویر	フォト	N;NOM;MASC;SG;3	N
تصویر	写真	تصویر	写真	N;NOM;MASC;SG;3	N
تصویر	図面	تصویر	図面	N;NOM;MASC;SG;3	N
تصویر	ドローイング	تصویر	ドローイング	N;NOM;MASC;SG;3	N
تصویر	肖像	تصویر	肖像	N;NOM;MASC;SG;3	N
تصویر	ポートレート	تصویر	ポートレート	N;NOM;MASC;SG;3	N
تصویر	絵画	تصویر	絵画	N;NOM;MASC;SG;3	N
تصویر	画像	تصویر	画像	N;NOM;MASC;SG;3	N
تصویر	イメージ	تصویر	イメージ	N;NOM;MASC;SG;3	N
تصویر	写真	تصویر	写真	N;NOM;MASC;SG;3	N
تصویر	画像	تصویر	画像	N;NOM;MASC;SG;3	N
تصویر	写真	تصویر	写真	N;NOM;MASC;SG;3	N
تصویر	フォト	تصویر	フォト	N;NOM;MASC;SG;3	N
تصویر	写真	تصویر	写真	N;NOM;MASC;SG;3	N
تصویر	図面	تصویر	図面	N;NOM;MASC;SG;3	N
تصویر	ドローイング	تصویر	ドローイング	N;NOM;MASC;SG;3	N
تصویر	肖像	تصویر	肖像	N;NOM;MASC;SG;3	N
تصویر	ポートレート	تصویر	ポートレート	N;NOM;MASC;SG;3	N
تصویر	絵画	تصویر	絵画	N;NOM;MASC;SG;3	N
تصویر	画像	تصویر	画像	N;NOM;MASC;SG;3	N
تصویر	イメージ	تصویر	イメージ	N;NOM;MASC;SG;3	N
تصویر	写真	تصویر	写真	N;NOM;MASC;SG;3	N
تصویر	画像	تصویر	画像	N;NOM;MASC;SG;3	N
تصویر	写真	تصویر	写真	N;NOM;MASC;SG;3	N
تضاد	コントラスト	تضاد	コントラスト	N;NOM;MASC;SG;3	N
تضاد	コントラスト	تضاد	コントラスト	N;NOM;MASC;SG;3	N
تضاد	野党	تضاد	野党	N;NOM;MASC;SG;3	N
تطابُق	対応	تطابُق	対応	N;NOM;MASC;SG;3	N
تطابُق	通信	تطابُق	通信	N;NOM;MASC;SG;3	N
تطاوُل	簒奪	تطاوُل	簒奪		
تعارض	競技	تعارض	競技	N;NOM;MASC;SG;3	N
تعارض	コンペ	تعارض	コンペ	N;NOM;MASC;SG;3	N
تعارض	競争	تعارض	競争	N;NOM;MASC;SG;3	N
تعارض	コンペティション	تعارض	コンペティション	N;NOM;MASC;SG;3	N
تعارض	コンテスト	تعارض	コンテスト	N;NOM;MASC;SG;3	N
تعارض	野党	تعارض	野党	N;NOM;MASC;SG;3	N
تعارف	賄賂	تعارف	賄賂	N;NOM;MASC;SG;3	N
تعداد	番号	تعداد	番号	N;NOM;MASC;SG;3	N
تعداد	数値	تعداد	数値	N;NOM;MASC;SG;3	N
تعداد	ナンバー	تعداد	ナンバー	N;NOM;MASC;SG;3	N
تعداد	合計	تعداد	合計	N;NOM;MASC;SG;3	N
تعداد	総和	تعداد	総和	N;NOM;MASC;SG;3	N
تعداد	体力	تعداد	体力	N;NOM;MASC;SG;3	N
تعداد	強度	تعداد	強度	N;NOM;MASC;SG;3	N
تعداد	金額	تعداد	金額	N;NOM;MASC;SG;3	N
تعزیر	ペナルティ	تعزیر	ペナルティ	N;NOM;MASC;SG;3	N
تعسُّر	貧困	تعسُّر	貧困	N;NOM;MASC;SG;3	N
تعشُّق	ラブ	تعشُّق	ラブ	N;NOM;MASC;SG;3	N
تعشُّق	欲望	تعشُّق	欲望	N;NOM;MASC;SG;3	N
تعشُّق	愛着	تعشُّق	愛着	N;NOM;MASC;SG;3	N
تعشُّق	愛情	تعشُّق	愛情	N;NOM;MASC;SG;3	N
تعطیل	祝日	تعطیل	祝日	N;NOM;MASC;SG;3	N
تعطیل	休日	تعطیل	休日	N;NOM;MASC;SG;3	N
تعطیل	休暇	تعطیل	休暇	N;NOM;MASC;SG;3	N
تعطیل	バカンス	تعطیل	バカンス	N;NOM;MASC;SG;3	N
تعطیل	バケーション	تعطیل	バケーション	N;NOM;MASC;SG;3	N
تعظیم	リスペクト	تعظیم	リスペクト	N;NOM;FEM;SG;3	N
