마스터즈	αφέντες	마스터즈	αφήντης	N	N;NOM;MASC;PL
순교자	μάρτυρα	순교자	μάρτυρα	N	N;ACC;MASC;SG
정밀	ακρίβεια	정밀	ακρίβεια	N	N;ACC;FEM;SG
정밀	ακριβείας	정밀	ακριβεία	N	N;GEN;FEM;SG
같음	ίσον	같+ㅁ	ίσο		
에이전시	πρακτορείο	에이전시	πρακτορείο	N	N;NOM;NEUT;SG
에이전시	υπηρεσία	에이전시	υπηρεσία	N	N;NOM;FEM;SG
에이전시	οργανισμός	에이전시	οργανισμός	N	N;NOM;MASC;SG
디렉터리	κατάλογος	디렉터리	κατάλογος	N	N;NOM;MASC;SG
디렉터리	κατάλογο	디렉터리	κατάλογος	N	N;ACC;MASC;SG
디렉터리	ευρετήριο	디렉터리	ευρετήριο	N	N;NOM;NEUT;SG
디렉터리	καταλόγου	디렉터리	κατάλογος	N	N;GEN;MASC;SG
디렉터리	φακέλους	디렉터리	φάκελος	N	N;ACC;MASC;PL
디렉터리	φακέλων	디렉터리	φάκελος	N	N;GEN;MASC;PL
디렉터리	φάκελοι	디렉터리	φάκελος	N	N;NOM;MASC;PL
디렉터리	φάκελος	디렉터리	φάκελος	N	N;NOM;MASC;SG
디렉터리	φάκελο	디렉터리	φάκελος	N	N;ACC;MASC;SG
디렉터리	κατάλογοι	디렉터리	κατάλογος	N	N;NOM;MASC;PL
디렉터리	καταλόγων	디렉터리	κατάλογος	N	N;GEN;MASC;PL
열정	ενθουσιασμός	열정	ενθουσιασμός	N	N;NOM;MASC;SG
열정	ενθουσιασμό	열정	ενθουσιασμός	N	N;ACC;MASC;SG
열정	πάθος	열정	πάθος	N	N;NOM;NEUT;SG
열정	πάθη	열정	πάθη	N	N;NOM;NEUT;PL
예배	λατρεία	예배	λατρεία	N	N;NOM;FEM;SG
예배	λατρεία	예배	λατρεία	N	N;NOM;FEM;SG
무작위로	τυχαία	무작위+로	τυχαίος	ADV	ADV
배경색	φόντο	배경색	φόντος	N	N;NOM;NEUT;SG
배경색	υπόβαθρο	배경색	υπόβαθρος	N	N;NOM;NEUT;SG
우울	κατάθλιψη	우울	κατάθλιψη	N	N;ACC;FEM;SG
우울	μελαγχολία	우울	μελαγχολία	N	N;NOM;FEM;SG
클론	κλώνοι	클론	κλώνος	N	N;NOM;MASC;PL
클론	κλώνους	클론	κλώνος	N	N;ACC;MASC;PL
클론	κλώνος	클론	κλώνος	N	N;NOM;MASC;SG
샐리	σάλι	샐리	σάλι	N	N;NOM;FEM;SG
샐리	σάλλυ	샐리	σάλλυ	N	N
교정	βαθμονόμηση	교정	βαθμονόμηση	N	N;NOM;FEM;SG
교정	διόρθωση	교정	διόρθωση	N	N;ACC;FEM;SG
교정	τιράντες	교정	τιρά	N	N;NOM;FEM;PL
변동이	παραλλαγή	변동+이	παραλλαγή	N	N;NOM;FEM;SG
변동이	διακύμανση	변동+이	διακύμανση	N	N;NOM;FEM;SG
장례식	κηδεία	장례식	κηδεία	N	N;ACC;FEM;SG
장례식	κηδείες	장례식	κηδεία	N	N;NOM;FEM;PL
장학금	υποτροφίες	장학금	υποτροφία	N	N;NOM;FEM;PL
장학금	υποτροφία	장학금	υποτροφία	N	N;NOM;FEM;SG
체르노빌	τσερνομπίλ	체르노빌	τσερνομπίλ	N	N
해석학	ανάλυση	해석학	ανάλυση	N	N;ACC;FEM;SG
어디로	όπου	어디+로	όπου	ADV	ADV
어디로	πού	어디+로	πού	ADV	ADV
소음	θόρυβος	소음	θόρυβος	N	N;NOM;MASC;SG
소음	θόρυβο	소음	θόρυβο	N	N;ACC;MASC;SG
소음	θόρυβοι	소음	θόρυβος	N	N;NOM;MASC;PL
소음	θορύβους	소음	θορύβος	N	N;ACC;MASC;PL
소음	θόρυβοι	소음	θόρυβος	N	N;NOM;MASC;PL
공백	χώροι	공백	χώρος	N	N;NOM;MASC;PL
공백	χώρους	공백	χώρος	N	N;ACC;MASC;PL
갇힌	παγιδευμένοι	갇히+ㄴ	παγιδεύω	V	V;PFV;NOM;MASC;PL;V.PTCP;PASS
갇힌	παγιδευμένος	갇히+ㄴ	παγιδευμένος	V	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
갇힌	παγιδευμένο	갇히+ㄴ	παγιδεύω	V	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
갇힌	παγιδευμένη	갇히+ㄴ	παγιδεύω	V	V;PFV;NOM;FEM;SG;V.PTCP;PASS
제조사	πωλητής	제조사	πωλητός	N	N;NOM;MASC;SG
제조사	πωλητή	제조사	πωλητός	N	N;NOM;MASC;SG
제조사	κατασκευαστής	제조사	κατασκευαστής	N	N;NOM;MASC;SG
제조사	κατασκευαστή	제조사	κατασκευαστής	N	N;ACC;MASC;SG
제조사	παραγωγός	제조사	παραγωγός	N	N;NOM;MASC;SG
에미레이트	εμιράτο	에미레이트	εμιράτος	N	N;NOM;NEUT;SG
에미레이트	εμιράτων	에미레이트	εμιράτης	N	N;GEN;NEUT;PL
응원	κέφι	응원	κέφι	N	N;NOM;NEUT;SG
응원	μαζορέτες	응원	μαζορέτης	N	N;NOM;MASC;PL
학대	κατάχρηση	학대	κατάχρηση	N	N;ACC;FEM;SG
학대	καταχρήσεις	학대	κατάχρηση	N	N;NOM;FEM;PL
학대	κακοποίηση	학대	κακοποίηση	N	N;ACC;FEM;SG
세계화	παγκοσμιοποίηση	세계화	παγκοσμιοποίηση	N	N;NOM;FEM;SG
먹이	θηράματα	먹이	θήραμα	N	N;NOM;NEUT;PL
먹이	θήραμα	먹이	θήραμα	N	N;NOM;NEUT;SG
먹이	λεία	먹이	λέγω	N	N;NOM;FEM;SG
기저	βαση	기저	βαση	N	N;NOM;FEM;SG
기저	βάση	기저	βάση	N	N;ACC;FEM;SG
포위전	πολιορκία	포위전	πολιορκία	N	N;NOM;FEM;SG
윤리학	δεοντολογία	윤리학	δεοντολογία	N	N;NOM;FEM;SG
낚시	αλιεία	낚시	αλιεία	N	N;NOM;FEM;SG
낚시	ψάρεμα	낚시	ψάρεμα	N	N;NOM;NEUT;SG
낚시	αλιείας	낚시	αλιεία	N	N;GEN;FEM;SG
비참한	δυστυχισμένος	비참+하+ㄴ	δυστυχισμένος	V	V;PFV;NOM;MASC;SG;V.PTCP;PASS
호환성	συμβατότητα	호환성	συμβατότητα	N	N;NOM;FEM;SG
수익	έσοδα	수익	έσοδο	N	N;NOM;NEUT;PL
수익	απόδοση	수익	απόδοση	N	N;ACC;FEM;SG
수익	έσοδα	수익	έσοδο	N	N;NOM;NEUT;PL
수익	αποδοχές	수익	αποδοχή	N	N;NOM;FEM;PL
수익	κέρδη	수익	κέρδος	N	N;NOM;NEUT;PL
수익	έσοδα	수익	έσοδο	N	N;NOM;NEUT;PL
수익	κέρδη	수익	κέρδος	N	N;NOM;NEUT;PL
전구	λάμπα	전구	λάμπα	N	N;NOM;FEM;SG
돌연변이	μετάλλαξη	돌연변+이	μετάλλαξη	N	N;NOM;FEM;SG
데이지	νταίζη	데이지	νταίζη	N	N;NOM;FEM;SG
무신론	αθεϊσμού	무신론	αθεϊσμός	N	N;NOM;MASC;SG
실험실	εργαστήριο	실험실	εργαστήριο	N	N;NOM;NEUT;SG
실험실	εργαστήρια	실험실	εργαστήρια	N	N;NOM;NEUT;PL
실험실	εργαστήριο	실험실	εργαστήριο	N	N;NOM;NEUT;SG
수렴	σύγκλισης	수렴	σύγκλιση	N	N;GEN;FEM;SG
수렴	σύγκλιση	수렴	σύγκλιση	N	N;ACC;FEM;SG
관광객	τουρίστα	관광객	τουρίστα	N	N;NOM;MASC;SG
관광객	τουρίστας	관광객	τουρίστας	N	N;NOM;MASC;SG
관광객	τουρίστες	관광객	τουρίστας	N	N;NOM;MASC;PL
습작	υγρασία	습작	υγρασία	N	N;NOM;FEM;SG
도끼	τσεκούρι	도끼	τσεκούρι	N	N;NOM;NEUT;SG
도끼	τσεκούρι	도끼	τσεκούρι	N	N;NOM;NEUT;SG
도끼	αξ	도끼	αξ	N	N;NOM;NEUT;SG
수영장	πισίνες	수영장	πισίνα	N	N;NOM;FEM;PL
수영장	πισίνα	수영장	πισίνα	N	N;NOM;FEM;SG
이민자	μετανάστης	이민자	μετανάστης	N	N;NOM;MASC;SG
음악원	ωδείο	음악원	ωδείο	N	N;NOM;NEUT;SG
스택	στοίβα	스택	στοίβος	N	N;NOM;FEM;SG
스택	στοίβες	스택	στοίβα	N	N;NOM;FEM;PL
친구들이	φίλους	친구+들+이	φίλος	N	N;NOM;MASC;PL
친구들이	φίλες	친구+들+이	φίλος	N	N;NOM;FEM;PL
친구들이	φίλοι	친구+들+이	φίλος	N	N;VOC;MASC;PL
친구들이	φιλοι	친구+들+이	φιλος	N	N;NOM;MASC;PL
재무	χρηματοδότηση	재무	χρηματοδότηση	N	N;ACC;FEM;SG
인코딩	κωδικοποίηση	인코딩	κωδικοποίηση	N	N;NOM;FEM;SG
화살	βέλη	화살	βέλης	N	N;NOM;NEUT;PL
화살	τόξα	화살	τόξα	N	N;NOM;NEUT;PL
화살	βέλος	화살	βέλος	N	N;NOM;NEUT;SG
심리학자	ψυχολόγος	심리학자	ψυχολόγος	N	N;NOM;MASC;SG
섹션	ενότητα	섹션	ενότητα	N	N;NOM;FEM;SG
섹션	τμήμα	섹션	τμήμα	N	N;NOM;NEUT;SG
섹션	τμημα	섹션	τμημα	N	N;NOM;NEUT;SG
섹션	τμήματα	섹션	τμήμα	N	N;NOM;NEUT;PL
섹션	ενότητες	섹션	ενότητα	N	N;NOM;FEM;PL
구문	φράση	구문	φράση	N	N;ACC;FEM;SG
구문	σύνταξη	구문	σύνταξη	N	N;NOM;FEM;SG
초원	λειμώνες	초원	λειμώνας	N	N;NOM;FEM;PL
초원	λιβάδι	초원	λιβάδι	N	N;NOM;NEUT;SG
땅콩	φιστίκι	땅콩	φιστίκι	N	N;NOM;NEUT;SG
땅콩	καρύδι	땅콩	καρύδι	N	N;NOM;NEUT;SG
땅콩	καρποί	땅콩	καρπός	N	N;NOM;MASC;PL
땅콩	καρύδια	땅콩	καρύδιος	N	N;NOM;NEUT;PL
땅콩	φυστίκια	땅콩	φυστίκι	N	N;NOM;NEUT;PL
땅콩	φιστίκια	땅콩	φιστίκι	N	N;NOM;NEUT;PL
대표자	αντιπρόσωπος	대표자	αντιπρόσωπος	N	N;NOM;MASC;SG
대표자	εκπρόσωπος	대표자	εκπρόσωπος	N	N;NOM;MASC;SG
결제	πληρωμή	결제	πληρωμή	N	N;NOM;FEM;SG
결제	καταβολή	결제	καταβολή	N	N;NOM;FEM;SG
결제	πληρωμής	결제	πληρωμή	N	N;GEN;FEM;SG
결제	πληρωμή	결제	πληρωμή	N	N;NOM;FEM;SG
결제	πληρωμές	결제	πληρωμή	N	N;NOM;FEM;PL
결제	πληρωμών	결제	πληρωμή	N	N;GEN;FEM;PL
아름답다	όμορφη	아름답+다	όμορφος	ADJ	ADJ;NOM;FEM;SG
역설	παράδοξο	역설	παράδοξος	N	N;NOM;NEUT;SG
역설	παράδοξα	역설	παράδοξα	N	N;NOM;NEUT;PL
불행한	δυστυχισμένος	불행+하+ㄴ	δυστυχισμένος	V	V;PFV;NOM;MASC;SG;V.PTCP;PASS
불행한	δυστυχισμένη	불행+하+ㄴ	δυστυχίζω	V	V;PFV;NOM;FEM;SG;V.PTCP;PASS
폐기물	απορρίμματα	폐기물	απόρριμμα	N	N;NOM;NEUT;PL
폐기물	αποβλήτων	폐기물	απόβλητος	N	N;GEN;NEUT;PL
폐기물	απόβλητα	폐기물	απόβλητα	N	N;NOM;NEUT;PL
폐기물	απόβλητα	폐기물	απόβλητα	N	N;NOM;NEUT;PL
호위함	φρεγάτα	호위+하+ㅁ	φρεγάτα	N	N;NOM;FEM;SG
눈물이	δάκρυα	눈물+이	δάκρυο	N	N;NOM;NEUT;PL
의사소통	επικοινωνία	의사+소통	επικοινωνία	N	N;NOM;FEM;SG
의사소통	ανακοίνωση	의사+소통	ανακοίνωση	N	N;NOM;FEM;SG
충전	φόρτιση	충전	φόρτιση	N	N;ACC;FEM;SG
충전	χρέωση	충전	χρέωση	N	N;ACC;FEM;SG
전세	χάρτα	전세	χάρτα	N	N;NOM;FEM;SG
전세	χάρτη	전세	χάρτης	N	N;ACC;MASC;SG
터빈	τουρμπίνα	터빈	τουρμπίνα	N	N;NOM;FEM;SG
터빈	τουρμπίνες	터빈	τουρμπίνα	N	N;NOM;FEM;PL
사슴	ελάφια	사슴	ελάφιος	N	N;NOM;NEUT;PL
사슴	ελάφι	사슴	ελάφι	N	N;NOM;NEUT;SG
기독교인	χριστιανούς	기독교인	χριστιανός	N	N;ACC;MASC;PL
기독교인	χριστιανοί	기독교인	χριστιανός	N	N;NOM;MASC;PL
반박	αντίκρουση	반박	αντίκρουση	N	N;ACC;FEM;SG
하모니카	φυσαρμόνικα	하모니카	φυσαρμόνικα	N	N;NOM;FEM;SG
쓸데없는	άχρηστο	쓸데없+는	άχρηστος	ADJ	ADJ;NOM;NEUT;SG
쓸데없는	άχρηστη	쓸데없+는	άχρηστος	ADJ	ADJ;NOM;FEM;SG
쓸데없는	άχρηστος	쓸데없+는	άχρηστος	ADJ	ADJ;NOM;MASC;SG
협동	ομαδικότητα	협동	ομαδικότητα	N	N;ACC;FEM;SG
나뭇잎	φύλλα	나뭇잎	φύλλο	N	N;NOM;NEUT;PL
나뭇잎	φύλλο	나뭇잎	φύλλο	N	N;NOM;NEUT;SG
관습	τελωνείο	관습	τελωνείο	N	N;NOM;NEUT;SG
관습	τελωνεία	관습	τελωνεία	N	N;NOM;NEUT;PL
부상당한	πληγωμένος	부상+당하+ㄴ	πληγωμένος	V	V;PFV;NOM;MASC;SG;V.PTCP;PASS
부상당한	πληγωμένη	부상+당하+ㄴ	πληγώνω	V	V;PFV;NOM;FEM;SG;V.PTCP;PASS
부상당한	τραυματισμένος	부상+당하+ㄴ	τραυματισμένος	V	V;PFV;NOM;MASC;SG;V.PTCP;PASS
페널티	ποινή	페널티	ποινή	N	N;ACC;FEM;SG
합금	κράμα	합금	κράμα	N	N;NOM;NEUT;SG
합금	κράματα	합금	κράμα	N	N;NOM;NEUT;PL
수사관	ανακριτές	수사관	ανακριτής	N	N;NOM;MASC;PL
우회	παράκαμψη	우회	παράκαμψη	N	N;NOM;FEM;SG
우회	παράκαμψη	우회	παράκαμψη	N	N;NOM;FEM;SG
죄수	κρατούμενοι	죄수	κρατούμενος	N	N;NOM;MASC;PL
기증	δωρεά	기증	δωραός	N	N;NOM;FEM;SG
맬컴	μάλκομ	맬컴	μάλκομ	N	N;NOM;NEUT;SG
패킷	πακέτα	패킷	πακέτα	N	N;NOM;NEUT;PL
서킷	κύκλωμα	서킷	κύκλωμα	N	N;NOM;NEUT;SG
결정하기	αποφασίστε	결정+하+기	αποφασίζω	V	V;PFV;IMP;PL;2;FIN;ACT
결정하기	αποφασίσει	결정+하+기	αποφασίζω	V	V;PFV;NFIN;ACT
결정하기	αποφάσισε	결정+하+기	αποφασίζω	V	V;PFV;IND;SG;3;PST;FIN;ACT
침묵	σιωπές	침묵	σιωπή	N	N;NOM;FEM;PL
침묵	σιωπή	침묵	σιωπή	N	N;NOM;FEM;SG
침묵	ησυχία	침묵	ησυχία	N	N;ACC;FEM;SG
중성	ουδέτερο	중성	ούδετερος	N	N;NOM;NEUT;SG
부등식	ανισότητα	부등식	ανισότητα	N	N;ACC;FEM;SG
여자들	γυναίκες	여자+들	γυναίκα	N	N;NOM;FEM;PL
여자들	γυναικες	여자+들	γυναίκα	N	N;NOM;FEM;PL
융합	σύντηξη	융합	σύντηξη	N	N;ACC;FEM;SG
융합	τήξη	융합	τήξη	N	N;NOM;FEM;SG
융합	σύντηξης	융합	σύντηξη	N	N;GEN;FEM;SG
비틀즈	σκαθάρια	비틀즈	σκαθάριο	N	N;NOM;NEUT;PL
장화	μπότες	장화	μπότη	N	N;NOM;FEM;PL
공구	εργαλείο	공구	εργαλείο	N	N;NOM;NEUT;SG
일자리	δουλειές	일자리	δουλειή	N	N;NOM;FEM;PL
일자리	εργασίες	일자리	εργασία	N	N;NOM;FEM;PL
아바타	άβαταρ	아바타	άβαταρ	N	N;NOM;FEM;SG
마늘	σκόρδο	마늘	σκόρδος	N	N;NOM;NEUT;SG
유머	χιούμορ	유머	χιούμορ	N	N;NOM;NEUT;SG
유머	χιούμορ	유머	χιούμορ	N	N;NOM;NEUT;SG
박쥐	μπατ	박쥐	μπατ		
빙하	παγετώνες	빙하	παγετώνα	N	N;NOM;FEM;PL
듀엣	ντουέτο	듀엣	ντούω	N	N;NOM;NEUT;SG
빈곤	φτώχειας	빈곤	φτώχεια	N	N;GEN;FEM;SG
빈곤	φτώχεια	빈곤	φτώχεια	N	N;NOM;FEM;SG
빈곤	φτώχια	빈곤	φτώχιο	N	N;NOM;FEM;SG
생태계	οικοσύστημα	생태계	οικοσύστημα	N	N;NOM;NEUT;SG
생태계	οικοσυστημάτων	생태계	οικοσύστημα	N	N;GEN;NEUT;PL
생태계	οικοσυστήματα	생태계	οικοσύστημα	N	N;NOM;NEUT;PL
듀티	δασμός	듀티	δασμός	N	N;NOM;MASC;SG
듀티	καθήκον	듀티	καθήκον	N	N;NOM;NEUT;SG
무작위	τυχαιότητα	무작위	τυχαιότητα	N	N;ACC;FEM;SG
보손	μποζόνια	보손	μποζόνια	N	N;NOM;NEUT;PL
서스펜션	εναιώρημα	서스펜션	εναιώρημα	N	N;NOM;NEUT;SG
서스펜션	ανάρτηση	서스펜션	ανάρτηση	N	N;ACC;FEM;SG
서스펜션	αναστολή	서스펜션	αναστολή	N	N;ACC;FEM;SG
투자가	επενδυτής	투자+가	επενδυτής	N	N;NOM;MASC;SG
투자가	επενδυτή	투자+가	επενδυτής	N	N;VOC;MASC;SG
지배자	κυρίαρχο	지배자	κυρίαρχος	N	N;NOM;NEUT;SG
지배자	κυρίαρχη	지배자	κυρίαρχη	N	N;NOM;FEM;SG
각도	γωνία	각도	γωνία	N	N;NOM;FEM;SG
습지	υγροτόπων	습지	ύγροτοπος	N	N;GEN;NEUT;PL
습지	υγρότοπος	습지	υγρότοπος	N	N;NOM;MASC;SG
아들들	γιοι	아들+들	γιος	N	N;NOM;MASC;PL
아들들	γιοί	아들+들	γιοί	N	N;NOM;MASC;PL
아들들	γιους	아들+들	γιος	N	N;NOM;MASC;PL
구두	παπούτσι	구두	παπούτσι	N	N;NOM;NEUT;SG
점화	ανάφλεξης	점화	ανάφλεξη	N	N;GEN;FEM;SG
점화	ανάφλεξη	점화	ανάφλεξη	N	N;ACC;FEM;SG
마스터스	αφέντες	마스터스	αφήντης	N	N;NOM;MASC;PL
마스터스	αφέντη	마스터스	αφήντης	N	N;ACC;MASC;SG
토양	χώμα	토양	χώμα	N	N;NOM;NEUT;SG
토양	έδαφος	토양	έδαφος	N	N;NOM;NEUT;SG
신념	πίστη	신념	πίστα	N	N;NOM;FEM;SG
신념	φέιθ	신념	φέιθ	N	N
신념	πεποιθήσεις	신념	πεποίθηση	N	N;NOM;FEM;PL
신념	πεποίθηση	신념	πεποίθηση	N	N;ACC;FEM;SG
변조	διαφοροποίηση	변조	διαφοροποίηση	N	N;ACC;FEM;SG
복음	ευαγγέλιο	복음	ευαγγέλιο	N	N;NOM;NEUT;SG
복음	καθοδήγηση	복음	καθοδήγηση	N	N;ACC;FEM;SG
복음	προσανατολισμός	복음	προσανατολισμός	N	N;NOM;MASC;SG
우표	σφραγίδα	우표	σφραγίδα	N	N;NOM;FEM;SG
우표	γραμματόσημο	우표	γραμματόσημος	N	N;NOM;NEUT;SG
우표	γραμματόσημα	우표	γραμματόσημα	N	N;NOM;NEUT;PL
우표	σφραγίδες	우표	σφραγίδα	N	N;NOM;FEM;PL
조앤	τζοάν	조앤	τζοά	N	N
이온화	ιονισμού	이온화	ιονισμός	N	N;GEN;MASC;SG
소수점	δεκαδικό	소수점	δεκαδικός	N	N;NOM;NEUT;SG
타악기	κρουστά	타악기	κρουστός	N	N;NOM;NEUT;PL
저수지	δεξαμενές	저수+지	δεξαμενή	N	N;NOM;FEM;PL
저수지	δεξαμενή	저수+지	δεξαμενή	N	N;NOM;FEM;SG
인터럽트	διακοπή	인터럽트	διακοπή	N	N;ACC;FEM;SG
인디애나폴리스	ινδιανάπολη	인디애나폴리스	ινδιανάπολη	N	N;SG
반영	αντανάκλαση	반영	αντανάκλαση	N	N;NOM;FEM;SG
전시관	έκθεση	전시관	έκθεση	N	N;ACC;FEM;SG
암살자	εκτελεστής	암살자	εκτελεστής	N	N;NOM;MASC;SG
아나키즘	αναρχισμός	아나키즘	αναρχισμός	N	N;NOM;MASC;SG
헌장	χάρτα	헌장	χάρτα	N	N;NOM;FEM;SG
헌장	χάρτη	헌장	χάρτης	N	N;ACC;MASC;SG
클러스터	συστοιχία	클러스터	συστοιχία	N	N;ACC;FEM;SG
클러스터	σύμπλεγμα	클러스터	σύμπλεγμα	N	N;NOM;NEUT;SG
클러스터	σμήνος	클러스터	σμήνος	N	N;NOM;NEUT;SG
클러스터	διασποράς	클러스터	διασπορά	N	N;GEN;FEM;SG
클러스터	συμπλέγματα	클러스터	σύμπλεγμα	N	N;NOM;NEUT;PL
프록시	διαμεσολαβητή	프록시	διαμεσολαβητής	N	N;VOC;MASC;SG
핵분열	σχάση	핵분열	σχάση	N	N;NOM;FEM;SG
궁수자리	τοξότης	궁수+자리	τοξότης	N	N;NOM;MASC;SG
시편	ψαλμός	시편	ψαλμός	N	N;NOM;MASC;SG
시편	ψαλμούς	시편	ψαλμός	N	N;ACC;MASC;PL
