que	это	que	это	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
distrito	район	distrito	район	N;MASC;SG	N;INAN;NOM;MASC;SG
local	место	local	место	N;MASC;SG	N;INAN;NOM;NEUT;SG
trabalho	работа	trabalho	работа	N;MASC;SG	N;INAN;NOM;FEM;SG
trabalho	работа	trabalho	работа	N;MASC;SG	N;INAN;NOM;FEM;SG
trabalho	труд	trabalho	труд	N;MASC;SG	N;INAN;NOM;MASC;SG
fez	сделал	fazer	делать	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
fez	сделала	fazer	делать	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
acordo	соглашение	acordo	соглашение	N;MASC;SG	N;INAN;NOM;NEUT;SG
acordo	договоренность	acordo	договоренность	N;MASC;SG	N;INAN;NOM;FEM;SG
número	число	número	число	N;MASC;SG	N;INAN;NOM;NEUT;SG
número	номер	número	номер	N;MASC;SG	N;INAN;NOM;MASC;SG
número	количество	número	количество	N;MASC;SG	N;INAN;NOM;NEUT;SG
maria	мари	maria	мари	N;FEM;SG	N;ANIM;NOM;FEM;SG
maria	маша	maria	маша	N;FEM;SG	N;ANIM;NOM;FEM;SG
maria	мэри	maria	мэр	N;FEM;SG	N;ANIM;NOM;FEM;SG
maria	мария	maria	мария	N;FEM;SG	N;ANIM;NOM;FEM;SG
maria	мери	maria	мера	N;FEM;SG	N;INAN;NOM;FEM;SG
maria	мария	maria	мария	N;FEM;SG	N;ANIM;NOM;FEM;SG
terra	земля	terra	земля	N;FEM;SG	N;INAN;NOM;FEM;SG
terra	земля	terra	земля	N;FEM;SG	N;INAN;NOM;FEM;SG
terra	терра	terra	терр	N;FEM;SG	N;INAN;NOM;FEM;SG
gênero	жанр	gênero	жанр	N;MASC;SG	N;INAN;NOM;MASC;SG
gênero	пол	gênero	пол	N;MASC;SG	N;INAN;NOM;MASC;SG
gênero	род	gênero	род	N;MASC;SG	N;ANIM;NOM;MASC;SG
igreja	церковь	igreja	церковь	N;FEM;SG	N;INAN;NOM;FEM;SG
igreja	церкви	igreja	церковь	N;FEM;SG	N;INAN;NOM;FEM;SG
universidade	университет	universidade	университет	N;FEM;SG	N;INAN;NOM;MASC;SG
universidade	коллегия	universidade	коллегия	N;FEM;SG	N;INAN;NOM;FEM;SG
universidade	колледж	universidade	колледж	N;FEM;SG	N;INAN;NOM;MASC;SG
qualquer	любой	qualquer	любой	DET;FEM;SG	DET;NOM;MASC;SG
qualquer	любую	qualquer	любой	DET;FEM;SG	DET;ACC;FEM;SG
qualquer	любое	qualquer	любой	DET;FEM;SG	DET;NOM;NEUT;SG
qualquer	любая	qualquer	любой	DET;FEM;SG	DET;NOM;FEM;SG
centro	центр	centro	центр	N;MASC;SG	N;INAN;NOM;MASC;SG
centro	центр	centro	центр	N;MASC;SG	N;INAN;NOM;MASC;SG
início	начало	início	начало	N;MASC;SG	N;INAN;NOM;NEUT;SG
início	старт	início	старт	N;MASC;SG	N;INAN;NOM;MASC;SG
início	начало	início	начало	N;MASC;SG	N;INAN;NOM;NEUT;SG
essa	это	esse	это	PRO;FEM;SG	PRO;INAN;NOM;NEUT;SG
essa	это	esse	это	PRO;FEM;SG	PRO;INAN;NOM;NEUT;SG
tipo	тип	tipo	тип	N;MASC;SG	N;INAN;NOM;MASC;SG
santa	сент	santo	сент	N;FEM;SG	N;INAN;NOM;MASC;SG
santa	санту	santo	сант	N;FEM;SG	N;ANIM;ACC;MASC;SG
santa	санта	santo	сант	N;FEM;SG	N;INAN;NOM;FEM;SG
conhecido	известное	conhecido	известный	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
conhecido	известный	conhecido	известный	ADJ;MASC;SG	ADJ;NOM;MASC;SG
conhecido	известен	conhecido	известный	ADJ;MASC;SG	ADJ;MASC;SG
conhecido	известная	conhecido	известный	ADJ;MASC;SG	ADJ;NOM;FEM;SG
conhecido	знакомый	conhecido	знакомый	ADJ;MASC;SG	ADJ;NOM;MASC;SG
esse	эта	esse	этот	DET;MASC;SG	DET;NOM;FEM;SG
esse	этот	esse	этот	DET;MASC;SG	DET;NOM;MASC;SG
canção	песня	canção	песня	N;FEM;SG	N;INAN;NOM;FEM;SG
canção	песнь	canção	песнь	N;FEM;SG	N;INAN;NOM;FEM;SG
edição	издание	edição	издание	N;FEM;SG	N;INAN;NOM;NEUT;SG
edição	монтаж	edição	монтаж	N;FEM;SG	N;INAN;NOM;MASC;SG
edição	редактирование	edição	редактирование	N;FEM;SG	N;INAN;NOM;NEUT;SG
edição	издательство	edição	издательство	N;FEM;SG	N;INAN;NOM;NEUT;SG
edição	публикация	edição	публикация	N;FEM;SG	N;INAN;NOM;FEM;SG
lançado	выпущено	lançar	выпустить	V;MASC;SG;V.PTCP	V;PFV;NEUT;SG;PST;V.PTCP;PASS
lançado	выпустила	lançar	выпустить	V;MASC;SG;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
lançado	выпущен	lançar	выпустить	V;MASC;SG;V.PTCP	V;PFV;MASC;SG;PST;V.PTCP;PASS
lançado	выпущена	lançar	выпустить	V;MASC;SG;V.PTCP	V;PFV;FEM;SG;PST;V.PTCP;PASS
lançado	запущен	lançar	запустить	V;MASC;SG;V.PTCP	V;PFV;MASC;SG;PST;V.PTCP;PASS
lançado	запущена	lançar	запустить	V;MASC;SG;V.PTCP	V;PFV;FEM;SG;PST;V.PTCP;PASS
rei	король	rei	король	N;MASC;SG	N;ANIM;NOM;MASC;SG
rei	кинг	rei	кинг	N;MASC;SG	N;INAN;NOM;MASC;SG
rei	царь	rei	царь	N;MASC;SG	N;ANIM;NOM;MASC;SG
quem	кто	quem	кто	PRO;SG	PRO;NOM
