και	e	και	e	CONJ	CONJ
έτσι	entón	έτσι	entón	ADV	ADV
έτσι	tan	έτσι	tan	ADV	ADV
περίοδο	período	περίοδος	período	N;ACC;FEM;SG	N
περίοδο	periodo	περίοδος	periodo	N;ACC;FEM;SG	N
περίοδο	tempo	περίοδος	tempo	N;ACC;FEM;SG	N
περίοδο	adolescencia	περίοδος	adolescencia	N;ACC;FEM;SG	N
τότε	logo	τότε	logo	ADV	ADV
τότε	despois	τότε	despois	ADV	ADV
τότε	entón	τότε	entón	ADV	ADV
τότε	daquela	τότε	daquela	ADV	ADV
όνομα	nome	όνομα	nome	N;NOM;NEUT;SG	N
μέρος	parte	μέρος	parte	N;NOM;NEUT;SG	N
μέρος	lugar	μέρος	lugar	N;NOM;NEUT;SG	N
μέρος	casa	μέρος	casa	N;NOM;NEUT;SG	N
μέρος	sitio	μέρος	sitio	N;NOM;NEUT;SG	N
σήμερα	hoxe	σήμερα	hoxe	ADV	ADV
μέσα	dentro	μέσα	dentro	ADV	ADV
ιστορία	historia	ιστορία	historia	N;NOM;FEM;SG	N
ιστορία	relato	ιστορία	relato	N;NOM;FEM;SG	N
ιστορία	historia	ιστορία	historia	N;NOM;FEM;SG	N
αργότερα	despois	αργά	despois	ADV;CMPR	ADV
αργότερα	máis	αργά	máis	ADV;CMPR	ADV
αργότερα	logo	αργά	logo	ADV;CMPR	ADV
νέα	novo	νέος	novo	ADJ;NOM;NEUT;PL	ADJ
νέα	novas	νέος	novo	ADJ;NOM;NEUT;PL	ADJ
νέα	nova	νέος	novo	ADJ;NOM;NEUT;PL	ADJ
νέα	novos	νέος	novo	ADJ;NOM;NEUT;PL	ADJ
νέα	novas	νέος	novo	ADJ;NOM;NEUT;PL	ADJ
περίπου	aproximadamente	περίπου	aproximadamente	ADV	ADV
πριν	antes	πριν	antes	ADV	ADV
χωρίς	sen	χωρίς	sen	ADP	ADP
εθνική	nacional	εθνικός	nacional	ADJ;NOM;FEM;SG	ADJ
εθνική	nacionais	εθνικός	nacional	ADJ;NOM;FEM;SG	ADJ
εθνική	national	εθνικός	national	ADJ;NOM;FEM;SG	ADJ
συζήτηση	conversación	συζήτηση	conversación	N;ACC;FEM;SG	N
συζήτηση	conversa	συζήτηση	converso	N;ACC;FEM;SG	N
συζήτηση	discusión	συζήτηση	discusión	N;ACC;FEM;SG	N
συζήτηση	debate	συζήτηση	debate	N;ACC;FEM;SG	N
πρέπει	debo	πρέπει	deber	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
πρέπει	debe	πρέπει	deber	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
πρέπει	debemos	πρέπει	deber	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
πρέπει	deben	πρέπει	deber	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
πρέπει	hai	πρέπει	haber	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
φορά	momento	φορά	momento	N;ACC;FEM;SG	N
φορά	tempo	φορά	tempo	N;ACC;FEM;SG	N
φορά	vez	φορά	vez	N;ACC;FEM;SG	N
φορά	hora	φορά	hora	N;ACC;FEM;SG	N
πάνω	arriba	πάνω	arriba	ADV	ADV
ομάδες	dous	ομάδα	dous	N;NOM;FEM;PL	N
ομάδες	grupos	ομάδα	grupo	N;NOM;FEM;PL	N
έργο	proxecto	έργο	proxecto	N;NOM;NEUT;SG	N
έργο	traballo	έργο	traballo	N;NOM;NEUT;SG	N
κυρίως	principalmente	κυρίως	principal	ADV	ADV
κυρίως	maiormente	κυρίως	maiormente	ADV	ADV
κυρίως	maioritariamente	κυρίως	maioritariamente	ADV	ADV
όχι	non	όχι	non	PART	PART
όχι	non	όχι	non	PART	PART
μεγάλη	grande	μεγάλος	grande	ADJ;NOM;FEM;SG	ADJ
μεγάλη	grandes	μεγάλος	grande	ADJ;NOM;FEM;SG	ADJ
μεγάλη	gran	μεγάλος	gran	ADJ;NOM;FEM;SG	ADJ
υπό	baixo	υπό	baixo	ADP	ADP
υπό	de	υπό	de	ADP	ADP
έως	ata	ώς	ata	ADP	ADP
ταινία	película	ταινία	película	N;NOM;FEM;SG	N
ταινία	filme	ταινία	filme	N;NOM;FEM;SG	N
ταινία	cine	ταινία	cinir	N;NOM;FEM;SG	N
ταινία	cinema	ταινία	cinema	N;NOM;FEM;SG	N
ταινία	cinta	ταινία	cintar	N;NOM;FEM;SG	N
ταινία	película	ταινία	película	N;NOM;FEM;SG	N
ταινία	filme	ταινία	filme	N;NOM;FEM;SG	N
τμήμα	departamento	τμήμα	departamento	N;NOM;NEUT;SG	N
τμήμα	axentes	τμήμα	axente	N;NOM;NEUT;SG	N
τμήμα	sección	τμήμα	sección	N;NOM;NEUT;SG	N
σαν	así	σαν	así	ADV	ADV
εκεί	alí	εκεί	alí	ADV	ADV
εκεί	aí	εκεί	aí	ADV	ADV
ωστόσο	pero	ωστόσο	pero	CONJ	CONJ
τέλος	finalmente	τέλος	final	ADV	ADV
σειρά	serie	σειρά	serie	N;ACC;FEM;SG	N
σειρά	orde	σειρά	orde	N;ACC;FEM;SG	N
σειρά	xiro	σειρά	xiro	N;ACC;FEM;SG	N
σειρά	postal	σειρά	postal	N;ACC;FEM;SG	N
σειρά	fila	σειρά	fila	N;ACC;FEM;SG	N
στοιχεία	elementos	στοιχείο	elemento	N;NOM;NEUT;PL	N
στοιχεία	datos	στοιχείο	dato	N;NOM;NEUT;PL	N
στοιχεία	puntos	στοιχείο	punto	N;NOM;NEUT;PL	N
στοιχεία	información	στοιχείο	información	N;NOM;NEUT;PL	N
εκτός	menos	εκτός	menos	ADV	ADV
εκτός	excepto	εκτός	excepto	ADV	ADV
εκτός	só	εκτός	só	ADV	ADV
εκτός	menos	εκτός	menos	ADV	ADV
κάτω	abaixo	κάτω	abaixo	ADV	ADV
κάτω	máis	κάτω	máis	ADV	ADV
κάτω	abaixo	κάτω	abaixo	ADV	ADV
κάτω	debaixo	κάτω	debaixo	ADV	ADV
κάτω	abaixo	κάτω	abaixo	ADV	ADV
σύστημα	sistema	σύστημα	sistema	N;NOM;NEUT;SG	N
ακόμα	aínda	ακόμα	aínda	ADV	ADV
φορές	veces	φορά	vez	N;NOM;FEM;PL	N
φορές	tempos	φορά	tempo	N;NOM;FEM;PL	N
ιουλίου	xullo	ιούλιος	xullo	N;GEN;NEUT;SG	N
χώρα	país	χώρα	país	N;NOM;FEM;SG	N
αποτέλεσμα	resultado	αποτέλεσμα	resultado	N;ACC;NEUT;SG	N
αποτέλεσμα	consecuencia	αποτέλεσμα	consecuencia	N;ACC;NEUT;SG	N
αποτέλεσμα	resultado	αποτέλεσμα	resultado	N;ACC;NEUT;SG	N
αποτέλεσμα	efecto	αποτέλεσμα	efecto	N;ACC;NEUT;SG	N
αποτέλεσμα	efectos	αποτέλεσμα	efecto	N;ACC;NEUT;SG	N
οκτωβρίου	outubro	οκτώβριος	outubro	N;GEN;MASC;SG	N
σεπτεμβρίου	setembro	σεπτέμβριο	setembro	N;GEN;MASC;SG	N
νοεμβρίου	novembro	νόεμβριος	novembro	N;GEN;MASC;SG	N
αγώνες	mistos	αγώνας	misto	N;NOM;MASC;PL	N
αγώνες	partidos	αγώνας	partido	N;NOM;MASC;PL	N
αγώνες	xogos	αγώνας	xogo	N;NOM;MASC;PL	N
αγώνες	videoxogos	αγώνας	videoxogos	N;NOM;MASC;PL	N
ταινίες	filmes	ταινία	filme	N;NOM;FEM;PL	N
ταινίες	filmes	ταινία	filme	N;NOM;FEM;PL	N
ταινίες	cinema	ταινία	cinema	N;NOM;FEM;PL	N
μέσω	por	μέσω	por	ADP	ADP
μαρτίου	marzo	μάρτιος	marzo	N;GEN;MASC;SG	N
μαρτίου	marcha	μάρτιος	marcha	N;GEN;MASC;SG	N
γεννήθηκε	nacín	γεννώ	nacín	V;PFV;IND;SG;3;PST;FIN;PASS	V
γεννήθηκε	naceu	γεννώ	nacer	V;PFV;IND;SG;3;PST;FIN;PASS	V
γεννήθηκε	nacer	γεννώ	nacer	V;PFV;IND;SG;3;PST;FIN;PASS	V
γεννήθηκε	naciches	γεννώ	naciches	V;PFV;IND;SG;3;PST;FIN;PASS	V
γεννήθηκε	nacen	γεννώ	nacer	V;PFV;IND;SG;3;PST;FIN;PASS	V
ιουνίου	xuño	ιούνιος	xuño	N;GEN;MASC;SG	N
απριλίου	abril	απρίλιος	abril	N;GEN;MASC;SG	N
τρεις	3	τρεις	3	NUM;NOM;MASC;PL	NUM
αυγούστου	agosto	αυγούστος	agosto	N;GEN;MASC;SG	N
έργα	proxectos	έργο	proxecto	N;NOM;NEUT;PL	N
δεκεμβρίου	decembro	δεκέμβριο	decembro	N;GEN;MASC;SG	N
χρήση	uso	χρήση	uso	N;ACC;FEM;SG	N
πρόεδρος	presidente	πρόεδρος	presidente	N;ACC;MASC;SG	N
πρόεδρος	vicepresidente	πρόεδρος	vicepresidente	N;ACC;MASC;SG	N
πολιτική	política	πολιτική	política	N;NOM;FEM;SG	N
πολιτική	póliza	πολιτική	póliza	N;NOM;FEM;SG	N
πολιτική	política	πολιτική	política	N;NOM;FEM;SG	N
πολιτική	políticas	πολιτική	política	N;NOM;FEM;SG	N
ακόμη	aínda	ακόμα	aínda	ADV	ADV
μας	nos	μου	nos	PRO;GEN;MASC;PL;1	PRO
εκλογές	eleccións	εκλογή	elección	N;NOM;FEM;PL	N
εκλογές	elección	εκλογή	elección	N;NOM;FEM;PL	N
εκλογές	eleccións	εκλογή	elección	N;NOM;FEM;PL	N
μέλη	membros	μέλος	membro	N;NOM;NEUT;PL	N
τελικά	finalmente	τελικά	final	ADV	ADV
τελικά	eventualmente	τελικά	eventual	ADV	ADV
τελικά	finalmente	τελικά	final	ADV	ADV
μέλος	membro	μέλος	membro	N;NOM;NEUT;SG	N
μέλος	membros	μέλος	membro	N;NOM;NEUT;SG	N
εποχή	tempada	εποχή	tempada	N;ACC;FEM;SG	N
χωριό	aldea	χωριό	aldea	N;NOM;NEUT;SG	N
χωριό	pobo	χωριό	pobo	N;NOM;NEUT;SG	N
χωριό	vila	χωριό	vila	N;NOM;NEUT;SG	N
αρχικά	orixinalmente	αρχικά	orixinal	ADV	ADV
περίοδος	período	περίοδος	período	N;NOM;FEM;SG	N
περίοδος	periodo	περίοδος	periodo	N;NOM;FEM;SG	N
περίοδος	tempo	περίοδος	tempo	N;NOM;FEM;SG	N
περίοδος	adolescencia	περίοδος	adolescencia	N;NOM;FEM;SG	N
δήμος	concello	δήμος	concello	N;NOM;MASC;SG	N
κύπελλο	cunca	κύπελλος	cunca	N;NOM;NEUT;SG	N
κύπελλο	café	κύπελλος	café	N;NOM;NEUT;SG	N
ζωή	vida	ζωή	vida	N;ACC;FEM;SG	N
έδρα	asento	έδρα	asento	N;NOM;FEM;SG	N
έδρα	sitio	έδρα	sitio	N;NOM;FEM;SG	N
περιλαμβάνει	inclúe	περιλαμβάνω	incluír	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
μεγάλο	grande	μεγάλος	grande	ADJ;NOM;NEUT;SG	ADJ
μεγάλο	gran	μεγάλος	gran	ADJ;NOM;NEUT;SG	ADJ
μεγάλο	grandes	μεγάλος	grande	ADJ;NOM;NEUT;SG	ADJ
μεγάλο	grande	μεγάλος	grande	ADJ;NOM;NEUT;SG	ADJ
μεγάλο	grandes	μεγάλος	grande	ADJ;NOM;NEUT;SG	ADJ
μεγάλο	gran	μεγάλος	gran	ADJ;NOM;NEUT;SG	ADJ
βάση	base	βάση	base	N;ACC;FEM;SG	N
βάση	base	βάση	base	N;ACC;FEM;SG	N
κέντρο	centro	κέντρο	centro	N;NOM;NEUT;SG	N
κέντρο	centro	κέντρο	centro	N;NOM;NEUT;SG	N
κέντρο	cerne	κέντρο	cerne	N;NOM;NEUT;SG	N
φεβρουαρίου	febreiro	φεβρουάριο	febreiro	N;GEN;MASC;SG	N
κάτι	algo	κάτι	algo	PRO;NOM;NEUT;SG;3	PRO
κοντά	preto	κοντά	preto	ADV	ADV
κοντά	preto	κοντά	preto	ADV	ADV
κοντά	preto	κοντά	preto	ADV	ADV
μορφή	forma	μορφή	forma	N;NOM;FEM;SG	N
μορφή	xeito	μορφή	xeito	N;NOM;FEM;SG	N
χρόνο	momento	χρόνος	momento	N;ACC;MASC;SG	N
χρόνο	tempo	χρόνος	tempo	N;ACC;MASC;SG	N
χρόνο	vez	χρόνος	vez	N;ACC;MASC;SG	N
χρόνο	hora	χρόνος	hora	N;ACC;MASC;SG	N
ιστοσελίδα	sitio	ιστοσελίδα	sitio	N;NOM;FEM;SG	N
ιστοσελίδα	web	ιστοσελίδα	web	N;NOM;FEM;SG	N
ιστοσελίδα	páxina	ιστοσελίδα	páxina	N;NOM;FEM;SG	N
κόμμα	festa	κόμμα	festa	N;NOM;NEUT;SG	N
κόμμα	partido	κόμμα	partido	N;NOM;NEUT;SG	N
γιατί	porque	γιατί	porque	CONJ	CONJ
ρόλο	papel	ρόλος	papel	N;ACC;MASC;SG	N
άλμπουμ	ubicación	άλμπουμ	ubicación	N;MASC;SG	N
επειδή	porque	επειδή	porque	CONJ	CONJ
έκδοση	edición	έκδοση	edición	N;ACC;FEM;SG	N
έκδοση	versión	έκδοση	versión	N;ACC;FEM;SG	N
αρχές	autoridades	αρχή	autoridade	N;NOM;FEM;PL	N
αρχές	principios	αρχή	principio	N;NOM;FEM;PL	N
γύρω	arredor	γύρω	arredor	ADV	ADV
γύρω	aquí	γύρω	aquí	ADV	ADV
συνήθως	habitualmente	συνήθως	habitual	ADV	ADV
συνήθως	normalmente	συνήθως	normal	ADV	ADV
ονομασία	nome	ονομασία	nome	N;NOM;FEM;SG	N
κοινότητα	comunidade	κοινότητα	comunidade	N;ACC;FEM;SG	N
τελευταία	onte	τελευταία	onte	ADV	ADV
τελευταία	ultimamente	τελευταία	ultimamente	ADV	ADV
έκανε	fixo	κάνω	facer	V;PFV;IND;SG;3;PST;FIN;ACT	V
έκανε	fixen	κάνω	facer	V;PFV;IND;SG;3;PST;FIN;ACT	V
έκανε	fixo	κάνω	facer	V;PFV;IND;SG;3;PST;FIN;ACT	V
ξεκίνησε	comecei	ξεκινώ	comecer	V;PFV;IND;SG;3;PST;FIN;ACT	V
ξεκίνησε	comezamos	ξεκινώ	comezar	V;PFV;IND;SG;3;PST;FIN;ACT	V
ξεκίνησε	empecei	ξεκινώ	empecar	V;PFV;IND;SG;3;PST;FIN;ACT	V
ξεκίνησε	comezou	ξεκινώ	comezar	V;PFV;IND;SG;3;PST;FIN;ACT	V
είτε	ou	είτε	ou	CONJ	CONJ
είτε	ou	είτε	ou	CONJ	CONJ
κυβέρνηση	goberno	κυβέρνηση	goberno	N;NOM;FEM;SG	N
κάνει	fixen	κάνω	facer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
κάνει	fixemos	κάνω	facer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
κάνει	facer	κάνω	facer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
κάνει	fixeches	κάνω	fixeche	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
αυτός	el	αυτός	el	PRO;NOM;MASC;SG;3	PRO
αυτός	que	αυτός	que	PRO;NOM;MASC;SG;3	PRO
γλώσσα	lingua	γλώσσα	lingua	N;NOM;FEM;SG	N
γλώσσα	idioma	γλώσσα	idioma	N;NOM;FEM;SG	N
γλώσσα	linguaxe	γλώσσα	linguaxe	N;NOM;FEM;SG	N
γλώσσα	lingua	γλώσσα	lingua	N;NOM;FEM;SG	N
γιος	fillo	γιος	fillo	N;NOM;MASC;SG	N
μάχη	batalla	μάχη	batalla	N;ACC;FEM;SG	N
μάχη	combate	μάχη	combate	N;ACC;FEM;SG	N
μάχη	combates	μάχη	combate	N;ACC;FEM;SG	N
μάχη	postos	μάχη	posto	N;ACC;FEM;SG	N
μάχη	loita	μάχη	loita	N;ACC;FEM;SG	N
πανεπιστήμιο	universidade	πανεπιστήμιο	universidade	N;NOM;NEUT;SG	N
πανεπιστήμιο	universidades	πανεπιστήμιο	universidade	N;NOM;NEUT;SG	N
κάποια	algo	κάποιος	algo	PRO;NOM;NEUT;PL;3	PRO
δείτε	ver	βλέπω	ver	V;PFV;IMP;PL;2;FIN;ACT	V
δείτε	vexo	βλέπω	vexo	V;PFV;IMP;PL;2;FIN;ACT	V
δείτε	ver	βλέπω	ver	V;PFV;IMP;PL;2;FIN;ACT	V
δείτε	mirade	βλέπω	mirade	V;PFV;IMP;PL;2;FIN;ACT	V
δείτε	ten	βλέπω	ter	V;PFV;IMP;PL;2;FIN;ACT	V
πόλεμο	guerra	πόλεμος	guerra	N;ACC;MASC;SG	N
συχνά	moito	συχνά	moito	ADV	ADV
συχνά	acotío	συχνά	acotío	ADV	ADV
περιοχές	rexións	περιοχή	rexión	N;NOM;FEM;PL	N
περιοχές	zonas	περιοχή	zona	N;NOM;FEM;PL	N
περιοχές	áreas	περιοχή	área	N;NOM;FEM;PL	N
παράδειγμα	exemplo	παράδειγμα	exemplo	N;NOM;NEUT;SG	N
άρθρο	artigo	άρθρο	artigo	N;NOM;NEUT;SG	N
εικόνα	foto	εικόνα	foto	N;NOM;FEM;SG	N
εικόνα	imaxe	εικόνα	imaxe	N;NOM;FEM;SG	N
εικόνα	fotografía	εικόνα	fotografía	N;NOM;FEM;SG	N
εικόνα	imaxe	εικόνα	imaxe	N;NOM;FEM;SG	N
έλαβε	recibín	λαμβάνω	recibir	V;PFV;IND;SG;3;PST;FIN;ACT	V
έλαβε	recibiron	λαμβάνω	recibir	V;PFV;IND;SG;3;PST;FIN;ACT	V
έλαβε	recibimos	λαμβάνω	recibir	V;PFV;IND;SG;3;PST;FIN;ACT	V
έλαβε	recibiu	λαμβάνω	recibir	V;PFV;IND;SG;3;PST;FIN;ACT	V
επίσημη	oficial	επίσημος	oficial	ADJ;NOM;FEM;SG	ADJ
επίσημη	formal	επίσημος	formal	ADJ;NOM;FEM;SG	ADJ
κατοίκους	habitantes	κάτοικος	habitante	N;ACC;MASC;PL	N
κατοίκους	residentes	κάτοικος	residente	N;ACC;MASC;PL	N
πηγές	fontes	πηγή	fonte	N;NOM;FEM;PL	N
πόλεις	vilas	πόλη	vila	N;NOM;FEM;PL	N
πόλεις	cidades	πόλη	cidade	N;NOM;FEM;PL	N
ιδιαίτερα	especialmente	ιδιαίτερα	especial	ADV	ADV
ιδιαίτερα	moi	ιδιαίτερα	moi	ADV	ADV
ιδιαίτερα	particularmente	ιδιαίτερα	particular	ADV	ADV
ιδιαίτερα	especialmente	ιδιαίτερα	especial	ADV	ADV
αγώνα	carreira	αγώνας	carreira	N;ACC;MASC;SG	N
αγώνα	raza	αγώνας	raza	N;ACC;MASC;SG	N
αγώνα	loita	αγώνας	loita	N;ACC;MASC;SG	N
γεγονός	acontecemento	γεγονός	acontecemento	N;NOM;NEUT;SG	N
γεγονός	eventos	γεγονός	evento	N;NOM;NEUT;SG	N
γεγονός	evento	γεγονός	evento	N;NOM;NEUT;SG	N
γεγονός	suceso	γεγονός	suceso	N;NOM;NEUT;SG	N
γεγονός	feito	γεγονός	feito	N;NOM;NEUT;SG	N
γεγονός	realidade	γεγονός	realidade	N;NOM;NEUT;SG	N
θέμα	suxeito	θέμα	suxeito	N;NOM;NEUT;SG	N
θέμα	tema	θέμα	tema	N;NOM;NEUT;SG	N
θέμα	materia	θέμα	materia	N;NOM;NEUT;SG	N
ηλικία	anos	ηλικία	ano	N;NOM;FEM;SG	N
ηλικία	idade	ηλικία	idade	N;NOM;FEM;SG	N
χρησιμοποιείται	adoitaba	χρησιμοποιώ	adoitar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
μέγεθος	tamaño	μέγεθος	tamaño	N;NOM;NEUT;SG	N
θεωρείται	considerado	θεωρώ	considerar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
εδώ	aquí	εδώ	aquí	ADV	ADV
σημείο	momento	σημείο	momento	N;NOM;NEUT;SG	N
σημείο	punto	σημείο	punto	N;NOM;NEUT;SG	N
σχέση	relación	σχέση	relación	N;ACC;FEM;SG	N
περίπτωση	caso	περίπτωση	caso	N;ACC;FEM;SG	N
νέο	novo	νέος	novo	ADJ;ACC;NEUT;SG	ADJ
νέο	novas	νέος	novo	ADJ;ACC;NEUT;SG	ADJ
νέο	nova	νέος	novo	ADJ;ACC;NEUT;SG	ADJ
νέο	novos	νέος	novo	ADJ;ACC;NEUT;SG	ADJ
ήδη	xa	ήδη	xa	ADV	ADV
έτος	ano	έτος	ano	N;ACC;NEUT;SG	N
σχεδόν	case	σχεδόν	case	ADV	ADV
σχεδόν	case	σχεδόν	case	ADV	ADV
σχεδόν	preto	σχεδόν	preto	ADV	ADV
ένωση	unión	ένωση	unión	N;NOM;FEM;SG	N
ένωση	sindicato	ένωση	sindicato	N;NOM;FEM;SG	N
ένωση	sindicalista	ένωση	sindicalista	N;NOM;FEM;SG	N
ένωση	sindical	ένωση	sindical	N;NOM;FEM;SG	N
ένωση	asociación	ένωση	asociación	N;NOM;FEM;SG	N
περισσότερο	máis	πολύ	máis	ADV;CMPR	ADV
βασιλιά	xurxo	βασιλιάς	xurxo	N;ACC;MASC;SG	N
εκκλησία	igrexa	εκκλησία	igrexir	N;NOM;FEM;SG	N
εκκλησία	á	εκκλησία	á	N;NOM;FEM;SG	N
μουσείο	museo	μουσείο	museo	N;NOM;NEUT;SG	N
συμμετοχή	participación	συμμετοχή	participación	N;NOM;FEM;SG	N
συμμετοχή	implicación	συμμετοχή	implicación	N;NOM;FEM;SG	N
συμμετοχή	participación	συμμετοχή	participación	N;NOM;FEM;SG	N
μεγαλύτερη	maior	μεγάλος	maior	ADJ;NOM;CMPR;FEM;SG	ADJ
μεγαλύτερη	ampla	μεγάλος	amplo	ADJ;NOM;CMPR;FEM;SG	ADJ
μεγαλύτερη	maior	μεγάλος	maior	ADJ;NOM;CMPR;FEM;SG	ADJ
μεγαλύτερη	grandes	μεγάλος	grande	ADJ;NOM;CMPR;FEM;SG	ADJ
μεγαλύτερη	grande	μεγάλος	grande	ADJ;NOM;CMPR;FEM;SG	ADJ
μεγαλύτερη	grandes	μεγάλος	grande	ADJ;NOM;CMPR;FEM;SG	ADJ
μεγαλύτερη	grande	μεγάλος	grande	ADJ;NOM;CMPR;FEM;SG	ADJ
πέθανε	morren	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V
πέθανε	morre	πεθαίνω	morre	V;PFV;IND;SG;3;PST;FIN;ACT	V
πέθανε	morrer	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V
πέθανε	morreu	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V
πέθανε	morreron	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V
πέθανε	morrer	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V
ανά	por	ανά	por	ADP	ADP
κόσμο	mundo	κόσμος	mundo	N;ACC;MASC;SG	N
άτομα	persoas	άτομο	persoa	N;NOM;NEUT;PL	N
άτομα	persoas	άτομο	persoa	N;NOM;NEUT;PL	N
άτομα	individuos	άτομο	individuo	N;NOM;NEUT;PL	N
άτομα	autismo	άτομο	autismo	N;NOM;NEUT;PL	N
