los	os	él	o	PRO;ACC;MASC;PL;3	PRO;ACC;MASC;PL;3
gobierno	governação	gobierno	governação	N;MASC;SG	N;FEM;SG
gobierno	governança	gobierno	governança	N;MASC;SG	N;FEM;SG
gobierno	governo	gobierno	governo	N;MASC;SG	N;MASC;SG
condado	condado	condado	condar	N;MASC;SG	N;MASC;SG
final	end	final	end	N;MASC;SG	N;MASC;SG
final	final	final	final	N;MASC;SG	N;MASC;SG
final	fim	final	fim	N;MASC;SG	N;MASC;SG
final	final	final	final	N;MASC;SG	N;MASC;SG
final	final	final	final	N;MASC;SG	N;MASC;SG
vida	vida	vida	vida	N;FEM;SG	N;FEM;SG
vida	life	vida	life	N;FEM;SG	N;MASC;SG
vida	vida	vida	vida	N;FEM;SG	N;FEM;SG
personas	pessoas	persona	pessoa	N;FEM;PL	N;FEM;PL
español	castelhano	español	castelhano	N;MASC;SG	N;MASC;SG
español	espanhola	español	espanhola	N;MASC;SG	N;FEM;SG
español	espanhol	español	espanhol	N;MASC;SG	N;MASC;SG
centro	downtown	centro	downtown	N;MASC;SG	N;MASC;SG
centro	centro	centro	centro	N;MASC;SG	N;MASC;SG
centro	centro	centro	centro	N;MASC;SG	N;MASC;SG
centro	center	centro	center	N;MASC;SG	N;MASC;SG
centro	centro	centro	centro	N;MASC;SG	N;MASC;SG
centro	centre	centro	centre	N;MASC;SG	N;MASC;SG
julio	julio	julio	julio	N	N;MASC;SG
julio	júlio	julio	júlio	N	N;MASC;SG
julio	julius	julio	juliu	N	N;MASC;SG
julio	júlio	julio	júlio	N	N;MASC;SG
julio	julho	julio	julho	N	N;MASC;SG
lincoln	lincoln	lincoln	lincoln	N;MASC;SG	N;MASC;SG
país	país	país	país	N;MASC;SG	N;MASC;SG
web	website	web	websitir	N;FEM;SG	N;MASC;SG
web	site	web	site	N;FEM;SG	N;MASC;SG
web	web	web	web	N;FEM;SG	N;MASC;SG
web	teia	web	ter	N;FEM;SG	N;FEM;SG
internacional	internacional	internacional	internacional	ADJ;SG	ADJ;MASC;SG
internacional	internacional	internacional	internacional	ADJ;SG	ADJ;MASC;SG
antes	antes	antes	antes	ADV	ADV
oficial	oficial	oficial	oficial	ADJ;SG	ADJ;MASC;SG
oficial	oficial	oficial	oficial	ADJ;SG	ADJ;MASC;SG
quien	quem	quien	quem	PRO;SG	PRO;SG
mundo	world	mundo	world	N;MASC;SG	N;MASC;SG
mundo	mundo	mundo	mundo	N;MASC;SG	N;MASC;SG
embargo	embargo	embargo	embargo	N;MASC;SG	N;MASC;SG
mayo	may	mayo	may	N	N;MASC;SG
mayo	maio	mayo	maio	N	N;MASC;SG
mayo	mayo	mayo	mayo	N	N;MASC;SG
mayo	maionese	mayo	maionese	N	N;FEM;SG
algunos	alguns	alguno	algum	PRO;MASC;PL	PRO;MASC;PL
algunos	algumas	alguno	algum	PRO;MASC;PL	PRO;FEM;PL
temporada	sazonalidade	temporada	sazonalidade	N;FEM;SG	N;FEM;SG
temporada	temporada	temporada	temporada	N;FEM;SG	N;FEM;SG
temporada	época	temporada	época	N;FEM;SG	N;FEM;SG
mejor	melhor	mejor	melhor	ADV	ADV
mejor	melhor	mejor	melhor	ADV	ADV
luego	então	luego	então	ADV	ADV
luego	depois	luego	depois	ADV	ADV
marzo	march	marzo	march	N	N;MASC;SG
marzo	marcha	marzo	marcha	N	N;FEM;SG
marzo	março	marzo	março	N	N;MASC;SG
día	dia	día	dia	N;MASC;SG	N;MASC;SG
siendo	sendo	ser	ser	V;V.MSDR	V;V.MSDR
siendo	ser	ser	ser	V;V.MSDR	V;NFIN
madrid	madrid	madrid	madrid	N;MASC;SG	N;MASC;SG
madrid	madri	madrid	madri	N;MASC;SG	N;MASC;SG
madrid	liverpool	madrid	liverpool	N;MASC;SG	N;MASC;SG
enero	jan	enero	jan	N	N;MASC;SG
enero	janeiro	enero	janeiro	N	N;MASC;SG
número	número	número	número	N;MASC;SG	N;MASC;SG
número	numero	número	numero	N;MASC;SG	N;MASC;SG
agosto	augusto	agosto	augusto	N	N;MASC;SG
agosto	august	agosto	august	N	N;MASC;SG
agosto	agosto	agosto	agosto	N	N;MASC;SG
agosto	ago	agosto	ago	N	N;MASC;SG
agosto	agosto	agosto	agosto	N	N;MASC;SG
diciembre	dezembro	diciembre	dezembro	N	N;MASC;SG
artículo	artigo	artículo	artigo	N;MASC;SG	N;MASC;SG
artículo	item	artículo	item	N;MASC;SG	N;MASC;SG
noviembre	novembro	noviembre	novembro	N	N;MASC;SG
noviembre	nov	noviembre	nov	N	N;MASC;SG
otro	outro	otro	outro	PRO;MASC;SG	PRO;MASC;SG
otro	outra	otro	outro	PRO;MASC;SG	PRO;FEM;SG
otro	outro	otro	outro	PRO;MASC;SG	PRO;MASC;SG
otro	outra	otro	outro	PRO;MASC;SG	PRO;FEM;SG
estaba	era	estar	ser	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
estos	essas	este	esse	PRO;MASC;PL	PRO;FEM;PL
estos	estas	este	este	PRO;MASC;PL	PRO;FEM;PL
abril	april	abril	april	N	N;FEM;SG
abril	abril	abril	abril	N	N;MASC;SG
región	região	región	região	N;FEM;SG	N;FEM;SG
sistema	system	sistema	syetir	N;MASC;SG	N;MASC;SG
sistema	sistema	sistema	sistema	N;MASC;SG	N;MASC;SG
habitantes	habitantes	habitante	habitante	N;PL	N;PL
habitantes	residentes	habitante	residente	N;PL	N;MASC;PL
habitantes	moradores	habitante	morador	N;PL	N;MASC;PL
maría	marie	maría	marie	N;FEM;SG	N;FEM;SG
maría	maria	maría	maria	N;FEM;SG	N;FEM;SG
maría	mary	maría	mary	N;FEM;SG	N;FEM;SG
maría	maria	maría	maria	N;FEM;SG	N;FEM;SG
maría	maria	maría	maria	N;FEM;SG	N;FEM;SG
real	verdadeiro	real	verdadeiro	ADJ;SG	ADJ;MASC;SG
real	verdadeira	real	verdadeiro	ADJ;SG	ADJ;FEM;SG
página	pagina	página	pagina	N;FEM;SG	N;FEM;SG
página	página	página	página	N;FEM;SG	N;FEM;SG
página	page	página	pagar	N;FEM;SG	N;MASC;SG
esto	esta	este	este	PRO;SG	PRO;FEM;SG
esto	isso	este	isso	PRO;SG	PRO;MASC;SG
esto	isto	este	isto	PRO;SG	PRO;MASC;SG
esto	essa	este	esse	PRO;SG	PRO;FEM;SG
mundial	mundial	mundial	mundial	ADJ;SG	ADJ;MASC;SG
mundial	global	mundial	global	ADJ;SG	ADJ;MASC;SG
música	music	música	music	N;FEM;SG	N;MASC;SG
música	música	música	música	N;FEM;SG	N;FEM;SG
música	musica	música	musica	N;FEM;SG	N;FEM;SG
presidente	presidente	presidente	presidente	N;MASC;SG	N;MASC;SG
presidente	presidente	presidente	presidente	N;MASC;SG	N;MASC;SG
casa	casa	casa	casa	N;FEM;SG	N;FEM;SG
casa	home	casa	home	N;FEM;SG	N;MASC;SG
casa	casa	casa	casa	N;FEM;SG	N;FEM;SG
casa	lar	casa	lar	N;FEM;SG	N;MASC;SG
sólo	só	sólo	só	ADV	ADV
sólo	apenas	sólo	apenas	ADV	ADV
sólo	somente	sólo	somente	ADV	ADV
sólo	unicamente	sólo	unicamente	ADV	ADV
sólo	só	sólo	só	ADV	ADV
sólo	apenas	sólo	apenas	ADV	ADV
álbum	álbum	álbum	álbum	N;MASC;SG	N;MASC;SG
álbum	album	álbum	album	N;MASC;SG	N;MASC;SG
junio	june	junio	june	N	N;FEM;SG
junio	junho	junio	junho	N	N;MASC;SG
febrero	fevereiro	febrero	fevereiro	N	N;MASC;SG
ella	ela	él	ela	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
ella	ela	él	ela	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
pueden	podem	poder	poder	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
varios	vários	varios	vários	PRO;MASC;PL	PRO;MASC;PL
varios	vários	varios	vários	PRO;MASC;PL	PRO;MASC;PL
varios	várias	varios	várias	PRO;MASC;PL	PRO;FEM;PL
varios	vários	varios	vários	PRO;MASC;PL	PRO;MASC;PL
varios	várias	varios	várias	PRO;MASC;PL	PRO;FEM;PL
solo	só	solo	só	ADV	ADV
solo	apenas	solo	apenas	ADV	ADV
solo	somente	solo	somente	ADV	ADV
solo	unicamente	solo	unicamente	ADV	ADV
solo	só	solo	só	ADV	ADV
solo	apenas	solo	apenas	ADV	ADV
tipo	type	tipo	type	N;MASC;SG	N;MASC;SG
tipo	tipo	tipo	tipo	N;MASC;SG	N;MASC;SG
obra	trabalho	obra	trabalho	N;FEM;SG	N;MASC;SG
iglesia	igreja	iglesia	igreja	N;FEM;SG	N;FEM;SG
película	filme	película	filme	N;FEM;SG	N;MASC;SG
película	película	película	película	N;FEM;SG	N;FEM;SG
película	filme	película	filme	N;FEM;SG	N;MASC;SG
entonces	então	entonces	então	ADV	ADV
entonces	depois	entonces	depois	ADV	ADV
banda	band	banda	band	N;FEM;SG	N;MASC;SG
banda	banda	banda	banda	N;FEM;SG	N;FEM;SG
banda	banda	banda	banda	N;FEM;SG	N;FEM;SG
banda	gangue	banda	gangue	N;FEM;SG	N;FEM;SG
banda	gang	banda	gang	N;FEM;SG	N;MASC;SG
banda	quadrilha	banda	quadrilha	N;FEM;SG	N;FEM;SG
banda	bando	banda	bando	N;FEM;SG	N;MASC;SG
cuatro	quatro	cuatro	quatro	NUM;PL	NUM
zona	zona	zona	zona	N;FEM;SG	N;FEM;SG
zona	zone	zona	zone	N;FEM;SG	N;MASC;SG
zona	area	zona	area	N;FEM;SG	N;FEM;SG
zona	área	zona	área	N;FEM;SG	N;FEM;SG
televisión	televisão	televisión	televisão	N;FEM;SG	N;FEM;SG
televisión	televisión	televisión	televisión	N;FEM;SG	N;FEM;SG
principal	principal	principal	principal	ADJ;SG	ADJ;MASC;SG
principal	principal	principal	principal	ADJ;SG	ADJ;MASC;SG
tuvo	teve	tener	ter	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
carlos	karl	carlo	karl	N;MASC;SG	N;MASC;SG
carlos	charles	carlo	charle	N;MASC;SG	N;MASC;SG
carlos	carlos	carlo	carlo	N;MASC;SG	N;MASC;SG
carlos	carlos	carlo	carlo	N;MASC;SG	N;MASC;SG
carlos	carl	carlo	carl	N;MASC;SG	N;MASC;SG
carlos	carlos	carlo	carlo	N;MASC;SG	N;MASC;SG
carlos	charlie	carlo	charlie	N;MASC;SG	N;MASC;SG
otra	outro	otro	outro	PRO;FEM;SG	PRO;MASC;SG
otra	outra	otro	outro	PRO;FEM;SG	PRO;FEM;SG
rey	king	rey	king	N;MASC;SG	N;MASC;SG
rey	rei	rey	rei	N;MASC;SG	N;MASC;SG
rey	rey	rey	rey	N;MASC;SG	N;MASC;SG
premio	prémio	premio	prémio	N;MASC;SG	N;MASC;SG
premio	premio	premio	premio	N;MASC;SG	N;MASC;SG
premio	prêmio	premio	prêmio	N;MASC;SG	N;MASC;SG
premio	prémio	premio	prémio	N;MASC;SG	N;MASC;SG
premio	prêmio	premio	prêmio	N;MASC;SG	N;MASC;SG
hace	faz	hacer	fazer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
hace	faz	hacer	fazer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
edición	edit	edición	edit	N;FEM;SG	N;MASC;SG
edición	edição	edición	edição	N;FEM;SG	N;FEM;SG
edición	edição	edición	edição	N;FEM;SG	N;FEM;SG
tenía	tinha	tener	ter	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
premios	recompensas	premio	recompensa	N;MASC;PL	N;FEM;PL
premios	prémios	premio	prémio	N;MASC;PL	N;MASC;PL
premios	prêmios	premio	prêmio	N;MASC;PL	N;MASC;PL
premios	prémios	premio	prémio	N;MASC;PL	N;MASC;PL
premios	prêmios	premio	prêmio	N;MASC;PL	N;MASC;PL
sitio	website	sitio	websitir	N;MASC;SG	N;MASC;SG
sitio	site	sitio	site	N;MASC;SG	N;MASC;SG
sitio	cerco	sitio	cerco	N;MASC;SG	N;MASC;SG
sitio	sítio	sitio	sítio	N;MASC;SG	N;MASC;SG
sitio	site	sitio	site	N;MASC;SG	N;MASC;SG
futbolistas	futebolistas	futbolista	futebolista	N;PL	N;MASC;PL
bien	bem	bien	bem	ADV	ADV
segundo	segunda	segundo	segundo	ADJ;MASC;SG	ADJ;FEM;SG
mar	mar	mar	mar	N;SG	N;MASC;SG
mar	mar	mar	mar	N;SG	N;MASC;SG
mar	oceano	mar	oceano	N;SG	N;MASC;SG
poco	pouco	poco	pouco	ADV	ADV
orden	ordem	orden	ordem	N;MASC;SG	N;FEM;SG
orden	encomenda	orden	encomenda	N;MASC;SG	N;FEM;SG
agua	agua	agua	agua	N;FEM;SG	N;FEM;SG
agua	água	agua	água	N;FEM;SG	N;FEM;SG
tierra	earth	tierra	earth	N;FEM;SG	N;MASC;SG
tierra	terra	tierra	terra	N;FEM;SG	N;FEM;SG
tierra	land	tierra	land	N;FEM;SG	N;MASC;SG
tierra	terra	tierra	terra	N;FEM;SG	N;FEM;SG
tierra	tierra	tierra	tierra	N;FEM;SG	N;MASC;SG
tierra	solo	tierra	solo	N;FEM;SG	N;MASC;SG
título	titulo	título	titulo	N;MASC;SG	N;MASC;SG
título	título	título	título	N;MASC;SG	N;MASC;SG
ellos	eles	él	eles	PRO;MASC;PL;3	PRO;NOM;MASC;PL;3
ellos	eles	él	eles	PRO;MASC;PL;3	PRO;NOM;MASC;PL;3
ellos	elas	él	ele	PRO;MASC;PL;3	PRO;NOM;FEM;PL;3
earth	earth	earth	earth	N	N;MASC;SG
earth	terra	earth	terra	N	N;FEM;SG
están	sao	estar	sao	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
división	divisão	división	divisão	N;FEM;SG	N;FEM;SG
canción	canção	canción	canção	N;FEM;SG	N;FEM;SG
canción	song	canción	song	N;FEM;SG	N;MASC;SG
fecha	data	fecha	data	N;FEM;SG	N;FEM;SG
república	república	república	república	N;FEM;SG	N;FEM;SG
trabajo	emprego	trabajo	emprego	N;MASC;SG	N;MASC;SG
trabajo	job	trabajo	job	N;MASC;SG	N;MASC;SG
trabajo	trabalho	trabajo	trabalho	N;MASC;SG	N;MASC;SG
trabajo	jó	trabajo	jó	N;MASC;SG	N;MASC;SG
trabajo	trabalho	trabajo	trabalho	N;MASC;SG	N;MASC;SG
especie	espécie	especie	espécie	N;FEM;SG	N;FEM;SG
luis	luis	luis	lui	N;MASC;SG	N;MASC;SG
luis	luís	luis	luís	N;MASC;SG	N;MASC;SG
luis	louis	luis	loul	N;MASC;SG	N;MASC;SG
luis	louie	luis	louiar	N;MASC;SG	N;MASC;SG
luis	ludwig	luis	ludwig	N;MASC;SG	N;MASC;SG
luis	luís	luis	luís	N;MASC;SG	N;MASC;SG
luis	luis	luis	lui	N;MASC;SG	N;MASC;SG
luis	luís	luis	luís	N;MASC;SG	N;MASC;SG
caso	case	caso	case	N;MASC;SG	N;MASC;SG
caso	caso	caso	caso	N;MASC;SG	N;MASC;SG
dentro	dentro	dentro	dentro	ADV	ADV
obras	obras	obra	obra	N;FEM;PL	N;FEM;PL
obras	trabalhos	obra	trabalho	N;FEM;PL	N;MASC;PL
obras	jogadas	obra	jogada	N;FEM;PL	N;FEM;PL
color	cor	color	cor	N;MASC;SG	N;FEM;SG
color	cor	color	cor	N;MASC;SG	N;FEM;SG
distrito	distrito	distrito	distrito	N;MASC;SG	N;MASC;SG
superficie	superficie	superficie	superficie	N;FEM;SG	N;FEM;SG
superficie	superfície	superficie	superfície	N;FEM;SG	N;FEM;SG
superficie	area	superficie	area	N;FEM;SG	N;FEM;SG
