jako	като	jako	като	CONJ	CONJ
text	текст	text	текст	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
text	текст	text	текст	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
město	град	město	град	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
město	градът	město	град	N;NOM;NEUT;SG;POS	N;DEF;MASC;SG
město	градче	město	градче	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
město	град	město	град	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
město	градът	město	град	N;NOM;NEUT;SG;POS	N;DEF;MASC;SG
město	сити	město	сит	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
ještě	още	ještě	още	ADV	ADV
ledna	януари	leden	януари	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
velmi	много	velmi	много	ADV	ADV;INDF;PL
dubna	април	duben	април	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
srpna	август	srpen	август	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
název	името	název	име	N;INAN;NOM;MASC;SG;POS	N;DEF;NEUT;SG
název	наименование	název	наименование	N;INAN;NOM;MASC;SG;POS	N;INDF;NEUT;SG
název	име	název	име	N;INAN;NOM;MASC;SG;POS	N;INDF;NEUT;SG
název	заглавие	název	заглавие	N;INAN;NOM;MASC;SG;POS	N;INDF;NEUT;SG
název	дял	název	дял	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
název	титла	název	титла	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
hlavní	основна	hlavní	основен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
hlavní	главна	hlavní	главен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
hlavní	главен	hlavní	главен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
přes	над	přes	над	ADP;ACC	ADP
přes	чрез	přes	чрез	ADP;ACC	ADP
přes	чрез	přes	чрез	ADP;ACC	ADP
přes	през	přes	през	ADP;ACC	ADP
prosince	декември	prosinec	декември	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
což	което	což	който	PRO;NOM	PRO;NOM;NEUT;SG
což	която	což	който	PRO;NOM	PRO;NOM;FEM;SG
února	февруари	únor	февруари	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
bez	без	bez	без	ADP;GEN	ADP
úmrtí	смърт	úmrtí	смърт	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
úmrtí	смъртта	úmrtí	смърт	N;NOM;NEUT;SG;POS	N;DEF;FEM;SG
dva	двама	dva	двама	NUM;NOM;MASC;PL	NUM;INDF;PL
dva	две	dva	два	NUM;NOM;MASC;PL	NUM;INDF;FEM;PL
července	юли	červenec	юли	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
června	джун	červen	джун	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
června	юни	červen	юни	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
seznam	списък	seznam	списък	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
datum	среща	datum	среща	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
datum	дата	datum	дата	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
období	период	období	период	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
roky	години	rok	година	N;INAN;NOM;MASC;PL;POS	N;INDF;FEM;PL
roky	годините	rok	година	N;INAN;NOM;MASC;PL;POS	N;DEF;FEM;PL
diskuse	дискусия	diskuse	дискусия	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
diskuse	обсъждане	diskuse	обсъждане	N;NOM;FEM;SG;POS	N;INDF;NEUT;SG
diskuse	разискване	diskuse	разискване	N;NOM;FEM;SG;POS	N;INDF;NEUT;SG
diskuse	дебат	diskuse	дебат	N;NOM;FEM;SG;POS	N;INDF;MASC;SG
války	войните	válka	войн	N;NOM;FEM;PL;POS	N;DEF;MASC;PL
války	войни	válka	война	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
oblasti	райони	oblast	район	N;NOM;FEM;PL;POS	N;INDF;MASC;PL
oblasti	региони	oblast	регион	N;NOM;FEM;PL;POS	N;INDF;MASC;PL
oblasti	регионите	oblast	регион	N;NOM;FEM;PL;POS	N;DEF;MASC;PL
oblasti	зони	oblast	зоня	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
oblasti	зоните	oblast	зона	N;NOM;FEM;PL;POS	N;DEF;FEM;PL
oblasti	райони	oblast	район	N;NOM;FEM;PL;POS	N;INDF;MASC;PL
oblasti	зони	oblast	зоня	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
oblasti	площи	oblast	площ	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
oblasti	области	oblast	област	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
druhé	втора	druhý	втори	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
druhé	втори	druhý	втори	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC;SG
dále	допълнително	dále	допълнително	ADV	ADV
dále	следващо	dále	следвам	ADV	ADV
česká	чешки	český	чешка	ADJ;NOM;FEM;SG;POS	ADJ;INDF;MASC;SG
česká	чешката	český	чешки	ADJ;NOM;FEM;SG;POS	ADJ;DEF;FEM;SG
česká	чешка	český	чешка	ADJ;NOM;FEM;SG;POS	ADJ;INDF;FEM;SG
jeden	една	jeden	един	NUM;NOM;MASC;SG	NUM;INDF;FEM;SG
jeden	един	jeden	един	NUM;NOM;MASC;SG	NUM;INDF;MASC;SG
jeden	едно	jeden	един	NUM;NOM;MASC;SG	NUM;INDF;NEUT;SG
soubor	файл	soubor	файл	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
soubor	файлът	soubor	файл	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
soubor	досие	soubor	досие	N;INAN;NOM;MASC;SG;POS	N;INDF;NEUT;SG
ani	нито	ani	нито	CONJ	CONJ
tři	три	tři	три	NUM;NOM;PL	NUM;INDF;PL
tři	трима	tři	трима	NUM;NOM;PL	NUM;INDF;PL
kostel	църква	kostel	църква	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
kostel	църквата	kostel	църква	N;INAN;NOM;MASC;SG;POS	N;DEF;FEM;SG
počet	брой	počet	брой	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
počet	число	počet	число	N;INAN;NOM;MASC;SG;POS	N;INDF;NEUT;SG
počet	номер	počet	номер	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
skupiny	групи	skupina	група	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
často	често	často	често	ADV;POS	ADV
stránky	страници	stránka	страница	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
stránky	сайтове	stránka	сайт	N;NOM;FEM;PL;POS	N;INDF;MASC;PL
patří	принадлежи	patřit	принадлежа	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
oficiální	официален	oficiální	официален	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
oficiální	официална	oficiální	официален	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
album	албум	album	албум	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
zejména	особено	zejména	особено	ADV	ADV
dvě	двама	dva	двама	NUM;NOM;PL	NUM;INDF;PL
dvě	две	dva	два	NUM;NOM;PL	NUM;INDF;FEM;PL
jméno	името	jméno	име	N;NOM;NEUT;SG;POS	N;DEF;NEUT;SG
jméno	наименование	jméno	наименование	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
jméno	име	jméno	име	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
nové	нови	nový	нов	ADJ;NOM;MASC;PL;POS	ADJ;INDF;PL
rok	година	rok	година	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
rok	годината	rok	година	N;INAN;NOM;MASC;SG;POS	N;DEF;FEM;SG
obec	комуна	obec	комуна	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
obec	община	obec	община	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
obec	общност	obec	общност	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
obec	общността	obec	общност	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
národní	национална	národní	национален	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
národní	национален	národní	национален	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
isbn	isbn	isbn	isbn	N;MASC;POS	N;INDF;FEM;SG
velké	големи	velký	голям	ADJ;NOM;MASC;PL;POS	ADJ;INDF;PL
velké	големи	velký	голям	ADJ;NOM;MASC;PL;POS	ADJ;INDF;PL
země	държава	země	държава	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
země	страна	země	страна	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
země	земя	země	земя	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
země	земя	země	земя	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
země	земята	země	земя	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
země	земя	země	земя	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
též	също	též	също	ADV	ADV
mistrovství	майсторство	mistrovství	майсторство	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
mistrovství	първенство	mistrovství	първенство	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
mistrovství	шампионат	mistrovství	шампионат	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
mistrovství	първенство	mistrovství	първенство	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
mistrovství	шампионат	mistrovství	шампионат	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
http	http	http	http	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
film	филм	film	филм	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
film	филм	film	филм	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
film	лента	film	лента	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
strany	страни	strana	страна	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
strany	партита	strana	партита	N;NOM;FEM;PL;POS	N;INDF;NEUT;PL
strany	партии	strana	партия	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
strany	купони	strana	купон	N;NOM;FEM;PL;POS	N;INDF;MASC;PL
strany	страни	strana	страна	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
tyto	тези	tento	този	DET;NOM;MASC;PL	DET;PL
jiné	различна	jiný	различен	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;SG
jiné	различен	jiný	различен	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;MASC;SG
jiné	друг	jiný	друг	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;MASC;SG
dnes	днеска	dnes	днеска	ADV	ADV
dnes	днес	dnes	днес	ADV	ADV
poslední	последен	poslední	последен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
poslední	последна	poslední	последен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
narození	раждането	narození	раждане	N;NOM;NEUT;SG;POS	N;DEF;NEUT;SG
narození	раждане	narození	раждане	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
narození	рождение	narození	рождение	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
americký	американска	americký	американски	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
americký	американски	americký	американски	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
dne	денят	den	ден	N;INAN;GEN;MASC;SG;POS	N;DEF;MASC;SG
dne	ден	den	ден	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
okres	окръг	okres	окръг	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
okres	графство	okres	графство	N;INAN;NOM;MASC;SG;POS	N;INDF;NEUT;SG
okres	окръг	okres	окръг	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
okres	област	okres	област	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
okres	район	okres	район	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
článek	статия	článek	статия	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
článek	член	článek	член	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
kolem	около	kolem	около	ADP;GEN	ADP
spolu	заедно	spolu	заедно	ADV	ADV
společnosti	дружества	společnost	дружество	N;NOM;FEM;PL;POS	N;INDF;NEUT;PL
společnosti	фирми	společnost	фирма	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
společnosti	компании	společnost	компания	N;NOM;FEM;PL;POS	N;INDF;FEM;PL
vlastní	собствен	vlastní	собствен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
vlastní	собствена	vlastní	собствен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
vlastní	потребителски	vlastní	потребителски	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
základní	основна	základní	основен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
základní	основен	základní	основен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
základní	елементарен	základní	елементарен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
základní	елементарна	základní	елементарен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
hudební	музикален	hudební	музикален	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
hudební	музикална	hudební	музикален	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
marie	мари	marie	мара	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
marie	мери	marie	меря-(се)	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
marie	мария	marie	мария	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
skupina	група	skupina	група	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
skupina	групиране	skupina	групиране	N;NOM;FEM;SG;POS	N;INDF;NEUT;SG
mohou	могат	moci	мога	V;IND;PL;3;POS;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
klub	клуб	klub	клуб	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
klub	клубът	klub	клуб	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
severní	северна	severní	северен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
severní	северна	severní	северен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
článku	статия	článek	статия	N;INAN;GEN;MASC;SG;POS	N;INDF;FEM;SG
článku	член	článek	член	N;INAN;GEN;MASC;SG;POS	N;INDF;MASC;SG
začal	започна	začít	започна	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
tam	там	tam	там	ADV	ADV
doby	срокове	doba	срок	N;NOM;FEM;PL;POS	N;INDF;MASC;PL
doby	периоди	doba	период	N;NOM;FEM;PL;POS	N;INDF;MASC;PL
strana	парти	strana	парта	N;NOM;FEM;SG;POS	N;INDF;NEUT;SG
strana	купон	strana	купон	N;NOM;FEM;SG;POS	N;INDF;MASC;SG
strana	партия	strana	партия	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
strana	страница	strana	страница	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
strana	страницата	strana	страница	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
strana	страна	strana	страна	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
práce	работа	práce	работа	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
práce	йов	práce	йов	N;NOM;FEM;SG;POS	N;INDF;MASC;SG
práce	работа	práce	работа	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
práce	труд	práce	труд	N;NOM;FEM;SG;POS	N;INDF;MASC;SG
smrti	смърт	smrt	смърт	N;GEN;FEM;SG;POS	N;INDF;FEM;SG
smrti	смъртта	smrt	смърт	N;GEN;FEM;SG;POS	N;DEF;FEM;SG
opět	отново	opět	отново	ADV	ADV
opět	пак	opět	пак	ADV	ADV
kromě	освен	kromě	освен	ADP;GEN	ADP
politik	политик	politik	политик	N;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
web	уебсайт	web	уебсайт	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
web	сайт	web	сайт	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
web	web	web	web	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
web	уеб	web	уеб	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
původní	оригинална	původní	оригинален	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
původní	оригинален	původní	оригинален	ADJ;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
jižní	южна	jižní	южен	ADJ;NOM;FEM;SG;POS	ADJ;INDF;FEM;SG
jižní	южна	jižní	южен	ADJ;NOM;FEM;SG;POS	ADJ;INDF;FEM;SG
případě	случай	případ	случай	N;INAN;DAT;MASC;SG;POS	N;INDF;MASC;SG
případě	дело	případ	дело	N;INAN;DAT;MASC;SG;POS	N;INDF;NEUT;SG
případě	кейс	případ	кейс	N;INAN;DAT;MASC;SG;POS	N;INDF;MASC;SG
případě	случаят	případ	случай	N;INAN;DAT;MASC;SG;POS	N;DEF;MASC;SG
případě	каса	případ	каса	N;INAN;DAT;MASC;SG;POS	N;INDF;FEM;SG
zemřel	умрял	zemřít	умра	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
zemřel	умряла	zemřít	умра	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
společnost	общество	společnost	общество	N;NOM;FEM;SG;POS	N;INDF;NEUT;SG
společnost	обществото	společnost	общество	N;NOM;FEM;SG;POS	N;DEF;NEUT;SG
společnost	дружество	společnost	дружество	N;NOM;FEM;SG;POS	N;INDF;NEUT;SG
společnost	компания	společnost	компания	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
společnost	рота	společnost	рота	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
společnost	фирма	společnost	фирма	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
celkem	общо	celkem	общо	ADV	ADV
číslo	брой	číslo	брой	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
číslo	число	číslo	число	N;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
číslo	номер	číslo	номер	N;NOM;NEUT;SG;POS	N;INDF;MASC;SG
původně	първоначално	původně	първоначално	ADV;POS	ADV
původně	първоначално	původně	първоначално	ADV;POS	ADV
nový	нов	nový	нов	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
nový	нова	nový	нов	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
reprezentace	представителство	reprezentace	представителство	N;NOM;FEM;SG;POS	N;INDF;NEUT;SG
rovněž	също	rovněž	също	ADV	ADV
góly	голове	gól	гол	N;INAN;NOM;MASC;PL;POS	N;INDF;MASC;PL
góly	цели	gól	цел	N;INAN;NOM;MASC;PL;POS	N;INDF;FEM;PL
metrů	метри	metr	метър	N;INAN;GEN;MASC;PL;POS	N;INDF;MASC;PL
metrů	метри	metr	метър	N;INAN;GEN;MASC;PL;POS	N;INDF;MASC;PL
někdy	понякога	někdy	някога	ADV	ADV
život	живот	život	живот	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
život	живота	život	живот	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
život	лайф	život	лайф	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
život	животът	život	живот	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
titul	заглавие	titul	заглавие	N;INAN;NOM;MASC;SG;POS	N;INDF;NEUT;SG
titul	дял	titul	дял	N;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
titul	титла	titul	титла	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
různých	различни	různý	различен	ADJ;GEN;MASC;PL;POS	ADJ;INDF;PL
různých	разнообразни	různý	разнообразен	ADJ;GEN;MASC;PL;POS	ADJ;INDF;PL
různých	разни	různý	разен	ADJ;GEN;MASC;PL;POS	ADJ;INDF;PL
vesnice	село	vesnice	село	N;NOM;FEM;SG;POS	N;INDF;NEUT;SG
systém	система	systém	система	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
systém	системата	systém	система	N;INAN;NOM;MASC;SG;POS	N;DEF;FEM;SG
třetí	трети	třetí	трети	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
