yang	это	yang	это	PRO	PRO;INAN;NOM;NEUT;SG
film	кино	film	кино	N;SG	N;INAN;NOM;NEUT;SG
film	кино	film	кино	N;SG	N;INAN;NOM;NEUT;SG
kelas	класс	kelas	класс	N;SG	N;INAN;NOM;MASC;SG
beberapa	некоторых	beberapa	некоторый	DET	DET;GEN;PL
beberapa	некоторые	beberapa	некоторый	DET	DET;NOM;PL
kecamatan	округ	kecamatan	округ	N;SG	N;INAN;NOM;MASC;SG
kecamatan	район	kecamatan	район	N;SG	N;INAN;NOM;MASC;SG
salah	ложь	salah	ложь	N;SG	N;INAN;NOM;FEM;SG
salah	салах	salah	салый	N;SG	N;ANIM;NOM;MASC;SG
negara	страна	negara	страна	N;SG	N;INAN;NOM;FEM;SG
negara	штат	negara	штат	N;SG	N;INAN;NOM;MASC;SG
negara	состояние	negara	состояние	N;SG	N;INAN;NOM;NEUT;SG
negara	государство	negara	государство	N;SG	N;INAN;NOM;NEUT;SG
biasanya	обычно	biasanya	обычно	ADV	ADV
biasanya	обычно	biasanya	обычно	ADV	ADV
biasanya	обычно	biasanya	обычно	ADV	ADV
kemudian	тогда	kemudian	тогда	ADV	ADV
kemudian	потом	kemudian	потом	ADV	ADV
kemudian	затем	kemudian	затем	ADV	ADV
kemudian	позднее	kemudian	поздно	ADV	ADV;CMPR
kemudian	позже	kemudian	поздно	ADV	ADV;CMPR
banyak	много	banyak	много	ADV	ADV
banyak	много	banyak	много	ADV	ADV
kabupaten	графство	kabupaten	графство	N;SG	N;INAN;NOM;NEUT;SG
kabupaten	округе	kabupaten	округ	N;SG	N;INAN;ESS;MASC;SG
kabupaten	округ	kabupaten	округ	N;SG	N;INAN;NOM;MASC;SG
kabupaten	округа	kabupaten	округ	N;SG	N;INAN;GEN;MASC;SG
kabupaten	округ	kabupaten	округ	N;SG	N;INAN;NOM;MASC;SG
kabupaten	район	kabupaten	район	N;SG	N;INAN;NOM;MASC;SG
kumbang	жук	kumbang	жук	N	N;ANIM;NOM;MASC;SG
lalat	муха	lalat	муха	N;SG	N;ANIM;NOM;FEM;SG
genus	род	genus	род	N	N;ANIM;NOM;MASC;SG
isi	содержимое	isi	содержимое	N;SG	N;INAN;NOM;NEUT;SG
isi	контент	isi	контент	N;SG	N;INAN;NOM;MASC;SG
isi	содержание	isi	содержание	N;SG	N;INAN;NOM;NEUT;SG
isi	содержимое	isi	содержимое	N;SG	N;INAN;NOM;NEUT;SG
daftar	перечень	daftar	перечень	N;SG	N;INAN;NOM;MASC;SG
daftar	список	daftar	список	N;SG	N;INAN;NOM;MASC;SG
baru	новая	baru	новый	ADJ;SG	ADJ;NOM;FEM;SG
baru	новый	baru	новый	ADJ;SG	ADJ;NOM;MASC;SG
baru	новое	baru	новый	ADJ;SG	ADJ;NOM;NEUT;SG
antara	между	antara	между	ADP	ADP
barat	запад	barat	запад	N;SG	N;INAN;NOM;MASC;SG
barat	вест	barat	вест	N;SG	N;INAN;NOM;MASC;SG
wilayah	область	wilayah	область	N;SG	N;INAN;NOM;FEM;SG
wilayah	район	wilayah	район	N;SG	N;INAN;NOM;MASC;SG
wilayah	площадь	wilayah	площадь	N;SG	N;INAN;NOM;FEM;SG
wilayah	область	wilayah	область	N;SG	N;INAN;NOM;FEM;SG
wilayah	регион	wilayah	регион	N;SG	N;INAN;NOM;MASC;SG
wilayah	территория	wilayah	территория	N;SG	N;INAN;NOM;FEM;SG
tanggal	свидание	tanggal	свидание	N;SG;ACT	N;INAN;NOM;NEUT;SG
tanggal	дата	tanggal	дата	N;SG;ACT	N;INAN;NOM;FEM;SG
dunia	мир	dunia	мир	N;SG	N;INAN;NOM;MASC;SG
timur	востоке	timur	восток	N;SG	N;INAN;ESS;MASC;SG
timur	восток	timur	восток	N;SG	N;INAN;NOM;MASC;SG
timur	ист	timur	ист	N;SG	N;INAN;NOM;NEUT;SG
timur	тимур	timur	тимур	N;SG	N;ANIM;NOM;MASC;SG
tempat	место	tempat	место	N;SG	N;INAN;NOM;NEUT;SG
dua	два	dua	два	NUM	NUM;NOM;MASC
dua	две	dua	два	NUM	NUM;NOM;FEM
dua	двое	dua	двое	NUM	NUM;NOM
selatan	юг	selatan	юг	N;SG	N;INAN;NOM;MASC;SG
september	сентября	september	сентябрь	N;SG	N;INAN;GEN;MASC;SG
september	сентябрь	september	сентябрь	N;SG	N;INAN;NOM;MASC;SG
anak	сынок	anak	сынок	N;SG	N;ANIM;NOM;MASC;SG
anak	сын	anak	сын	N;SG	N;ANIM;NOM;MASC;SG
anak	дитя	anak	дитя	N;SG	N;INAN;NOM;NEUT;SG
anak	ребенок	anak	ребенок	N;SG	N;ANIM;NOM;MASC;SG
anak	ребёнок	anak	ребёнок	N;SG	N;ANIM;NOM;MASC;SG
anak	ребенка	anak	ребенок	N;SG	N;ANIM;ACC;MASC;SG
species	видов	species	вид	N	N;INAN;GEN;MASC;PL
species	виды	species	вид	N	N;INAN;NOM;MASC;PL
species	вид	species	вид	N	N;INAN;NOM;MASC;SG
hidup	жизнь	hidup	жизнь	N;SG	N;INAN;NOM;FEM;SG
lagu	песня	lagu	песня	N;SG	N;INAN;NOM;FEM;SG
lagu	песнь	lagu	песнь	N;SG	N;INAN;NOM;FEM;SG
daerah	округ	daerah	округ	N;SG	N;INAN;NOM;MASC;SG
daerah	район	daerah	район	N;SG	N;INAN;NOM;MASC;SG
daerah	область	daerah	область	N;SG	N;INAN;NOM;FEM;SG
daerah	район	daerah	район	N;SG	N;INAN;NOM;MASC;SG
daerah	площадь	daerah	площадь	N;SG	N;INAN;NOM;FEM;SG
daerah	область	daerah	область	N;SG	N;INAN;NOM;FEM;SG
daerah	регион	daerah	регион	N;SG	N;INAN;NOM;MASC;SG
daerah	графство	daerah	графство	N;SG	N;INAN;NOM;NEUT;SG
daerah	округе	daerah	округ	N;SG	N;INAN;ESS;MASC;SG
daerah	округ	daerah	округ	N;SG	N;INAN;NOM;MASC;SG
daerah	секция	daerah	секция	N;SG	N;INAN;NOM;FEM;SG
daerah	раздел	daerah	раздел	N;SG	N;INAN;NOM;MASC;SG
sekolah	школе	sekolah	школа	N;SG	N;INAN;DAT;FEM;SG
sekolah	школа	sekolah	школа	N;SG	N;INAN;NOM;FEM;SG
air	вода	air	вода	N;SG	N;INAN;NOM;FEM;SG
air	воду	air	вода	N;SG	N;INAN;ACC;FEM;SG
air	воздух	air	воздух	N;SG	N;INAN;NOM;MASC;SG
hari	день	hari	день	N;SG	N;INAN;NOM;MASC;SG
hari	дэй	hari	дэй	N;SG	N;INAN;NOM;MASC;SG
hingga	до	hingga	до	ADP	ADP
sampai	до	sampai	до	ADP	ADP
digunakan	используется	digunakan	использовать	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
digunakan	использовано	digunakan	использовать	V;SG;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
digunakan	используемый	digunakan	использовать	V;SG;PASS	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS
digunakan	использован	digunakan	использовать	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
kali	время	kali	время	N;SG	N;INAN;NOM;NEUT;SG
kali	времени	kali	время	N;SG	N;INAN;GEN;NEUT;SG
kali	тайм	kali	тайма	N;SG	N;INAN;NOM;MASC;SG
kali	таймс	kali	таймс	N;SG	N;INAN;NOM;MASC;SG
sama	равная	sama	равный	ADJ;SG	ADJ;NOM;FEM;SG
sama	равный	sama	равный	ADJ;SG	ADJ;NOM;MASC;SG
sama	равное	sama	равный	ADJ;SG	ADJ;NOM;NEUT;SG
ketika	когда	ketika	когда	CONJ	CONJ
sangat	очень	sangat	очень	ADV	ADV
sangat	решительно	sangat	решительно	ADV	ADV
sangat	чрезвычайно	sangat	чрезвычайно	ADV	ADV
sangat	крайне	sangat	крайне	ADV	ADV
album	альбом	album	альбый	N;SG	N;INAN;NOM;MASC;SG
hal	вещь	hal	вещь	N;SG	N;INAN;NOM;FEM;SG
hal	штука	hal	штука	N;SG	N;INAN;NOM;FEM;SG
hal	хэл	hal	хэл	N;SG	N;ANIM;NOM;MASC;SG
panjang	длинный	panjang	длинный	ADJ;SG	ADJ;NOM;MASC;SG
panjang	длинная	panjang	длинный	ADJ;SG	ADJ;NOM;FEM;SG
anggota	участник	anggota	участник	N;SG	N;ANIM;NOM;MASC;SG
anggota	член	anggota	член	N;SG	N;ANIM;NOM;MASC;SG
bisa	можно	bisa	можно	ADV	ADV
menggunakan	используя	mengunakan	использовать	V;SG;ACT	V;IPFV;PRS;V.CVB;ACT
menggunakan	использовать	mengunakan	использовать	V;SG;ACT	V;IPFV;NFIN;ACT
menggunakan	использует	mengunakan	использовать	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
berasal	вытекает	berasal	вытекать	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
utama	основная	utama	основной	ADJ;SG	ADJ;NOM;FEM;SG
utama	главная	utama	главный	ADJ;SG	ADJ;NOM;FEM;SG
utama	начального	utama	начальный	ADJ;SG	ADJ;GEN;MASC;SG
utama	начальное	utama	начальный	ADJ;SG	ADJ;NOM;NEUT;SG
disebut	упоминалось	disebut	упоминать	V;SG;PASS	V;IPFV;NEUT;IND;SG;PST;FIN;PASS
kembali	вернуть	kembali	вернуть	V;SG;ACT	V;PFV;NFIN;ACT
sudah	уже	sudah	уже	ADV;SG;ACT	ADV
menyebabkan	вызывая	mensebabkan	вызывать	V;SG;ACT	V;IPFV;PRS;V.CVB;ACT
lihat	видишь	lihat	видеть	V;SG;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
lihat	посмотреть	lihat	смотреть	V;SG;ACT	V;PFV;NFIN;ACT
lihat	посмотри	lihat	смотреть	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
lihat	смотри	lihat	смотреть	V;SG;ACT	V;IPFV;IMP;SG;2;FIN;ACT
lihat	посмотреть	lihat	смотреть	V;SG;ACT	V;PFV;NFIN;ACT
lihat	просмотреть	lihat	просмотреть	V;SG;ACT	V;PFV;NFIN;ACT
tinggi	высокий	tinggi	высокий	ADJ;SG	ADJ;NOM;MASC;SG
tinggi	высокого	tinggi	высокий	ADJ;SG	ADJ;GEN;MASC;SG
tinggi	высокая	tinggi	высокий	ADJ;SG	ADJ;NOM;FEM;SG
waktu	время	waktu	время	N;SG	N;INAN;NOM;NEUT;SG
waktu	времени	waktu	время	N;SG	N;INAN;GEN;NEUT;SG
waktu	тайм	waktu	тайма	N;SG	N;INAN;NOM;MASC;SG
jenis	тип	jenis	тип	N;SG	N;INAN;NOM;MASC;SG
jakarta	джакарте	jakarta	джакарт	N;SG	N;INAN;NOM;MASC;SG
bulan	луна	bulan	луна	N;SG	N;INAN;NOM;FEM;SG
bulan	луну	bulan	луна	N;SG	N;INAN;ACC;FEM;SG
bulan	месяца	bulan	месяц	N;SG	N;INAN;GEN;MASC;SG
bulan	месяц	bulan	месяц	N;SG	N;INAN;NOM;MASC;SG
bulan	месяца	bulan	месяц	N;SG	N;INAN;GEN;MASC;SG
departemen	департамент	departemen	департамент	N;SG	N;INAN;NOM;MASC;SG
situs	сайт	situs	сайт	N;SG	N;INAN;NOM;MASC;SG
dikenal	признано	dikenal	признать	V;SG;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
dikenal	признана	dikenal	признать	V;SG;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
dikenal	признан	dikenal	признать	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
dikenal	признано	dikenal	признать	V;SG;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
laba	прибыль	laba	прибыль	N;SG	N;INAN;NOM;FEM;SG
laba	паук	laba	паук	N;SG	N;INAN;NOM;MASC;SG
membuat	создать	menbuat	создать	V;SG;ACT	V;PFV;NFIN;ACT
membuat	создавать	menbuat	создавать	V;SG;ACT	V;IPFV;NFIN;ACT
membuat	сделать	menbuat	делать	V;SG;ACT	V;PFV;NFIN;ACT
mulai	начать	mulai	начать	V;SG;ACT	V;PFV;NFIN;ACT
mulai	начать	mulai	начать	V;SG;ACT	V;PFV;NFIN;ACT
mulai	начинаю	mulai	начинать	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
mulai	начиная	mulai	начинать	V;SG;ACT	V;IPFV;PRS;V.CVB;ACT
resmi	официальное	resmi	официальный	ADJ;SG	ADJ;NOM;NEUT;SG
resmi	официальный	resmi	официальный	ADJ;SG	ADJ;NOM;MASC;SG
resmi	официальная	resmi	официальный	ADJ;SG	ADJ;NOM;FEM;SG
udara	воздух	udara	воздух	N;SG	N;INAN;NOM;MASC;SG
melalui	через	melalui	через	ADP	ADP
melalui	сквозь	melalui	сквозь	ADP	ADP
melalui	через	melalui	через	ADP	ADP
nasional	национальная	nasional	национальный	ADJ;SG	ADJ;NOM;FEM;SG
nasional	национальный	nasional	национальный	ADJ;SG	ADJ;NOM;MASC;SG
nasional	общенациональный	nasional	общенациональный	ADJ;SG	ADJ;NOM;MASC;SG
sekarang	сейчас	sekarang	сейчас	ADV	ADV
sekarang	теперь	sekarang	теперь	ADV	ADV
perang	война	perang	война	N;SG	N;INAN;NOM;FEM;SG
pulau	пулау	pulau	пулау	N;SG	N;INAN;NOM;FEM;SG
pulau	остров	pulau	остров	N;SG	N;INAN;NOM;MASC;SG
rumah	дом	rumah	дом	N;SG	N;INAN;NOM;MASC;SG
rumah	дом	rumah	дом	N;SG	N;INAN;NOM;MASC;SG
pendidikan	просвещение	pendidikan	просвещение	N;SG	N;INAN;NOM;NEUT;SG
pendidikan	образование	pendidikan	образование	N;SG	N;INAN;NOM;NEUT;SG
laut	море	laut	море	N;SG	N;INAN;NOM;NEUT;SG
laut	океан	laut	океан	N;SG	N;INAN;NOM;MASC;SG
laut	океана	laut	океан	N;SG	N;INAN;GEN;MASC;SG
tim	тим	tim	тима	N;SG	N;ANIM;NOM;MASC;SG
tim	тима	tim	тима	N;SG	N;ANIM;ACC;MASC;SG
tim	команда	tim	команда	N;SG	N;INAN;NOM;FEM;SG
sistem	система	sistem	система	N;SG	N;INAN;NOM;FEM;SG
komune	коммуна	komune	коммуна	N	N;INAN;NOM;FEM;SG
komune	коммуне	komune	коммун	N	N;INAN;DAT;FEM;SG
komune	коммуны	komune	коммун	N	N;INAN;NOM;FEM;PL
komune	общины	komune	община	N	N;INAN;NOM;FEM;PL
komune	коммун	komune	коммун	N	N;INAN;GEN;FEM;PL
termasuk	включенные	termasuk	включить	V	V;PFV;NOM;PL;PST;V.PTCP;PASS
termasuk	включено	termasuk	включить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
termasuk	включить	termasuk	включить	V	V;PFV;NFIN;ACT
termasuk	включать	termasuk	включать	V	V;IPFV;NFIN;ACT
termasuk	включает	termasuk	включать	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
larva	личинок	larva	личинка	N	N;ANIM;GEN;FEM;PL
larva	личинки	larva	личинка	N	N;ANIM;NOM;FEM;PL
larva	личинка	larva	личинка	N	N;ANIM;NOM;FEM;SG
terhadap	против	terhadap	против	ADP	ADP
batang	бар	batang	бар	N;SG	N;INAN;NOM;MASC;SG
sendiri	собственная	sendiri	собственный	ADJ;SG	ADJ;NOM;FEM;SG
sendiri	собственный	sendiri	собственный	ADJ;SG	ADJ;NOM;MASC;SG
sendiri	собственное	sendiri	собственный	ADJ;SG	ADJ;NOM;NEUT;SG
matahari	солнце	matahari	солнце	N;SG	N;INAN;NOM;NEUT;SG
matahari	вс	matahari	вести	N;SG	N;INAN;NOM;MASC;SG
matahari	сунь	matahari	сунь	N;SG	N;INAN;NOM;MASC;SG
presiden	президент	presiden	президент	N;SG	N;ANIM;NOM;MASC;SG
presiden	председатель	presiden	председатель	N;SG	N;ANIM;NOM;MASC;SG
masyarakat	община	masyarakat	община	N;SG	N;INAN;NOM;FEM;SG
masyarakat	сообщество	masyarakat	сообщество	N;SG	N;INAN;NOM;NEUT;SG
masyarakat	общество	masyarakat	общество	N;SG	N;INAN;NOM;NEUT;SG
pernah	никогда	pernah	никогда	ADV	ADV
tiga	три	tiga	три	NUM	NUM;NOM
tiga	трое	tiga	трое	NUM	NUM;NOM
jalan	дорога	jalan	дорога	N;SG;ACT	N;INAN;NOM;FEM;SG
jalan	роуд	jalan	роуд	N;SG;ACT	N;INAN;NOM;MASC;SG
musik	музыка	musik	музыка	N;SG	N;INAN;NOM;FEM;SG
musik	музыку	musik	музыка	N;SG	N;INAN;ACC;FEM;SG
musik	мюзикл	musik	мюзикл	N;SG	N;INAN;NOM;MASC;SG
planet	планете	planet	планета	N;SG	N;INAN;DAT;FEM;SG
planet	планета	planet	планета	N;SG	N;INAN;NOM;FEM;SG
kerusakan	сбой	kerusakan	сбой	N;SG	N;INAN;NOM;MASC;SG
kerusakan	неисправность	kerusakan	неисправность	N;SG	N;INAN;NOM;FEM;SG
kerusakan	ущерб	kerusakan	ущерб	N;SG	N;INAN;NOM;MASC;SG
kerusakan	повреждение	kerusakan	повреждение	N;SG	N;INAN;NOM;NEUT;SG
kerusakan	вред	kerusakan	вред	N;SG	N;INAN;NOM;MASC;SG
kerusakan	ущерб	kerusakan	ущерб	N;SG	N;INAN;NOM;MASC;SG
kerusakan	ущерба	kerusakan	ущерб	N;SG	N;INAN;GEN;MASC;SG
kecil	маленькая	kecil	маленький	ADJ;SG	ADJ;NOM;FEM;SG
kecil	маленький	kecil	маленький	ADJ;SG	ADJ;NOM;MASC;SG
kecil	маленький	kecil	маленький	ADJ;SG	ADJ;NOM;MASC;SG
kecil	маленькая	kecil	маленький	ADJ;SG	ADJ;NOM;FEM;SG
kecil	незначительное	kecil	незначительный	ADJ;SG	ADJ;NOM;NEUT;SG
kecil	несовершеннолетний	kecil	несовершеннолетний	ADJ;SG	ADJ;NOM;MASC;SG
kecil	крошечный	kecil	крошечный	ADJ;SG	ADJ;NOM;MASC;SG
menteri	секретарь	menteri	секретарь	N;SG	N;ANIM;NOM;MASC;SG
menteri	секретарша	menteri	секретарша	N;SG	N;ANIM;NOM;FEM;SG
menteri	министр	menteri	министр	N;SG	N;ANIM;NOM;MASC;SG
menteri	министра	menteri	министр	N;SG	N;ANIM;ACC;MASC;SG
lagi	опять	lagi	опять	ADV	ADV
lagi	вновь	lagi	вновь	ADV	ADV
lagi	снова	lagi	снова	ADV	ADV
lagi	более	lagi	более	ADV	ADV;CMPR
lagi	больше	lagi	больше	ADV	ADV;CMPR
lagi	еще	lagi	еще	ADV	ADV
jumlah	сумма	jumlah	сумма	N;SG	N;INAN;NOM;FEM;SG
jumlah	сумма	jumlah	сумма	N;SG	N;INAN;NOM;FEM;SG
jumlah	количество	jumlah	количество	N;SG	N;INAN;NOM;NEUT;SG
kata	саид	kata	саид	N;SG	N;ANIM;NOM;MASC;SG
kata	слово	kata	слово	N;SG	N;INAN;NOM;NEUT;SG
kata	ката	kata	кат	N;SG	N;INAN;NOM;MASC;SG
penduduk	резидент	penduduk	резидент	N;SG	N;ANIM;NOM;MASC;SG
penduduk	резидента	penduduk	резидент	N;SG	N;ANIM;ACC;MASC;SG
penduduk	житель	penduduk	житель	N;SG	N;ANIM;NOM;MASC;SG
penduduk	населения	penduduk	население	N;SG	N;INAN;GEN;NEUT;SG
penduduk	население	penduduk	население	N;SG	N;INAN;NOM;NEUT;SG
bawah	низ	bawah	низ	N;SG	N;INAN;NOM;MASC;SG
bawah	дно	bawah	дно	N;SG	N;INAN;NOM;NEUT;SG
sebelum	до	sebelum	до	ADP	ADP
sebelum	перед	sebelum	перед	ADP	ADP
awal	раннее	awal	ранний	ADJ;SG	ADJ;NOM;NEUT;SG
awal	ранняя	awal	ранний	ADJ;SG	ADJ;NOM;FEM;SG
awal	ранний	awal	ранний	ADJ;SG	ADJ;NOM;MASC;SG
artikel	статья	artikel	статья	N;SG	N;INAN;NOM;FEM;SG
tanduk	рога	tanduk	рог	N	N;INAN;NOM;MASC;PL
tanduk	рога	tanduk	рог	N	N;INAN;NOM;MASC;PL
tanduk	рог	tanduk	рог	N	N;INAN;NOM;MASC;SG
tanduk	гудок	tanduk	гудок	N	N;INAN;NOM;MASC;SG
tanduk	рога	tanduk	рог	N	N;INAN;NOM;MASC;PL
karya	шедевр	karya	шедевр	N;SG	N;INAN;NOM;MASC;SG
tanah	земля	tanah	земля	N;SG	N;INAN;NOM;FEM;SG
tanah	почва	tanah	почва	N;SG	N;INAN;NOM;FEM;SG
tanah	почва	tanah	почва	N;SG	N;INAN;NOM;FEM;SG
tanah	основание	tanah	основание	N;SG	N;INAN;NOM;NEUT;SG
abad	абад	abad	абад	N;SG	N;INAN;NOM;MASC;SG
abad	век	abad	век	N;SG	N;INAN;NOM;MASC;SG
abad	столетие	abad	столетие	N;SG	N;INAN;NOM;NEUT;SG
perusahaan	корпорация	perusahaan	корпорация	N;SG	N;INAN;NOM;FEM;SG
perusahaan	компания	perusahaan	компания	N;SG	N;INAN;NOM;FEM;SG
perusahaan	рота	perusahaan	рот	N;SG	N;INAN;NOM;FEM;SG
perusahaan	заказчик	perusahaan	заказчик	N;SG	N;ANIM;NOM;MASC;SG
perusahaan	работодателя	perusahaan	работодатель	N;SG	N;ANIM;ACC;MASC;SG
perusahaan	работодатель	perusahaan	работодатель	N;SG	N;ANIM;NOM;MASC;SG
style	стиль	style	стиль	N	N;INAN;NOM;MASC;SG
januari	январь	januari	январь	N;SG	N;INAN;NOM;MASC;SG
januari	января	januari	январь	N;SG	N;INAN;GEN;MASC;SG
maret	марш	maret	марш	N;SG	N;INAN;NOM;MASC;SG
maret	март	maret	март	N;SG	N;INAN;NOM;MASC;SG
maret	марта	maret	март	N;SG	N;INAN;GEN;MASC;SG
paling	наиболее	paling	наиболее	ADV	ADV
musim	сезон	musim	сезон	N;SG	N;INAN;NOM;MASC;SG
bola	сфера	bola	сфера	N;SG	N;INAN;NOM;FEM;SG
bola	бал	bola	бал	N;SG	N;INAN;NOM;MASC;SG
bola	шар	bola	шар	N;SG	N;INAN;NOM;MASC;SG
bola	мяч	bola	мяч	N;SG	N;INAN;NOM;MASC;SG
pemerintah	правительство	penperintah	правительство	N;SG	N;INAN;NOM;NEUT;SG
setiap	каждая	setiap	каждый	DET	DET;NOM;FEM;SG
setiap	каждую	setiap	каждый	DET	DET;ACC;FEM;SG
setiap	каждый	setiap	каждый	DET	DET;NOM;MASC;SG
setiap	каждое	setiap	каждый	DET	DET;NOM;NEUT;SG
setiap	любой	setiap	любой	DET	DET;NOM;MASC;SG
setiap	любую	setiap	любой	DET	DET;ACC;FEM;SG
setiap	любые	setiap	любой	DET	DET;NOM;PL
setiap	любое	setiap	любой	DET	DET;NOM;NEUT;SG
setiap	любая	setiap	любой	DET	DET;NOM;FEM;SG
setiap	каждая	setiap	каждый	DET	DET;NOM;FEM;SG
setiap	каждому	setiap	каждый	DET	DET;DAT;MASC;SG
setiap	каждый	setiap	каждый	DET	DET;NOM;MASC;SG
setiap	каждое	setiap	каждый	DET	DET;NOM;NEUT;SG
juni	июнь	juni	июнь	N;SG	N;INAN;NOM;MASC;SG
juni	джун	juni	джун	N;SG	N;ANIM;NOM;FEM;SG
juni	июня	juni	июнь	N;SG	N;INAN;GEN;MASC;SG
muda	младшая	muda	младший	ADJ;SG	ADJ;NOM;FEM;SG
muda	молодая	muda	молодой	ADJ;SG	ADJ;NOM;FEM;SG
muda	молодой	muda	молодой	ADJ;SG	ADJ;NOM;MASC;SG
desember	декабрь	desember	декабрь	N;SG	N;INAN;NOM;MASC;SG
desember	декабрь	desember	декабрь	N;SG	N;INAN;NOM;MASC;SG
bidang	филд	bidang	филд	N;SG	N;INAN;NOM;MASC;SG
bidang	поле	bidang	поле	N;SG	N;INAN;NOM;NEUT;SG
kepala	головка	kepala	головка	N;SG	N;INAN;NOM;FEM;SG
kepala	голова	kepala	голова	N;SG	N;INAN;NOM;FEM;SG
