the	de	the	de	DET;DEF	DET;DEF
should	moet	should	moeten	V;FIN	V;SG;PRS;FIN
two	twee	two	twee	NUM	NUM
score	score	score	score	N;SG	N;MASC+FEM;SG
her	haar	she	haar	PRO;ACC;FEM;SG;3	PRO;ACC;3
can	kunt	can	kunnen	V;FIN	V;SG;PRS;FIN
would	zou	would	zullen	V;FIN	V;SG;PST;FIN
she	ze	she	ze	PRO;NOM;FEM;SG;3	PRO;3
she	zij	she	zij	PRO;NOM;FEM;SG;3	PRO;NOM;3
about	ongeveer	about	ongeveer	ADV	ADV
when	wanneer	when	wanneer	ADV	ADV
time	tijd	time	tijd	N;SG	N;MASC+FEM;SG
team	team	team	team	N;SG	N;NEUT;SG
american	amerikaans	american	amerikaans	ADJ	ADJ
american	amerikaanse	american	amerikaans	ADJ	ADJ
such	dergelijke	such	dergelijke	ADJ	ADJ
discussion	discussie	discussion	discussie	N;SG	N;MASC+FEM;SG
only	alleen	only	alleen	ADV	ADV
only	slechts	only	slechts	ADV	ADV
see	zien	see	zien	V;IMP;FIN	V;NFIN
see	zie	see	zien	V;IMP;FIN	V;SG;PRS;FIN
years	jaren	year	jaar	N;PL	N;PL
school	school	school	school	N;SG	N;MASC+FEM;SG
world	wereld	world	wereld	N;SG	N;MASC+FEM;SG
university	universiteit	university	universiteit	N;SG	N;MASC+FEM;SG
out	eruit	out	eruit	ADV	ADV
state	state	state	state	N;SG	N;MASC+FEM;SG
states	staten	state	state	N;PL	N;PL
national	nationaal	national	nationaal	ADJ	ADJ
national	nationale	national	nationaal	ADJ	ADJ
wikipedia	wikipedia	wikipedia	wikipedia	N;SG	N;MASC+FEM;SG
year	jaar	year	jaar	N;SG	N;NEUT;SG
city	stad	city	stad	N;SG	N;MASC+FEM;SG
used	gebruikt	use	gebruiken	V;PST;V.PTCP	V;V.PTCP
used	gebruikte	use	gebruiken	V;PST;V.PTCP	V;SG;PST;FIN
then	dan	then	dan	ADV	ADV
then	daarna	then	daarna	ADV	ADV
county	county	county	county	N;SG	N;MASC+FEM;SG
county	graafschap	county	graafschap	N;SG	N;NEUT;SG
external	extern	external	extern	ADJ	ADJ
external	uitwendig	external	uitwendig	ADJ	ADJ
external	externe	external	extern	ADJ	ADJ
where	waar	where	waar	ADV	ADV
will	zal	will	zullen	V;FIN	V;SG;PRS;FIN
will	zullen	will	zullen	V;FIN	V;PL;PRS;FIN
what	wat	what	wat	PRO	PRO;3
delete	verwijder	delete	verwijder	V;IMP;FIN	V;SG;PRS;FIN
delete	verwijderen	delete	verwijderen	V;IMP;FIN	V;NFIN
delete	doorhalen	delete	doorhaal	V;IMP;FIN	V;NFIN
any	elke	any	elk	DET	DET
these	deze	these	deze	PRO;PL	PRO
film	film	film	film	N;SG	N;MASC+FEM;SG
him	hem	he	hem	PRO;ACC;MASC;SG;3	PRO;ACC;3
three	drie	three	drie	NUM	NUM
use	gebruiken	use	gebruiken	V;IMP;FIN	V;NFIN
war	oorlog	war	oorlog	N;SG	N;MASC+FEM;SG
them	hen	they	hen	PRO;ACC;PL;3	PRO;ACC;3
born	geboren	bear	geboren	V;PST;V.PTCP	V;V.PTCP
link	link	link	link	N;SG	N;MASC+FEM;SG
link	koppeling	link	koppeling	N;SG	N;MASC+FEM;SG
while	terwijl	while	terwijl	CONJ	CONJ
later	straks	later	straks	ADV	ADV
part	deel	part	deel	N;SG	N;NEUT;SG
part	gedeelte	part	gedeelte	N;SG	N;NEUT;SG
players	spelers	player	speler	N;PL	N;PL
list	lijstje	list	lijst	N;SG	N;NEUT;SG
list	lijst	list	lijst	N;SG	N;MASC+FEM;SG
please	aub	please	aub	INTJ	INTJ
know	gekend	know	kennen	V;IND;PRS;FIN	V;V.PTCP
know	gekende	know	kenen	V;IND;PRS;FIN	V;V.PTCP
name	naam	name	naam	N;SG	N;MASC+FEM;SG
group	groep	group	groep	N;SG	N;MASC+FEM;SG
group	fractie	group	fractie	N;SG	N;MASC+FEM;SG
history	geschiedenis	history	geschiedenis	N;SG	N;MASC+FEM;SG
series	serie	series	serie	N;SG	N;MASC+FEM;SG
series	reeks	series	reeks	N;SG	N;MASC+FEM;SG
work	werk	work	werk	N;SG	N;NEUT;SG
work	arbeid	work	arbeid	N;SG	N;MASC+FEM;SG
season	seizoen	season	seizoen	N;SG	N;NEUT;SG
high	hoog	high	hoog	ADJ	ADJ
high	hoge	high	hoog	ADJ	ADJ
district	district	district	district	N;SG	N;NEUT;SG
now	nu	now	nu	ADV	ADV
comments	opmerkingen	comment	opmerking	N;PL	N;PL
comments	commentaren	comment	commentaar	N;PL	N;PL
comments	reacties	comment	reactie	N;PL	N;PL
because	omdat	because	omdat	CONJ	CONJ
football	voetbal	football	voetbal	N;SG	N;NEUT;SG
music	muziek	music	muziek	N;SG	N;MASC+FEM;SG
diff	diff	diff	diff	N;SG	N;MASC+FEM;SG
diff	verschil	diff	verschil	N;SG	N;NEUT;SG
century	eeuw	century	eeuw	N;SG	N;MASC+FEM;SG
edits	bewerkingen	edit	bewerking	N;PL	N;PL
debate	discussie	debate	discussie	N;SG	N;MASC+FEM;SG
debate	debat	debate	debat	N;SG	N;NEUT;SG
title	titel	title	titel	N;SG	N;MASC+FEM;SG
articles	artikelen	article	artikel	N;PL	N;PL
articles	artikels	article	artikel	N;PL	N;PL
same	hetzelfde	same	hetzelfde	ADJ	ADJ
same	zelfde	same	zelfde	ADJ	ADJ
could	kon	could	kunnen	V;FIN	V;SG;PST;FIN
album	album	album	album	N;SG	N;NEUT;SG
number	nummer	number	nummer	N;SG	N;MASC+FEM;SG
number	aantal	number	aantal	N;SG	N;NEUT;SG
number	getal	number	getal	N;SG	N;NEUT;SG
against	tegen	against	tegen	ADP	ADP
family	familie	family	familie	N;SG	N;MASC+FEM;SG
family	gezin	family	gezin	N;SG	N;NEUT;SG
user	gebruiker	user	gebruiker	N;SG	N;MASC+FEM;SG
based	gebaseerd	base	baseren	V;PST;V.PTCP	V;V.PTCP
area	gebied	area	gebied	N;SG	N;NEUT;SG
area	oppervlakte	area	oppervlakte	N;SG	N;MASC+FEM;SG
life	leven	life	leven	N;SG	N;NEUT;SG
british	britse	british	brits	ADJ	ADJ
british	brits	british	brits	ADJ	ADJ
international	internationaal	international	internationaal	ADJ	ADJ
game	wedstrijd	game	wedstrijd	N;SG	N;MASC+FEM;SG
game	spel	game	spel	N;SG	N;NEUT;SG
game	spelletje	game	spel	N;SG	N;NEUT;SG
club	club	club	club	N;SG	N;MASC+FEM;SG
your	je	you	je	PRO;2	PRO;NOM;2
your	uw	you	uw	PRO;2	PRO;2
your	jouw	you	jou	PRO;2	PRO;ACC;2
best	best	best	best	ADJ;RL	ADJ;RL
best	beste	best	goed	ADJ;RL	ADJ;RL
house	huis	house	huis	N;SG	N;NEUT;SG
company	gezelschap	company	gezelschap	N;SG	N;NEUT;SG
company	bedrijf	company	bedrijf	N;SG	N;NEUT;SG
company	onderneming	company	onderneming	N;SG	N;MASC+FEM;SG
general	algemene	general	algemeen	ADJ	ADJ
general	algemeen	general	algemeen	ADJ	ADJ
very	zeer	very	zeer	ADV	ADV
here	hier	here	hier	ADV	ADV
living	living	living	living	N;SG	N;MASC+FEM;SG
day	dag	day	dag	N;SG	N;MASC+FEM;SG
day	dagje	day	dag	N;SG	N;NEUT;SG
several	verschillende	several	verschillend	ADJ	ADJ
several	verscheidene	several	verscheidene	ADJ	ADJ
place	plaats	place	plaats	N;SG	N;MASC+FEM;SG
party	feest	party	feest	N;SG	N;NEUT;SG
party	partij	party	partij	N;SG	N;MASC+FEM;SG
party	feestje	party	feest	N;SG	N;NEUT;SG
party	party	party	party	N;SG	N;MASC+FEM;SG
college	college	college	college	N;SG	N;NEUT;SG
college	hogeschool	college	hogeschool	N;SG	N;MASC+FEM;SG
college	universiteit	college	universiteit	N;SG	N;MASC+FEM;SG
result	resultaat	result	resultaat	N;SG	N;NEUT;SG
keep	houd	keep	houden	V;IMP;FIN	V;SG;PRS;FIN
keep	houden	keep	houden	V;IMP;FIN	V;NFIN
appropriate	toepasselijk	appropriate	toepasselijk	ADJ	ADJ
appropriate	geschikt	appropriate	geschikt	ADJ	ADJ
four	vier	four	vier	NUM	NUM
even	zelfs	even	zelfs	ADV	ADV
class	klasse	class	klasse	N;SG	N;MASC+FEM;SG
class	class	class	class	N;SG	N;MASC+FEM;SG
class	klas	class	klas	N;SG	N;MASC+FEM;SG
government	regering	government	regering	N;SG	N;MASC+FEM;SG
government	overheid	government	overheid	N;SG	N;MASC+FEM;SG
how	hoe	how	hoe	ADV	ADV
called	belde	call	bellen	V;PST;V.PTCP	V;SG;PST;FIN
called	genoemd	call	noemen	V;PST;V.PTCP	V;V.PTCP
called	gebeld	call	bellen	V;PST;V.PTCP	V;V.PTCP
each	elke	each	elk	DET	DET
found	gevonden	find	vinden	V;PST;V.PTCP	V;V.PTCP
center	centrum	center	centrum	N;SG	N;NEUT;SG
style	stijl	style	stijl	N;SG	N;MASC+FEM;SG
com	com	com	com	N;SG	N;MASC+FEM;SG
country	land	country	land	N;SG	N;NEUT;SG
back	terug	back	terug	ADV	ADV
way	manier	way	manier	N;SG	N;MASC+FEM;SG
www	www	wwwiw	www	N;SG	N;MASC+FEM;SG
modify	aanpassen	modify	aanpassen	V;IMP;FIN	V;NFIN
modify	wijzigen	modify	wijzigen	V;IMP;FIN	V;NFIN
end	einde	end	einde	N;SG	N;NEUT;SG
end	eind	end	eind	N;SG	N;NEUT;SG
make	maken	make	maken	V;IMP;FIN	V;NFIN
make	maak	make	maken	V;IMP;FIN	V;SG;PRS;FIN
public	openbaar	public	openbaar	ADJ	ADJ
played	gespeelde	play	spelen	V;PST;V.PTCP	V;V.PTCP
played	speelde	play	spelen	V;PST;V.PTCP	V;SG;PST;FIN
played	afgespeeld	play	afspelen	V;PST;V.PTCP	V;V.PTCP
played	gespeeld	play	spelen	V;PST;V.PTCP	V;V.PTCP
won	gewonnen	win	winnen	V;PST;FIN	V;V.PTCP
won	won	win	winnen	V;PST;FIN	V;SG;PST;FIN
released	vrijgelaten	release	vrijlaten	V;PST;V.PTCP	V;V.PTCP
released	vrijgegeven	release	vrijgeven	V;PST;V.PTCP	V;V.PTCP
released	uitgebracht	release	uitbrengen	V;PST;V.PTCP	V;V.PTCP
added	toegevoegd	add	toevoegen	V;PST;V.PTCP	V;V.PTCP
added	toegevoegde	add	toevoegen	V;PST;V.PTCP	V;V.PTCP
support	ondersteuning	support	ondersteuning	N;SG	N;MASC+FEM;SG
support	steun	support	steun	N;SG	N;MASC+FEM;SG
support	support	support	support	N;SG	N;MASC+FEM;SG
games	games	game	game	N;PL	N;PL
games	spelletjes	game	spel	N;PL	N;PL
games	spellen	game	spellen	N;PL	N;PL
former	voormalig	former	voormalig	ADJ	ADJ
former	voormalige	former	voormalig	ADJ	ADJ
films	films	film	film	N;PL	N;PL
church	kerk	church	kerk	N;SG	N;MASC+FEM;SG
line	line	line	lin	N;SG	N;MASC+FEM;SG
line	lijn	line	lijn	N;SG	N;MASC+FEM;SG
members	leden	member	lid	N;PL	N;PL
good	lekker	good	lekker	ADJ	ADJ
good	goed	good	goed	ADJ	ADJ
image	imago	image	imago	N;SG	N;NEUT;SG
image	beeld	image	beeld	N;SG	N;NEUT;SG
image	afbeelding	image	afbeelding	N;SG	N;MASC+FEM;SG
show	tonen	show	tonen	V;IMP;FIN	V;NFIN
still	nog	still	nog	ADV	ADV
think	denk	think	denken	V;IMP;FIN	V;SG;PRS;FIN
think	denken	think	denken	V;IMP;FIN	V;NFIN
tow	stad	tow	stad	N;SG	N;MASC+FEM;SG
system	systeem	system	systeem	N;SG	N;NEUT;SG
system	stelsel	system	stelsel	N;SG	N;NEUT;SG
right	juist	right	juist	ADV	ADV
song	nummer	song	nummer	N;SG	N;MASC+FEM;SG
song	song	song	song	N;SG	N;MASC+FEM;SG
song	zang	song	zang	N;SG	N;MASC+FEM;SG
song	lied	song	lied	N;SG	N;NEUT;SG
song	liedje	song	liedje	N;SG	N;NEUT;SG
notable	opmerkelijk	notable	opmerkelijk	ADJ	ADJ
notable	opmerkelijke	notable	opmerkelijk	ADJ	ADJ
section	afdeling	section	afdeling	N;SG	N;MASC+FEM;SG
section	sectie	section	sectie	N;SG	N;MASC+FEM;SG
single	alleenstaand	single	alleenstaand	ADJ	ADJ
included	inbegrepen	include	inbegrip	V;PST;V.PTCP	V;V.PTCP
align	uitlijnen	align	uitlijnen	V;IMP;FIN	V;NFIN
home	home	home	home	N;SG	N;MASC+FEM;SG
home	huis	home	huis	N;SG	N;NEUT;SG
home	startpagina	home	startpagina	N;SG	N;MASC+FEM;SG
women	vrouwen	woman	vrouw	N;PL	N;PL
television	televisie	television	televisie	N;SG	N;MASC+FEM;SG
seed	zaaigoed	seed	zaaigoed	N;SG	N;NEUT;SG
seed	zaad	seed	zaad	N;SG	N;NEUT;SG
seed	zaaizaad	seed	zaaizaad	N;SG	N;NEUT;SG
member	lid	member	lid	N;SG	N;NEUT;SG
goals	doelstellingen	goal	doelstelling	N;PL	N;PL
goals	doelpunten	goal	doelpunt	N;PL	N;PL
goals	goals	goal	goal	N;PL	N;PL
goals	doelen	goal	doel	N;PL	N;PL
sources	bronnen	source	bron	N;PL	N;PL
book	boek	book	boek	N;SG	N;NEUT;SG
station	station	station	station	N;SG	N;NEUT;SG
order	orde	order	orde	N;SG	N;MASC+FEM;SG
order	order	order	order	N;SG	N;MASC+FEM;SG
order	bestelling	order	bestelling	N;SG	N;MASC+FEM;SG
old	ouwe	old	oud	ADJ	ADJ
old	oude	old	oud	ADJ	ADJ
old	oud	old	oud	ADJ	ADJ
information	informatie	information	informatie	N;SG	N;MASC+FEM;SG
set	instellen	set	instellen	V;FIN	V;NFIN
set	ingesteld	set	instellen	V;FIN	V;V.PTCP
own	eigen	own	eigen	ADJ	ADJ
text	tekst	text	tekst	N;SG	N;MASC+FEM;SG
band	band	band	band	N;SG	N;MASC+FEM;SG
point	punt	point	punt	N;SG	N;NEUT;SG
point	point	point	point	N;SG	N;MASC+FEM;SG
local	lokale	local	lokaal	ADJ	ADJ
local	plaatselijk	local	plaatselijk	ADJ	ADJ
local	lokaal	local	lokaal	ADJ	ADJ
river	rivier	river	rivier	N;SG	N;MASC+FEM;SG
river	river	river	river	N;SG	N;MASC+FEM;SG
top	top	top	top	N;SG	N;MASC+FEM;SG
top	bovenkant	top	bovenkant	N;SG	N;MASC+FEM;SG
language	taal	language	taal	N;SG	N;MASC+FEM;SG
language	taalgebruik	language	taalgebruik	N;SG	N;NEUT;SG
french	franse	french	frans	ADJ	ADJ
https	https	http	http	N;SG	N;MASC+FEM;SG
named	genoemd	name	noemen	V;PST;V.PTCP	V;V.PTCP
named	genaamd	name	genaamd	V;PST;V.PTCP	V;V.PTCP
named	benoemde	name	benoemen	V;PST;V.PTCP	V;V.PTCP
note	noot	note	noot	N;SG	N;MASC+FEM;SG
note	briefje	note	brief	N;SG	N;NEUT;SG
note	notitie	note	notitie	N;SG	N;MASC+FEM;SG
note	opmerking	note	opmerking	N;SG	N;MASC+FEM;SG
career	carrière	career	carrière	N;SG	N;MASC+FEM;SG
career	carriere	career	carri	N;SG	N;MASC+FEM;SG
career	loopbaan	career	loopbaan	N;SG	N;MASC+FEM;SG
original	oorspronkelijke	original	oorspronkelijk	ADJ	ADJ
original	origineel	original	origineel	ADJ	ADJ
original	originele	original	origineel	ADJ	ADJ
age	ouderdom	age	ouderdom	N;SG	N;MASC+FEM;SG
age	leeftijd	age	leeftijd	N;SG	N;MASC+FEM;SG
service	dienst	service	dienst	N;SG	N;MASC+FEM;SG
service	service	service	service	N;SG	N;MASC+FEM;SG
established	opgericht	establish	oprichten	V;PST;V.PTCP	V;V.PTCP
established	gevestigde	establish	vestigen	V;PST;V.PTCP	V;V.PTCP
established	gevestigd	establish	vestigen	V;PST;V.PTCP	V;V.PTCP
located	gelokaliseerd	locate	lokaliseren	V;PST;V.PTCP	V;V.PTCP
said	zei	say	zeggen	V;IND;PST;FIN	V;SG;PST;FIN
said	gezegd	say	zeggen	V;IND;PST;FIN	V;V.PTCP
website	website	website	website	N;SG	N;MASC+FEM;SG
population	bevolking	population	bevolking	N;SG	N;MASC+FEM;SG
population	populatie	population	populatie	N;SG	N;MASC+FEM;SG
air	lucht	air	lucht	N;SG	N;MASC+FEM;SG
german	duits	german	duits	ADJ	ADJ
german	duitse	german	duits	ADJ	ADJ
law	wet	law	wet	N;SG	N;MASC+FEM;SG
military	militair	military	militair	ADJ	ADJ
military	militaire	military	militair	ADJ	ADJ
great	groot	great	groot	ADJ	ADJ
great	geweldig	great	geweldig	ADJ	ADJ
great	fantastisch	great	fantastisch	ADJ	ADJ
clubs	clubs	club	club	N;PL	N;PL
published	gepubliceerd	publish	publiceren	V;PST;V.PTCP	V;V.PTCP
published	verschenen	publish	verschijnen	V;PST;V.PTCP	V;V.PTCP
published	gepubliceerde	publish	publiceren	V;PST;V.PTCP	V;V.PTCP
published	uitgegeven	publish	uitgeven	V;PST;V.PTCP	V;V.PTCP
park	park	park	park	N;SG	N;NEUT;SG
official	ambtenaar	official	ambtenaar	N;SG	N;MASC+FEM;SG
case	geval	case	geval	N;SG	N;NEUT;SG
case	case	case	case	N;SG	N;MASC+FEM;SG
case	zaak	case	zaak	N;SG	N;MASC+FEM;SG
times	tijden	time	tijd	N;PL	N;PL
although	hoewel	although	hoewel	CONJ	CONJ
small	kleine	small	klein	ADJ	ADJ
small	klein	small	klein	ADJ	ADJ
small	smal	small	smal	ADJ	ADJ
different	verschillend	different	verschillend	ADJ	ADJ
different	verschillende	different	verschillend	ADJ	ADJ
get	krijgen	get	krijgen	V;IMP;FIN	V;PL;PRS;FIN
get	krijg	get	krijgen	V;IMP;FIN	V;SG;PRS;FIN
village	dorpje	village	dorp	N;SG	N;NEUT;SG
village	dorp	village	dorp	N;SG	N;NEUT;SG
closed	gesloten	close	sluiten	V;PST;V.PTCP	V;V.PTCP
closed	afgesloten	close	afsluiten	V;PST;V.PTCP	V;V.PTCP
art	kunst	art	kunst	N;SG	N;MASC+FEM;SG
player	speler	player	speler	N;SG	N;MASC+FEM;SG
player	player	player	player	N;SG	N;MASC+FEM;SG
final	definitief	final	definitief	ADJ	ADJ
community	gemeenschap	community	gemeenschap	N;SG	N;MASC+FEM;SG
community	community	community	community	N;SG	N;MASC+FEM;SG
again	alweer	again	alweer	ADV	ADV
again	opnieuw	again	opnieuw	ADV	ADV
again	nogmaals	again	nogmaals	ADV	ADV
began	begonnen	begin	beginnen	V;IND;PST;FIN	V;V.PTCP
began	begon	begin	beginnen	V;IND;PST;FIN	V;SG;PST;FIN
army	leger	army	leger	N;SG	N;NEUT;SG
army	landmacht	army	landmacht	N;SG	N;MASC+FEM;SG
award	onderscheiding	award	onderscheiding	N;SG	N;MASC+FEM;SG
award	gunning	award	gunning	N;SG	N;MASC+FEM;SG
built	gebouwde	build	bouwen	V;PST;V.PTCP	V;V.PTCP
built	gebouwd	build	bouwen	V;PST;V.PTCP	V;V.PTCP
men	mannen	man	mannen	N;PL	N;PL
large	groot	large	groot	ADJ	ADJ
large	grote	large	groot	ADJ	ADJ
site	site	site	site	N;SG	N;MASC+FEM;SG
using	gebruiken	use	gebruiken	V;V.MSDR	V;NFIN
deletion	verwijdering	deletion	verwijdering	N;SG	N;MASC+FEM;SG
deletion	schrapping	deletion	schrapping	N;SG	N;MASC+FEM;SG
white	wit	white	wit	ADJ	ADJ
white	witte	white	wit	ADJ	ADJ
five	vijf	five	vijf	NUM	NUM
children	kinderen	child	kind	N;PL	N;PL
free	vrij	free	vrij	ADJ	ADJ
free	gratis	free	gratis	ADJ	ADJ
took	nam	take	nemen	V;IND;PST;FIN	V;SG;PST;FIN
association	vereniging	association	vereniging	N;SG	N;MASC+FEM;SG
association	associatie	association	associatie	N;SG	N;MASC+FEM;SG
down	omlaag	down	omlaag	ADV	ADV
given	gegeven	give	geven	V;PST;V.PTCP	V;V.PTCP
source	bron	source	bron	N;SG	N;MASC+FEM;SG
man	man	man	man	N;SG	N;MASC+FEM;SG
version	versie	version	versie	N;SG	N;MASC+FEM;SG
written	geschreven	write	schrijven	V;PST;V.PTCP	V;V.PTCP
created	aangemaakt	create	aanmaken	V;PST;V.PTCP	V;V.PTCP
created	gecreëerd	create	creëren	V;PST;V.PTCP	V;V.PTCP
created	gemaakt	create	maken	V;PST;V.PTCP	V;V.PTCP
created	geschapen	create	scheppen	V;PST;V.PTCP	V;V.PTCP
black	zwarte	black	zwart	ADJ	ADJ
black	zwart	black	zwart	ADJ	ADJ
report	verslag	report	verslag	N;SG	N;NEUT;SG
report	rapport	report	rapport	N;SG	N;NEUT;SG
take	neem	take	nemen	V;IMP;FIN	V;SG;PRS;FIN
take	nemen	take	nemen	V;IMP;FIN	V;NFIN
division	divisie	division	divisie	N;SG	N;MASC+FEM;SG
division	afdeling	division	afdeling	N;SG	N;MASC+FEM;SG
division	deling	division	deling	N;SG	N;MASC+FEM;SG
division	division	division	division	N;SG	N;MASC+FEM;SG
comment	reactie	comment	reactie	N;SG	N;MASC+FEM;SG
comment	comment	comment	comment	N;SG	N;MASC+FEM;SG
comment	opmerking	comment	opmerking	N;SG	N;MASC+FEM;SG
comment	commentaar	comment	commentaar	N;SG	N;NEUT;SG
king	konings	king	koning	N;SG	N;SG
king	king	king	kingen	N;SG	N;MASC+FEM;SG
king	koning	king	koning	N;SG	N;MASC+FEM;SG
edit	edit	edit	edit	N;SG	N;MASC+FEM;SG
stadium	stadion	stadium	stadion	N;SG	N;NEUT;SG
stadium	stadium	stadium	stadium	N;SG	N;NEUT;SG
died	gestorven	die	sterven	V;IND;PST;FIN	V;V.PTCP
died	overleden	die	overlijden	V;IND;PST;FIN	V;V.PTCP
died	stierf	die	sterven	V;IND;PST;FIN	V;SG;PST;FIN
ship	schip	ship	schip	N;SG	N;NEUT;SG
research	onderzoek	research	onderzoek	N;SG	N;NEUT;SG
research	research	research	research	N;SG	N;MASC+FEM;SG
record	record	record	record	N;SG	N;NEUT;SG
archive	archief	archive	archief	N;SG	N;NEUT;SG
places	plaatsen	place	plaats	N;PL	N;PL
cup	kopje	cup	kopje	N;SG	N;NEUT;SG
cup	beker	cup	beker	N;SG	N;MASC+FEM;SG
records	records	record	record	N;PL	N;PL
often	dikwijls	often	dikwijls	ADV	ADV
received	ontvangen	receive	ontvangen	V;PST;V.PTCP	V;V.PTCP
side	kant	side	kant	N;SG	N;MASC+FEM;SG
side	zijde	side	zijde	N;SG	N;MASC+FEM;SG
side	zijkant	side	zijkant	N;SG	N;MASC+FEM;SG
power	macht	power	macht	N;SG	N;MASC+FEM;SG
power	kracht	power	kracht	N;SG	N;MASC+FEM;SG
power	power	power	power	N;SG	N;MASC+FEM;SG
power	vermogen	power	vermogen	N;SG	N;NEUT;SG
education	opvoeding	education	opvoeding	N;SG	N;MASC+FEM;SG
education	onderwijs	education	onderwijs	N;SG	N;NEUT;SG
know	weten	know	weten	V;IND;PRS;FIN	V;NFIN
know	weet	know	weten	V;IND;PRS;FIN	V;SG;PRS;FIN
category	categorie	category	categorie	N;SG	N;MASC+FEM;SG
water	water	water	water	N;SG	N;NEUT;SG
political	politieke	political	politiek	ADJ	ADJ
species	diersoorten	species	diersoort	N;PL	N;PL
species	soorten	species	soort	N;PL	N;PL
field	veld	field	veld	N;SG	N;NEUT;SG
video	filmpje	video	filmp	N;SG	N;NEUT;SG
video	video	video	video	N;SG	N;MASC+FEM;SG
island	eiland	island	eiland	N;SG	N;NEUT;SG
form	vorm	form	vorm	N;SG	N;MASC+FEM;SG
form	formulier	form	formulier	N;SG	N;NEUT;SG
find	vinden	find	vinden	V;IMP;FIN	V;NFIN
find	vind	find	vinden	V;IMP;FIN	V;SG;PRS;FIN
served	gediend	serve	dienen	V;PST;V.PTCP	V;V.PTCP
served	opgediend	serve	opdienen	V;PST;V.PTCP	V;V.PTCP
served	geserveerd	serve	serveren	V;PST;V.PTCP	V;V.PTCP
project	project	project	project	N;SG	N;NEUT;SG
radio	radio	radio	radio	N;SG	N;MASC+FEM;SG
works	werkt	work	werken	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
works	werken	work	werken	V;IND;SG;3;PRS;FIN	V;NFIN
proposed	voorgestelde	propose	voorstellen	V;PST;V.PTCP	V;V.PTCP
proposed	voorgesteld	propose	voorstellen	V;PST;V.PTCP	V;V.PTCP
every	iedere	every	ieder	DET	DET
every	elke	every	elk	DET	DET
development	ontwikkeling	development	ontwikkeling	N;SG	N;MASC+FEM;SG
example	voorbeeld	example	voorbeeld	N;SG	N;NEUT;SG
live	leef	live	leven	V;IMP;FIN	V;SG;PRS;FIN
union	union	union	union	N;SG	N;MASC+FEM;SG
union	vakbond	union	vakbond	N;SG	N;MASC+FEM;SG
union	unie	union	unie	N;SG	N;MASC+FEM;SG
special	speciaal	special	speciaal	ADJ	ADJ
special	bijzonder	special	bijzonder	ADJ	ADJ
special	speciale	special	speciaal	ADJ	ADJ
court	hof	court	hof	N;SG	N;NEUT;SG
region	regio	region	regio	N;SG	N;MASC+FEM;SG
little	kleine	little	klein	ADJ	ADJ
little	klein	little	klein	ADJ	ADJ
short	kort	short	kort	ADJ	ADJ
short	korte	short	kort	ADJ	ADJ
province	provincie	province	provincie	N;SG	N;MASC+FEM;SG
western	westelijk	western	westelijk	ADJ	ADJ
son	zoon	son	zoon	N;SG	N;MASC+FEM;SG
son	son	son	son	N;SG	N;MASC+FEM;SG
council	raad	council	raad	N;SG	N;MASC+FEM;SG
current	huidig	current	huidig	ADJ	ADJ
current	huidige	current	huidig	ADJ	ADJ
current	actueel	current	actueel	ADJ	ADJ
