võtmine	braní	võtmine	braní	N;NOM;SG	N;NOM;NEUT;SG;POS
laager	tábor	laager	tábor	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
saatja	vysílač	saatja	vysílač	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
saatja	odesílatel	saatja	odesílatel	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
price	cena	price	cena	N;NOM;SG	N;NOM;FEM;SG;POS
sõltuv	závislé	sõltuv	závislý	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;NEUT;SG;POS
sõltuv	závislý	sõltuv	závislý	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;INAN;NOM;MASC;SG;POS
sõltuv	závislá	sõltuv	závislý	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;FEM;SG;POS
tunnistab	uznává	tunnistama	uznávat	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
tunnistab	přiznává	tunnistama	přiznávat	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
tunnistab	přizná	tunnistama	přiznat	V;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN;ACT
tunnistab	připouští	tunnistama	připouštět	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
tunnistab	uznává	tunnistama	uznávat	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
index	index	index	index	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
index	rejstřík	index	rejstřík	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
tarbija	spotřebitel	tarbija	spotřebitel	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
mündid	mince	münt	mince	N;NOM;PL	N;NOM;FEM;PL;POS
vastutus	ručení	vastutus	ručení	N;NOM;SG	N;NOM;NEUT;SG;POS
vastutus	odpovědnost	vastutus	odpovědnost	N;NOM;SG	N;NOM;FEM;SG;POS
vastutus	zodpovědnost	vastutus	zodpovědnost	N;NOM;SG	N;NOM;FEM;SG;POS
vastutus	odpovědnost	vastutus	odpovědnost	N;NOM;SG	N;NOM;FEM;SG;POS
vastutus	zodpovědnost	vastutus	zodpovědnost	N;NOM;SG	N;NOM;FEM;SG;POS
vastutus	odpovědnost	vastutus	odpovědnost	N;NOM;SG	N;NOM;FEM;SG;POS
arusaadav	pochopitelné	aru_saadav	pochopitelný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;NEUT;SG;POS
lõpmatu	nekonečná	lõpmatu	konečný	ADJ;NOM;SG	ADJ;NOM;FEM;SG;NEG
lõpmatu	nekonečné	lõpmatu	konečný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;NEG
lõpmatu	nekonečný	lõpmatu	konečný	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;NEG
struve	struve	struve	struva	N;NOM;SG	N;NOM;FEM;SG;POS
osatähtsus	intenzita	osa_tähtsus	intenzita	N;NOM;SG	N;NOM;FEM;SG;POS
dean	deane	deadma	deane	N;NOM;SG	N;NOM;MASC;SG;POS
dean	děkan	deadma	děkan	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
seisukohad	výhledy	seisu_koht	výhled	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
seisukohad	pohledy	seisu_koht	pohled	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
seisukohad	názory	seisu_koht	názor	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
sakslane	němčina	sakslane	němčina	N;NOM;SG	N;NOM;FEM;SG;POS
mozart	mozart	mozart	mozart	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
vaidlused	spory	vaidlus	spor	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
lugemine	čtení	lugemine	čtení	N;NOM;SG	N;NOM;NEUT;SG;POS
vertikaalselt	vertikálně	vertikaalselt	vertikálně	ADV	ADV;POS
dünaamika	dynamika	dünaamika	dynamika	N;NOM;SG	N;NOM;FEM;SG;POS
dünaamika	dynamics	dünaamika	dynamics	N;NOM;SG	N;NOM;MASC;SG;POS
dünaamika	dynamika	dünaamika	dynamika	N;NOM;SG	N;NOM;FEM;SG;POS
muhammad	muhammad	muhamm	muhammad	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
muhammad	mohamed	muhamm	mohamed	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
tutvustab	zavádí	tutvustama	zavádět	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
kinnine	uzavřené	kinnine	uzavřený	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS
kinnine	zavřeno	kinnine	zavřený	ADJ;NOM;SG	ADJ;NEUT;SG;POS;V.PTCP;PASS
kinnine	uzavřený	kinnine	uzavřený	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
kinnine	zavřené	kinnine	zavřený	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS
kirjuta	psát	kirjutama	psát	V;IMP;SG;2;PRS;FIN;ACT	V;POS;NFIN
kirjuta	napsat	kirjutama	napsat	V;IMP;SG;2;PRS;FIN;ACT	V;POS;NFIN
täpsus	přesnost	täpsus	přesnost	N;NOM;SG	N;NOM;FEM;SG;POS
täpsus	přesnost	täpsus	přesnost	N;NOM;SG	N;NOM;FEM;SG;POS
täpsus	správnost	täpsus	správnost	N;NOM;SG	N;NOM;FEM;SG;POS
täpsus	přesnost	täpsus	přesnost	N;NOM;SG	N;NOM;FEM;SG;POS
täpsus	přesnosti	täpsus	přesnost	N;NOM;SG	N;NOM;FEM;SG;POS
kombinatsioon	kombinace	kombinatsioon	kombinace	N;NOM;SG	N;NOM;FEM;SG;POS
christie	christie	christie	christie	N;NOM;SG	N;NOM;FEM;SG;POS
üliõpilane	studentka	üli_õpilane	studentka	N;NOM;SG	N;NOM;FEM;SG;POS
üliõpilane	žák	üli_õpilane	žák	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
üliõpilane	student	üli_õpilane	student	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
vöö	pásek	vöö	pásek	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
vöö	pás	vöö	pás	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
vöö	opasek	vöö	opasek	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
valley	údolí	valley	údolí	N;NOM;SG	N;NOM;NEUT;SG;POS
mars	marsu	mars	marsu	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
mars	mars	mars	mars	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
kõrgused	výšky	kõrgune	výška	N;NOM;PL	N;NOM;FEM;PL;POS
põhjendatud	odůvodněné	põhjenda=tud	odůvodněný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS
põhjendatud	odůvodněné	põhjenda=tud	odůvodněný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS
põhjendatud	oprávněné	põhjenda=tud	oprávněný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS
põhjendatud	oprávněná	põhjenda=tud	oprávněný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS
põhjendatud	oprávněný	põhjenda=tud	oprávněný	ADJ;PST;V.PTCP;PASS	ADJ;INAN;NOM;MASC;SG;POS
seksuaalne	pohlavní	seksuaalne	pohlavní	ADJ;NOM;SG	ADJ;NOM;MASC;SG;POS
seksuaalne	sexuální	seksuaalne	sexuální	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
juurdepääs	přístup	juurde_pääs	přístup	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
juurdepääs	zpřístupnění	juurde_pääs	zpřístupnění	N;NOM;SG	N;NOM;NEUT;SG;POS
juurdepääs	dostupnost	juurde_pääs	dostupnost	N;NOM;SG	N;NOM;FEM;SG;POS
igavene	věčné	igavene	věčný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS
igavene	věčná	igavene	věčný	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
igavene	věčný	igavene	věčný	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
ootamatu	nečekané	ootamatu	čekaný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;NEG
ootamatu	neočekávané	ootamatu	očekávaný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;NEG
ootamatu	nečekaný	ootamatu	čekaný	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;NEG
bayern	bayern	bayern	bayern	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
madu	had	madu	had	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
madu	had	madu	had	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
tükk	kousek	tükk	kousek	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
tükk	kus	tükk	kus	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
tasakaal	rovnováha	tasa_kaal	rovnováha	N;NOM;SG	N;NOM;FEM;SG;POS
tasakaal	vyvážení	tasa_kaal	vyvážení	N;NOM;SG	N;NOM;NEUT;SG;POS
tasakaal	bilance	tasa_kaal	bilance	N;NOM;SG	N;NOM;FEM;SG;POS
tasakaal	zůstatek	tasa_kaal	zůstatek	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
tasakaal	rovnováha	tasa_kaal	rovnováha	N;NOM;SG	N;NOM;FEM;SG;POS
mateeria	hmota	mateeria	hmota	N;NOM;SG	N;NOM;FEM;SG;POS
olend	stvoření	olend	stvoření	N;NOM;SG	N;NOM;NEUT;SG;POS
olend	tvor	olend	tvor	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
neutraalne	neutrální	neutraalne	neutrální	ADJ;NOM;SG	ADJ;NOM;MASC;SG;POS
discovery	nález	discovery	nález	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
discovery	objevování	discovery	objevování	N;NOM;SG	N;NOM;NEUT;SG;POS
discovery	objev	discovery	objev	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
omavalitsused	obce	oma_valitsus	obec	N;NOM;PL	N;NOM;FEM;PL;POS
sööt	krmení	sööt	krmení	N;NOM;SG	N;NOM;NEUT;SG;POS
sööt	krmivo	sööt	krmivo	N;NOM;SG	N;NOM;NEUT;SG;POS
sööt	návnada	sööt	návnada	N;NOM;SG	N;NOM;FEM;SG;POS
tüür	kormidlo	tüür	kormidlo	N;NOM;SG	N;NOM;NEUT;SG;POS
mootorid	motory	mootor	motor	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
mootorid	motory	mootor	motor	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
läbipaistev	průsvitné	läbi_paistev	průsvitný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;NEUT;SG;POS
läbipaistev	průhledné	läbi_paistev	průhledný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;NEUT;SG;POS
läbipaistev	průhledný	läbi_paistev	průhledný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;INAN;NOM;MASC;SG;POS
läbipaistev	transparentní	läbi_paistev	transparentní	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;MASC;SG;POS
keiserlik	císařský	keiserlik	císařský	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
keiserlik	imperiální	keiserlik	imperiální	ADJ;NOM;SG	ADJ;NOM;MASC;SG;POS
lineaarne	lineární	lineaarne	lineární	ADJ;NOM;SG	ADJ;NOM;MASC;SG;POS
muda	kal	muda	kal	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
muda	bahno	muda	bahno	N;NOM;SG	N;NOM;NEUT;SG;POS
muda	bláto	muda	bláto	N;NOM;SG	N;NOM;NEUT;SG;POS
mõõtmine	měření	mõõtmine	měření	N;NOM;SG	N;NOM;NEUT;SG;POS
mõõtmine	měření	mõõtmine	měření	N;NOM;SG	N;NOM;NEUT;SG;POS
mõõtmine	měření	mõõtmine	měření	N;NOM;SG	N;NOM;NEUT;SG;POS
õnnetus	havárie	õnnetus	havárie	N;NOM;SG	N;NOM;FEM;SG;POS
õnnetus	nehoda	õnnetus	nehoda	N;NOM;SG	N;NOM;FEM;SG;POS
õnnetus	úraz	õnnetus	úraz	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
semper	semper	semper	semper	N;NOM;SG	N;NOM;MASC;SG;POS
tragöödia	tragédie	tragöödia	tragedie	N;NOM;SG	N;NOM;FEM;SG;POS
eeldused	předpoklady	eeldus	předpoklad	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
eeldused	předpoklady	eeldus	předpoklad	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
eeldused	domněnky	eeldus	domněnka	N;NOM;PL	N;NOM;FEM;PL;POS
valdkond	oblast	valdkond	oblast	N;NOM;SG	N;NOM;FEM;SG;POS
valdkond	plocha	valdkond	plocha	N;NOM;SG	N;NOM;FEM;SG;POS
vulgaris	vulgaris	vulgar	vulgaris	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
marge	marge	marg	marge	N;NOM;SG	N;NOM;FEM;SG;POS
pen	tužka	pen	tužka	N;NOM;SG	N;NOM;FEM;SG;POS
pen	pero	pen	pero	N;NOM;SG	N;NOM;NEUT;SG;POS
arendab	vyvíjí	arendama	vyvíjet	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
arendab	rozvíjí	arendama	rozvíjet	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
kommentaar	komentář	kommentaar	komentář	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
armastaja	milenec	armastaja	milenec	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
armastaja	milenka	armastaja	milenka	N;NOM;SG	N;NOM;FEM;SG;POS
armastaja	milence	armastaja	milenec	N;NOM;SG	N;NOM;FEM;SG;POS
armastaja	milovník	armastaja	milovník	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
orange	pomeranč	orang	pomeranč	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
sõnaraamat	slovník	sõna_raamat	slovník	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
odavam	levnější	odavam	levný	ADJ;NOM;CMPR;SG	ADJ;NOM;CMPR;MASC;SG;POS
edge	okraj	edge	okraj	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
kiili	vážka	kiil	vážka	N;NOM;SG	N;NOM;FEM;SG;POS
individuaalne	individuální	individuaalne	individuální	ADJ;NOM;SG	ADJ;NOM;MASC;SG;POS
myspace	myspace	myspace	myspace	N;NOM;SG	N;NOM;FEM;SG;POS
robot	robot	robot	robot	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
robot	robota	robot	robot	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
geneetiliselt	geneticky	geneetiliselt	geneticky	ADV	ADV;POS
pilv	oblak	pilv	oblak	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
pilv	mrak	pilv	mrak	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
pilv	cloud	pilv	cloud	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
litsents	licence	litsents	licence	N;NOM;SG	N;NOM;FEM;SG;POS
litsents	licence	litsents	licence	N;NOM;SG	N;NOM;FEM;SG;POS
kristlus	křesťanství	kristlus	křesťanství	N;NOM;SG	N;NOM;NEUT;SG;POS
java	java	java	java	N;NOM;SG	N;NOM;NEUT;SG;POS
säilitab	zachová	säilitama	zachovat	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;POS;PRS;FIN;ACT
säilitab	zachovává	säilitama	zachovávat	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
säilitab	zachovává	säilitama	zachovávat	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
säilitab	udržuje	säilitama	udržovat	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
konsul	konzul	konsul	konzul	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
rõõm	potěšení	rõõm	potěšení	N;NOM;SG	N;NOM;NEUT;SG;POS
rõõm	rozkoš	rõõm	rozkoš	N;NOM;SG	N;NOM;FEM;SG;POS
rõõm	radosti	rõõm	radost	N;NOM;SG	N;NOM;FEM;SG;POS
rõõm	radost	rõõm	radost	N;NOM;SG	N;NOM;FEM;SG;POS
olümpia	olympic	olümpia	olympic	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
dünaamiline	dynamický	dünaamiline	dynamický	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
dünaamiline	dynamická	dünaamiline	dynamický	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
dünaamiline	dynamické	dünaamiline	dynamický	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS
järg	pokračování	järg	pokračování	N;NOM;SG	N;NOM;NEUT;SG;POS
jelizaveta	jelizaveta	jelizaveta	jelizavet	N;NOM;SG	N;NOM;FEM;SG;POS
seen	plíseň	seen	plíseň	N;NOM;SG	N;NOM;FEM;SG;POS
seen	houba	seen	houba	N;NOM;SG	N;NOM;FEM;SG;POS
thor	thor	thor	thor	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
terav	ostrý	terav	ostrý	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
terav	ostré	terav	ostrý	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS
terav	ostrá	terav	ostrý	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
foorum	fórum	foorum	fórum	N;NOM;SG	N;NOM;NEUT;SG;POS
foorum	forum	foorum	forum	N;NOM;SG	N;NOM;NEUT;SG;POS
luuletus	báseň	luuletus	báseň	N;NOM;SG	N;NOM;FEM;SG;POS
õpetab	učí	õpetama	učit	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
sõnumid	zprávy	sõnum	zpráva	N;NOM;PL	N;NOM;FEM;PL;POS
sõnumid	vzkazy	sõnum	vzkaz	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
cat	kocka	cat	kocka	N;NOM;SG	N;NOM;FEM;SG;POS
cat	kočka	cat	kočka	N;NOM;SG	N;NOM;FEM;SG;POS
cat	kocour	cat	kocour	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
kajastab	odráží	kajastama	odrážet	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
gnu	gnu	gnu	gno	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
faktid	fakta	fakt	faktum	N;NOM;PL	N;NOM;NEUT;PL;POS
diameeter	průměr	diameeter	průměr	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
gloria	glorie	gloria	glorie	N;NOM;SG	N;NOM;FEM;SG;POS
gloria	gloria	gloria	gloria	N;NOM;SG	N;NOM;FEM;SG;POS
kursused	kurzy	kursus	kurs	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
horisontaalselt	vodorovně	horisontaalselt	vodorovně	ADV	ADV;POS
suurenemine	navýšení	suurenemine	navýšení	N;NOM;SG	N;NOM;NEUT;SG;POS
suurenemine	zvýšení	suurenemine	zvýšení	N;NOM;SG	N;NOM;NEUT;SG;POS
suurenemine	nárůst	suurenemine	nárůst	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
institutsioonid	instituce	institutsioon	instituce	N;NOM;PL	N;NOM;FEM;PL;POS
romantiline	romantický	romantiline	romantický	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
romantiline	romantická	romantiline	romantický	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
romantiline	romantické	romantiline	romantický	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS
uhke	pyšný	uhke	pyšný	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG;POS
uhke	hrdá	uhke	hrdý	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
uhke	pyšná	uhke	pyšný	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
uhke	hrdý	uhke	hrdý	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG;POS
vista	vista	vistma	vista	N;NOM;SG	N;NOM;MASC;SG;POS
marianne	marianne	marianne	marianne	N;NOM;SG	N;NOM;FEM;SG;POS
tegija	tvůrce	tegija	tvůrce	N;NOM;SG	N;ANIM;NOM;MASC;SG;POS
pinnas	hlína	pind	hlína	N;NOM;SG	N;NOM;FEM;SG;POS
pinnas	půda	pind	půda	N;NOM;SG	N;NOM;FEM;SG;POS
kodakondsus	národnosti	kodakondsus	národnost	N;NOM;SG	N;NOM;FEM;SG;POS
kodakondsus	občanství	kodakondsus	občanství	N;NOM;SG	N;NOM;NEUT;SG;POS
ajavahemik	období	aja_vahemik	období	N;NOM;SG	N;NOM;NEUT;SG;POS
standardid	normy	standard	norma	N;NOM;PL	N;NOM;FEM;PL;POS
standardid	standardy	standard	standard	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
allveelaev	ponorka	all_vee_laev	ponorka	N;NOM;SG	N;NOM;FEM;SG;POS
albumid	alba	album	album	N;NOM;PL	N;NOM;NEUT;PL;POS
pühendunud	spáchal	pühenduma	spáchat	V;PST;V.PTCP;ACT	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
liigitada	klasifikovat	liigitama	klasifikovat	V;NFIN	V;POS;NFIN
tasapisi	pomalu	tasa_pisi	pomalu	ADV	ADV
resolutsioon	usnesení	resolutsioon	usnesení	N;NOM;SG	N;NOM;NEUT;SG;POS
resolutsioon	rozlišení	resolutsioon	rozlišení	N;NOM;SG	N;NOM;NEUT;SG;POS
resolutsioon	rezoluce	resolutsioon	rezoluce	N;NOM;SG	N;NOM;FEM;SG;POS
philadelphia	philadelphie	philadelphia	philadelphie	N;NOM;SG	N;NOM;FEM;SG;POS
