podijelili	chia	podijeliti	chia	V;MASC;PL;PST;V.PTCP;ACT	V
louisa	louisa	louis	louisa	N;ANIM;ACC;MASC;SG	N
odiseja	odysseus	odiseja	odysseus	N;NOM;MASC;SG	N
odiseja	odyssey	odiseja	odyssey	N;NOM;MASC;SG	N
odiseja	odysseus	odiseja	odysseus	N;NOM;MASC;SG	N
odiseja	ulysses	odiseja	ulysses	N;NOM;MASC;SG	N
duhovi	ma	duh	ma	N;NOM;MASC;PL	N
kurija	curia	kurija	curia	N;NOM;FEM;SG	N
naupactus	naupactus	naupactus	naupactus	N;DAT;MASC;SG	N
aids	aids	aids	aids	N;NOM;MASC;SG	N
olova	chì	olovo	chì	N;GEN;MASC;SG	N
blackburn	blackburn	blackburn	blackburn	N;NOM;FEM;SG	N
isusovci	jesuits	isusovca	jesuits	N;NOM;MASC;PL	N
seine	seine	seinuti	seine	N;NOM;MASC;SG	N
bono	bono	bono	bono	N;NOM;MASC;SG	N
kristijan	nguyen	kristijan	nguyen	N;NOM;MASC;SG	N
dušik	nitơ	dušik	nitơ	N;NOM;MASC;SG	N
dušik	nitrogen	dušik	nitrogen	N;NOM;MASC;SG	N
arsenala	arsenal	arsenal	arsenal	N;ACC;MASC;SG	N
galaksije	galaxies	galaksija	galaxies	N;NOM;FEM;PL	N
galaksije	galaxy	galaksija	galaxy	N;NOM;FEM;PL	N
mozart	mozart	mozart	mozart	N;NOM;MASC;SG	N
alžiru	algeria	alžira	algeria	N;DAT;MASC;SG	N
alžiru	algérie	alžira	algérie	N;DAT;MASC;SG	N
gripe	cúm	gripa	cúm	N;NOM;FEM;PL	N
gripe	cúm	gripa	cúm	N;NOM;FEM;PL	N
jessica	jessica	jessica	jessica	N;NOM;FEM;SG	N
rupu	hố	rupa	hố	N;ACC;FEM;SG	N
htv	htv	htv	htv	N;NOM;MASC;SG	N
habsburg	habsburg	habsburg	habsburg	N;NOM;MASC;SG	N
govornik	loa	govornik	loa	N;NOM;MASC;SG	N
plazma	plasma	plazma	plasma	N;NOM;FEM;SG	N
majmuni	khỉ	majmun	khỉ	N;NOM;MASC;PL	N
majmuni	khỉ	majmun	khỉ	N;NOM;MASC;PL	N
drveće	cây	drveće	cây	N;NOM;NEUT;SG	N
gta	gta	gta	gta	N;NOM;MASC;SG	N
komičar	comic	komičar	comic	N;NOM;MASC;SG	N
komičar	comedian	komičar	comedian	N;NOM;MASC;SG	N
demon	daemon	demon	daemon	N;NOM;MASC;SG	N
demon	khổn	demon	khổn	N;NOM;MASC;SG	N
demon	quỷ	demon	quỷ	N;NOM;MASC;SG	N
dyar	dyar	dyar	dyar		
mata	mata	mata	mata	N;NOM;MASC;SG	N
dlake	lông	dlak	lông	N;NOM;FEM;PL	N
palmer	palmer	palmer	palmer	N;NOM;MASC;SG	N
prometej	prometheus	prometej	prometheus	N;NOM;MASC;SG	N
slojeve	lớp	sloj	lớp	N;ACC;MASC;PL	N
pčela	ong	pčela	ong	N;NOM;FEM;SG	N
geni	gien	gena	gien	N;NOM;MASC;PL	N
ace	ách	ace	ách	N;NOM;MASC;SG	N
lisac	cáo	lisac	cáo	N;NOM;MASC;SG	N
spriječi	ngăn	spriječiti	ngăn	V;IND;SG;3;PRS;FIN	V
strijela	arrow	strijela	arrow	N;NOM;FEM;SG	N
snake	rắn	snak	rắn	N;NOM;MASC;SG	N
cicurina	cicurina	cicurina	cicurina	N;NOM;MASC;SG	N
gej	gay	gej	gay	N;NOM;MASC;SG	N
suzuki	suzuki	suzuki	suzuki	N;NOM;MASC;SG	N
savjete	mẹo	savjet	mẹo	N;ACC;MASC;PL	N
bilbao	bilbao	bilbati	bilbao	N;NOM;MASC;SG	N
spinosa	spinosa	spinos	spinosa	N;NOM;FEM;SG	N
vaga	libra	vag	libra	N;NOM;FEM;SG	N
coca	coca	coca	coca	N;NOM;MASC;SG	N
vizija	vision	vizija	vision	N;NOM;FEM;SG	N
libiji	libya	libija	libya	N;DAT;FEM;SG	N
nigeriji	nigeria	nigerij	nigeria	N;DAT;FEM;SG	N
slogan	slogan	slogan	slogan	N;NOM;MASC;SG	N
pine	thông	pina	thông		
richter	richter	richter	richter	N;NOM;MASC;SG	N
nikla	nickel	nikao	nickel	N;NOM;FEM;SG	N
nikla	niken	nikao	niken	N;NOM;FEM;SG	N
ziziphus	ziziphus	ziziphus	ziziphus	N;DAT;MASC;SG	N
petit	petit	petiti	petit	N;NOM;MASC;SG	N
wyoming	wyoming	wyoming	wyoming	N;NOM;MASC;SG	N
tkanine	vải	tkanina	vải	N;NOM;FEM;PL	N
tkanine	vải	tkanina	vải	N;NOM;FEM;PL	N
starks	starks	starks	starks		
asfalt	nhựa	asfalt	nhựa	N;NOM;MASC;SG	N
drugačija	khác	drugačiji	khác	ADJ;NOM;DEF;FEM;SG	ADJ
kanale	kênh	kanal	kênh	N;ACC;MASC;PL	N
baku	baku	baka	baku	N;ACC;FEM;SG	N
napajanje	lực	napajanje	lực	N;NOM;NEUT;SG	N
olympique	olympique	olympišue	olympique	N;NOM;MASC;SG	N
alge	alger	alga	alger	N;NOM;FEM;PL	N
subst	subst	subst	subst		
grobovi	đào	grob	đào	N;NOM;MASC;PL	N
asura	asura	asura	asura	N;NOM;MASC;SG	N
svod	hầm	svod	hầm	N;NOM;MASC;SG	N
hamburgu	hamburg	hamburg	hamburg	N;DAT;MASC;SG	N
mirza	mirza	mirza	mirza	N;NOM;MASC;SG	N
klarinet	clarinet	klarinet	clarinet	N;NOM;MASC;SG	N
emirata	emirates	emirat	emirates	N;GEN;MASC;SG	N
posudio	mượn	posuditi	mượn	V;MASC;SG;PST;V.PTCP;ACT	V
kur	koran	kur	koran	N;NOM;MASC;SG	N
kuvajt	kuwait	kuvajt	kuwait	N;NOM;MASC;SG	N
skica	sketch	skica	sketch	N;NOM;FEM;SG	N
miješanje	shuffle	miješanje	shuffle	N;NOM;NEUT;SG	N
ferreira	ferreira	ferreirati	ferreira	N;NOM;MASC;SG	N
panama	panama	panam	panama	N;NOM;FEM;SG	N
kanu	kano	kana	kano	N;NOM;NEUT;SG	N
kanu	xuồng	kana	xuồng	N;NOM;NEUT;SG	N
kanu	canoe	kana	canoe	N;NOM;NEUT;SG	N
federer	federer	federer	federer	N;NOM;MASC;SG	N
prašina	bụi	prašina	bụi	N;NOM;FEM;SG	N
prašina	chốn	prašina	chốn	N;NOM;FEM;SG	N
hlače	quần	hlača	quần	N;NOM;FEM;PL	N
hlače	quần	hlača	quần	N;NOM;FEM;PL	N
pilar	pilar	pilar	pilar	N;NOM;MASC;SG	N
atenu	athens	atena	athens	N;ACC;FEM;SG	N
demona	khổn	demona	khổn	N;ACC;MASC;SG	N
demona	quỷ	demona	quỷ	N;ACC;MASC;SG	N
topovi	pháo	top	pháo	N;NOM;MASC;PL	N
minutus	minutus	minutus	minutus	N;ACC;FEM;SG	N
ponosa	ngạo	ponos	ngạo	N;GEN;MASC;SG	N
johanna	johanna	johanan	johanna	N;NOM;FEM;SG	N
fasciata	fasciata	fasciat	fasciata	N;NOM;MASC;SG	N
spava	ngủ	spavati	ngủ	V;IND;SG;3;PRS;FIN	V
saussure	saussure	saussura	saussure	N;NOM;FEM;SG	N
rhode	rhode	rhoditi	rhode	N;NOM;FEM;SG	N
neptun	neptune	neptun	neptune	N;NOM;MASC;SG	N
biomase	biomass	biomas	biomass	N;NOM;FEM;PL	N
zoo	thú	zoo	thú	N;NOM;MASC;SG	N
zoo	zoo	zoo	zoo	N;NOM;MASC;SG	N
xestia	xestia	xestia	xestia	N;NOM;MASC;SG	N
komuna	xã	komuna	xã	N;NOM;FEM;SG	N
robot	robot	robot	robot	N;NOM;MASC;SG	N
barb	barb	barb	barb		
gvajana	guyana	gvajati	guyana	N;NOM;FEM;SG	N
šok	sốc	šok	sốc	N;NOM;MASC;SG	N
kori	vỏ	kora	vỏ	N;DAT;FEM;SG	N
ostvari	đạt	ostvariti	đạt	V;IND;SG;3;PRS;FIN	V
pati	chịu	patiti	chịu	V;IND;SG;3;PRS;FIN	V
quoy	quoy	quoy	quoy		
earl	lô	earl	lô	N;NOM;MASC;SG	N
posjetitelje	khách	posjetitelj	khách	N;ACC;MASC;PL	N
objavi	đăng	objaviti	đăng	V;IND;SG;3;PRS;FIN	V
objavi	đăng	objaviti	đăng	V;IND;SG;3;PRS;FIN	V
ljuske	vảy	ljuska	vảy	N;NOM;FEM;PL	N
ljuske	vảy	ljuska	vảy	N;NOM;FEM;PL	N
bolesnik	bệnh	bolesnik	bệnh	N;NOM;MASC;SG	N
bolesnik	cúm	bolesnik	cúm	N;NOM;MASC;SG	N
gaius	gaius	gaius	gaius	N;NOM;MASC;SG	N
ninja	ninja	ninja	ninja	N;NOM;MASC;SG	N
claudia	claudia	claudia	claudia	N;NOM;FEM;SG	N
obavijest	chuông	obavijest	chuông	N;NOM;FEM;SG	N
obavijest	quận	obavijest	quận	N;NOM;FEM;SG	N
mitovi	myths	mit	myths	N;NOM;MASC;PL	N
erigone	erigone	erigon	erigone		
uske	hẹp	uzak	hẹp	ADJ;NOM;DEF;FEM;PL	ADJ
putevi	banner	put	banner	N;NOM;MASC;PL	N
milo	milo	milo	milo	N;NOM;MASC;SG	N
zrcalo	gương	zrcati	gương	N;NOM;NEUT;SG	N
kuka	hook	kuka	hook	N;NOM;MASC;SG	N
kuka	móc	kuka	móc	N;NOM;MASC;SG	N
kamenica	oyster	kamenica	oyster	N;NOM;FEM;SG	N
kamenica	hàu	kamenica	hàu	N;NOM;FEM;SG	N
plaće	lương	plaća	lương	N;NOM;FEM;PL	N
plaće	lương	plaća	lương	N;NOM;FEM;PL	N
giacomo	giacomo	giacom	giacomo	N;NOM;MASC;SG	N
mostovi	cầu	most	cầu	N;NOM;MASC;PL	N
kolumbo	columbus	kolumbo	columbus	N;NOM;MASC;SG	N
prozori	windows	prozor	windows	N;NOM;MASC;PL	N
tumor	bướu	tumor	bướu	N;NOM;MASC;SG	N
medina	medina	medini	medina	N;NOM;FEM;SG	N
grah	bean	grah	bean	N;NOM;MASC;SG	N
pepeo	chua	pepeo	chua	N;NOM;MASC;SG	N
tanka	mỏng	tanka	mỏng	ADJ;NOM;DEF;FEM;SG	ADJ
tanka	gầy	tanka	gầy	ADJ;NOM;DEF;FEM;SG	ADJ
lars	lars	lars	lars	N;NOM;MASC;SG	N
zabava	fun	zabava	fun	N;NOM;FEM;SG	N
zabava	ké	zabava	ké	N;NOM;FEM;SG	N
zabava	đảng	zabava	đảng	N;NOM;FEM;SG	N
zabava	tiệc	zabava	tiệc	N;NOM;FEM;SG	N
zabava	entertainment	zabava	entertainment	N;NOM;FEM;SG	N
arabiji	rập	arabija	rập	N;DAT;FEM;SG	N
villiers	villiers	villiers	villiers		
auguste	auguste	august	auguste	N;NOM;FEM;SG	N
python	python	python	python	N;NOM;MASC;SG	N
python	trăn	python	trăn	N;NOM;MASC;SG	N
pije	uống	piti	uống	V;IND;SG;3;PRS;FIN	V
pije	uống	piti	uống	V;IND;SG;3;PRS;FIN	V
hale	hale	hali	hale	N;NOM;FEM;PL	N
mak	poppy	mak	poppy	N;NOM;MASC;SG	N
uski	hẹp	uski	hẹp	ADJ;NOM;DEF;MASC;SG	ADJ
sok	juice	sok	juice	N;NOM;MASC;SG	N
paradise	thiên	paradis	thiên	N;NOM;MASC;SG	N
cvijeta	flower	cvijet	flower	N;GEN;MASC;SG	N
cvijeta	hoa	cvijet	hoa	N;GEN;MASC;SG	N
alternativa	alternative	alternativa	alternative	N;NOM;FEM;SG	N
barcelonu	barcelona	barcelon	barcelona	N;ACC;FEM;SG	N
ksenija	xenia	ksenija	xenia	N;NOM;FEM;SG	N
thunder	sấm	thunder	sấm	N;NOM;MASC;SG	N
thunder	sét	thunder	sét	N;NOM;MASC;SG	N
lockheed	lockheed	lockheed	lockheed	N;NOM;MASC;SG	N
juniori	nhí	junior	nhí	N;NOM;MASC;PL	N
sven	sven	sven	sven	N;NOM;MASC;SG	N
gigas	gigas	gigas	gigas	N;NOM;FEM;SG	N
zeta	zeta	zeta	zeta	N;NOM;MASC;SG	N
niski	thấp	nisk	thấp	ADJ;NOM;DEF;MASC;SG	ADJ
domove	nhà	dom	nhà	N;ACC;MASC;PL	N
stanford	stanford	stanford	stanford	N;NOM;MASC;SG	N
adolfa	adolf	adolf	adolf	N;ACC;MASC;SG	N
kalcija	calcium	kalcij	calcium	N;GEN;MASC;SG	N
kalcija	canxi	kalcij	canxi	N;GEN;MASC;SG	N
pojedinosti	tiết	pojedinost	tiết	N;NOM;FEM;PL	N
chilensis	chilensis	chilensis	chilensis	N;NOM;MASC;SG	N
čaja	trà	čaj	trà	N;GEN;MASC;SG	N
čaja	tea	čaj	tea	N;GEN;MASC;SG	N
ragbi	rugby	ragba	rugby	N;NOM;MASC;SG	N
cameo	cameo	cameo	cameo	N;NOM;MASC;SG	N
bajke	fairytales	bajka	fairytales	N;NOM;FEM;PL	N
mol	mol	mol	mol	N;NOM;MASC;SG	N
farmi	farm	farma	farm	N;DAT;FEM;SG	N
waters	waters	waters	waters	N;NOM;MASC;SG	N
riješi	giải	riješiti	giải	V;IND;SG;3;PRS;FIN	V
carpenter	mộc	carpenter	mộc	N;NOM;MASC;SG	N
domaćini	máy	domaćin	máy	N;NOM;MASC;PL	N
zub	răng	zub	răng	N;NOM;MASC;SG	N
paleolog	palaiologos	paleolog	palaiologos	N;NOM;MASC;SG	N
logika	luận	logik	luận	N;NOM;FEM;SG	N
logika	logic	logik	logic	N;NOM;FEM;SG	N
deva	deva	deva	deva	N;NOM;MASC;SG	N
kotač	wheel	kotač	wheel	N;NOM;MASC;SG	N
kalibar	caliber	kalibar	caliber	N;NOM;MASC;SG	N
shakespeare	shakespeare	shakespear	shakespeare	N;NOM;MASC;SG	N
madagaskar	madagascar	madagaskar	madagascar	N;NOM;MASC;SG	N
cheng	trịnh	cheng	trịnh	N;NOM;MASC;SG	N
cheng	cheng	cheng	cheng	N;NOM;MASC;SG	N
težnje	tr	težnja	tr	N;NOM;FEM;PL	N
hirtz	hirtz	hirtz	hirtz		
mick	mick	mick	mick	N;NOM;MASC;SG	N
bljesak	flash	bljesak	flash	N;NOM;MASC;SG	N
hemsl	hemsl	hemsl	hemsl		
cilindar	trụ	cilindar	trụ	N;NOM;MASC;SG	N
varanus	varanus	varanus	varanus	N;NOM;MASC;SG	N
kukci	rệp	kukak	rệp	N;NOM;MASC;PL	N
kukci	bọ	kukak	bọ	N;NOM;MASC;PL	N
kukci	lỗi	kukak	lỗi	N;NOM;MASC;PL	N
mutacije	mutations	mutacija	mutations	N;NOM;FEM;PL	N
sibiru	siberia	sibir	siberia	N;DAT;MASC;SG	N
prst	finger	prst	finger	N;NOM;MASC;SG	N
prst	tâ	prst	tâ	N;NOM;MASC;SG	N
uskrsnuća	resurrection	uskrsnuće	resurrection	N;NOM;NEUT;PL	N
tekstila	dệt	tekstil	dệt	N;GEN;MASC;SG	N
tekstila	dệt	tekstil	dệt	N;GEN;MASC;SG	N
licem	face	licem	face	N;INS;NEUT;SG	N
licem	mặt	licem	mặt	N;INS;NEUT;SG	N
eskov	eskov	eskov	eskov		
hermes	hermes	hermes	hermes	N;NOM;MASC;SG	N
tajlandu	thailand	tajlanda	thailand	N;DAT;MASC;SG	N
laevis	laevis	laevis	laevis		
basidiomycota	basidiomycota	basidiomycot	basidiomycota	N;NOM;MASC;SG	N
montpellier	montpellier	montpellier	montpellier	N;NOM;MASC;SG	N
