категория	kategória	категория	kategória	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
название	titulok	название	titulok	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
поселение	urovnanie	поселение	urovnanie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
поселение	vysporiadanie	поселение	vysporiadanie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
поселение	zúčtovanie	поселение	zúčtovanie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
поселение	vyrovnanie	поселение	vyrovnanie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
человек	osoba	человек	osoba	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
человек	človek	человек	človek	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
человек	muž	человек	muž	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
человек	človek	человек	človek	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
лет	rokov	год	rok	N;INAN;GEN;MASC;PL	N;INAN;GEN;MASC;PL
февраля	februára	февраль	február	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
они	oni	они	on	PRO;NOM;PL;3	PRO;ANIM;NOM;MASC;PL;3
города	city	город	cit	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL
города	mestá	город	mesto	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
города	mestá	город	mesto	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
может	môže	мочь	môcť	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
она	ona	она	ona	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
войны	vojny	война	vojna	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
войны	vojny	война	vojna	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
когда	keď	когда	keď	CONJ	CONJ
высота	výška	высота	výška	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
переписи	sčítania	перепись	sčítanie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
переписи	sčítania	перепись	sčítanie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
село	selo	село	selo	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
село	dedinka	село	dedinka	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
село	dedina	село	dedina	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
село	obec	село	obec	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
стал	stal	стать	stať	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
статья	článok	статья	článok	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
род	rod	род	rod	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
один	jedno	один	jeden	NUM;NOM;MASC	NUM;NOM;NEUT;SG
один	jeden	один	jeden	NUM;NOM;MASC	NUM;ANIM;NOM;MASC;SG
один	jedna	один	jeden	NUM;NOM;MASC	NUM;NOM;FEM;SG
без	bez	без	bez	ADP	ADP;GEN
реки	rieky	река	rieka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
реки	rieky	река	rieka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
между	medzi	между	medzi	ADP	ADP;INS
статус	stav	статус	stav	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
статус	status	статус	status	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
статус	štatút	статус	štatút	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
статус	postavenie	статус	postavenie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
через	prostredníctvom	через	prostredníctvom	ADP	ADP;GEN
через	cez	через	cez	ADP	ADP;ACC
через	prostredníctvom	через	prostredníctvom	ADP	ADP;GEN
через	cez	через	cez	ADP	ADP;ACC
национальный	národný	национальный	národný	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG
национальный	národná	национальный	národný	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
национальный	vnútroštátna	национальный	vnútroštátny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
национальный	národné	национальный	národný	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
область	provincia	область	provincie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
область	kraj	область	kraj	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
область	oblasť	область	oblasť	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
область	región	область	región	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
область	oblasť	область	oblasť	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
область	oblasť	область	oblasť	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
область	plocha	область	plocha	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
список	zoznam	список	zoznam	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
сельское	vidiecke	сельский	vidiecky	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
сайт	web	сайт	web	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
сайт	webe	сайт	wiaba	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
сайт	stránka	сайт	stránka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
сайт	lokalita	сайт	lokalita	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
сайт	mieste	сайт	miesto	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
сайт	miesto	сайт	miesto	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
века	storočia	век	storočie	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
века	stáročia	век	stáročie	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
официальный	úradný	официальный	úradný	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG
официальный	oficiálna	официальный	oficiálny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
официальный	oficiálny	официальный	oficiálny	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG
часть	časť	часть	časť	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
часть	čast	часть	čast	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
часть	súčasť	часть	súčasť	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
против	proti	против	proti	ADP	ADP;DAT
этот	to	этот	to	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
этот	táto	этот	táto	DET;NOM;MASC;SG	DET;NOM;FEM;SG
этот	tento	этот	tento	DET;NOM;MASC;SG	DET;INAN;NOM;MASC;SG
этот	toto	этот	toto	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
город	mesto	город	mesto	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
город	mesta	город	mesto	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
город	mestečko	город	mestečko	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
город	mesto	город	mesto	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
город	mesta	город	mesto	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
первое	prvý	первый	prvý	ADJ;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
первое	prvy	первый	prva	ADJ;NOM;NEUT;SG	ADJ;INAN;NOM;MASC;SG
первое	prvé	первый	prvý	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
первое	prvá	первый	prvý	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
чем	než	чем	než	CONJ	CONJ
части	diely	часть	diely	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
части	súčiastky	часть	súčiastka	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL
описание	popis	описание	popis	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
описание	opis	описание	opis	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
первый	prvý	первый	prvý	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG
первый	prvy	первый	prva	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG
первый	prvé	первый	prvý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
первый	prvá	первый	prvý	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
файл	súbor	файл	súbor	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
карты	kartičky	карта	kartička	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
карты	karty	карта	karta	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
карты	vizitky	карта	vizitok	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
карты	mapy	карта	mapy	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
два	dve	два	dva	NUM;NOM;MASC	NUM;NOM;FEM;PL
два	dvaja	два	dva	NUM;NOM;MASC	NUM;ANIM;NOM;MASC;PL
два	dva	два	dva	NUM;NOM;MASC	NUM;INAN;NOM;MASC;PL
там	tam	там	tam	ADV	ADV
территории	územia	территория	územie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
второй	druhá	второй	druhý	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
второй	druhé	второй	druhý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
второй	druhe	второй	druh	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG
второй	druhý	второй	druhý	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG
очень	veľmi	очень	veľmi	ADV	ADV
главы	kapitoly	глава	kapitola	N;ANIM;NOM;MASC;PL	N;NOM;FEM;PL
карта	mapa	карта	mapa	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
карта	preukaz	карта	preukaz	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
карта	karta	карта	karta	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
карта	vizitka	карта	vizitka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
площадь	plaza	площадь	plaza	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
площадь	námestie	площадь	námestie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
площадь	štvorec	площадь	štvorec	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
площадь	square	площадь	squar	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG
площадь	oblasť	площадь	oblasť	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
площадь	plocha	площадь	plocha	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
даже	dokonca	даже	dokonca	PART	PART
даже	aj	даже	aj	PART	PART
затем	potom	затем	potom	ADV	ADV
затем	vtedy	затем	vtedy	ADV	ADV
группы	skupiny	группа	skupina	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
группы	skupiny	группа	skupina	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
основания	dôvody	основание	dôvod	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL
размер	velkost	размер	velkost	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
размер	veľkosť	размер	veľkosť	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
имеет	má	иметь	mať	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
поселения	osady	поселение	osada	N;INAN;NOM;NEUT;PL	N;NOM;FEM;PL
поселения	vyrovnania	поселение	vyrovnanie	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;PL
почтовый	poštový	почтовый	poštový	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG
почтовый	poštové	почтовый	poštový	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
почтовый	poštová	почтовый	poštový	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
страны	krajiny	страна	krajina	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
страны	štáty	страна	štát	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL
страны	krajiny	страна	krajina	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
ему	mu	он	on	PRO;DAT;MASC;SG;3	PRO;ANIM;DAT;MASC;SG;3
входит	vstupuje	входить	vstupovať	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
входит	vchádza	входить	vchádzať	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
индекс	index	индекс	index	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
улица	ulica	улица	ulica	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
население	demografia	население	demografia	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
население	populácia	население	populácia	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
население	obyvateľstvo	население	obyvateľstvo	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
работы	práce	работа	práca	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
имена	názvy	имя	názov	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL
имена	mená	имя	meno	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;PL
вместе	spolu	вместе	spolu	ADV	ADV
вместе	dokopy	вместе	dokopy	ADV	ADV
вместе	spoločne	вместе	spoločne	ADV	ADV
упоминание	zmienka	упоминание	zmienka	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
здесь	sem	здесь	sem	ADV	ADV
здесь	tu	здесь	tu	ADV	ADV
истории	príbehy	история	príbeh	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL
истории	príspevky	история	príspevok	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL
истории	histórie	история	história	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
истории	dejiny	история	dejiny	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
александр	alexandre	александр	alexandra	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
александр	alexander	александр	alexander	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
армии	armáda	армия	armáda	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
армии	vojsko	армия	vojsko	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
деление	delenie	деление	delenie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
деление	divízia	деление	divízium	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
деление	rozdelenie	деление	rozdelenie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
деление	delenie	деление	delenie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
деление	rozdelenie	деление	rozdelenie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
хотя	hoci	хотя	hoci	CONJ	CONJ
хотя	hoci	хотя	hoci	CONJ	CONJ
кроме	okrem	кроме	okrem	ADP	ADP;GEN
игроки	aktéri	игрок	aktér	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
игроки	hráči	игрок	hráčiť	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
получил	dostala	получить	dostať	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
получил	dostal	получить	dostať	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
история	príbeh	история	príbeh	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
история	reportáž	история	reportáž	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
история	história	история	história	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
себя	seba	себя	seba	PRO;ACC	PRO;ACC;SG;REFL
себя	seba	себя	seba	PRO;ACC	PRO;ACC;SG;REFL
фильм	film	фильм	film	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
фильм	film	фильм	film	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
рождения	narodenie	рождение	narodenie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
рождения	pôrod	рождение	pôrod	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
пункты	položky	пункт	položka	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
пункты	odseky	пункт	odseky	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL
участник	členka	участник	členka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
участник	poslanec	участник	poslanec	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
участник	člen	участник	člen	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
участник	účastník	участник	účastník	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
страница	strana	страница	strana	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
страница	stránka	страница	stránka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
участие	zapojenie	участие	zapojenie	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG
участие	angažovanosť	участие	angažovanosť	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
участие	účasti	участие	účasť	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
участие	účasť	участие	účasť	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG
википедии	wikipédia	википедия	wikipédium	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
три	tri	три	tri	NUM;NOM	NUM;INAN;NOM;MASC;PL
три	traja	три	tri	NUM;NOM	NUM;ANIM;NOM;MASC;PL
автор	autor	автор	autor	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
автор	autorka	автор	autorka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
республики	republiky	республика	republika	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
внутреннее	vnútorné	внутренний	vnútorný	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
внутреннее	vnútorná	внутренний	vnútorný	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
внутреннее	vnútorný	внутренний	vnútorný	ADJ;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
внутреннее	vnútorné	внутренний	vnútorný	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
внутреннее	vnútorná	внутренний	vnútorný	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
внутреннее	vnútorný	внутренний	vnútorný	ADJ;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
эти	tieto	этот	tento	DET;NOM;PL	DET;NOM;MASC;PL
эти	títo	этот	tento	DET;NOM;PL	DET;ANIM;NOM;MASC;PL
статей	článkov	статья	článok	N;INAN;GEN;FEM;PL	N;INAN;GEN;MASC;PL
центр	centrum	центр	centrum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
центр	centre	центр	centrum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
центр	center	центр	center	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
центр	stred	центр	stred	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
центр	centrum	центр	centrum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
центр	centre	центр	centrum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
центр	stredisko	центр	stredisko	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
центр	stred	центр	stred	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
округ	county	округ	count	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
округ	okrug	округ	okrug	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
округ	obvod	округ	obvod	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
округ	okrsok	округ	okrsok	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
жизни	životy	жизнь	život	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL
кто	kto	кто	kto	PRO;NOM	PRO;ANIM;NOM;MASC;SG
связи	spojenia	связь	spojenie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
связи	väzby	связь	väzba	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
связи	prepojenia	связь	prepojenie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
связи	odkazy	связь	odkaz	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL
связи	linky	связь	linka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
связи	oznámenia	связь	oznámenie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL
связи	komunikácie	связь	komunikácia	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL
день	deň	день	deň	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
именно	presne	именно	presne	PART	PART
период	obdobie	период	obdobie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
период	doba	период	doba	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
период	lehota	период	lehota	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
община	spoločenstvo	община	spoločenstvo	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG
община	komunita	община	komunita	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG
