men	ama	men	ama	CONJ	CONJ
gang	süre	gang	süre	N;INDF;MASC;SG	N;NOM;SG;3
stor	geniş	stor	geniş	ADJ;INDF;SG	ADJ
tok	aldı	ta	al	V;IND;PST;FIN	V;PFV;IND;SG;3;POS;PST
mål	gol	mål	gol	N;INDF;NEUT;SG	N;NOM;SG;3
går	yürüyen	gå	yürü	V;IND;PRS;FIN	V;PFV;IND;POS;PRS;V.PTCP
går	yürümek	gå	yürü	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
går	yürüyorum	gå	yürü	V;IND;PRS;FIN	V;PROG;IND;SG;1;POS;INFM;PRS
går	gitmek	gå	git	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
går	gidiyorum	gå	git	V;IND;PRS;FIN	V;PROG;IND;SG;1;POS;INFM;PRS
går	gidiyor	gå	git	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
går	yürüyor	gå	yürü	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
totalt	tamamıyla	total	tamam	ADJ;INDF;NEUT;SG	ADJ;INS;SG;3
totalt	tamamiyle	total	tamami	ADJ;INDF;NEUT;SG	ADJ;INS;SG;3
totalt	genel	total	genel	ADJ;INDF;NEUT;SG	ADJ
desember	aralık	desember	aralık	N;INDF;MASC;SG	N;NOM;SG;3
fire	dört	fire	dört	NUM;PL	NUM
deltok	katıldı	delta	kat	V;IND;PST;FIN	V;PFV;IND;SG;3;POS;PST;PASS
deltok	katıldığı	delta	kat	V;IND;PST;FIN	V;PFV;IND;POS;PST;V.PTCP;PASS
igjen	yine	igjen	yine	ADV	ADV
igjen	gene	igjen	gene	ADV	ADV
igjen	yeniden	igjen	yeniden	ADV	ADV
land	arsa	land	arsa	N;INDF;NEUT;SG	N;NOM;SG;3
liste	listesi	liste	liste	N;INDF;FEM;SG	N;NOM;SG;3
liste	listeyi	liste	liste	N;INDF;FEM;SG	N;ACC;SG;3
side	sayfaya	side	sayfa	N;INDF;FEM;SG	N;DAT;SG;3
side	sayfada	side	sayfa	N;INDF;FEM;SG	N;ESS;SG;3
side	sayfası	side	sayfa	N;INDF;FEM;SG	N;NOM;SG;3
side	sayfayı	side	sayfa	N;INDF;FEM;SG	N;ACC;SG;3
helt	kesinlikle	helt	kesinlik	N;INDF;MASC;SG	N;INS;SG;3
helt	kahramanlık	helt	kahramanlık	N;INDF;MASC;SG	N;NOM;SG;3
spilte	oynadı	spilte	oyna	V;IND;PST;FIN	V;PFV;IND;SG;3;POS;PST
grunn	nedeni	grunn	neden	N;INDF;MASC;SG	N;NOM;SG;3
artikkelen	madde	artikkel	madde	N;DEF;MASC;SG	N;NOM;SG;3
artikkelen	makale	artikkel	makale	N;DEF;MASC;SG	N;NOM;SG;3
rekke	dizi	rekke	dizi	N;INDF;FEM;SG	N;NOM;SG;3
arter	türler	arter	tür	N;INDF;FEM;PL	N;NOM;PL;3
området	alanı	område	alan	N;DEF;NEUT;SG	N;NOM;SG;3
bruk	kullanımı	bruk	kullanım	N;INDF;MASC;SG	N;NOM;SG;3
øst	doğuda	øs	doğu	N;INDF;NEUT;SG	N;ESS;SG;3
døde	ölüler	død	ölü	ADJ;PL	ADJ;NOM;PL;3
county	şehristanı	county	şehristan	N;INDF;SG	N;NOM;SG;3
begynte	başladık	begynne	başla	V;IND;PST;FIN	V;PFV;IND;PL;1;POS;PST
begynte	başladı	begynne	başla	V;IND;PST;FIN	V;PFV;IND;SG;3;POS;PST
begynte	başladım	begynne	başla	V;IND;PST;FIN	V;PFV;IND;SG;1;POS;PST
kirke	kiliseye	kirke	kili	N;INDF;MASC;SG	N;DAT;SG;3
gamle	yaşlı	gammal	yaşlı	ADJ;PL	ADJ
artikler	makaleler	artikke	makale	N;INDF;FEM;PL	N;NOM;PL;3
artikler	yazılar	artikke	yazı	N;INDF;FEM;PL	N;NOM;PL;3
familien	ailesi	familie	aile	N;DEF;MASC;SG	N;NOM;SG;3
eksempel	numune	eksempel	num	N;INDF;NEUT;SG	N;DAT;SG;3
eksempel	örneği	eksempel	örnek	N;INDF;NEUT;SG	N;NOM;SG;3
annen	diğeri	annen	diğer	N;INDF;MASC;SG	N;NOM;SG;3
ganger	zamanlar	gange	zaman	N;INDF;MASC;PL	N;NOM;PL;3
artikkel	madde	artikkel	madde	N;INDF;MASC;SG	N;NOM;SG;3
artikkel	makale	artikkel	makale	N;INDF;MASC;SG	N;NOM;SG;3
ser	bakıyor	sjå	bak	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
ser	bakmak	sjå	bak	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
ser	bakıyorum	sjå	bak	V;IND;PRS;FIN	V;PROG;IND;SG;1;POS;INFM;PRS
ser	görünüyor	sjå	görün	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
ser	izlemek	sjå	izle	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
ser	izleyen	sjå	izle	V;IND;PRS;FIN	V;PFV;IND;POS;PRS;V.PTCP
ser	izliyorum	sjå	izle	V;IND;PRS;FIN	V;PROG;IND;SG;1;POS;INFM;PRS
ser	izliyor	sjå	izle	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
ulike	farklı	ulik	farklı	ADJ;PL	ADJ
deretter	sonra	deretter	sonra	ADV	ADV
lang	uzun	lang	uzun	ADJ;INDF;SG	ADJ
dermed	böylece	dermed	böylece	ADV	ADV
deler	hisseler	del	hisse	N;INDF;MASC;PL	N;NOM;PL;3
deler	paylaşımlar	del	paylaşım	N;INDF;MASC;PL	N;NOM;PL;3
deler	parçalar	del	parça	N;INDF;MASC;PL	N;NOM;PL;3
deler	parçaları	del	parça	N;INDF;MASC;PL	N;ACC;PL;3
deler	bölümleri	del	bölüm	N;INDF;MASC;PL	N;ACC;PL;3
deler	kısımlar	del	kısım	N;INDF;MASC;PL	N;NOM;PL;3
deler	bölümler	del	bölüm	N;INDF;MASC;PL	N;NOM;PL;3
står	duruyor	stå	dur	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
sønn	oğlum	sønn	oğul	N;INDF;MASC;SG	N;NOM;SG;3
nasjonale	milli	nasjonal	milli	ADJ;PL	ADJ
fil	dosyası	fil	dosya	N;INDF;MASC;SG	N;NOM;SG;3
menn	adamlar	mann	adam	N;INDF;MASC;PL	N;NOM;PL;3
barn	çocuklar	barn	çocuk	N;INDF;NEUT;PL	N;NOM;PL;3
barn	cocuklar	barn	cocuk	N;INDF;NEUT;PL	N;NOM;PL;3
barn	çocuklar	barn	çocuk	N;INDF;NEUT;PL	N;NOM;PL;3
kamper	maçlar	kamp	maç	N;INDF;FEM;PL	N;NOM;PL;3
kamper	kavgalar	kamp	kavga	N;INDF;FEM;PL	N;NOM;PL;3
kamper	maçlar	kamp	maç	N;INDF;FEM;PL	N;NOM;PL;3
kamper	oyunlar	kamp	oyun	N;INDF;FEM;PL	N;NOM;PL;3
kamper	oyunları	kamp	oyun	N;INDF;FEM;PL	N;ACC;PL;3
kamper	savaşlar	kamp	savaş	N;INDF;FEM;PL	N;NOM;PL;3
spiller	oynuyor	spille	oyna	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
spiller	oynuyor	spille	oyna	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
spiller	oynamak	spille	oyna	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
personer	kişiler	person	kişi	N;INDF;FEM;PL	N;NOM;PL;3
personer	kişiler	person	kişi	N;INDF;FEM;PL	N;NOM;PL;3
personer	insanlar	person	insan	N;INDF;FEM;PL	N;NOM;PL;3
gir	vermek	gi	ver	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
gir	veriyor	gi	ver	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
godt	güzel	god	güzel	ADJ;INDF;NEUT;SG	ADJ
forskjellige	farklı	forskjellig	farklı	ADJ;PL	ADJ
historie	hikaye	historie	hika	N;INDF;FEM;SG	N;NOM;SG;3
historie	tarih	historie	tarih	N;INDF;FEM;SG	N;NOM;SG;3
liv	yaşam	liv	yaşam	N;INDF;NEUT;SG	N;NOM;SG;3
university	üniversitesi	university	üniversitesi	N;INDF;NEUT;SG	N;NOM;SG;3
tredje	üçüncüsü	tredje	üçüncü	ADJ;DEF;SG	ADJ;NOM;SG;3
stort	geniş	stor	geniş	ADJ;INDF;NEUT;SG	ADJ
slekt	ailesi	slekkje	aile	N;INDF;FEM;SG	N;NOM;SG;3
viser	gösteriyor	vise	göster	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
viser	gösteriliyor	vise	göster	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
viser	gösteriliyor	vise	göster	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
viser	gösteriyor	vise	göster	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
viktig	onemli	viktig	onemli	ADJ;INDF;NEUT;SG	ADJ
britiske	ingilizler	britisk	ingiliz	ADJ;PL	ADJ;NOM;PL;3
president	cumhurbaşkanı	president	cumhurbaşkanı	N;INDF;MASC;SG	N;NOM;SG;3
bilde	görüntü	bilde	görüntü	N;INDF;NEUT;SG	N;NOM;SG;3
langt	uzakta	lang	uzak	ADJ;INDF;NEUT;SG	ADJ;ESS;SG;3
langt	uzağa	lang	uzak	ADJ;INDF;NEUT;SG	ADJ;DAT;SG;3
allerede	zaten	allerede	zaten	ADV	ADV
allerede	şimdiden	allerede	şimdiden	ADV	ADV
sesongen	sezonu	sesong	sezon	N;DEF;MASC;SG	N;ACC;SG;3
liten	küçük	liten	küçük	ADJ;INDF;MASC;SG	ADJ
liten	küçük	liten	küçük	ADJ;INDF;MASC;SG	ADJ
kanskje	belki	kanskje	belki	ADV	ADV
kanskje	belki	kanskje	belki	ADV	ADV
tidlig	erkenden	tidlig	erken	ADJ;INDF;NEUT;SG	ADJ;AT+ABL;SG;3
form	şekli	form	şekli	N;INDF;FEM;SG	N;ACC;SG;3
krigen	savaş	krig	savaş	N;DEF;MASC;SG	N;NOM;SG;3
yrke	mesleği	yrke	meslek	N;INDF;NEUT;SG	N;NOM;SG;3
små	küçük	liten	küçük	ADJ;PL	ADJ
spesielt	özel	spesiell	özel	ADJ;INDF;NEUT;SG	ADJ
god	güzel	god	güzel	ADJ;INDF;SG	ADJ
nytt	yeni	ny	yeni	ADJ;INDF;NEUT;SG	ADJ
bilder	görüntüler	bilder	görüntü	N;INDF;FEM;PL	N;NOM;PL;3
bilder	resimler	bilder	resim	N;INDF;FEM;PL	N;NOM;PL;3
bilder	resimler	bilder	resim	N;INDF;FEM;PL	N;NOM;PL;3
bilder	fotoğraflar	bilder	fotoğraf	N;INDF;FEM;PL	N;NOM;PL;3
bilder	fotoğrafları	bilder	fotoğraf	N;INDF;FEM;PL	N;NOM;PL;3
bilder	resimler	bilder	resim	N;INDF;FEM;PL	N;NOM;PL;3
bilder	fotoğraflar	bilder	fotoğraf	N;INDF;FEM;PL	N;NOM;PL;3
bilder	resimleri	bilder	resim	N;INDF;FEM;PL	N;NOM;PL;3
lite	küçük	lite	küçük	ADJ;INDF;NEUT;SG	ADJ
lite	küçük	lite	küçük	ADJ;INDF;NEUT;SG	ADJ
bruker	kullanıyor	bruke	kullan	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
bruker	kullanmak	bruke	kullan	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
bruker	kullanarak	bruke	kullan	V;IND;PRS;FIN	V;PFV;IND;POS;PRS;V.CVB
bruker	kullanıyor	bruke	kullan	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
bruker	kullanılıyor	bruke	kullan	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
seks	altı	seks	altı	NUM;PL	NUM
slaget	savaş	slag	savaş	N;DEF;NEUT;SG	N;NOM;SG;3
slaget	muharebe	slag	muharebe	N;DEF;NEUT;SG	N;NOM;SG;3
nummer	numarası	nummer	numara	N;INDF;NEUT;SG	N;NOM;SG;3
universitetet	üniversitesi	universitet	üniversitesi	N;DEF;NEUT;SG	N;NOM;SG;3
skole	okula	skole	okul	N;INDF;MASC;SG	N;DAT;SG;3
skole	okulumuz	skole	okul	N;INDF;MASC;SG	N;NOM;SG;3
skole	okulu	skole	okul	N;INDF;MASC;SG	N;NOM;SG;3
film	sinema	film	sine	N;INDF;MASC;SG	N;NOM;SG;3
film	filim	film	filim	N;INDF;MASC;SG	N;NOM;SG;3
øya	adası	øy	ada	N;DEF;FEM;SG	N;NOM;SG;3
utenfor	dışarıya	utenfor	dışarı	N;INDF;NEUT;SG	N;DAT;SG;3
utenfor	dışarda	utenfor	dışarı	N;INDF;NEUT;SG	N;ESS;SG;3
utenfor	dışarıda	utenfor	dışarı	N;INDF;NEUT;SG	N;ESS;SG;3
antall	numarası	antall	numara	N;INDF;NEUT;SG	N;NOM;SG;3
antall	miktarı	antall	miktar	N;INDF;NEUT;SG	N;NOM;SG;3
dansk	poğaça	dansk	poğaç	N;INDF;MASC;SG	N;NOM;SG;3
center	merkezi	cente	merkez	N;INDF;NEUT;SG	N;ACC;SG;3
center	center	cente	center	N;INDF;NEUT;SG	N;NOM;SG;3
hatt	vardı	ha	var	V;V.PTCP	V;PFV;IND;SG;3;POS;PST
bruke	kullanıyor	bruke	kullan	V;NFIN	V;PROG;IND;SG;3;POS;INFM;PRS
bruke	kullanmak	bruke	kullan	V;NFIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
bruke	kullanarak	bruke	kullan	V;NFIN	V;PFV;IND;POS;PRS;V.CVB
bruke	kullanın	bruke	kullan	V;NFIN	V;PFV;IMP;PL;2;POS;PRS
bruke	kullanmak	bruke	kullan	V;NFIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
kilder	kaynakları	kilder	kaynak	N;INDF;MASC;PL	N;ACC;PL;3
kilder	kaynaklar	kilder	kaynak	N;INDF;MASC;PL	N;NOM;PL;3
tar	alıyor	ta	al	V;IND;PRS;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
politiker	siyasetçi	politiker	siyasetçi	N;INDF;MASC;SG	N;NOM;SG;3
christian	hıristiyan	christian	hıristiyan	N;INDF;MASC;SG	N;NOM;SG;3
christian	hristiyan	christian	hristiyan	N;INDF;MASC;SG	N;NOM;SG;3
delen	bölümü	del	bölüm	N;DEF;MASC;SG	N;NOM;SG;3
familie	ailesi	familie	aile	N;INDF;MASC;SG	N;NOM;SG;3
friidrett	atletizm	friidrett	atletizm	N;INDF;MASC;SG	N;NOM;SG;3
forhold	ilişki	forhold	ilişki	N;INDF;NEUT;SG	N;NOM;SG;3
forhold	ilişki	forhold	ilişki	N;INDF;NEUT;SG	N;NOM;SG;3
forhold	ilişkisi	forhold	ilişki	N;INDF;NEUT;SG	N;NOM;SG;3
lange	uzun	lang	uzun	ADJ;PL	ADJ
medlemmer	üyeler	medlem	üye	N;INDF;MASC;PL	N;NOM;PL;3
medlemmer	üyeleri	medlem	üye	N;INDF;MASC;PL	N;NOM;PL;3
folk	kişiler	folk	kişi	N;INDF;NEUT;PL	N;NOM;PL;3
folk	insanlar	folk	insan	N;INDF;NEUT;PL	N;NOM;PL;3
poeng	point	poeng	point	N;INDF;NEUT;SG	N;NOM;SG;3
betyr	demek	bety	de	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
klubb	kulübü	klubb	kulüb	N;INDF;MASC;SG	N;NOM;SG;3
mann	insan	mann	insan	N;INDF;MASC;SG	N;NOM;SG;3
mann	adam	mann	adam	N;INDF;MASC;SG	N;NOM;SG;3
mann	adamım	mann	adam	N;INDF;MASC;SG	N;NOM;SG;3
finne	bulun	finne	bul	V;IMP;NFIN	V;PFV;IMP;PL;2;POS;PRS
finne	bul	finne	bul	V;IMP;NFIN	V;PFV;IMP;SG;2;POS;PRS
nær	yakınında	nær	yakın	ADJ;INDF;SG	ADJ;ESS;SG;3
nær	yakınındaki	nær	yakınındaki	ADJ;INDF;SG	ADJ;ESS;SG;3
min	benim	min	ben	PRO;MASC;SG	PRO;GEN;SG;1
grad	rütbe	grad	rütbe	N;INDF;FEM;SG	N;NOM;SG;3
grad	derecesi	grad	derece	N;INDF;FEM;SG	N;NOM;SG;3
grad	diploma	grad	diplom	N;INDF;FEM;SG	N;NOM;SG;3
aldri	hiç	aldri	hiç	ADV	ADV
kirken	kiliseye	kirk	kili	N;DEF;MASC;SG	N;DAT;SG;3
far	baba	far	baba	N;INDF;MASC;SG	N;NOM;SG;3
far	baba	far	baba	N;INDF;MASC;SG	N;NOM;SG;3
finner	bulmak	finne	bul	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
finner	bulunması	finne	bulun	V;IND;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
henne	onu	ho	o	PRO;ACC;FEM;SG;3	PRO;ACC;SG;3
fylke	şehristanı	fylke	şehristan	N;INDF;NEUT;SG	N;NOM;SG;3
støtte	destekleyici	støtte	destekleyici	N;INDF;FEM;SG	N;NOM;SG;3
støtte	destekle	støtte	destek	N;INDF;FEM;SG	N;INS;SG;3
støtte	desteği	støtte	destek	N;INDF;FEM;SG	N;NOM;SG;3
vei	karayolu	vei	karayolu	N	N;NOM;SG;3
steder	mekanlar	stede	mekan	N;INDF;MASC;PL	N;NOM;PL;3
steder	konumlar	stede	konum	N;INDF;MASC;PL	N;NOM;PL;3
steder	yerler	stede	yer	N;INDF;MASC;PL	N;NOM;PL;3
steder	konumları	stede	konum	N;INDF;MASC;PL	N;ACC;PL;3
steder	yerleri	stede	yer	N;INDF;MASC;PL	N;ACC;PL;3
steder	mekanlar	stede	mekan	N;INDF;MASC;PL	N;NOM;PL;3
steder	yerleri	stede	yer	N;INDF;MASC;PL	N;ACC;PL;3
steder	yerler	stede	yer	N;INDF;MASC;PL	N;NOM;PL;3
sider	sayfaları	side	sayfa	N;INDF;FEM;PL	N;ACC;PL;3
sider	sayfalar	side	sayfa	N;INDF;FEM;PL	N;NOM;PL;3
dager	günler	dag	gün	N;INDF;FEM;PL	N;NOM;PL;3
dager	günlerden	dag	gün	N;INDF;FEM;PL	N;AT+ABL;PL;3
dager	günleri	dag	gün	N;INDF;FEM;PL	N;ACC;PL;3
fant	bulunmuş	finne	bul	V;IND;PST;FIN	V;PFV;NFH;IND;SG;3;POS;PST;PASS
fant	bulundu	finne	bulun	V;IND;PST;FIN	V;PFV;IND;SG;3;POS;PST
fant	buldum	finne	bul	V;IND;PST;FIN	V;PFV;IND;SG;1;POS;PST
områder	alanlar	område	alan	N;INDF;MASC;PL	N;NOM;PL;3
områder	alanları	område	alan	N;INDF;MASC;PL	N;ACC;PL;3
områder	bölgeler	område	bölge	N;INDF;MASC;PL	N;NOM;PL;3
høyde	yükseklik	høyde	yükseklik	N;INDF;MASC;SG	N;NOM;SG;3
høyde	yüksekliği	høyde	yükseklik	N;INDF;MASC;SG	N;ACC;SG;3
høyde	yükseklik	høyde	yükseklik	N;INDF;MASC;SG	N;NOM;SG;3
høyde	boyu	høyde	boy	N;INDF;MASC;SG	N;NOM;SG;3
hjelp	yardım	hjelp	yardım	N;INDF;FEM;SG	N;NOM;SG;3
veien	karayolu	vie	karayolu	N;DEF;MASC;SG	N;NOM;SG;3
van	minibüs	van	minibüs	N;INDF;MASC;SG	N;NOM;SG;3
van	kamyonet	van	kamyonet	N;INDF;MASC;SG	N;NOM;SG;3
måte	şekilde	måte	şekil	N;INDF;MASC;SG	N;ESS;SG;3
arbeid	iş	arbeid	iş	N;INDF;NEUT;SG	N;NOM;SG;3
skolen	okula	skole	okul	N;DEF;MASC;SG	N;DAT;SG;3
skolen	okulumuz	skole	okul	N;DEF;MASC;SG	N;NOM;SG;3
skolen	okulu	skole	okul	N;DEF;MASC;SG	N;NOM;SG;3
canada	kanada	canad	kana	N	N;ESS;SG;3
likevel	hala	likevel	hala	ADV	ADV
museum	müzesi	museum	müze	N;INDF;NEUT;SG	N;ACC;SG;3
museum	museum	museum	museum	N;INDF;NEUT;SG	N;NOM;SG;3
begynnelsen	başlangıcı	begynnels	başlangıç	N;DEF;MASC;SG	N;ACC;SG;3
danske	danimarkalı	dansk	danimarkalı	ADJ;PL	ADJ
areal	alanı	areal	alan	N;INDF;NEUT;SG	N;NOM;SG;3
amerika	america	amerika	america	N;INDF;MASC;SG	N;NOM;SG;3
eldre	yaşlı	gammal	yaşlı	ADJ;CMPR	ADJ
eldre	yaşlı	gammal	yaşlı	ADJ;CMPR	ADJ
eldre	yaşlılar	gammal	yaşlı	ADJ;CMPR	ADJ;NOM;PL;3
eldre	yaşlı	gammal	yaşlı	ADJ;CMPR	ADJ
orden	sipariş	orden	sipariş	N;INDF;MASC;SG	N;NOM;SG;3
finalen	finali	finale	finali	N;DEF;MASC;SG	N;NOM;SG;3
kamp	savaş	kamp	savaş	N;INDF;MASC;SG	N;NOM;SG;3
kamp	muharebe	kamp	muharebe	N;INDF;MASC;SG	N;NOM;SG;3
kamp	savaş	kamp	savaş	N;INDF;MASC;SG	N;NOM;SG;3
kamp	muharebe	kamp	muharebe	N;INDF;MASC;SG	N;NOM;SG;3
lenge	uzun	lenge	uzun	ADJ	ADJ
trøndelag	trøndelag	trøndelag	trøndelag	N;INDF;NEUT;SG	N;ESS;SG;3
leker	oyuncak	leke	oyuncak	N;INDF;MASC;SG	N;NOM;SG;3
stavanger	stavanger	stavang	stavanger	N;INDF;MASC;SG	N;NOM;SG;3
versjon	sürümü	versjon	sürü	N;INDF;MASC;SG	N;ACC;SG;3
informasjon	bilgi	informasjon	bilgi	N;INDF;MASC;SG	N;NOM;SG;3
informasjon	bilgi	informasjon	bilgi	N;INDF;MASC;SG	N;NOM;SG;3
sentrum	merkezi	sentrum	merkez	N;INDF;NEUT;SG	N;ACC;SG;3
sentrum	center	sentrum	center	N;INDF;NEUT;SG	N;NOM;SG;3
bok	kitap	bok	kitap	N;INDF;FEM;SG	N;NOM;SG;3
sanger	şarkıcı	sanger	şarkıcı	N;INDF;MASC;SG	N;NOM;SG;3
hovedsakelig	çoğunlukla	hovedsakelig	çoğunluk	N;INDF;FEM;SG	N;INS;SG;3
åtte	sekiz	åtte	sekiz	NUM;PL	NUM
bøker	kitapları	bok	kitap	N;INDF;FEM;PL	N;ACC;PL;3
bøker	kitaplar	bok	kitap	N;INDF;FEM;PL	N;NOM;PL;3
press	basında	press	bas	N;INDF;NEUT;SG	N;ESS;SG;3
resultater	sonuçlar	resultater	sonuç	N;INDF;FEM;PL	N;NOM;PL;3
resultater	sonuçları	resultater	sonuç	N;INDF;FEM;PL	N;ACC;PL;3
livet	yaşam	liv	yaşam	N;DEF;NEUT;SG	N;NOM;SG;3
angrep	saldırıya	angrep	saldırı	N;INDF;NEUT;SG	N;DAT;SG;3
vise	göster	vise	göster	V;NFIN	V;PFV;IMP;PL;2;POS;PRS
vise	gösterin	vise	göster	V;NFIN	V;PFV;IMP;PL;2;POS;PRS
vise	göster	vise	göster	V;NFIN	V;PFV;IMP;PL;2;POS;PRS
område	alanı	område	alan	N;INDF;NEUT;SG	N;NOM;SG;3
befolkningen	nüfusu	befolkning	nüfus	N;DEF;MASC;SG	N;ACC;SG;3
regjeringen	kabine	regjering	kabin	N;DEF;MASC;SG	N;NOM;SG;3
regjeringen	dolap	regjering	dolap	N;DEF;MASC;SG	N;NOM;SG;3
sesong	sezonu	sesong	sezon	N;INDF;MASC;SG	N;ACC;SG;3
serie	dizi	serie	dizi	N;INDF;MASC;SG	N;NOM;SG;3
nåværende	akıntı	nåværende	akıntı	N;INDF;NEUT;SG	N;NOM;SG;3
nåværende	hediye	nåværende	hedi	N;INDF;NEUT;SG	N;NOM;SG;3
betydning	önem	betydning	önem	N;INDF;FEM;SG	N;NOM;SG;3
betydning	önemi	betydning	önem	N;INDF;FEM;SG	N;NOM;SG;3
