par	za	par	za		
spēles	tekme	spēle	tekma	N;NOM;FEM;PL	N;NOM;FEM;PL
spēles	igre	spēle	igra	N;NOM;FEM;PL	N;NOM;FEM;PL
spēles	igrice	spēle	igrica	N;NOM;FEM;PL	N;NOM;FEM;PL
nosaukums	ime	nosaukums	ime	N;NOM;MASC;SG	N;NOM;NEUT;SG
grupas	skupine	grupa	skupina	N;NOM;FEM;PL	N;NOM;FEM;PL
ieguva	pridobil	iegūt	pridobiti	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
ieguva	zmagali	iegūt	zmagati	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP
ieguva	zmagala	iegūt	zmagati	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
ieguva	zmagal	iegūt	zmagati	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
laika	časa	laiks	čas	N;GEN;MASC;SG	N;GEN;MASC;SG
gads	leto	gads	leto	N;NOM;MASC;SG	N;NOM;NEUT;SG
gads	letnica	gads	letnica	N;NOM;MASC;SG	N;NOM;FEM;SG
skatīt	glej	skatīt	gledati	V;POS;NFIN	V;IPFV;IMP;SG;2;FIN
skatīt	glejte	skatīt	gledati	V;POS;NFIN	V;IPFV;IMP;PL;2;FIN
profils	profil	profils	profiti	N;NOM;MASC;SG	N;NOM;MASC;SG
bez	brez	bez	brez	ADP	ADP;GEN
tautas	narodi	tauta	narod	N;NOM;FEM;PL	N;NOM;MASC;PL
apmēram	približno	apmēram	približno	ADV	ADV
garums	dolžina	garums	dolžina	N;NOM;MASC;SG	N;NOM;FEM;SG
garums	dolžina	garums	dolžina	N;NOM;MASC;SG	N;NOM;FEM;SG
komandas	ukazi	komanda	ukaz	N;NOM;FEM;PL	N;NOM;MASC;PL
komandas	ekipe	komanda	ekipa	N;NOM;FEM;PL	N;NOM;FEM;PL
komandas	moštva	komanda	moštvo	N;NOM;FEM;PL	N;NOM;NEUT;PL
pils	castle	pils	castla	N;NOM;FEM;SG	N;NOM;MASC;SG
pils	grad	pils	grad	N;NOM;FEM;SG	N;NOM;MASC;SG
pils	dvorec	pils	dvorec	N;NOM;FEM;SG	N;NOM;MASC;SG
pils	palača	pils	palača	N;NOM;FEM;SG	N;NOM;FEM;SG
vietas	lokacije	vieta	lokacija	N;NOM;FEM;PL	N;NOM;FEM;PL
vietas	kraji	vieta	kraj	N;NOM;FEM;PL	N;NOM;MASC;PL
valodas	jeziki	valoda	jezik	N;NOM;FEM;PL	N;NOM;MASC;PL
pašlaik	trenutno	pašlaik	trenutno	ADV	ADV
novads	občina	novads	občina	N;NOM;MASC;SG	N;NOM;FEM;SG
grupa	skupina	grupa	skupina	N;NOM;FEM;SG	N;NOM;FEM;SG
piedalījās	sodelovala	piedalīties	sodelovati	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
piedalījās	sodeloval	piedalīties	sodelovati	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
piedalījās	sodelovali	piedalīties	sodelovati	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
piedalījās	sodelovalo	piedalīties	sodelovati	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;IPFV;NEUT;SG;V.PTCP
ūdens	voda	ūdens	voda	N;NOM;MASC;SG	N;NOM;FEM;SG
bieži	pogosto	bieži	pogosto	ADV	ADV
ģints	rod	ģints	rod	N;NOM;FEM;SG	N;NOM;MASC;SG
valoda	jezik	valoda	jezik	N;NOM;FEM;SG	N;NOM;MASC;SG
sugas	vrste	suga	vrsta	N;NOM;FEM;PL	N;NOM;FEM;PL
ciems	vasica	ciems	vasica	N;NOM;MASC;SG	N;NOM;FEM;SG
skaits	štetje	skaits	štetje	N;NOM;MASC;SG	N;NOM;NEUT;SG
skaits	grof	skaits	grof	N;NOM;MASC;SG	N;NOM;MASC;SG
skaits	številka	skaits	številka	N;NOM;MASC;SG	N;NOM;FEM;SG
skaits	število	skaits	število	N;NOM;MASC;SG	N;NOM;NEUT;SG
suga	vrsta	suga	vrsta	N;NOM;FEM;SG	N;NOM;FEM;SG
spēlē	igrajo	spēlēt	igrati	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN
aptuveni	grobo	aptuveni	grobo	ADV	ADV
aptuveni	približno	aptuveni	približno	ADV	ADV
apriņķis	okrožje	apriņķis	okrožje	N;NOM;MASC;SG	N;NOM;NEUT;SG
apriņķis	okraj	apriņķis	okraj	N;NOM;MASC;SG	N;NOM;MASC;SG
upes	reka	upe	reka	N;NOM;FEM;SG	N;NOM;FEM;SG
upes	rek	upe	reka	N;NOM;FEM;SG	N;NOM;MASC;SG
komanda	poveljstvo	komanda	poveljstvo	N;NOM;FEM;SG	N;NOM;NEUT;SG
komanda	ukaz	komanda	ukaz	N;NOM;FEM;SG	N;NOM;MASC;SG
komanda	ekipa	komanda	ekipa	N;NOM;FEM;SG	N;NOM;FEM;SG
komanda	team	komanda	teama	N;NOM;FEM;SG	N;NOM;MASC;SG
dienas	dnevi	diena	dan	N;NOM;FEM;PL	N;NOM;MASC;PL
armijas	armade	armija	armada	N;NOM;FEM;PL	N;NOM;FEM;PL
armijas	vojske	armija	vojska	N;NOM;FEM;PL	N;NOM;FEM;PL
klubs	klub	klubs	klub	N;NOM;MASC;SG	N;NOM;MASC;SG
klubs	club	klubs	club	N;NOM;MASC;SG	N;NOM;MASC;SG
sākās	začel	sākties	začeti	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
sākās	začela	sākties	začeti	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
salas	otoki	sala	otok	N;NOM;FEM;PL	N;NOM;MASC;PL
ezers	jezero	ezers	jezero	N;NOM;MASC;SG	N;NOM;NEUT;SG
iespējams	možen	iespējams	možen	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
iespējams	možna	iespējams	možen	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
iespējams	možni	iespējams	možen	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
iespējams	možno	iespējams	možen	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
daļas	deli	daļa	del	N;NOM;FEM;PL	N;NOM;MASC;PL
kultūras	poljščine	kultūra	poljščina	N;NOM;FEM;PL	N;NOM;FEM;PL
kultūras	pridelki	kultūra	pridelek	N;NOM;FEM;PL	N;NOM;MASC;PL
kultūras	kulture	kultūra	kultura	N;NOM;FEM;PL	N;NOM;FEM;PL
dzimums	spol	dzimums	spol	N;NOM;MASC;SG	N;NOM;MASC;SG
dzimums	seks	dzimums	seks	N;NOM;MASC;SG	N;NOM;MASC;SG
dzimums	spol	dzimums	spol	N;NOM;MASC;SG	N;NOM;MASC;SG
dzimums	sex	dzimums	sex	N;NOM;MASC;SG	N;NOM;MASC;SG
tagad	zdaj	tagad	zdaj	ADV	ADV
tagad	sedaj	tagad	sedaj	ADV	ADV
baznīcas	cerkve	baznīca	cerkev	N;NOM;FEM;PL	N;NOM;FEM;PL
auto	car	auto	car	N	N;NOM;MASC;SG
auto	avto	auto	avto	N	N;NOM;MASC;SG
auto	avtomobil	auto	avtomobil	N	N;NOM;MASC;SG
auto	tovornjak	auto	tovornjak	N	N;NOM;MASC;SG
auto	kamion	auto	kamion	N	N;NOM;MASC;SG
auto	auto	auto	auta	N	N;NOM;MASC;SG
baznīca	cerkev	baznīca	cerkev	N;NOM;FEM;SG	N;NOM;FEM;SG
dzīvo	živeti	dzīvot	živeti	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;NFIN
dzīvo	živel	dzīvot	živeti	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
dzīvo	živela	dzīvot	živeti	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
dzīvo	živi	dzīvot	živeti	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
dzīvo	živeti	dzīvot	živeti	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;NFIN
dzīvo	živel	dzīvot	živeti	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
dzīvo	živeli	dzīvot	živeti	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
dzīvo	živela	dzīvot	živeti	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
mājas	domovi	māja	domov	N;NOM;FEM;PL	N;NOM;MASC;PL
mājas	hiške	māja	hiška	N;NOM;FEM;PL	N;NOM;FEM;PL
mājas	hiše	māja	hiša	N;NOM;FEM;PL	N;NOM;FEM;PL
diskusija	debata	diskusija	debati	N;NOM;FEM;SG	N;NOM;FEM;SG
diskusija	razprava	diskusija	razprava	N;NOM;FEM;SG	N;NOM;FEM;SG
diskusija	pogovor	diskusija	pogovor	N;NOM;FEM;SG	N;NOM;MASC;SG
pasta	mail	pasts	mail	N;NOM;MASC;SG	N;NOM;MASC;SG
pasta	pošta	pasts	pošta	N;NOM;MASC;SG	N;NOM;FEM;SG
notiek	dogaja	notikt	dogajati	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
albums	album	albums	album	N;NOM;MASC;SG	N;NOM;MASC;SG
longs	longus	longs	longus	N;NOM;MASC;SG	N;NOM;MASC;SG
prezidents	predsednik	prezidents	predsednik	N;NOM;MASC;SG	N;NOM;MASC;SG
prezidents	predsednica	prezidents	predsednica	N;NOM;MASC;SG	N;NOM;FEM;SG
karalis	kralj	karalis	kralj	N;NOM;MASC;SG	N;NOM;MASC;SG
nodarbošanās	poklic	nodarbošanās	poklic	N;NOM;FEM;SG	N;NOM;MASC;SG
galvenokārt	večinoma	galvenokārt	večinoma	ADV	ADV
galvenokārt	največkrat	galvenokārt	največkrat	ADV	ADV;RL
galvenokārt	pretežno	galvenokārt	pretežno	ADV	ADV
galvenokārt	večinoma	galvenokārt	večinoma	ADV	ADV
galvenokārt	primarno	galvenokārt	primaren	ADV	ADV
stacijas	postaje	stacija	postaja	N;NOM;FEM;PL	N;NOM;FEM;PL
politiķis	politik	politiķis	politik	N;NOM;MASC;SG	N;NOM;MASC;SG
šeit	tukaj	šeit	tukaj	ADV	ADV
universitātes	univerze	universitāte	univerza	N;NOM;FEM;PL	N;NOM;FEM;PL
republikas	republike	republika	republika	N;NOM;FEM;PL	N;NOM;FEM;PL
apgabals	okrožje	apgabals	okrožje	N;NOM;MASC;SG	N;NOM;NEUT;SG
apgabals	okraj	apgabals	okraj	N;NOM;MASC;SG	N;NOM;MASC;SG
apgabals	okrožje	apgabals	okrožje	N;NOM;MASC;SG	N;NOM;NEUT;SG
apgabals	območje	apgabals	območje	N;NOM;MASC;SG	N;NOM;NEUT;SG
apgabals	površina	apgabals	površina	N;NOM;MASC;SG	N;NOM;FEM;SG
apgabals	področje	apgabals	področje	N;NOM;MASC;SG	N;NOM;NEUT;SG
darbības	operacije	darbība	operacija	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	dejavnosti	darbība	dejavnost	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	aktivnosti	darbība	aktivnost	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	dejanja	darbība	dejanje	N;NOM;FEM;PL	N;NOM;NEUT;PL
darbības	ukrepi	darbība	ukrep	N;NOM;FEM;PL	N;NOM;MASC;PL
cilvēki	ljudje	cilvēks	človek	N;NOM;MASC;PL	N;NOM;MASC;PL
cilvēki	osebe	cilvēks	oseba	N;NOM;MASC;PL	N;NOM;FEM;PL
izlase	vzorec	izlase	vzorec	N;NOM;FEM;SG	N;NOM;MASC;SG
izlase	izbira	izlase	izbira	N;NOM;FEM;SG	N;NOM;FEM;SG
izlase	izbor	izlase	izbor	N;NOM;FEM;SG	N;NOM;MASC;SG
izlase	izbiranje	izlase	izbiranje	N;NOM;FEM;SG	N;NOM;NEUT;SG
tur	tam	tur	tam	ADV	ADV
īpaši	posebej	īpaši	posebej	ADV	ADV
īpaši	posebno	īpaši	posebno	ADV	ADV
partija	zabava	partija	zabava	N;NOM;FEM;SG	N;NOM;FEM;SG
partija	žur	partija	žur	N;NOM;FEM;SG	N;NOM;MASC;SG
partija	party	partija	party	N;NOM;FEM;SG	N;NOM;MASC;SG
partija	serija	partija	serija	N;NOM;FEM;SG	N;NOM;FEM;SG
informācija	obveščanje	informācija	obveščanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
informācija	informacija	informācija	informacija	N;NOM;FEM;SG	N;NOM;FEM;SG
informācija	podatek	informācija	podatek	N;NOM;FEM;SG	N;NOM;MASC;SG
kluba	klub	klubs	klub	N;NOM;MASC;SG	N;NOM;MASC;SG
kluba	club	klubs	club	N;NOM;MASC;SG	N;NOM;MASC;SG
dzimusi	rodil	dzimt	roditi	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
teritorijas	ozemlja	teritorija	ozemlje	N;NOM;FEM;PL	N;NOM;NEUT;PL
teritorijas	območja	teritorija	območje	N;NOM;FEM;PL	N;NOM;NEUT;PL
teritorijas	področja	teritorija	področje	N;NOM;FEM;PL	N;NOM;NEUT;PL
teritorijas	površine	teritorija	površina	N;NOM;FEM;PL	N;NOM;FEM;PL
rajons	razdelek	rajons	razdelek	N;NOM;MASC;SG	N;NOM;MASC;SG
rajons	delitev	rajons	delitev	N;NOM;MASC;SG	N;NOM;FEM;SG
rajons	deljenje	rajons	deljenje	N;NOM;MASC;SG	N;NOM;NEUT;SG
rajons	oddelek	rajons	oddelek	N;NOM;MASC;SG	N;NOM;MASC;SG
rajons	divizija	rajons	divizija	N;NOM;MASC;SG	N;NOM;FEM;SG
rajons	okrožje	rajons	okrožje	N;NOM;MASC;SG	N;NOM;NEUT;SG
balvu	nagrado	balva	nagrada	N;ACC;FEM;SG	N;ACC;FEM;SG
medaļu	medaljo	medaļa	medalja	N;ACC;FEM;SG	N;ACC;FEM;SG
lielā	velika	liels	velik	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
lielā	velika	liels	velik	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
lielā	veliki	liels	velik	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
lielā	velik	liels	velik	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
pirmās	prvi	pirmā	prvi	ADJ;NOM;DEF;FEM;PL	ADJ;NOM;MASC;PL
ielas	ulice	iela	ulica	N;NOM;FEM;PL	N;NOM;FEM;PL
ielas	ceste	iela	cesta	N;NOM;FEM;PL	N;NOM;FEM;PL
sistēmas	sistemi	sistēma	sistem	N;NOM;FEM;PL	N;NOM;MASC;PL
līga	league	līga	league	N;NOM;FEM;SG	N;NOM;MASC;SG
līga	liga	līga	liga	N;NOM;FEM;SG	N;NOM;FEM;SG
nāves	smrt	nāve	smrt	N;NOM;FEM;SG	N;NOM;FEM;SG
augusts	august	augusts	august	N;NOM;MASC;SG	N;NOM;MASC;SG
augusts	avgust	augusts	avgust	N;NOM;MASC;SG	N;NOM;MASC;SG
augusts	avgust	augusts	avgust	N;NOM;MASC;SG	N;NOM;MASC;SG
augusts	augustus	augusts	augustus	N;NOM;MASC;SG	N;NOM;MASC;SG
galvenais	glavni	galvenais	glaven	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
galvenais	glavno	galvenais	glaven	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
galvenais	glavna	galvenais	glaven	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
galvenais	ključno	galvenais	ključen	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
universitāte	univerza	universitāte	univerza	N;NOM;FEM;SG	N;NOM;FEM;SG
uzvarēja	zmagali	uzvarēt	zmagati	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP
uzvarēja	zmagala	uzvarēt	zmagati	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
uzvarēja	zmagal	uzvarēt	zmagati	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
nodaļa	poglavje	nodaļa	poglavje	N;NOM;FEM;SG	N;NOM;NEUT;SG
liela	velika	liela	velik	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
liela	velika	liela	velik	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
liela	veliki	liela	velik	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
liela	velik	liela	velik	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
ieņēma	vzela	ieņemt	vzeti	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
ieņēma	vzel	ieņemt	vzeti	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
stacija	postaja	stacija	postaja	N;NOM;FEM;SG	N;NOM;FEM;SG
rakstnieks	pisec	rakstnieks	pisec	N;NOM;MASC;SG	N;NOM;MASC;SG
rakstnieks	pisateljica	rakstnieks	pisateljica	N;NOM;MASC;SG	N;NOM;FEM;SG
rakstnieks	pisatelj	rakstnieks	pisatelj	N;NOM;MASC;SG	N;NOM;MASC;SG
vien	sam	vien	samo	PART	PART
dziesmas	pesmi	dziesma	pesem	N;NOM;FEM;PL	N;NOM;FEM;PL
sākotnēji	sprva	sākotnēji	sprva	ADV	ADV
sākotnēji	prvotno	sākotnēji	prvotno	ADV	ADV
sākotnēji	prvotno	sākotnēji	prvotno	ADV	ADV
filma	film	filma	film	N;NOM;FEM;SG	N;NOM;MASC;SG
filma	film	filma	film	N;NOM;FEM;SG	N;NOM;MASC;SG
filmas	filmi	filma	film	N;NOM;FEM;PL	N;NOM;MASC;PL
filmas	filmi	filma	film	N;NOM;FEM;PL	N;NOM;MASC;PL
atkal	spet	atkal	spet	ADV	ADV
atkal	znova	atkal	znova	ADV	ADV
atkal	ponovno	atkal	ponovno	ADV	ADV
autors	avtor	autors	avtor	N;NOM;MASC;SG	N;NOM;MASC;SG
dzīvoja	živel	dzīvot	živeti	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
dzīvoja	živeli	dzīvot	živeti	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
dzīvoja	živela	dzīvot	živeti	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
zeme	zemlja	zeme	zemlja	N;NOM;FEM;SG	N;NOM;FEM;SG
zeme	zemlje	zeme	zemlja	N;NOM;FEM;SG	N;NOM;FEM;SG
zeme	dežela	zeme	dežela	N;NOM;FEM;SG	N;NOM;FEM;SG
zeme	kopno	zeme	kopno	N;NOM;FEM;SG	N;NOM;NEUT;SG
zeme	zemljišče	zeme	zemljišče	N;NOM;FEM;SG	N;NOM;NEUT;SG
dibināta	ustanovil	dibināt	ustanoviti	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
vēlēšanās	izvolitev	vēlēšanās	izvolitev	N;NOM;FEM;SG	N;NOM;FEM;SG
stadions	stadion	stadions	stadion	N;NOM;MASC;SG	N;NOM;MASC;SG
karš	vojna	karš	vojna	N;NOM;MASC;SG	N;NOM;FEM;SG
iedzīvotāji	prebivalci	iedzīvotājs	prebivalec	N;NOM;MASC;PL	N;NOM;MASC;PL
iedzīvotāji	stanovalci	iedzīvotājs	stanovalec	N;NOM;MASC;PL	N;NOM;MASC;PL
iedzīvotāji	prebivalci	iedzīvotājs	prebivalec	N;NOM;MASC;PL	N;NOM;MASC;PL
iedzīvotāji	meščani	iedzīvotājs	meščan	N;NOM;MASC;PL	N;NOM;MASC;PL
iedzīvotāji	državljani	iedzīvotājs	državljan	N;NOM;MASC;PL	N;NOM;MASC;PL
laiks	čas	laiks	čas	N;NOM;MASC;SG	N;NOM;MASC;SG
saņēma	prejeti	saņemt	prejeti	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;NFIN
valstis	države	valsts	država	N;NOM;FEM;PL	N;NOM;FEM;PL
valstis	države	valsts	država	N;NOM;FEM;PL	N;NOM;FEM;PL
skolas	šole	skola	šola	N;NOM;FEM;PL	N;NOM;FEM;PL
skolas	šole	skola	šola	N;NOM;FEM;PL	N;NOM;FEM;PL
