年	jaar	年	jaar	N	N;NEUT;SG
代表	vertegenwoordiger	代表	vertegenwoordiger	N	N;MASC+FEM;SG
公里	kilometer	公里	kilometer	N	N;MASC+FEM;SG
公里	kilometers	公里	kilometer	N	N;PL
公里	kilometer	公里	kilometer	N	N;MASC+FEM;SG
公里	kilometer	公里	kilometer	N	N;MASC+FEM;SG
公里	kilometers	公里	kilometer	N	N;PL
海	zee	海	zee	N	N;MASC+FEM;SG
海	oceaan	海	oceaan	N	N;MASC+FEM;SG
這	dit	這	dit	PRO	PRO;3
這	deze	這	deze	PRO	PRO
大學	universiteiten	大學	universiteit	N	N;PL
大學	universiteit	大學	universiteit	N	N;MASC+FEM;SG
大學	college	大學	college	N	N;NEUT;SG
大學	hogeschool	大學	hogeschool	N	N;MASC+FEM;SG
大學	universiteit	大學	universiteit	N	N;MASC+FEM;SG
版	editie	版	editie	N	N;MASC+FEM;SG
版	uitgave	版	uitgave	N	N;MASC+FEM;SG
版	versie	版	versie	N	N;MASC+FEM;SG
從	van	從	van	ADP	ADP
從	uit	從	uit	ADP	ADP
從	vanaf	從	vanaf	ADP	ADP
工作	job	工作	job	N	N;MASC+FEM;SG
工作	baan	工作	baan	N	N;MASC+FEM;SG
工作	werk	工作	werk	N	N;NEUT;SG
工作	arbeid	工作	arbeid	N	N;MASC+FEM;SG
工作	jobs	工作	job	N	N;PL
工作	vacatures	工作	vacature	N	N;PL
工作	banen	工作	baan	N	N;PL
北	kita	北	kita	N	N;MASC+FEM;SG
北	noorden	北	noorden	N	N;NEUT;SG
北	noord	北	noord	N	N;NEUT;SG
政治	politiek	政治	politiek	N	N;MASC+FEM;SG
政治	politiek	政治	politiek	N	N;MASC+FEM;SG
星	ster	星	ster	N	N;MASC+FEM;SG
星	star	星	star	N	N;MASC+FEM;SG
星	sterren	星	ster	N	N;PL
她	ze	她	ze	PRO;3	PRO;3
她	zij	她	zij	PRO;3	PRO;NOM;3
面	noedels	面	noedel	N	N;PL
河	rivier	河	rivier	N	N;MASC+FEM;SG
河	river	河	river	N	N;MASC+FEM;SG
文化	cultuur	文化	cultuur	N	N;MASC+FEM;SG
文化	cultures	文化	culture	N	N;PL
文化	culturen	文化	cultuur	N	N;PL
條目	vermeldingen	條目	vermelding	N	N;PL
條目	inzendingen	條目	inzending	N	N;PL
條目	ingangen	條目	ingaan	N	N;PL
馬	paarden	馬	paard	N	N;PL
馬	paard	馬	paard	N	N;NEUT;SG
氏	clan	氏	clan	N	N;MASC+FEM;SG
電影	filmpje	電影	filmp	N	N;NEUT;SG
電影	film	電影	film	N	N;MASC+FEM;SG
電影	bioscoop	電影	bioscoop	N	N;MASC+FEM;SG
電影	bioscopen	電影	bioscoop	N	N;PL
電影	cinema	電影	cinema	N	N;MASC+FEM;SG
電影	film	電影	film	N	N;MASC+FEM;SG
電影	films	電影	film	N	N;PL
電影	bioscoop	電影	bioscoop	N	N;MASC+FEM;SG
季	seizoen	季	seizoen	N	N;NEUT;SG
季	seizoenen	季	seizoen	N	N;PL
龍	draken	龍	draken	N	N;PL
龍	dragons	龍	dragon	N	N;MASC+FEM;SG
龍	longen	龍	long	N	N;PL
龍	lung	龍	lung	N	N;MASC+FEM;SG
龍	long	龍	long	N	N;MASC+FEM;SG
龍	draken	龍	draken	N	N;PL
龍	draak	龍	draak	N	N;MASC+FEM;SG
龍	dragon	龍	dragon	N	N;MASC+FEM;SG
女	vrouw	女	vrouw	N	N;MASC+FEM;SG
女	vrouw	女	vrouw	N	N;MASC+FEM;SG
女	vrouwtje	女	vrouwtje	N	N;NEUT;SG
字	woord	字	woord	N	N;NEUT;SG
字	woorden	字	woord	N	N;PL
不同	verschillend	不同	verschillend	ADJ	ADJ
不同	verschillende	不同	verschillend	ADJ	ADJ
足球	voetbal	足球	voetbal	N	N;NEUT;SG
足球	voetbal	足球	voetbal	N	N;NEUT;SG
所有	alle	所有	al	DET	DET
郡	county	郡	county	N	N;MASC+FEM;SG
郡	graafschap	郡	graafschap	N	N;NEUT;SG
國家	staten	國家	state	N	N;PL
國家	land	國家	land	N	N;NEUT;SG
國家	state	國家	state	N	N;MASC+FEM;SG
國家	landen	國家	land	N	N;PL
球	bal	球	bal	N	N;MASC+FEM;SG
球	ball	球	ball	N	N;MASC+FEM;SG
生	raw	生	raw	N	N;MASC+FEM;SG
街	straat	街	straat	N	N;MASC+FEM;SG
提供	verstrekt	提供	verstrekken	V	V;V.PTCP
提供	verstrekte	提供	verstrekken	V	V;SG;PST;FIN
城市	stad	城市	stad	N	N;MASC+FEM;SG
城市	steden	城市	stad	N	N;PL
水	water	水	water	N	N;NEUT;SG
人物	personage	人物	personage	N	N;NEUT;SG
人物	karakter	人物	karakter	N	N;NEUT;SG
軍	leger	軍	leger	N	N;NEUT;SG
軍	landmacht	軍	landmacht	N	N;MASC+FEM;SG
加入	meedoen	加入	meedoen	V	V;NFIN
史	shi	史	shi	N	N;MASC+FEM;SG
波	wave	波	wave	N	N;MASC+FEM;SG
波	golf	波	golf	N	N;MASC+FEM;SG
你	jij	你	jij	PRO;2	PRO;NOM;2
你	jou	你	jou	PRO;2	PRO;ACC;2
方	fang	方	fang	N	N;MASC+FEM;SG
話	dialect	話	dialect	N	N;NEUT;SG
東	oosten	東	oosten	N	N;NEUT;SG
東	oost	東	oost	N	N;MASC+FEM;SG
東	dong	東	dongen	N	N;MASC+FEM;SG
石	shi	石	shi	N	N;MASC+FEM;SG
石	steen	石	steen	N	N;MASC+FEM;SG
石	natuursteen	石	natuursteen	N	N;NEUT;SG
石	stone	石	stone	N	N;MASC+FEM;SG
石	stenen	石	steen	N	N;PL
事件	voorval	事件	voorval	N	N;NEUT;SG
事件	incident	事件	incident	N	N;NEUT;SG
事件	incidenten	事件	incident	N	N;PL
事件	voorvallen	事件	voorvallen	N	N;PL
事件	gebeurtenissen	事件	gebeurtenis	N	N;PL
事件	evenementen	事件	evenement	N	N;PL
事件	gebeurtenis	事件	gebeurtenis	N	N;MASC+FEM;SG
事件	evenement	事件	evenement	N	N;NEUT;SG
事件	event	事件	event	N	N;NEUT;SG
建立	bouwen	建立	bouwen	V	V;NFIN
建立	opbouwen	建立	opbouwen	V	V;NFIN
生活	levende	生活	leven	V	V;V.PTCP
教育	opvoeding	教育	opvoeding	N	N;MASC+FEM;SG
教育	onderwijs	教育	onderwijs	N	N;NEUT;SG
車站	station	車站	station	N	N;NEUT;SG
獎	prijsuitreiking	獎	prijsuitreiking	N	N;MASC+FEM;SG
獎	awards	獎	awards	N	N;PL
獎	onderscheidingen	獎	onderscheiding	N	N;PL
獎	onderscheiding	獎	onderscheiding	N	N;MASC+FEM;SG
獎	gunning	獎	gunning	N	N;MASC+FEM;SG
完成	voltooid	完成	voltooien	V	V;V.PTCP
完成	afgewerkt	完成	afwerken	V	V;V.PTCP
完成	afgewerkte	完成	afwerken	V	V;V.PTCP
完成	voltooien	完成	voltooien	V	V;NFIN
完成	afmaken	完成	afmaken	V	V;NFIN
完成	gedaan	完成	doen	V	V;V.PTCP
完成	voltooid	完成	voltooien	V	V;V.PTCP
完成	invullen	完成	invullen	V	V;NFIN
白	bai	白	bai	N	N;MASC+FEM;SG
音樂	muziek	音樂	muziek	N	N;MASC+FEM;SG
音樂	musical	音樂	musical	N	N;MASC+FEM;SG
他們	ze	他	ze	PRO;PL;3	PRO;3
他們	zij	他	zij	PRO;PL;3	PRO;NOM;3
分布	verspreid	分布	verspreiden	V	V;V.PTCP
分布	gedistribueerd	分布	distribuëren	V	V;V.PTCP
分布	uitgedeeld	分布	uitdelen	V	V;V.PTCP
分布	verdeeld	分布	verdelen	V	V;V.PTCP
地區	oppervlakten	地區	oppervlakte	N	N;PL
地區	gebieden	地區	gebied	N	N;PL
地區	district	地區	district	N	N;NEUT;SG
地區	gebied	地區	gebied	N	N;NEUT;SG
地區	oppervlakte	地區	oppervlakte	N	N;MASC+FEM;SG
車	auto	車	auto	N	N;MASC+FEM;SG
車	wagen	車	wagen	N	N;MASC+FEM;SG
官	officier	官	officier	N	N;MASC+FEM;SG
官	agent	官	agent	N	N;MASC+FEM;SG
中文	chinezen	中文	chinees	N	N;PL
自由	freedom	自由	freedom	N	N;MASC+FEM;SG
自由	vrijheid	自由	vrijheid	N	N;MASC+FEM;SG
自由	liberty	自由	liberty	N	N;MASC+FEM;SG
獲得	krijgen	獲得	krijgen	V	V;PL;PRS;FIN
獲得	krijg	獲得	krijgen	V	V;SG;PRS;FIN
光	light	光	light	N	N;MASC+FEM;SG
光	licht	光	licht	N	N;NEUT;SG
光	hikari	光	hikari	N	N;MASC+FEM;SG
重要	belangrijke	重要	belangrijk	ADJ	ADJ
重要	belangrijk	重要	belangrijk	ADJ	ADJ
工程	engineering	工程	engineering	N	N;MASC+FEM;SG
工程	machinebouw	工程	machinebouw	N	N;MASC+FEM;SG
工程	techniek	工程	techniek	N	N;MASC+FEM;SG
段	duan	段	duan	N	N;MASC+FEM;SG
提交	indienen	提交	indienen	V	V;NFIN
提交	ingezonden	提交	inzenden	V	V;V.PTCP
提交	ingediende	提交	indienen	V	V;V.PTCP
提交	ingediend	提交	indienen	V	V;V.PTCP
最佳	optimaal	最佳	optimaal	ADJ	ADJ
最佳	optimale	最佳	optimaal	ADJ	ADJ
最佳	optimaal	最佳	optimaal	ADJ	ADJ
最佳	optimale	最佳	optimaal	ADJ	ADJ
地方	plaats	地方	plaats	N	N;MASC+FEM;SG
地方	plaatsen	地方	plaats	N	N;PL
系列	serie	系列	serie	N	N;MASC+FEM;SG
系列	reeks	系列	reeks	N	N;MASC+FEM;SG
系列	reeksen	系列	reeks	N	N;PL
系列	series	系列	serie	N	N;PL
電視	televisie	電視	televisie	N	N;MASC+FEM;SG
花	hana	花	hana	N	N;MASC+FEM;SG
花	bloemen	花	bloem	N	N;PL
花	bloemetjes	花	bloem	N	N;PL
花	bloem	花	bloem	N	N;MASC+FEM;SG
花	bloempje	花	bloem	N	N;NEUT;SG
花	bloemetje	花	bloemetje	N	N;NEUT;SG
遊戲	wedstrijd	遊戲	wedstrijd	N	N;MASC+FEM;SG
遊戲	spel	遊戲	spel	N	N;NEUT;SG
遊戲	spelletje	遊戲	spel	N	N;NEUT;SG
遊戲	games	遊戲	game	N	N;PL
遊戲	spelletjes	遊戲	spel	N	N;PL
遊戲	spellen	遊戲	spellen	N	N;PL
最高	bovenste	最高	boven	ADJ	ADJ;RL
最高	hoogst	最高	hoog	ADJ	ADJ;RL
最高	hoogste	最高	hoog	ADJ	ADJ;RL
最高	opperste	最高	opperst	ADJ	ADJ;RL
要求	vereiste	要求	vereisen	V	V;V.PTCP
要求	eisen	要求	eisen	V	V;NFIN
要求	vereisten	要求	vereisten	V	V;V.PTCP
要求	eisen	要求	eisen	V	V;NFIN
要求	aanvragen	要求	aanvragen	V	V;NFIN
要求	eisen	要求	eisen	V	V;NFIN
要求	aanvragen	要求	aanvragen	V	V;NFIN
讓	laat	讓	laten	V;CAUS	V;SG;PRS;FIN
讓	laten	讓	laten	V;CAUS	V;PL;PRS;FIN
版本	versie	版本	versie	N	N;MASC+FEM;SG
版本	edities	版本	editie	N	N;PL
版本	uitgave	版本	uitgave	N	N;MASC+FEM;SG
版本	versies	版本	versiezen	N	N;PL
發現	gevonden	發現	vinden	V	V;V.PTCP
發現	ontdek	發現	ontdek	V	V;SG;PRS;FIN
發現	ontdekken	發現	ontdekken	V	V;NFIN
語	taal	語	taal	N	N;MASC+FEM;SG
語	taalgebruik	語	taalgebruik	N	N;NEUT;SG
內容	content	內容	content	N	N;PL
內容	inhoud	內容	inhoud	N	N;MASC+FEM;SG
出生	geboren	出生	geboren	V	V;V.PTCP
航空	luchtvaart	航空	luchtvaart	N	N;MASC+FEM;SG
航空	aero	航空	aero	N	N;MASC+FEM;SG
航空	luchtvaartmaatschappij	航空	luchtvaartmaatschappij	N	N;MASC+FEM;SG
航空	luchtvaartmaatschappijen	航空	luchtvaartmaatschappij	N	N;PL
航空	airlines	航空	airline	N	N;PL
航空	lucht	航空	lucht	N	N;MASC+FEM;SG
數	telling	數	telling	N	N;MASC+FEM;SG
數	graaf	數	graaf	N	N;MASC+FEM;SG
數	tel	數	tellen	N	N;MASC+FEM;SG
數	nummer	數	nummer	N	N;MASC+FEM;SG
數	aantal	數	aantal	N	N;NEUT;SG
數	getal	數	getal	N	N;NEUT;SG
出版	gepubliceerd	出版	publiceren	V	V;V.PTCP
出版	verschenen	出版	verschijnen	V	V;V.PTCP
出版	gepubliceerde	出版	publiceren	V	V;V.PTCP
出版	uitgegeven	出版	uitgeven	V	V;V.PTCP
出版	publiceren	出版	publiceren	V	V;NFIN
成功	succes	成功	succes	N	N;NEUT;SG
面積	gebied	面積	gebied	N	N;NEUT;SG
面積	oppervlakte	面積	oppervlakte	N	N;MASC+FEM;SG
堡	fort	堡	fort	N	N;NEUT;SG
系統	systeem	系統	systeem	N	N;NEUT;SG
系統	stelsel	系統	stelsel	N	N;NEUT;SG
系統	systemen	系統	systeem	N	N;PL
冠軍	kampioen	冠軍	kampioen	N	N;MASC+FEM;SG
冠軍	champ	冠軍	champ	N	N;MASC+FEM;SG
冠軍	kampioen	冠軍	kampioen	N	N;MASC+FEM;SG
冠軍	kampioenen	冠軍	kampioen	N	N;PL
冠軍	champions	冠軍	champion	N	N;PL
問題	probleem	問題	probleem	N	N;NEUT;SG
問題	vraagje	問題	vraag	N	N;NEUT;SG
問題	vraag	問題	vraag	N	N;MASC+FEM;SG
海拔	hoogte	海拔	hoogte	N	N;MASC+FEM;SG
海拔	hoogte	海拔	hoogte	N	N;MASC+FEM;SG
方式	methode	方式	methode	N	N;MASC+FEM;SG
率	tarief	率	tarief	N	N;NEUT;SG
名稱	naam	名稱	naam	N	N;MASC+FEM;SG
得到	krijgen	得到	krijgen	V	V;PL;PRS;FIN
得到	krijg	得到	krijgen	V	V;SG;PRS;FIN
街道	straat	街道	straat	N	N;MASC+FEM;SG
街道	straatjes	街道	straat	N	N;PL
街道	straat	街道	straat	N	N;MASC+FEM;SG
街道	straten	街道	straat	N	N;PL
存在	bestaan	存在	bestaan	V	V;NFIN
刪除	verwijderde	刪除	verwijderen	V	V;SG;PST;FIN
刪除	geschrapt	刪除	schrappen	V	V;V.PTCP
刪除	verwijderd	刪除	verwijderen	V	V;V.PTCP
刪除	gewist	刪除	wissen	V	V;V.PTCP
刪除	verwijder	刪除	verwijder	V	V;SG;PRS;FIN
刪除	verwijderen	刪除	verwijderen	V	V;NFIN
刪除	verwijder	刪除	verwijder	V	V;SG;PRS;FIN
刪除	verwijderen	刪除	verwijderen	V	V;NFIN
刪除	doorhalen	刪除	doorhaal	V	V;NFIN
設計	ontwerpen	設計	ontwerpen	V	V;NFIN
設計	ontwerpen	設計	ontwerpen	V	V;NFIN
設計	ontwerpen	設計	ontwerpen	V	V;NFIN
群	groep	群	groep	N	N;MASC+FEM;SG
群	fractie	群	fractie	N	N;MASC+FEM;SG
負責	verantwoord	負責	verantwoorden	V	V;V.PTCP
服務	opdienen	服務	opdienen	V	V;NFIN
服務	serveren	服務	serveren	V	V;NFIN
服務	dienen	服務	dienen	V	V;NFIN
服務	serveert	服務	serveren	V	V;SG;PRS;FIN
機	machine	機	machine	N	N;MASC+FEM;SG
任何	elke	任何	elk	DET	DET
頁	bladzijden	頁	bladzijde	N	N;PL
條	stroken	條	strook	N	N;PL
兩	twee	兩	twee	NUM	NUM
著名	beroemde	著名	beroemd	ADJ	ADJ
著名	beroemd	著名	beroemd	ADJ	ADJ
志	zhi	志	zhien	N	N;MASC+FEM;SG
志	chi	志	chi	N	N;MASC+FEM;SG
已經	al	已經	al	ADV	ADV
已經	reeds	已經	reeds	ADV	ADV
專輯	album	專輯	album	N	N;NEUT;SG
專輯	albums	專輯	album	N	N;PL
角色	personage	角色	personage	N	N;NEUT;SG
角色	karakter	角色	karakter	N	N;NEUT;SG
角色	rol	角色	rol	N	N;MASC+FEM;SG
角色	personages	角色	personage	N	N;PL
角色	tekens	角色	teken	N	N;PL
角色	karakters	角色	karakter	N	N;PL
角色	rollen	角色	rol	N	N;PL
武	takeshi	武	takeshi	N	N;MASC+FEM;SG
成員	lid	成員	lid	N	N;NEUT;SG
成員	leden	成員	lid	N	N;PL
新聞	nieuwsberichten	新聞	nieuwsbericht	N	N;PL
劇	drama	劇	drama	N	N;NEUT;SG
女性	vrouwtjes	女性	vrouw	N	N;PL
女性	vrouwen	女性	vrouw	N	N;PL
女性	vrouw	女性	vrouw	N	N;MASC+FEM;SG
女性	vrouwtje	女性	vrouwtje	N	N;NEUT;SG
女性	vrouwen	女性	vrouw	N	N;PL
高度	hoogte	高度	hoogte	N	N;MASC+FEM;SG
高度	hoogte	高度	hoogte	N	N;MASC+FEM;SG
高度	lengte	高度	lengte	N	N;MASC+FEM;SG
說	zeg	說	zeggen	V	V;SG;PRS;FIN
說	zeggen	說	zeggen	V	V;NFIN
男	male	男	maal	N	N;MASC+FEM;SG
男	mannetje	男	mannetje	N	N;NEUT;SG
合作	meewerken	合作	meewerken	V	V;NFIN
門	gate	門	gaan	N	N;MASC+FEM;SG
門	poort	門	poort	N	N;MASC+FEM;SG
門	hek	門	hek	N	N;NEUT;SG
門	deur	門	deur	N	N;MASC+FEM;SG
門	deuren	門	deur	N	N;PL
卷	rollen	卷	rol	N	N;PL
卷	rol	卷	rol	N	N;MASC+FEM;SG
卷	rollen	卷	rol	N	N;PL
卷	rolls	卷	rolls	N	N;PL
位置	positie	位置	positie	N	N;MASC+FEM;SG
位置	lokatie	位置	lokatie	N	N;MASC+FEM;SG
位置	locatie	位置	locatie	N	N;MASC+FEM;SG
位置	ligging	位置	ligging	N	N;MASC+FEM;SG
活動	activiteiten	活動	activiteit	N	N;PL
活動	activiteit	活動	activiteit	N	N;MASC+FEM;SG
活動	gebeurtenissen	活動	gebeurtenis	N	N;PL
活動	evenementen	活動	evenement	N	N;PL
活動	gebeurtenis	活動	gebeurtenis	N	N;MASC+FEM;SG
活動	evenement	活動	evenement	N	N;NEUT;SG
活動	event	活動	event	N	N;NEUT;SG
活動	activiteit	活動	activiteit	N	N;MASC+FEM;SG
只	alleen	只	alleen	ADV	ADV
只	slechts	只	slechts	ADV	ADV
歷史	geschiedenis	歷史	geschiedenis	N	N;MASC+FEM;SG
歌曲	nummers	歌曲	nummer	N	N;PL
歌曲	liederen	歌曲	lied	N	N;PL
歌曲	songs	歌曲	songs	N	N;PL
歌曲	liedjes	歌曲	lied	N	N;PL
歌曲	nummer	歌曲	nummer	N	N;MASC+FEM;SG
歌曲	song	歌曲	song	N	N;MASC+FEM;SG
歌曲	zang	歌曲	zang	N	N;MASC+FEM;SG
歌曲	lied	歌曲	lied	N	N;NEUT;SG
歌曲	liedje	歌曲	liedje	N	N;NEUT;SG
點	puntjes	點	punt	N	N;PL
點	stippen	點	stippen	N	N;PL
點	puntje	點	punt	N	N;NEUT;SG
點	dot	點	dot	N	N;MASC+FEM;SG
點	stip	點	stip	N	N;MASC+FEM;SG
點	punt	點	punt	N	N;NEUT;SG
點	point	點	point	N	N;MASC+FEM;SG
植物	planten	植物	plant	N	N;PL
植物	plantjes	植物	plant	N	N;PL
植物	plant	植物	plant	N	N;MASC+FEM;SG
封	verzegelen	封	verzegelen	V	V;NFIN
皮	leer	皮	leer	N	N;MASC+FEM;SG
皮	leder	皮	leder	N	N;MASC+FEM;SG
非常	zeer	非常	zeer	ADV	ADV
通常	meestal	通常	meestal	ADV	ADV
通常	normaliter	通常	normaliter	ADV	ADV
比賽	wedstrijd	比賽	wedstrijd	N	N;MASC+FEM;SG
比賽	spel	比賽	spel	N	N;NEUT;SG
比賽	spelletje	比賽	spel	N	N;NEUT;SG
比賽	race	比賽	race	N	N;MASC+FEM;SG
比賽	ras	比賽	ras	N	N;NEUT;SG
比賽	wedstrijdje	比賽	wedstrijd	N	N;NEUT;SG
比賽	wedstrijd	比賽	wedstrijd	N	N;MASC+FEM;SG
比賽	prijsvraag	比賽	prijsvraag	N	N;MASC+FEM;SG
聯賽	league	聯賽	league	N	N;MASC+FEM;SG
聯賽	liga	聯賽	liga	N	N;MASC+FEM;SG
學校	scholen	學校	school	N	N;PL
學校	school	學校	school	N	N;MASC+FEM;SG
信	letteren	信	letteren	N	N;PL
信	letters	信	letter	N	N;PL
信	brieven	信	brief	N	N;PL
信	brief	信	brief	N	N;MASC+FEM;SG
信	letter	信	letter	N	N;MASC+FEM;SG
期間	tijdvak	期間	tijdvak	N	N;NEUT;SG
期間	periode	期間	periode	N	N;MASC+FEM;SG
接受	geaccepteerde	接受	accepteren	V	V;SG;PST;FIN
接受	aanvaard	接受	aanvaarden	V	V;V.PTCP
接受	aanvaarde	接受	aanvaarden	V	V;SG;PST;FIN
接受	geaccepteerd	接受	accepteren	V	V;V.PTCP
接受	accepteren	接受	accepteren	V	V;NFIN
接受	aanvaarden	接受	aanvaarden	V	V;NFIN
接受	accepteer	接受	accepteer	V	V;SG;PRS;FIN
書	boek	書	boek	N	N;NEUT;SG
書	boeken	書	boek	N	N;PL
交通	vervoer	交通	vervoer	N	N;NEUT;SG
交通	transport	交通	transport	N	N;NEUT;SG
交通	verkeer	交通	verkeer	N	N;NEUT;SG
交通	vervoer	交通	vervoer	N	N;NEUT;SG
交通	transport	交通	transport	N	N;NEUT;SG
木	hout	木	hout	N	N;NEUT;SG
討論	bespreken	討論	bespreken	V	V;NFIN
討論	bespreek	討論	bespreken	V	V;SG;PRS;FIN
故事	verhaal	故事	verhaal	N	N;NEUT;SG
故事	story	故事	story	N	N;MASC+FEM;SG
故事	verslagen	故事	verslag	N	N;PL
故事	verhalen	故事	verhaal	N	N;PL
故事	verhaaltjes	故事	verhaal	N	N;PL
參與	deelnemende	參與	deelnemen	V	V;V.PTCP
保留	voorbehouden	保留	voorbehouden	V	V;V.PTCP
保留	gereserveerde	保留	reserveren	V	V;V.PTCP
