年	рік	年	рік	N	N;INAN;NOM;MASC;SG
太空	пробіл	太空	пробіл	N	N;INAN;NOM;MASC;SG
太空	простір	太空	простір	N	N;INAN;NOM;MASC;SG
自己	себе	自己	себе	PRO	PRO;ACC;REFL
自己	собі	自己	себе	PRO	PRO;DAT;REFL
自己	собою	自己	себе	PRO	PRO;INS;REFL
內	площина	內	площина	N	N;INAN;NOM;FEM;SG
管理	керувати	管理	керувати	V	V;IPFV;NFIN
成	стануть	成	стати	V	V;PFV;IND;PL;3;FUT;FIN
成	стати	成	стати	V	V;PFV;NFIN
成	стають	成	ставати	V	V;IPFV;IND;PL;3;PRS;FIN
建	зібрати	建	зібрати	V	V;PFV;NFIN
建	побудувати	建	побудувати	V	V;PFV;NFIN
建	будувати	建	будувати	V	V;IPFV;NFIN
建	побудовано	建	побудовати	V	V;PFV;IND;0;FIN
建	побудували	建	побудувати	V	V;PFV;IND;PL;PST;FIN
建	зібрано	建	зібрати	V	V;PFV;IND;0;FIN
性	сексуальність	性	сексуальність	N	N;INAN;NOM;FEM;SG
性	стать	性	стать	N	N;INAN;NOM;FEM;SG
性	секс	性	секс	N	N;INAN;NOM;MASC;SG
代表	представники	代表	представник	N	N;ANIM;NOM;MASC;PL
代表	представників	代表	представник	N	N;ANIM;ACC;MASC;PL
代表	представник	代表	представник	N	N;ANIM;NOM;MASC;SG
代表	представника	代表	представник	N	N;ANIM;ACC;MASC;SG
代表	делегат	代表	делегат	N	N;ANIM;NOM;MASC;SG
公里	кілометри	公里	кілометр	N	N;INAN;NOM;MASC;PL
公里	кілометр	公里	кілометр	N	N;INAN;NOM;MASC;SG
公里	кілометри	公里	кілометр	N	N;INAN;NOM;MASC;PL
海	море	海	море	N	N;INAN;NOM;NEUT;SG
海	океан	海	океан	N	N;INAN;NOM;MASC;SG
大學	університети	大學	університети	N	N;INAN;NOM;MASC;PL
大學	університет	大學	університет	N	N;INAN;NOM;MASC;SG
大學	коледж	大學	коледж	N	N;INAN;NOM;MASC;SG
大學	коледжі	大學	коледжа	N	N;INAN;NOM;MASC;SG
版	редакція	版	редакція	N	N;INAN;NOM;FEM;SG
版	видання	版	видання	N	N;INAN;NOM;NEUT;SG
版	версія	版	версія	N	N;INAN;NOM;FEM;SG
從	від	從	від	ADP	ADP;GEN
工作	завдання	工作	завдання	N	N;INAN;NOM;NEUT;SG
工作	робота	工作	робота	N	N;INAN;NOM;FEM;SG
工作	роботи	工作	робота	N	N;INAN;NOM;FEM;PL
工作	робота	工作	робота	N	N;INAN;NOM;FEM;SG
工作	роботу	工作	робота	N	N;INAN;ACC;FEM;SG
工作	завдання	工作	завдання	N	N;INAN;NOM;NEUT;SG
工作	задачі	工作	задача	N	N;INAN;NOM;FEM;PL
工作	робота	工作	робота	N	N;INAN;NOM;FEM;SG
北	північ	北	північ	N	N;INAN;NOM;FEM;SG
政治	політика	政治	політика	N	N;INAN;NOM;FEM;SG
星	зоря	星	зоря	N	N;INAN;NOM;FEM;SG
星	зірочки	星	зірочка	N	N;INAN;NOM;MASC;PL
星	зірка	星	зірка	N	N;ANIM;NOM;FEM;SG
星	зірки	星	зірка	N	N;ANIM;NOM;FEM;PL
她	вона	她	вона	PRO;3	PRO;NOM;FEM;SG;3
他	його	他	він	PRO;3	PRO;ACC;MASC;SG;3
面	локшина	面	локшина	N	N;ANIM;NOM;FEM;SG
河	річка	河	річка	N	N;INAN;NOM;FEM;SG
河	ріка	河	ріка	N	N;INAN;NOM;FEM;SG
文化	культура	文化	культура	N	N;INAN;NOM;FEM;SG
文化	культур	文化	культура	N	N;INAN;GEN;FEM;PL
條目	записів	條目	запис	N	N;INAN;GEN;MASC;PL
條目	пункти	條目	пункт	N	N;INAN;NOM;MASC;PL
條目	записи	條目	запис	N	N;INAN;NOM;MASC;PL
條目	елементи	條目	елемент	N	N;INAN;NOM;MASC;PL
馬	коней	馬	коній	N	N;ANIM;ACC;MASC;PL
馬	коні	馬	кінь	N	N;ANIM;NOM;MASC;PL
馬	кінь	馬	кінь	N	N;ANIM;NOM;MASC;SG
氏	клан	氏	клан	N	N;INAN;NOM;MASC;SG
氏	рід	氏	рід	N	N;INAN;NOM;MASC;SG
更	більше	更	більше	ADV	ADV;CMPR
電影	фільм	電影	фільм	N	N;INAN;NOM;MASC;SG
電影	кіно	電影	кіно	N	N;INAN;NOM;NEUT;SG
電影	кінематограф	電影	кінематограф	N	N;INAN;NOM;MASC;SG
電影	кіно	電影	кіно	N	N;INAN;NOM;NEUT;SG
電影	фільм	電影	фільм	N	N;INAN;NOM;MASC;SG
電影	плівка	電影	плівка	N	N;INAN;NOM;FEM;SG
電影	фільми	電影	фільм	N	N;INAN;NOM;MASC;PL
電影	кіно	電影	кіно	N	N;INAN;NOM;NEUT;SG
季	сезон	季	сезон	N	N;INAN;NOM;MASC;SG
季	сезону	季	сезон	N	N;INAN;GEN;MASC;SG
季	сезони	季	сезон	N	N;INAN;NOM;MASC;PL
龍	дракони	龍	дракон	N	N;ANIM;NOM;MASC;PL
龍	драконів	龍	дракон	N	N;ANIM;ACC;MASC;PL
龍	легені	龍	легеня	N	N;INAN;NOM;FEM;PL
龍	дракон	龍	дракон	N	N;ANIM;NOM;MASC;SG
女	жінка	女	жінка	N	N;ANIM;NOM;FEM;SG
女	самка	女	самка	N	N;ANIM;NOM;FEM;SG
女	жінка	女	жінка	N	N;ANIM;NOM;FEM;SG
正式	офіційно	正式	офіційно	ADV	ADV
字	словом	字	слово	N	N;INAN;INS;NEUT;SG
字	слово	字	слово	N	N;INAN;NOM;NEUT;SG
字	слів	字	слово	N	N;INAN;GEN;NEUT;PL
字	слова	字	слово	N	N;INAN;NOM;NEUT;PL
不同	різні	不同	різний	ADJ	ADJ;NOM;PL
不同	різних	不同	різний	ADJ	ADJ;ACC;PL
不同	відмінні	不同	відмінний	ADJ	ADJ;NOM;PL
足球	футбол	足球	футбол	N	N;INAN;NOM;MASC;SG
足球	футбол	足球	футбол	N	N;INAN;NOM;MASC;SG
目前	течія	目前	течія	N	N;INAN;NOM;FEM;SG
目前	струм	目前	струм	N	N;INAN;NOM;MASC;SG
所有	усі	所有	увесь	DET	DET;NOM;PL
所有	всі	所有	весь	DET	DET;NOM;PL
部分	розкладання	部分	розкладання	N	N;INAN;NOM;NEUT;SG
郡	графство	郡	графство	N	N;INAN;NOM;NEUT;SG
郡	повіт	郡	повіт	N	N;INAN;NOM;MASC;SG
郡	жупанія	郡	жупанія	N	N;INAN;NOM;FEM;SG
國家	стани	國家	стан	N	N;INAN;NOM;MASC;PL
國家	країни	國家	країна	N	N;INAN;NOM;FEM;PL
國家	країна	國家	країна	N	N;INAN;NOM;FEM;SG
國家	кантрі	國家	кантрі	N	N;INAN;NOM;FEM;PL
國家	стан	國家	стан	N	N;INAN;NOM;MASC;SG
國家	держава	國家	держава	N	N;INAN;NOM;FEM;SG
國家	країн	國家	країна	N	N;INAN;GEN;FEM;PL
國家	країни	國家	країна	N	N;INAN;NOM;FEM;PL
球	кулька	球	кулька	N	N;INAN;NOM;FEM;SG
球	бал	球	бал	N	N;INAN;NOM;MASC;SG
街	вулиця	街	вулиця	N	N;INAN;NOM;FEM;SG
提供	надано	提供	надати	V	V;PFV;IND;0;FIN
提供	надають	提供	надавати	V	V;IPFV;IND;PL;3;PRS;FIN
提供	надати	提供	надати	V	V;PFV;NFIN
城市	місто	城市	місто	N	N;INAN;NOM;NEUT;SG
城市	міста	城市	місто	N	N;INAN;NOM;NEUT;SG
城市	городи	城市	город	N	N;INAN;NOM;MASC;PL
城市	містах	城市	місто	N	N;INAN;ESS;NEUT;PL
長	хай	長	хай	PART	PART
水	вода	水	вода	N	N;INAN;NOM;FEM;SG
水	водні	水	водній	N	N;INAN;NOM;MASC;PL
人物	характер	人物	характер	N	N;INAN;NOM;MASC;SG
人物	символів	人物	символ	N	N;INAN;GEN;MASC;PL
人物	персонаж	人物	персонаж	N	N;ANIM;NOM;MASC;SG
人物	символ	人物	символ	N	N;INAN;NOM;MASC;SG
軍	армії	軍	армія	N	N;INAN;GEN;FEM;SG
軍	армія	軍	армія	N	N;INAN;NOM;FEM;SG
軍	військо	軍	військо	N	N;INAN;NOM;NEUT;SG
加入	приєднатися	加入	приєднатися	V	V;PFV;NFIN
加入	приєднатись	加入	приєднатися	V	V;PFV;NFIN
加入	долучитися	加入	долучитися	V	V;PFV;NFIN
加入	приєднуйтесь	加入	приєднутися	V	V;IPFV;IMP;PL;2;FIN
加入	приєднуйтеся	加入	приєднутися	V	V;IPFV;IMP;PL;2;FIN
加入	приєднався	加入	приєднатися	V	V;PFV;MASC;IND;SG;PST;FIN
加入	долучився	加入	долучитися	V	V;PFV;MASC;IND;SG;PST;FIN
加入	приєдналися	加入	приєднатися	V	V;PFV;IND;PL;PST;FIN
加入	приєднується	加入	приєднуватися	V	V;IPFV;IND;SG;3;PRS;FIN
加入	приєдналася	加入	приєднатися	V	V;PFV;FEM;IND;SG;PST;FIN
第三	третє	第三	третєпа	NUM	NUM;NOM;NEUT
屬	рід	屬	рід	N	N;INAN;NOM;MASC;SG
魚	риб	魚	риба	N	N;ANIM;ACC;FEM;PL
魚	риба	魚	риба	N	N;ANIM;NOM;FEM;SG
魚	рибу	魚	риба	N	N;ANIM;ACC;FEM;SG
魚	рибка	魚	рибка	N	N;ANIM;NOM;FEM;SG
魚	риби	魚	риба	N	N;ANIM;NOM;FEM;PL
波	хвиля	波	хвиля	N	N;INAN;NOM;FEM;SG
無	немає	無	немати	V	V;IPFV;IND;SG;3;NEG;PRS;FIN
你	тобою	你	ти	PRO;2	PRO;ANIM;INS;SG;2
你	ви	你	ви	PRO;2	PRO;ANIM;NOM;PL;2
你	ти	你	ти	PRO;2	PRO;ANIM;NOM;SG;2
你	тебе	你	ти	PRO;2	PRO;ANIM;ACC;SG;2
話	діалект	話	діалект	N	N;INAN;NOM;MASC;SG
東	схід	東	схід	N	N;INAN;NOM;MASC;SG
石	камінь	石	камінь	N	N;INAN;NOM;MASC;SG
事件	інцидент	事件	інцидент	N	N;INAN;NOM;MASC;SG
事件	дтп	事件	дтп	N	N;INAN;NOM;FEM;PL
事件	випадки	事件	випадок	N	N;INAN;NOM;MASC;PL
事件	події	事件	подія	N	N;INAN;NOM;FEM;PL
事件	подію	事件	подія	N	N;INAN;ACC;FEM;SG
事件	події	事件	подія	N	N;INAN;NOM;FEM;PL
事件	подією	事件	подія	N	N;INAN;INS;FEM;SG
事件	подія	事件	подія	N	N;INAN;NOM;FEM;SG
建立	зібрати	建立	зібрати	V	V;PFV;NFIN
建立	побудувати	建立	побудувати	V	V;PFV;NFIN
建立	будувати	建立	будувати	V	V;IPFV;NFIN
教育	освіта	教育	освіта	N	N;INAN;NOM;FEM;SG
教育	освіти	教育	освіта	N	N;INAN;NOM;FEM;PL
車站	станція	車站	станція	N	N;INAN;NOM;FEM;SG
車站	станції	車站	станція	N	N;INAN;NOM;FEM;PL
車站	вокзал	車站	вокзал	N	N;INAN;NOM;MASC;SG
國際	інтернаціонал	國際	інтернаціонал	N	N;INAN;NOM;MASC;SG
獎	нагороди	獎	нагорода	N	N;INAN;NOM;MASC;PL
獎	премія	獎	премія	N	N;INAN;NOM;FEM;SG
獎	нагорода	獎	нагорода	N	N;INAN;NOM;FEM;SG
完成	завершено	完成	завершити	V	V;PFV;IND;0;FIN
完成	закінчено	完成	закінчити	V	V;PFV;IND;0;FIN
完成	закінчиться	完成	закінчитися	V	V;PFV;IND;SG;3;FUT;FIN
完成	закінчив	完成	закінчити	V	V;PFV;MASC;IND;SG;PST;FIN
完成	завершити	完成	завершити	V	V;PFV;NFIN
完成	закінчити	完成	закінчити	V	V;PFV;NFIN
完成	зроблено	完成	зробити	V	V;PFV;IND;0;FIN
完成	закінчили	完成	закінчити	V	V;PFV;IND;PL;PST;FIN
完成	виконано	完成	виконати	V	V;PFV;IND;0;FIN
完成	завершити	完成	завершити	V	V;PFV;NFIN
音樂	музика	音樂	музика	N	N;INAN;NOM;FEM;SG
音樂	музики	音樂	музика	N	N;INAN;NOM;FEM;PL
音樂	музик	音樂	музик	N	N;INAN;NOM;MASC;PL
音樂	музиці	音樂	музика	N	N;INAN;DAT;FEM;PL
音樂	музику	音樂	музика	N	N;INAN;ACC;FEM;SG
音樂	мюзикл	音樂	мюзикл	N	N;INAN;NOM;MASC;SG
他們	вони	他	вони	PRO;PL;3	PRO;NOM;PL;3
分布	поширюється	分布	поширюватися	V	V;IPFV;IND;SG;3;PRS;FIN
地區	області	地區	область	N	N;INAN;GEN;FEM;SG
地區	ділянки	地區	ділянка	N	N;INAN;NOM;FEM;PL
地區	територіях	地區	територія	N	N;INAN;ESS;FEM;PL
地區	площі	地區	площа	N	N;INAN;ACC;FEM;PL
地區	районів	地區	район	N	N;INAN;GEN;MASC;PL
地區	улус	地區	улус	N	N;INAN;NOM;MASC;SG
地區	округ	地區	округ	N	N;INAN;NOM;MASC;SG
地區	район	地區	район	N	N;INAN;NOM;MASC;SG
地區	область	地區	область	N	N;INAN;NOM;FEM;SG
地區	ділянка	地區	ділянка	N	N;INAN;NOM;FEM;SG
地區	площа	地區	площа	N	N;INAN;NOM;FEM;SG
地區	місцевість	地區	місцевість	N	N;INAN;NOM;FEM;SG
車	автомобілем	車	автомобіль	N	N;INAN;INS;MASC;SG
車	машина	車	машина	N	N;INAN;NOM;FEM;SG
車	авто	車	авто	N	N;INAN;NOM;NEUT;SG
車	автомобіль	車	автомобіль	N	N;INAN;NOM;MASC;SG
車	автомобілі	車	автомобіль	N	N;INAN;NOM;MASC;PL
車	тачки	車	тачка	N	N;INAN;NOM;FEM;PL
官	наглядач	官	наглядач	N	N;ANIM;NOM;MASC;SG
官	офіцер	官	офіцер	N	N;ANIM;NOM;MASC;SG
中文	китайці	中文	китайка	N	N;ANIM;NOM;MASC;PL
自由	свобода	自由	свобода	N	N;INAN;NOM;FEM;SG
自由	свобода	自由	свобода	N	N;INAN;NOM;FEM;SG
獲得	отримати	獲得	отримати	V	V;PFV;NFIN
光	світлі	光	світло	N	N;INAN;NOM;NEUT;SG
光	світло	光	світло	N	N;INAN;NOM;NEUT;SG
重要	важлива	重要	важливий	ADJ	ADJ;NOM;FEM;SG
重要	важливі	重要	важливий	ADJ	ADJ;NOM;PL
重要	важливий	重要	важливий	ADJ	ADJ;NOM;MASC;SG
重要	важливе	重要	важливий	ADJ	ADJ;NOM;NEUT;SG
工程	техніка	工程	техніка	N	N;INAN;NOM;FEM;SG
工程	інженерія	工程	інженерія	N	N;INAN;NOM;FEM;SG
提交	надіслати	提交	надіслати	V	V;PFV;NFIN
提交	подати	提交	подати	V	V;PFV;NFIN
提交	надіслано	提交	надіслати	V	V;PFV;IND;0;FIN
需要	вимагає	需要	вимагати	V	V;IPFV;IND;SG;3;PRS;FIN
需要	потребує	需要	потребувати	V	V;IPFV;IND;SG;3;PRS;FIN
最佳	оптимального	最佳	оптимальний	ADJ	ADJ;GEN;MASC;SG
最佳	оптимальний	最佳	оптимальний	ADJ	ADJ;NOM;MASC;SG
這	цей	這	цей	DET	DET;NOM;MASC;SG
這	ця	這	цей	DET	DET;NOM;FEM;SG
地方	місце	地方	місце	N	N;INAN;NOM;NEUT;SG
地方	місць	地方	місце	N	N;INAN;GEN;NEUT;PL
地方	місця	地方	місце	N	N;INAN;NOM;NEUT;PL
地方	місцини	地方	місцина	N	N;INAN;NOM;FEM;PL
系列	серія	系列	серія	N	N;INAN;NOM;FEM;SG
系列	серії	系列	серія	N	N;INAN;NOM;FEM;PL
系列	ряд	系列	ряд	N	N;INAN;NOM;MASC;SG
系列	ряди	系列	ряд	N	N;INAN;NOM;MASC;PL
電視	телебачення	電視	телебачення	N	N;INAN;NOM;NEUT;SG
花	квіти	花	квіта	N	N;INAN;NOM;MASC;PL
花	квітки	花	квітка	N	N;INAN;NOM;FEM;PL
花	квітка	花	квітка	N	N;INAN;NOM;FEM;SG
神	бога	神	бог	N	N;ANIM;ACC;MASC;SG
神	бог	神	бог	N	N;ANIM;NOM;MASC;SG
遊戲	гра	遊戲	гра	N	N;INAN;NOM;FEM;SG
遊戲	гри	遊戲	гра	N	N;INAN;NOM;FEM;PL
遊戲	гру	遊戲	гра	N	N;INAN;ACC;FEM;SG
遊戲	ігри	遊戲	ігра	N	N;INAN;NOM;MASC;PL
最高	верхній	最高	верхній	ADJ	ADJ;NOM;MASC;SG
最高	найпопулярніші	最高	найпопулярніший	ADJ	ADJ;NOM;RL;PL
最高	найвища	最高	найвище	ADJ	ADJ;NOM;RL;FEM;SG
最高	найвищий	最高	найвищий	ADJ	ADJ;NOM;CMPR;MASC;SG
要求	вимагає	要求	вимагати	V	V;IPFV;IND;SG;3;PRS;FIN
要求	вимагаю	要求	вимагати	V	V;IPFV;IND;SG;1;PRS;FIN
版本	версія	版本	версія	N	N;INAN;NOM;FEM;SG
版本	редакціях	版本	редакція	N	N;INAN;ESS;FEM;PL
版本	версії	版本	версія	N	N;INAN;NOM;FEM;PL
版本	версій	版本	версія	N	N;INAN;GEN;FEM;PL
發現	знайшов	發現	знайти	V	V;PFV;MASC;IND;SG;PST;FIN
發現	знайдено	發現	знайти	V	V;PFV;IND;0;FIN
發現	знайшовся	發現	знайтися	V	V;PFV;MASC;IND;SG;PST;FIN
發現	знайшла	發現	знайти	V	V;PFV;FEM;IND;SG;PST;FIN
發現	знайдіть	發現	знайти	V	V;PFV;IMP;PL;2;FIN
語	мова	語	мова	N	N;INAN;NOM;FEM;SG
語	мови	語	мова	N	N;INAN;NOM;FEM;PL
語	мову	語	мова	N	N;INAN;ACC;FEM;SG
內容	контент	內容	контент	N	N;INAN;NOM;MASC;SG
內容	вміст	內容	вміст	N	N;INAN;NOM;MASC;SG
內容	зміст	內容	зміст	N	N;INAN;NOM;MASC;SG
內容	матеріали	內容	матеріал	N	N;INAN;NOM;MASC;PL
出生	народився	出生	народитися	V	V;PFV;MASC;IND;SG;PST;FIN
出生	народилась	出生	народитися	V	V;PFV;FEM;IND;SG;PST;FIN
出生	народилася	出生	народитися	V	V;PFV;FEM;IND;SG;PST;FIN
航空	авіації	航空	авіація	N	N;INAN;NOM;FEM;PL
航空	авіація	航空	авіація	N	N;INAN;NOM;FEM;SG
航空	авіалінії	航空	авіалінія	N	N;INAN;NOM;MASC;PL
航空	авіалінії	航空	авіалінія	N	N;INAN;NOM;MASC;PL
航空	повітря	航空	повітря	N	N;INAN;NOM;NEUT;SG
數	кількість	數	кількість	N	N;INAN;NOM;FEM;SG
數	відлік	數	відлік	N	N;INAN;NOM;MASC;SG
數	підрахунок	數	підрахунок	N	N;INAN;NOM;MASC;SG
數	обліку	數	облік	N	N;INAN;GEN;MASC;SG
數	відлік	數	відлік	N	N;INAN;NOM;MASC;SG
數	число	數	число	N	N;INAN;NOM;NEUT;SG
數	кількість	數	кількість	N	N;INAN;NOM;FEM;SG
數	номер	數	номер	N	N;INAN;NOM;MASC;SG
數	номера	數	номера	N	N;INAN;GEN;MASC;SG
出版	оприлюднено	出版	оприлюднити	V	V;PFV;IND;0;FIN
出版	опубліковано	出版	опубліковано	V	V;PFV;IND;0;FIN
成功	успіх	成功	успіх	N	N;INAN;NOM;MASC;SG
面積	область	面積	область	N	N;INAN;NOM;FEM;SG
面積	ділянка	面積	ділянка	N	N;INAN;NOM;FEM;SG
面積	площа	面積	площа	N	N;INAN;NOM;FEM;SG
面積	місцевість	面積	місцевість	N	N;INAN;NOM;FEM;SG
堡	форт	堡	форт	N	N;INAN;NOM;MASC;SG
系統	система	系統	система	N	N;INAN;NOM;FEM;SG
