for	dla	for	dla	ADP	ADP
dansk	duński	dansk	duński	ADJ;INDF;SG	ADJ;NOM;MASC;SG
dansk	duńskim	dansk	duński	ADJ;INDF;SG	ADJ;INS;MASC;SG
mod	odwagę	mod	odwaga	N;INDF;NEUT;SG	N;ACC;FEM;SG
mod	odwaga	mod	odwaga	N;INDF;NEUT;SG	N;NOM;FEM;SG
hun	ona	hun	on	PRO;NOM;MASC+FEM;SG;3	PRO;NOM;FEM;SG;3
denne	tym	denne	to	PRO;MASC+FEM;SG	PRO;INS;NEUT;SG
del	część	del	część	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
del	udostępnianie	del	udostępniać	N;INDF;MASC+FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
mellem	między	mellem	między	ADP	ADP
dette	tym	denne	to	PRO;NEUT;SG	PRO;INS;NEUT;SG
team	ekipa	team	ekipa	N;INDF;NEUT;SG	N;NOM;FEM;SG
team	drużyna	team	drużyna	N;INDF;NEUT;SG	N;NOM;FEM;SG
team	zespół	team	zespół	N;INDF;NEUT;SG	N;NOM;MASC;SG
kunne	mógł	kunne	móc	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
senere	później	senere	późno	ADV;CMPR	ADV;CMPR
tidligere	wcześniej	tidligere	wcześnie	ADV;CMPR	ADV;CMPR
tidligere	wcześniej	tidligere	wcześnie	ADV;CMPR	ADV;CMPR
skal	powinien	skulle	powinien	V;IND;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;PRS;FIN;ACT
skal	powinny	skulle	powinien	V;IND;PRS;FIN;ACT	V;IPFV;MASC;IND;PL;PRS;FIN;ACT
skal	powinno	skulle	powinien	V;IND;PRS;FIN;ACT	V;IPFV;NEUT;IND;SG;PRS;FIN;ACT
skal	powinna	skulle	powinien	V;IND;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;PRS;FIN;ACT
skal	musi	skulle	musieć	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
skal	muszą	skulle	musieć	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
have	posiadać	have	posiadać	V;NFIN;ACT	V;IPFV;NFIN;ACT
have	mają	have	mieć	V;NFIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
have	mieć	have	mieć	V;NFIN;ACT	V;IPFV;NFIN;ACT
mere	bardziej	mere	bardzo	ADV;CMPR	ADV;CMPR
mere	więcej	mere	dużo	ADV;CMPR	ADV;CMPR
store	dużych	stor	duży	ADJ;PL	ADJ;GEN;MASC;PL
sammen	razem	sammen	razem	ADV	ADV
sammen	wspólnie	sammen	wspólnie	ADV	ADV
vil	will	ville	will	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;2;PRS;FIN;ACT
vil	chcesz	ville	chcieć	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
vil	chce	ville	chcieć	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
ham	go	han	on	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;MASC;SG;3
kom	przyszedł	komme	przyjść	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
kom	przyszło	komme	przyjść	V;IND;PST;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN;ACT
tre	trzy	tre	trzy	NUM	NUM;ACC;MASC;PL
blandt	wśród	blandt	wśród	ADP	ADP
blandt	wśród	blandt	wśród	ADP	ADP
byen	miasta	by	miasto	N;DEF;MASC+FEM;SG	N;GEN;NEUT;SG
byen	miejscowość	by	miejscowość	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
byen	miasto	by	miasto	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
byen	miejscowość	by	miejscowość	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
byen	miasta	by	miasto	N;DEF;MASC+FEM;SG	N;GEN;NEUT;SG
byen	miasto	by	miasto	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
dag	dnia	dag	dzień	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
dag	dzień	dag	dzień	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
her	tutaj	her	tutaj	ADV	ADV
død	śmierci	død	śmierć	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
død	śmierć	død	śmierć	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
død	martwa	død	martwy	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
dem	je	de	on	PRO;ACC;PL;3	PRO;ACC;NEUT;PL;3
findes	istnieją	findes	istnieć	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
findes	istnieje	findes	istnieć	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
august	sierpnia	august	sierpień	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
august	august	august	august	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gang	czasu	gang	czas	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
gang	czas	gang	czas	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
forskellige	różnych	forskellig	różny	ADJ;PL	ADJ;GEN;MASC;PL
forskellige	różnych	forskellig	różny	ADJ;PL	ADJ;GEN;MASC;PL
tid	czasu	tid	czas	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
tid	czas	tid	czas	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
januar	stycznia	januar	styczeń	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
januar	styczniu	januar	styczeń	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
stor	duża	stor	duży	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	duży	stor	duży	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
stor	duże	stor	duży	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
stor	duża	stor	duży	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	duże	stor	duży	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
stor	wielka	stor	wielki	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	duży	stor	duży	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
stor	wielki	stor	wielki	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
stor	świetne	stor	świetny	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
når	gdy	når	gdy	CONJ	CONJ
juni	czerwca	juni	czerwiec	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
kendt	znane	kendt	znać	ADJ;INDF;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
kendt	sławne	kendt	sławny	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
kendt	sławny	kendt	sławny	ADJ;INDF;SG	ADJ;NOM;MASC;SG
kendt	sławna	kendt	sławna	ADJ;INDF;SG	ADJ;NOM;FEM;SG
før	wcześniej	før	wcześnie	ADV	ADV;CMPR
sogn	parafii	sogn	parafia	N;INDF;NEUT;SG	N;GEN;FEM;SG
mest	najczęściej	mest	często	ADV;RL	ADV;RL
mest	najbardziej	mest	bardzo	ADV;RL	ADV;RL
april	kwiecień	april	kwiecienie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
oktober	październik	oktober	październik	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
oktober	października	oktober	październik	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
marts	marsz	marts	marsz	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
hele	cały	hel	cały	ADJ;DEF;SG	ADJ;NOM;MASC;SG
hele	cała	hel	cały	ADJ;DEF;SG	ADJ;NOM;FEM;SG
kirke	kościoła	kirke	kościół	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
kirke	kościół	kirke	kościół	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
række	rząd	række	rząd	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
række	wiersz	række	wiersz	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
derfor	stąd	derfor	stąd	ADV	ADV
navn	nazwisko	navn	nazwisko	N;INDF;NEUT;SG	N;NOM;NEUT;SG
navn	imię	navn	imię	N;INDF;NEUT;SG	N;NOM;NEUT;SG
navn	nazwa	navn	nazwa	N;INDF;NEUT;SG	N;NOM;FEM;SG
ofte	często	ofte	często	ADV	ADV
ofte	często	ofte	często	ADV	ADV
november	listopada	november	listopada	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
november	listopadzie	november	listopad	N;INDF;MASC+FEM;SG	N;ACC;MASC;SG
december	grudzień	december	grudzienie	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
december	grudniu	december	grudzień	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
først	najpierw	først	najpierw	ADV	ADV
mål	cel	mål	cel	N;INDF;NEUT;SG	N;NOM;MASC;SG
mål	cel	mål	cel	N;INDF;NEUT;SG	N;NOM;MASC;SG
mål	bramka	mål	bramka	N;INDF;NEUT;SG	N;NOM;FEM;SG
mål	gol	mål	gol	N;INDF;NEUT;SG	N;NOM;MASC;SG
mål	cel	mål	cel	N;INDF;NEUT;SG	N;NOM;MASC;SG
film	folie	film	fola	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
film	filmy	film	film	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
film	filmy	film	film	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
film	filmy	film	film	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
sidste	ostatnie	sidste	ostatni	ADJ	ADJ;NOM;NEUT;SG
sidste	ostatni	sidste	ostatni	ADJ	ADJ;NOM;MASC;SG
noget	coś	nogen	coś	PRO;NEUT;SG	PRO;NOM;NEUT;SG
gik	poszedł	gå	pójść	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
gik	poszło	gå	pójść	V;IND;PST;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN;ACT
gik	chodził	gå	chodzić	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
gik	szedł	gå	iść	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
fire	czterech	fire	cztery	NUM	NUM;ACC;MASC;PL
fire	cztery	fire	cztery	NUM	NUM;ACC;MASC;PL
vandt	wygrał	vinde	wygrać	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
inden	wcześniej	inden	wcześnie	ADV	ADV;CMPR
mindre	mniej	mindre	mało	ADV;CMPR	ADV;CMPR
side	stronę	side	strona	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
side	stronie	side	strona	N;INDF;MASC+FEM;SG	N;DAT;FEM;SG
side	strona	side	strona	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
medlem	członka	medlem	członek	N;INDF;NEUT;SG	N;ACC;MASC;SG
medlem	członkiem	medlem	członek	N;INDF;NEUT;SG	N;INS;MASC;SG
medlem	członek	medlem	członek	N;INDF;NEUT;SG	N;NOM;MASC;SG
større	większa	stor	duży	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	większe	stor	duży	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
større	większy	stor	duży	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
større	większej	stor	duży	ADJ;CMPR	ADJ;GEN;CMPR;FEM;SG
større	większy	stor	duży	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
større	większa	stor	duży	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	większe	stor	duży	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
større	większy	stor	duży	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
større	większa	stor	duży	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	większego	stor	duży	ADJ;CMPR	ADJ;ACC;CMPR;MASC;SG
større	większe	stor	duży	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
spillede	grało	spille	grać	V;IND;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
spillede	grał	spille	grać	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
spillede	zagrali	spille	zagrać	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;PL;PST;FIN;ACT
igen	ponownie	igen	ponownie	ADV	ADV
igen	znowu	igen	znowu	ADV	ADV
søn	synu	søn	syn	N;INDF;MASC+FEM;SG	N;VOC;MASC;SG
søn	syn	søn	syn	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
grund	przyczyna	grund	przyczynać	N;INDF;NEUT;SG	N;NOM;FEM;SG
grund	powód	grund	powód	N;INDF;NEUT;SG	N;NOM;MASC;SG
tog	zabrał	tage	zabrać	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
tog	wzięła	tage	wziąć	V;IND;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
tog	wziął	tage	wziąć	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
amerikansk	amerykańska	amerikansk	amerykański	ADJ;INDF;SG	ADJ;NOM;FEM;SG
amerikansk	amerykański	amerikansk	amerykański	ADJ;INDF;SG	ADJ;NOM;MASC;SG
amerikansk	amerykańskie	amerikansk	amerykański	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
lille	mały	lille	mały	ADJ;SG	ADJ;NOM;MASC;SG
lille	niewielkie	lille	niewielki	ADJ;SG	ADJ;NOM;NEUT;SG
lille	mały	lille	mały	ADJ;SG	ADJ;NOM;MASC;SG
nord	północ	nord	północ	N;INDF	N;NOM;FEM;SG
kort	krótki	kort	krótki	ADJ;INDF;SG	ADJ;NOM;MASC;SG
kort	krótkie	kort	krótki	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
kort	krótka	kort	krótki	ADJ;INDF;SG	ADJ;NOM;FEM;SG
artikler	wyroby	artikel	wyrób	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
artikler	artykułów	artikel	artykuł	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
artikler	artykuły	artikel	artykuł	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
begyndte	rozpoczęto	begynde	rozpocząć	V;IND;PST;FIN;ACT	V;PFV;IND;0;PST;FIN;ACT
begyndte	zaczął	begynde	zacząć	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
udgivet	opublikowano	udgive	opublikować	V;INDF;SG;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
helt	całkowicie	helt	całkowicie	ADV	ADV
gange	razy	gang	raz	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
gange	czasy	gang	czas	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
tysk	niemiecka	tysk	niemiecki	ADJ;INDF;SG	ADJ;NOM;FEM;SG
tysk	niemieckim	tysk	niemiecki	ADJ;INDF;SG	ADJ;INS;MASC;SG
tysk	niemieckie	tysk	niemiecki	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
tysk	niemiecki	tysk	niemiecki	ADJ;INDF;SG	ADJ;NOM;MASC;SG
meter	metrów	meter	metr	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
meter	metrów	meter	metr	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
meter	liczniki	meter	licznik	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
meter	metrach	meter	metr	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
meter	metrów	meter	metr	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
gruppe	grupie	gruppe	grupa	N;INDF;MASC+FEM;SG	N;DAT;FEM;SG
gruppe	grupy	gruppe	grupa	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
gruppe	grupa	gruppe	grupa	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
stedet	miejsce	sted	miejsce	N;DEF;NEUT;SG	N;NOM;NEUT;SG
spillet	grało	spille	grać	V;INDF;SG;PST;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
spillet	grał	spille	grać	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
forbindelse	związku	forbindelse	związek	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
forbindelse	podłączenie	forbindelse	podłączyć	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
forbindelse	powiązanie	forbindelse	powiązanie	N;INDF;MASC+FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
forbindelse	połączenie	forbindelse	połączenie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
historie	historia	historie	historia	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
historie	opowieść	historie	opowieść	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
historie	zdarzenie	historie	zdarzenie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
historie	opowiadanie	historie	opowiadać	N;INDF;MASC+FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
historie	historia	historie	historia	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
historie	historii	historie	historia	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
historie	historię	historie	historia	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
engelsk	angielski	engelsk	angielski	ADJ;INDF;SG	ADJ;NOM;MASC;SG
århundrede	stulecia	århundrede	stulecie	N;INDF;NEUT;SG	N;NOM;NEUT;SG
århundrede	wieku	århundrede	wiek	N;INDF;NEUT;SG	N;GEN;MASC;SG
århundrede	wiek	århundrede	wiek	N;INDF;NEUT;SG	N;NOM;MASC;SG
stadig	nadal	stadig	nadal	ADV	ADV
stadig	wciąż	stadig	wciąż	ADV	ADV
sted	miejsce	sted	miejsce	N;INDF;NEUT;SG	N;NOM;NEUT;SG
sted	lokalizacja	sted	lokalizacja	N;INDF;NEUT;SG	N;NOM;FEM;SG
sted	położenie	sted	położenie	N;INDF;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
gift	żonaty	gift	żonaty	ADJ;INDF;SG	ADJ;NOM;MASC;SG
gift	trucizna	gift	trucizna	ADJ;INDF;SG	ADJ;NOM;FEM;SG
gift	trujący	gift	truć	ADJ;INDF;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
center	środek	center	środek	N;INDF;NEUT;SG	N;NOM;MASC;SG
center	centrum	center	centrum	N;INDF;NEUT;SG	N;ACC;NEUT;SG
center	ośrodek	center	ośrodek	N;INDF;NEUT;SG	N;NOM;MASC;SG
center	centrum	center	centrum	N;INDF;NEUT;SG	N;ACC;NEUT;SG
center	ośrodek	center	ośrodek	N;INDF;NEUT;SG	N;NOM;MASC;SG
forhold	stosunek	forhold	stosunek	N;INDF;NEUT;SG	N;NOM;MASC;SG
forhold	współczynnik	forhold	współczynnik	N;INDF;NEUT;SG	N;NOM;MASC;SG
forhold	związku	forhold	związek	N;INDF;NEUT;SG	N;GEN;MASC;SG
forhold	relacja	forhold	relacja	N;INDF;NEUT;SG	N;NOM;FEM;SG
forhold	związek	forhold	związek	N;INDF;NEUT;SG	N;NOM;MASC;SG
spiller	gra	spille	grać	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kommer	przychodzi	komme	przychodzić	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kommer	przybywa	komme	przybywać	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
især	szczególnie	især	szczególnie	ADV	ADV
især	szczególnie	især	szczególnie	ADV	ADV
kampe	mecze	kamp	mecz	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
kampe	zapałki	kamp	zapałka	N;INDF;MASC+FEM;PL	N;ACC;FEM;PL
kampe	mecze	kamp	mecz	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
går	idzie	gå	iść	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
fordi	bo	fordi	bo	CONJ	CONJ
syd	południe	syd	południe	N;INDF	N;NOM;NEUT;SG
skrevet	napisano	skrive	napisać	V;INDF;SG;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
frederik	fryderyk	frederik	fryderyk	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
form	kształt	form	kształt	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
form	kształtu	form	kształt	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
form	postać	form	postać	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
form	forma	form	forma	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
form	formularz	form	formularz	N;INDF;MASC+FEM;SG	N;ACC;MASC;SG
form	formularza	form	formularz	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
gjorde	zrobił	gøre	zrobić	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
nogen	ktoś	nogen	ktoś	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
nogen	ktoś	nogen	ktoś	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
godt	dobrze	godt	dobrze	ADV	ADV
arbejde	pracy	arbejde	praca	N;INDF;NEUT;SG	N;GEN;FEM;SG
arbejde	praca	arbejde	praca	N;INDF;NEUT;SG	N;NOM;FEM;SG
land	ojczyzna	land	ojczyzna	N;INDF;NEUT;SG	N;NOM;FEM;SG
land	kraju	land	kraj	N;INDF;NEUT;SG	N;GEN;MASC;SG
land	kraj	land	kraj	N;INDF;NEUT;SG	N;NOM;MASC;SG
land	państwo	land	państwo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
land	kraina	land	kraina	N;INDF;NEUT;SG	N;NOM;FEM;SG
land	ląd	land	ląd	N;INDF;NEUT;SG	N;NOM;MASC;SG
land	ziemia	land	ziemia	N;INDF;NEUT;SG	N;NOM;FEM;SG
landet	ojczyzna	land	ojczyzna	N;DEF;NEUT;SG	N;NOM;FEM;SG
landet	kraju	land	kraj	N;DEF;NEUT;SG	N;GEN;MASC;SG
landet	kraj	land	kraj	N;DEF;NEUT;SG	N;NOM;MASC;SG
landet	państwo	land	państwo	N;DEF;NEUT;SG	N;NOM;NEUT;SG
børn	dzieci	barn	dziecko	N;INDF;NEUT;PL	N;NOM;NEUT;PL
børn	dzieciaki	barn	dzieciak	N;INDF;NEUT;PL	N;NOM;MASC;PL
børn	dzieci	barn	dziecko	N;INDF;NEUT;PL	N;NOM;NEUT;PL
lidt	nieznacznie	lidt	nieznacznie	ADV	ADV
lidt	lekko	lidt	lekko	ADV	ADV
lidt	nieco	lidt	nieco	ADV	ADV
verden	świat	verden	świat	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
verden	świata	verden	świat	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
verden	świecie	verden	świat	N;INDF;MASC+FEM;SG	N;DAT;MASC;SG
lang	długa	lang	długi	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
lang	długie	lang	długi	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
plads	siedzenie	plads	siedzenie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
plads	siedziba	plads	siedziba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
plads	siedzenia	plads	siedzenie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
plads	miejsce	plads	miejsce	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
plads	przestrzeni	plads	przestrzeń	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
plads	przestrzeń	plads	przestrzeń	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
får	owce	få	owca	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
samtidig	jednocześnie	samtidig	jednocześnie	ADV	ADV
samtidig	równocześnie	samtidig	równocześnie	ADV	ADV
stort	duża	stor	duży	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
stort	duży	stor	duży	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
stort	duże	stor	duży	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
stort	duża	stor	duży	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
