από	de	από	de	ADP	ADP
χρόνια	crónicas	χρόνος	crónica	N;NOM;NEUT;PL	N;FEM;PL
χρόνια	crônicas	χρόνος	crônica	N;NOM;NEUT;PL	N;FEM;PL
χρόνια	anos	χρόνος	ano	N;NOM;NEUT;PL	N;MASC;PL
πιο	mais	πιο	mais	ADV	ADV
πόλη	vila	πόλη	vila	N;NOM;FEM;SG	N;FEM;SG
πόλη	cidade	πόλη	cidade	N;NOM;FEM;SG	N;FEM;SG
πόλη	cidade	πόλη	cidade	N;NOM;FEM;SG	N;FEM;SG
μόνο	só	μόνο	só	ADV	ADV
μόνο	apenas	μόνο	apenas	ADV	ADV
μόνο	somente	μόνο	somente	ADV	ADV
μόνο	unicamente	μόνο	unicamente	ADV	ADV
έγινε	feito	γίνομαι	fazer	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
πολύ	muito	πολύ	muito	ADV	ADV
περιοχή	região	περιοχή	região	N;NOM;FEM;SG	N;FEM;SG
περιοχή	area	περιοχή	area	N;NOM;FEM;SG	N;FEM;SG
περιοχή	área	περιοχή	área	N;NOM;FEM;SG	N;FEM;SG
αιώνα	século	αιώνας	século	N;ACC;MASC;SG	N;MASC;SG
αιώνα	century	αιώνας	century	N;ACC;MASC;SG	N;MASC;SG
περίοδο	periodo	περίοδος	periodo	N;ACC;FEM;SG	N;MASC;SG
περίοδο	período	περίοδος	período	N;ACC;FEM;SG	N;MASC;SG
τότε	então	τότε	então	ADV	ADV
τότε	depois	τότε	depois	ADV	ADV
όνομα	nome	όνομα	nome	N;NOM;NEUT;SG	N;MASC;SG
μέρος	part	μέρος	part	N;NOM;NEUT;SG	N;MASC;SG
μέρος	parte	μέρος	parte	N;NOM;NEUT;SG	N;FEM;SG
μέρος	lugar	μέρος	lugar	N;NOM;NEUT;SG	N;MASC;SG
μέρος	place	μέρος	place	N;NOM;NEUT;SG	N;MASC;SG
μέρος	local	μέρος	local	N;NOM;NEUT;SG	N;MASC;SG
μέρος	sítio	μέρος	sítio	N;NOM;NEUT;SG	N;MASC;SG
σήμερα	hoje	σήμερα	hoje	ADV	ADV
μέσα	dentro	μέσα	dentro	ADV	ADV
διάρκεια	duração	διάρκεια	duração	N;ACC;FEM;SG	N;FEM;SG
ιστορία	story	ιστορία	story	N;NOM;FEM;SG	N;MASC;SG
ιστορία	história	ιστορία	história	N;NOM;FEM;SG	N;FEM;SG
ιστορία	historia	ιστορία	historia	N;NOM;FEM;SG	N;FEM;SG
ιστορία	história	ιστορία	história	N;NOM;FEM;SG	N;FEM;SG
πρωτάθλημα	league	πρωτάθλημα	leagar	N;NOM;NEUT;SG	N;MASC;SG
πρωτάθλημα	liga	πρωτάθλημα	liga	N;NOM;NEUT;SG	N;FEM;SG
πρωτάθλημα	campeonato	πρωτάθλημα	campeonato	N;NOM;NEUT;SG	N;MASC;SG
πρωτάθλημα	championship	πρωτάθλημα	championship	N;NOM;NEUT;SG	N;MASC;SG
αργότερα	depois	αργά	depois	ADV;CMPR	ADV
νέα	novas	νέος	novo	ADJ;NOM;NEUT;PL	ADJ;FEM;PL
νέα	novos	νέος	novo	ADJ;NOM;NEUT;PL	ADJ;MASC;PL
περίπου	aproximadamente	περίπου	aproximadamente	ADV	ADV
αυτά	essas	αυτός	esse	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
αυτά	estas	αυτός	este	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
πριν	antes	πριν	antes	ADV	ADV
χωρίς	sem	χωρίς	sem	ADP	ADP
εθνική	nacional	εθνικός	nacional	ADJ;NOM;FEM;SG	ADJ;MASC;SG
συζήτηση	conversação	συζήτηση	conversação	N;ACC;FEM;SG	N;FEM;SG
συζήτηση	conversa	συζήτηση	conversa	N;ACC;FEM;SG	N;FEM;SG
συζήτηση	discussão	συζήτηση	discussão	N;ACC;FEM;SG	N;FEM;SG
συζήτηση	debate	συζήτηση	debate	N;ACC;FEM;SG	N;MASC;SG
αρχείο	arquivo	αρχείο	arquivo	N;NOM;NEUT;SG	N;MASC;SG
αρχείο	arquivo	αρχείο	arquivo	N;NOM;NEUT;SG	N;MASC;SG
αρχείο	ficheiro	αρχείο	ficheiro	N;NOM;NEUT;SG	N;MASC;SG
πρέπει	deve	πρέπει	dever	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
φορά	hora	φορά	hora	N;ACC;FEM;SG	N;FEM;SG
φορά	horário	φορά	horário	N;ACC;FEM;SG	N;MASC;SG
φορά	tempo	φορά	tempo	N;ACC;FEM;SG	N;MASC;SG
φορά	time	φορά	time	N;ACC;FEM;SG	N;MASC;SG
ομάδες	grupos	ομάδα	grupo	N;NOM;FEM;PL	N;MASC;PL
ομάδες	equipas	ομάδα	equipa	N;NOM;FEM;PL	N;FEM;PL
ομάδες	equipes	ομάδα	equipe	N;NOM;FEM;PL	N;FEM;PL
ομάδες	times	ομάδα	time	N;NOM;FEM;PL	N;MASC;PL
έργο	project	έργο	project	N;NOM;NEUT;SG	N;MASC;SG
έργο	projeto	έργο	projeto	N;NOM;NEUT;SG	N;MASC;SG
έργο	projecto	έργο	projecto	N;NOM;NEUT;SG	N;MASC;SG
έργο	trabalho	έργο	trabalho	N;NOM;NEUT;SG	N;MASC;SG
κυρίως	principalmente	κυρίως	principalmente	ADV	ADV
κυρίως	principalmente	κυρίως	principalmente	ADV	ADV
μεγάλη	grande	μεγάλος	grande	ADJ;NOM;FEM;SG	ADJ;MASC;SG
υπό	sob	υπό	sob	ADP	ADP
ποδοσφαιριστές	futebolistas	ποδοσφαιριστής	futebolista	N;NOM;MASC;PL	N;MASC;PL
ταινία	filme	ταινία	filme	N;NOM;FEM;SG	N;MASC;SG
ταινία	fita	ταινία	fita	N;NOM;FEM;SG	N;FEM;SG
ταινία	cassete	ταινία	cassete	N;NOM;FEM;SG	N;MASC;SG
ταινία	película	ταινία	película	N;NOM;FEM;SG	N;FEM;SG
ταινία	filme	ταινία	filme	N;NOM;FEM;SG	N;MASC;SG
άλλα	outros	άλλος	outro	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
άλλα	outras	άλλος	outro	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
άλλα	outros	άλλος	outro	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
άλλα	outras	άλλος	outro	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
τμήμα	departamento	τμήμα	departamento	N;NOM;NEUT;SG	N;MASC;SG
τμήμα	seção	τμήμα	seção	N;NOM;NEUT;SG	N;FEM;SG
τμήμα	secção	τμήμα	secção	N;NOM;NEUT;SG	N;FEM;SG
σαν	como	σαν	como	ADV	ADV
εκεί	ali	εκεί	ali	ADV	ADV
εκεί	aí	εκεί	aí	ADV	ADV
εκεί	lá	εκεί	lá	ADV	ADV
άλλες	outros	άλλος	outro	PRO;NOM;FEM;PL;3	PRO;MASC;PL
άλλες	outras	άλλος	outro	PRO;NOM;FEM;PL;3	PRO;FEM;PL
τέλος	enfim	τέλος	enfim	ADV	ADV
τέλος	finalmente	τέλος	finalmente	ADV	ADV
σειρά	série	σειρά	série	N;ACC;FEM;SG	N;FEM;SG
σειρά	ordem	σειρά	ordem	N;ACC;FEM;SG	N;FEM;SG
σειρά	encomenda	σειρά	encomenda	N;ACC;FEM;SG	N;FEM;SG
σειρά	fila	σειρά	fila	N;ACC;FEM;SG	N;FEM;SG
σειρά	fileira	σειρά	fileira	N;ACC;FEM;SG	N;FEM;SG
σειρά	row	σειρά	row	N;ACC;FEM;SG	N;MASC;SG
στοιχεία	elementos	στοιχείο	elemento	N;NOM;NEUT;PL	N;MASC;PL
στοιχεία	dados	στοιχείο	dado	N;NOM;NEUT;PL	N;MASC;PL
εκτός	excepto	εκτός	excepto	ADV	ADV
συνέχεια	continuidade	συνέχεια	continuidade	N;ACC;FEM;SG	N;FEM;SG
συνέχεια	continuação	συνέχεια	continuação	N;ACC;FEM;SG	N;FEM;SG
κάτω	abaixo	κάτω	abaixo	ADV	ADV
σύστημα	system	σύστημα	syetir	N;NOM;NEUT;SG	N;MASC;SG
σύστημα	sistema	σύστημα	sistema	N;NOM;NEUT;SG	N;MASC;SG
ακόμα	ainda	ακόμα	ainda	ADV	ADV
φορές	vezes	φορά	vez	N;NOM;FEM;PL	N;MASC;PL
φορές	tempos	φορά	tempo	N;NOM;FEM;PL	N;MASC;PL
φορές	times	φορά	time	N;NOM;FEM;PL	N;MASC;PL
ίδια	idêntica	ίδιος	idêntico	ADJ;NOM;FEM;SG	ADJ;FEM;SG
ίδια	idêntico	ίδιος	idêntico	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ίδια	mesma	ίδιος	mesmo	ADJ;NOM;FEM;SG	ADJ;FEM;SG
ιουλίου	julho	ιούλιος	julho	N;GEN;NEUT;SG	N;MASC;SG
χώρα	país	χώρα	país	N;NOM;FEM;SG	N;MASC;SG
αποτέλεσμα	desfecho	αποτέλεσμα	desfecho	N;ACC;NEUT;SG	N;MASC;SG
αποτέλεσμα	resultado	αποτέλεσμα	resultado	N;ACC;NEUT;SG	N;MASC;SG
αποτέλεσμα	resultado	αποτέλεσμα	resultado	N;ACC;NEUT;SG	N;MASC;SG
αποτέλεσμα	efeito	αποτέλεσμα	efeito	N;ACC;NEUT;SG	N;MASC;SG
οκτωβρίου	outubro	οκτώβριος	outubro	N;GEN;MASC;SG	N;MASC;SG
σεπτεμβρίου	setembro	σεπτέμβριο	setembro	N;GEN;MASC;SG	N;MASC;SG
νοεμβρίου	novembro	νόεμβριος	novembro	N;GEN;MASC;SG	N;MASC;SG
αγώνες	partidas	αγώνας	partida	N;NOM;MASC;PL	N;FEM;PL
αγώνες	correspondências	αγώνας	correspondência	N;NOM;MASC;PL	N;FEM;PL
αγώνες	fósforos	αγώνας	fósforo	N;NOM;MASC;PL	N;MASC;PL
αγώνες	games	αγώνας	game	N;NOM;MASC;PL	N;MASC;PL
αγώνες	jogos	αγώνας	jogo	N;NOM;MASC;PL	N;MASC;PL
ταινίες	filmes	ταινία	filme	N;NOM;FEM;PL	N;MASC;PL
ταινίες	películas	ταινία	película	N;NOM;FEM;PL	N;FEM;PL
ταινίες	filmes	ταινία	filme	N;NOM;FEM;PL	N;MASC;PL
μαρτίου	march	μάρτιος	march	N;GEN;MASC;SG	N;MASC;SG
μαρτίου	marcha	μάρτιος	marcha	N;GEN;MASC;SG	N;FEM;SG
μαρτίου	março	μάρτιος	março	N;GEN;MASC;SG	N;MASC;SG
γεννήθηκε	nascido	γεννώ	nascer	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
γεννήθηκε	nascida	γεννώ	nascer	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;SG;V.PTCP
γεννήθηκε	nasceu	γεννώ	nascer	V;PFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;PST;FIN
ιουνίου	june	ιούνιος	june	N;GEN;MASC;SG	N;FEM;SG
ιουνίου	junho	ιούνιος	junho	N;GEN;MASC;SG	N;MASC;SG
αυτές	essas	αυτός	esse	PRO;NOM;FEM;PL;3	PRO;FEM;PL
αυτές	estas	αυτός	este	PRO;NOM;FEM;PL;3	PRO;FEM;PL
απριλίου	april	απρίλιος	april	N;GEN;MASC;SG	N;FEM;SG
απριλίου	abril	απρίλιος	abril	N;GEN;MASC;SG	N;MASC;SG
τρεις	tres	τρεις	tres	NUM;NOM;MASC;PL	NUM
τρεις	três	τρεις	três	NUM;NOM;MASC;PL	NUM
αυγούστου	augusto	αυγούστος	augusto	N;GEN;MASC;SG	N;MASC;SG
αυγούστου	august	αυγούστος	august	N;GEN;MASC;SG	N;MASC;SG
αυγούστου	agosto	αυγούστος	agosto	N;GEN;MASC;SG	N;MASC;SG
έργα	obras	έργο	obra	N;NOM;NEUT;PL	N;FEM;PL
έργα	trabalhos	έργο	trabalho	N;NOM;NEUT;PL	N;MASC;PL
έργα	projectos	έργο	projecto	N;NOM;NEUT;PL	N;MASC;PL
έργα	projetos	έργο	projeto	N;NOM;NEUT;PL	N;MASC;PL
δεκεμβρίου	dezembro	δεκέμβριο	dezembro	N;GEN;MASC;SG	N;MASC;SG
χρήση	uso	χρήση	uso	N;ACC;FEM;SG	N;MASC;SG
χρήση	utilização	χρήση	utilização	N;ACC;FEM;SG	N;FEM;SG
πρόεδρος	presidente	πρόεδρος	presidente	N;ACC;MASC;SG	N;MASC;SG
πολιτική	política	πολιτική	política	N;NOM;FEM;SG	N;FEM;SG
πολιτική	politica	πολιτική	politica	N;NOM;FEM;SG	N;FEM;SG
πολιτική	política	πολιτική	política	N;NOM;FEM;SG	N;FEM;SG
ακόμη	ainda	ακόμα	ainda	ADV	ADV
ίδιο	mesma	ίδιος	mesmo	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
εκλογές	eleições	εκλογή	eleição	N;NOM;FEM;PL	N;FEM;PL
εκλογές	eleições	εκλογή	eleição	N;NOM;FEM;PL	N;FEM;PL
μέλη	sócios	μέλος	sócio	N;NOM;NEUT;PL	N;MASC;PL
μέλη	membros	μέλος	membro	N;NOM;NEUT;PL	N;MASC;PL
τελικά	eventualmente	τελικά	eventualmente	ADV	ADV
τελικά	enfim	τελικά	enfim	ADV	ADV
τελικά	finalmente	τελικά	finalmente	ADV	ADV
μέλος	membro	μέλος	membro	N;NOM;NEUT;SG	N;MASC;SG
εποχή	época	εποχή	época	N;ACC;FEM;SG	N;FEM;SG
εποχή	temporada	εποχή	temporada	N;ACC;FEM;SG	N;FEM;SG
εποχή	época	εποχή	época	N;ACC;FEM;SG	N;FEM;SG
εποχή	eei	εποχή	eai	N;ACC;FEM;SG	N;FEM;SG
χωριό	vila	χωριό	vila	N;NOM;NEUT;SG	N;FEM;SG
χωριό	aldeia	χωριό	aldeia	N;NOM;NEUT;SG	N;FEM;SG
αρχικά	inicialmente	αρχικά	inicialmente	ADV	ADV
αρχικά	originalmente	αρχικά	originalmente	ADV	ADV
αρχικά	inicialmente	αρχικά	inicialmente	ADV	ADV
περίοδος	periodo	περίοδος	periodo	N;NOM;FEM;SG	N;MASC;SG
περίοδος	período	περίοδος	período	N;NOM;FEM;SG	N;MASC;SG
δήμος	município	δήμος	município	N;NOM;MASC;SG	N;MASC;SG
δήμος	concelho	δήμος	concelho	N;NOM;MASC;SG	N;MASC;SG
κύπελλο	xícara	κύπελλος	xícara	N;NOM;NEUT;SG	N;FEM;SG
κύπελλο	copa	κύπελλος	copa	N;NOM;NEUT;SG	N;FEM;SG
κύπελλο	taça	κύπελλος	taça	N;NOM;NEUT;SG	N;FEM;SG
κύπελλο	chávena	κύπελλος	cháveno	N;NOM;NEUT;SG	N;FEM;SG
κύπελλο	copo	κύπελλος	copo	N;NOM;NEUT;SG	N;MASC;SG
ζωή	vida	ζωή	vida	N;ACC;FEM;SG	N;FEM;SG
ζωή	life	ζωή	life	N;ACC;FEM;SG	N;MASC;SG
ζωή	zoe	ζωή	zoe	N;ACC;FEM;SG	N;FEM;SG
έδρα	sede	έδρα	sede	N;NOM;FEM;SG	N;FEM;SG
έδρα	assento	έδρα	assento	N;NOM;FEM;SG	N;MASC;SG
περιλαμβάνει	inclui	περιλαμβάνω	incluir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
μεγάλο	grande	μεγάλος	grande	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
μεγάλο	grande	μεγάλος	grande	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
βάση	base	βάση	base	N;ACC;FEM;SG	N;FEM;SG
βάση	base	βάση	base	N;ACC;FEM;SG	N;FEM;SG
κέντρο	centro	κέντρο	centro	N;NOM;NEUT;SG	N;MASC;SG
κέντρο	center	κέντρο	center	N;NOM;NEUT;SG	N;MASC;SG
κέντρο	centro	κέντρο	centro	N;NOM;NEUT;SG	N;MASC;SG
κέντρο	centre	κέντρο	centre	N;NOM;NEUT;SG	N;MASC;SG
γεννήσεις	partos	γεννήση	parto	N;NOM;FEM;PL	N;MASC;PL
γεννήσεις	nascimentos	γεννήση	nascimento	N;NOM;FEM;PL	N;MASC;PL
φεβρουαρίου	fevereiro	φεβρουάριο	fevereiro	N;GEN;MASC;SG	N;MASC;SG
κάτι	algo	κάτι	algo	PRO;NOM;NEUT;SG;3	PRO;MASC;SG
κοντά	perto	κοντά	perto	ADV	ADV
κοντά	próximo	κοντά	próximo	ADV	ADV
κοντά	perto	κοντά	perto	ADV	ADV
μορφή	forma	μορφή	forma	N;NOM;FEM;SG	N;FEM;SG
μορφή	formulário	μορφή	formulário	N;NOM;FEM;SG	N;MASC;SG
μορφή	formato	μορφή	formato	N;NOM;FEM;SG	N;MASC;SG
μορφή	formatação	μορφή	formatação	N;NOM;FEM;SG	N;FEM;SG
χρόνο	hora	χρόνος	hora	N;ACC;MASC;SG	N;FEM;SG
χρόνο	horário	χρόνος	horário	N;ACC;MASC;SG	N;MASC;SG
χρόνο	tempo	χρόνος	tempo	N;ACC;MASC;SG	N;MASC;SG
χρόνο	time	χρόνος	time	N;ACC;MASC;SG	N;MASC;SG
ιστοσελίδα	website	ιστοσελίδα	websitir	N;NOM;FEM;SG	N;MASC;SG
ιστοσελίδα	site	ιστοσελίδα	site	N;NOM;FEM;SG	N;MASC;SG
κόμμα	partido	κόμμα	partido	N;NOM;NEUT;SG	N;MASC;SG
κόμμα	party	κόμμα	party	N;NOM;NEUT;SG	N;MASC;SG
κόμμα	festa	κόμμα	festa	N;NOM;NEUT;SG	N;FEM;SG
κόμμα	vírgula	κόμμα	vírgula	N;NOM;NEUT;SG	N;FEM;SG
γιατί	porque	γιατί	porque	CONJ	CONJ
γιατί	porque	γιατί	porque	CONJ	CONJ
ρόλο	rollo	ρόλος	rollo	N;ACC;MASC;SG	N;MASC;SG
ρόλο	papel	ρόλος	papel	N;ACC;MASC;SG	N;MASC;SG
άλμπουμ	álbum	άλμπουμ	álbum	N;MASC;SG	N;MASC;SG
άλμπουμ	album	άλμπουμ	album	N;MASC;SG	N;MASC;SG
επειδή	porque	επειδή	porque	CONJ	CONJ
έκδοση	edição	έκδοση	edição	N;ACC;FEM;SG	N;FEM;SG
έκδοση	versão	έκδοση	versão	N;ACC;FEM;SG	N;FEM;SG
αρχές	autoridades	αρχή	autoridade	N;NOM;FEM;PL	N;FEM;PL
αρχές	princípios	αρχή	princípio	N;NOM;FEM;PL	N;MASC;PL
αρχές	principios	αρχή	principio	N;NOM;FEM;PL	N;MASC;PL
συνήθως	geralmente	συνήθως	geralmente	ADV	ADV
συνήθως	normalmente	συνήθως	normalmente	ADV	ADV
συνήθως	habitualmente	συνήθως	habitualmente	ADV	ADV
συνήθως	usualmente	συνήθως	usualmente	ADV	ADV
ονομασία	nome	ονομασία	nome	N;NOM;FEM;SG	N;MASC;SG
ονομασία	designação	ονομασία	designação	N;NOM;FEM;SG	N;FEM;SG
ονομασία	denominação	ονομασία	denominação	N;NOM;FEM;SG	N;FEM;SG
κοινότητα	comunidade	κοινότητα	comunidade	N;ACC;FEM;SG	N;FEM;SG
τελευταία	ultimamente	τελευταία	ultimamente	ADV	ADV
έκανε	fê	κάνω	fazer	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
έκανε	fez	κάνω	fazer	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
έκανε	feita	κάνω	fazer	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;SG;V.PTCP
έκανε	feito	κάνω	fazer	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
ξεκίνησε	iniciado	ξεκινώ	iniciar	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
ξεκίνησε	começou	ξεκινώ	começar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
ξεκίνησε	iniciou	ξεκινώ	iniciar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
κυβέρνηση	governo	κυβέρνηση	governo	N;NOM;FEM;SG	N;MASC;SG
πήρε	levou	παίρνω	levar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
πήρε	tirou	παίρνω	tirar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
πήρε	demorou	παίρνω	demorar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
κάνει	feito	κάνω	fazer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP
γλώσσα	língua	γλώσσα	língua	N;NOM;FEM;SG	N;FEM;SG
γλώσσα	lingua	γλώσσα	lingua	N;NOM;FEM;SG	N;FEM;SG
γλώσσα	língua	γλώσσα	língua	N;NOM;FEM;SG	N;FEM;SG
γλώσσα	idioma	γλώσσα	idioma	N;NOM;FEM;SG	N;MASC;SG
γλώσσα	linguagem	γλώσσα	linguagem	N;NOM;FEM;SG	N;FEM;SG
γιος	son	γιος	son	N;NOM;MASC;SG	N;MASC;SG
γιος	filho	γιος	filho	N;NOM;MASC;SG	N;MASC;SG
μάχη	battle	μάχη	battle	N;ACC;FEM;SG	N;MASC;SG
μάχη	batalha	μάχη	batalha	N;ACC;FEM;SG	N;FEM;SG
μάχη	combate	μάχη	combate	N;ACC;FEM;SG	N;MASC;SG
μάχη	luta	μάχη	luta	N;ACC;FEM;SG	N;FEM;SG
μάχη	briga	μάχη	briga	N;ACC;FEM;SG	N;FEM;SG
μάχη	combate	μάχη	combate	N;ACC;FEM;SG	N;MASC;SG
μάχη	fight	μάχη	fight	N;ACC;FEM;SG	N;MASC;SG
πανεπιστήμιο	university	πανεπιστήμιο	university	N;NOM;NEUT;SG	N;MASC;SG
πανεπιστήμιο	universidade	πανεπιστήμιο	universidade	N;NOM;NEUT;SG	N;FEM;SG
κάποια	alguns	κάποιος	algum	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
κάποια	algumas	κάποιος	algum	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
δείτε	ver	βλέπω	ver	V;PFV;IMP;PL;2;FIN;ACT	V;NFIN
δείτε	assistir	βλέπω	assistir	V;PFV;IMP;PL;2;FIN;ACT	V;NFIN
πόλεμο	guerra	πόλεμος	guerra	N;ACC;MASC;SG	N;FEM;SG
πόλεμο	war	πόλεμος	war	N;ACC;MASC;SG	N;MASC;SG
συχνά	freqüentemente	συχνά	freqüentemente	ADV	ADV
συχνά	frequentemente	συχνά	frequentemente	ADV	ADV
συχνά	freqüentemente	συχνά	freqüentemente	ADV	ADV
συχνά	frequentemente	συχνά	frequentemente	ADV	ADV
περιοχές	regiões	περιοχή	região	N;NOM;FEM;PL	N;FEM;PL
περιοχές	áreas	περιοχή	área	N;NOM;FEM;PL	N;FEM;PL
συμμετοχές	participações	συμμετοχή	participação	N;NOM;FEM;PL	N;FEM;PL
παράδειγμα	exemplo	παράδειγμα	exemplo	N;NOM;NEUT;SG	N;MASC;SG
άρθρο	artigo	άρθρο	artigo	N;NOM;NEUT;SG	N;MASC;SG
εικόνα	foto	εικόνα	foto	N;NOM;FEM;SG	N;FEM;SG
εικόνα	fotografia	εικόνα	fotografia	N;NOM;FEM;SG	N;FEM;SG
εικόνα	imagem	εικόνα	imagem	N;NOM;FEM;SG	N;FEM;SG
εικόνα	image	εικόνα	image	N;NOM;FEM;SG	N;MASC;SG
εικόνα	imagem	εικόνα	imagem	N;NOM;FEM;SG	N;FEM;SG
έλαβε	recebida	λαμβάνω	receber	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;SG;V.PTCP
έλαβε	recebido	λαμβάνω	receber	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
έλαβε	recebeu	λαμβάνω	receber	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
επίσημη	oficial	επίσημος	oficial	ADJ;NOM;FEM;SG	ADJ;MASC;SG
επίσημη	formal	επίσημος	formal	ADJ;NOM;FEM;SG	ADJ;MASC;SG
κατοίκους	habitantes	κάτοικος	habitante	N;ACC;MASC;PL	N;PL
κατοίκους	residentes	κάτοικος	residente	N;ACC;MASC;PL	N;MASC;PL
κατοίκους	moradores	κάτοικος	morador	N;ACC;MASC;PL	N;MASC;PL
πηγές	fontes	πηγή	fonte	N;NOM;FEM;PL	N;FEM;PL
πόλεις	vilas	πόλη	vila	N;NOM;FEM;PL	N;FEM;PL
πόλεις	cidades	πόλη	cidade	N;NOM;FEM;PL	N;FEM;PL
ιδιαίτερα	particularmente	ιδιαίτερα	particularmente	ADV	ADV
ιδιαίτερα	especialmente	ιδιαίτερα	especialmente	ADV	ADV
αγώνα	raça	αγώνας	raça	N;ACC;MASC;SG	N;FEM;SG
αγώνα	corrida	αγώνας	corrida	N;ACC;MASC;SG	N;FEM;SG
