dan	et	dan	et	CONJ	CONJ
mulai	commencer	mulai	commencer	V;SG;ACT	V;NFIN
mulai	démarrer	mulai	démarrer	V;SG;ACT	V;NFIN
resmi	officielle	resmi	officiel	ADJ;SG	ADJ;FEM;SG
resmi	officiel	resmi	officiel	ADJ;SG	ADJ;MASC;SG
udara	antenne	udara	antenne	N;SG	N;FEM;SG
udara	air	udara	air	N;SG	N;MASC;SG
melalui	via	melalui	via	ADP	ADP
melalui	via	melalui	via	ADP	ADP
nasional	national	nasional	national	ADJ;SG	ADJ;MASC;SG
nasional	nationale	nasional	national	ADJ;SG	ADJ;FEM;SG
sekarang	désormais	sekarang	désormais	ADV	ADV
sekarang	maintenant	sekarang	maintenant	ADV	ADV
perang	guerre	perang	guerre	N;SG	N;FEM;SG
perang	war	perang	war	N;SG	N;SG
pulau	île	pulau	île	N;SG	N;FEM;SG
rumah	maison	rumah	maison	N;SG	N;FEM;SG
rumah	domicile	rumah	domicile	N;SG	N;MASC;SG
rumah	accueil	rumah	accueil	N;SG	N;MASC;SG
rumah	maison	rumah	maison	N;SG	N;FEM;SG
pendidikan	enseignement	pendidikan	enseignement	N;SG	N;MASC;SG
pendidikan	éducation	pendidikan	éducation	N;SG	N;FEM;SG
laut	marin	laut	marin	N;SG	N;MASC;SG
laut	marine	laut	marine	N;SG	N;FEM;SG
laut	mer	laut	mer	N;SG	N;FEM;SG
laut	océan	laut	océan	N;SG	N;MASC;SG
tim	équipe	tim	équipe	N;SG	N;FEM;SG
tim	equipe	tim	equipe	N;SG	N;FEM;SG
sistem	système	sistem	système	N;SG	N;MASC;SG
komune	commune	komune	commune	N	N;FEM;SG
komune	communes	komune	commune	N	N;FEM;PL
termasuk	incluses	termasuk	inclure	V	V;FEM;PL;PST;V.PTCP
termasuk	inclus	termasuk	inclure	V	V;MASC;SG;PST;V.PTCP
termasuk	incluse	termasuk	inclure	V	V;FEM;SG;PST;V.PTCP
termasuk	compris	termasuk	comprendre	V	V;MASC;SG;PST;V.PTCP
termasuk	incluant	termasuk	inclure	V	V;PRS;V.PTCP
termasuk	comprenant	termasuk	comprendre	V	V;PRS;V.PTCP
termasuk	incluent	termasuk	inclure	V	V;IMP;PL;1;PRS;FIN
termasuk	inclure	termasuk	inclure	V	V;NFIN
termasuk	comprennent	termasuk	comprendre	V	V;IND;PL;3;PRS;FIN
termasuk	inclut	termasuk	inclure	V	V;IND;SG;3;PRS;FIN
termasuk	inclut	termasuk	inclure	V	V;IND;SG;3;PRS;FIN
termasuk	comprend	termasuk	comprendre	V	V;IND;SG;3;PRS;FIN
semua	toute	semua	tout	DET	DET;FEM;SG
larva	larve	larva	larve	N	N;FEM;SG
larva	larve	larva	larve	N	N;FEM;SG
larva	larves	larva	larve	N	N;FEM;PL
larva	larve	larva	larve	N	N;FEM;SG
terhadap	contre	terhadap	contre	ADP	ADP
batang	barreau	batang	barreau	N;SG	N;MASC;SG
batang	bar	batang	bar	N;SG	N;MASC;SG
batang	barre	batang	barre	N;SG	N;FEM;SG
batang	tige	batang	tige	N;SG	N;FEM;SG
batang	potence	batang	potence	N;SG	N;FEM;SG
sendiri	seul	sendiri	seul	ADJ;SG	ADJ;MASC;SG
sendiri	seule	sendiri	seul	ADJ;SG	ADJ;FEM;SG
sendiri	propre	sendiri	propre	ADJ;SG	ADJ;MASC;SG
matahari	soleil	matahari	soleil	N;SG	N;MASC;SG
presiden	présidente	presiden	président	N;SG	N;FEM;SG
presiden	président	presiden	président	N;SG	N;MASC;SG
masyarakat	communaute	masyarakat	communaute	N;SG	N;FEM;SG
masyarakat	communauté	masyarakat	communauté	N;SG	N;FEM;SG
masyarakat	collectivité	masyarakat	collectivité	N;SG	N;FEM;SG
masyarakat	société	masyarakat	société	N;SG	N;FEM;SG
pernah	jamais	pernah	jamais	ADV	ADV
pernah	jamais	pernah	jamais	ADV	ADV
tiga	trois	tiga	trois	NUM	NUM
jalan	routier	jalan	routier	N;SG;ACT	N;MASC;SG
jalan	route	jalan	route	N;SG;ACT	N;FEM;SG
jalan	chemin	jalan	chemin	N;SG;ACT	N;MASC;SG
musik	musique	musik	musique	N;SG	N;FEM;SG
planet	planete	planet	planete	N;SG	N;FEM;SG
planet	planète	planet	planète	N;SG	N;FEM;SG
planet	planete	planet	planete	N;SG	N;FEM;SG
umum	générale	umum	général	ADJ;SG	ADJ;FEM;SG
kerusakan	dysfonctionnement	kerusakan	dysfonctionnement	N;SG	N;MASC;SG
kerusakan	dévastation	kerusakan	dévastation	N;SG	N;FEM;SG
diakses	accédé	diakses	accéder	V;SG;PASS	V;MASC;SG;PST;V.PTCP
diakses	consulté	diakses	consulter	V;SG;PASS	V;MASC;SG;PST;V.PTCP
kecil	petit	kecil	petit	ADJ;SG	ADJ;MASC;SG
kecil	petite	kecil	petit	ADJ;SG	ADJ;FEM;SG
kecil	petit	kecil	petit	ADJ;SG	ADJ;MASC;SG
kecil	petite	kecil	petit	ADJ;SG	ADJ;FEM;SG
kecil	mineure	kecil	mineur	ADJ;SG	ADJ;FEM;SG
kecil	minuscule	kecil	minuscule	ADJ;SG	ADJ;MASC;SG
menteri	secrétaire	menteri	secrétaire	N;SG	N;MASC;SG
menteri	ministre	menteri	ministre	N;SG	N;MASC;SG
lagi	encore	lagi	encore	ADV	ADV
lagi	davantage	lagi	davantage	ADV	ADV
lagi	plus	lagi	plus	ADV	ADV
jumlah	somme	jumlah	somme	N;SG	N;FEM;SG
jumlah	quantité	jumlah	quantité	N;SG	N;FEM;SG
kata	mot	kata	mot	N;SG	N;MASC;SG
kata	kata	kata	kata	N;SG	N;MASC;SG
penduduk	résident	penduduk	résident	N;SG	N;MASC;SG
penduduk	population	penduduk	population	N;SG	N;FEM;SG
bawah	fond	bawah	fond	N;SG	N;MASC;SG
sebelum	avant	sebelum	avant	ADP	ADP
awal	précoce	awal	précoce	ADJ;SG	ADJ;MASC;SG
maka	puis	maka	puis	CONJ	CONJ
terdiri	composée	terdiri	composer	V;SG;PASS	V;FEM;SG;PST;V.PTCP
terdiri	composé	terdiri	composer	V;SG;PASS	V;MASC;SG;PST;V.PTCP
terdiri	consiste	terdiri	consister	V;SG;PASS	V;IND;SG;3;PRS;FIN
artikel	article	artikel	article	N;SG	N;MASC;SG
tanduk	cornes	tanduk	corne	N	N;FEM;PL
tanduk	avertisseurs	tanduk	avertisseur	N	N;MASC;PL
tanduk	cors	tanduk	cors	N	N;MASC;PL
tanduk	trompette	tanduk	trompette	N	N;FEM;SG
tanduk	corne	tanduk	corne	N	N;FEM;SG
tanduk	cor	tanduk	cor	N	N;MASC;SG
tanduk	avertisseur	tanduk	avertisseur	N	N;MASC;SG
tanah	terre	tanah	terre	N;SG	N;FEM;SG
tanah	terrain	tanah	terrain	N;SG	N;MASC;SG
tanah	terre	tanah	terre	N;SG	N;FEM;SG
tanah	sol	tanah	sol	N;SG	N;MASC;SG
tanah	moulu	tanah	moulu	N;SG	N;MASC;SG
jpg	jpg	jpg	jpg	N	N;MASC;SG
abad	siecle	abad	siecle	N;SG	N;MASC;SG
abad	siècle	abad	siècle	N;SG	N;MASC;SG
abad	century	abad	century	N;SG	N;MASC;SG
perusahaan	corporation	perusahaan	corporation	N;SG	N;FEM;SG
perusahaan	compagnie	perusahaan	compagnie	N;SG	N;FEM;SG
perusahaan	société	perusahaan	société	N;SG	N;FEM;SG
perusahaan	employeur	perusahaan	employeur	N;SG	N;MASC;SG
style	style	style	style	N	N;MASC;SG
cukup	suffisamment	cukup	suffisamment	ADV	ADV
cukup	assez	cukup	assez	ADV	ADV
januari	janvier	januari	janvier	N;SG	N;MASC;SG
maret	marche	maret	marche	N;SG	N;FEM;SG
maret	mars	maret	mars	N;SG	N;MASC;SG
musim	saison	musim	saison	N;SG	N;FEM;SG
bola	bola	bola	bola	N;SG	N;MASC;SG
bola	sphère	bola	sphère	N;SG	N;FEM;SG
bola	boule	bola	boule	N;SG	N;FEM;SG
bola	balle	bola	balle	N;SG	N;FEM;SG
bola	ballon	bola	ballon	N;SG	N;MASC;SG
pemerintah	gouvernement	penperintah	gouvernement	N;SG	N;MASC;SG
setiap	chaque	setiap	chaque	DET	DET;FEM;SG
setiap	chaque	setiap	chaque	DET	DET;FEM;SG
juni	juin	juni	juin	N;SG	N;MASC;SG
muda	jeune	muda	jeune	ADJ;SG	ADJ;MASC;SG
desember	décembre	desember	décembre	N;SG	N;MASC;SG
desember	decembre	desember	decembre	N;SG	N;MASC;SG
desember	dec	desember	dec	N;SG	N;MASC;SG
desember	déc	desember	déc	N;SG	N;MASC;SG
bidang	champ	bidang	champ	N;SG	N;MASC;SG
bidang	domaine	bidang	domaine	N;SG	N;MASC;SG
kepala	tête	kepala	tête	N;SG	N;FEM;SG
kepala	chef	kepala	chef	N;SG	N;MASC;SG
melakukan	faisant	menlakukan	faire	V;SG;ACT	V;PRS;V.PTCP
melakukan	faire	menlakukan	faire	V;SG;ACT	V;NFIN
pusat	center	pusat	center	N;SG	N;MASC;SG
pusat	centre	pusat	centre	N;SG	N;MASC;SG
pusat	centre	pusat	centre	N;SG	N;MASC;SG
agustus	aout	agustus	août	N;SG	N;MASC;SG
agustus	août	agustus	août	N;SG	N;MASC;SG
agustus	aout	agustus	août	N;SG	N;MASC;SG
agustus	août	agustus	août	N;SG	N;MASC;SG
internasional	international	internasional	international	ADJ;SG	ADJ;MASC;SG
internasional	internationale	internasional	international	ADJ;SG	ADJ;FEM;SG
internasional	interculturel	internasional	interculturel	ADJ;SG	ADJ;MASC;SG
internasional	interculturelle	internasional	interculturel	ADJ;SG	ADJ;FEM;SG
sumber	source	sumber	source	N;SG	N;FEM;SG
manusia	man	manusia	man	N;SG	N;MASC;SG
manusia	mec	manusia	mec	N;SG	N;MASC;SG
manusia	homme	manusia	homme	N;SG	N;MASC;SG
sejarah	histoire	sejarah	histoire	N;SG	N;FEM;SG
gereja	église	gereja	église	N;SG	N;FEM;SG
gereja	eglise	gereja	eglise	N;SG	N;FEM;SG
dasar	basique	dasar	basique	ADJ;SG	ADJ;MASC;SG
dasar	élémentaire	dasar	élémentaire	ADJ;SG	ADJ;MASC;SG
dasar	basique	dasar	basique	ADJ;SG	ADJ;MASC;SG
diri	self	diri	self	N;SG	N;MASC;SG
pemain	joueur	penmain	joueur	N;SG	N;MASC;SG
pemain	lecteur	penmain	lecteur	N;SG	N;MASC;SG
program	programme	program	programme	N;SG	N;MASC;SG
program	programme	program	programme	N;SG	N;MASC;SG
pesawat	avion	pesawat	avion	N;SG	N;MASC;SG
pesawat	avion	pesawat	avion	N;SG	N;MASC;SG
pesawat	avion	pesawat	avion	N;SG	N;MASC;SG
juli	juillet	juli	juillet	N;SG	N;MASC;SG
umumnya	généralement	umumnya	généralement	ADV	ADV
stasiun	station	stasiun	station	N;SG	N;FEM;SG
stasiun	gare	stasiun	gare	N;SG	N;FEM;SG
akhirnya	éventuellement	akhirnya	éventuellement	ADV	ADV
akhirnya	finalement	akhirnya	finalement	ADV	ADV
akhirnya	enfin	akhirnya	enfin	ADV	ADV
akhirnya	finalement	akhirnya	finalement	ADV	ADV
nebula	nébuleuse	nebula	nébuleux	N	N;FEM;SG
lahir	naître	lahir	naître	V;SG;ACT	V;NFIN
lahir	né	lahir	naître	V;SG;ACT	V;MASC;SG;PST;V.PTCP
lahir	née	lahir	naître	V;SG;ACT	V;FEM;SG;PST;V.PTCP
bumi	earth	bumi	earth	N;SG	N;MASC;SG
bumi	terre	bumi	terre	N;SG	N;FEM;SG
lalu	puis	lalu	puis	CONJ;SG	CONJ
dilakukan	fait	dilakukan	faire	V;SG;PASS	V;MASC;SG;PST;V.PTCP
dilakukan	faite	dilakukan	faire	V;SG;PASS	V;FEM;SG;PST;V.PTCP
bernama	nommée	bernama	nommer	V;SG;ACT	V;FEM;SG;PST;V.PTCP
bernama	nommé	bernama	nommer	V;SG;ACT	V;MASC;SG;PST;V.PTCP
bentuk	shape	bentuk	shape	N;SG	N;MASC;SG
bentuk	forme	bentuk	forme	N;SG	N;FEM;SG
bentuk	forme	bentuk	forme	N;SG	N;FEM;SG
bentuk	formulaire	bentuk	formulaire	N;SG	N;MASC;SG
sebelumnya	auparavant	sebelumnya	auparavant	ADV	ADV
februari	fevrier	februari	fevrier	N;SG	N;MASC;SG
februari	février	februari	février	N;SG	N;MASC;SG
proses	processus	proses	processus	N;SG	N;MASC;SG
proses	processus	proses	processus	N;SG	N;MASC;SG
akhir	end	akhir	end	N;SG	N;MASC;SG
akhir	fin	akhir	fin	N;SG	N;FEM;SG
hasil	rendement	hasil	rendement	N;SG	N;MASC;SG
hasil	résultat	hasil	résultat	N;SG	N;MASC;SG
dekat	proche	dekat	proche	ADJ;SG	ADJ;MASC;SG
dekat	proche	dekat	proche	ADJ;SG	ADJ;MASC;SG
versi	version	versi	version	N;SG	N;FEM;SG
pemerintahan	gouvernement	penperintahan	gouvernement	N;SG	N;MASC;SG
pemerintahan	gouvernance	penperintahan	gouvernance	N;SG	N;FEM;SG
republik	république	republik	république	N	N;FEM;SG
sering	souvent	sering	souvent	ADV	ADV
sering	fréquemment	sering	fréquemment	ADV	ADV
sering	souvent	sering	souvent	ADV	ADV
group	groupe	group	groupe	N	N;MASC;SG
buku	livre	buku	livre	N;SG	N;MASC;SG
suku	tribu	suku	tribu	N;SG	N;FEM;SG
berhasil	réussi	berhasil	réussir	V;SG	V;MASC;SG;PST;V.PTCP
berhasil	réussir	berhasil	réussir	V;SG	V;NFIN
partai	partie	partai	partie	N;SG	N;FEM;SG
partai	fete	partai	fete	N;SG	N;FEM;SG
partai	soirée	partai	soirée	N;SG	N;FEM;SG
partai	fête	partai	fête	N;SG	N;FEM;SG
keluarga	famille	keluarga	famille	N;SG	N;FEM;SG
ilmu	science	ilmu	science	N;SG	N;FEM;SG
berubah	changeant	berrubah	changer	V;SG;ACT	V;PRS;V.PTCP
berubah	changer	berrubah	changer	V;SG;ACT	V;NFIN
berubah	changé	berrubah	changer	V;SG;ACT	V;MASC;SG;PST;V.PTCP
berubah	changée	berrubah	changer	V;SG;ACT	V;FEM;SG;PST;V.PTCP
berubah	modifier	berrubah	modifier	V;SG;ACT	V;NFIN
berubah	changer	berrubah	changer	V;SG;ACT	V;NFIN
pengguna	utilisateur	penguna	utilisateur	N;SG	N;MASC;SG
