und	och	und	och	CONJ	CONJ
zwischen	mellan	zwischen	mellan	ADP	ADP
team	laget	team	lag	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
team	lag	team	lag	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
team	team	team	team	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
mehr	mera	mehr	mycket	ADV	ADV;CMPR
mehr	mer	mehr	mycket	ADV	ADV;CMPR
gegen	mot	gegen	mot	ADP	ADP
keine	ingen	kein	ingen	PRO;NOM;INDF;FEM;SG;NEG	PRO;INDF;MASC+FEM;SG
wieder	igen	wieder	igen	ADV	ADV
wieder	återigen	wieder	återigen	ADV	ADV
wieder	tillbaks	wieder	tillbaks	ADV	ADV
wieder	tillbaka	wieder	tillbaka	ADV	ADV
wieder	bakåt	wieder	bakåt	ADV	ADV
schon	redan	schon	redan	ADV	ADV
haben	har	haben	ha	V;IND;PL;3;FIN	V;IND;PRS;FIN;ACT
gibt	medger	geben	medge	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
gibt	returnerar	geben	returnera	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
gibt	återvänder	geben	återvänd	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
gibt	returneras	geben	returnera	V;IND;SG;3;PRS;FIN	V;NFIN;PASS
gibt	ger	geben	ge	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
gibt	skänker	geben	skänka	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
deutscher	tysk	deutsch	tysk	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
deutscher	tyskt	deutsch	tysk	ADJ	ADJ;NOM;INDF;NEUT;SG
ersten	första	erst	en	ADJ;NOM;PL	ADJ;NOM
jedoch	dock	jedoch	dock	ADV	ADV
jedoch	dock	jedoch	dock	ADV	ADV
jedoch	emellertid	jedoch	emellertid	ADV	ADV
dort	där	dort	där	ADV	ADV
siehe	see	sehen	see	V;IMP;SG;FIN	V;IMP;FIN;ACT
siehe	se	sehen	se	V;IMP;SG;FIN	V;IMP;FIN;ACT
siehe	beskåda	sehen	beskåda	V;IMP;SG;FIN	V;IMP;FIN;ACT
siehe	skåda	sehen	skåda	V;IMP;SG;FIN	V;IMP;FIN;ACT
drei	tre	drei	tre	NUM	NUM;NOM
etwa	ungefär	etwa	ungefär	ADV	ADV
etwa	ca	etwa	ca	ADV	ADV
deutschen	tysk	deutsch	tysk	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
deutschen	tyskt	deutsch	tysk	ADJ	ADJ;NOM;INDF;NEUT;SG
heute	idag	heute	idag	ADV	ADV
während	medan	während	medan	CONJ	CONJ
bereits	redan	bereits	redan	ADV	ADV
anderen	övriga	ander	övrig	ADJ;NOM;PL	ADJ;NOM;PL
anderen	övriga	ander	övrig	ADJ;NOM;PL	ADJ;NOM;PL
können	kan	können	kunna	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
sehr	mycket	sehr	mycket	ADV	ADV
ihr	ni	ihr	ni	PRO;NOM;MASC;SG	PRO;NOM;DEF;MASC+FEM;SG
ihr	du	ihr	du	PRO;NOM;MASC;SG	PRO;NOM;DEF;MASC+FEM;SG
ihr	ditt	ihr	du	PRO;NOM;MASC;SG	PRO;DEF;NEUT;SG
ihr	din	ihr	du	PRO;NOM;MASC;SG	PRO;DEF;MASC+FEM;SG
ihr	hennes	ihr	hon	PRO;NOM;MASC;SG	PRO;DEF
gemeinde	församling	gemeinde	församling	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
gemeinde	socken	gemeinde	socken	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
gemeinde	kommunen	gemeinde	kommun	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
gemeinde	kommun	gemeinde	kommun	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
gemeinde	communityn	gemeinde	communityn	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
gemeinde	gemenskapen	gemeinde	gemenskap	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
gemeinde	gemenskap	gemeinde	gemenskap	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
gemeinde	samhälle	gemeinde	samhälle	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
gemeinde	community	gemeinde	community	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
gemeinde	kollektiv	gemeinde	kollektiv	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
erste	första	erst	en	ADJ;NOM;FEM;PL	ADJ;NOM
liegt	ligger	liegen	ligga	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
ohne	utan	ohne	utan	ADP	ADP
doch	ännu	doch	ännu	ADV	ADV
doch	ändå	doch	ändå	ADV	ADV
immer	alltid	immer	alltid	ADV	ADV
ihn	honom	er	han	PRO;ACC;MASC;SG;3	PRO;ACC;DEF;MASC+FEM;SG
selbst	även	selbst	även	ADV	ADV
andere	övriga	ander	övrig	ADJ;NOM;FEM;PL	ADJ;NOM;PL
andere	övriga	ander	övrig	ADJ;NOM;FEM;PL	ADJ;NOM;PL
verlag	förlag	verliegen	förlag	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
verlag	verlag	verliegen	verlag	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
verlag	förlag	verliegen	förlag	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
steht	står	stehen	stå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
liste	förteckning	lassen	förteckning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
liste	list	lassen	list	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
liste	lista	lassen	lista	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
liste	notering	lassen	notering	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
vier	fyra	vier	fyra	NUM	NUM;NOM
seite	sidan	seit	sida	N	N;NOM;DEF;MASC+FEM;SG
seite	sido	seit	sido	N	N;NOM;INDF;MASC+FEM;SG
seite	sida	seit	sida	N	N;NOM;INDF;MASC+FEM;SG
seite	sidan	seit	sida	N	N;NOM;DEF;MASC+FEM;SG
seite	webbplatsen	seit	pebbplats	N	N;NOM;DEF;MASC+FEM;SG
seite	site	seit	site	N	N;NOM;INDF;MASC+FEM;SG
seite	webbplats	seit	pebbplats	N	N;NOM;INDF;MASC+FEM;SG
soll	skall	sollen	skola	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
soll	ska	sollen	skola	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
soll	bör	sollen	böra	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
soll	ska	sollen	skola	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
etwas	någorlunda	etwas	någorlunda	ADV	ADV
etwas	någorlunda	etwas	någorlunda	ADV	ADV
zusammen	tillsammans	zusammen	tillsammans	ADV	ADV
neben	förutom	neben	förutom	ADP	ADP
allerdings	dock	allerdings	dock	ADV	ADV
allerdings	dock	allerdings	dock	ADV	ADV
allerdings	emellertid	allerdings	emellertid	ADV	ADV
neue	nya	neu	ny	ADJ;NOM;FEM;PL	ADJ;NOM;PL
nun	nu	nun	nu	ADV	ADV
nun	väl	nun	väl	ADV	ADV
leben	leva	leben	leva	V;NFIN	V;IMP;FIN;ACT
leben	leben	leben	leb	V;NFIN	V;IMP;FIN;ACT
weil	eftersom	weil	eftersom	CONJ	CONJ
relevanz	relevant	relevanz	relevant	ADJ	ADJ;NOM;INDF;NEUT;SG
muss	måste	müssen	måste	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
einige	vissa	einige	vissa	PRO;NOM;INDF;PL	PRO;INDF;PL
einige	somliga	einige	somlig	PRO;NOM;INDF;PL	PRO;INDF;PL
ebenfalls	också	ebenfalls	också	ADV	ADV
ebenfalls	även	ebenfalls	även	ADV	ADV
ebenfalls	också	ebenfalls	också	ADV	ADV
ebenfalls	alltför	ebenfalls	alltför	ADV	ADV
ebenfalls	likaså	ebenfalls	likaså	ADV	ADV
löschen	rensa	löschen	rensa	V;NFIN	V;IMP;FIN;ACT
löschen	sudda	löschen	sudda	V;NFIN	V;IMP;FIN;ACT
löschen	radera	löschen	radera	V;NFIN	V;IMP;FIN;ACT
löschen	radera	löschen	radera	V;NFIN	V;IMP;FIN;ACT
löschen	stryka	löschen	stryka	V;NFIN	V;IMP;FIN;ACT
löschen	stryk	löschen	stryk	V;NFIN	V;IMP;FIN;ACT
löschen	radera	löschen	radera	V;NFIN	V;IMP;FIN;ACT
erhielt	fått	erhalten	få	V;IND;SG;3;PST;FIN	V;V.CVB;ACT
erhielt	fick	erhalten	få	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
bekannt	kända	bekennen	känd	ADJ	ADJ;NOM;PL;PST;V.PTCP
bekannt	känd	bekennen	känd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
bekannt	känt	bekennen	känd	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
zurück	tillbaks	zurück	tillbaks	ADV	ADV
zurück	tillbaka	zurück	tillbaka	ADV	ADV
zurück	bakåt	zurück	bakåt	ADV	ADV
ort	mötesplats	ort	mötesplats	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ort	lokalen	ort	lokal	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
ort	ställe	ort	ställe	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
ort	place	ort	place	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
ort	plats	ort	plats	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ort	platsen	ort	plats	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
ort	läge	ort	läge	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
ort	plats	ort	plats	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
allem	allting	alle	allting	PRO;DAT;INDF;NEUT;SG	PRO;INDF;NEUT;SG
geht	går	gehen	gå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
jetzt	nu	jetzt	nu	ADV	ADV
wohl	troligtvis	wohl	troligtvis	ADV	ADV
wohl	förmodligen	wohl	förmodligen	ADV	ADV
wohl	troligen	wohl	troligen	ADV	ADV
wohl	antagligen	wohl	antagligen	ADV	ADV
saison	årstid	saison	årstid	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
saison	säsong	saison	säsong	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
saison	säsongen	saison	säsong	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
art	typ	art	typ	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
stand	stod	stehen	stå	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
stand	stått	stehen	stå	V;IND;SG;3;PST;FIN	V;V.CVB;ACT
personen	personer	Person	person	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
personen	privatpersoner	Person	privatperson	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
personen	individer	Person	individ	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
personen	människor	Person	människa	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
personen	personer	Person	person	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
personen	folk	Person	folk	N;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
gut	duktiga	gut	duktig	ADJ	ADJ;NOM;PL
gut	god	gut	god	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
gut	duktig	gut	duktig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
daher	därav	daher	därav	ADV	ADV
daher	således	daher	således	ADV	ADV
daher	alltså	daher	alltså	ADV	ADV
daher	sålunda	daher	sålunda	ADV	ADV
daher	alltså	daher	alltså	ADV	ADV
daher	därför	daher	därför	ADV	ADV
familie	familjen	familie	familj	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
familie	familj	familie	familj	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
familie	family	familie	family	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
familie	släkt	familie	släkt	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
familie	fam	familie	fam	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
weiter	vidare	weiter	vidare	ADV	ADV;CMPR
weiter	ytterligare	weiter	ytterlig	ADV	ADV;CMPR
name	namn	Name	namn	N;NOM;SG	N;NOM;INDF;NEUT;SG
name	name	Name	name	N;NOM;SG	N;NOM;INDF;NEUT;SG
behalten	behållit	behalten	behålla	V;NFIN	V;V.CVB;ACT
behalten	behålls	behalten	behålla	V;NFIN	V;IND;PRS;FIN;PASS
behalten	behåll	behalten	behålla	V;NFIN	V;IMP;FIN;ACT
sohn	sonen	sohnen	son	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
sohn	son	sohnen	son	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
außerdem	också	außerdem	också	ADV	ADV
außerdem	även	außerdem	även	ADV	ADV
großen	stora	groß	stor	ADJ;PL	ADJ;NOM;PL
großen	stora	groß	stor	ADJ;PL	ADJ;NOM;PL
großen	större	groß	stor	ADJ;PL	ADJ;NOM;CMPR
gehört	hörde	gehören	höra	V;V.PTCP	V;IND;PST;FIN;ACT
gehört	hördes	gehören	höra	V;V.PTCP	V;IND;PST;FIN;PASS
gehört	hörs	gehören	höra	V;V.PTCP	V;IND;FIN;PASS
gehört	lyssnade	gehören	lyssnad	V;V.PTCP	V;IND;PST;V.PTCP;ACT
gehört	lyssnat	gehören	lyssnad	V;V.PTCP	V;V.CVB;ACT
gehört	ägde	gehören	ägde	V;V.PTCP	V;IND;PST;FIN;ACT
gehört	ägs	gehören	äga	V;V.PTCP	V;IND;PRS;FIN;PASS
gehört	äger	gehören	äga	V;V.PTCP	V;IND;PRS;FIN;ACT
bezeichnet	betecknar	bezeichnen	beteckna	V;V.PTCP	V;IND;PRS;FIN;ACT
bezeichnet	betecknar	bezeichnen	beteckna	V;V.PTCP	V;IND;PRS;FIN;ACT
bezeichnet	utser	bezeichnen	utse	V;V.PTCP	V;IND;PRS;FIN;ACT
große	stora	groß	stor	ADJ;NOM;FEM;PL	ADJ;NOM;PL
große	stora	groß	stor	ADJ;NOM;FEM;PL	ADJ;NOM;PL
kommt	kommer	kommen	komma	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
kommt	kommer	kommen	komma	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
menschen	människor	menschen	människa	N;NOM;PL	N;NOM;INDF;MASC+FEM;PL
menschen	människor	menschen	människa	N;NOM;PL	N;NOM;INDF;MASC+FEM;PL
menschen	personer	menschen	person	N;NOM;PL	N;NOM;INDF;MASC+FEM;PL
menschen	folk	menschen	folk	N;NOM;PL	N;NOM;INDF;NEUT;PL
begann	påbörjade	beginnen	påbörja	V;IND;SG;3;PST;FIN	V;IND;PST;V.PTCP;ACT
begann	började	beginnen	börja	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
begann	startade	beginnen	starta	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
begann	började	beginnen	börja	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
begann	börjat	beginnen	börja	V;IND;SG;3;PST;FIN	V;V.CVB;ACT
danach	sedan	danach	sedan	ADV	ADV
danach	sen	danach	sen	ADV	ADV
danach	då	danach	då	ADV	ADV
danach	efteråt	danach	efteråt	ADV	ADV
danach	efteråt	danach	efteråt	ADV	ADV
danach	efteråt	danach	efteråt	ADV	ADV
fünf	fem	fünf	fem	NUM	NUM;NOM
könig	king	könig	king	N;NOM;SG	N;NOM;INDF;MASC+FEM;SG
könig	kungen	könig	kung	N;NOM;SG	N;NOM;DEF;MASC+FEM;SG
könig	kung	könig	kung	N;NOM;SG	N;NOM;INDF;MASC+FEM;SG
könig	konung	könig	konung	N;NOM;SG	N;NOM;INDF;MASC+FEM;SG
besteht	består	bestehen	bestå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
besteht	insisterar	bestehen	insistera	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
welche	vad	welch	vad	PRO;NOM;SG	PRO;INDF;NEUT;SG
welche	vilken	welch	vilken	PRO;NOM;SG	PRO;INDF;MASC+FEM;SG
mehrere	flera	mehrere	flera	PRO;NOM;INDF;PL	PRO;INDF;PL
mehrere	flera	mehrere	flera	PRO;NOM;INDF;PL	PRO;INDF;PL
form	mögel	form	mögel	N;SG	N;NOM;INDF;NEUT;SG
form	form	form	form	N;SG	N;NOM;INDF;MASC+FEM;SG
form	mögel	form	mögel	N;SG	N;NOM;INDF;NEUT;SG
form	blankett	form	blankett	N;SG	N;NOM;INDF;MASC+FEM;SG
form	formulär	form	formulär	N;SG	N;NOM;INDF;NEUT;SG
form	form	form	form	N;SG	N;NOM;INDF;MASC+FEM;SG
gruppe	gruppen	grappe	grupp	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
gruppe	grupp	grappe	grupp	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
finden	finna	finden	finna	V;NFIN	V;IMP;FIN;ACT
finden	hitta	finden	hitta	V;NFIN	V;IMP;FIN;ACT
finden	lokalisera	finden	lokalisera	V;NFIN	V;IMP;FIN;ACT
finden	finna	finden	finna	V;NFIN	V;IMP;FIN;ACT
finden	hitta	finden	hitta	V;NFIN	V;IMP;FIN;ACT
finden	finner	finden	finna	V;NFIN	V;IND;PRS;FIN;ACT
finden	hittar	finden	hitta	V;NFIN	V;IND;PRS;FIN;ACT
genannt	ringde	nennen	ringa	V;V.PTCP	V;IND;PST;FIN;ACT
genannt	ringt	nennen	ringa	V;V.PTCP	V;V.CVB;ACT
genannt	kallas	nennen	kalla	V;V.PTCP	V;NFIN;PASS
nahm	tog	nehmen	ta	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
letzten	senaste	letzt	sen	ADJ;PL	ADJ;NOM;DEF;RL
letzten	sista	letzt	sista	ADJ;PL	ADJ;NOM;DEF;RL
spielte	spelat	spielen	spela	V;IND;SG;3;PST;FIN	V;V.CVB;ACT
spielte	spelas	spielen	spela	V;IND;SG;3;PST;FIN	V;IND;FIN;PASS
spielte	spelade	spielen	spela	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
spielte	spelades	spielen	spela	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;PASS
neu	ny	neu	ny	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
neu	nya	neu	ny	ADJ	ADJ;NOM;PL
neu	nytt	neu	ny	ADJ	ADJ;NOM;INDF;NEUT;SG
ging	gick	gehen	gå	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
ging	gick	gehen	gå	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
ging	vandrat	gehen	vandra	V;IND;SG;3;PST;FIN	V;V.CVB;ACT
machen	gör	machen	göra	V;NFIN	V;IMP;FIN;ACT
machen	göra	machen	göra	V;NFIN	V;IMP;FIN;ACT
gewann	vunnit	gewinnen	vinna	V;IND;SG;3;PST;FIN	V;V.CVB;ACT
gewann	vann	gewinnen	vann	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
zwar	onekligen	zwar	onekligen	ADV	ADV
zwar	visserligen	zwar	visserligen	ADV	ADV
zwar	fastän	zwar	fastän	ADV	ADV
frage	ask	frage	ask	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
frage	fråga	frage	fråga	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
frage	frågan	frage	fråga	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
frage	fråga	frage	fråga	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
insgesamt	totalt	insgesamt	total	ADV	ADV
insgesamt	sammanlagt	insgesamt	sammanlagd	ADV	ADV
insgesamt	totalt	insgesamt	total	ADV	ADV
insgesamt	generellt	insgesamt	generellt	ADV	ADV
insgesamt	överlag	insgesamt	överlag	ADV	ADV
gehörte	tillhörde	gehören	tillhöra	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
eher	hellre	eher	gärna	ADV	ADV;CMPR
eher	någorlunda	eher	någorlunda	ADV	ADV
kurz	kortvarigt	kurz	kortvarig	ADJ	ADJ;NOM;INDF;NEUT;SG
kurz	korta	kurz	kort	ADJ	ADJ;NOM;PL
kurz	kortfattad	kurz	kortfattad	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
kurz	korta	kurz	kort	ADJ	ADJ;NOM;PL
unternehmen	företag	unternehmen	företag	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
unternehmen	företag	unternehmen	företag	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
unternehmen	företag	unternehmen	företag	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
unternehmen	affärer	unternehmen	affär	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
unternehmen	företag	unternehmen	företag	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
unternehmen	företag	unternehmen	företag	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
verwendet	använda	verwenden	använda	V;V.PTCP	V;IMP;FIN;ACT
verwendet	använt	verwenden	använda	V;V.PTCP	V;V.CVB;ACT
verwendet	används	verwenden	använda	V;V.PTCP	V;IND;PRS;FIN;PASS
verwendet	använder	verwenden	använda	V;V.PTCP	V;IND;PRS;FIN;ACT
straße	sund	straß	sund	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
rund	ca	rund	ca	ADV	ADV
rund	runt	rund	runt	ADV	ADV
rund	omkring	rund	omkring	ADV	ADV
rund	runt	rund	runt	ADV	ADV
einfach	bara	einfach	bara	ADV	ADV
schließlich	slutligen	schließlich	slutligen	ADV	ADV
schließlich	äntligen	schließlich	äntligen	ADV	ADV
schließlich	slutligen	schließlich	slutligen	ADV	ADV
frau	kvinnan	frau	kvinna	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
frau	woman	frau	woman	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
frau	kvinna	frau	kvinna	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
frau	fru	frau	fru	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
frau	hustru	frau	hustru	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
frau	maka	frau	maka	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
frau	frun	frau	fru	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
lassen	låt	lassen	låta	V;NFIN	V;IMP;FIN;ACT
fast	nästan	fast	nästan	ADV	ADV
fast	nästan	fast	nästan	ADV	ADV
hatten	hadde	haben	ha	V;IND;PL;3;PST;FIN	V;IND;PST;FIN;ACT
hatten	hade	haben	ha	V;IND;PL;3;PST;FIN	V;IND;PST;FIN;ACT
hatten	haft	haben	ha	V;IND;PL;3;PST;FIN	V;V.CVB;ACT
trat	trampade	treten	trampa	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
trat	avgick	treten	avgick	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
trat	anslöt	treten	anslöta	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
trat	sparkade	treten	sparka	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
