年	سال	年	سال	N	N;SG
成	بشوی	成	بشو	V	V;SBJV;SG;2;PRS
建	بسازم	建	None	V	V;SBJV;SG;1;PRS
建	بساز	建	None	V	V;IMP;SG;2
建	بسازید	建	None	V	V;SBJV;PL;2;PRS
建	بسازی	建	بسازی	V	V;SBJV;SG;2;PRS
性	معلولیت	性	None	N	N;SG
性	جنسی	性	جنسی	N	N;SG
性	سکس	性	سکس	N	N;SG
性	جنسیت	性	جنسیت	N	N;SG
性	جنسی	性	جنسی	N	N;SG
代表	نمایندگان	代表	نماینده	N	N;PL
代表	نماینده	代表	نماینده	N	N;SG
代表	واگذاری	代表	واگذاری	N	N;SG
代表	نماینده	代表	نماینده	N	N;SG
公里	کیلومتر	公里	کیلومتر	N	N;SG
公里	کیلومتر	公里	کیلومتر	N	N;SG
公里	kms	公里	kms	N	N;SG
公里	کیلومتر	公里	کیلومتر	N	N;SG
海	دریا	海	دریا	N	N;SG
海	دریای	海	دریا	N	N;SG
海	اقیانوس	海	None	N	N;SG
海	اقیانوسی	海	اقیانوسی	N	N;SG
大學	دانشگاههای	大學	دانشگاه	N	N;PL
大學	دانشگاهها	大學	دانشگاه	N	N;PL
大學	دانشگاه	大學	دانشگاه	N	N;SG
大學	qom	大學	qom	N	N;SG
大學	کالج	大學	None	N	N;SG
大學	دانشکده	大學	دانشکده	N	N;SG
大學	دانشگاه	大學	دانشگاه	N	N;SG
大學	دانشگاهی	大學	دانشگاهی	N	N;SG
版	ورژن	版	ورژن	N	N;SG
版	نسخۀ	版	نسخۀ	N	N;SG
版	نسخه	版	نسخه	N	N;SG
從	از	從	از	ADP	ADP
工作	شغل	工作	شغل	N	N;SG
工作	کار	工作	کار	N	N;SG
工作	ایوب	工作	ایوب	N	N;SG
工作	کار	工作	کار	N	N;SG
工作	کاری	工作	کار	N	N;SG
工作	کارها	工作	کار	N	N;PL
工作	جابز	工作	جابز	N	N;SG
工作	کارهای	工作	کار	N	N;PL
工作	کار	工作	کار	N	N;SG
北	کیتا	北	کیتا	N	N;SG
北	شمالی	北	شمالی	N	N;SG
北	نورث	北	نورث	N	N;SG
北	شمال	北	شمال	N	N;SG
政治	سیاست	政治	سیاست	N	N;SG
星	استار	星	استار	N	N;SG
星	ستاره	星	ستاره	N	N;SG
星	ستارگان	星	None	N	N;PL
她	او	她	او	PRO;3	PRO;SG;3
他	او	他	او	PRO;3	PRO;SG;3
河	ریور	河	ریور	N	N;SG
河	رودخانه	河	رودخانه	N	N;SG
文化	تمدن	文化	تمدن	N	N;SG
文化	فرهنگی	文化	فرهنگی	N	N;SG
文化	فرهنگ	文化	فرهنگ	N	N;SG
文化	فرهنگهای	文化	فرهنگ	N	N;PL
馬	اسبان	馬	اسبان	N	N;PL
馬	اسب	馬	اسب	N	N;SG
馬	اسبها	馬	اسب	N	N;PL
馬	اسب	馬	اسب	N	N;SG
氏	قبیله	氏	None	N	N;SG
氏	خاندان	氏	خاندان	N	N;SG
氏	طایفه	氏	None	N	N;SG
更	دیگر	更	دیگر	ADV	ADV
電影	فیلمی	電影	فیلم	N	N;SG
電影	فیلم	電影	فیلم	N	N;SG
電影	سینما	電影	سینما	N	N;SG
電影	سینمای	電影	سینما	N	N;SG
電影	cinema	電影	cinema	N	N;SG
電影	فیلم	電影	فیلم	N	N;SG
電影	سینما	電影	سینما	N	N;SG
電影	فیلمهایی	電影	فیلم	N	N;PL
電影	فیلم	電影	فیلم	N	N;SG
電影	فیلمها	電影	فیلم	N	N;PL
季	فصل	季	فصل	N	N;SG
季	فصلها	季	فصل	N	N;PL
季	فصول	季	فصول	N	N;PL
龍	اژدهایان	龍	اژد	N	N;PL
龍	ریه	龍	None	N	N;SG
龍	لونگ	龍	لونگ	N	N;SG
龍	لانگ	龍	لانگ	N	N;SG
龍	اژدهای	龍	اژد	N	N;SG
龍	دراگون	龍	دراگون	N	N;SG
龍	اژدها	龍	اژد	N	N;SG
女	زن	女	زن	N	N;SG
女	زنی	女	زن	N	N;SG
女	نسوان	女	نسوان	N	N;SG
女	زن	女	زن	N	N;SG
女	مؤنث	女	مؤنث	N	N;SG
女	مونث	女	مونث	N	N;SG
女	ماده	女	ماده	N	N;SG
字	سخن	字	سخن	N	N;SG
字	کلمه	字	کلمه	N	N;SG
字	واژه	字	واژه	N	N;SG
字	کلام	字	کلام	N	N;SG
字	کلمات	字	None	N	N;PL
字	واژه	字	واژه	N	N;SG
不同	متفاوت	不同	متفاوت	ADJ	ADJ
足球	soccer	足球	soccer	N	N;SG
足球	فوتبال	足球	فوتبال	N	N;SG
足球	football	足球	football	N	N;SG
足球	فوتبال	足球	فوتبال	N	N;SG
目前	جریان	目前	جریان	N	N;SG
部分	جزئی	部分	جزئی	N	N;SG
中央	سنترال	中央	سنترال	N	N;SG
中央	مرکز	中央	مرکز	N	N;SG
郡	شهرستان	郡	شهرستان	N	N;SG
郡	کانتی	郡	کانت#کان	N	N;SG
國家	کانتری	國家	کان	N	N;SG
國家	کشوری	國家	کشوری	N	N;SG
國家	کشور	國家	کشور	N	N;SG
國家	مملکت	國家	مملکت	N	N;SG
國家	ییلاق	國家	ییلاق	N	N;SG
國家	حالت	國家	حالت	N	N;SG
國家	استیت	國家	استیت	N	N;SG
國家	دولت	國家	دولت	N	N;SG
國家	وضعیت	國家	وضعیت	N	N;SG
國家	ایالت	國家	ایالت	N	N;SG
國家	نشنال	國家	نشنال	N	N;SG
國家	کشورها	國家	کشور	N	N;PL
球	بال	球	بال	N	N;SG
球	توپ	球	None	N	N;SG
生	خام	生	خام	N	N;SG
生	راو	生	راو	N	N;SG
生	raw	生	raw	N	N;SG
街	استریت	街	استریت	N	N;SG
街	خیابانی	街	خیابانی	N	N;SG
街	خیابان	街	خیابان	N	N;SG
街	خیابون	街	خیابون	N	N;SG
城市	شهری	城市	شهر	N	N;SG
城市	شهر	城市	شهر	N	N;SG
城市	سیتی	城市	سیتی	N	N;SG
城市	شهرها	城市	شهر	N	N;PL
水	آب	水	آب	N	N;SG
人物	شخصیت	人物	شخصیت	N	N;SG
人物	نویسه	人物	نویسه	N	N;SG
軍	لشگر	軍	لشگر	N	N;SG
軍	ارتش	軍	ارتش	N	N;SG
軍	ارتشی	軍	ارتشی	N	N;SG
軍	سپاه	軍	سپاه	N	N;SG
軍	لشکر	軍	None	N	N;SG
加入	بپیوندید	加入	None	V	V;SBJV;PL;2;PRS
魚	فیش	魚	فیش	N	N;SG
魚	ماهیان	魚	ماهیان	N	N;PL
魚	ماهی	魚	ماهی	N	N;SG
波	موج	波	موج	N	N;SG
波	موجی	波	موج	N	N;SG
你	تو	你	تو	PRO;2	PRO;SG;2
你	شما	你	شما	PRO;2	PRO;PL;2
方	فنگ	方	فنگ	N	N;SG
方	فانگ	方	فانگ	N	N;SG
話	گویش	話	None	N	N;SG
話	ایرونی	話	ایرونی	N	N;SG
東	شرق	東	شرق	N	N;SG
東	شرقی	東	شرقی	N	N;SG
東	دونگ	東	دونگ	N	N;SG
石	سنگ	石	سنگ	N	N;SG
石	استون	石	استون	N	N;SG
石	سنگی	石	سنگی	N	N;SG
石	سنگسار	石	سنگسار	N	N;SG
事件	حادثه	事件	حادثه	N	N;SG
事件	واقعه	事件	واقعه	N	N;SG
事件	حوادث	事件	حوادث	N	N;PL
事件	رویدادهای	事件	رویداد	N	N;PL
事件	رویدادها	事件	رویداد	N	N;PL
事件	حوادث	事件	حوادث	N	N;PL
事件	اتفاقات	事件	اتفاق	N	N;PL
事件	رویداد	事件	رویداد	N	N;SG
事件	واقعه	事件	واقعه	N	N;SG
事件	رخداد	事件	رخداد	N	N;SG
建立	بسازم	建立	None	V	V;SBJV;SG;1;PRS
建立	بساز	建立	None	V	V;IMP;SG;2
建立	بسازید	建立	None	V	V;SBJV;PL;2;PRS
建立	بسازی	建立	بسازی	V	V;SBJV;SG;2;PRS
教育	آموزنده	教育	None	N	N;SG
教育	آموزش	教育	آموزش	N	N;SG
教育	تحصیلات	教育	تحصیل	N	N;PL
車站	پاسگاه	車站	پاسگاه	N	N;SG
車站	ایستگاه	車站	ایستگاه	N	N;SG
國際	اینترنشنال	國際	اینترنشنال	N	N;SG
國際	بینالمللی	國際	بینالمللی	N	N;SG
國際	جهانی	國際	جهانی	N	N;SG
獎	جوایز	獎	جایزه	N	N;PL
獎	جایزه	獎	جایزه	N	N;SG
獎	جایزه	獎	جایزه	N	N;SG
白	سپید	白	سپید	N	N;SG
白	وایت	白	وایت	N	N;SG
音樂	موسیقی	音樂	موسیقی	N	N;SG
音樂	موزیک	音樂	موزیک	N	N;SG
音樂	موزیکال	音樂	موزیکال	N	N;SG
他們	آنها	他	آن	PRO;PL;3	PRO;PL
他們	ایشان	他	ایشان	PRO;PL;3	PRO;PL;3
可能	امکان	可能	امکان	N	N;SG
地區	نواحی	地區	ناحیه	N	N;PL
地區	مناطق	地區	منطقه	N	N;PL
地區	منطقه	地區	منطقه	N	N;SG
地區	ناحیه	地區	ناحیه	N	N;SG
地區	بخش	地區	بخش	N	N;SG
地區	منطقه	地區	منطقه	N	N;SG
地區	مساحت	地區	مساحت	N	N;SG
地區	ناحیه	地區	ناحیه	N	N;SG
車	خودرو	車	خودرو	N	N;SG
車	خودروی	車	خودرو	N	N;SG
車	ماشین	車	ماشین	N	N;SG
車	ماشینها	車	ماشین	N	N;PL
官	افسر	官	None	N	N;SG
官	سرکار	官	سرکار	N	N;SG
中文	چینی	中文	چینی	N	N;SG
自由	ازادی	自由	ازادی	N	N;SG
自由	آزادی	自由	آزادی	N	N;SG
自由	لیبرتی	自由	لیبرتی	N	N;SG
自由	free	自由	free	N	N;SG
自由	آزادی	自由	آزادی	N	N;SG
自由	رایگان	自由	None	N	N;SG
自由	آزاده	自由	آزاده	N	N;SG
獲得	شو	獲得	None	V	V;IMP;SG;2
光	سبک	光	سبک	N	N;SG
光	روشنایی	光	None	N	N;SG
光	نور	光	نور	N	N;SG
光	نوری	光	نوری	N	N;SG
光	هیکاری	光	هیکاری	N	N;SG
重要	مهم	重要	مهم	ADJ	ADJ
工程	مهندسی	工程	مهندسی	N	N;SG
最後	آخری	最後	آخری	N	N;SG
一般	عموما	一般	عموما	ADV	ADV
一般	عموماً	一般	عموما	ADV	ADV
最佳	مطلوب	最佳	مطلوب	ADJ	ADJ
這	این	這	این	DET	DET
地方	محل	地方	محل	N	N;SG
地方	مکانی	地方	مکان	N	N;SG
地方	مکان	地方	مکان	N	N;SG
地方	جای	地方	جا	N	N;SG
地方	جایی	地方	جا	N	N;SG
地方	مکانهایی	地方	مکان	N	N;PL
地方	مکانها	地方	مکان	N	N;PL
地方	مساجد	地方	None	N	N;PL
系列	سری	系列	سری	N	N;SG
電視	تلویزیون	電視	تلویزیون	N	N;SG
登	دنگ	登	دنگ	N	N;SG
黑	دارک	黑	دارک	N	N;SG
黑	تاریک	黑	None	N	N;SG
黑	تیره	黑	تیره	N	N;SG
黑	مشکی	黑	مشکی	N	N;SG
黑	سیاهی	黑	سیاهی	N	N;SG
黑	بلک	黑	بلک	N	N;SG
花	حنا	花	حنا	N	N;SG
花	گل	花	گل	N	N;SG
花	گلها	花	گل	N	N;PL
花	گل	花	گل	N	N;SG
花	شکوفه	花	شکوفه	N	N;SG
花	فلاور	花	فلاور	N	N;SG
神	خداوند	神	خداوند	N	N;SG
神	خدا	神	خدا	N	N;SG
神	الهی	神	الهی	N	N;VOC
神	خدایی	神	خدا	N	N;SG
遊戲	بازی	遊戲	بازی	N	N;SG
遊戲	گیم	遊戲	گیم	N	N;SG
遊戲	بازیهای	遊戲	None	N	N;PL
遊戲	بازیها	遊戲	بازی	N	N;PL
遊戲	بازی	遊戲	بازی	N	N;SG
最高	بالاترین	最高	بالا	ADJ	ADJ;RL
要求	خاسته	要求	خاست#خاه	V	V;SG;3;V.PTCP
讓	بزار	讓	بزار	V;CAUS	V;IMP;SG;2
版本	نسخۀ	版本	نسخۀ	N	N;SG
版本	نسخه	版本	نسخه	N	N;SG
語	زبان	語	زبان	N	N;SG
內容	محتویات	內容	محتویه	N	N;PL
內容	رضایت	內容	رضایت	N	N;SG
內容	محتوای	內容	محتوا	N	N;SG
內容	محتوا	內容	محتوا	N	N;SG
航空	هوانوردی	航空	هوانوردی	N	N;SG
航空	هواپیمایی	航空	هواپیمایی	N	N;SG
航空	aero	航空	aero	N	N;SG
航空	ائرو	航空	ائرو	N	N;SG
航空	ایرلاینز	航空	None	N	N;SG
航空	هواپیمایی	航空	هواپیمایی	N	N;SG
航空	ایر	航空	ایر	N	N;SG
航空	هوا	航空	هوا	N	N;SG
數	شمارش	數	شمارش	N	N;SG
數	شمردن	數	شمردن	N	N;SG
數	شمارش	數	شمارش	N	N;SG
數	عدد	數	عدد	N	N;SG
數	شمارۀ	數	شمارۀ	N	N;SG
數	شماره	數	شماره	N	N;SG
成功	کامیابی	成功	کامیابی	N	N;SG
成功	موفقیتهای	成功	موفقیت	N	N;PL
成功	success	成功	success	N	N;SG
成功	موفقیت	成功	موفقیت	N	N;SG
面積	منطقه	面積	منطقه	N	N;SG
面積	مساحت	面積	مساحت	N	N;SG
面積	ناحیه	面積	ناحیه	N	N;SG
堡	فورت	堡	فورت	N	N;SG
堡	دژ	堡	دژ	N	N;SG
系統	سامانه	系統	سامانه	N	N;SG
系統	سیستم	系統	سیستم	N	N;SG
系統	سیستمها	系統	سیستم	N	N;PL
冠軍	قهرمان	冠軍	قهرمان	N	N;SG
冠軍	قهرمان	冠軍	قهرمان	N	N;SG
冠軍	پهلوان	冠軍	None	N	N;SG
冠軍	champion	冠軍	None	N	N;SG
冠軍	قهرمانان	冠軍	قهرمان	N	N;PL
問題	مشکل	問題	مشکل	N	N;SG
問題	مسئله	問題	مسئله	N	N;SG
問題	مشکلی	問題	مشکل	N	N;SG
問題	سؤال	問題	سؤال	N	N;SG
問題	سوال	問題	None	N	N;SG
問題	پرسش	問題	پرسش	N	N;SG
問題	سؤال	問題	سؤال	N	N;SG
問題	سوالات	問題	سوالت	N	N;PL
問題	سوال	問題	None	N	N;SG
問題	سؤالات	問題	سؤال	N	N;PL
海拔	ارتفاع	海拔	ارتفاع	N	N;SG
海拔	بلندی	海拔	بلندی	N	N;SG
方式	متد	方式	متد	N	N;SG
方式	روش	方式	روش	N	N;SG
率	نرخ	率	نرخ	N	N;SG
名稱	نام	名稱	نام	N	N;SG
名稱	نامها	名稱	نامه	N	N;PL
名稱	نامهای	名稱	نامه	N	N;PL
官方	رسما	官方	رسما	N	N;SG
得到	شو	得到	None	V	V;IMP;SG;2
街道	استریت	街道	استریت	N	N;SG
街道	خیابانی	街道	خیابانی	N	N;SG
街道	خیابان	街道	خیابان	N	N;SG
街道	خیابون	街道	خیابون	N	N;SG
街道	خیابانها	街道	خیابان	N	N;PL
街道	خیابان	街道	خیابان	N	N;SG
群	گروهبندی	群	گروهبندی	N	N;SG
群	گروپ	群	گروپ	N	N;SG
群	گروه	群	گروه	N	N;SG
機	ماشینی	機	ماشینی	N	N;SG
機	ماشین	機	ماشین	N	N;SG
機	دستگاه	機	دستگاه	N	N;SG
任何	هر	任何	هر	DET	DET
頁	صفحات	頁	None	N	N;PL
兩	دو	兩	دو	NUM	NUM
著名	معروف	著名	معروف	ADJ	ADJ
志	خی	志	خی	N	N;SG
已經	قبلا	已經	None	ADV	ADV
專輯	آلبوم	專輯	آلبوم	N	N;SG
專輯	آلبومهای	專輯	آلبوم	N	N;PL
角色	شخصیت	角色	شخصیت	N	N;SG
角色	نویسه	角色	نویسه	N	N;SG
角色	نقشی	角色	نقش	N	N;SG
角色	رل	角色	رل	N	N;SG
角色	نقش	角色	نقش	N	N;SG
角色	نویسه	角色	نویسه	N	N;SG
武	تاکاشی	武	تاکاشی	N	N;SG
武	تاکشی	武	تاکشی	N	N;SG
成員	عضو	成員	عضو	N	N;SG
成員	عضوی	成員	عضو	N	N;SG
成員	اعضای	成員	عضو	N	N;PL
成員	اعضا	成員	عضو	N	N;PL
新聞	اخبار	新聞	خبر	N	N;PL
新聞	نیوز	新聞	نیوز	N	N;SG
新聞	خبر	新聞	خبر	N	N;SG
新聞	خبری	新聞	None	N	N;SG
新聞	اخباری	新聞	اخباری	N	N;PL
劇	درام	劇	درام	N	N;SG
女性	نسوان	女性	نسوان	N	N;SG
女性	زن	女性	زن	N	N;SG
女性	مؤنث	女性	مؤنث	N	N;SG
女性	مونث	女性	مونث	N	N;SG
女性	ماده	女性	ماده	N	N;SG
女性	زنانی	女性	None	N	N;PL
女性	زنها	女性	None	N	N;PL
女性	زنان	女性	زن	N	N;PL
高度	ارتفاع	高度	ارتفاع	N	N;SG
高度	ارتفاعی	高度	ارتفاعی	N	N;SG
高度	بلندی	高度	بلندی	N	N;SG
高度	ارتفاع	高度	ارتفاع	N	N;SG
高度	height	高度	height	N	N;SG
說	بگویید	說	None	V	V;SBJV;PL;2;PRS
說	بگو	說	None	V	V;IMP;SG;2
男	مذکر	男	None	N	N;SG
男	نر	男	نر	N	N;SG
門	دروازه	門	دروازه	N	N;SG
門	گیت	門	گرفت#گیر	N	N;SG
門	دری	門	دری	N	N;SG
門	درها	門	در	N	N;PL
卷	رول	卷	رول	N	N;SG
卷	رولز	卷	رولز	N	N;SG
位置	موضع	位置	موضع	N	N;SG
位置	موقعیت	位置	موقعیت	N	N;SG
位置	محل	位置	محل	N	N;SG
位置	مکان	位置	مکان	N	N;SG
活動	فعالیتها	活動	فعالیت	N	N;PL
活動	رویدادهای	活動	رویداد	N	N;PL
活動	رویدادها	活動	رویداد	N	N;PL
活動	حوادث	活動	حوادث	N	N;PL
活動	اتفاقات	活動	اتفاق	N	N;PL
活動	رویداد	活動	رویداد	N	N;SG
活動	واقعه	活動	واقعه	N	N;SG
活動	رخداد	活動	رخداد	N	N;SG
活動	فعالیتها	活動	فعالیت	N	N;PL
活動	فعالیت	活動	فعالیت	N	N;SG
只	تنها	只	تنها	ADV	ADV
歷史	تاریخچه	歷史	تاریخچه	N	N;SG
歷史	تاریخ	歷史	تاریخ	N	N;SG
歌曲	نغمه	歌曲	نغمه	N	N;SG
歌曲	ترانه	歌曲	ترانه	N	N;SG
歌曲	اهنگ	歌曲	اهنگ	N	N;SG
歌曲	آهنگ	歌曲	آهنگ	N	N;SG
歌曲	آواز	歌曲	آواز	N	N;SG
點	نقطه	點	نقطه	N	N;SG
點	دات	點	دات#ده	N	N;SG
點	نکته	點	نکته	N	N;SG
點	نقطه	點	نقطه	N	N;SG
點	پوینت	點	پوینت	N	N;SG
植物	گیاهان	植物	گیاه	N	N;PL
植物	گیاهی	植物	گیاهی	N	N;SG
植物	نیروگاه	植物	نیروگاه	N	N;SG
植物	پلنت	植物	پلنت	N	N;SG
植物	گیاه	植物	گیاه	N	N;SG
皮	چرمی	皮	None	N	N;SG
皮	چرم	皮	چرم	N	N;SG
非常	خیلی	非常	خیلی	ADV	ADV
非常	بسیار	非常	بسیار	ADV	ADV
通常	معمولا	通常	معمولاً	ADV	ADV
通常	معمولا	通常	معمولاً	ADV	ADV
通常	معمولاً	通常	معمولاً	ADV	ADV
比賽	بازی	比賽	بازی	N	N;SG
比賽	گیم	比賽	گیم	N	N;SG
比賽	نژاد	比賽	نژاد	N	N;SG
比賽	مسابقه	比賽	مسابقه	N	N;SG
比賽	مسابقه	比賽	مسابقه	N	N;SG
聯賽	لیگ	聯賽	لیگ	N	N;SG
學校	مدارس	學校	None	N	N;PL
學校	مدرسه	學校	مدرسه	N	N;SG
學校	مکتب	學校	مکتب	N	N;SG
完全	کاملا	完全	None	ADV	ADV
信	حروف	信	حرف	N	N;PL
信	حرف	信	حرف	N	N;SG
信	نامه	信	نامه	N	N;SG
信	نامهای	信	نامه	N	N;PL
期間	دوره	期間	دوره	N	N;SG
期間	دورهای	期間	دور	N	N;PL
期間	پریود	期間	پریود	N	N;SG
期間	دورۀ	期間	دورۀ	N	N;SG
接受	پذیرفت	接受	پذیرفت#پذیر	V	V;SG;3;PST
接受	پذیرفته	接受	پذیرفت#پذیر	V	V;SG;3;V.PTCP
書	کتاب	書	کتاب	N	N;SG
書	کتابی	書	کتاب	N	N;SG
書	کتابها	書	کتاب	N	N;PL
書	کتاب	書	کتاب	N	N;SG
書	کتابهای	書	کتاب	N	N;PL
交通	ترافیک	交通	ترافیک	N	N;SG
交通	ترافیکی	交通	ترافیکی	N	N;SG
交通	انتقال	交通	انتقال	N	N;SG
交通	ترابری	交通	None	N	N;SG
木	چوبی	木	چوبی	N	N;SG
木	چوبی	木	چوبی	N	N;SG
木	وود	木	None	N	N;SG
木	چوب	木	چوب	N	N;SG
故事	داستان	故事	داستان	N	N;SG
故事	داستانی	故事	داستان	N	N;SG
故事	قصه	故事	None	N	N;SG
故事	داستان	故事	داستان	N	N;SG
故事	داستانها	故事	داستان	N	N;PL
直接	مستقیما	直接	None	ADV	ADV
直接	مستقیماً	直接	مستقیماً	ADV	ADV
希望	امیدوارم	希望	امتدوارم	V	V;SG;1;PRS
手	دست	手	دست	N	N;SG
手	دست	手	دست	N	N;SG
手	دستهای	手	دست	N	N;PL
手	دستان	手	None	N	N;PL
心	قلبی	心	قلبی	N	N;SG
心	دل	心	دل	N	N;SG
心	قلب	心	قلب	N	N;SG
心	دل	心	دل	N	N;SG
心	دلها	心	دل	N	N;PL
巴士	اتوبوس	巴士	اتوبوس	N	N;SG
巴士	b	巴士	b	N	N;SG
音	همخوان	音	همخوان	N	N;SG
音	لحن	音	None	N	N;SG
增加	افزود	增加	افزود#افزا	V	V;SG;3;PST
角	گوشه	角	گوشه	N	N;SG
角	زاویۀ	角	زاویۀ	N	N;SG
角	زاویه	角	زاویه	N	N;SG
角	کیپ	角	کیپ	N	N;SG
角	شنل	角	شنل	N	N;SG
角	دماغه	角	دماغه	N	N;SG
角	نکته	角	نکته	N	N;SG
