netto	جالی	netto	جالی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
daddy	باپ	daddy	باپ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
zijdelings	انحرافی	zijdelings	انحرافی	ADJ	ADJ
zijdelings	ذیلی	zijdelings	ذیلی	ADJ	ADJ
afstamming	شجرہ	afstamming	شجرہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
afstamming	نسب	afstamming	نسب	N;MASC+FEM;SG	N;NOM;MASC;SG;3
afstamming	نژاد	afstamming	نژاد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
duurzaamheid	پائیداری	duurzaamheid	پائیداری	N;MASC+FEM;SG	N;NOM;MASC;SG;3
mislukken	برپا	mislukken	برپا	V;NFIN	V;V.PTCP;ACT
mislukken	بگاڑ	mislukken	بگاڑ	V;NFIN	V;ACT
mislukken	برپا	mislukken	برپا	V;NFIN	V;V.PTCP;ACT
mislukken	بگاڑ	mislukken	بگاڑ	V;NFIN	V;ACT
besmetting	چھوت	besmetting	چھوت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
besmetting	چھوت	besmetting	چھوت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
agressie	دھونس	agressie	دھونس	N;MASC+FEM;SG	N;NOM;MASC;SG;3
agressie	جارحیت	agressie	جارحیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
symmetrische	متوازن	symmetrisch	متوازن	ADJ	ADJ
symmetrische	متناسب	symmetrisch	متناسب	ADJ	ADJ
grondstof	شے	grondstof	شے	N;MASC+FEM;SG	N;NOM;FEM;SG;3
bereiding	تیاری	bereiding	تیاری	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bereiding	آمادگی	bereiding	آمادگی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
fit	مناسب	fit	مناسب	ADJ	ADJ
fit	درست	fit	درست	ADJ	ADJ
fit	معقول	fit	معقول	ADJ	ADJ
fit	مربوط	fit	مربوط	ADJ	ADJ
fit	متناسب	fit	متناسب	ADJ	ADJ
terugtocht	اعتکاف	terugtocht	اعتکاف	N;MASC+FEM;SG	N;NOM;MASC;SG;3
terugtocht	مراقبہ	terugtocht	مراقبہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wederzijdse	مشترک.	wederzijds	مشترک.	ADJ	ADJ
wederzijdse	باہمی	wederzijds	باہمی	ADJ	ADJ
wederzijdse	مشترک.	wederzijds	مشترک.	ADJ	ADJ
wederzijdse	جوابی	wederzijds	جوابی	ADJ	ADJ
wederzijdse	تکمیلی	wederzijds	تکمیلی	ADJ	ADJ
wederzijdse	جوابی	wederzijds	جوابی	ADJ	ADJ
wederzijdse	تکمیلی	wederzijds	تکمیلی	ADJ	ADJ
wederzijdse	باہمی	wederzijds	باہمی	ADJ	ADJ
bruto	جملہ	bruto	جملہ	N;NEUT;SG	N;NOM;MASC;SG;3
bruto	کل	bruto	کل	N;NEUT;SG	N;NOM;MASC;SG;3
bruto	جملہ	bruto	جملہ	N;NEUT;SG	N;NOM;MASC;SG;3
bruto	کل	bruto	کل	N;NEUT;SG	N;NOM;MASC;SG;3
lei	سلیٹ	lei	سلیٹ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dear	حیرت	dear	حیرت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dear	خوف	dear	خوف	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dear	حیرت	dear	حیرت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dear	خوف	dear	خوف	N;MASC+FEM;SG	N;NOM;MASC;SG;3
statische	جامد	statisch	جامد	ADJ	ADJ
korst	چھلکا	korst	چھلکا	N;MASC+FEM;SG	N;NOM;MASC;SG;3
korst	قشرارض.	korst	قشرارض.	N;MASC+FEM;SG	N;NOM
cache	دولت	cach	دولت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
soep	گوشت	soep	گوشت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
soep	یخنی	soep	یخنی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
soep	گوشت	soep	گوشت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
weerstaan	روکنا.	weerstaan	روکنا.	V;NFIN	V;PL;FIN;ACT
shin	بانس	shin	بانس	N;MASC+FEM;SG	N;NOM;MASC;SG;3
inlichtingendienst	فہم	inlichtingendienst	فہم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
display	مظاہرہ.	display	مظاہرہ.	N;NEUT;SG	N;NOM;MASC;SG;3
display	نمائش	display	نمائش	N;NEUT;SG	N;NOM;MASC;SG;3
parel	تسبیح	parel	تسبیح	N;MASC+FEM;SG	N;NOM;MASC;SG;3
parel	مروارید	parel	مروارید	N;MASC+FEM;SG	N;NOM;MASC;SG;3
expressie	اظہار	expressie	اظہار	N;MASC+FEM;SG	N;NOM;MASC;SG;3
expressie	بیان	expressie	بیان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
expressie	تصریح	expressie	تصریح	N;MASC+FEM;SG	N;NOM;MASC;SG;3
weldra	فوراً	weldra	فوراً	ADV	ADV
prostituee	صلاحیت	prostituee	صلاحیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
prostituee	صلاحیت	prostituee	صلاحیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
informeel	معمولی	informeel	معمولی	ADJ	ADJ
straight	نظر	straight	نظر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
straight	طریقہ.	straight	طریقہ.	N;MASC+FEM;SG	N;NOM;MASC;SG;3
straight	نظر	straight	نظر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
straight	طریقہ.	straight	طریقہ.	N;MASC+FEM;SG	N;NOM;MASC;SG;3
leidraad	مشورہ	leidraad	مشورہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
leidraad	ہدایت	leidraad	ہدایت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
terreur	دہشت	terreur	دہشت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
stick	مجہول	stick	مجہول	N;MASC+FEM;SG	N;NOM;MASC;SG;3
stick	مذمت	stick	مذمت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bedrog	دھوکا	bedrog	دھوکا	N;NEUT;SG	N;NOM;MASC;SG;3
bedrog	چکمہ	bedrog	چکمہ	N;NEUT;SG	N;NOM;MASC;SG;3
bedrog	جعل	bedrog	جعل	N;NEUT;SG	N;NOM;MASC;SG;3
zwavel	گندھک	zwavel	گندھک	N;MASC+FEM;SG	N;NOM;MASC;SG;3
mekka	منبع	mekka	منبع	N;MASC+FEM;SG	N;NOM;MASC;SG;3
onthult	دکھانا	onthullen	دکھا	V;SG;PRS;FIN	V;MASC;SG;NFIN;ACT
visueel	عینی.	visueel	عینی.	ADJ	ADJ
visueel	عینی.	visueel	عینی.	ADJ	ADJ
koloniaal	مستعمراتی	koloniaal	مستعمراتی	ADJ	ADJ
eenzame	واحد	eenzaam	واحد	ADJ	ADJ
eenzame	مجرد	eenzaam	مجرد	ADJ	ADJ
eenzame	واحد	eenzaam	واحد	ADJ	ADJ
eenzame	مجرد	eenzaam	مجرد	ADJ	ADJ
heftig	پتھریلی	heftig	پتھریلی	ADJ	ADJ
heftig	باوقار	heftig	باوقار	ADJ	ADJ
heftig	سنجیدہ	heftig	سنجیدہ	ADJ	ADJ
heftig	سخت	heftig	سخت	ADJ	ADJ
heftig	پتھریلی	heftig	پتھریلی	ADJ	ADJ
heftig	شدید	heftig	شدید	ADJ	ADJ
heftig	باوقار	heftig	باوقار	ADJ	ADJ
heftig	وزنی	heftig	وزنی	ADJ	ADJ
heftig	سنجیدہ	heftig	سنجیدہ	ADJ	ADJ
heftig	سخت	heftig	سخت	ADJ	ADJ
heftig	شدید	heftig	شدید	ADJ	ADJ
heftig	سخت	heftig	سخت	ADJ	ADJ
heftig	پُرزور	heftig	پُرزور	ADJ	ADJ
heftig	قوی	heftig	قوی	ADJ	ADJ
heftig	پُرزور	heftig	پُرزور	ADJ	ADJ
heftig	قوی	heftig	قوی	ADJ	ADJ
heftig	شدید	heftig	شدید	ADJ	ADJ
drift	مقصد	driffen	مقصد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
drift	مجہول	driffen	مجہول	N;MASC+FEM;SG	N;NOM;MASC;SG;3
drift	آہستہ	driffen	آہستہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
geschrift	دستاویز	geschrift	دستاویز	N;NEUT;SG	N;NOM;MASC;SG;3
geschrift	پارچہ	geschrift	پارچہ	N;NEUT;SG	N;NOM;MASC;SG;3
kwartaal	جریدہ	kwartaal	جریدہ	N;NEUT;SG	N;NOM;MASC;SG;3
gross	جملہ	gross	جملہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
gross	کل	gross	کل	N;MASC+FEM;SG	N;NOM;MASC;SG;3
gross	جملہ	gross	جملہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
gross	کل	gross	کل	N;MASC+FEM;SG	N;NOM;MASC;SG;3
aanpakken	ٹھونکنا	aanpakken	ٹھونکنا	V;NFIN	V;SG;NFIN;ACT
vel	اخبار	vel	اخبار	N;NEUT;SG	N;NOM;MASC;SG;3
vel	پارچہ	vel	پارچہ	N;NEUT;SG	N;NOM;MASC;SG;3
falen	برپا	falen	برپا	V;NFIN	V;V.PTCP;ACT
falen	بگاڑ	falen	بگاڑ	V;NFIN	V;ACT
falen	برپا	falen	برپا	V;NFIN	V;V.PTCP;ACT
falen	بگاڑ	falen	بگاڑ	V;NFIN	V;ACT
legaal	جائز	legaal	جائز	ADJ	ADJ
legaal	سنجیدہ	legaal	سنجیدہ	ADJ	ADJ
legaal	قانونی	legaal	قانونی	ADJ	ADJ
edele	عمدہ	edeel	عمدہ	ADJ	ADJ
slordig	خراب	slordig	خراب	ADJ	ADJ
slordig	پیچیدہ	slordig	پیچیدہ	ADJ	ADJ
slordig	اوپری	slordig	اوپری	ADJ	ADJ
symmetrisch	متوازن	symmetrisch	متوازن	ADJ	ADJ
symmetrisch	متناسب	symmetrisch	متناسب	ADJ	ADJ
verschuiving	فریب	verschuiving	فریب	N;MASC+FEM;SG	N;NOM;MASC;SG;3
verschuiving	جرمانہ	verschuiving	جرمانہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
verschuiving	تلافی	verschuiving	تلافی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
drogen	اڑنے	drigen	اڑنا	V;NFIN	V;ACC;NFIN
drogen	اڑنے	drigen	اڑنا	V;NFIN	V;ACC;NFIN
fury	طوفان	fury	طوفان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
fury	ہیجان	fury	ہیجان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
alarm	ہول	alarm	ہول	N;NEUT;SG	N;NOM;MASC;SG;3
alarm	باخبر	alarm	باخبر	N;NEUT;SG	N;NOM;MASC;SG;3
scout	آدمی	scout	آدمی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
jurisdictie	عملداری.	jurisdictie	عملداریؤ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vuil	مبتذل	vuil	مبتذل	ADJ	ADJ
vuil	ناپسندیدہ	vuil	ناپسندیدہ	ADJ	ADJ
vuil	ذلیل	vuil	ذلیل	ADJ	ADJ
vuil	مبتذل	vuil	مبتذل	ADJ	ADJ
vuil	ناپسندیدہ	vuil	ناپسندیدہ	ADJ	ADJ
vuil	ذلیل	vuil	ذلیل	ADJ	ADJ
vuil	آلودگی	vuil	آلودگی	ADJ	ADJ
vuil	ناکارہ	vuil	ناکارہ	ADJ	ADJ
zadel	زین	zadel	زین	N;NEUT;SG	N;NOM;MASC;SG;3
aantrekkelijke	دلفریب	aantrekkelijk	دلفریب	ADJ	ADJ
aantrekkelijke	دلچسپ	aantrekkelijk	دلچسپ	ADJ	ADJ
aantrekkelijke	پُرکشش	aantrekkelijk	پُرکشش	ADJ	ADJ
aantrekkelijke	دلفریب	aantrekkelijk	دلفریب	ADJ	ADJ
aantrekkelijke	دلچسپ	aantrekkelijk	دلچسپ	ADJ	ADJ
aantrekkelijke	پُرکشش	aantrekkelijk	پُرکشش	ADJ	ADJ
mystieke	متصوّفانہ	mystiek	متصوّفانہ	ADJ	ADJ
mystieke	عارفانہ.	mystiek	عارفانہ.	ADJ	ADJ
mystieke	باطنی	mystiek	باطنی	ADJ	ADJ
mystieke	عارفانہ	mystiek	عارفانہ	ADJ	ADJ
mystieke	صوفیانہ	mystiek	صوفیانہ	ADJ	ADJ
logistiek	قیام	logistiek	قیام	N;MASC+FEM;SG	N;NOM;MASC;SG;3
abrupt	ناہموار	abrupt	ناہموار	ADJ	ADJ
console	پردے	console	پردہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vriendje	دوست	vriend	دوست	N;NEUT;SG	N;NOM;MASC;SG;3
vriendje	مرد	vriend	مرد	N;NEUT;SG	N;NOM;MASC;SG;3
reflectie	اشعاع	reflectie	اشعاع	N;MASC+FEM;SG	N;NOM;MASC;SG;3
reflectie	پرتو	reflectie	پرتو	N;MASC+FEM;SG	N;NOM;MASC;SG;3
afvoer	اخراج	afvoer	اخراج	N;MASC+FEM;SG	N;NOM;MASC;SG;3
afvoer	اخراج	afvoer	اخراج	N;MASC+FEM;SG	N;NOM;MASC;SG;3
afvoer	نالی	afvoer	نالی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
bezorgen	چھڑانا	bezorgen	چھڑانا	V;NFIN	V;MASC;SG;NFIN;ACT
bezorgen	سوپننا	bezorgen	سوپن	V;NFIN	V;SG;NFIN;ACT
bezorgen	پھینکنا	bezorgen	پھینکنا	V;NFIN	V;NFIN;ACT
bezorgen	بانٹنا	bezorgen	بانٹ	V;NFIN	V;SG;NFIN;ACT
indirecte	ذیلی	indirect	ذیلی	ADJ	ADJ
spoel	تار	spoel	تار	N;MASC+FEM;SG	N;NOM;MASC;SG;3
spoel	سوت	spoel	سوت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
duister	ناخواندہ	duister	ناخواندہ	ADJ	ADJ
duister	افسردہ	duister	افسردہ	ADJ	ADJ
duister	رنجیدہ	duister	رنجیدہ	ADJ	ADJ
duister	نامعلوم	duister	نامعلوم	ADJ	ADJ
duister	نابلد	duister	نابلد	ADJ	ADJ
duister	پراسرار	duister	پراسرار	ADJ	ADJ
duister	تاریکی	duister	تاریکی	ADJ	ADJ
duister	تاریکی	duister	تاریکی	ADJ	ADJ
levendige	مرتعش.	levendig	مرتعش.	ADJ	ADJ
levendige	بھرپور	levendig	بھرپور	ADJ	ADJ
levendige	خطرناک	levendig	خطرناک	ADJ	ADJ
levendige	زوردار	levendig	زوردار	ADJ	ADJ
levendige	تیز	levendig	تیز	ADJ	ADJ
gear	خانہ	gear	خانہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
introduceren	بلانا	introduceren	بلانا	V;NFIN	V;MASC;SG;NFIN;ACT
zending	تفویض	zending	تفویض	N;MASC+FEM;SG	N;NOM;MASC;SG;3
zending	حوالگی	zending	حوالگی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
independence	استقلال.	independence	استقلال.	N;MASC+FEM;SG	N;NOM;MASC;SG;3
capsule	خلاصہ	capsule	خلاصہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
verordening	ہدایت	verordening	ہدایت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
moody	برہمی	moody	برہمی	N;NEUT;SG	N;NOM;MASC;SG;3
wrijving	ملحق	wrijving	ملحق	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wrijving	تصادم	wrijving	تصادم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wrijving	مزاحمت	wrijving	مزاحمت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
penning	رکنیت	penning	رکنیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kleurrijke	روشن	kleurrijk	روشن	ADJ	ADJ
kleurrijke	دلچسپ	kleurrijk	دلچسپ	ADJ	ADJ
kleurrijke	روشن	kleurrijk	روشن	ADJ	ADJ
kleurrijke	دلچسپ	kleurrijk	دلچسپ	ADJ	ADJ
bestelling	قسم	bestelling	قسم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bestelling	فرمان	bestelling	فرمان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bestelling	ترتیب	bestelling	ترتیب	N;MASC+FEM;SG	N;NOM;FEM;SG;3
bestelling	قسم	bestelling	قسم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
werkend	کارکردگی.	werkend	کارکردگی.	V;V.PTCP	V;SG;FIN;ACT
certificaat	موت	certificaat	موت	N;NEUT;SG	N;NOM;FEM;SG;3
certificaat	صحت	certificaat	صحت	N;NEUT;SG	N;NOM;FEM;SG;3
certificaat	قابلیت	certificaat	قابلیت	N;NEUT;SG	N;NOM;MASC;SG;3
certificaat	استعداد	certificaat	استعداد	N;NEUT;SG	N;NOM;MASC;SG;3
certificaat	شادی	certificaat	شادی	N;NEUT;SG	N;NOM;FEM;SG;3
duty	محصول	duty	محصول	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wise	انداز	wise	انداز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wise	طور	wise	طور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wise	طرح	wise	طرح	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wise	انداز	wise	انداز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wise	طور	wise	طور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
wise	طرح	wise	طرح	N;MASC+FEM;SG	N;NOM;MASC;SG;3
varken	گندہ	varken	گندہ	N;NEUT;SG	N;NOM;MASC;SG;3
bewaring	حراست	bewaring	حراست	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bewaring	قید	bewaring	قید	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bewaring	تحویل	bewaring	تحویل	N;MASC+FEM;SG	N;NOM;MASC;SG;3
afleiding	تفریح	afleiding	تفریح	N;MASC+FEM;SG	N;NOM;MASC;SG;3
afleiding	تفریح	afleiding	تفریح	N;MASC+FEM;SG	N;NOM;MASC;SG;3
afleiding	خلفشار	afleiding	خلفشار	N;MASC+FEM;SG	N;SG
afleiding	الجھن	afleiding	الجھن	N;MASC+FEM;SG	N;NOM;MASC;SG;3
pick	امتیاز	pick	امتیاز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
pick	کان	pick	کان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
pick	دانہ	pick	دانہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
overbrengen	پہنچانا	overbrengen	پہنچ	V;NFIN	V;MASC;SG;NFIN;ACT
romantisch	غیرحقیقی	romantisch	غیرحقیقی	ADJ	ADJ
romantisch	تخیئلی	romantisch	تخیئلی	ADJ	ADJ
romantisch	رومانی	romantisch	رومانی	ADJ	ADJ
bijten	کاٹ	bijten	کاٹ	V;NFIN	V;ACT
spelletje	تفریح	spel	تفریح	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	تدبیر	spel	تدبیر	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	توانا	spel	توانا	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	کھیل	spel	کھیل	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	ہدف	spel	ہدف	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	اپاہج	spel	اپاہج	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	تفریح	spel	تفریح	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	تدبیر	spel	تدبیر	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	توانا	spel	توانا	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	کھیل	spel	کھیل	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	ہدف	spel	ہدف	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	اپاہج	spel	اپاہج	N;NEUT;SG	N;NOM;MASC;SG;3
spelletje	بازی	spel	بازی	N;NEUT;SG	N;NOM;MASC;SG;3
schenk	اُبلنا.	schenken	اُبلنا.	V;SG;PRS;FIN	V;MASC;SG;V.PTCP;ACT
schenk	نکلنا	schenken	نکل	V;SG;PRS;FIN	V;MASC;SG;NFIN;ACT
drempel	دہلیز	drempel	دہلیز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bevalling	زچگی	bevalling	زچگی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
emotioneel	جذباتی	emotioneel	جذباتی	ADJ	ADJ;NOM
kelk	پیمانہ	kelk	پیمانہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ambitieuze	پُرعزیمت.	ambitieus	پُرعزیمت.	ADJ	ADJ
decoratieve	آرائشی	decoratief	آرائشی	ADJ	ADJ
tegenkomen	ٹکرانا	tegenkomen	ٹکرانا	V;NFIN	V;MASC;SG;NFIN;ACT
repareren	سدھارنا	repareren	سدھار	V;NFIN	V;MASC;SG;NFIN;ACT
ceremoniële	درباری	ceremoniël	درباری	ADJ	ADJ
ceremoniële	رسمی	ceremoniël	رسمی	ADJ	ADJ
ceremoniële	پُرتکلف	ceremoniël	پُرتکلف	ADJ	ADJ
passieve	سست	passief	سست	ADJ	ADJ
arrangement	انعقاد	arrangement	انعقاد	N;NEUT;SG	N;NOM;MASC;SG;3
arrangement	تنظیم	arrangement	تنظیم	N;NEUT;SG	N;NOM;FEM;SG;3
arrangement	ترتیب	arrangement	ترتیب	N;NEUT;SG	N;NOM;FEM;SG;3
arrangement	انعقاد	arrangement	انعقاد	N;NEUT;SG	N;NOM;MASC;SG;3
dankbaar	ممنون	dankbaar	ممنون	ADJ	ADJ
dankbaar	خوشگوار	dankbaar	خوشگوار	ADJ	ADJ
dankbaar	متشکر	dankbaar	متشکر	ADJ	ADJ
dankbaar	خوشگوار	dankbaar	خوشگوار	ADJ	ADJ
dankbaar	ممنون	dankbaar	ممنون	ADJ	ADJ
dankbaar	متشکر	dankbaar	متشکر	ADJ	ADJ
kraken	بھرّانا	kraken	بھرّانا	V;NFIN	V;MASC;SG;NFIN;ACT
kraken	چوٹ	kraken	چوٹ	V;NFIN	V;ACT
kraken	ٹکرانا	kraken	ٹکرانا	V;NFIN	V;MASC;SG;NFIN;ACT
kraken	تند	kraken	تند	V;NFIN	V;MASC;SG;ACT
kraken	بھرّانا	kraken	بھرّانا	V;NFIN	V;MASC;SG;NFIN;ACT
kraken	چوٹ	kraken	چوٹ	V;NFIN	V;ACT
kraken	ٹکرانا	kraken	ٹکرانا	V;NFIN	V;MASC;SG;NFIN;ACT
kraken	تند	kraken	تند	V;NFIN	V;MASC;SG;ACT
