egy	une	egy	un	DET;INDF	DET;INDF;FEM;SG
károly	karl	károly	karl	N;NOM;SG	N;MASC;SG
mai	maï	mai	maï		
bajnokság	championnat	bajnokság	championnat	N;NOM;SG	N;MASC;SG
bajnokság	tournoi	bajnokság	tournoi	N;NOM;SG	N;MASC;SG
szó	mot	szó	mot	N;NOM;SG	N;MASC;SG
kiadó	éditeur	kiadó	éditeur	N;NOM;SG	N;MASC;SG
kiadó	editeur	kiadó	editeur	N;NOM;SG	N;MASC;SG
kiadó	loyer	kiadó	loyer	N;NOM;SG	N;MASC;SG
kiadó	édition	kiadó	édition	N;NOM;SG	N;FEM;SG
kiadó	publication	kiadó	publication	N;NOM;SG	N;FEM;SG
wikipédia	wikipedia	wikipédia	wikipedia	N;NOM;SG	N;FEM;SG
lenne	ferait	lesz	faire	V;INDF;COND;SG;3;PRS;FIN;ACT	V;COND;SG;3;PRS;FIN
tudományos	scientifique	tudományos	scientifique	ADJ;NOM;SG	ADJ;MASC;SG
sorozat	série	sorozat	série	N;NOM;SG	N;FEM;SG
sorozat	serial	sorozat	serial	N;NOM;SG	N;MASC;SG
sorozat	série	sorozat	série	N;NOM;SG	N;FEM;SG
lap	feuille	lap	feuille	N;NOM;SG	N;FEM;SG
lap	drap	lap	drap	N;NOM;SG	N;MASC;SG
lap	feuillet	lap	feuillet	N;NOM;SG	N;MASC;SG
lap	revue	lap	revue	N;NOM;SG	N;FEM;SG
lap	journal	lap	journal	N;NOM;SG	N;MASC;SG
lap	tabulation	lap	tabulation	N;NOM;SG	N;FEM;SG
lap	tab	lap	tab	N;NOM;SG	N;FEM;SG
lap	onglet	lap	onglet	N;NOM;SG	N;MASC;SG
vált	devenu	válik	devenir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
vált	devenue	válik	devenir	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
vált	devint	válik	devenir	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
hazai	domestique	hazai	domestique	ADJ;NOM;SG	ADJ;MASC;SG
cikk	article	cikk	article	N;NOM;SG	N;MASC;SG
éves	annuelle	éves	annuel	ADJ;NOM;SG	ADJ;FEM;SG
éves	annuel	éves	annuel	ADJ;NOM;SG	ADJ;MASC;SG
éves	annuelle	éves	annuel	ADJ;NOM;SG	ADJ;FEM;SG
éves	annuel	éves	annuel	ADJ;NOM;SG	ADJ;MASC;SG
száma	nombre	szám	nombre	N;NOM;SG	N;MASC;SG
száma	numéro	szám	numéro	N;NOM;SG	N;MASC;SG
nélkül	sans	nélkül	sans	ADP	ADP
község	municipalité	község	municipalité	N;NOM;SG	N;FEM;SG
csoport	groupe	csoport	groupe	N;NOM;SG	N;MASC;SG
író	rédacteur	író	rédacteur	N;NOM;SG	N;MASC;SG
író	auteur	író	auteur	N;NOM;SG	N;MASC;SG
író	écrivain	író	écrivain	N;NOM;SG	N;MASC;SG
író	scénariste	író	scénariste	N;NOM;SG	N;MASC;SG
író	auteure	író	auteure	N;NOM;SG	N;FEM;SG
író	auteur	író	auteur	N;NOM;SG	N;MASC;SG
most	désormais	most	désormais	ADV	ADV
most	maintenant	most	maintenant	ADV	ADV
épült	construite	épül	construire	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
épült	construit	épül	construire	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
épült	bâti	épül	bâtir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
férfi	mâle	férfi	mâle	N;NOM;SG	N;MASC;SG
férfi	homme	férfi	homme	N;NOM;SG	N;MASC;SG
férfi	homme	férfi	homme	N;NOM;SG	N;MASC;SG
férfi	man	férfi	man	N;NOM;SG	N;MASC;SG
férfi	mec	férfi	mec	N;NOM;SG	N;MASC;SG
férfi	homme	férfi	homme	N;NOM;SG	N;MASC;SG
szerzett	acquise	szerzett	acquise	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
szerzett	acquis	szerzett	acquérir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
ember	man	ember	man	N;NOM;SG	N;MASC;SG
ember	mec	ember	mec	N;NOM;SG	N;MASC;SG
ember	homme	ember	homme	N;NOM;SG	N;MASC;SG
felé	vers	felé	vers	ADP	ADP
fontos	importante	fontos	important	ADJ;NOM;SG	ADJ;FEM;SG
fontos	important	fontos	important	ADJ;NOM;SG	ADJ;MASC;SG
faj	course	faj	course	N;NOM;SG	N;FEM;SG
faj	race	faj	race	N;NOM;SG	N;FEM;SG
faj	espèce	faj	espèce	N;NOM;SG	N;FEM;SG
mindig	toujours	mindig	toujours	ADV	ADV
korábban	auparavant	korán	auparavant	ADV	ADV
korábban	précédemment	korán	précédemment	ADV	ADV
korábbi	ancien	korábbi	ancien	ADJ;NOM;CMPR;SG	ADJ;MASC;SG
korábbi	ancienne	korábbi	ancien	ADJ;NOM;CMPR;SG	ADJ;FEM;SG
korábbi	précédente	korábbi	précédent	ADJ;NOM;CMPR;SG	ADJ;FEM;SG
korábbi	précédent	korábbi	précédent	ADJ;NOM;CMPR;SG	ADJ;MASC;SG
újra	encore	újra	encore	ADV	ADV
török	turque	török	turc	ADJ;NOM;SG	ADJ;FEM;SG
török	turc	török	turc	ADJ;NOM;SG	ADJ;MASC;SG
kellett	requis	kell	requérir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
stadion	stade	stadion	stade	N;NOM;SG	N;MASC;SG
kisebb	moindre	kis	moindre	ADJ;NOM;CMPR;SG	ADJ;MASC;SG
kisebb	mineure	kis	mineur	ADJ;NOM;CMPR;SG	ADJ;FEM;SG
fia	fia	fia	fia	N;NOM;SG	N;FEM;SG
inkább	plutôt	inkább	plutôt	ADV	ADV
álló	stationnaire	álló	stationnaire	ADJ;NOM;SG	ADJ;MASC;SG
maradt	resté	marad	rester	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
maradt	séjourné	marad	séjourner	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
rendező	directeur	rendező	directeur	N;NOM;SG	N;MASC;SG
rendező	directrice	rendező	directrice	N;NOM;SG	N;FEM;SG
rendező	réalisateur	rendező	réalisateur	N;NOM;SG	N;MASC;SG
helyszín	lieu	helyszín	lieu	N;NOM;SG	N;MASC;SG
helyszín	localisation	helyszín	localisation	N;NOM;SG	N;FEM;SG
helyszín	emplacement	helyszín	emplacement	N;NOM;SG	N;MASC;SG
helyszín	localité	helyszín	localité	N;NOM;SG	N;FEM;SG
helyszín	lieu	helyszín	lieu	N;NOM;SG	N;MASC;SG
helyszín	site	helyszín	site	N;NOM;SG	N;MASC;SG
megjelent	apparu	megjelent	apparaître	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
megjelent	apparut	megjelent	apparaître	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
megjelent	paru	megjelent	paraître	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
megjelent	parut	megjelent	paraître	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
nyelv	langue	nyelv	langue	N;NOM;SG	N;FEM;SG
nyelv	langage	nyelv	langage	N;NOM;SG	N;MASC;SG
háború	guerre	háború	guerre	N;NOM;SG	N;FEM;SG
háború	war	háború	war	N;NOM;SG	N;SG
írt	écrivit	ír	écrire	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
írt	écrit	ír	écrire	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
jobb	meilleure	jó	meilleur	ADJ;NOM;CMPR;SG	ADJ;FEM;SG
jobb	meilleur	jó	meilleur	ADJ;NOM;CMPR;SG	ADJ;MASC;SG
alá	sous	alá	sous	ADP	ADP
dátum	date	dátum	date	N;NOM;SG	N;FEM;SG
egyetem	université	egyetem	université	N;NOM;SG	N;FEM;SG
egyetem	collège	egyetem	collège	N;NOM;SG	N;MASC;SG
egyetem	université	egyetem	université	N;NOM;SG	N;FEM;SG
hely	place	hely	place	N;NOM;SG	N;FEM;SG
hely	endroit	hely	endroit	N;NOM;SG	N;MASC;SG
hely	lieu	hely	lieu	N;NOM;SG	N;MASC;SG
hely	localisation	hely	localisation	N;NOM;SG	N;FEM;SG
hely	emplacement	hely	emplacement	N;NOM;SG	N;MASC;SG
hely	localité	hely	localité	N;NOM;SG	N;FEM;SG
hely	lieu	hely	lieu	N;NOM;SG	N;MASC;SG
jelenleg	actuellement	jelenleg	actuellement	ADV	ADV
jelenleg	présentement	jelenleg	présentement	ADV	ADV
hasonló	similaire	hasonló	similaire	ADJ;NOM;SG	ADJ;MASC;SG
hasonló	analogue	hasonló	analogue	ADJ;NOM;SG	ADJ;MASC;SG
hasonló	semblable	hasonló	semblable	ADJ;NOM;SG	ADJ;MASC;SG
szóló	solo	szóló	solo	ADJ;NOM;SG	ADJ;MASC;SG
lista	liste	lista	liste	N;NOM;SG	N;FEM;SG
országos	national	országos	national	ADJ;NOM;SG	ADJ;MASC;SG
országos	nationale	országos	national	ADJ;NOM;SG	ADJ;FEM;SG
katonai	militaire	katonai	militaire	ADJ;NOM;SG	ADJ;MASC;SG
utca	rue	utca	rue	N;NOM;SG	N;FEM;SG
sikerült	gérée	sikerül	gérer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
sikerült	géré	sikerül	gérer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
sikerült	réussi	sikerül	réussir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
szám	nombre	szám	nombre	N;NOM;SG	N;MASC;SG
szám	numéro	szám	numéro	N;NOM;SG	N;MASC;SG
keresztül	via	keresztül	via	ADP	ADP
nap	soleil	nap	soleil	N;NOM;SG	N;MASC;SG
nap	journée	nap	journée	N;NOM;SG	N;FEM;SG
nap	jour	nap	jour	N;NOM;SG	N;MASC;SG
nap	journee	nap	journee	N;NOM;SG	N;FEM;SG
változott	changé	változik	changer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
változott	changée	változik	changer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
története	récit	történet	récit	N;NOM;SG	N;MASC;SG
vette	pris	vesz	prendre	V;DEF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
vette	prit	vesz	prendre	V;DEF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
látható	visible	látható	visible	ADJ;NOM;SG	ADJ;MASC;SG
ellenére	malgré	ellenére	malgré	ADP	ADP
múzeum	musée	múzeum	musée	N;NOM;SG	N;MASC;SG
közben	entretemps	közben	entretemps	ADV	ADV
tartozott	appartenu	tartozik	appartenir	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
forrás	source	forrás	source	N;NOM;SG	N;FEM;SG
forrás	ressource	forrás	ressource	N;NOM;SG	N;FEM;SG
html	html	html	html	N;NOM;SG	N;MASC;SG
név	nom	név	nom	N;NOM;SG	N;MASC;SG
név	dénomination	név	dénomination	N;NOM;SG	N;FEM;SG
dolgozott	fonctionné	dolgozik	fonctionner	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
dolgozott	travaillé	dolgozik	travailler	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
kupa	gobelet	kupa	gobelet	N;NOM;SG	N;MASC;SG
kupa	tasse	kupa	tasse	N;NOM;SG	N;FEM;SG
kupa	coupe	kupa	coupe	N;NOM;SG	N;FEM;SG
játszott	jouée	játszik	jouer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
játszott	joué	játszik	jouer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
terület	territoire	terület	territoire	N;NOM;SG	N;MASC;SG
terület	région	terület	région	N;NOM;SG	N;FEM;SG
terület	zone	terület	zone	N;NOM;SG	N;FEM;SG
terület	domaine	terület	domaine	N;NOM;SG	N;MASC;SG
végzett	diplômée	végez	diplômer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
herceg	duc	herceg	duc	N;NOM;SG	N;MASC;SG
herceg	prince	herceg	prince	N;NOM;SG	N;MASC;SG
magas	haut	magas	haut	ADJ;NOM;SG	ADJ;MASC;SG
magas	haute	magas	haut	ADJ;NOM;SG	ADJ;FEM;SG
magas	élevé	magas	élevé	ADJ;NOM;SG	ADJ;MASC;SG
azok	ceux	az	celui	PRO;NOM;PL;3	PRO;MASC;PL
színház	théatre	színház	théatre	N;NOM;SG	N;MASC;SG
színház	théâtre	színház	théâtre	N;NOM;SG	N;MASC;SG
színház	théatre	színház	théatre	N;NOM;SG	N;MASC;SG
színház	théâtre	színház	théâtre	N;NOM;SG	N;MASC;SG
elsősorban	principalement	elsősorban	principalement	ADV	ADV
elsősorban	essentiellement	elsősorban	essentiellement	ADV	ADV
elsősorban	principalement	elsősorban	principalement	ADV	ADV
köztársaság	république	köztársaság	république	N;NOM;SG	N;FEM;SG
vendég	client	vendég	client	N;NOM;SG	N;MASC;SG
zoltán	zoltán	zoltán	zoltán	N;NOM;SG	N;MASC;SG
franciaország	france	franciaország	france	N;NOM;SG	N;FEM;SG
oldal	page	oldal	page	N;NOM;SG	N;FEM;SG
idő	temps	idő	temps	N;NOM;SG	N;MASC;SG
idő	heure	idő	heure	N;NOM;SG	N;FEM;SG
rendszer	système	rendszer	système	N;NOM;SG	N;MASC;SG
elmúlt	passée	elmúlt	passer	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
elmúlt	passé	elmúlt	passer	V;INDF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
írta	ecrit	ír	ecrire	V;DEF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
írta	écrite	ír	écrire	V;DEF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
írta	écrit	ír	écrire	V;DEF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
írta	écrivit	ír	écrire	V;DEF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
írta	écrit	ír	écrire	V;DEF;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
album	album	album	album	N;NOM;SG	N;MASC;SG
tanár	professeur	tanár	professeur	N;NOM;SG	N;MASC;SG
tanár	enseignant	tanár	enseignant	N;NOM;SG	N;MASC;SG
tanár	institutrice	tanár	instituteur	N;NOM;SG	N;FEM;SG
szerkesztő	rédacteur	szerkesztő	rédacteur	N;NOM;SG	N;MASC;SG
szerkesztő	éditeur	szerkesztő	éditeur	N;NOM;SG	N;MASC;SG
szerkesztő	rédactrice	szerkesztő	rédacteur	N;NOM;SG	N;FEM;SG
szerkesztő	editeur	szerkesztő	editeur	N;NOM;SG	N;MASC;SG
gazdasági	économique	gazdasági	économique	ADJ;NOM;SG	ADJ;MASC;SG
gazdasági	economique	gazdasági	economique	ADJ;NOM;SG	ADJ;MASC;SG
élt	vécue	él	vivre	V;INDF;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
