vili	villa	vila	villa	N;NOM;FEM;SG	N;FEM;SG
uspešnost	éxito	uspešnost	éxito	N;NOM;FEM;SG	N;MASC;SG
molitve	rezos	molitev	rezo	N;NOM;FEM;PL	N;MASC;PL
molitve	oraciones	molitev	oración	N;NOM;FEM;PL	N;FEM;PL
molitve	plegarias	molitev	plegario	N;NOM;FEM;PL	N;FEM;PL
celine	continentes	celina	continente	N;NOM;FEM;PL	N;MASC;PL
battista	battista	battist	battista	N;NOM;MASC;SG	N;SG
orel	águila	orela	águila	N;NOM;MASC;SG	N;FEM;SG
orel	eagle	orela	eagle	N;NOM;MASC;SG	N;SG
orel	aguila	orela	aguilar	N;NOM;MASC;SG	N;FEM;SG
jasna	despejado	jasen	despejar	ADJ;NOM;FEM;SG	ADJ;MASC;SG;V.PTCP
opredelitev	definición	opredelitev	definición	N;NOM;FEM;SG	N;FEM;SG
nominiran	nominado	nominiran	nominar	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
nominiran	nominada	nominiran	nominado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
rumeni	amarilla	rume	amarillo	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
rumeni	amarillo	rume	amarillo	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
papirja	paper	papir	paper	N;GEN;MASC;SG	N
papirja	ponencia	papir	ponencia	N;GEN;MASC;SG	N;FEM;SG
papirja	papel	papir	papel	N;GEN;MASC;SG	N;MASC;SG
zaposlitev	contratación	zaposlitev	contratación	N;NOM;FEM;SG	N;FEM;SG
zaposlitev	reclutamiento	zaposlitev	reclutamiento	N;NOM;FEM;SG	N;MASC;SG
zaposlitev	empleo	zaposlitev	empleo	N;NOM;FEM;SG	N;MASC;SG
zaposlitev	trabajo	zaposlitev	trabajo	N;NOM;FEM;SG	N;MASC;SG
zaposlitev	empleo	zaposlitev	empleo	N;NOM;FEM;SG	N;MASC;SG
lucija	lucy	lucija	lucy	N;NOM;FEM;SG	N;FEM;SG
lucija	lucia	lucija	lucia	N;NOM;FEM;SG	N;FEM;SG
dostopna	accesible	dostopen	accesible	ADJ;NOM;FEM;SG	ADJ;SG
ušesa	orejas	uho	oreja	N;NOM;NEUT;PL	N;FEM;PL
ušesa	oídos	uho	oído	N;NOM;NEUT;PL	N;MASC;PL
nataša	nataša	nataša	nataša	N;NOM;FEM;SG	N;FEM;SG
nataša	natasha	nataša	natasha	N;NOM;FEM;SG	N;FEM;SG
nataša	natalia	nataša	natalia	N;NOM;FEM;SG	N;FEM;SG
razpad	ruptura	razpad	ruptura	N;NOM;MASC;SG	N;FEM;SG
razpad	rompimiento	razpad	rompimiento	N;NOM;MASC;SG	N;MASC;SG
razpad	disolución	razpad	disolución	N;NOM;MASC;SG	N;FEM;SG
razpad	desintegración	razpad	desintegración	N;NOM;MASC;SG	N;FEM;SG
razpad	colapso	razpad	colapso	N;NOM;MASC;SG	N;MASC;SG
razpad	desplome	razpad	desplome	N;NOM;MASC;SG	N;MASC;SG
razpad	derrumbe	razpad	derrumbe	N;NOM;MASC;SG	N;MASC;SG
razpad	desintegración	razpad	desintegración	N;NOM;MASC;SG	N;FEM;SG
razpad	decadencia	razpad	decadencia	N;NOM;MASC;SG	N;FEM;SG
razpad	descomposición	razpad	descomposición	N;NOM;MASC;SG	N;FEM;SG
rektor	rector	rektor	rector	N;NOM;MASC;SG	N;MASC;SG
rektor	rectora	rektor	rectora	N;NOM;MASC;SG	N;FEM;SG
rektor	rector	rektor	rector	N;NOM;MASC;SG	N;MASC;SG
označene	etiquetados	označen	etiquetado	ADJ;NOM;FEM;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
označene	marcadas	označen	marcado	ADJ;NOM;FEM;PL;V.PTCP	ADJ;FEM;PL;V.PTCP
označene	marcados	označen	marcado	ADJ;NOM;FEM;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
kolonija	colonia	kolonija	colonia	N;NOM;FEM;SG	N;FEM;SG
broughton	broughton	broughton	broughton	N;NOM;MASC;SG	N;MASC;SG
spol	género	spol	género	N;NOM;MASC;SG	N;MASC;SG
spol	genero	spol	genero	N;NOM;MASC;SG	N;MASC;SG
spol	sexo	spol	sexo	N;NOM;MASC;SG	N;MASC;SG
spol	sex	spol	sex	N;NOM;MASC;SG	N
spol	sexo	spol	sexo	N;NOM;MASC;SG	N;MASC;SG
razviti	desarrolle	razviti	desarrollar	V;PFV;NFIN	V;SBJV;SG;3;PRS;FIN
razviti	desarrollarse	razviti	desarrollar	V;PFV;NFIN	V;SBJV;SG;3;PRS;FIN
razviti	desarrollar	razviti	desarrollar	V;PFV;NFIN	V;NFIN
razviti	desarrolla	razviti	desarrollar	V;PFV;NFIN	V;IND;SG;3;PRS;FIN
oborožitev	armamento	oborožitev	armamento	N;NOM;FEM;SG	N;MASC;SG
hčerke	hijas	hčerka	hija	N;NOM;FEM;PL	N;FEM;PL
sofija	sofia	sofija	sofia	N;NOM;FEM;SG	N;FEM;SG
sofija	sofía	sofija	sofer	N;NOM;FEM;SG	N;FEM;SG
sofija	sophia	sofija	sophia	N;NOM;FEM;SG	N;FEM;SG
sofija	sofía	sofija	sofer	N;NOM;FEM;SG	N;FEM;SG
fotografij	fotos	fotografija	foto	N;GEN;FEM;PL	N;FEM;PL
fotografij	fotografías	fotografija	fotografía	N;GEN;FEM;PL	N;FEM;PL
trak	diadema	trak	diadema	N;NOM;MASC;SG	N;FEM;SG
trak	franja	trak	franja	N;NOM;MASC;SG	N;FEM;SG
trak	strip	trak	strip	N;NOM;MASC;SG	N;MASC;SG
trak	cinta	trak	cinta	N;NOM;MASC;SG	N;FEM;SG
trak	listón	trak	listón	N;NOM;MASC;SG	N;MASC;SG
trak	cinta	trak	cinta	N;NOM;MASC;SG	N;FEM;SG
trak	correa	trak	correa	N;NOM;MASC;SG	N;FEM;SG
vidik	aspecto	vidik	aspecto	N;NOM;MASC;SG	N;MASC;SG
učiteljev	profesores	učitelj	profesor	N;GEN;MASC;PL	N;MASC;PL
učiteljev	docentes	učitelj	docente	N;GEN;MASC;PL	N;PL
učiteljev	maestras	učitelj	maestro	N;GEN;MASC;PL	N;FEM;PL
učiteljev	maestros	učitelj	maestro	N;GEN;MASC;PL	N;MASC;PL
dokazano	demostrada	dokazano	demostrado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
dokazano	probado	dokazano	probado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
dokazano	demostrado	dokazano	demostrado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
dokazano	demostrada	dokazano	demostrado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
dokazano	probado	dokazano	probado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
dokazano	comprobada	dokazano	comprobado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
dokazano	demostrado	dokazano	demostrado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
dokazano	probada	dokazano	probado	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
plašč	saco	plašč	saco	N;NOM;MASC;SG	N;MASC;SG
plašč	abrigo	plašč	abrigo	N;NOM;MASC;SG	N;MASC;SG
plašč	pelaje	plašč	pelaje	N;NOM;MASC;SG	N;MASC;SG
plašč	manto	plašč	manto	N;NOM;MASC;SG	N;MASC;SG
plašč	capa	plašč	capa	N;NOM;MASC;SG	N;FEM;SG
sneg	nieve	sneg	nieve	N;NOM;MASC;SG	N;FEM;SG
zasebni	privado	zaseben	privado	ADJ;NOM;MASC;SG	ADJ;MASC;SG;V.PTCP
zasebni	privada	zaseben	privado	ADJ;NOM;MASC;SG	ADJ;FEM;SG;V.PTCP
spretnosti	habilidades	spretnost	habilidad	N;NOM;FEM;PL	N;FEM;PL
spretnosti	destrezas	spretnost	destreza	N;NOM;FEM;PL	N;FEM;PL
spretnosti	competencias	spretnost	competencia	N;NOM;FEM;PL	N;FEM;PL
zmagovalci	vencedores	zmagovalec	vencedor	N;NOM;MASC;PL	N;MASC;PL
zmagovalci	ganadores	zmagovalec	ganador	N;NOM;MASC;PL	N;MASC;PL
soba	sala	soba	sala	N;NOM;FEM;SG	N;FEM;SG
soba	habitación	soba	habitación	N;NOM;FEM;SG	N;FEM;SG
galaksije	galaxias	galaksija	galaxias	N;NOM;FEM;PL	N;FEM;PL
novinarka	periodista	novinarka	periodista	N;NOM;FEM;SG	N;SG
novinarka	reportero	novinarka	reportero	N;NOM;FEM;SG	N;MASC;SG
novinarka	periodista	novinarka	periodista	N;NOM;FEM;SG	N;SG
novinarka	reportera	novinarka	reportera	N;NOM;FEM;SG	N;FEM;SG
mod	mod	mod	mod	N;NOM;MASC;SG	N
napisi	inscripciones	napis	inscripción	N;NOM;MASC;PL	N;FEM;PL
napisi	leyendas	napis	leyenda	N;NOM;MASC;PL	N;FEM;PL
potisk	empuje	potisk	empuje	N;NOM;MASC;SG	N;MASC;SG
cfg	cfg	cfg	cfg	N;NOM;MASC;SG	N;SG
usmerjena	dirigida	usmerjen	dirigido	ADJ;NOM;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
usmerjena	dirigido	usmerjen	dirigido	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
usmerjena	orientada	usmerjen	orientado	ADJ;NOM;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
usmerjena	orientado	usmerjen	orientar	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
irvine	irvine	irvina	irvine	N;NOM;MASC;SG	N;MASC;SG
off	off	off	off	N;NOM;MASC;SG	N
abc	abc	abca	abc	N;NOM;MASC;SG	N;SG
evrov	euros	evro	euro	N;GEN;MASC;PL	N;MASC;PL
skok	jump	skok	jump	N;NOM;MASC;SG	N
skok	salto	skok	salto	N;NOM;MASC;SG	N;MASC;SG
esej	ensayo	esaj	ensayo	N;NOM;MASC;SG	N;MASC;SG
zmožnosti	capacidades	zmožnost	capacidad	N;NOM;FEM;PL	N;FEM;PL
huda	severa	hud	severo	ADJ;NOM;FEM;SG	ADJ;FEM;SG
huda	severo	hud	severo	ADJ;NOM;FEM;SG	ADJ;MASC;SG
huda	grave	hud	grave	ADJ;NOM;FEM;SG	ADJ;SG
huda	rudo	hud	rudo	ADJ;NOM;FEM;SG	ADJ;MASC;SG
mitchell	mitchell	mitchel	mitchell	N;NOM;MASC;SG	N;MASC;SG
padlo	cayó	pasti	caer	V;PFV;NEUT;SG;V.PTCP	V;IND;SG;3;PST;FIN
padlo	caí	pasti	caer	V;PFV;NEUT;SG;V.PTCP	V;IND;SG;1;PST;FIN
zmes	mezcla	zmes	mezcla	N;NOM;FEM;SG	N;FEM;SG
zaslužil	merecía	zaslužiti	merecer	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
mer	mer	mera	mer	N;NOM;MASC;SG	N
zapor	carcel	zapor	carcel	N;NOM;MASC;SG	N;FEM;SG
zapor	cárcel	zapor	cárcel	N;NOM;MASC;SG	N;FEM;SG
zapor	prisión	zapor	prisión	N;NOM;MASC;SG	N;FEM;SG
zapor	cárcel	zapor	cárcel	N;NOM;MASC;SG	N;FEM;SG
zapor	carcel	zapor	carcel	N;NOM;MASC;SG	N;FEM;SG
zapor	prisión	zapor	prisión	N;NOM;MASC;SG	N;FEM;SG
paula	paula	pauti	paula	N;ACC;MASC;SG	N;FEM;SG
tradicija	tradición	tradicija	tradición	N;NOM;FEM;SG	N;FEM;SG
tine	tina	tina	tina	N;NOM;MASC;SG	N;FEM;SG
praksa	práctica	praks	práctica	N;NOM;FEM;SG	N;FEM;SG
komedija	comedia	komedija	comedia	N;NOM;FEM;SG	N;FEM;SG
sprejema	acepta	sprejemati	aceptar	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
sprejema	adopta	sprejemati	adoptar	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
gsub	gsub	gsub	gsub		
promocijo	promocion	promocija	promocion	N;ACC;FEM;SG	N;FEM;SG
promocijo	promoción	promocija	promoción	N;ACC;FEM;SG	N;FEM;SG
promocijo	ascenso	promocija	ascenso	N;ACC;FEM;SG	N;MASC;SG
slabosti	debilidades	slabost	debilidad	N;NOM;FEM;PL	N;FEM;PL
slabosti	deficiencias	slabost	deficiencia	N;NOM;FEM;PL	N;FEM;PL
device	vírgenes	devica	vírgen	N;NOM;FEM;PL	N;PL
device	doncellas	devica	doncella	N;NOM;FEM;PL	N;FEM;PL
preprosta	simple	preprost	simple	ADJ;NOM;FEM;SG	ADJ;SG
preprosta	sencilla	preprost	sencillo	ADJ;NOM;FEM;SG	ADJ;FEM;SG
preprosta	sencillo	preprost	sencillo	ADJ;NOM;FEM;SG	ADJ;MASC;SG
unija	union	unija	union	N;NOM;FEM;SG	N;SG
unija	unión	unija	unión	N;NOM;FEM;SG	N;FEM;SG
unija	sindicato	unija	sindicato	N;NOM;FEM;SG	N;MASC;SG
dnevni	cotidiano	dneven	cotidiano	ADJ;NOM;MASC;SG	ADJ;MASC;SG
dnevni	diaria	dneven	diario	ADJ;NOM;MASC;SG	ADJ;FEM;SG
predstavljen	destacada	predstavljen	destacado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
predstavljen	destacado	predstavljen	destacado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
predstavljen	presentado	predstavljen	presentado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
predstavljen	presentada	predstavljen	presentado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
svobodna	libre	svoboden	libre	ADJ;NOM;FEM;SG	ADJ;SG
svobodna	gratuito	svoboden	gratuito	ADJ;NOM;FEM;SG	ADJ;MASC;SG
kraljico	queen	kraljica	quear	N;ACC;FEM;SG	N;SG
kraljico	reina	kraljica	reina	N;ACC;FEM;SG	N;FEM;SG
predniki	ancestros	prednik	ancestro	N;NOM;MASC;PL	N;MASC;PL
razmišljanja	pensamiento	razmišljanje	pensamiento	N;GEN;NEUT;SG	N;MASC;SG
nameščena	instalada	nameščen	instalado-AB	ADJ;NOM;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
nameščena	instalado	nameščen	instalado	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
garda	guardia	garda	guardia	N;NOM;FEM;SG	N;SG
garda	garda	garda	garda	N;NOM;FEM;SG	N;MASC;SG
ločeni	separadas	ločen	separado	ADJ;NOM;MASC;PL;V.PTCP	ADJ;FEM;PL;V.PTCP
ločeni	separados	ločen	separado	ADJ;NOM;MASC;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
ločeni	divorciados	ločen	divorciado	ADJ;NOM;MASC;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
ločeni	divorciadas	ločen	divorciado	ADJ;NOM;MASC;PL;V.PTCP	ADJ;FEM;PL;V.PTCP
ločeni	separados	ločen	separado	ADJ;NOM;MASC;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
suzuki	suzuki	suzuk	suzuki	N;NOM;MASC;SG	N;MASC;SG
dansko	danesa	danski	danés	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
osebah	materias	oseba	materia	N;ESS;FEM;PL	N;FEM;PL
osebah	asignaturas	oseba	asignatura	N;ESS;FEM;PL	N;FEM;PL
osebah	súbditos	oseba	súbdito	N;ESS;FEM;PL	N;MASC;PL
veriga	cadena	veriga	cadena	N;NOM;FEM;SG	N;FEM;SG
hingis	hingis	hingis	hingi	N;NOM;MASC;SG	N;FEM;SG
reaktor	reactor	reaktor	reactor	N;NOM;MASC;SG	N;MASC;SG
usoda	destino	usoda	destino	N;NOM;FEM;SG	N;MASC;SG
usoda	destiny	usoda	destiny	N;NOM;FEM;SG	N
usoda	destino	usoda	destino	N;NOM;FEM;SG	N;MASC;SG
učinkovita	eficiente	učinkovit	eficiente	ADJ;NOM;FEM;SG	ADJ;SG
učinkovita	eficaz	učinkovit	eficaz	ADJ;NOM;FEM;SG	ADJ;SG
učinkovita	eficaz	učinkovit	eficaz	ADJ;NOM;FEM;SG	ADJ;SG
učinkovita	efectiva	učinkovit	efectivo	ADJ;NOM;FEM;SG	ADJ;FEM;SG
opisana	descrito	opisan	descrito	ADJ;NOM;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
opisana	descrita	opisan	descrito	ADJ;NOM;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
prizadevanja	esfuerzos	prizadevanje	esfuerzo	N;NOM;NEUT;PL	N;MASC;PL
bistvo	esencia	bistvo	esencia	N;NOM;NEUT;SG	N;FEM;SG
poljubno	arbitrariamente	poljubno	arbitrariamente	ADV	ADV
fazo	etapa	faza	etapa	N;ACC;FEM;SG	N;FEM;SG
fazo	fase	faza	fase	N;ACC;FEM;SG	N;FEM;SG
izpostavljenosti	exposición	izpostavljenost	exposición	N;GEN;FEM;SG	N;FEM;SG
talent	talento	talent	talento	N;NOM;MASC;SG	N;MASC;SG
podrejen	sumisa	podrejen	sumiso	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;FEM;SG
podrejen	subordinado	podrejen	subordinado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
podrejen	subordinada	podrejen	subordinado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
podrejen	subordinado	podrejen	subordinado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
podrejen	subordinada	podrejen	subordinado	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
začetnik	principiante	začetnik	principiante	N;NOM;MASC;SG	N;SG
začetnik	iniciación	začetnik	iniciación	N;NOM;MASC;SG	N;FEM;SG
amsterdam	ámsterdam	amsterda	ámsterdam	N;NOM;MASC;SG	N;MASC;SG
amsterdam	amsterdam	amsterda	amsterdam	N;NOM;MASC;SG	N;MASC;SG
gosti	huéspedes	gost	huésped	N;NOM;MASC;PL	N;MASC;PL
gosti	invitados	gost	invitado	N;NOM;MASC;PL	N;MASC;PL
redir	redir	redir	redir		
zelandija	zelandia	zelandija	zelandia	N;NOM;FEM;SG	N;FEM;SG
zelandija	zelanda	zelandija	zelanda	N;NOM;FEM;SG	N;FEM;SG
jez	dam	jez	dam	N;NOM;MASC;SG	N;MASC
jez	presa	jez	presa	N;NOM;MASC;SG	N;FEM;SG
jez	embalse	jez	embalse	N;NOM;MASC;SG	N;MASC;SG
jez	represa	jez	represar	N;NOM;MASC;SG	N;FEM;SG
jez	dique	jez	dique	N;NOM;MASC;SG	N;MASC;SG
party	parte	party	parte	N;NOM;MASC;SG	N;FEM;SG
party	partido	party	partido	N;NOM;MASC;SG	N;MASC;SG
party	fiesta	party	fiesta	N;NOM;MASC;SG	N;FEM;SG
party	party	party	party	N;NOM;MASC;SG	N
dovoljenja	licencias	dovoljenje	licencia	N;NOM;NEUT;PL	N;FEM;PL
dovoljenja	permisos	dovoljenje	permiso	N;NOM;NEUT;PL	N;MASC;PL
dovoljenja	permisos	dovoljenje	permiso	N;NOM;NEUT;PL	N;MASC;PL
regij	regiones	regija	región	N;GEN;FEM;PL	N;FEM;PL
pozitiven	positivo	pozitiven	positivo	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
pozitiven	positiva	pozitiven	positivo	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG
galerije	galerías	galerija	galería	N;NOM;FEM;PL	N;FEM;PL
dež	lluvia	dež	lluvia	N;NOM;MASC;SG	N;FEM;SG
institut	institut	institut	institut	N;NOM;MASC;SG	N;MASC;SG
nasledstvo	sucesión	nasledstvo	sucesión	N;NOM;NEUT;SG	N;FEM;SG
nasledstvo	legado	nasledstvo	legado	N;NOM;NEUT;SG	N;MASC;SG
nasledstvo	legacy	nasledstvo	legacy	N;NOM;NEUT;SG	N
nasledstvo	herencia	nasledstvo	herencia	N;NOM;NEUT;SG	N;FEM;SG
nasledstvo	herencia	nasledstvo	herencia	N;NOM;NEUT;SG	N;FEM;SG
nasledstvo	sucesión	nasledstvo	sucesión	N;NOM;NEUT;SG	N;FEM;SG
tovor	cargo	tovor	cargo	N;NOM;MASC;SG	N;MASC;SG
tovor	cargamento	tovor	cargamento	N;NOM;MASC;SG	N;MASC;SG
tovor	carga	tovor	carga	N;NOM;MASC;SG	N;FEM;SG
tovor	flete	tovor	flete	N;NOM;MASC;SG	N;MASC;SG
razporeditev	reparto	razporeditev	reparto	N;NOM;FEM;SG	N;MASC;SG
razporeditev	distribución	razporeditev	distribución	N;NOM;FEM;SG	N;FEM;SG
razporeditev	disposición	razporeditev	disposición	N;NOM;FEM;SG	N;FEM;SG
