nuits	nopți	nuit	noapte	N;FEM;PL	N;INDF;FEM;PL
navigateur	browser	navigateur	browser	N;MASC;SG	N;INDF;MASC;SG
organes	organe	organe	organ	N;MASC;PL	N;INDF;FEM;PL
organes	organele	organe	organ	N;MASC;PL	N;DEF;FEM;PL
organes	organisme	organe	organism	N;MASC;PL	N;INDF;FEM;PL
organes	corpuri	organe	corp	N;MASC;PL	N;INDF;FEM;PL
organes	trupuri	organe	trup	N;MASC;PL	N;INDF;FEM;PL
organes	cadavre	organe	cadavre	N;MASC;PL	N;INDF;FEM;PL
originaires	originare	originaire	originar	ADJ;MASC;PL	ADJ;INDF;FEM;PL
compétence	competență	compétence	competență	N;FEM;SG	N;INDF;FEM;SG
compétence	competență	compétence	competență	N;FEM;SG	N;INDF;FEM;SG
compétence	abilitate	compétence	abilitate	N;FEM;SG	N;INDF;FEM;SG
compétence	îndemânare	compétence	îndemânare	N;FEM;SG	N;INDF;FEM;SG
compétence	competenta	compétence	competent	N;FEM;SG	N;DEF;FEM;SG
compétence	competența	compétence	competență	N;FEM;SG	N;DEF;FEM;SG
compétence	competență	compétence	competență	N;FEM;SG	N;INDF;FEM;SG
provinciale	provincial	provincial	provincial	ADJ;FEM;SG	ADJ;INDF;MASC;SG
éliminer	elimina	éliminer	elimina	V;NFIN	V;IND;SG;3;IPFV;FIN
usages	utilizările	usage	utilizare	N;MASC;PL	N;DEF;FEM;PL
usages	utilizări	usage	utilizare	N;MASC;PL	N;INDF;FEM;PL
fonctionnaires	funcționarii	fonctionnaire	funcționar	N;MASC;PL	N;DEF;MASC;PL
fonctionnaires	oficialii	fonctionnaire	oficial	N;MASC;PL	N;DEF;MASC;PL
fonctionnaires	funcționari	fonctionnaire	funcționar	N;MASC;PL	N;INDF;MASC;PL
bords	margini	bord	margine	N;MASC;PL	N;INDF;FEM;PL
bords	marginile	bord	margine	N;MASC;PL	N;DEF;FEM;PL
directrice	director	directrice	director	N;FEM;SG	N;INDF;MASC;SG
directrice	regizor	directrice	regizor	N;FEM;SG	N;INDF;MASC;SG
directrice	manager	directrice	manager	N;FEM;SG	N;INDF;MASC;SG
directrice	managerul	directrice	manager	N;FEM;SG	N;DEF;MASC;SG
espérance	speranta	espérance	sperant	N;FEM;SG	N;DEF;FEM;SG
espérance	speranța	espérance	speranță	N;FEM;SG	N;DEF;FEM;SG
espérance	speranță	espérance	speranță	N;FEM;SG	N;INDF;FEM;SG
fragments	fragmente	fragment	fragment	N;MASC;PL	N;INDF;FEM;PL
existant	existând	exister	exista	V;PRS;V.PTCP	V;V.MSDR
bond	bond	bond	bond	N;MASC;SG	N;INDF;MASC;SG
missiles	rachetele	missile	rachet	N;MASC;PL	N;DEF;FEM;PL
missiles	rachete	missile	rachet	N;MASC;PL	N;INDF;FEM;PL
chercheur	cercetătorul	chercheur	cercetător	N;MASC;SG	N;DEF;MASC;SG
chercheur	cercetător	chercheur	cercetător	N;MASC;SG	N;INDF;MASC;SG
innovation	inovare	innovation	inovare	N;FEM;SG	N;INDF;FEM;SG
innovation	inovarea	innovation	inovare	N;FEM;SG	N;DEF;FEM;SG
ref	arbitru	ref	arbitru	N;FEM;SG	N;INDF;MASC;SG
ardèche	ardèche	ardèche	ardèche	N;FEM;SG	N;INDF;FEM;SG
alternatif	alternativă	alternatif	alternativ	ADJ;MASC;SG	ADJ;INDF;FEM;SG
fortifications	fortificații	fortification	fortificație	N;FEM;PL	N;INDF;FEM;PL
définitive	definitivă	définitif	definitiv	ADJ;FEM;SG	ADJ;INDF;FEM;SG
évènement	eveniment	évènement	eveniment	N;MASC;SG	N;INDF;MASC;SG
évènement	evenimentul	évènement	eveniment	N;MASC;SG	N;DEF;MASC;SG
sachant	știind	savoir	ști	V;PRS;V.PTCP	V;V.MSDR
sachant	stiind	savoir	sti	V;PRS;V.PTCP	V;V.MSDR
répression	reprimarea	répression	reprimare	N;FEM;SG	N;DEF;FEM;SG
répression	represiune	répression	represiune	N;FEM;SG	N;INDF;FEM;SG
répression	represiunea	répression	represiune	N;FEM;SG	N;DEF;FEM;SG
stable	stabil	stable	stabil	ADJ;MASC;SG	ADJ;INDF;MASC;SG
stable	stabilă	stable	stabil	ADJ;MASC;SG	ADJ;INDF;FEM;SG
terrestres	terestre	terrestre	terestru	ADJ;MASC;PL	ADJ;INDF;FEM;PL
correspondent	corespund	correspondre	corespunde	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
catholicisme	catolicism	catholicisme	catolicism	N;MASC;SG	N;INDF;MASC;SG
rayons	raze	rayon	rază	N;MASC;PL	N;INDF;FEM;PL
rayons	razele	rayon	rază	N;MASC;PL	N;DEF;FEM;PL
linéaire	liniar	linéaire	liniar	ADJ;MASC;SG	ADJ;INDF;MASC;SG
linéaire	liniară	linéaire	liniar	ADJ;MASC;SG	ADJ;INDF;FEM;SG
brevet	brevet	brevet	brevet	N;MASC;SG	N;INDF;MASC;SG
brevet	brevetul	brevet	brevet	N;MASC;SG	N;DEF;MASC;SG
mémorial	memorial	mémorial	memorial	N;MASC;SG	N;INDF;MASC;SG
mémorial	memorialul	mémorial	memorial	N;MASC;SG	N;DEF;MASC;SG
propulsion	propulsia	propulsion	propulsie	N;FEM;SG	N;DEF;FEM;SG
propulsion	propulsie	propulsion	propulsie	N;FEM;SG	N;INDF;FEM;SG
mythe	mitul	mythe	mit	N;MASC;SG	N;DEF;MASC;SG
mythe	mit	mythe	mit	N;MASC;SG	N;INDF;MASC;SG
manger	mănânc	manger	mănânc	V;NFIN	V;IND;SG;1;PRS;FIN
manger	mâncând	manger	mânca	V;NFIN	V;V.MSDR
manger	mănânc	manger	mănânc	V;NFIN	V;IND;SG;1;PRS;FIN
manger	mănâncă	manger	mânca	V;NFIN	V;IND;3;PRS;FIN
manger	mananca	manger	mananca	V;NFIN	V;IND;SG;3;IPFV;FIN
bouches	gurile	bouche	gură	N;FEM;PL	N;DEF;FEM;PL
bouches	guri	bouche	guri	N;FEM;PL	N;INDF;FEM;PL
prochaine	următor	prochain	următor	ADJ;FEM;SG	ADJ;INDF;MASC;SG
prochaine	următoarea	prochain	următor	ADJ;FEM;SG	ADJ;DEF;FEM;SG
degrés	grade	degré	grad	N;MASC;PL	N;INDF;FEM;PL
degrés	diplome	degré	diplomă	N;MASC;PL	N;INDF;FEM;PL
extérieure	extern	extérieur	extern	ADJ;FEM;SG	ADJ;INDF;MASC;SG
extérieure	externă	extérieur	extern	ADJ;FEM;SG	ADJ;INDF;FEM;SG
extérieure	exterioară	extérieur	exterior	ADJ;FEM;SG	ADJ;INDF;FEM;SG
styles	stiluri	style	stil	N;MASC;PL	N;INDF;FEM;PL
styles	stilurile	style	stil	N;MASC;PL	N;DEF;FEM;PL
nazis	nazisti	nazi	nazist	N;MASC;PL	N;INDF;MASC;PL
esprits	spirite	esprit	spirit	N;MASC;PL	N;INDF;FEM;PL
esprits	spiritele	esprit	spirit	N;MASC;PL	N;DEF;FEM;PL
esprits	spiritelor	esprit	spirit	N;MASC;PL	N;DEF;FEM;PL
esprits	mințile	esprit	minte	N;MASC;PL	N;DEF;FEM;PL
elisabeth	elisabeta	elisabeth	elisabetă	N;FEM;SG	N;DEF;FEM;SG
régulier	regulată	régulier	regulat	ADJ;MASC;SG	ADJ;INDF;FEM;SG
régulier	obișnuit	régulier	obișnuit	ADJ;MASC;SG	ADJ;INDF;MASC;SG
contiennent	contin	contenir	contin	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
contiennent	conțin	contenir	conține	V;IND;PL;3;PRS;FIN	V;IND;3;PRS;FIN
mix	amestec	mix	amestec	N;MASC;SG	N;INDF;MASC;SG
mix	mix	mix	mix	N;MASC;SG	N;INDF;MASC;SG
grandeur	magnitudine	grandeur	magnitudine	N;FEM;SG	N;INDF;FEM;SG
grandeur	magnitudinea	grandeur	magnitudine	N;FEM;SG	N;DEF;FEM;SG
grandeur	grandoare	grandeur	grandor	N;FEM;SG	N;INDF;FEM;SG
immigration	imigrare	immigration	imigrare	N;FEM;SG	N;INDF;FEM;SG
pollution	poluare	pollution	poluare	N;FEM;SG	N;INDF;FEM;SG
pollution	poluarea	pollution	poluare	N;FEM;SG	N;DEF;FEM;SG
marocain	marocan	marocain	marocan	ADJ;MASC;SG	ADJ;INDF;MASC;SG
accessibles	accesibile	accessible	accesibil	ADJ;MASC;PL	ADJ;INDF;FEM;PL
hôte	gazdă	hôte	gazdă	N;MASC;SG	N;INDF;FEM;SG
hôte	gazda	hôte	gazdă	N;MASC;SG	N;DEF;FEM;SG
revers	regres	revers	regres	N;MASC;SG	N;INDF;MASC;SG
revers	rever	revers	rever	N;MASC;SG	N;INDF;MASC;SG
organe	body	organe	body	N;MASC;SG	N;INDF;MASC;SG
organe	organism	organe	organism	N;MASC;SG	N;INDF;MASC;SG
organe	corp	organe	corp	N;MASC;SG	N;INDF;MASC;SG
organe	corpul	organe	corp	N;MASC;SG	N;DEF;MASC;SG
organe	trup	organe	trup	N;MASC;SG	N;INDF;MASC;SG
organe	orgă	organe	orgă	N;MASC;SG	N;INDF;FEM;SG
organe	orga	organe	orga	N;MASC;SG	N;DEF;FEM;SG
organe	organ	organe	organ	N;MASC;SG	N;INDF;MASC;SG
organe	organul	organe	organ	N;MASC;SG	N;DEF;MASC;SG
signification	sensul	signification	sens	N;FEM;SG	N;DEF;MASC;SG
signification	semnificație	signification	semnificație	N;FEM;SG	N;INDF;FEM;SG
signification	semnificatie	signification	semnificatie	N;FEM;SG	N;INDF;FEM;SG
signification	semnificația	signification	semnificație	N;FEM;SG	N;DEF;FEM;SG
signification	semnificație	signification	semnificație	N;FEM;SG	N;INDF;FEM;SG
duel	duel	duel	duel	N;MASC;SG	N;INDF;MASC;SG
duel	duelul	duel	duel	N;MASC;SG	N;DEF;MASC;SG
poétique	poetică	poétique	poetic	ADJ;MASC;SG	ADJ;INDF;FEM;SG
poétique	poetic	poétique	poetic	ADJ;MASC;SG	ADJ;INDF;MASC;SG
enregistrements	discuri	enregistrement	disc	N;MASC;PL	N;INDF;FEM;PL
enregistrements	înregistrări	enregistrement	înregistrare	N;MASC;PL	N;INDF;FEM;PL
enregistrements	recorduri	enregistrement	record	N;MASC;PL	N;INDF;FEM;PL
enregistrements	înregistrări	enregistrement	înregistrare	N;MASC;PL	N;INDF;FEM;PL
enregistrements	înregistrări	enregistrement	înregistrare	N;MASC;PL	N;INDF;FEM;PL
épaisseur	grosimea	épaisseur	grosime	N;FEM;SG	N;DEF;FEM;SG
épaisseur	grosime	épaisseur	grosime	N;FEM;SG	N;INDF;FEM;SG
heureux	fericita	heureux	fericita	ADJ;MASC;SG	ADJ;DEF;FEM;SG
heureux	fericită	heureux	fericit	ADJ;MASC;SG	ADJ;INDF;FEM;SG
heureux	fericit	heureux	fericit	ADJ;MASC;SG	ADJ;INDF;MASC;SG
bébé	iubire	bébé	iubire	N;MASC;SG	N;INDF;FEM;SG
bébé	copil	bébé	copil	N;MASC;SG	N;INDF;MASC;SG
bébé	iubito	bébé	iubito	N;MASC;SG	N;INDF;MASC;SG
entré	intrat	entrer	intra	V;MASC;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
moments	momentele	moment	moment	N;MASC;PL	N;DEF;FEM;PL
moments	clipe	moment	clipă	N;MASC;PL	N;INDF;FEM;PL
moments	momente	moment	moment	N;MASC;PL	N;INDF;FEM;PL
illustrateur	ilustrator	illustrateur	ilustrator	N;MASC;SG	N;INDF;MASC;SG
diesel	motorină	diesel	motorină	N;MASC;SG	N;INDF;FEM;SG
diesel	motorina	diesel	motorină	N;MASC;SG	N;DEF;FEM;SG
diesel	diesel	diesel	diesel	N;MASC;SG	N;INDF;MASC;SG
indiquant	indicând	indiquer	indica	V;PRS;V.PTCP	V;V.MSDR
comprennent	includ	comprendre	include	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
délai	întârziere	délai	întârziere	N;MASC;SG	N;INDF;FEM;SG
solidarité	solidaritate	solidarité	solidaritate	N;FEM;SG	N;INDF;FEM;SG
solidarité	solidaritatea	solidarité	solidaritate	N;FEM;SG	N;DEF;FEM;SG
peugeot	peugeot	peugeot	peugeot	N;MASC;SG	N;INDF;MASC;SG
piémont	piemont	piémont	piemont	N;MASC;SG	N;INDF;MASC;SG
successifs	succesive	successif	succesiv	ADJ;MASC;PL	ADJ;INDF;FEM;PL
chapeau	pălărie	chapeau	pălărie	N;MASC;SG	N;INDF;FEM;SG
chapeau	palarie	chapeau	palarie	N;MASC;SG	N;INDF;FEM;SG
chapeau	pălăria	chapeau	pălărie	N;MASC;SG	N;DEF;FEM;SG
régiments	regimente	régiment	regiment	N;MASC;PL	N;INDF;FEM;PL
serment	jurământ	serment	jurământ	N;MASC;SG	N;INDF;MASC;SG
serment	jurământul	serment	jurământ	N;MASC;SG	N;DEF;MASC;SG
libéraux	liberalii	libéral	liberal	N;MASC;PL	N;DEF;MASC;PL
libéraux	liberali	libéral	liberal	N;MASC;PL	N;INDF;MASC;PL
libéraux	liberalilor	libéral	liberal	N;MASC;PL	N;DEF;MASC;PL
libéraux	liberali	libéral	liberal	N;MASC;PL	N;INDF;MASC;PL
disciplines	discipline	discipline	disciplină	N;FEM;PL	N;INDF;FEM;PL
portugaise	portughez	portugais	portughez	ADJ;FEM;SG	ADJ;INDF;MASC;SG
edition	ediția	edition	ediție	N;FEM;SG	N;DEF;FEM;SG
edition	ediţie	edition	ediţie	N;FEM;SG	N;INDF;FEM;SG
edition	editie	edition	editie	N;FEM;SG	N;INDF;FEM;SG
edition	ediție	edition	ediție	N;FEM;SG	N;INDF;FEM;SG
edition	ediţia	edition	edigie	N;FEM;SG	N;DEF;FEM;SG
scandale	scandalul	scandale	scandal	N;MASC;SG	N;DEF;MASC;SG
scandale	scandal	scandale	scandal	N;MASC;SG	N;INDF;MASC;SG
débarquement	debarcarea	débarquement	debarcare	N;MASC;SG	N;DEF;FEM;SG
débarquement	aterizarea	débarquement	aterizare	N;MASC;SG	N;DEF;FEM;SG
débarquement	debarcare	débarquement	debarcare	N;MASC;SG	N;INDF;FEM;SG
débarquement	aterizare	débarquement	aterizare	N;MASC;SG	N;INDF;FEM;SG
festivals	festivaluri	festival	festival	N;MASC;PL	N;INDF;FEM;PL
alphabétique	alfabetic	alphabétique	alfabetic	ADJ;MASC;SG	ADJ;INDF;MASC;SG
juliette	juliette	juliette	juliette	N;FEM;SG	N;INDF;MASC;SG
juliette	julieta	juliette	julietă	N;FEM;SG	N;DEF;FEM;SG
attribution	alocare	attribution	alocare	N;FEM;SG	N;INDF;FEM;SG
attribution	alocarea	attribution	alocare	N;FEM;SG	N;DEF;FEM;SG
attribution	atribuirea	attribution	atribuire	N;FEM;SG	N;DEF;FEM;SG
attribution	atribuire	attribution	atribuire	N;FEM;SG	N;INDF;FEM;SG
arrestation	arest	arrestation	arest	N;FEM;SG	N;INDF;MASC;SG
arrestation	arestarea	arrestation	arestare	N;FEM;SG	N;DEF;FEM;SG
arrestation	arestare	arrestation	arestare	N;FEM;SG	N;INDF;FEM;SG
cristal	cristalul	cristal	cristal	N;MASC;SG	N;DEF;MASC;SG
cristal	cristal	cristal	cristal	N;MASC;SG	N;INDF;MASC;SG
cristal	crystal	cristal	crystal	N;MASC;SG	N;INDF;MASC;SG
combinaison	combinatie	combinaison	combinatie	N;FEM;SG	N;INDF;FEM;SG
combinaison	combinația	combinaison	combinație	N;FEM;SG	N;DEF;FEM;SG
combinaison	combinație	combinaison	combinație	N;FEM;SG	N;INDF;FEM;SG
combinaison	combo	combinaison	combo	N;FEM;SG	N;MASC
taxe	taxa	taxe	taxă	N;FEM;SG	N;DEF;FEM;SG
taxe	tax	taxe	tax	N;FEM;SG	N;INDF;MASC;SG
taxe	taxă	taxe	taxă	N;FEM;SG	N;INDF;FEM;SG
taxe	impozit	taxe	impozit	N;FEM;SG	N;INDF;MASC;SG
radar	radarul	radar	radar	N;MASC;SG	N;DEF;MASC;SG
radar	radar	radar	radar	N;MASC;SG	N;INDF;MASC;SG
nominations	numiri	nomination	numire	N;FEM;PL	N;INDF;FEM;PL
nominations	nominalizări	nomination	nominalizare	N;FEM;PL	N;INDF;FEM;PL
insurrection	revolta	insurrection	revolta	N;FEM;SG	N;DEF;FEM;SG
insurrection	răscoală	insurrection	răscoală	N;FEM;SG	N;INDF;FEM;SG
insurrection	revoltă	insurrection	revolta	N;FEM;SG	N;INDF;FEM;SG
repas	masă	repas	masă	N;MASC;SG	N;INDF;FEM;SG
repas	masa	repas	masă	N;MASC;SG	N;DEF;FEM;SG
éthique	etic	éthique	etic	ADJ;MASC;SG	ADJ;INDF;MASC;SG
luxe	lux	luxe	lux	N;MASC;SG	N;INDF;MASC;SG
luxe	luxul	luxe	lux	N;MASC;SG	N;DEF;MASC;SG
maîtresse	amantă	maîtresse	amanta	N;FEM;SG	N;INDF;FEM;SG
grenade	grenada	grenade	grenadă	N;FEM;SG	N;DEF;FEM;SG
grenade	rodie	grenade	rodie	N;FEM;SG	N;INDF;FEM;SG
grenade	granada	grenade	granadă	N;FEM;SG	N;DEF;FEM;SG
grenade	grenada	grenade	grenadă	N;FEM;SG	N;DEF;FEM;SG
grenade	grenadă	grenade	grenadă	N;FEM;SG	N;INDF;FEM;SG
mail	mail	mail	mail	N;MASC;SG	N;INDF;MASC;SG
mail	posta	mail	postă	N;MASC;SG	N;DEF;FEM;SG
mail	poștă	mail	poștă	N;MASC;SG	N;INDF;FEM;SG
qualifier	califică	qualifier	califica	V;NFIN	V;IND;SG;3;PST;FIN
qualifier	califica	qualifier	califica	V;NFIN	V;IND;SG;3;IPFV;FIN
mobilier	mobilier	mobilier	mobilier	N;MASC;SG	N;INDF;MASC;SG
mobilier	mobila	mobilier	mobilă	N;MASC;SG	N;DEF;FEM;SG
mobilier	mobilă	mobilier	mobilă	N;MASC;SG	N;INDF;FEM;SG
compositeurs	compozitori	compositeur	compozitor	N;MASC;PL	N;INDF;MASC;PL
strictement	strict	strictement	strict	ADV	ADV
tâches	atribuții	tâche	atribuție	N;FEM;PL	N;INDF;FEM;PL
tâches	sarcini	tâche	sarcină	N;FEM;PL	N;INDF;FEM;PL
tâches	sarcinile	tâche	sarcină	N;FEM;PL	N;DEF;FEM;PL
impératrice	împărăteasa	empereur	împărăteasă	N;FEM;SG	N;DEF;FEM;SG
soccer	fotbal	soccer	fotbal	N;MASC;SG	N;INDF;MASC;SG
ressort	primavara	ressort	primavară	N;MASC;SG	N;DEF;FEM;SG
ressort	primăvară	ressort	primăvară	N;MASC;SG	N;INDF;FEM;SG
ressort	primăvara	ressort	primăvară	N;MASC;SG	N;DEF;FEM;SG
ressort	izvor	ressort	izvor	N;MASC;SG	N;INDF;MASC;SG
ressort	spring	ressort	springe	N;MASC;SG	N;INDF;MASC;SG
marquer	marcând	marquer	marca	V;NFIN	V;V.MSDR
marquer	marchează	marquer	marca	V;NFIN	V;IND;3;PRS;FIN
hof	hof	hof	hof	N;MASC;SG	N;INDF;MASC;SG
contraintes	constrângeri	contrainte	constrângere	N;FEM;PL	N;INDF;FEM;PL
détective	detectiv	détective	detectiv	N;MASC;SG	N;INDF;MASC;SG
pole	stâlp	pole	stâlp	N;MASC;SG	N;INDF;MASC;SG
pole	pole	pole	polă	N;MASC;SG	N;INDF;MASC;SG
pole	pol	pole	pol	N;MASC;SG	N;INDF;MASC;SG
pole	polul	pole	pol	N;MASC;SG	N;DEF;MASC;SG
mondes	lumile	monde	lume	N;MASC;PL	N;DEF;FEM;PL
mondes	lumi	monde	lume	N;MASC;PL	N;INDF;FEM;PL
truc	lucru	truc	lucru	N;MASC;SG	N;INDF;MASC;SG
barbe	barba	barbe	barbă	N;FEM;SG	N;DEF;FEM;SG
barbe	barbă	barbe	barbă	N;FEM;SG	N;INDF;FEM;SG
prouver	dovedesc	prouver	dovedi	V;NFIN	V;IND;PL;3;PRS;FIN
prouver	dovedind	prouver	dovedi	V;NFIN	V;V.MSDR
prouver	dovedeste	prouver	dovedest	V;NFIN	V;IND;SG;3;PRS;FIN
dette	datorie	dette	datorie	N;FEM;SG	N;INDF;FEM;SG
bibliothèques	biblioteci	bibliothèque	bibliotecă	N;FEM;PL	N;INDF;FEM;PL
dessert	desertul	dessert	desert	N;MASC;SG	N;DEF;MASC;SG
dessert	desert	dessert	desert	N;MASC;SG	N;INDF;MASC;SG
expert	expertul	expert	expert	N;MASC;SG	N;DEF;MASC;SG
expert	expertă	expert	expert	N;MASC;SG	N;INDF;FEM;SG
expert	expert	expert	expert	N;MASC;SG	N;INDF;MASC;SG
lourde	grea	lourd	greu	ADJ;FEM;SG	ADJ;INDF;FEM;SG
renard	renard	renard	renard	N;MASC;SG	N;INDF;MASC;SG
renard	vulpe	renard	vulpă	N;MASC;SG	N;INDF;FEM;SG
renard	vulpea	renard	vulpe	N;MASC;SG	N;DEF;FEM;SG
renard	fox	renard	fox	N;MASC;SG	N;INDF;MASC;SG
esclavage	sclavie	esclavage	sclavie	N;MASC;SG	N;INDF;FEM;SG
esclavage	sclavia	esclavage	sclavia	N;MASC;SG	N;DEF;FEM;SG
esclavage	sclavie	esclavage	sclavie	N;MASC;SG	N;INDF;FEM;SG
magnétique	magnetic	magnétique	magnetic	ADJ;MASC;SG	ADJ;INDF;MASC;SG
magnétique	magnetică	magnétique	magnetic	ADJ;MASC;SG	ADJ;INDF;FEM;SG
collègues	colegi	collègue	coleg	N;MASC;PL	N;INDF;MASC;PL
collègues	colegii	collègue	coleg	N;MASC;PL	N;DEF;MASC;PL
collègues	colegi	collègue	coleg	N;MASC;PL	N;INDF;MASC;PL
attire	atrage	attirer	atrage	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
attire	atrage	attirer	atrage	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
graines	semințe	graine	sămânță	N;FEM;PL	N;INDF;FEM;PL
graines	semințe	graine	sămânță	N;FEM;PL	N;INDF;FEM;PL
rébellion	rebeliune	rébellion	rebeliune	N;FEM;SG	N;INDF;FEM;SG
rébellion	rebeliunea	rébellion	rebeliune	N;FEM;SG	N;DEF;FEM;SG
républicaine	republicană	républicain	republican	ADJ;FEM;SG	ADJ;INDF;FEM;SG
tueur	killer	tueur	killer	N;MASC;SG	N;INDF;MASC;SG
tueur	criminal	tueur	criminal	N;MASC;SG	N;INDF;MASC;SG
galeries	galeriile	galerie	galerie	N;FEM;PL	N;DEF;FEM;PL
galeries	galerii	galerie	galer	N;FEM;PL	N;INDF;FEM;PL
apparente	aparentă	apparenter	aparent	ADJ;FEM;SG	ADJ;INDF;FEM;SG
provincial	provincial	provincial	provincial	ADJ;MASC;SG	ADJ;INDF;MASC;SG
évident	evidentă	évident	evident	ADJ;MASC;SG	ADJ;INDF;FEM;SG
coûts	costuri	coût	cost	N;MASC;PL	N;INDF;FEM;PL
coûts	costurile	coût	cost	N;MASC;PL	N;DEF;FEM;PL
coûts	costuri	coût	cost	N;MASC;PL	N;INDF;FEM;PL
divine	divina	divin	divina	ADJ;FEM;SG	ADJ;DEF;FEM;SG
divine	divin	divin	divin	ADJ;FEM;SG	ADJ;INDF;MASC;SG
divine	divină	divin	divin	ADJ;FEM;SG	ADJ;INDF;FEM;SG
bouddhisme	budismul	bouddhisme	budism	N;MASC;SG	N;DEF;MASC;SG
concepts	concepte	concept	concept	N;MASC;PL	N;INDF;FEM;PL
concepts	conceptele	concept	concept	N;MASC;PL	N;DEF;FEM;PL
harmonie	armonia	harmonie	armonie	N;FEM;SG	N;DEF;FEM;SG
harmonie	armonie	harmonie	armonie	N;FEM;SG	N;INDF;FEM;SG
harmonie	harmony	harmonie	harmony	N;FEM;SG	N;INDF;MASC;SG
renseignements	informatii	renseignement	informat	N;MASC;PL	N;INDF;FEM;PL
renseignements	informații	renseignement	informație	N;MASC;PL	N;INDF;FEM;PL
renseignements	informaţii	renseignement	informah	N;MASC;PL	N;INDF;FEM;PL
blocs	blocuri	bloc	bloc	N;MASC;PL	N;INDF;FEM;PL
voulant	dorind	vouloir	dori	V;PRS;V.PTCP	V;V.MSDR
législation	legislația	législation	legislație	N;FEM;SG	N;DEF;FEM;SG
législation	legislație	législation	legislație	N;FEM;SG	N;INDF;FEM;SG
immeubles	clădiri	immeuble	clădire	N;MASC;PL	N;INDF;FEM;PL
immeubles	cladiri	immeuble	cladire	N;MASC;PL	N;INDF;FEM;PL
cerf	cerb	cerf	cerb	N;MASC;SG	N;INDF;MASC;SG
cerf	cerb	cerf	cerb	N;MASC;SG	N;INDF;MASC;SG
cerf	căprioară	cerf	căprioară	N;MASC;SG	N;INDF;FEM;SG
courtes	scurte	court	scurt	ADJ;FEM;PL	ADJ;INDF;FEM;PL
proportion	proporția	proportion	proporție	N;FEM;SG	N;DEF;FEM;SG
proportion	proporție	proportion	proporție	N;FEM;SG	N;INDF;FEM;SG
palatinat	palatinat	palatinat	palatina	N;MASC;SG	N;INDF;MASC;SG
poméranie	pomerania	poméranie	pomeranie	N;FEM;SG	N;DEF;FEM;SG
bal	bal	bal	bal	N;MASC;SG	N;INDF;MASC;SG
bal	bal	bal	bal	N;MASC;SG	N;INDF;MASC;SG
bal	balul	bal	bal	N;MASC;SG	N;DEF;MASC;SG
câble	cablu	câble	cablu	N;MASC;SG	N;INDF;MASC;SG
mers	mările	mer	mare	N;FEM;PL	N;DEF;FEM;PL
canaux	canalele	canal	canalel	N;MASC;PL	N;DEF;FEM;PL
canaux	canale	canal	canal	N;MASC;PL	N;INDF;FEM;PL
