and	oraz	and	oraz	CONJ	CONJ
british	brytyjska	british	brytyjski	ADJ	ADJ;NOM;FEM;SG
british	brytyjski	british	brytyjski	ADJ	ADJ;NOM;MASC;SG
international	international	international	international	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
international	międzynarodowe	international	międzynarodowy	ADJ	ADJ;NOM;NEUT;SG
international	międzynarodowy	international	międzynarodowy	ADJ	ADJ;NOM;MASC;SG
international	międzynarodowych	international	międzynarodowy	ADJ	ADJ;GEN;MASC;PL
international	międzynarodowa	international	międzynarodowy	ADJ	ADJ;NOM;FEM;SG
game	mecz	game	mecz	N;SG	N;NOM;MASC;SG
above	wyżej	above	wysoko	ADV	ADV;CMPR
club	klub	club	klub	N;SG	N;NOM;MASC;SG
club	klubie	club	klub	N;SG	N;DAT;MASC;SG
early	wcześnie	early	wcześnie	ADV	ADV
house	domu	house	dom	N;SG	N;GEN;MASC;SG
house	dom	house	dom	N;SG	N;NOM;MASC;SG
company	towarzystwo	company	towarzystwo	N;SG	N;NOM;NEUT;SG
company	kompania	company	kompania	N;SG	N;NOM;FEM;SG
company	firma	company	firma	N;SG	N;NOM;FEM;SG
company	przedsiębiorstwo	company	przedsiębiorstwo	N;SG	N;NOM;NEUT;SG
general	ogólny	general	ogólny	ADJ	ADJ;NOM;MASC;SG
general	ogólna	general	ogólny	ADJ	ADJ;NOM;FEM;SG
general	ogólne	general	ogólny	ADJ	ADJ;NOM;NEUT;SG
very	bardzo	very	bardzo	ADV	ADV
here	tutaj	here	tutaj	ADV	ADV
day	dnia	day	dzień	N;SG	N;GEN;MASC;SG
day	dzień	day	dzień	N;SG	N;NOM;MASC;SG
place	miejsce	place	miejsce	N;SG	N;NOM;NEUT;SG
party	przyjęcie	party	przyjąć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
party	partia	party	partia	N;SG	N;NOM;FEM;SG
party	partii	party	partia	N;SG	N;GEN;FEM;SG
party	impreza	party	impreza	N;SG	N;NOM;FEM;SG
college	uczelnia	college	uczelniać	N;SG	N;NOM;FEM;SG
college	college	college	collega	N;SG	N;NOM;MASC;SG
college	kolegium	college	kolegium	N;SG	N;NOM;NEUT;SG
result	rezultat	result	rezultat	N;SG	N;NOM;MASC;SG
result	efekt	result	efekt	N;SG	N;NOM;MASC;SG
result	wynik	result	wynik	N;SG	N;NOM;MASC;SG
keep	zachowaj	keep	zachować	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
appropriate	odpowiednia	appropriate	odpowiedni	ADJ	ADJ;NOM;FEM;SG
appropriate	odpowiedni	appropriate	odpowiedni	ADJ	ADJ;NOM;MASC;SG
appropriate	stosowne	appropriate	stosowny	ADJ	ADJ;NOM;NEUT;SG
appropriate	właściwe	appropriate	właściwy	ADJ	ADJ;NOM;NEUT;SG
four	czterech	four	cztery	NUM	NUM;ACC;MASC;PL
four	cztery	four	cztery	NUM	NUM;ACC;MASC;PL
class	klasy	class	klasa	N;SG	N;GEN;FEM;SG
government	rząd	government	rząd	N;SG	N;NOM;MASC;SG
how	jak	how	jak	ADV	ADV
called	dzwonił	call	dzwonić	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
each	każda	each	każdy	DET	DET;NOM;FEM;SG
each	każdy	each	każdy	DET	DET;NOM;MASC;SG
found	znaleziono	find	znaleźć	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
found	znalazł	find	znaleźć	V;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
center	środek	center	środek	N;SG	N;NOM;MASC;SG
center	centrum	center	centrum	N;SG	N;ACC;NEUT;SG
center	ośrodek	center	ośrodek	N;SG	N;NOM;MASC;SG
style	styl	style	styl	N;SG	N;NOM;MASC;SG
long	długo	long	długo	ADV	ADV
country	ojczyzna	country	ojczyzna	N;SG	N;NOM;FEM;SG
country	kraju	country	kraj	N;SG	N;GEN;MASC;SG
country	kraj	country	kraj	N;SG	N;NOM;MASC;SG
country	państwo	country	państwo	N;SG	N;NOM;NEUT;SG
modify	zmodyfikować	modify	zmodyfikować	V;IMP;FIN	V;PFV;NFIN;ACT
end	koniec	end	koniec	N;SG	N;NOM;MASC;SG
public	publiczne	public	publiczny	ADJ	ADJ;NOM;NEUT;SG
public	publiczna	public	publiczny	ADJ	ADJ;NOM;FEM;SG
public	publiczny	public	publiczny	ADJ	ADJ;NOM;MASC;SG
played	grało	play	grać	V;PST;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
played	grał	play	grać	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
played	zagrali	play	zagrać	V;PST;V.PTCP	V;PFV;MASC;IND;PL;PST;FIN;ACT
won	wygrał	win	wygrać	V;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
added	dodano	add	dodać	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
support	wsparcia	support	wsparcie	N;SG	N;NOM;NEUT;SG
support	wsparcie	support	wesprzeć	N;SG	N;NOM;NEUT;SG
support	wspieranie	support	wspierać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
games	mecze	game	mecz	N;PL	N;NOM;MASC;PL
former	poprzedni	former	poprzedni	ADJ	ADJ;NOM;MASC;SG
former	dawne	former	dawny	ADJ	ADJ;NOM;NEUT;SG
films	folie	film	fola	N;PL	N;NOM;FEM;PL
films	filmy	film	film	N;PL	N;NOM;MASC;PL
church	kościoła	church	kościół	N;SG	N;GEN;MASC;SG
church	kościół	church	kościół	N;SG	N;NOM;MASC;SG
line	wiersz	line	wiersz	N;SG	N;NOM;MASC;SG
line	linia	line	linia	N;SG	N;NOM;FEM;SG
line	linii	line	linia	N;SG	N;GEN;FEM;SG
members	posłowie	member	poseł	N;PL	N;NOM;MASC;PL
members	członkowie	member	członek	N;PL	N;NOM;MASC;PL
members	członkom	member	członek	N;PL	N;DAT;MASC;PL
members	członków	member	członek	N;PL	N;ACC;MASC;PL
members	członkami	member	członek	N;PL	N;INS;MASC;PL
image	obrazek	image	obrazek	N;SG	N;NOM;MASC;SG
image	obraz	image	obraz	N;SG	N;NOM;MASC;SG
image	wizerunek	image	wizerunek	N;SG	N;ACC;MASC;SG
show	pokaż	show	pokazać	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
still	nadal	still	nadal	ADV	ADV
still	wciąż	still	wciąż	ADV	ADV
think	pomyśl	think	pomyśleć	V;IMP;FIN	V;PFV;IMP;SG;2;FIN;ACT
think	myśl	think	myśleć	V;IMP;FIN	V;IPFV;IMP;SG;2;FIN;ACT
below	niżej	below	nisko	ADV	ADV;CMPR
tow	miasta	tow	miasto	N;SG	N;GEN;NEUT;SG
tow	miejscowość	tow	miejscowość	N;SG	N;NOM;FEM;SG
tow	miasto	tow	miasto	N;SG	N;NOM;NEUT;SG
last	ostatnie	last	ostatni	ADJ	ADJ;NOM;NEUT;SG
last	ostatni	last	ostatni	ADJ	ADJ;NOM;MASC;SG
system	układ	system	układ	N;SG	N;NOM;MASC;SG
system	systemu	system	system	N;SG	N;GEN;MASC;SG
system	system	system	system	N;SG	N;ACC;MASC;SG
song	piosenka	song	piosenka	N;SG	N;NOM;FEM;SG
song	utwór	song	utwór	N;SG	N;ACC;MASC;SG
section	sekcję	section	sekcja	N;SG	N;ACC;FEM;SG
section	sekcji	section	sekcja	N;SG	N;GEN;FEM;SG
section	dział	section	dziać	N;SG	N;NOM;MASC;SG
section	sekcja	section	sekcja	N;SG	N;NOM;FEM;SG
single	jednolitego	single	jednolity	ADJ	ADJ;GEN;MASC;SG
single	pojedynczy	single	pojedynczy	ADJ	ADJ;NOM;MASC;SG
single	pojedyncze	single	pojedynczy	ADJ	ADJ;NOM;NEUT;SG
home	domu	home	dom	N;SG	N;GEN;MASC;SG
home	dom	home	dom	N;SG	N;NOM;MASC;SG
women	kobietki	woman	kobietka	N;PL	N;NOM;FEM;PL
women	kobiety	woman	kobieta	N;PL	N;NOM;FEM;PL
television	telewizja	television	telewizja	N;SG	N;NOM;FEM;SG
television	telewizor	television	telewizor	N;SG	N;NOM;MASC;SG
television	telewizji	television	telewizja	N;SG	N;DAT;FEM;SG
seed	nasienie	seed	nasienie	N;SG	N;NOM;NEUT;SG
member	członka	member	członek	N;SG	N;ACC;MASC;SG
member	członkiem	member	członek	N;SG	N;INS;MASC;SG
member	członek	member	członek	N;SG	N;NOM;MASC;SG
goals	bramki	goal	bramka	N;PL	N;ACC;FEM;PL
goals	cele	goal	cel	N;PL	N;NOM;MASC;PL
goals	celów	goal	cel	N;PL	N;GEN;MASC;PL
goals	bramek	goal	bramek	N;PL	N;GEN;FEM;PL
sources	źródła	source	źródło	N;PL	N;NOM;NEUT;PL
sources	źródeł	source	źródło	N;PL	N;GEN;NEUT;PL
book	książkę	book	książka	N;SG	N;ACC;FEM;SG
book	książka	book	książka	N;SG	N;NOM;FEM;SG
station	posterunek	station	posterunek	N;SG	N;NOM;MASC;SG
station	stacji	station	stacja	N;SG	N;GEN;FEM;SG
station	stacja	station	stacja	N;SG	N;NOM;FEM;SG
station	dworzec	station	dworzec	N;SG	N;NOM;MASC;SG
order	porządek	order	porządek	N;SG	N;NOM;MASC;SG
order	zamówienie	order	zamówienie	N;SG	N;NOM;NEUT;SG
order	kolejność	order	kolejność	N;SG	N;NOM;FEM;SG
old	stary	old	stary	ADJ	ADJ;NOM;MASC;SG
information	informacja	information	informacja	N;SG	N;NOM;FEM;SG
set	ustaw	set	ustawa	V;FIN	V;IPFV;IMP;SG;2;FIN;ACT
own	własne	own	własny	ADJ	ADJ;NOM;NEUT;SG
own	własny	own	własny	ADJ	ADJ;NOM;MASC;SG
own	własna	own	własny	ADJ	ADJ;NOM;FEM;SG
text	tekst	text	tekst	N;SG	N;NOM;MASC;SG
band	pasmo	band	pasmo	N;SG	N;NOM;NEUT;SG
band	zespołu	band	zespół	N;SG	N;GEN;MASC;SG
band	zespół	band	zespół	N;SG	N;NOM;MASC;SG
point	punkt	point	punkt	N;SG	N;NOM;MASC;SG
local	miejscowa	local	miejscowy	ADJ	ADJ;NOM;FEM;SG
local	lokalny	local	lokalny	ADJ	ADJ;NOM;MASC;SG
local	lokalna	local	lokalny	ADJ	ADJ;NOM;FEM;SG
local	lokalne	local	lokalny	ADJ	ADJ;NOM;NEUT;SG
local	miejscowy	local	miejscowy	ADJ	ADJ;NOM;MASC;SG
local	lokalnych	local	lokalny	ADJ	ADJ;GEN;MASC;PL
river	rzeka	river	rzeka	N;SG	N;NOM;FEM;SG
top	szczyt	top	szczyt	N;SG	N;NOM;MASC;SG
main	główne	main	główny	ADJ	ADJ;NOM;NEUT;SG
main	główny	main	główny	ADJ	ADJ;NOM;MASC;SG
language	język	language	język	N;SG	N;NOM;MASC;SG
language	języku	language	język	N;SG	N;ACC;MASC;SG
french	francuski	french	francuski	ADJ	ADJ;NOM;MASC;SG
french	francuska	french	francuski	ADJ	ADJ;NOM;FEM;SG
french	francuskie	french	francuski	ADJ	ADJ;NOM;NEUT;SG
note	notatka	note	notatka	N;SG	N;NOM;FEM;SG
career	kariera	career	kariera	N;SG	N;NOM;FEM;SG
career	kariery	career	kariera	N;SG	N;GEN;FEM;SG
career	karierę	career	kariera	N;SG	N;ACC;FEM;SG
original	oryginalna	original	oryginalny	ADJ	ADJ;NOM;FEM;SG
original	pierwotnym	original	pierwotny	ADJ	ADJ;INS;MASC;SG
original	oryginalny	original	oryginalny	ADJ	ADJ;NOM;MASC;SG
original	oryginalne	original	oryginalny	ADJ	ADJ;NOM;NEUT;SG
age	wieku	age	wiek	N;SG	N;GEN;MASC;SG
age	wiek	age	wiek	N;SG	N;NOM;MASC;SG
service	służba	service	służba	N;SG	N;NOM;FEM;SG
service	obsługa	service	obsługa	N;SG	N;NOM;FEM;SG
service	serwis	service	serwis	N;SG	N;NOM;MASC;SG
established	ustanowiono	establish	ustanowić	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
established	ustalono	establish	ustalić	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
said	powiedział	say	powiedzieć	V;IND;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
population	populacja	population	populacja	N;SG	N;NOM;FEM;SG
population	populacji	population	populacja	N;SG	N;GEN;FEM;SG
population	ludność	population	ludność	N;SG	N;NOM;FEM;SG
air	powietrza	air	powietrze	N;SG	N;GEN;NEUT;SG
air	powietrze	air	powietrze	N;SG	N;NOM;NEUT;SG
german	niemiecka	german	niemiecki	ADJ	ADJ;NOM;FEM;SG
german	niemieckim	german	niemiecki	ADJ	ADJ;INS;MASC;SG
german	niemieckie	german	niemiecki	ADJ	ADJ;NOM;NEUT;SG
german	niemiecki	german	niemiecki	ADJ	ADJ;NOM;MASC;SG
law	prawo	law	prawo	N;SG	N;NOM;NEUT;SG
military	wojskowy	military	wojskowy	ADJ	ADJ;NOM;MASC;SG
military	wojskowe	military	wojskowy	ADJ	ADJ;NOM;NEUT;SG
great	świetne	great	świetny	ADJ	ADJ;NOM;NEUT;SG
clubs	kluby	club	klub	N;PL	N;NOM;MASC;PL
clubs	klubów	club	klub	N;PL	N;GEN;MASC;PL
published	opublikowano	publish	opublikować	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
park	park	park	park	N;SG	N;NOM;MASC;SG
official	urzędnik	official	urzędnik	N;SG	N;NOM;MASC;SG
case	sprawa	case	sprawa	N;SG	N;NOM;FEM;SG
case	przypadek	case	przypadek	N;SG	N;NOM;MASC;SG
times	razy	time	raz	N;PL	N;ACC;MASC;PL
times	czasy	time	czas	N;PL	N;NOM;MASC;PL
small	mały	small	mały	ADJ	ADJ;NOM;MASC;SG
small	niewielkie	small	niewielki	ADJ	ADJ;NOM;NEUT;SG
different	inna	different	inny	ADJ	ADJ;NOM;FEM;SG
different	różne	different	różny	ADJ	ADJ;NOM;NEUT;SG
different	inny	different	inny	ADJ	ADJ;NOM;MASC;SG
different	różnych	different	różny	ADJ	ADJ;GEN;MASC;PL
due	należne	due	należny	ADJ	ADJ;NOM;NEUT;SG
due	należny	due	należny	ADJ	ADJ;NOM;MASC;SG
village	wiosce	village	wioska	N;SG	N;DAT;FEM;SG
village	wioska	village	wioska	N;SG	N;NOM;FEM;SG
village	village	village	village	N;SG	N;NOM;MASC;SG
village	wioski	village	wioska	N;SG	N;ACC;FEM;SG
village	wieś	village	wieś	N;SG	N;NOM;FEM;SG
art	sztuka	art	sztuka	N;SG	N;NOM;FEM;SG
art	sztukę	art	sztuka	N;SG	N;ACC;FEM;SG
player	gracz	player	gracz	N;SG	N;NOM;MASC;SG
player	zawodnik	player	zawodnik	N;SG	N;NOM;MASC;SG
player	gracza	player	gracza	N;SG	N;ACC;MASC;SG
player	odtwarzacz	player	odtwarzacz	N;SG	N;NOM;MASC;SG
final	ostateczny	final	ostateczny	ADJ	ADJ;NOM;MASC;SG
final	ostateczna	final	ostateczny	ADJ	ADJ;NOM;FEM;SG
final	ostateczne	final	ostateczny	ADJ	ADJ;NOM;NEUT;SG
final	końcowe	final	końcowy	ADJ	ADJ;NOM;NEUT;SG
community	społeczność	community	społeczność	N;SG	N;NOM;FEM;SG
community	społeczności	community	społeczność	N;SG	N;GEN;FEM;SG
community	wspólnoty	community	wspólnota	N;SG	N;GEN;FEM;SG
community	wspólnota	community	wspólnota	N;SG	N;NOM;FEM;SG
again	ponownie	again	ponownie	ADV	ADV
again	znowu	again	znowu	ADV	ADV
army	wojska	army	wojsko	N;SG	N;NOM;NEUT;SG
army	wojsko	army	wojsko	N;SG	N;NOM;NEUT;SG
army	armia	army	armia	N;SG	N;NOM;FEM;SG
award	wyróżnienie	award	wyróżnienie	N;SG	N;NOM;NEUT;SG
award	nagrodę	award	nagroda	N;SG	N;ACC;FEM;SG
award	nagroda	award	nagroda	N;SG	N;NOM;FEM;SG
death	śmierci	death	śmierć	N;SG	N;GEN;FEM;SG
death	śmierć	death	śmierć	N;SG	N;NOM;FEM;SG
built	zbudowano	build	zbudować	V;PST;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
men	faceci	man	facet	N;PL	N;NOM;MASC;PL
men	mężczyźni	man	mężczyzna	N;PL	N;NOM;MASC;PL
large	duża	large	duży	ADJ	ADJ;NOM;FEM;SG
large	duży	large	duży	ADJ	ADJ;NOM;MASC;SG
large	dużych	large	duży	ADJ	ADJ;GEN;MASC;PL
large	duże	large	duży	ADJ	ADJ;NOM;NEUT;SG
site	witryna	site	witryna	N;SG	N;NOM;FEM;SG
site	strona	site	strona	N;SG	N;NOM;FEM;SG
using	używając	use	używać	V;V.MSDR	V;IPFV;PRS;V.CVB;ACT
deletion	usunięcie	deletion	usunąć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
