من	từ	مِن	từ	ADP	ADP
الاتحاد	union	اِتِّحَاد	union	N;NOM;DEF;SG	N
الاتحاد	federation	اِتِّحَاد	federation	N;NOM;DEF;SG	N
العراق	iraq	عِرَاق	iraq	N;NOM;DEF;SG	N
فريق	đội	فَرِيق	đội	N;NOM;INDF;SG	N
فريق	lớp	فَرِيق	lớp	N;NOM;INDF;SG	N
العامة	công	عَامَّة	công	N;NOM;DEF;SG	N
كبيرة	lớn	كَبِير	lớn	ADJ;NOM;INDF;FEM;SG	ADJ
كبيرة	lớn	كَبِير	lớn	ADJ;NOM;INDF;FEM;SG	ADJ
كبيرة	to	كَبِير	to	ADJ;NOM;INDF;FEM;SG	ADJ
الجيش	quân	جَيش	quân	N;NOM;DEF;SG	N
الجيش	army	جَيش	army	N;NOM;DEF;SG	N
المساكن	nhà	مَسكَن	nhà	N;NOM;DEF;PL	N
لاعب	player	لَاعِب	player	N;NOM;INDF;SG	N
يجب	phải	وَجَب	phải	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
بلدة	phố	بَلدَة	phố	N;NOM;INDF;SG	N
الحكومة	phủ	حُكُومَة	phủ	N;NOM;DEF;SG	N
ملعب	stade	مَلعَب	stade	N;NOM;INDF;SG	N
متر	mét	مِتر	mét	N;NOM;INDF;SG	N
متر	mét	مِتر	mét	N;NOM;INDF;SG	N
متر	mét	مِتر	mét	N;NOM;INDF;SG	N
حالة	status	حَالَة	status	N;NOM;INDF;SG	N
حالة	trạng	حَالَة	trạng	N;NOM;INDF;SG	N
الفيلم	film	فِيلم	film	N;NOM;DEF;SG	N
الدول	kỳ	دَولَة	kỳ	N;NOM;DEF;PL	N
مليون	triệu	مِليُون	triệu	NUM;NOM;INDF;SG	NUM
الرئيس	sếp	رَئِيس	sếp	N;NOM;DEF;SG	N
الكثير	nhiều	كَثِير	nhiều	ADJ;NOM;DEF;MASC;SG	ADJ
قوالب	mẫu	قَالَب	mẫu	N;NOM;INDF;PL	N
نهاية	kết	نِهَايَة	kết	N;NOM;INDF;SG	N
وسط	trung	وَسط	trung	N;NOM;INDF;SG	N
وسط	trung	وَسط	trung	N;NOM;INDF;SG	N
القرية	làng	قَريَة	làng	N;NOM;DEF;SG	N
السنة	năm	سَنَة	năm	N;NOM;DEF;SG	N
شكل	hình	شَكل	hình	N;NOM;INDF;SG	N
شكل	mẫu	شَكل	mẫu	N;NOM;INDF;SG	N
الكتاب	sách	كِتَاب	sách	N;NOM;DEF;SG	N
الناس	người	إِنسَان	người	N;NOM;DEF;PL	N
المغرب	morocco	مَغرِب	morocco	N;NOM;DEF;SG	N
المغرب	maroc	مَغرِب	maroc	N;NOM;DEF;SG	N
حرب	tranh	حَرب	tranh	N;NOM;INDF;SG	N
حرب	chiến	حَرب	chiến	N;NOM;INDF;SG	N
دار	dar	دَار	dar	N;NOM;INDF;SG	N
القاهرة	cairo	قَاهِرَة	cairo	N;NOM;DEF;SG	N
ثلاثة	ba	ثَلَاثَة	ba	NUM;NOM;INDF;MASC	NUM
ثلاثة	three	ثَلَاثَة	three	NUM;NOM;INDF;MASC	NUM
الشرقية	đông	شَرقِيّ	đông	ADJ;NOM;DEF;FEM;SG	ADJ
صفحة	trang	صَفحَة	trang	N;NOM;INDF;SG	N
القسم	sở	قِسم	sở	N;NOM;DEF;SG	N
القسم	khu	قِسم	khu	N;NOM;DEF;SG	N
القسم	phần	قِسم	phần	N;NOM;DEF;SG	N
برنامج	trắc	بَرنَامَج	trắc	N;NOM;INDF;SG	N
برنامج	chương	بَرنَامَج	chương	N;NOM;INDF;SG	N
وقت	gian	وَقت	gian	N;NOM;INDF;SG	N
وقت	thời	وَقت	thời	N;NOM;INDF;SG	N
النظام	hệ	نِظَام	hệ	N;NOM;DEF;SG	N
مدرسة	trường	مَدرَسَة	trường	N;NOM;INDF;SG	N
عرض	hiện	عَرض	hiện	N;NOM;INDF;SG	N
المدرسة	trường	مَدرَسَة	trường	N;NOM;DEF;SG	N
العرب	arab	عَرَب	arab	N;NOM;DEF;SG	N
التاريخ	ngày	تَارِيخ	ngày	N;NOM;DEF;SG	N
مجال	miền	مَجَال	miền	N;NOM;INDF;SG	N
حركة	motion	حَرَكَة	motion	N;NOM;INDF;SG	N
المقاطعة	quận	مُقَاطَعَة	quận	N;NOM;DEF;SG	N
المقاطعة	hạt	مُقَاطَعَة	hạt	N;NOM;DEF;SG	N
المقاطعة	tỉnh	مُقَاطَعَة	tỉnh	N;NOM;DEF;SG	N
المقاطعة	huyện	مُقَاطَعَة	huyện	N;NOM;DEF;SG	N
مسلسل	series	مُسَلسَل	series	N;NOM;INDF;SG	N
قالب	mẫu	قَالِب	mẫu	N;NOM;INDF;SG	N
تقرير	cáo	تَقرِير	cáo	N;NOM;INDF;SG	N
المناطق	vùng	مِنطَقَة	vùng	N;NOM;DEF;PL	N
المناطق	quận	مِنطَقَة	quận	N;NOM;DEF;PL	N
دول	kỳ	دَولَة	kỳ	N;NOM;INDF;PL	N
لغة	ngữ	لُغَة	ngữ	N;NOM;INDF;SG	N
الشرق	orient	شَرق	orient	N;NOM;DEF;SG	N
الجزائر	bến	جَزَائِر	bến	N;NOM;DEF;PL	N
الجزائر	algeria	جَزَائِر	algeria	N;NOM;DEF;PL	N
الجزائر	algérie	جَزَائِر	algérie	N;NOM;DEF;PL	N
معركة	trận	مَعرَكَة	trận	N;NOM;INDF;SG	N
الجزء	phần	جُزء	phần	N;NOM;DEF;SG	N
الجزء	đoạn	جُزء	đoạn	N;NOM;DEF;SG	N
بوابة	cổng	بَوَّابَة	cổng	N;NOM;INDF;SG	N
بوابة	cổng	بَوَّابَة	cổng	N;NOM;INDF;SG	N
بوابة	cổng	بَوَّابَة	cổng	N;NOM;INDF;SG	N
بوابة	gateway	بَوَّابَة	gateway	N;NOM;INDF;SG	N
قناة	kênh	قَنَاة	kênh	N;NOM;INDF;SG	N
النوع	kiểu	نَوع	kiểu	N;NOM;DEF;SG	N
النوع	loại	نَوع	loại	N;NOM;DEF;SG	N
مناطق	vùng	مِنطَقَة	vùng	N;NOM;INDF;PL	N
شهر	tháng	شَهر	tháng	N;NOM;INDF;SG	N
سلسلة	series	سِلسِلَة	series	N;NOM;INDF;SG	N
سلسلة	chuỗi	سِلسِلَة	chuỗi	N;NOM;INDF;SG	N
سلسلة	xích	سِلسِلَة	xích	N;NOM;INDF;SG	N
سلسلة	đinh	سِلسِلَة	đinh	N;NOM;INDF;SG	N
البلاد	quốc	بَلَد	quốc	N;NOM;DEF;PL	N
فيديو	video	فِيدِيُو	video	N;NOM;INDF;SG	N
جزيرة	đảo	جَزِيرَة	đảo	N;NOM;INDF;SG	N
عمان	oman	عَمَّان	oman	N;NOM;INDF;SG	N
عمان	amman	عَمَّان	amman	N;NOM;INDF;SG	N
لبنان	liban	لُبنَان	liban	N;NOM;INDF;SG	N
لبنان	lebanon	لُبنَان	lebanon	N;NOM;INDF;SG	N
عالم	giới	عَالَم	giới	N;NOM;INDF;SG	N
الكويت	kuwait	كُوَيت	kuwait	N;NOM;DEF;SG	N
الدم	máu	دَم	máu	N;NOM;DEF;SG	N
الدم	huyết	دَم	huyết	N;NOM;DEF;SG	N
الجزيرة	đảo	جَزِيرَة	đảo	N;NOM;DEF;SG	N
الحزب	đảng	حِزب	đảng	N;NOM;DEF;SG	N
الحزب	tiệc	حِزب	tiệc	N;NOM;DEF;SG	N
الفرنسية	pháp	فَرَنسِيَّة	pháp	N;NOM;DEF;SG	N
مستوى	mức	مُستَوَى	mức	N;NOM;INDF;SG	N
مستوى	tầng	مُستَوَى	tầng	N;NOM;INDF;SG	N
مستوى	cấp	مُستَوَى	cấp	N;NOM;INDF;SG	N
مختلفة	khác	مُختَلِف	khác	ADJ;NOM;INDF;FEM;SG	ADJ
تونس	tunisia	تُونِس	tunisia	N;NOM;INDF;SG	N
تونس	tunis	تُونِس	tunis	N;NOM;INDF;SG	N
عبارة	đò	عِبَارَة	đò	N;NOM;INDF;SG	N
عبارة	ferry	عِبَارَة	ferry	N;NOM;INDF;SG	N
عبارة	phà	عِبَارَة	phà	N;NOM;INDF;SG	N
حزب	đảng	حِزب	đảng	N;NOM;INDF;SG	N
حزب	tiệc	حِزب	tiệc	N;NOM;INDF;SG	N
ثلاث	ba	ثَلَاثَة	ba	NUM;NOM;INDF;FEM	NUM
ثلاث	three	ثَلَاثَة	three	NUM;NOM;INDF;FEM	NUM
نهر	sông	نَهر	sông	N;NOM;INDF;SG	N
الماء	nước	مَاء	nước	N;NOM;DEF;SG	N
شارك	chia	شَارَك	chia	V;PFV;MASC;SG;3;ACT	V
شارك	share	شَارَك	share	V;PFV;MASC;SG;3;ACT	V
غرب	tây	غَرب	tây	N;NOM;INDF;SG	N
غرب	tây	غَرب	tây	N;NOM;INDF;SG	N
عادة	trù	عَادَة	trù	N;ACC;INDF;SG	N
العلم	cờ	عِلم	cờ	N;NOM;DEF;SG	N
شخص	người	شَخص	người	N;NOM;INDF;SG	N
الكبير	lớn	كَبِير	lớn	ADJ;NOM;DEF;MASC;SG	ADJ
الكبير	to	كَبِير	to	ADJ;NOM;DEF;MASC;SG	ADJ
النقطة	điểm	نُقطَة	điểm	N;NOM;DEF;SG	N
العصر	chiều	عَصر	chiều	N;NOM;DEF;SG	N
الفريق	đội	فَرِيق	đội	N;NOM;DEF;SG	N
الفريق	lớp	فَرِيق	lớp	N;NOM;DEF;SG	N
فلسطين	palestine	فِلَسطِين	palestine	N;NOM;INDF;SG	N
العاصمة	vốn	عَاصِمَة	vốn	N;NOM;DEF;SG	N
الحركة	motion	حَرَكَة	motion	N;NOM;DEF;SG	N
جانب	bên	جَانِب	bên	N;NOM;INDF;SG	N
جانب	phe	جَانِب	phe	N;NOM;INDF;SG	N
جانب	trang	جَانِب	trang	N;NOM;INDF;SG	N
الطاقة	lượng	طَاقَة	lượng	N;NOM;DEF;SG	N
الطاقة	lực	طَاقَة	lực	N;NOM;DEF;SG	N
مكتب	bàn	مَكتَب	bàn	N;NOM;INDF;SG	N
جنس	sex	جنس	sex	N;NOM;INDF;SG	N
الشمس	nắng	شَمس	nắng	N;NOM;DEF;SG	N
جزء	phần	جُزء	phần	N;NOM;INDF;SG	N
رجل	người	رَجُل	người	N;NOM;INDF;SG	N
اليابان	japan	اَليَابَان	japan	N;NOM;DEF;SG	N
المجموعة	nhóm	مَجمُوعَة	nhóm	N;NOM;DEF;SG	N
النادي	clb	نَادِي	clb	N;NOM;DEF;SG	N
المواد	nguyên	مَادَّة	nguyên	N;NOM;DEF;PL	N
سبب	chi	سَبَب	chi	N;NOM;INDF;SG	N
سبب	chi	سَبَب	chi	N;NOM;INDF;SG	N
صفحات	trang	صَفحَة	trang	N;NOM;INDF;PL	N
حياة	đời	حَيَاة	đời	N;NOM;INDF;SG	N
ذكور	nam	ذَكّ	nam	N;NOM;INDF;PL	N
ذكور	buồng	ذَكّ	buồng	N;NOM;INDF;PL	N
ذكور	đực	ذَكّ	đực	N;NOM;INDF;PL	N
ذكور	nam	ذَكّ	nam	N;NOM;INDF;PL	N
القانون	luật	قَانُون	luật	N;NOM;DEF;SG	N
الطريق	đường	طَرِيق	đường	N;NOM;DEF;SG	N
الطريق	đường	طَرِيق	đường	N;NOM;DEF;SG	N
السابق	cựu	سَابِق	cựu	N;NOM;DEF;SG	N
صغيرة	nhỏ	صَغِير	nhỏ	ADJ;NOM;INDF;FEM;SG	ADJ
السلام	hòa	سَلَام	hòa	N;NOM;DEF;SG	N
دمشق	damascus	دِمَشق	damascus	N;NOM;INDF;SG	N
بغداد	baghdad	بَغدَاد	baghdad	N;NOM;INDF;SG	N
بغداد	bagdad	بَغدَاد	bagdad	N;NOM;INDF;SG	N
كثير	nhiều	كَثِير	nhiều	ADJ;NOM;INDF;MASC;SG	ADJ
رمز	code	رَمز	code	N;NOM;INDF;SG	N
رمز	mã	رَمز	mã	N;NOM;INDF;SG	N
رمز	icon	رَمز	icon	N;NOM;INDF;SG	N
جبال	núi	جَبَل	núi	N;NOM;INDF;PL	N
الصين	china	صِين	china	N;NOM;DEF;SG	N
الجنسية	sex	جِنسِيَّة	sex	N;NOM;DEF;SG	N
الشمال	bắc	شَمَال	bắc	N;NOM;DEF;SG	N
موسم	mùa	مَوسِم	mùa	N;NOM;INDF;SG	N
يلعب	thấm	لَعِب	thấm	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
يلعب	chơi	لَعِب	chơi	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
بلديات	xã	بَلَدِيَّة	xã	N;NOM;INDF;PL	N
قانون	luật	قَانُون	luật	N;NOM;INDF;SG	N
كلمة	lời	كَلِمَة	lời	N;NOM;INDF;SG	N
حكومة	phủ	حُكُومَة	phủ	N;NOM;INDF;SG	N
الخليج	vịnh	خَلِيج	vịnh	N;NOM;DEF;SG	N
الخليج	vịnh	خَلِيج	vịnh	N;NOM;DEF;SG	N
قصة	truyện	قِصَّة	truyện	N;NOM;INDF;SG	N
قصة	chuyện	قِصَّة	chuyện	N;NOM;INDF;SG	N
مصدر	nguồn	مَصدَر	nguồn	N;NOM;INDF;SG	N
يقول	nói	قَال	nói	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
وحدة	unity	وَحدَة	unity	N;NOM;INDF;SG	N
وحدة	modul	وَحدَة	modul	N;NOM;INDF;SG	N
وحدة	môđun	وَحدَة	môđun	N;NOM;INDF;SG	N
وحدة	module	وَحدَة	module	N;NOM;INDF;SG	N
حقوق	quyền	حَقّ	quyền	N;NOM;INDF;PL	N
الجنوب	nam	جَنُوب	nam	N;NOM;DEF;SG	N
مسجد	masjid	مَسجِد	masjid	N;NOM;INDF;SG	N
جزر	đảo	جَزِيرَة	đảo	N;NOM;INDF;PL	N
بلاد	quốc	بَلَد	quốc	N;NOM;INDF;PL	N
يد	tay	يَد	tay	N;NOM;INDF;SG	N
قوة	lực	قُوَّة	lực	N;NOM;INDF;SG	N
مباراة	game	مُبَارَاة	game	N;NOM;INDF;SG	N
مباراة	thủ	مُبَارَاة	thủ	N;NOM;INDF;SG	N
مباراة	khớp	مُبَارَاة	khớp	N;NOM;INDF;SG	N
لعب	play	لَعِب	play	V;PFV;MASC;SG;3;ACT	V
لعب	chơi	لَعِب	chơi	V;PFV;MASC;SG;3;ACT	V
مختلف	khác	مُختَلِف	khác	ADJ;NOM;INDF;MASC;SG	ADJ
البحث	bê	بَحث	bê	N;NOM;DEF;SG	N
الوسطى	trung	أَوسَط	trung	N;NOM;DEF;SG	N
نظرية	thuyết	نَظَرِيَّة	thuyết	N;NOM;INDF;SG	N
قاعدة	luật	قَاعِدَة	luật	N;NOM;INDF;SG	N
السلطان	sultan	سُلطَان	sultan	N;NOM;DEF;SG	N
البحرين	bahrain	اَلبَحرَين	bahrain	N;GEN;DEF;SG	N
المسيحية	nguyen	مَسِيحِيَّة	nguyen	N;NOM;DEF;SG	N
الكنيسة	thờ	كَنِيسَة	thờ	N;NOM;DEF;SG	N
طريقة	đường	طَرِيقَة	đường	N;NOM;INDF;SG	N
شبكة	lưới	شَبَكَة	lưới	N;NOM;INDF;SG	N
شبكة	mạng	شَبَكَة	mạng	N;NOM;INDF;SG	N
العملية	thao	عَمَلِيَّة	thao	N;NOM;DEF;SG	N
عائلة	đình	عَائِلَة	đình	N;NOM;INDF;SG	N
الشكل	hình	شَكل	hình	N;NOM;DEF;SG	N
الشكل	mẫu	شَكل	mẫu	N;NOM;DEF;SG	N
الشكل	format	شَكل	format	N;NOM;DEF;SG	N
مرحلة	stage	مَرحَلَة	stage	N;NOM;INDF;SG	N
دائرة	lượn	دَائِرَة	lượn	N;NOM;INDF;SG	N
دائرة	mạch	دَائِرَة	mạch	N;NOM;INDF;SG	N
حد	hạn	حَدّ	hạn	N;NOM;INDF;SG	N
صناعة	ngành	صِنَاعَة	ngành	N;NOM;INDF;SG	N
مؤسسة	quỹ	مُؤَسَّسَة	quỹ	N;NOM;INDF;SG	N
مؤسسة	foundation	مُؤَسَّسَة	foundation	N;NOM;INDF;SG	N
مؤسسة	nọc	مُؤَسَّسَة	nọc	N;NOM;INDF;SG	N
مؤسسة	sở	مُؤَسَّسَة	sở	N;NOM;INDF;SG	N
مصادر	nguồn	مَصدَر	nguồn	N;NOM;INDF;PL	N
تحتوي	chứa	اِحتَوَى	chứa	V;IPFV;MASC;IND;SG;3;FIN;ACT	V
البعض	cầy	بَعض	cầy	N;NOM;DEF;SG	N
مسلسلات	series	مُسلِسِلّ	series	N;NOM;INDF;PL	N
الموسم	mùa	مَوسِم	mùa	N;NOM;DEF;SG	N
الحالة	status	حَالَة	status	N;NOM;DEF;SG	N
الحالة	trạng	حَالَة	trạng	N;NOM;DEF;SG	N
صور	ảnh	صُورَة	ảnh	N;NOM;INDF;PL	N
صور	ảnh	صُورَة	ảnh	N;NOM;INDF;PL	N
الصفحة	trang	صَفحَة	trang	N;NOM;DEF;SG	N
القديم	cũ	قَدِيم	cũ	ADJ;NOM;DEF;MASC;SG	ADJ
القديم	già	قَدِيم	già	ADJ;NOM;DEF;MASC;SG	ADJ
العثمانية	ottoman	عُثمَانِيّ	ottoman	N;NOM;DEF;SG	N
الطب	thuốc	طِبّ	thuốc	N;NOM;DEF;SG	N
نقطة	dot	نُقطَة	dot	N;NOM;INDF;SG	N
نقطة	điểm	نُقطَة	điểm	N;NOM;INDF;SG	N
السلطة	salad	سُلطَة	salad	N;NOM;DEF;SG	N
السلطة	lực	سُلطَة	lực	N;NOM;DEF;SG	N
الوحدة	unity	وَحدَة	unity	N;NOM;DEF;SG	N
النباتات	cây	نَبَات	cây	N;NOM;DEF;PL	N
اتحاد	federation	اِتِّحَاد	federation	N;NOM;INDF;SG	N
اتحاد	consortium	اِتِّحَاد	consortium	N;NOM;INDF;SG	N
عشرة	mười	عَشَرَة	mười	NUM;MASC	NUM
الشام	sham	شَام	sham	N;NOM;DEF;SG	N
الشعر	tóc	شَعر	tóc	N;NOM;DEF;SG	N
