категория	kategori	категория	kategori	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
место	placering	место	placering	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
место	lokation	место	lokation	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
были	var	быть	være	V;IPFV;IND;PL;PST;FIN;ACT	V;IND;PST;FIN;ACT
район	kvarter	район	kvarter	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
район	nabolag	район	nabolag	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
район	kvarteret	район	kvarter	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
район	nabolaget	район	nabolag	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
район	distriktet	район	distrikte	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
район	district	район	district	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
район	distrikt	район	distrikt	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
район	areal	район	areal	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
район	område	район	område	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
вид	art	вид	art	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
вид	dyreart	вид	dyreart	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
вид	vis	вид	vis	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
вид	udsigt	вид	udsigt	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
есть	har	быть	have	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
язык	tungen	язык	tung	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
язык	sprog	язык	sprog	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
язык	sproget	язык	sprog	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
районе	kvarter	район	kvarter	N;INAN;ESS;MASC;SG	N;INDF;NEUT;SG
районе	nabolag	район	nabolag	N;INAN;ESS;MASC;SG	N;INDF;NEUT;SG
районе	kvarteret	район	kvarter	N;INAN;ESS;MASC;SG	N;DEF;NEUT;SG
районе	nabolaget	район	nabolag	N;INAN;ESS;MASC;SG	N;DEF;NEUT;SG
код	kode	код	kode	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
код	koden	код	koden	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
более	mere	более	mere	ADV;CMPR	ADV;CMPR
мая	maj	май	maj	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
дата	date	дата	date	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
дата	dato	дата	dato	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
ноября	november	ноябрь	november	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
деревня	landsbyen	деревня	landsby	N;INAN;NOM;FEM;SG	N;DEF;MASC+FEM;SG
деревня	landsby	деревня	landsby	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
где	hvor	где	hvor	ADV	ADV
января	januar	январь	januar	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
марта	martha	март	martha	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
марта	marts	март	marts	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
марта	march	март	march	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
все	alting	все	alting	PRO;INAN;NOM;NEUT;SG	PRO;NEUT;SG
августа	august	август	august	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
октября	oktober	октябрь	oktober	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
сентября	september	сентябрь	september	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
статьи	artikler	статья	artikel	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
статьи	genstande	статья	genstand	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
статьи	artiklerne	статья	artikel	N;INAN;NOM;FEM;PL	N;DEF;MASC+FEM;PL
уже	allerede	уже	allerede	ADV	ADV
июня	juni	июнь	juni	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
июня	june	июнь	jun	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
апреля	april	апрель	april	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
который	hvilket	который	hvilken	PRO;NOM	PRO;NEUT;SG
который	hvilken	который	hvilken	PRO;NOM	PRO;MASC+FEM;SG
который	hvilke	который	hvilken	PRO;NOM	PRO;PL
название	betegnelse	название	betegnelse	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
название	navn	название	navn	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
название	betegnelse	название	betegnelse	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
название	overskrift	название	overskrift	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
название	titel	название	titel	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
название	afsnit	название	afsnit	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
поселение	forlig	поселение	forlig	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
поселение	afvikling	поселение	afvikling	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
поселение	afregning	поселение	afregning	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
человек	person	человек	person	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
человек	menneske	человек	menneske	N;ANIM;NOM;MASC;SG	N;INDF;NEUT;SG
человек	mennesket	человек	menneske	N;ANIM;NOM;MASC;SG	N;DEF;NEUT;SG
человек	mand	человек	mand	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
человек	manden	человек	mand	N;ANIM;NOM;MASC;SG	N;DEF;MASC+FEM;SG
февраля	februar	февраль	februar	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
февраля	feb	февраль	feb	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
они	de	они	de	PRO;NOM;PL;3	PRO;NOM;PL;3
города	byer	город	by	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
города	byerne	город	by	N;INAN;NOM;MASC;PL	N;DEF;MASC+FEM;PL
города	storbyer	город	storby	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
города	byer	город	by	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
может	kan	мочь	kunne	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
она	hun	она	hun	PRO;NOM;FEM;SG;3	PRO;NOM;MASC+FEM;SG;3
войны	krigene	война	krig	N;INAN;NOM;FEM;PL	N;DEF;MASC+FEM;PL
войны	krige	война	krig	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
войны	krige	война	krig	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
когда	når	когда	når	CONJ	CONJ
однако	dog	однако	dog	ADV	ADV
однако	dog	однако	dog	ADV	ADV
однако	imidlertid	однако	imidlertid	ADV	ADV
которые	hvilket	который	hvilken	PRO;NOM	PRO;NEUT;SG
которые	hvilken	который	hvilken	PRO;NOM	PRO;MASC+FEM;SG
которые	hvilke	который	hvilken	PRO;NOM	PRO;PL
высота	højde	высота	højde	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
высота	højden	высота	højde	N;INAN;NOM;FEM;SG	N;DEF;MASC+FEM;SG
высота	højde	высота	højde	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
переписи	tællinger	перепись	tælling	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
село	landsbyen	село	landsby	N;INAN;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
село	landsby	село	landsby	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
стал	blev	стать	blive	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
род	slægt	род	slægge	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
род	rod	род	rod	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
род	stang	род	stang	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
реки	river	река	rive	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
реки	floder	река	flode	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
реки	floderne	река	flod	N;INAN;NOM;FEM;PL	N;DEF;MASC+FEM;PL
между	mellem	между	mellem	ADP	ADP
статус	status	статус	status	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
статус	statussen	статус	statusse	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
населения	befolkningen	население	befolkning	N;INAN;GEN;NEUT;SG	N;DEF;MASC+FEM;SG
населения	indbyggertal	население	indbyggertal	N;INAN;GEN;NEUT;SG	N;INDF;NEUT;SG
населения	befolkning	население	befolkning	N;INAN;GEN;NEUT;SG	N;INDF;MASC+FEM;SG
через	via	через	via	ADP	ADP
национальный	landsdækkende	национальный	landsdækkende	ADJ;NOM;MASC;SG	ADJ
область	provins	область	provins	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
область	provinsen	область	provins	N;INAN;NOM;FEM;SG	N;DEF;MASC+FEM;SG
область	region	область	region	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
область	areal	область	areal	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
область	område	область	område	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
список	liste	список	liste	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
список	list	список	list	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
сайт	website	сайт	website	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
сайт	hjemmeside	сайт	hjemmeside	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
сайт	webside	сайт	webside	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
сайт	hjemmesiden	сайт	hjemmeside	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
сайт	websted	сайт	websted	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
сайт	site	сайт	site	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
века	aldre	век	alden	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
века	århundreder	век	århundrede	N;INAN;NOM;MASC;PL	N;INDF;NEUT;PL
официальный	officiel	официальный	officiel	ADJ;NOM;MASC;SG	ADJ;INDF;MASC+FEM;SG
часть	del	часть	del	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
будет	vil	быть	ville	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
город	town	город	town	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
город	byen	город	by	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
город	by	город	by	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
город	byen	город	by	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
город	storby	город	storby	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
город	by	город	by	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
мира	freden	мир	fred	N;INAN;GEN;MASC;SG	N;DEF;MASC+FEM;SG
мира	fred	мир	fred	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
первое	første	первый	første	ADJ;NOM;NEUT;SG	ADJ
части	reservedele	часть	reservedel	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
части	dele	часть	del	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
описание	beskrivelse	описание	beskrivelse	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
первый	første	первый	første	ADJ;NOM;MASC;SG	ADJ
среди	blandt	среди	blandt	ADP	ADP
файл	file	файл	file	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
файл	filen	файл	fil	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
файл	fil	файл	fil	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
два	to	два	to	NUM;NOM;MASC	NUM
там	der	там	der	ADV	ADV
территории	territorier	территория	territori	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
главы	kapitler	глава	kapitel	N;ANIM;NOM;MASC;PL	N;INDF;NEUT;PL
карта	landkort	карта	landkort	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
карта	card	карта	card	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
площадь	firkant	площадь	firkant	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
площадь	kvadrat	площадь	kvadrat	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
площадь	torv	площадь	torv	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
площадь	areal	площадь	areal	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
площадь	område	площадь	område	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
всё	alting	все	alting	PRO;INAN;NOM;NEUT;SG	PRO;NEUT;SG
затем	derefter	затем	derefter	ADV	ADV
затем	så	затем	så	ADV	ADV
группы	grupper	группа	gruppe	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
группы	grupperne	группа	gruppe	N;INAN;NOM;FEM;PL	N;DEF;MASC+FEM;PL
основания	grunde	основание	grund	N;INAN;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
основания	begrundelser	основание	begrundelse	N;INAN;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
размер	størrelse	размер	størrelse	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
размер	størrelsen	размер	størrelse	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
имеет	har	иметь	have	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
поселения	boligområder	поселение	boligområder	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;PL
поселения	bosættelser	поселение	bosættelse	N;INAN;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
страны	lande	страна	land	N;INAN;NOM;FEM;PL	N;INDF;NEUT;PL
страны	landene	страна	land	N;INAN;NOM;FEM;PL	N;DEF;NEUT;PL
страны	lande	страна	land	N;INAN;NOM;FEM;PL	N;INDF;NEUT;PL
входит	indtaster	входить	indtaste	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
индекс	indeks	индекс	indeks	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
улица	gade	улица	gade	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
улица	street	улица	stre	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
улица	gaden	улица	gade	N;INAN;NOM;FEM;SG	N;DEF;MASC+FEM;SG
население	demografi	население	demografi	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
население	befolkningen	население	befolkning	N;INAN;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
население	indbyggertal	население	indbyggertal	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
население	befolkning	население	befolkning	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
имена	navne	имя	navn	N;INAN;NOM;NEUT;PL	N;INDF;NEUT;PL
имена	betegnelser	имя	betegnelse	N;INAN;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
вместе	sammen	вместе	sammen	ADV	ADV
упоминание	nævn	упоминание	nævn	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
здесь	her	здесь	her	ADV	ADV
истории	fortællinger	история	fortælling	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
истории	historier	история	historie	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
которая	hvilket	который	hvilken	PRO;NOM	PRO;NEUT;SG
которая	hvilken	который	hvilken	PRO;NOM	PRO;MASC+FEM;SG
которая	hvilke	который	hvilken	PRO;NOM	PRO;PL
александр	alexander	александр	alexander	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
армии	hær	армия	hær	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
армии	hæren	армия	hær	N;INAN;NOM;FEM;SG	N;DEF;MASC+FEM;SG
армии	army	армия	army	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
деление	afdeling	деление	afdeling	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
деление	opdeling	деление	opdeling	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
деление	division	деление	division	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
деление	hovedgruppe	деление	hovedgruppe	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
деление	inddeling	деление	inddeling	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
деление	underafsnit	деление	underafsnit	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
деление	fission	деление	fission	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
игроки	aktører	игрок	aktøre	N;ANIM;NOM;MASC;PL	N;INDF;MASC+FEM;PL
игроки	spillerne	игрок	spiller	N;ANIM;NOM;MASC;PL	N;DEF;MASC+FEM;PL
игроки	spillere	игрок	spiller	N;ANIM;NOM;MASC;PL	N;INDF;MASC+FEM;PL
получил	fik	получить	få	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
история	historien	история	historie	N;INAN;NOM;FEM;SG	N;DEF;MASC+FEM;SG
история	historie	история	historie	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
история	historik	история	historik	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
история	historie	история	historie	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
совета	rådets	совет	råd	N;INAN;GEN;MASC;SG	N;GEN;DEF;NEUT;SG
совета	rådet	совет	råd	N;INAN;GEN;MASC;SG	N;DEF;NEUT;SG
фильм	folie	фильм	folie	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
рождения	fødsel	рождение	fødsel	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
рождения	fødslen	рождение	fødsel	N;INAN;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
пункты	punkterne	пункт	punkt	N;INAN;NOM;MASC;PL	N;DEF;NEUT;PL
пункты	poster	пункт	post	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
пункты	genstande	пункт	genstand	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
пункты	punkter	пункт	punkt	N;INAN;NOM;MASC;PL	N;INDF;NEUT;PL
времени	tid	время	tid	N;INAN;GEN;NEUT;SG	N;INDF;MASC+FEM;SG
времени	tidspunkt	время	tidspunkt	N;INAN;GEN;NEUT;SG	N;INDF;NEUT;SG
времени	gang	время	gang	N;INAN;GEN;NEUT;SG	N;INDF;MASC+FEM;SG
времени	klokkeslæt	время	klokkeslæt	N;INAN;GEN;NEUT;SG	N;INDF;NEUT;SG
времени	tiden	время	tid	N;INAN;GEN;NEUT;SG	N;DEF;MASC+FEM;SG
участник	medlem	участник	medlem	N;ANIM;NOM;MASC;SG	N;INDF;NEUT;SG
страница	side	страница	side	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
участие	inddragelse	участие	inddragelse	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
участие	involvering	участие	involvering	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
участие	engagement	участие	engagement	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
участие	deltagelse	участие	deltagelse	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
участие	medindflydelse	участие	medindflydelse	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
участие	medbestemmelse	участие	medbestemmelse	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
три	tre	три	tre	NUM;NOM	NUM
человека	menneske	человек	menneske	N;ANIM;ACC;MASC;SG	N;INDF;NEUT;SG
автор	forfatteren	автор	forfatter	N;ANIM;NOM;MASC;SG	N;DEF;MASC+FEM;SG
автор	forfatter	автор	forfatter	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
автор	forslagsstiller	автор	forslagsstiller	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
автор	ophavsmand	автор	ophavsmand	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
внутреннее	intern	внутренний	intern	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC+FEM;SG
внутреннее	indre	внутренний	indre	ADJ;NOM;NEUT;SG	ADJ
внутреннее	inder	внутренний	inder	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC+FEM;SG
внутреннее	indvendig	внутренний	indvendig	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC+FEM;SG
статей	artikler	статья	artikel	N;INAN;GEN;FEM;PL	N;INDF;MASC+FEM;PL
статей	genstande	статья	genstand	N;INAN;GEN;FEM;PL	N;INDF;MASC+FEM;PL
статей	artiklerne	статья	artikel	N;INAN;GEN;FEM;PL	N;DEF;MASC+FEM;PL
центр	centrum	центр	centrum	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
центр	midtpunkt	центр	midtpunkt	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
центр	center	центр	center	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
центр	midten	центр	midte	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
центр	centret	центр	center	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
центр	centrum	центр	centrum	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
центр	centre	центр	centre	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
центр	center	центр	center	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
округ	county	округ	county	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
округ	amtet	округ	amt	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
округ	amt	округ	amt	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
округ	amtskommune	округ	amtskommun	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
округ	distriktet	округ	distrikte	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
округ	district	округ	district	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
округ	distrikt	округ	distrikt	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
родился	født	рождаться	føde	V;PFV;MASC;IND;SG;PST;FIN;MID	V;INDF;SG;PST;V.PTCP
союза	union	союз	union	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
союза	fagforening	союз	fagforening	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
союза	fagforeningen	союз	fagforening	N;INAN;GEN;MASC;SG	N;DEF;MASC+FEM;SG
союза	unionen	союз	union	N;INAN;GEN;MASC;SG	N;DEF;MASC+FEM;SG
кто	hvem	кто	hvem	PRO;NOM	PRO;MASC+FEM
связи	meddelelser	связь	meddelelse	N;INAN;NOM;FEM;PL	N;INDF;MASC+FEM;PL
день	dag	день	dag	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
день	dagen	день	dag	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
день	kampdag	день	kampdag	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
период	tidsrum	период	tidsrum	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
период	periode	период	periode	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
период	perioden	период	periode	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
община	fællesskabet	община	fællesskab	N;INAN;NOM;FEM;SG	N;DEF;NEUT;SG
община	fællesskab	община	fællesskab	N;INAN;NOM;FEM;SG	N;INDF;NEUT;SG
индексы	indekser	индекс	indekse	N;INAN;NOM;MASC;PL	N;INDF;NEUT;PL
индексы	fortegnelser	индекс	fortegnelse	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
индексы	indekser	индекс	indekse	N;INAN;NOM;MASC;PL	N;INDF;NEUT;PL
группа	gruppe	группа	gruppe	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
группа	group	группа	group	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
группа	gruppen	группа	gruppe	N;INAN;NOM;FEM;SG	N;DEF;MASC+FEM;SG
имя	betegnelse	имя	betegnelse	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
