ve	en	ve	en	CONJ	CONJ
kısa	kort	kısa	kort	ADJ	ADJ
kısa	beknopt	kısa	beknopt	ADJ	ADJ
kısa	korte	kısa	kort	ADJ	ADJ
kişi	persoon	kişi	persoon	N;NOM;SG;3	N;MASC+FEM;SG
el	hand	el	hand	N;NOM;SG;3	N;MASC+FEM;SG
gol	doelstelling	gol	doelstelling	N;NOM;SG;3	N;MASC+FEM;SG
gol	doel	gol	doel	N;NOM;SG;3	N;NEUT;SG
gol	goal	gol	goal	N;NOM;SG;3	N;MASC+FEM;SG
gol	doelpunt	gol	doelpunt	N;NOM;SG;3	N;NEUT;SG
suyu	sap	su	sap	N;ACC;SG;3	N;MASC+FEM;SG
ödülü	beloning	ödül	beloning	N;ACC;SG;3	N;MASC+FEM;SG
ödülü	onderscheiding	ödül	onderscheiding	N;ACC;SG;3	N;MASC+FEM;SG
ödülü	gunning	ödül	gunning	N;ACC;SG;3	N;MASC+FEM;SG
gün	dag	gün	dag	N;NOM;SG;3	N;MASC+FEM;SG
gün	dagje	gün	dag	N;NOM;SG;3	N;NEUT;SG
süre	tijd	süre	tijd	N;NOM;SG;3	N;MASC+FEM;SG
süre	looptijd	süre	looptijd	N;NOM;SG;3	N;MASC+FEM;SG
süre	tijdsduur	süre	tijdsduur	N;NOM;SG;3	N;MASC+FEM;SG
eğitim	training	eğitim	training	N;NOM;SG;3	N;MASC+FEM;SG
eğitim	opleiding	eğitim	opleiding	N;NOM;SG;3	N;MASC+FEM;SG
eğitim	opvoeding	eğitim	opvoeding	N;NOM;SG;3	N;MASC+FEM;SG
eğitim	onderwijs	eğitim	onderwijs	N;NOM;SG;3	N;NEUT;SG
eğitim	zelfstudie	eğitim	zelfstudie	N;NOM;SG;3	N;MASC+FEM;SG
eğitim	tutorial	eğitim	tutorial	N;NOM;SG;3	N;MASC+FEM;SG
eğitim	leerprogramma	eğitim	leerprogramma	N;NOM;SG;3	N;NEUT;SG
evi	evi	ev	evi	N;ACC;SG;3	N;MASC+FEM;SG
kullanılan	gebruikt	kullan	gebruiken	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
görev	duty	görev	duty	N;NOM;SG;3	N;MASC+FEM;SG
görev	plicht	görev	plicht	N;NOM;SG;3	N;MASC+FEM;SG
görev	taak	görev	taak	N;NOM;SG;3	N;MASC+FEM;SG
görev	opdracht	görev	opdracht	N;NOM;SG;3	N;MASC+FEM;SG
görev	missie	görev	missie	N;NOM;SG;3	N;MASC+FEM;SG
görev	mission	görev	mission	N;NOM;SG;3	N;MASC+FEM;SG
yine	alweer	yine	alweer	ADV	ADV
yine	opnieuw	yine	opnieuw	ADV	ADV
yine	nogmaals	yine	nogmaals	ADV	ADV
ekonomisi	economie	ekonomi	economie	N;NOM;SG;3	N;MASC+FEM;SG
telefon	telefoon	telefon	telefoon	N;NOM;SG;3	N;MASC+FEM;SG
telefon	telefoon	telefon	telefoon	N;NOM;SG;3	N;MASC+FEM;SG
yeniden	alweer	yeniden	alweer	ADV	ADV
yeniden	opnieuw	yeniden	opnieuw	ADV	ADV
yeniden	nogmaals	yeniden	nogmaals	ADV	ADV
savaş	battle	savaş	battle	N;NOM;SG;3	N;MASC+FEM;SG
savaş	slag	savaş	slag	N;NOM;SG;3	N;MASC+FEM;SG
savaş	strijd	savaş	strijd	N;NOM;SG;3	N;MASC+FEM;SG
savaş	gevecht	savaş	gevecht	N;NOM;SG;3	N;NEUT;SG
savaş	veldslag	savaş	veldslag	N;NOM;SG;3	N;MASC+FEM;SG
savaş	oorlog	savaş	oorlog	N;NOM;SG;3	N;MASC+FEM;SG
savaş	combat	savaş	combat	N;NOM;SG;3	N;MASC+FEM;SG
savaş	strijd	savaş	strijd	N;NOM;SG;3	N;MASC+FEM;SG
savaş	gevecht	savaş	gevecht	N;NOM;SG;3	N;NEUT;SG
rağmen	ondanks	rağmen	ondanks	ADP	ADP
kullanıcı	gebruiker	kullanıcı	gebruiker	N;NOM;SG;3	N;MASC+FEM;SG
birliği	union	birlik	union	N;NOM;SG;3	N;MASC+FEM;SG
birliği	vakbond	birlik	vakbond	N;NOM;SG;3	N;MASC+FEM;SG
birliği	unie	birlik	unie	N;NOM;SG;3	N;MASC+FEM;SG
kanalizasyon	riool	kanalizasyon	riool	N;NOM;SG;3	N;NEUT;SG
kanalizasyon	riool	kanalizasyon	riool	N;NOM;SG;3	N;NEUT;SG
kanalizasyon	afvalwater	kanalizasyon	afvalwater	N;NOM;SG;3	N;NEUT;SG
kanalizasyon	rioolwater	kanalizasyon	rioolwater	N;NOM;SG;3	N;NEUT;SG
kanalizasyon	riolering	kanalizasyon	riolering	N;NOM;SG;3	N;MASC+FEM;SG
kanalizasyon	riolering	kanalizasyon	riolering	N;NOM;SG;3	N;MASC+FEM;SG
maç	mac	maç	mac	N;NOM;SG;3	N;MASC+FEM;SG
maç	wedstrijd	maç	wedstrijd	N;NOM;SG;3	N;MASC+FEM;SG
maç	spel	maç	spel	N;NOM;SG;3	N;NEUT;SG
maç	spelletje	maç	spel	N;NOM;SG;3	N;NEUT;SG
maç	match	maç	match	N;NOM;SG;3	N;MASC+FEM;SG
sıra	rij	sıra	rij	N;NOM;SG;3	N;MASC+FEM;SG
sıra	row	sıra	row	N;NOM;SG;3	N;MASC+FEM;SG
teknik	technische	teknik	technisch	ADJ	ADJ
teknik	technisch	teknik	technisch	ADJ	ADJ
nüfusu	bevolking	nüfus	bevolking	N;ACC;SG;3	N;MASC+FEM;SG
nüfusu	populatie	nüfus	populatie	N;ACC;SG;3	N;MASC+FEM;SG
uygun	fit	uygun	fit	ADJ	ADJ
uygun	handig	uygun	handig	ADJ	ADJ
uygun	handige	uygun	handig	ADJ	ADJ
uygun	toepasselijk	uygun	toepasselijk	ADJ	ADJ
uygun	geschikt	uygun	geschikt	ADJ	ADJ
uygun	geschikt	uygun	geschikt	ADJ	ADJ
uygun	geschikte	uygun	geschikt	ADJ	ADJ
bütün	hele	bütün	heel	ADJ	ADJ
bütün	geheel	bütün	geheel	ADJ	ADJ
listesi	lijstje	liste	lijst	N;NOM;SG;3	N;NEUT;SG
listesi	lijst	liste	lijst	N;NOM;SG;3	N;MASC+FEM;SG
dört	vier	dört	vier	NUM	NUM
stadyumu	stadion	stadyum	stadion	N;NOM;SG;3	N;NEUT;SG
stadyumu	stadium	stadyum	stadium	N;NOM;SG;3	N;NEUT;SG
sonucu	gevolg	sonuç	gevolg	N;ACC;SG;3	N;NEUT;SG
sonucu	consequentie	sonuç	consequentie	N;ACC;SG;3	N;MASC+FEM;SG
bar	bar	bar	bar	N;NOM;SG;3	N;MASC+FEM;SG
bar	pub	bar	pub	N;NOM;SG;3	N;MASC+FEM;SG
bar	kroeg	bar	kroeg	N;NOM;SG;3	N;MASC+FEM;SG
onu	hem	o	hem	PRO;ACC;SG;3	PRO;ACC;3
onu	haar	o	haar	PRO;ACC;SG;3	PRO;ACC;3
verilen	gegeven	ver	geven	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
çünkü	want	çünkü	want	CONJ	CONJ
açık	duidelijk	açık	duidelijk	ADJ	ADJ
açık	helder	açık	helder	ADJ	ADJ
açık	open	açık	open	ADJ	ADJ
insan	persoon	insan	persoon	N;NOM;SG;3	N;MASC+FEM;SG
insan	man	insan	man	N;NOM;SG;3	N;MASC+FEM;SG
insan	mens	insan	mens	N;NOM;SG;3	N;MASC+FEM;SG
bilinen	gekend	bil	kennen	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
bilinen	gekende	bil	kenen	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
stadyum	stadion	stadyum	stadion	N;NOM;SG;3	N;NEUT;SG
stadyum	stadium	stadyum	stadium	N;NOM;SG;3	N;NEUT;SG
an	moment	an	moment	N;NOM;SG;3	N;NEUT;SG
an	ogenblik	an	ogenblik	N;NOM;SG;3	N;NEUT;SG
iş	job	iş	job	N;NOM;SG;3	N;MASC+FEM;SG
iş	baan	iş	baan	N;NOM;SG;3	N;MASC+FEM;SG
iş	werk	iş	werk	N;NOM;SG;3	N;NEUT;SG
iş	arbeid	iş	arbeid	N;NOM;SG;3	N;MASC+FEM;SG
iş	bedrijf	iş	bedrijf	N;NOM;SG;3	N;NEUT;SG
bölümü	afdeling	bölüm	afdeling	N;NOM;SG;3	N;MASC+FEM;SG
bölümü	sectie	bölüm	sectie	N;NOM;SG;3	N;MASC+FEM;SG
bölümü	departement	bölüm	departement	N;NOM;SG;3	N;NEUT;SG
bölümü	afdeling	bölüm	afdeling	N;NOM;SG;3	N;MASC+FEM;SG
bunu	dit	bu	dit	PRO;ACC;SG;3	PRO;3
bunu	deze	bu	deze	PRO;ACC;SG;3	PRO
bunu	dat	bu	dat	PRO;ACC;SG;3	PRO;3
güzel	mooi	güzel	mooi	ADJ	ADJ
güzel	prachtig	güzel	prachtig	ADJ	ADJ
güzel	mooie	güzel	mooi	ADJ	ADJ
güzel	lekker	güzel	lekker	ADJ	ADJ
güzel	goed	güzel	goed	ADJ	ADJ
güzel	mooi	güzel	mooi	ADJ	ADJ
güzel	lekker	güzel	lekker	ADJ	ADJ
güzel	fijn	güzel	fijn	ADJ	ADJ
güzel	leuk	güzel	leuk	ADJ	ADJ
güzel	mooi	güzel	mooi	ADJ	ADJ
güzel	heerlijk	güzel	heerlijk	ADJ	ADJ
çocuk	boy	çocuk	boy	N;NOM;SG;3	N;MASC+FEM;SG
çocuk	jongen	çocuk	jongen	N;NOM;SG;3	N;MASC+FEM;SG
çocuk	kind	çocuk	kind	N;NOM;SG;3	N;NEUT;SG
çocuk	jongen	çocuk	jongen	N;NOM;SG;3	N;MASC+FEM;SG
çocuk	kind	çocuk	kind	N;NOM;SG;3	N;NEUT;SG
çocuk	kindje	çocuk	kind	N;NOM;SG;3	N;NEUT;SG
sinema	filmpje	sine	filmp	N;NOM;SG;3	N;NEUT;SG
sinema	film	sine	film	N;NOM;SG;3	N;MASC+FEM;SG
sinema	bioscoop	sine	bioscoop	N;NOM;SG;3	N;MASC+FEM;SG
sinema	bioscoop	sine	bioscoop	N;NOM;SG;3	N;MASC+FEM;SG
sinema	cinema	sine	cinema	N;NOM;SG;3	N;MASC+FEM;SG
ay	maandje	ay	maand	N;NOM;SG;3	N;NEUT;SG
ay	maand	ay	maand	N;NOM;SG;3	N;MASC+FEM;SG
ay	maan	ay	maan	N;NOM;SG;3	N;MASC+FEM;SG
ay	moon	ay	moon	N;NOM;SG;3	N;MASC+FEM;SG
imparatorluğu	keizerrijk	imparatorluk	keizerrijk	N;NOM;SG;3	N;NEUT;SG
imparatorluğu	imperium	imparatorluk	imperium	N;NOM;SG;3	N;NEUT;SG
imparatorluğu	empire	imparatorluk	empire	N;NOM;SG;3	N;MASC+FEM;SG
internet	web	internet	webben	N;NOM;SG;3	N;NEUT;SG
internet	internet	internet	internet	N;NOM;SG;3	N;NEUT;SG
tiyatro	drama	tiyatro	drama	N;NOM;SG;3	N;NEUT;SG
tiyatro	bioscoop	tiyatro	bioscoop	N;NOM;SG;3	N;MASC+FEM;SG
tiyatro	theater	tiyatro	theater	N;NOM;SG;3	N;NEUT;SG
tiyatro	theater	tiyatro	theater	N;NOM;SG;3	N;NEUT;SG
bey	bey	bey	bey	N;NOM;SG;3	N;MASC+FEM;SG
kazandı	gewonnen	kazan	winnen	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
kazandı	won	kazan	winnen	V;PFV;IND;SG;3;POS;PST	V;SG;PST;FIN
karar	uitspraak	karar	uitspraak	N;NOM;SG;3	N;MASC+FEM;SG
karar	oordeel	karar	oordeel	N;NOM;SG;3	N;NEUT;SG
karar	vonnis	karar	vonnis	N;NOM;SG;3	N;NEUT;SG
karar	besluit	karar	besluit	N;NOM;SG;3	N;NEUT;SG
karar	beslissing	karar	beslissing	N;NOM;SG;3	N;MASC+FEM;SG
tarih	datum	tarih	datum	N;NOM;SG;3	N;MASC+FEM;SG
tarih	geschiedenis	tarih	geschiedenis	N;NOM;SG;3	N;MASC+FEM;SG
temel	fundamentele	temel	fundamenteel	ADJ	ADJ
temel	basic	temel	basic	ADJ	ADJ
ünlü	beroemde	ünlü	beroemd	ADJ	ADJ
ünlü	beroemd	ünlü	beroemd	ADJ	ADJ
kalan	overgebleven	kal	overblijven	V;PFV;IND;POS;PRS;V.PTCP	V;V.PTCP
kalan	resterend	kal	resteren	V;PFV;IND;POS;PRS;V.PTCP	V;V.PTCP
kalan	resterende	kal	resteren	V;PFV;IND;POS;PRS;V.PTCP	V;V.PTCP
bile	zelfs	bile	zelfs	ADV	ADV
sosyal	sociale	sosyal	sociaal	ADJ	ADJ
sosyal	sociaal	sosyal	sociaal	ADJ	ADJ
geldi	gearriveerd	gel	arriveren	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
geldi	aangekomen	gel	aankomen	V;PFV;IND;SG;3;POS;PST	V;V.PTCP
oy	stemming	oy	stemming	N;NOM;SG;3	N;MASC+FEM;SG
oy	stem	oy	stem	N;NOM;SG;3	N;MASC+FEM;SG
oy	stemming	oy	stemming	N;NOM;SG;3	N;MASC+FEM;SG
geniş	wijd	geniş	wijden	ADJ	ADJ
geniş	breed	geniş	breed	ADJ	ADJ
geniş	breed	geniş	breed	ADJ	ADJ
geniş	brede	geniş	breed	ADJ	ADJ
geniş	groot	geniş	groot	ADJ	ADJ
geniş	grote	geniş	groot	ADJ	ADJ
geniş	ruim	geniş	ruim	ADJ	ADJ
geniş	ruime	geniş	ruim	ADJ	ADJ
ev	home	ev	home	N;NOM;SG;3	N;MASC+FEM;SG
ev	huis	ev	huis	N;NOM;SG;3	N;NEUT;SG
ev	startpagina	ev	startpagina	N;NOM;SG;3	N;MASC+FEM;SG
ev	huis	ev	huis	N;NOM;SG;3	N;NEUT;SG
hareket	motion	hareket	motion	N;NOM;SG;3	N;MASC+FEM;SG
hareket	beweging	hareket	beweging	N;NOM;SG;3	N;MASC+FEM;SG
hareket	motie	hareket	motie	N;NOM;SG;3	N;MASC+FEM;SG
hareket	verplaatsing	hareket	verplaatsing	N;NOM;SG;3	N;MASC+FEM;SG
hareket	beweging	hareket	beweging	N;NOM;SG;3	N;MASC+FEM;SG
bölgesi	regio	bölge	regio	N;NOM;SG;3	N;MASC+FEM;SG
bölgesi	grondgebied	bölge	grondgebied	N;NOM;SG;3	N;NEUT;SG
bölgesi	territorium	bölge	territorium	N;NOM;SG;3	N;NEUT;SG
sahibi	eigenaar	sahip	eigenaar	N;NOM;SG;3	N;MASC+FEM;SG
sahibi	baasje	sahip	baas	N;NOM;SG;3	N;NEUT;SG
bilim	wetenschap	bilim	wetenschap	N;NOM;SG;3	N;MASC+FEM;SG
üreten	produceren	üreten	produceren	V;PFV;IND;POS;PRS;V.PTCP;CAUS	V;NFIN
üreten	produceert	üreten	produceren	V;PFV;IND;POS;PRS;V.PTCP;CAUS	V;SG;PRS;FIN
sistemi	systeem	sistem	systeem	N;ACC;SG;3	N;NEUT;SG
sistemi	stelsel	sistem	stelsel	N;ACC;SG;3	N;NEUT;SG
verdi	gaf	ver	geven	V;PFV;IND;SG;3;POS;PST	V;SG;PST;FIN
yaşayan	levende	yaşa	leven	V;PFV;IND;POS;PRS;V.PTCP	V;V.PTCP
hiç	nooit	hiç	nooit	ADV	ADV
hiç	ooit	hiç	ooit	ADV	ADV
ifade	express	ifade	express	N;NOM;SG;3	N;MASC+FEM;SG
ifade	depositie	ifade	depositie	N;NOM;SG;3	N;MASC+FEM;SG
ifade	getuigenverklaring	ifade	getuigenverklaring	N;NOM;SG;3	N;MASC+FEM;SG
ifade	getuigenis	ifade	getuigenis	N;NOM;SG;3	N;NEUT;SG
ifade	afzetting	ifade	afzetting	N;NOM;SG;3	N;MASC+FEM;SG
ifade	statement	ifade	statement	N;NOM;SG;3	N;NEUT;SG
ifade	verklaring	ifade	verklaring	N;NOM;SG;3	N;MASC+FEM;SG
ifade	getuigenis	ifade	getuigenis	N;NOM;SG;3	N;NEUT;SG
ifade	uitdrukking	ifade	uitdrukking	N;NOM;SG;3	N;MASC+FEM;SG
ifade	expressie	ifade	expressie	N;NOM;SG;3	N;MASC+FEM;SG
şey	ding	şey	ding	N;NOM;SG;3	N;NEUT;SG
rapor	verslag	rapor	verslag	N;NOM;SG;3	N;NEUT;SG
rapor	rapport	rapor	rapport	N;NOM;SG;3	N;NEUT;SG
kullanılır	gebruikt	kullan	gebruiken	V;IPFV;IND;SG;3;POS;PASS	V;V.PTCP
kurulan	opgericht	kur	oprichten	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
kurulan	gevestigde	kur	vestigen	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
kurulan	gevestigd	kur	vestigen	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
kurulan	gegrond	kur	gronden	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
kurulan	opgericht	kur	oprichten	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
kurulan	gesticht	kur	stichten	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;V.PTCP
altı	zes	altı	zes	NUM	NUM
dizi	serie	dizi	serie	N;NOM;SG;3	N;MASC+FEM;SG
dizi	reeks	dizi	reeks	N;NOM;SG;3	N;MASC+FEM;SG
dizi	array	dizi	array	N;NOM;SG;3	N;MASC+FEM;SG
dizi	sequentie	dizi	sequentie	N;NOM;SG;3	N;MASC+FEM;SG
dizi	volgorde	dizi	volgorde	N;NOM;SG;3	N;MASC+FEM;SG
dizi	opeenvolging	dizi	opeenvolging	N;NOM;SG;3	N;MASC+FEM;SG
ayrı	aparte	ayrı	apart	ADJ	ADJ
ayrı	apart	ayrı	apart	ADJ	ADJ
şampiyonası	kampioenschap	şampiyon	kampioenschap	N;NOM;SG;3	N;NEUT;SG
kuvvetleri	krachten	kuvvet	kracht	N;ACC;PL;3	N;PL
göz	oog	göz	oog	N;NOM;SG;3	N;NEUT;SG
televizyon	televisie	televizyon	televisie	N;NOM;SG;3	N;MASC+FEM;SG
galatasaray	galatasaray	galatasarayay	galatasaray	N;NOM;SG;3	N;MASC+FEM;SG
galatasaray	liverpool	galatasarayay	liverpool	N;NOM;SG;3	N;NEUT;SG
sezonu	seizoen	sezon	seizoen	N;ACC;SG;3	N;NEUT;SG
fenerbahçe	fenerbahce	fenerbahç	fenerbahce	N;NOM;SG;3	N;MASC+FEM;SG
fenerbahçe	fenerbahçe	fenerbahç	fenerbahçe	N;NOM;SG;3	N;MASC+FEM;SG
karasal	terrestrische	karasal	terrestrisch	ADJ	ADJ
durum	status	durum	status	N;NOM;SG;3	N;MASC+FEM;SG
durum	situatie	durum	situatie	N;NOM;SG;3	N;MASC+FEM;SG
durum	toestand	durum	toestand	N;NOM;SG;3	N;MASC+FEM;SG
durum	conditie	durum	conditie	N;NOM;SG;3	N;MASC+FEM;SG
durum	aandoening	durum	aandoening	N;NOM;SG;3	N;MASC+FEM;SG
durum	voorwaarde	durum	voorwaard	N;NOM;SG;3	N;MASC+FEM;SG
durum	toestand	durum	toestand	N;NOM;SG;3	N;MASC+FEM;SG
gelenek	traditie	gelenek	traditie	N;NOM;SG;3	N;MASC+FEM;SG
yeri	lokatie	yer	lokatie	N;ACC;SG;3	N;MASC+FEM;SG
yeri	locatie	yer	locatie	N;ACC;SG;3	N;MASC+FEM;SG
yeri	ligging	yer	ligging	N;ACC;SG;3	N;MASC+FEM;SG
bunlar	deze	bu	deze	PRO;NOM;PL;3	PRO
yanlış	incorrect	yanlış	incorrect	ADJ	ADJ
yanlış	foutief	yanlış	foutief	ADJ	ADJ
yanlış	onjuiste	yanlış	onjuist	ADJ	ADJ
yanlış	onjuist	yanlış	onjuist	ADJ	ADJ
yanlış	verkeerd	yanlış	verkeerd	ADJ	ADJ
yanlış	verkeerde	yanlış	verkeerd	ADJ	ADJ
yanlış	vals	yanlış	vals	ADJ	ADJ
yanlış	onwaar	yanlış	onwaar	ADJ	ADJ
yanlış	valse	yanlış	vals	ADJ	ADJ
al	neem	al	nemen	V;PFV;IMP;SG;2;POS;PRS	V;SG;PRS;FIN
