befintliga	existentes	befintlig	existente	ADJ;NOM;PL	ADJ;PL
ägaren	dueña	ägare	dueña	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
myndighet	autoridad	myndighet	autoridad	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
mta	mta	mta	mta	N;NOM;INDF;NEUT;SG	N;MASC;SG
asiatiska	asiáticas	asiatisk	asiático	ADJ;NOM;PL	ADJ;FEM;PL
asiatiska	asiáticos	asiatisk	asiático	ADJ;NOM;PL	ADJ;MASC;PL
haven	océanos	hav	océano	N;NOM;DEF;NEUT;PL	N;MASC;PL
haven	haven	hav	haver	N;NOM;DEF;NEUT;PL	N;MASC
frukter	frutos	frukt	fruto	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
frukter	frutas	frukt	fruta	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
frukter	frutas	frukt	fruta	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
frukter	frutos	frukt	fruto	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
mexikanska	mexicanas	mexikansk	mexicano	ADJ;NOM;PL	ADJ;FEM;PL
tryckt	prensado	trycka	prensado	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
tryckt	presionado	trycka	presionado	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
dubrovnik	dubrovnik	dubrovnik	dubrovnik	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
likaså	igualmente	likaså	igualmente	ADV	ADV
likaså	igualmente	likaså	igualmente	ADV	ADV
likaså	análogamente	likaså	análogamente	ADV	ADV
traditioner	tradiciones	tradition	tradición	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
traditioner	tradiciones	tradition	tradición	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
registrerade	registrados	registrera	registrado	ADJ;NOM;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
registrerade	registradas	registrera	registrado	ADJ;NOM;PL;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
influenser	influencias	influens	influencia	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
ekonomin	economia	ekonomi	economia	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
ekonomin	economía	ekonomi	economía	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
viridis	viridis	viridis	viridis	N;NOM;INDF;MASC+FEM;SG	N
madeleine	madeleine	madeleine	madeleine	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
madeleine	magdalena	madeleine	magdaleno	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
utredning	investigación	utredning	investigación	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
utredning	investigacion	utredning	investigacion	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
utredning	investigación	utredning	investigación	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
nations	nación	nation	nación	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
nations	nacion	nation	nacion	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
nations	nation	nation	nation	N;NOM;INDF;MASC+FEM;SG	N
nations	nations	nation	nations	N;NOM;INDF;MASC+FEM;SG	N
india	india	india	india	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
gers	gers	ge	gers	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
officerare	agentes	officerare	agente	N;NOM;INDF;MASC+FEM;PL	N;PL
slam	fango	slam	fango	N;NOM;INDF;NEUT;SG	N;MASC;SG
slam	lodo	slam	lodo	N;NOM;INDF;NEUT;SG	N;MASC;SG
slam	slam	slam	slam	N;NOM;INDF;NEUT;SG	N;MASC;SG
anhalt	anhalt	anhalt	anhalt	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
minnen	recuerdos	min	recuerdo	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
minnen	memorias	min	memoria	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
minnen	recuerdos	min	recuerdo	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
ära	honor	ära	honor	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
ära	honra	ära	honra	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
ära	honor	ära	honor	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
ära	honra	ära	honra	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
ära	glory	ära	glory	N;NOM;INDF;MASC+FEM;SG	N;SG
ära	gloria	ära	gloria	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
grenen	ramal	gren	ramal	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
grenen	rama	gren	rama	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
grenen	sucursal	gren	sucursal	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
förtroende	confianza	förtroende	confianza	N;NOM;INDF;NEUT;SG	N;FEM;SG
förtroende	trust	förtroende	trust	N;NOM;INDF;NEUT;SG	N
förtroende	confianza	förtroende	confianza	N;NOM;INDF;NEUT;SG	N;FEM;SG
förtroende	fideicomiso	förtroende	fideicomiso	N;NOM;INDF;NEUT;SG	N;MASC;SG
château	château	château	château	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
tekniskt	técnicamente	teknisk	técnicamente	ADV	ADV
taraxacum	taraxacum	taraxacum	taraxacum	N;NOM;INDF;NEUT;SG	N;FEM;SG
snake	culebra	snake	culebra	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
snake	víbora	snake	víbora	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
snake	snake	snake	snake	N;NOM;INDF;MASC+FEM;SG	N
snake	serpiente	snake	serpiente	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
däggdjur	mamíferos	däggdjur	mamífero	N;NOM;INDF;NEUT;PL	N;MASC;PL
däggdjur	mamíferos	däggdjur	mamífero	N;NOM;INDF;NEUT;PL	N;MASC;PL
däggdjur	mamíferos	däggdjur	mamífero	N;NOM;INDF;NEUT;PL	N;MASC;PL
alchemilla	alchemilla	alchemill	alchemilla	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
vänstra	izquierdo	vänster	izquierdo	ADJ;NOM;DEF;SG	ADJ;MASC;SG
titta	mirar	titta	mirar	V;IMP;FIN;ACT	V;NFIN
titta	mira	titta	mirar	V;IMP;FIN;ACT	V;IMP;SG;2;FIN
titta	mire	titta	mirar	V;IMP;FIN;ACT	V;IMP;SG;3;FIN
titta	miren	titta	mirar	V;IMP;FIN;ACT	V;IMP;PL;3;FIN
titta	mira	titta	mirar	V;IMP;FIN;ACT	V;IMP;SG;2;FIN
moluckerna	molucas	moluck	moluca	N;NOM;DEF;MASC+FEM;PL	N;FEM;PL
xbox	xbox	xbox	xbox	N;NOM;INDF;NEUT;SG	N
aktuell	actual	aktuell	actual	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;SG
skjuta	disparar	skjuta	disparar	V;IMP;FIN;ACT	V;NFIN
skjuta	disparen	skjuta	disparar	V;IMP;FIN;ACT	V;IMP;PL;3;FIN
medlemskap	membresía	medlemskap	membresía	N;NOM;INDF;NEUT;SG	N;FEM;SG
medlemskap	pertenencia	medlemskap	pertenencia	N;NOM;INDF;NEUT;SG	N;FEM;SG
medlemskap	afiliación	medlemskap	afiliación	N;NOM;INDF;NEUT;SG	N;FEM;SG
alexandra	alexandra	alexandra	alexandra	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
alexandra	alejandra	alexandra	alejandra	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
konstnärliga	artísticas	konstnrlig	artístico	ADJ;NOM;PL	ADJ;FEM;PL
konstnärliga	artísticos	konstnrlig	artístico	ADJ;NOM;PL	ADJ;MASC;PL
alternativa	alternativos	alternativ	alternativo	ADJ;NOM;PL	ADJ;MASC;PL
inspelningar	grabaciones	inspelning	grabación	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
praktisk	práctico	praktisk	práctico	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG
praktisk	practico	praktisk	practico	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG
begränsade	restringidos	begränsad	restringido	ADJ;NOM;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
begränsade	limitados	begränsad	limitado	ADJ;NOM;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
begränsade	limitadas	begränsad	limitado	ADJ;NOM;PL;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
motorvägen	autopista	motorväg	autopista	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
uppfyller	cumpliendo	uppfylla	cumplir	V;IND;PRS;FIN;ACT	V;V.MSDR
staterna	estados	stat	estado	N;NOM;DEF;MASC+FEM;PL	N;MASC;PL
styrkorna	fortalezas	styrka	fortaleza	N;NOM;DEF;MASC+FEM;PL	N;FEM;PL
möten	reuniones	möt	reunión	N;NOM;INDF;NEUT;PL	N;FEM;PL
möten	encuentros	möt	encuentro	N;NOM;INDF;NEUT;PL	N;MASC;PL
möten	citas	möt	cita	N;NOM;INDF;NEUT;PL	N;FEM;PL
möten	designaciones	möt	designación	N;NOM;INDF;NEUT;PL	N;FEM;PL
möten	nombramientos	möt	nombramiento	N;NOM;INDF;NEUT;PL	N;MASC;PL
rymden	space	rymd	spacer	N;NOM;DEF;MASC+FEM;SG	N
rymden	espacio	rymd	espacio	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
fånga	atrapar	fånga	atrapar	V;IMP;FIN;ACT	V;NFIN
fånga	capturar	fånga	capturar	V;IMP;FIN;ACT	V;NFIN
fånga	capturando	fånga	capturar	V;IMP;FIN;ACT	V;V.MSDR
fånga	capturar	fånga	capturar	V;IMP;FIN;ACT	V;NFIN
normala	normales	normal	normal	ADJ;NOM;PL	ADJ;PL
zacatecas	zacatecas	zacateca	zacateca	N;NOM;INDF;MASC+FEM	N;FEM;PL
samlas	reuniendo	samla	reunir	V;IND;NFIN;PASS	V;V.MSDR
samlas	reunir	samla	reunir	V;IND;NFIN;PASS	V;NFIN
samlas	reunir	samla	reunir	V;IND;NFIN;PASS	V;NFIN
samlas	ensamblar	samla	ensamblar	V;IND;NFIN;PASS	V;NFIN
her	her	her	her	N;NOM;INDF;MASC+FEM;SG	N
medaljen	medalla	medalj	medalla	N;NOM;DEF;MASC+FEM;SG	N;FEM;SG
etniska	étnicos	etnisk	étnico	ADJ;NOM;PL	ADJ;MASC;PL
etniska	étnicas	etnisk	étnico	ADJ;NOM;PL	ADJ;FEM;PL
assistent	asistente	assistent	asistente	N;NOM;INDF;MASC+FEM;SG	N;SG
assistent	ayudante	assistent	ayudante	N;NOM;INDF;MASC+FEM;SG	N;SG
framställning	peticion	framställning	peticion	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
framställning	petición	framställning	petición	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
ambassad	embajada	ambassad	embajada	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
byter	cambiando	byta	cambiar	V;IND;PRS;FIN;ACT	V;V.MSDR
stånd	erección	stånd	erección	N;NOM;INDF;NEUT;SG	N;FEM;SG
stånd	erección	stånd	erección	N;NOM;INDF;NEUT;SG	N;FEM;SG
möjlig	posible	möjlig	posible	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;SG
bokstäver	cartas	bokstov	carta	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
bokstäver	letras	bokstov	letra	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
council	concilio	council	concilio	N	N;MASC;SG
council	consejo	council	consejo	N	N;MASC;SG
council	concejo	council	concejo	N	N;MASC;SG
etta	etta	etta	ettar	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
shakespeare	shakespeare	shakespeare	shakespeare	N;NOM;INDF;MASC+FEM;SG	N
sonson	nieto	sonson	nieto	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
effekten	efecto	effekt	efecto	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
representera	representar	representera	representar	V;IMP;FIN;ACT	V;NFIN
representera	representar	representera	representar	V;IMP;FIN;ACT	V;NFIN
representera	representando	representera	representar	V;IMP;FIN;ACT	V;V.MSDR
röstade	votó	rösta	votar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
existerande	existente	existerande	existente	ADJ;NOM;PRS;V.PTCP	ADJ;SG
existerande	existentes	existerande	existente	ADJ;NOM;PRS;V.PTCP	ADJ;PL
jennifer	jennifer	jennif	jennifer	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
skär	cortar	skära	cortar	V;IMP;FIN;ACT	V;NFIN
skär	cortar	skära	cortar	V;IMP;FIN;ACT	V;NFIN
skär	corten	skära	corten	V;IMP;FIN;ACT	V;IMP;PL;3;FIN
brasiliansk	brasilero	brasiliansk	brasilero	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG
brasiliansk	brasileña	brasiliansk	brasileño	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;FEM;SG
tvingade	forzar	tvinga	forzar	V;IND;PST;FIN;ACT	V;NFIN
återvänder	regresa	återvänd	regresar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
återvänder	devuelve	återvänd	devolver	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
återvänder	regresando	återvänd	regresar	V;IND;PRS;FIN;ACT	V;V.MSDR
återvänder	regresar	återvänd	regresar	V;IND;PRS;FIN;ACT	V;NFIN
tigre	tigre	tig	tigre	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
lin	lino	lin	lino	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
pizzo	pizzo	pizzo	pizzo	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
rösträtt	sufragio	rösträtt	sufragio	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
ten	rte	ten	rte	N;NOM;INDF;NEUT;SG	N;MASC;SG
ten	rte	ten	rte	N;NOM;INDF;NEUT;SG	N;MASC;SG
parlament	parlamento	parlament	parlamento	N;NOM;INDF;NEUT;SG	N;MASC;SG
staty	escultura	staty	escultura	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
staty	estatua	staty	estatua	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
videon	vídeo	vid	vídeo	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
videon	video	vid	video	N;NOM;DEF;MASC+FEM;SG	N;MASC;SG
unika	únicos	unik	único	ADJ;NOM;PL	ADJ;MASC;PL
unika	únicas	unik	único	ADJ;NOM;PL	ADJ;FEM;PL
pjäser	obras	pjäsa	obra	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
fästning	fortaleza	fästning	fortaleza	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
cayenne	cayena	cayenne	cayena	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
erbjöd	ofrecí	erbjuda	ofrecer	V;IND;PST;FIN;ACT	V;IND;SG;1;PST;FIN
erbjöd	ofreció	erbjuda	ofrecer	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
petite	petite	petite	petite	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
reformer	reformas	reform	reforma	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
reformer	reformas	reform	reforma	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
engagerade	comprometidos	engagera	comprometido	ADJ;NOM;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
engagerade	comprometidos	engagera	comprometido	ADJ;NOM;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
battle	batalla	battle	batalla	N;NOM;INDF;NEUT;SG	N;FEM;SG
battle	combate	battle	combate	N;NOM;INDF;NEUT;SG	N;MASC;SG
fängelset	cárcel	fängelse	cárcel	N;NOM;DEF;NEUT;SG	N;FEM;SG
fängelset	carcel	fängelse	carcel	N;NOM;DEF;NEUT;SG	N;FEM;SG
fängelset	prisión	fängelse	prisión	N;NOM;DEF;NEUT;SG	N;FEM;SG
långsamt	lentamente	långsam	lentamente	ADV	ADV
beta	beta	beta	beta	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
inspirerade	inspirados	inspirera	inspirado	ADJ;NOM;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
gillar	gustar	gilla	gustar	V;IND;PRS;FIN;ACT	V;NFIN
gillar	gusta	gilla	gustar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
christensen	christensen	christens	christensen	N;NOM;DEF;MASC+FEM;SG	N;SG
pojke	muchacho	pojke	muchacho	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
pojke	boy	pojke	boy	N;NOM;INDF;MASC+FEM;SG	N
pojke	niño	pojke	niño	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
pojke	chico	pojke	chico	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
bestå	consistir	bestå	consistir	V;IMP;FIN;ACT	V;NFIN
kväll	noche	kväll	noche	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
kväll	velada	kväll	velado	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
kväll	noche	kväll	noche	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
kväll	night	kväll	night	N;NOM;INDF;MASC+FEM;SG	N
karaktärer	caracteres	karaktär	carácter	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
karaktärer	personajes	karaktär	personaje	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
liter	litro	liter	litro	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
liter	litro	liter	litro	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
värdefulla	valiosas	värdefull	valioso	ADJ;NOM;PL	ADJ;FEM;PL
värdefulla	valiosos	värdefull	valioso	ADJ;NOM;PL	ADJ;MASC;PL
antyder	sugerir	antyda	sugerir	V;IND;PRS;FIN;ACT	V;NFIN
antyder	sugiriendo	antyda	sugerir	V;IND;PRS;FIN;ACT	V;V.MSDR
antyder	sugiere	antyda	sugerir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
antyder	implica	antyda	implicar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
antyder	insinúa	antyda	insinuo	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
antyder	insinuando	antyda	insinuar	V;IND;PRS;FIN;ACT	V;V.MSDR
antyder	implicando	antyda	implicar	V;IND;PRS;FIN;ACT	V;V.MSDR
kött	carne	kött	carne	N;NOM;INDF;NEUT;SG	N;FEM;SG
magister	magister	magist	magister	N;NOM;INDF;MASC+FEM;SG	N;SG
fullständig	lleno	fullständig	lleno	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG
fullständig	llena	fullständig	lleno	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;FEM;SG
fullständig	plena	fullständig	pleno	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;FEM;SG
fullständig	completo	fullständig	completo	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG
fullständig	completado	fullständig	completado	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
fullständig	completa	fullständig	completo	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;FEM;SG
fullständig	completo	fullständig	completo	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;MASC;SG
värme	heat	värme	heat	N;NOM;INDF;MASC+FEM;SG	N;MASC
värme	calor	värme	calor	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
värme	calefacción	värme	calefacción	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
värme	calentamiento	värme	calentamiento	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
värme	calidez	värme	calidez	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
värme	calor	värme	calor	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
kontraktet	contrato	kontrakt	contrato	N;NOM;DEF;NEUT;SG	N;MASC;SG
miljöer	entornos	miljö	entorno	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
miljöer	ambientes	miljö	ambiente	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
personligt	personal	personlig	personal	ADJ;NOM;INDF;NEUT;SG	ADJ;SG
mcdonald	mcdonald	mcdonald	mcdonald	N;NOM;INDF;MASC+FEM;SG	N;SG
caribou	caribú	caribou	caribú	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
befolkade	pobladas	befolka	poblado	ADJ;NOM;PL;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
snäckor	conchas	snäcka	concha	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
snäckor	caracoles	snäcka	caracol	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
snäckor	gasterópodos	snäcka	gasterópodo	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
snäckor	obuses	snäcka	obúse	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
snäckor	proyectiles	snäcka	proyectil	N;NOM;INDF;MASC+FEM;PL	N;MASC;PL
snäckor	conchas	snäcka	concha	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
snäckor	cáscaras	snäcka	cáscara	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
walk	paseo	walk	paseo	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
inledande	introductoria	inledande	introductoria	ADJ;NOM;PRS;V.PTCP	ADJ;FEM;SG
inledande	iniciales	inledande	inicial	ADJ;NOM;PRS;V.PTCP	ADJ;PL
inledande	inicial	inledande	inicial	ADJ;NOM;PRS;V.PTCP	ADJ;SG
fusca	fusca	fusca	fusca	N;NOM;INDF;MASC+FEM;SG	N;FEM;SG
svarar	respondiendo	svara	responder	V;IND;PRS;FIN;ACT	V;V.MSDR
svarar	responder	svara	responder	V;IND;PRS;FIN;ACT	V;NFIN
svarar	contestar	svara	contestar	V;IND;PRS;FIN;ACT	V;NFIN
svarar	respondiendo	svara	responder	V;IND;PRS;FIN;ACT	V;V.MSDR
svarar	responder	svara	responder	V;IND;PRS;FIN;ACT	V;NFIN
förkortat	acortado	förkorta	acortar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
förkortat	abreviada	förkorta	abreviado	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
förkortat	abreviado	förkorta	abreviado	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
secret	secret	sec	secret	N;NOM;INDF;MASC+FEM;SG	N
secret	secreto	sec	secreto	N;NOM;INDF;MASC+FEM;SG	N;MASC;SG
svårigheter	dificultades	svårighet	dificultad	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
svårigheter	dificultades	svårighet	dificultad	N;NOM;INDF;MASC+FEM;PL	N;FEM;PL
mirabilis	mirabilis	mirabilis	mirabilis	N;NOM;INDF;MASC+FEM;SG	N;SG
borealis	borealis	borealis	borealis	N;NOM;INDF;MASC+FEM;SG	N;SG
ledaren	dirigente	ledare	dirigente	N;NOM;DEF;MASC+FEM;SG	N;SG
ledaren	lider	ledare	lider	N;NOM;DEF;MASC+FEM;SG	N;SG
ledaren	leader	ledare	leader	N;NOM;DEF;MASC+FEM;SG	N;SG
ledaren	líder	ledare	líder	N;NOM;DEF;MASC+FEM;SG	N;SG
bakre	trasera	bakre	trasero	ADJ;NOM;CMPR	ADJ;FEM;SG
