この	इस	この	यह	DET	DET;ACC;SG;3
結果	परिणामों	結果	परिणाम	N	N;ACC;MASC;PL;3
結果	रिजल्ट	結果	रिजल्ट	N	N;NOM;MASC;SG;3
結果	परिणाम	結果	परिणाम	N	N;NOM;MASC;PL;3
アルバム	एलबम	アルバム	एलबम	N	N;NOM;MASC;SG;3
アルバム	एल्बम	アルバム	एल्बम	N	N;NOM;MASC;SG;3
アルバム	एलबम	アルバム	एलबम	N	N;NOM;MASC;SG;3
アルバム	एल्बम	アルバム	एल्बम	N	N;NOM;MASC;SG;3
ゲーム	गेम	ゲーム	गेम	N	N;NOM;MASC;SG;3
ゲーム	गेमिंग	ゲーム	गेमिंग	N	N;NOM;FEM;SG;3
ゲーム	गेम	ゲーム	गेम	N	N;NOM;MASC;SG;3
ゲーム	खेल	ゲーム	खेल	N	N;NOM;MASC;SG;3
ゲーム	गेम्स	ゲーム	गेम्स	N	N;NOM;MASC;SG;3
ゲーム	गेम	ゲーム	गेम	N	N;NOM;MASC;SG;3
ゲーム	खेल	ゲーム	खेल	N	N;NOM;MASC;SG;3
問題	मुद्दा	問題	मुद्दा	N	N;NOM;MASC;SG;3
問題	समस्या	問題	समस्या	N	N;NOM;FEM;SG;3
問題	समस्या	問題	समस्या	N	N;NOM;FEM;SG;3
問題	समस्याएँ	問題	समस्या	N	N;NOM;FEM;PL;3
問題	समस्याएं	問題	समस्या	N	N;NOM;FEM;PL;3
問題	समस्याएँ	問題	समस्या	N	N;NOM;FEM;PL;3
問題	मुद्दे	問題	मुद्दा	N	N;NOM;MASC;PL;3
リーグ	लीग	リーグ	लीग	N	N;NOM;FEM;SG;3
リーグ	लीग	リーグ	लीग	N	N;NOM;FEM;SG;3
事業	व्यवसाय	事業	व्यवसाय	N	N;NOM;MASC;SG;3
事業	बिज़नेस	事業	बिज़नेस	N	N;NOM;MASC;SG;3
事業	दुकानदारी	事業	दुकानदारी	N	N;NOM;FEM;SG;3
事業	व्यापार	事業	व्यापार	N	N;NOM;MASC;SG;3
事業	कारोबार	事業	कारोबार	N	N;NOM;MASC;SG;3
音楽	संगीत	音楽	संगीत	N	N;NOM;MASC;SG;3
音楽	म्यूज़िक	音楽	म्यूज़िक	N	N;NOM;MASC;SG;3
情報	जानकारी	情報	जानकारी	N	N;NOM;FEM;SG;3
情報	सूचना	情報	सूचना	N	N;NOM;FEM;SG;3
情報	सुचना	情報	सुचना	N	N;NOM;FEM;SG;3
情報	एनोटेशन	情報	एनोटेशन	N	N;NOM;MASC;SG;3
情報	जानकारी	情報	जानकारी	N	N;NOM;FEM;SG;3
情報	सूचना	情報	सूचना	N	N;NOM;FEM;SG;3
公式	सरकारी	公式	सरकारी	ADJ	ADJ;NOM
公式	आधिकारिक	公式	आधिकारिक	ADJ	ADJ
参加	जुड़ें	参加	जुड़	V	V;SBJV;PL;FIN;ACT
地域	क्षेत्र	地域	क्षेत्र	N	N;NOM;MASC;SG;3
地域	प्रदेश	地域	प्रदेश	N	N;NOM;MASC;SG;3
変更	सुधारें	変更	सुधार	V	V;SBJV;PL;FIN;ACT
変更	बदलें	変更	बदल	V	V;SBJV;SG;FIN;ACT
編曲	व्यवस्था	編曲	व्यवस्था	N	N;NOM;FEM;SG;3
サイト	साइटें	サイト	साइट	N	N;NOM;FEM;PL;3
サイト	साइट	サイト	साइट	N	N;NOM;FEM;SG;3
サイト	साईट	サイト	साईट	N	N;NOM;FEM;SG;3
サイト	साइटें	サイト	साइट	N	N;NOM;FEM;PL;3
サイト	साइट्स	サイト	साइट	N	N;NOM;MASC;PL;3
サイト	साइट	サイト	साइट	N	N;NOM;FEM;SG;3
関係	रिश्ता	関係	रिश्ता	N	N;NOM;MASC;SG;3
関係	सम्बन्ध	関係	संबन्ध	N	N;NOM;MASC;SG;3
関係	संबंध	関係	संबंध	N	N;NOM;MASC;SG;3
関係	सम्बन्ध	関係	संबन्ध	N	N;NOM;MASC;SG;3
関係	संबंध	関係	संबंध	N	N;NOM;MASC;SG;3
クラブ	क्लब	クラブ	क्लब	N	N;NOM;MASC;SG;3
クラブ	क्लबों	クラブ	क्लब	N	N;ACC;MASC;PL;3
クラブ	क्लब	クラブ	क्लब	N	N;NOM;MASC;SG;3
考え	सोच	考える	सोच	V	V;SG;FIN;ACT
教育	शिक्षा	教育	शिक्षा	N	N;NOM;FEM;SG;3
編集	सुधारें	編集	सुधार	V	V;SBJV;PL;FIN;ACT
シーズン	मौसम	シーズン	मौसम	N	N;NOM;MASC;SG;3
シーズン	ऋतु	シーズン	ऋतु	N	N;NOM;FEM;SG;3
シーズン	मौसम	シーズン	मौसम	N	N;NOM;MASC;SG;3
シーズン	सीज़न	シーズン	सीज़न	N	N;NOM;MASC;SG;3
ファイル	फ़ाइलें	ファイル	फााइल	N	N;NOM;FEM;PL;3
ファイル	फ़ाइल	ファイル	फााइल	N	N;NOM;MASC;SG;3
ファイル	संचिका	ファイル	संचिका	N	N;NOM;FEM;SG;3
ファイル	फाइलें	ファイル	फाइल	N	N;NOM;FEM;PL;3
ファイル	फाइल	ファイル	फाइल	N	N;NOM;FEM;SG;3
ファイル	फ़ाइल	ファイル	फााइल	N	N;NOM;MASC;SG;3
ファイル	संचिका	ファイル	संचिका	N	N;NOM;FEM;SG;3
都市	शहर	都市	शहर	N	N;NOM;MASC;SG;3
都市	सिटी	都市	सिटी	N	N;NOM;FEM;SG;3
都市	नगर	都市	नगर	N	N;NOM;MASC;SG;3
都市	शहर	都市	शहर	N	N;NOM;MASC;SG;3
都市	शहरों	都市	शहर	N	N;ACC;MASC;PL;3
会社	फर्म	会社	फर्म	N	N;NOM;FEM;SG;3
会社	कंपनी	会社	कंपनी	N	N;NOM;FEM;SG;3
会社	कम्पनी	会社	कम्पनी	N	N;NOM;FEM;SG;3
会社	कंपनियों	会社	कंपनी	N	N;ACC;FEM;PL;3
会社	कंपनियाँ	会社	कंपनी	N	N;NOM;FEM;PL;3
世紀	सदियों	世紀	सदी	N	N;ACC;FEM;PL;3
世紀	सदियां	世紀	सदियां	N	N;NOM;FEM;PL;3
世紀	शतक	世紀	शतक	N	N;NOM;MASC;SG;3
世紀	शताब्दी	世紀	शताब्दी	N	N;NOM;FEM;SG;3
ノート	व्याख्या	ノート	व्याख्या	N	N;NOM;FEM;SG;3
ノート	नोट	ノート	नोट	N	N;NOM;MASC;SG;3
ノート	नोटबुक	ノート	नोटबुक	N	N;NOM;FEM;SG;3
ノート	नोट्स	ノート	नोट्स	N	N;NOM;MASC;SG;3
ノート	नोट	ノート	नोट	N	N;NOM;MASC;SG;3
ノート	टिप्पणी	ノート	टिप्पणी	N	N;NOM;FEM;SG;3
ノート	नोटबुक	ノート	नोटबुक	N	N;NOM;FEM;SG;3
社会	सोसायटी	社会	सोसायटी	N	N;NOM;FEM;SG;3
社会	समाज	社会	समाज	N	N;NOM;MASC;SG;3
社会	समाजों	社会	समाज	N	N;ACC;MASC;PL;3
シングル	एकल	シングル	एकल	N	N;NOM;MASC;SG;3
終了	छोड़ें	終了	छोड़	V	V;SBJV;PL;FIN;ACT
内容	विषयवस्तु	内容	विषयवस्तु	N	N;NOM;FEM;SG;3
内容	सामग्री	内容	सामग्री	N	N;NOM;FEM;SG;3
内容	विषयवस्तु	内容	विषयवस्तु	N	N;NOM;FEM;SG;3
内容	सामग्री	内容	सामग्री	N	N;NOM;FEM;SG;3
文化	संस्कृति	文化	संस्कृति	N	N;NOM;FEM;SG;3
ドラマ	नौटंकी	ドラマ	नौटंकी	N	N;NOM;FEM;SG;3
ドラマ	ड्रामा	ドラマ	ड्रामा	N	N;NOM;MASC;SG;3
ドラマ	नाटक	ドラマ	नाटक	N	N;NOM;MASC;SG;3
選手権	चैम्पियनशिप	選手権	चैम्पियनशिप	N	N;NOM;FEM;SG;3
選手権	चैंपियनशिप	選手権	चैंपियनशिप	N	N;NOM;FEM;SG;3
野球	बेसबॉल	野球	बेसबॉल	N	N;NOM;MASC;SG;3
指定	बताएँ	指定	बता	V	V;SBJV;PL;FIN;ACT
マン	मन	マン	मन	N	N;NOM;MASC;SG;3
人物	व्यक्ति	人物	व्यक्ति	N	N;NOM;MASC;SG;3
最終	फाइनल	最終	फाइनल	N	N;NOM;MASC;SG;3
アニメ	दुश्मनी	アニメ	दुश्मनी	N	N;NOM;FEM;SG;3
一般	जनरल	一般	जनरल	N	N;NOM;MASC;SG;3
一般	सामान्य	一般	सामान्य	N	N;NOM;MASC;SG;3
歴史	इतिहास	歴史	इतिहास	N	N;NOM;MASC;SG;3
選挙	चुनाव	選挙	चुनाव	N	N;NOM;MASC;SG;3
選挙	चुनाव	選挙	चुनाव	N	N;NOM;MASC;SG;3
選挙	चुनावों	選挙	चुनाव	N	N;ACC;MASC;PL;3
計画	नियोजन	計画	नियोजन	N	N;NOM;MASC;SG;3
計画	प्लान	計画	प्लान	N	N;NOM;MASC;SG;3
計画	योजना	計画	योजना	N	N;NOM;FEM;SG;3
計画	योजनाएँ	計画	योजना	N	N;NOM;FEM;PL;3
経済	अर्थव्यवस्था	経済	अर्थव्यवस्था	N	N;NOM;FEM;SG;3
ページ	पृष्ठ	ページ	पृष्ठ	N	N;NOM;MASC;SG;3
ページ	पेज	ページ	पेज	N	N;NOM;MASC;SG;3
ページ	पृष्ठ	ページ	पृष्ठ	N	N;NOM;MASC;SG;3
ページ	पेज	ページ	पेज	N	N;NOM;MASC;SG;3
ページ	पन्ने	ページ	पन्ना	N	N;NOM;MASC;SG;3
ページ	पृष्ठों	ページ	पृष्ठ	N	N;ACC;MASC;PL;3
教授	प्रोफ़ेसर	教授	प्रोफ़ेसर	N	N;NOM;MASC;SG;3
教授	प्रोफेसर	教授	प्रोफेसर	N	N;NOM;MASC;SG;3
教授	प्राध्यापक	教授	प्राध्यापक	N	N;NOM;MASC;SG;3
ラジオ	रेडियो	ラジオ	रेडियो	N	N;NOM;MASC;SG;3
劇場	थिएटर	劇場	थिएटर	N	N;NOM;MASC;SG;3
劇場	सिनेमाघर	劇場	सिनेमाघर	N	N;NOM;MASC;SG;3
劇場	रंगमंच	劇場	रंगमंच	N	N;NOM;MASC;SG;3
劇場	थिएटर	劇場	थिएटर	N	N;NOM;MASC;SG;3
グループ	ग्रुप	グループ	ग्रुप	N	N;NOM;MASC;SG;3
グループ	समूह	グループ	समूह	N	N;NOM;MASC;SG;3
グループ	समूहों	グループ	समूह	N	N;ACC;MASC;PL;3
グループ	समूह	グループ	समूह	N	N;NOM;MASC;SG;3
英語	अंग्रेज	英語	अंग्रेज	N	N;NOM;MASC;SG;3
女性	औरत	女性	औरत	N	N;NOM;FEM;SG;3
女性	महिला	女性	महिला	N	N;NOM;FEM;SG;3
女性	स्त्री	女性	स्त्री	N	N;NOM;FEM;SG;3
女性	स्त्री	女性	स्त्री	N	N;NOM;FEM;SG;3
女性	महिला	女性	महिला	N	N;NOM;FEM;SG;3
女性	मादा	女性	मादा	N	N;NOM;MASC;SG;3
女性	औरतों	女性	औरत	N	N;ACC;FEM;PL;3
女性	स्त्रियाँ	女性	स्त्री	N	N;NOM;FEM;PL;3
女性	महिलाएँ	女性	महिला	N	N;NOM;FEM;PL;3
女性	महिलाएं	女性	महिला	N	N;NOM;FEM;PL;3
女性	महिलाओं	女性	महिला	N	N;ACC;FEM;PL;3
地区	जिला	地区	जिला	N	N;NOM;MASC;SG;3
地区	डिस्ट्रिक्ट	地区	डिस्ट्रिक्ट	N	N;NOM;MASC;SG;3
地区	ज़िला	地区	ज़िला	N	N;NOM;MASC;SG;3
得点	अंक	得点	अंक	N	N;NOM;MASC;SG;3
得点	स्कोर	得点	स्कोर	N	N;NOM;MASC;SG;3
コメント	टिप्पणी	コメント	टिप्पणी	N	N;NOM;FEM;SG;3
コメント	टिप्पणियां	コメント	टिप्पणी	N	N;NOM;FEM;PL;3
コメント	टिप्पणियाँ	コメント	टिप्पणी	N	N;NOM;FEM;PL;3
コメント	टिप्पणी	コメント	टिप्पणी	N	N;NOM;FEM;SG;3
漫画	कॉमिक्स	漫画	कॉमिक्स	N	N;NOM;MASC;SG;3
サッカー	सॉकर	サッカー	सॉकर	N	N;NOM;MASC;SG;3
議員	सीनेटर	議員	सीनेटर	N	N;NOM;MASC;SG;3
全国	देशभर	全国	देशभर	N	N;NOM;MASC;SG;3
協会	सम्बद्धता	協会	सम्बद्धता	N	N;NOM;FEM;SG;3
協会	एसोसिएशन	協会	एसोसिएशन	N	N;NOM;FEM;SG;3
協会	संघ	協会	संघ	N	N;NOM;MASC;SG;3
路線	मार्गों	路線	मार्ग	N	N;ACC;MASC;PL;3
路線	रूट	路線	रूट	N	N;NOM;MASC;SG;3
戦争	युद्ध	戦争	युद्ध	N	N;NOM;MASC;SG;3
戦争	वॉर्स	戦争	वॉर्स	N	N;NOM;MASC;SG;3
戦争	युद्धों	戦争	युद्ध	N	N;ACC;MASC;PL;3
部分	हिस्से	部分	हिस्सा	N	N;NOM;MASC;SG;3
部分	हिस्सा	部分	हिस्सा	N	N;NOM;MASC;SG;3
高校	हाईस्कूल	高校	हाईस्कूल	N	N;NOM;MASC;SG;3
番号	संख्या	番号	संख्या	N	N;NOM;FEM;SG;3
番号	नंबर	番号	नंबर	N	N;NOM;MASC;SG;3
期間	अवधि	期間	अवधि	N	N;NOM;FEM;SG;3
期間	अवधि	期間	अवधि	N	N;NOM;FEM;SG;3
期間	काल	期間	काल	N	N;NOM;MASC;SG;3
場所	जगह	場所	जगह	N	N;NOM;FEM;SG;3
場所	स्थान	場所	स्थान	N	N;NOM;MASC;SG;3
場所	प्लेस	場所	प्लेस	N	N;NOM;FEM;SG;3
場所	लोकेशन	場所	लोकेशन	N	N;NOM;MASC;SG;3
場所	अवस्थिति	場所	अवस्थिति	N	N;NOM;FEM;SG;3
場所	स्थान	場所	स्थान	N	N;NOM;MASC;SG;3
場所	स्थान	場所	स्थान	N	N;NOM;MASC;SG;3
技術	तकनीक	技術	तकनीक	N	N;NOM;FEM;SG;3
技術	प्रौद्योगिकी	技術	प्रौद्योगिकी	N	N;NOM;FEM;SG;3
海軍	नौसेना	海軍	नौसेना	N	N;NOM;FEM;SG;3
道路	सड़कों	道路	सड़क	N	N;ACC;FEM;PL;3
道路	सड़कें	道路	सड़क	N	N;NOM;FEM;PL;3
道路	रोड	道路	रोड	N	N;NOM;FEM;SG;3
道路	सड़क	道路	सड़क	N	N;NOM;FEM;SG;3
システム	तंत्र	システム	तंत्र	N	N;NOM;MASC;SG;3
システム	सिस्टम	システム	सिस्टम	N	N;NOM;MASC;SG;3
システム	तन्त्र	システム	तन्त्र	N	N;NOM;MASC;SG;3
システム	प्रणाली	システム	प्रणाली	N	N;NOM;FEM;SG;3
システム	सिस्टम	システム	सिस्टम	N	N;NOM;MASC;SG;3
システム	सिस्टम्स	システム	सिस्टम	N	N;NOM;MASC;PL;3
システム	प्रणालियों	システム	प्रणाली	N	N;ACC;MASC;PL;3
モデル	मॉडल	モデル	मॉडल	N	N;NOM;MASC;SG;3
モデル	मॉडल	モデル	मॉडल	N	N;NOM;MASC;SG;3
対応	पत्राचार	対応	पत्राचार	N	N;NOM;MASC;SG;3
列車	ट्रेन	列車	ट्रेन	N	N;NOM;FEM;SG;3
列車	रेलगाड़ी	列車	रेलगाड़ी	N	N;NOM;FEM;SG;3
列車	ट्रेन	列車	ट्रेन	N	N;NOM;FEM;SG;3
列車	ट्रेनों	列車	ट्रेन	N	N;ACC;FEM;PL;3
列車	रेल	列車	रेल	N	N;NOM;FEM;SG;3
科学	विज्ञान	科学	विज्ञान	N	N;NOM;MASC;SG;3
理由	कारणों	理由	कारण	N	N;ACC;MASC;PL;3
理由	कारण	理由	कारण	N	N;NOM;MASC;SG;3
理由	कारण	理由	कारण	N	N;NOM;MASC;SG;3
一	एक	一	एक	NUM	NUM
ブロック	अवरोध	ブロック	अवरोध	N	N;NOM;MASC;SG;3
ブロック	ब्लॉक	ブロック	ब्लॉक	N	N;NOM;MASC;SG;3
ブロック	खंड	ブロック	खंड	N	N;NOM;MASC;SG;3
ブロック	ब्लॉक	ブロック	ब्लॉक	N	N;NOM;MASC;SG;3
ブロック	ब्लाक	ブロック	ब्लाक	N	N;NOM;MASC;SG;3
車両	वाहन	車両	वाहन	N	N;NOM;MASC;PL;3
車両	वाहनों	車両	वाहन	N	N;ACC;MASC;PL;3
車両	वाहन	車両	वाहन	N	N;NOM;MASC;PL;3
車両	गाडी	車両	गाडी	N	N;NOM;FEM;SG;3
自動車	कार	自動車	कार	N	N;NOM;FEM;SG;3
自動車	गाड़ी	自動車	गाड़ी	N	N;NOM;FEM;SG;3
自動車	गाडी	自動車	गाडी	N	N;NOM;FEM;SG;3
自動車	ऑटोमोबाइल	自動車	ऑटोमोबाइल	N	N;NOM;MASC;SG;3
人口	जनसंख्या	人口	जनसंख्या	N	N;NOM;FEM;SG;3
人口	आबादी	人口	आबादी	N	N;NOM;FEM;SG;3
人口	जनसांख्यिकी	人口	जनसांख्यिकी	N	N;NOM;MASC;SG;3
特に	विशेषकर	特に	विशेषकर	ADV	ADV
特に	विशेषकर	特に	विशेषकर	ADV	ADV
営業	व्यवसाय	営業	व्यवसाय	N	N;NOM;MASC;SG;3
営業	बिज़नेस	営業	बिज़नेस	N	N;NOM;MASC;SG;3
営業	दुकानदारी	営業	दुकानदारी	N	N;NOM;FEM;SG;3
営業	व्यापार	営業	व्यापार	N	N;NOM;MASC;SG;3
営業	कारोबार	営業	कारोबार	N	N;NOM;MASC;SG;3
新聞	अख़बार	新聞	अख़बार	N	N;NOM;MASC;SG;3
新聞	अखबार	新聞	अखबार	N	N;NOM;MASC;SG;3
新聞	समाचारपत्र	新聞	समाचारपत्र	N	N;NOM;MASC;SG;3
新聞	अखबारों	新聞	अखबार	N	N;ACC;MASC;PL;3
政府	सरकार	政府	सरकार	N	N;NOM;FEM;SG;3
キャラクター	कैरेक्टर	キャラクター	कैरेक्टर	N	N;NOM;MASC;SG;3
キャラクター	वर्ण	キャラクター	वर्ण	N	N;NOM;MASC;SG;3
キャラクター	अक्षर	キャラクター	अक्षर	N	N;NOM;MASC;SG;3
キャラクター	किरदार	キャラクター	किरदार	N	N;NOM;MASC;SG;3
キャラクター	अक्षर	キャラクター	अक्षर	N	N;NOM;MASC;SG;3
キャラクター	वर्ण	キャラクター	वर्ण	N	N;NOM;MASC;SG;3
小説	उपन्यास	小説	उपन्यास	N	N;NOM;MASC;SG;3
機関	अंगों	機関	अंग	N	N;ACC;MASC;PL;3
機関	संस्था	機関	संस्था	N	N;NOM;FEM;SG;3
機関	संस्थाओं	機関	संस्था	N	N;ACC;FEM;PL;3
機関	संस्थानों	機関	संस्थान	N	N;ACC;MASC;PL;3
メンバー	सदस्य	メンバー	सदस्य	N	N;NOM;MASC;PL;3
メンバー	सदस्य	メンバー	सदस्य	N	N;NOM;MASC;PL;3
メンバー	सदस्यों	メンバー	सदस्य	N	N;ACC;MASC;PL;3
発行	मुद्दा	発行	मुद्दा	N	N;NOM;MASC;SG;3
発行	समस्या	発行	समस्या	N	N;NOM;FEM;SG;3
画像	छवि	画像	छवि	N	N;NOM;FEM;SG;3
画像	छवियां	画像	छवी	N	N;NOM;FEM;PL;3
画像	छवियाँ	画像	छवी	N	N;NOM;FEM;PL;3
画像	चित्र	画像	चित्र	N	N;NOM;MASC;SG;3
画像	बिंब	画像	बिंब	N	N;NOM;MASC;SG;3
画像	तस्वीर	画像	तस्वीर	N	N;NOM;FEM;SG;3
画像	पिक्चर	画像	पिक्चर	N	N;NOM;MASC;SG;3
画像	चित्र	画像	चित्र	N	N;NOM;MASC;SG;3
画像	छवि	画像	छवि	N	N;NOM;FEM;SG;3
画像	प्रतिबिम्ब	画像	प्रतिबिम्ब	N	N;NOM;FEM;SG;3
画像	चित्र	画像	चित्र	N	N;NOM;MASC;SG;3
状態	अवस्था	状態	अवस्था	N	N;NOM;FEM;SG;3
状態	स्टेट	状態	स्टेट	N	N;NOM;MASC;SG;3
状態	स्थिति	状態	स्थिति	N	N;NOM;FEM;SG;3
状態	राज्य	状態	राज्य	N	N;NOM;MASC;SG;3
状態	हालत	状態	हालत	N	N;NOM;FEM;SG;3
状態	स्थिति	状態	स्थिति	N	N;NOM;FEM;SG;3
状態	शर्त	状態	शर्त	N	N;NOM;FEM;SG;3
状態	कंडीशन	状態	कंडीशन	N	N;NOM;MASC;SG;3
名称	नाम	名称	नाम	N	N;NOM;MASC;SG;3
ホーム	मुखपृष्ठ	ホーム	मुखपृष्ठ	N	N;NOM;MASC;SG;3
ホーム	गृह	ホーム	गृह	N	N;NOM;MASC;SG;3
ホーム	घर	ホーム	घर	N	N;NOM;MASC;SG;3
名前	नाम	名前	नाम	N	N;NOM;MASC;SG;3
施設	सुविधाएं	施設	सुविधा	N	N;NOM;FEM;PL;3
施設	संस्था	施設	संस्था	N	N;NOM;FEM;SG;3
施設	सुविधा	施設	सुविधा	N	N;NOM;FEM;SG;3
独立	स्वतंत्र	独立	स्वतंत्र	ADJ	ADJ;NOM
