con	med	con	med	ADP	ADP
san	helgon	san	helgon	N;MASC;SG	N;NOM;INDF;NEUT;SG
nacional	nationellt	nacional	nationell	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
nacional	nationell	nacional	nationell	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
primera	första	primero	en	ADJ;FEM;SG	ADJ;NOM
team	laget	team	lag	N	N;NOM;DEF;NEUT;SG
team	lag	team	lag	N	N;NOM;INDF;MASC+FEM;SG
team	team	team	team	N	N;NOM;INDF;NEUT;SG
nombre	namn	nombre	namn	N;MASC;SG	N;NOM;INDF;NEUT;SG
nombre	name	nombre	name	N;MASC;SG	N;NOM;INDF;NEUT;SG
estados	staterna	estado	stat	N;MASC;PL	N;NOM;DEF;MASC+FEM;PL
estados	stater	estado	stat	N;MASC;PL	N;NOM;INDF;MASC+FEM;PL
estados	delstater	estado	delstat	N;MASC;PL	N;NOM;INDF;MASC+FEM;PL
utc	utc	utc	utc	N	N
siglo	siglo	siglo	siglo	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
siglo	sekel	siglo	sekel	N;MASC;SG	N;NOM;INDF;NEUT;SG
siglo	århundrade	siglo	århundrad	N;MASC;SG	N;NOM;INDF;NEUT;SG
siglo	århundradet	siglo	århundrad	N;MASC;SG	N;NOM;DEF;NEUT;SG
después	efteråt	después	efteråt	ADV	ADV
después	senare	después	sen	ADV	ADV;CMPR
tiene	har	tener	ha	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
otros	andra	otro	annan	PRO;MASC;PL	PRO;INDF;PL
otros	andra	otro	annan	PRO;MASC;PL	PRO;INDF;PL
gran	stor	gran	stor	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
gran	stort	gran	stor	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
gran	härligt	gran	härlig	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
unidos	förenade	unido	förenade	ADJ;MASC;PL;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
estado	status	estado	status	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
estado	ställning	estado	ställning	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
estado	stat	estado	stat	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
estado	delstat	estado	delstad	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
estado	skick	estado	skick	N;MASC;SG	N;NOM;INDF;NEUT;SG
lugar	mötesplats	lugar	mötesplats	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
lugar	lokalen	lugar	lokal	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
lugar	ställe	lugar	ställe	N;MASC;SG	N;NOM;INDF;NEUT;SG
lugar	place	lugar	place	N;MASC;SG	N;NOM;INDF;NEUT;SG
lugar	plats	lugar	plats	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
lugar	platsen	lugar	plats	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
lugar	läge	lugar	läge	N;MASC;SG	N;NOM;INDF;NEUT;SG
lugar	plats	lugar	plats	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
primer	första	primero	en	ADJ;MASC;SG	ADJ;NOM
población	populationen	población	population	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
población	befolkning	población	befolkning	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
población	befolkningen	población	befolkning	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
población	folkmängd	población	folkmängd	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
población	population	población	population	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
muy	mycket	mucho	mycket	ADV	ADV
nueva	ny	nuevo	ny	ADJ;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
nueva	nytt	nuevo	ny	ADJ;FEM;SG	ADJ;NOM;INDF;NEUT;SG
historia	berättelse	historia	berättelse	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
historia	händelse	historia	händelse	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
historia	story	historia	story	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
historia	historia	historia	historia	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
historia	historia	historia	historia	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
historia	historik	historia	historik	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
historia	historiken	historia	historik	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
club	club	club	club	N;MASC;SG	N;NOM;INDF;NEUT;SG
club	klubb	club	klubb	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
club	klubben	club	klubb	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
club	klubba	club	klubba	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
cual	vilket	cual	vilken	PRO;SG	PRO;INDF;NEUT;SG
universidad	university	universidad	university	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
universidad	universitet	universidad	universitet	N;FEM;SG	N;NOM;INDF;NEUT;SG
universidad	universitetet	universidad	universitet	N;FEM;SG	N;NOM;DEF;NEUT;SG
universidad	högskola	universidad	högskola	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
universidad	högskolan	universidad	högskola	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
universidad	högskola	universidad	högskola	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
forma	form	forma	form	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
forma	blankett	forma	blankett	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
forma	formulär	forma	formulär	N;FEM;SG	N;NOM;INDF;NEUT;SG
forma	form	forma	form	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
tres	tre	tres	tre	NUM;PL	NUM;NOM
grupo	grupo	grupo	grupo	N;MASC;SG	N;NOM;INDF;NEUT;SG
grupo	gruppen	grupo	grupp	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
grupo	grupp	grupo	grupp	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
guerra	kriget	guerra	krig	N;FEM;SG	N;NOM;DEF;NEUT;SG
guerra	krig	guerra	krig	N;FEM;SG	N;NOM;INDF;NEUT;SG
guerra	krigföring	guerra	krigföring	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
tras	efter	tras	efter	ADP	ADP
familia	familjen	familia	familj	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
familia	familj	familia	familj	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
familia	family	familia	family	N;FEM;SG	N;NOM;INDF;NEUT;SG
familia	släkt	familia	släkt	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
además	också	además	också	ADV	ADV
además	även	además	även	ADV	ADV
además	plus	además	plus	ADV	ADV
todo	allting	todo	allting	PRO;MASC;SG	PRO;INDF;NEUT;SG
sur	sur	sur	sur	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
sur	söder	sur	söder	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
mayor	större	mayor	stor	ADJ;SG	ADJ;NOM;CMPR
tiempo	väder	tiempo	väder	N;MASC;SG	N;NOM;INDF;NEUT;SG
tiempo	vädret	tiempo	vädre	N;MASC;SG	N;NOM;DEF;NEUT;SG
tiempo	tid	tiempo	tid	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
tiempo	tidpunkt	tiempo	tidpunkt	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
tiempo	dags	tiempo	dags	N;MASC;SG	N;MASC+FEM
tiempo	klockslag	tiempo	klockslag	N;MASC;SG	N;NOM;INDF;NEUT;SG
tiempo	tiden	tiempo	tid	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
provincia	provins	provincia	provins	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
provincia	län	provincia	län	N;FEM;SG	N;NOM;INDF;NEUT;SG
provincia	provinsen	provincia	provins	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
partido	party	partido	party	N;MASC;SG	N;NOM;INDF;NEUT;SG
partido	fest	partido	fest	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
partido	part	partido	part	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
partido	kalas	partido	kala	N;MASC;SG	N;NOM;INDF;NEUT;SG
partido	parti	partido	parti	N;MASC;SG	N;NOM;INDF;NEUT;SG
partido	matchning	partido	matchning	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
partido	match	partido	match	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
contra	mot	contra	mot	ADP	ADP
encuentra	finner	encontrar	finna	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
encuentra	hittar	encontrar	hitta	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
municipio	kommunen	municipio	kommun	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
municipio	kommun	municipio	kommun	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
otras	andra	otro	annan	PRO;FEM;PL	PRO;INDF;PL
otras	andra	otro	annan	PRO;FEM;PL	PRO;INDF;PL
sido	varit	ser	vara	V;MASC;SG;PST;V.PTCP	V;V.CVB;ACT
bajo	under	bajo	under	ADP	ADP
serie	serie	serie	serie	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
serie	serien	serie	serien	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
serie	serie	serie	serie	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
serie	serie	serie	serie	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
fútbol	fotboll	fútbol	fotboll	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
fútbol	fotboll	fútbol	fotboll	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
equipo	utrustning	equipo	utrustning	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
equipo	laget	equipo	lag	N;MASC;SG	N;NOM;DEF;NEUT;SG
equipo	lag	equipo	lag	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
equipo	team	equipo	team	N;MASC;SG	N;NOM;INDF;NEUT;SG
norte	norte	norte	norte	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
norte	norr	norte	norr	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
río	rio	río	rio	N;MASC;SG	N;NOM;INDF;NEUT;SG
río	river	río	riva	N;MASC;SG	N;NOM;INDF;NEUT;SG
río	floden	río	flyd	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
río	flod	río	flod	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
méxico	mexico	méxico	mexico	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
inglés	engelska	inglés	engelsk	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
nuevo	ny	nuevo	ny	ADJ;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
nuevo	nytt	nuevo	ny	ADJ;MASC;SG	ADJ;NOM;INDF;NEUT;SG
septiembre	september	septiembre	september	N	N;NOM;INDF;MASC+FEM;SG
octubre	oktober	octubre	oktober	N	N;NOM;INDF;MASC+FEM;SG
discusión	diskussion	discusión	diskussion	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
gobierno	styre	gobierno	styre	N;MASC;SG	N;NOM;INDF;NEUT;SG
gobierno	styrning	gobierno	styrning	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
gobierno	regering	gobierno	regering	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
gobierno	regeringen	gobierno	regering	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
condado	county	condado	county	N;MASC;SG	N;NOM;INDF;NEUT;SG
condado	länet	condado	län	N;MASC;SG	N;NOM;DEF;NEUT;SG
condado	län	condado	län	N;MASC;SG	N;NOM;INDF;NEUT;SG
final	slutet	final	slut	N;MASC;SG	N;NOM;DEF;NEUT;SG
final	end	final	end	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
final	slut	final	slut	N;MASC;SG	N;NOM;INDF;NEUT;SG
final	final	final	final	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
final	finalen	final	final	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
final	final	final	final	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
final	final	final	final	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
final	finalen	final	final	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
vida	life	vida	life	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
vida	livet	vida	liv	N;FEM;SG	N;NOM;DEF;NEUT;SG
vida	livstid	vida	livstid	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
vida	liv	vida	liv	N;FEM;SG	N;NOM;INDF;NEUT;SG
vida	vida	vida	vid	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
personas	personer	persona	person	N;FEM;PL	N;NOM;INDF;MASC+FEM;PL
personas	människor	persona	människa	N;FEM;PL	N;NOM;INDF;MASC+FEM;PL
personas	personer	persona	person	N;FEM;PL	N;NOM;INDF;MASC+FEM;PL
personas	folk	persona	folk	N;FEM;PL	N;NOM;INDF;NEUT;PL
español	spanska	español	spanska	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
centro	downtown	centro	downtown	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
centro	centrum	centro	centrum	N;MASC;SG	N;NOM;INDF;NEUT;SG
centro	centro	centro	centro	N;MASC;SG	N;NOM;INDF;NEUT;SG
centro	centrum	centro	centrum	N;MASC;SG	N;NOM;INDF;NEUT;SG
centro	center	centro	cent	N;MASC;SG	N;NOM;INDF;NEUT;SG
centro	mitten	centro	mitt	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
centro	centrumet	centro	centrum	N;MASC;SG	N;NOM;DEF;NEUT;SG
centro	centrum	centro	centrum	N;MASC;SG	N;NOM;INDF;NEUT;SG
centro	centre	centro	cena	N;MASC;SG	N;NOM;INDF;NEUT;SG
julio	juli	julio	juli	N	N;NOM;INDF;MASC+FEM;SG
país	landet	país	land	N;MASC;SG	N;NOM;DEF;NEUT;SG
país	land	país	land	N;MASC;SG	N;NOM;INDF;NEUT;SG
mientras	medan	mientras	medan	CONJ	CONJ
web	webbplatsen	web	pebbplats	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
web	webbsida	web	webbsida	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
web	hemsidan	web	hemsida	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
web	hemsida	web	hemsida	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
web	webbplats	web	pebbplats	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
web	webb	web	webb	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
web	web	web	web	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
web	webben	web	Bebben	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
internacional	internationell	internacional	internationell	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
internacional	internationellt	internacional	internationell	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
santa	helig	santo	helig	ADJ;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
santa	helige	santo	helig	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
santa	heligt	santo	helig	ADJ;FEM;SG	ADJ;NOM;INDF;NEUT;SG
antes	tidigare	antes	tidig	ADV	ADV;CMPR
antes	förut	antes	förut	ADV	ADV
oficial	officiell	oficial	officiell	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
oficial	officiellt	oficial	officiell	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
mundo	world	mundo	world	N;MASC;SG	N;NOM;NEUT;SG
mundo	värld	mundo	värld	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
mundo	världen	mundo	värld	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
mundo	mundo	mundo	mundo	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
embargo	embargo	embargo	embargo	N;MASC;SG	N;NOM;INDF;NEUT;SG
mayo	may	mayo	may	N	N;NOM;INDF;NEUT;SG
mayo	maj	mayo	maj	N	N;NOM;INDF;MASC+FEM;SG
mayo	majonnäs	mayo	majonnäs	N	N;NOM;INDF;MASC+FEM;SG
mayo	mayo	mayo	mayo	N	N;NOM;INDF;MASC+FEM;SG
algunos	vissa	alguno	vissa	PRO;MASC;PL	PRO;INDF;PL
algunos	somliga	alguno	somlig	PRO;MASC;PL	PRO;INDF;PL
temporada	årstid	temporada	årstid	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
temporada	säsong	temporada	säsong	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
temporada	säsongen	temporada	säsong	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
hacia	mot	hacia	mot	ADP	ADP
mejor	bäst	mejor	bra	ADV	ADV;RL
luego	sedan	luego	sedan	ADV	ADV
luego	sen	luego	sen	ADV	ADV
luego	då	luego	då	ADV	ADV
marzo	marsch	marzo	marsch	N	N;NOM;INDF;MASC+FEM;SG
marzo	march	marzo	march	N	N;NOM;INDF;MASC+FEM;SG
marzo	demonstrationståg	marzo	demonstrationståg	N	N;NOM;INDF;NEUT;SG
marzo	mars	marzo	mars	N	N;NOM;INDF;MASC+FEM;SG
día	dag	día	dag	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
día	dagen	día	dag	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
día	day	día	day	N;MASC;SG	N;NOM;INDF;NEUT;SG
enero	januari	enero	januari	N	N;NOM;INDF;MASC+FEM;SG
número	tal	número	tal	N;MASC;SG	N;NOM;INDF;NEUT;SG
número	antal	número	antal	N;MASC;SG	N;NOM;INDF;NEUT;SG
número	nummer	número	nummer	N;MASC;SG	N;NOM;INDF;NEUT;SG
agosto	august	agosto	august	N	N;NOM;INDF;MASC+FEM;SG
agosto	augusti	agosto	augusti	N	N;NOM;INDF;MASC+FEM;SG
agosto	aug	agosto	aug	N	N
diciembre	december	diciembre	december	N	N;NOM;INDF;MASC+FEM;SG
artículo	artikeln	artículo	artikel	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
artículo	artikel	artículo	artikel	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
artículo	varan	artículo	vara	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
artículo	objekt	artículo	objekt	N;MASC;SG	N;NOM;INDF;NEUT;SG
artículo	föremål	artículo	föremål	N;MASC;SG	N;NOM;INDF;NEUT;SG
noviembre	november	noviembre	november	N	N;NOM;INDF;MASC+FEM;SG
noviembre	nov	noviembre	nov	N	N
estos	dessa	este	denna	PRO;MASC;PL	PRO;DEF;PL
abril	april	abril	april	N	N;NOM;INDF;MASC+FEM;SG
total	total	total	total	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
región	region	región	region	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
región	regionen	región	region	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
sistema	systemet	sistema	system	N;MASC;SG	N;NOM;DEF;NEUT;SG
sistema	system	sistema	system	N;MASC;SG	N;NOM;INDF;NEUT;SG
habitantes	invånare	habitante	invånare	N;PL	N;NOM;INDF;MASC+FEM;PL
habitantes	innevånare	habitante	innevånare	N;PL	N;NOM;INDF;MASC+FEM;PL
habitantes	invånare	habitante	invånare	N;PL	N;NOM;INDF;MASC+FEM;PL
real	verklig	real	verklig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
real	äkta	real	äkta	ADJ;SG	ADJ;NOM
real	verkligt	real	verklig	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
real	riktig	real	riktig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
real	kunglig	real	kunglig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
real	kungligt	real	kunglig	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
página	sida	página	sida	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
página	sidan	página	sida	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
esto	denna	este	denna	PRO;SG	PRO;DEF;MASC+FEM;SG
esto	detta	este	denna	PRO;SG	PRO;DEF;NEUT;SG
mundial	världsomfattande	mundial	världsomfattande	ADJ;SG	ADJ;NOM;PRS;V.PTCP
mundial	världsomspännande	mundial	världsomspännande	ADJ;SG	ADJ;NOM;PRS;V.PTCP
mundial	globalt	mundial	global	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
música	music	música	music	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
música	musikåret	música	musikår	N;FEM;SG	N;NOM;DEF;NEUT;SG
música	musik	música	musik	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
presidente	ordförande	presidente	ordförande	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
presidente	styrelseordförande	presidente	styrelseordförande	N;MASC;SG	N;NOM;INDF;NEUT;SG
presidente	ordförande	presidente	ordförande	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
presidente	president	presidente	president	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
presidente	ordförande	presidente	ordförande	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
presidente	ordföranden	presidente	ordförande	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
presidente	talmannen	presidente	talman	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
casa	house	casa	house	N;FEM;SG	N;NOM;INDF;NEUT;SG
casa	huset	casa	hus	N;FEM;SG	N;NOM;DEF;NEUT;SG
casa	hus	casa	hus	N;FEM;SG	N;NOM;INDF;NEUT;SG
casa	hem	casa	hem	N;FEM;SG	N;NOM;INDF;NEUT;SG
casa	hemmet	casa	hem	N;FEM;SG	N;NOM;DEF;NEUT;SG
casa	home	casa	home	N;FEM;SG	N;NOM;INDF;NEUT;SG
sólo	bara	sólo	bara	ADV	ADV
sólo	enbart	sólo	enbart	ADV	ADV
sólo	endast	sólo	endast	ADV	ADV
sólo	bara	sólo	bara	ADV	ADV
álbum	album	álbum	album	N;MASC;SG	N;NOM;INDF;NEUT;SG
álbum	musikalbum	álbum	musikalbum	N;MASC;SG	N;NOM;INDF;NEUT;SG
álbum	albumet	álbum	album	N;MASC;SG	N;NOM;DEF;NEUT;SG
debido	vederbörlig	debido	vederbörlig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
cuenta	räknar	contar	räkna	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
cuenta	räknas	contar	räkna	V;IND;SG;3;PRS;FIN	V;IND;NFIN;PASS
junio	juni	junio	juni	N	N;NOM;INDF;MASC+FEM;SG
junio	june	junio	jun	N	N;NOM;INDF;MASC+FEM;SG
febrero	februari	febrero	februari	N	N;NOM;INDF;MASC+FEM;SG
ella	hon	él	hon	PRO;FEM;SG;3	PRO;NOM;DEF;MASC+FEM;SG
ella	hennes	él	hon	PRO;FEM;SG;3	PRO;DEF
ella	henne	él	hon	PRO;FEM;SG;3	PRO;ACC;DEF;MASC+FEM;SG
varios	flera	varios	flera	PRO;MASC;PL	PRO;INDF;PL
solo	bara	solo	bara	ADV	ADV
solo	enbart	solo	enbart	ADV	ADV
solo	endast	solo	endast	ADV	ADV
solo	bara	solo	bara	ADV	ADV
tipo	typ	tipo	typ	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
obra	arbete	obra	arbete	N;FEM;SG	N;NOM;INDF;NEUT;SG
obra	work	obra	work	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
iglesia	kyrkan	iglesia	kyrka	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
iglesia	kyrka	iglesia	kyrka	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
película	film	película	film	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
película	film	película	film	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
entonces	sedan	entonces	sedan	ADV	ADV
entonces	sen	entonces	sen	ADV	ADV
entonces	då	entonces	då	ADV	ADV
banda	band	banda	band	N;FEM;SG	N;NOM;INDF;NEUT;SG
banda	musikgrupp	banda	musikgrupp	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
banda	banda	banda	band	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
banda	gäng	banda	gäng	N;FEM;SG	N;NOM;INDF;NEUT;SG
