laras	hordó	laras	hordó	N	N;NOM;SG
instalasi	telepítése	instalasi	telepítés	N;SG	N;NOM;SG
lencana	jelvény	lencana	jelvény	N;SG	N;NOM;SG
lencana	jelvényt	lencana	jelvény	N;SG	N;ACC;SG
lencana	jelvény	lencana	jelvény	N;SG	N;NOM;SG
lembar	lap	lembar	lap	N;SG	N;NOM;SG
lembar	lepedő	lembar	lepedő	N;SG	N;NOM;SG
lembar	ágynemű	lembar	ágynemű	N;SG	N;NOM;SG
lembar	lepedő	lembar	lepedő	N;SG	N;NOM;SG
mengarahkan	kormányozni	menkarahkan	kormányoz	V;SG;ACT	V;NFIN;ACT
faksi	frakció	faksi	frakció	N;SG	N;NOM;SG
kelautan	tengerész	kelautan	tengerész	N;SG	N;NOM;SG
kelautan	tengerészgyalogos	kelautan	tengerészgyalogos	N;SG	N;NOM;SG
bayangan	árnyék	bayangan	árnyék	N;SG	N;NOM;SG
bayangan	árnyék	bayangan	árnyék	N;SG	N;NOM;SG
keberadaannya	létezése	keberadaan	létezés	N;SG	N;NOM;SG
mitsubishi	mitsubishi	mitsubishi	mitsubishi	N	N;NOM;SG
torpedo	torpedó	torpedo	torpedó	N	N;NOM;SG
torpedo	torpedók	torpedo	torpedó	N	N;NOM;PL
busur	arc	busur	arc	N;SG	N;NOM;SG
busur	ív	busur	ív	N;SG	N;NOM;SG
busur	íj	busur	íj	N;SG	N;NOM;SG
persenjataan	hadianyag	persenjataan	hadianyag	N;SG	N;NOM;SG
persenjataan	fegyverzet	persenjataan	fegyverzet	N;SG	N;NOM;SG
kantong	zseb	kantong	zseb	N;SG	N;NOM;SG
kantong	zsebében	kantong	zsebe	N;SG	N;IN+ESS;SG
kantong	táska	kantong	tás	N;SG	N;NOM;SG
kantong	zacskó	kantong	zacskó	N;SG	N;NOM;SG
kantong	táskát	kantong	táska	N;SG	N;ACC;SG
kantong	zsák	kantong	zsák	N;SG	N;NOM;SG
kantong	tasak	kantong	tasak	N;SG	N;NOM;SG
kantong	zacskó	kantong	zacskó	N;SG	N;NOM;SG
kantong	zseb	kantong	zseb	N;SG	N;NOM;SG
kantong	zsák	kantong	zsák	N;SG	N;NOM;SG
kantong	zacskó	kantong	zacskó	N;SG	N;NOM;SG
kelayakan	jogosultság	kelayakan	jogosultság	N;SG	N;NOM;SG
fisikawan	fizikus	fisikawan	fizikus	N;MASC;SG	N;NOM;SG
depresi	depresszió	depresi	depresszió	N;SG	N;NOM;SG
pembaruan	felújítás	penbaruan	felújítás	N;SG	N;NOM;SG
pembaruan	frissítés	penbaruan	frissítés	N;SG	N;NOM;SG
pembaruan	frissítés	penbaruan	frissítés	N;SG	N;NOM;SG
pembaruan	frissítése	penbaruan	frissítés	N;SG	N;NOM;SG
pengecualian	kirekesztés	pengecualian	kirekesztés	N;SG	N;NOM;SG
butuh	kell	butuh	kell	V;SG;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
sintesis	szintézis	sintesis	szintézis	N;SG	N;NOM;SG
keterlibatan	eljegyzési	keterlibatan	eljegyzési	N;SG	N;NOM;SG
keterlibatan	eljegyzés	keterlibatan	eljegyzés	N;SG	N;NOM;SG
keterlibatan	aktivitás	keterlibatan	aktivitás	N;SG	N;NOM;SG
keterlibatan	bevonása	keterlibatan	bevonás	N;SG	N;NOM;SG
keterlibatan	részvétel	keterlibatan	részvétel	N;SG	N;NOM;SG
tendangan	rúgás	tendangan	rúgás	N;SG	N;NOM;SG
tendangan	rúgás	tendangan	rúgás	N;SG	N;NOM;SG
kesimpulan	következtetés	kesimpulan	következtetés	N;SG	N;NOM;SG
kesimpulan	következtetés	kesimpulan	következtetés	N;SG	N;NOM;SG
menyembuhkan	gyógyít	mensembuhkan	gyógyít	V;SG;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
menyembuhkan	gyógyul	mensembuhkan	gyógyul	V;SG;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
menyembuhkan	gyógyítani	mensembuhkan	gyógyít	V;SG;ACT	V;NFIN;ACT
menyembuhkan	meggyógyítani	mensembuhkan	meggyógyít	V;SG;ACT	V;NFIN;ACT
kebijaksanaan	bölcsesség	kebijaksanaan	bölcsesség	N;SG	N;NOM;SG
perkemahan	tábor	perkemahan	tábor	N	N;NOM;SG
perkemahan	táborok	perkemahan	táborok	N	N;NOM;PL
biologis	biológiai	biologis	biológiai	N;SG	N;NOM;SG
biologis	biológiailag	biologis	biológiailag	N;SG	N;NOM;SG
pemujaan	szekta	penpujaan	szekta	N;SG	N;NOM;SG
survey	felmérés	survey	felmérés	N	N;NOM;SG
survey	felmérést	survey	felmérés	N	N;ACC;SG
survey	felmérések	survey	felmérés	N	N;NOM;PL
kutukan	átok	kutukan	át	N;SG	N;NOM;SG
temuan	felfedezés	temuan	felfedezés	N;SG	N;NOM;SG
temuan	discovery	temuan	discovery	N;SG	N;NOM;SG
pentas	színpad	pentas	színpad	N	N;NOM;SG
pentas	színpadon	pentas	színpad	N	N;ON+ESS;SG
antarmuka	interfész	antarmuka	interfész	N;SG	N;NOM;SG
petang	estét	petang	est	N;SG	N;ACC;SG
diagram	diagram	diagram	diagram	N;SG	N;NOM;SG
diagram	ábra	diagram	áb	N;SG	N;NOM;SG
diagram	diagram	diagram	diagram	N;SG	N;NOM;SG
sandi	jelszót	sandi	jelszó	N;SG	N;ACC;SG
sandi	jelszó	sandi	jelszó	N;SG	N;NOM;SG
sandi	rejtjel	sandi	rejt	N;SG	N;NOM;SG
administrator	adminisztrátor	administrator	adminisztrátor	N;SG	N;NOM;SG
administrator	ügyvezető	administrator	ügyvezető	N;SG	N;NOM;SG
administrator	ügyintéző	administrator	ügyintéző	N;SG	N;NOM;SG
administrator	tisztviselő	administrator	tisztviselő	N;SG	N;NOM;SG
mewarisi	örökli	menwarisi	örökli	V;SG;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
mewarisi	örökli	menwarisi	örökli	V;SG;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
mewarisi	örökölni	menwarisi	örököl	V;SG;ACT	V;NFIN;ACT
mewarisi	örökölte	menwarisi	örököl	V;SG;ACT	V;DEF;IND;SG;3;PST;FIN;ACT
lutheran	evangélikus	lutheran	evangélikus	N	N;NOM;SG
adventure	kaland	adventure	kaland	N	N;NOM;SG
adventure	kalandok	adventure	kaland	N	N;NOM;PL
ketegangan	feszültség	ketegangan	feszültség	N;SG	N;NOM;SG
petir	villám	petir	villám	N;SG	N;NOM;SG
petir	mennydörgés	petir	mennydörgés	N;SG	N;NOM;SG
petir	villámlás	petir	villámlás	N;SG	N;NOM;SG
petir	villám	petir	villám	N;SG	N;NOM;SG
kecerdasan	értelem	kecerdasan	értel	N;SG	N;NOM;SG
kecerdasan	hírszerzés	kecerdasan	hírszerzés	N;SG	N;NOM;SG
kecerdasan	intelligencia	kecerdasan	intelligencia	N;SG	N;NOM;SG
kecerdasan	értelem	kecerdasan	értel	N;SG	N;NOM;SG
modul	modul	modul	modul	N;SG	N;NOM;SG
vandalisme	vandalizmus	vandalisme	vandalizmus	N;SG	N;NOM;SG
tinju	ököl	tinju	ököl	N;SG	N;NOM;SG
tinju	ököl	tinju	ököl	N;SG	N;NOM;SG
manufaktur	gyártói	manufaktur	gyártói	N	N;NOM;PL
manufaktur	gyártók	manufaktur	gyártó	N	N;NOM;PL
manufaktur	előállítás	manufaktur	előállítás	N	N;NOM;SG
manufaktur	gyártás	manufaktur	gyártás	N	N;NOM;SG
potret	portré	potret	portré	N;SG	N;NOM;SG
suster	nővérek	suster	nő	N	N;NOM;PL
suster	testvérek	suster	testvér	N	N;NOM;PL
suster	nővérem	suster	nő	N	N;NOM;SG
suster	ápolónő	suster	ápolónő	N	N;NOM;SG
suster	nővér	suster	nővér	N	N;NOM;SG
meng	meng	meng	meng		
fighter	harcos	fighter	harcos	N	N;NOM;SG
fighter	bunyós	fighter	bunyós	N	N;NOM;SG
geometri	geometria	geometri	geometria	N	N;NOM;SG
kelainan	rendellenesség	kelainan	rendellenesség	N;SG	N;NOM;SG
kelainan	aberráció	kelainan	aberráció	N;SG	N;NOM;SG
kelainan	rendellenesség	kelainan	rendellenesség	N;SG	N;NOM;SG
kelainan	zavar	kelainan	zavar	N;SG	N;NOM;SG
gaji	fizetés	gaji	fizetés	N;SG	N;NOM;SG
lada	bors	lada	bors	N;SG	N;NOM;SG
lada	paprika	lada	paprika	N;SG	N;NOM;SG
lada	lada	lada	lada	N;SG	N;NOM;SG
pengurangan	csökkentést	penkurangan	csökkentés	N;SG	N;ACC;SG
pengurangan	csökkentése	penkurangan	csökkentés	N;SG	N;NOM;SG
pengurangan	csökkenés	penkurangan	csökkenés	N;SG	N;NOM;SG
pengurangan	csökkentés	penkurangan	csökkentés	N;SG	N;NOM;SG
menyumbangkan	adományoz	mensumbangkan	adományoz	V;SG;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
anggun	elegáns	anggun	elegáns	ADJ;SG	ADJ;NOM;SG
inspektur	felügyelő	inspektur	felügyelő	N	N;NOM;SG
inspektur	ellenőr	inspektur	ellenőr	N	N;NOM;SG
inspektur	főfelügyelő	inspektur	főfelügyelő	N	N;NOM;SG
genetika	genetikai	genetika	genetikai	N;SG	N;NOM;SG
genetika	genetikus	genetika	genetikus	N;SG	N;NOM;SG
genetika	genetika	genetika	genetika	N;SG	N;NOM;SG
globalisasi	globalizáció	globalisasi	globalizáció	N	N;NOM;SG
sedan	szedán	sedan	szedán	N;SG	N;NOM;SG
sedan	szalon	sedan	szalon	N;SG	N;NOM;SG
identifikasi	azonosítás	identifikasi	azonosítás	N;SG	N;NOM;SG
kebahagiaan	boldogság	kebahagiaan	boldogság	N;SG	N;NOM;SG
kebahagiaan	boldogságot	kebahagiaan	boldogság	N;SG	N;ACC;SG
pemberdayaan	felhatalmazás	pemberdayaan	felhatalmazás	N;SG	N;NOM;SG
script	szkriptek	script	szkrip	N	N;NOM;PL
script	forgatókönyvek	script	forgatókönyv	N	N;NOM;PL
script	forgatókönyv	script	forgatókönyv	N	N;NOM;PL
script	forgatókönyvet	script	forgatókönyv	N	N;NOM;PL
komitmen	elkötelezettség	komitmen	elkötelezettség	N;SG	N;NOM;SG
kentang	krumpli	kentang	krumpli	N;SG	N;NOM;SG
kentang	burgonya	kentang	burgony	N;SG	N;NOM;SG
kentang	krumpli	kentang	krumpli	N;SG	N;NOM;SG
kentang	burgonya	kentang	burgony	N;SG	N;NOM;SG
nutrisi	tápanyag	nutrisi	tápanyag	N;SG	N;NOM;SG
nutrisi	táplálkozás	nutrisi	táplálkozás	N;SG	N;NOM;SG
nutrisi	táplálék	nutrisi	táplálék	N;SG	N;NOM;SG
nutrisi	tápanyag	nutrisi	tápanyag	N;SG	N;NOM;SG
meletus	kitör	menletus	kitör	V;SG;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
icao	icao	icao	icao	N	N;NOM;SG
fantasi	fantáziák	fantasi	fantázia	N	N;NOM;PL
mengutip	idézni	menutip	idéz	V;SG;ACT	V;NFIN;ACT
mao	mao	mao	mao		
haiti	haiti	haiti	haiti	N	N;NOM;SG
haiti	haiti	haiti	haiti	N	N;NOM;SG
manuskrip	kéziratok	manuskrip	kézirat	N	N;NOM;PL
manuskrip	kéziratot	manuskrip	kézirat	N	N;ACC;SG
manuskrip	kézirat	manuskrip	kézirat	N	N;NOM;SG
negosiasi	tárgyalások	negosiasi	tárgyalás	N	N;NOM;PL
negosiasi	tárgyalás	negosiasi	tárgyalás	N	N;NOM;SG
negosiasi	tárgyalások	negosiasi	tárgyalás	N	N;NOM;PL
traktat	szerződéssel	traktat	szerződés	N	N;INS;SG
ragu	kétséges	ragu	kétséges	ADJ;SG	ADJ;NOM;SG
ragu	kétséges	ragu	kétséges	ADJ;SG	ADJ;NOM;SG
syukur	hálával	syukur	hála	N;SG	N;INS;SG
syukur	hálaadás	syukur	hálaadás	N;SG	N;NOM;SG
orkestra	zenekar	orkestra	zenekar	N;SG	N;NOM;SG
kapel	kápolna	kapel	kápol	N	N;NOM;SG
penyuntingan	módosítások	penyuntingan	módosítás	N	N;NOM;PL
penyuntingan	módosításai	penyuntingan	módosítás	N	N;NOM;PL
penyuntingan	módosításokkal	penyuntingan	módosítás	N	N;INS;PL
penyuntingan	vágás	penyuntingan	vágás	N	N;NOM;SG
komet	üstökös	komet	üstökös	N	N;NOM;SG
komet	üstökösök	komet	üstökös	N	N;NOM;PL
impian	álma	impian	álma	N;SG	N;NOM;SG
semester	szemeszter	semester	szemeszter	N	N;NOM;SG
semester	félév	semester	félév	N	N;NOM;SG
semester	félévben	semester	félév	N	N;IN+ESS;SG
terorisme	terrorizmus	terorisme	terrorizmus	N;SG	N;NOM;SG
liputan	lefedettség	liputan	lefedettség	N;SG	N;NOM;SG
filter	szűrés	filter	szűrés	N;SG	N;NOM;SG
filter	szűrő	filter	szűrő	N;SG	N;NOM;SG
filter	szűrő	filter	szűrő	N;SG	N;NOM;SG
apel	almát	apel	almát	N;SG	N;ACC;SG
narkoba	drogot	narkoba	drog	N;SG	N;ACC;SG
narkoba	kábítószer	narkoba	kábítószer	N;SG	N;NOM;SG
narkoba	drog	narkoba	drog	N;SG	N;NOM;SG
narkoba	kábítószer	narkoba	kábítószer	N;SG	N;NOM;SG
narkoba	gyógyszer	narkoba	gyógyszer	N;SG	N;NOM;SG
narkoba	drog	narkoba	drog	N;SG	N;NOM;SG
pencegahan	elővigyázatosság	pencegahan	elővigyázatosság	N;SG	N;NOM;SG
pencegahan	elővigyázatosság	pencegahan	elővigyázatosság	N;SG	N;NOM;SG
pencegahan	megelőzés	pencegahan	megelőzés	N;SG	N;NOM;SG
pencegahan	megelőzése	pencegahan	megelőzés	N;SG	N;NOM;SG
tumor	tumor	tumor	tumor	N;SG	N;NOM;SG
tumor	daganat	tumor	daganat	N;SG	N;NOM;SG
tumor	tumor	tumor	tumor	N;SG	N;NOM;SG
tumor	daganat	tumor	daganat	N;SG	N;NOM;SG
mie	tésztát	mie	tészta	N	N;ACC;SG
mie	tészta	mie	tészta	N	N;NOM;SG
mie	tészta	mie	tészta	N	N;NOM;SG
obyek	objektum	obyek	ob	N;SG	N;NOM;SG
obyek	tárgy	obyek	tárgy	N;SG	N;NOM;SG
opini	véleményt	opini	vélemény	N;SG	N;ACC;SG
karate	karate	karate	karat	N	N;NOM;SG
pegulat	birkózó	pegulat	birkózó	N;SG	N;NOM;SG
ranting	ág	ranting	ág	N;SG	N;NOM;SG
ranting	ág	ranting	ág	N;SG	N;NOM;SG
istirahat	szünet	istirahat	szünet	N;SG	N;NOM;SG
istirahat	törés	istirahat	törés	N;SG	N;NOM;SG
istirahat	pihenés	istirahat	pihenés	N;SG	N;NOM;SG
menyamar	beépített	mensamar	beépített	V;SG;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
menuduh	vádolni	mentuduh	vádol	V;SG;ACT	V;NFIN;ACT
tercepat	leggyorsabb	tercepat	széps	ADJ;RL;SG	ADJ;NOM;RL;SG
tercepat	leggyorsabb	tercepat	széps	ADJ;RL;SG	ADJ;NOM;RL;SG
alternative	alternatíva	alternative	alternatíva	N;SG	N;NOM;SG
dukun	sámán	dukun	sámán	N;SG	N;NOM;SG
ekonom	közgazdász	ekonom	közgazdász	N;SG	N;NOM;SG
browser	böngészők	browser	böngésző	N	N;NOM;PL
browser	böngésző	browser	böngésző	N	N;NOM;SG
parade	parádé	parade	parádé	N	N;NOM;SG
parade	felvonulás	parade	felvonulás	N	N;NOM;SG
terlaris	bestseller	terlaris	bestseller	N	N;NOM;SG
siluman	lopakodó	siluman	lopakodó	N;SG	N;NOM;SG
siluman	démon	siluman	démon	N;SG	N;NOM;SG
hormat	tiszteletet	hormat	tisztelet	N;SG	N;ACC;SG
hormat	tisztelet	hormat	tisztelet	N;SG	N;NOM;SG
horizontal	horizontális	horizontal	horizontális	N	N;NOM;SG
layer	réteg	layer	réteg	N;SG	N;NOM;SG
fotografer	fotós	fotografer	fotós	N;SG	N;NOM;SG
fotografer	fényképész	fotografer	fényképész	N;SG	N;NOM;SG
skandal	botrány	skandal	botrány	N;SG	N;NOM;SG
skandal	botrány	skandal	botrány	N;SG	N;NOM;SG
pengabdian	odaadás	penabdian	odaadás	N;SG	N;NOM;SG
lebah	méh	lebah	méh	N;SG	N;NOM;SG
lebah	méhecske	lebah	méhecske	N;SG	N;NOM;SG
penyatuan	egyesítés	pensatuan	egyesítés	N;SG	N;NOM;SG
penyatuan	egyesülés	pensatuan	egyesülés	N;SG	N;NOM;SG
menyesuaikan	beállítani	mensesuaikan	beállít	V;SG;ACT	V;NFIN;ACT
buddhis	buddhista	buddhis	buddhista	N	N;NOM;SG
buddhis	buddhisták	buddhis	buddhista	N	N;NOM;PL
berlalu	elhunyt	berlalu	el+huny	V;SG;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
pemandian	fürdés	penmandian	fürdés	N;SG	N;NOM;SG
pemandian	fürdési	penmandian	fürdési	N;SG	N;NOM;SG
ekosistem	ökoszisztéma	ekosistem	ökoszisztéma	N	N;NOM;SG
ekosistem	ökoszisztémák	ekosistem	ökoszisztéma	N	N;NOM;PL
ekosistem	ökoszisztéma	ekosistem	ökoszisztéma	N	N;NOM;SG
ekosistem	ökoszisztémák	ekosistem	ökoszisztéma	N	N;NOM;PL
anatomi	anatómia	anatomi	anatómia	N;SG	N;NOM;SG
mendidik	oktatni	mendidik	oktat	V;SG;ACT	V;NFIN;ACT
pendahulunya	elődje	pendahulunya	előd	N;SG	N;NOM;SG
kultur	tenyésztés	kultur	tenyésztés	N	N;NOM;SG
kultur	kultúra	kultur	kultúra	N	N;NOM;SG
kultur	kultúrák	kultur	kultúra	N	N;NOM;PL
reproduksi	reproduktív	reproduksi	reproduktív	N;SG	N;ACC;SG
reproduksi	reprodukciós	reproduksi	reprodukciós	N;SG	N;NOM;SG
reproduksi	reprodukciós	reproduksi	reprodukciós	N;SG	N;NOM;SG
reruntuhan	törmelék	reruntuhan	törmelék	N	N;NOM;SG
reruntuhan	roncs	reruntuhan	roncs	N	N;NOM;SG
reruntuhan	roncsot	reruntuhan	roncs	N	N;ACC;SG
reruntuhan	romok	reruntuhan	rom	N	N;NOM;PL
reruntuhan	romokban	reruntuhan	romok	N	N;IN+ESS;SG
unicode	unicode	unicode	unicode	N	N;NOM;SG
kemakmuran	jólét	kemakmuran	jólét	N;SG	N;NOM;SG
fungsional	működőképes	fungsional	működőképes	N	N;NOM;SG
nafsu	vágy	nafsu	vágy	N;SG	N;NOM;SG
nafsu	étvágyat	nafsu	étvágy	N;SG	N;NOM;SG
asuhan	nevelés	asuhan	nevelés	N;SG	N;NOM;SG
etanol	etanol	etanol	etanol	N	N;NOM;SG
heading	irány	heading	irány	N	N;NOM;SG
esai	esszéket	esai	esszék	N;SG;ACT	N;ACC;SG
manik	gyöngyök	manik	gyöngy	N	N;NOM;PL
kapas	gyapot	kapas	gyap	N;SG	N;NOM;SG
kapas	pamut	kapas	pamut	N;SG	N;NOM;SG
paten	szabadalmi	paten	szabadalmi	N;SG	N;NOM;SG
paten	szabadalom	paten	szabadalom	N;SG	N;NOM;SG
paten	szabadalom	paten	szabadalom	N;SG	N;NOM;SG
elektrik	villamos	elektrik	villamos	N;SG	N;NOM;SG
elektrik	villany	elektrik	villany	N;SG	N;NOM;SG
dorongan	tolóerő	dorongan	tolóerő	N;SG	N;NOM;SG
penayangan	kézbesítés	pentayangan	kézbesítés	N;SG	N;NOM;SG
penayangan	szállítás	pentayangan	szállítás	N;SG	N;NOM;SG
penayangan	teljesítés	pentayangan	teljesítés	N;SG	N;NOM;SG
penayangan	szállítási	pentayangan	szállítási	N;SG	N;NOM;SG
penayangan	megjelenés	pentayangan	megjelenés	N;SG	N;NOM;SG
penayangan	benyomás	pentayangan	benyomás	N;SG	N;NOM;SG
perbudakan	rabszolgaság	perbudakan	rabszolgaság	N;SG	N;NOM;SG
perbudakan	rabszolgaság	perbudakan	rabszolgaság	N;SG	N;NOM;SG
perbudakan	rabszolgaság	perbudakan	rabszolgaság	N;SG	N;NOM;SG
konversi	átalakítás	konversi	átalakítás	N;SG	N;NOM;SG
konversi	átalakítás	konversi	átalakítás	N;SG	N;NOM;SG
sakramen	szentség	sakramen	szentség	N;SG	N;NOM;SG
botani	botanika	botani	botanika	N;SG	N;NOM;SG
botani	botanikus	botani	botanikus	N;SG	N;NOM;SG
pembicara	szónok	penbicara	szó	N;SG	N;NOM;SG
intervensi	beavatkozás	intervensi	beavatkozás	N;SG	N;NOM;SG
intervensi	intervenció	intervensi	intervenció	N;SG	N;NOM;SG
kemarau	aszály	kemarau	aszály	N;SG	N;NOM;SG
kemarau	szárazság	kemarau	szárazság	N;SG	N;NOM;SG
kesaksian	vallomása	kesaksian	vallomás	N;SG	N;NOM;SG
kesaksian	vallomás	kesaksian	vallomás	N;SG	N;NOM;SG
kuantum	kvantum	kuantum	kvantum	N;SG	N;NOM;SG
mekanika	mechanika	mekanika	mechanika	N;SG	N;NOM;SG
mekanika	mechanikai	mekanika	mechanikai	N;SG	N;NOM;SG
mekanika	mechanikus	mekanika	mechanikus	N;SG	N;NOM;SG
penutupan	lezárás	pentutupan	lezárás	N;SG	N;NOM;SG
penutupan	bezárása	pentutupan	bezárás	N;SG	N;NOM;SG
penutupan	záró	pentutupan	záró	N;SG	N;NOM;SG
penutupan	zárás	pentutupan	zárás	N;SG	N;NOM;SG
keanekaragaman	sokszínűség	keanekaragaman	sokszínűség	N;SG	N;NOM;SG
keanekaragaman	sokféleség	keanekaragaman	sokféleség	N;SG	N;NOM;SG
renovasi	felújítás	renovasi	felújítás	N;SG	N;NOM;SG
renovasi	felújítás	renovasi	felújítás	N;SG	N;NOM;SG
investigasi	nyomozás	investigasi	nyomozás	N;SG	N;NOM;SG
investigasi	vizsgálat	investigasi	vizsgálat	N;SG	N;NOM;SG
investigasi	nyomozás	investigasi	nyomozás	N;SG	N;NOM;SG
investigasi	kivizsgálás	investigasi	kivizsgálás	N;SG	N;NOM;SG
deret	sorozat	deret	sorozat	N;SG	N;NOM;SG
takahashi	takahashi	takahashi	takahashi	N	N;NOM;SG
nopember	november	nopember	november	N	N;NOM;SG
nopember	novemberben	nopember	november	N	N;IN+ESS;SG
percepatan	gyorsulás	percepatan	gyorsulás	N;SG	N;NOM;SG
tekstil	textil	tekstil	textil	N;SG	N;NOM;SG
tekstil	textil	tekstil	textil	N;SG	N;NOM;SG
berorientasi	orientált	berorientasi	orientált	V;SG;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
berorientasi	orientált	berorientasi	orientált	V;SG;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
bereaksi	reagáltam	berreaksi	reagál	V;SG;ACT	V;INDF;IND;SG;1;PST;FIN;ACT
bereaksi	reagált	berreaksi	reagált	V;SG;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
bereaksi	reagálni	berreaksi	reagál	V;SG;ACT	V;NFIN;ACT
berkolaborasi	együttműködni	berkolaborasi	együtt+működik	V;SG;ACT	V;NFIN;ACT
pemulihan	fellendülés	penpulihan	fellendülés	N;SG	N;NOM;SG
pemulihan	hasznosítás	penpulihan	hasznosítás	N;SG	N;NOM;SG
pemulihan	gyógyulás	penpulihan	gyógyulás	N;SG	N;NOM;SG
pemulihan	gyógyítás	penpulihan	gyógyítás	N;SG	N;NOM;SG
pemulihan	gyógyulást	penpulihan	gyógyulás	N;SG	N;ACC;SG
pemulihan	gyógyulás	penpulihan	gyógyulás	N;SG	N;NOM;SG
katalog	katalógus	katalog	katalógus	N	N;NOM;SG
katalog	katalógusok	katalog	katalógus	N	N;NOM;PL
katalog	katalógus	katalog	katalógus	N	N;NOM;SG
katalog	katalógusok	katalog	katalógus	N	N;NOM;PL
katalog	katalógus	katalog	katalógus	N	N;NOM;SG
