категория	kategorie	категория	kategorie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
были	byly	быть	být	V;IPFV;IND;PL;PST;FIN;ACT	V;INAN;PL;POS;PST;V.PTCP;ACT
район	okolí	район	okolí	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
район	čtvrť	район	čtvrť	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
район	sousedství	район	sousedství	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
район	okres	район	okres	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
район	okrsek	район	okrsek	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
район	oblast	район	oblast	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
район	plocha	район	plocha	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
вид	druh	вид	druh	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
вид	zobrazení	вид	zobrazení	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
вид	výhled	вид	výhled	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
вид	pohled	вид	pohled	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
под	pod	под	pod	ADP	ADP;ACC
только	jen	только	jen	PART	PART
только	jenom	только	jenom	PART	PART
только	jen	только	jen	PART	PART
только	jenom	только	jenom	PART	PART
язык	jazyk	язык	jazyk	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
язык	jazyk	язык	jazyk	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
код	kód	код	kód	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
более	více	более	hodně	ADV;CMPR	ADV;CMPR;POS
более	víc	более	hodně	ADV;CMPR	ADV;CMPR;POS
мая	května	май	květen	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
дата	datum	дата	datum	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
дата	rande	дата	rande	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
ноября	listopadu	ноябрь	listopad	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
деревня	village	деревня	villaga	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
деревня	vesnice	деревня	vesnice	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
где	kde	где	kde	ADV	ADV
где	kam	где	kam	ADV	ADV
января	ledna	январь	leden	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
марта	března	март	březen	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
августа	srpna	август	srpen	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
октября	října	октябрь	říjen	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
статьи	předměty	статья	předmět	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
статьи	výrobky	статья	výrobek	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
статьи	články	статья	článek	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
уже	již	уже	již	ADV	ADV
уже	už	уже	už	ADV	ADV
июня	června	июнь	červen	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
апреля	dubna	апрель	duben	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
который	což	который	což	PRO;NOM	PRO;NOM
название	jméno	название	jméno	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
название	jmeno	название	jmeno	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;POS
название	name	название	můj	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;POS
название	název	название	název	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
название	nadpis	название	nadpis	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
название	titul	название	titul	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
название	název	название	název	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
поселение	vypořádání	поселение	vypořádání	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
поселение	zúčtování	поселение	zúčtování	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
поселение	vyrovnání	поселение	vyrovnání	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
поселение	urovnání	поселение	urovnání	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
человек	člověk	человек	člověk	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
человек	osoba	человек	osoba	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
человек	člověk	человек	člověk	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
человек	člověk	человек	člověk	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
человек	muž	человек	muž	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
лет	roků	год	rok	N;INAN;GEN;MASC;PL	N;INAN;GEN;MASC;PL;POS
лет	let	год	rok	N;INAN;GEN;MASC;PL	N;GEN;NEUT;PL;POS
февраля	února	февраль	únor	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
города	města	город	město	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL;POS
города	velkoměsta	город	velkoměsto	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL;POS
города	města	город	město	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL;POS
может	může	мочь	moci	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;POS;PRS;FIN;ACT
она	ona	она	on	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
войны	války	война	válka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
войны	války	война	válka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
когда	když	когда	když	CONJ	CONJ
которые	což	который	což	PRO;NOM	PRO;NOM
высота	výška	высота	výška	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
высота	výška	высота	výška	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
село	village	село	villaga	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
село	vesnice	село	vesnice	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
статья	článek	статья	článek	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
род	tyč	род	tyč	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
один	jedno	один	jeden	NUM;NOM;MASC	NUM;NOM;NEUT;SG
один	jeden	один	jeden	NUM;NOM;MASC	NUM;NOM;MASC;SG
один	jedna	один	jeden	NUM;NOM;MASC	NUM;NOM;FEM;SG
без	bez	без	bez	ADP	ADP;GEN
реки	řeky	река	řeka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
между	mezi	между	mezi	ADP	ADP;ACC
статус	stav	статус	stav	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
статус	status	статус	status	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
статус	postavení	статус	postavení	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
через	přes	через	přes	ADP	ADP;ACC
через	přes	через	přes	ADP	ADP;ACC
через	skrze	через	skrz	ADP	ADP;ACC
национальный	vnitrostátní	национальный	vnitrostátní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
национальный	celostátní	национальный	celostátní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
национальный	národní	национальный	národní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
область	provincie	область	provincie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
область	region	область	region	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
область	oblast	область	oblast	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
область	kraj	область	kraj	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
область	oblast	область	oblast	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
область	plocha	область	plocha	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
список	seznam	список	seznam	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
сайт	web	сайт	web	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
сайт	stránka	сайт	stránka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
сайт	lokalita	сайт	lokalita	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
века	staletí	век	století	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL;POS
официальный	oficiální	официальный	oficiální	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
официальный	úřední	официальный	úřední	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
часть	part	часть	part	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
часть	část	часть	část	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
против	proti	против	proti	ADP	ADP;DAT
этот	tento	этот	tento	DET;NOM;MASC;SG	DET;NOM;MASC;SG
этот	toto	этот	tento	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
этот	tohle	этот	tenhle	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
несколько	poměrně	несколько	poměrně	ADV	ADV;POS
несколько	poněkud	несколько	poněkud	ADV	ADV
город	město	город	město	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
город	městečko	город	městečko	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
город	město	город	město	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
мира	peace	мир	peace	N;INAN;GEN;MASC;SG	N;MASC;SG;POS
первое	první	первый	první	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
чем	než	чем	než	CONJ	CONJ
части	díly	часть	díl	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
части	části	часть	část	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
описание	popis	описание	popis	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
первый	první	первый	první	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
среди	mezi	среди	mezi	ADP	ADP;ACC
файл	spis	файл	spis	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
файл	soubor	файл	soubor	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
карты	karty	карта	karta	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
карты	vizitky	карта	vizitka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
карты	mapy	карта	mapa	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
два	dva	два	dva	NUM;NOM;MASC	NUM;NOM;MASC;PL
два	dvě	два	dva	NUM;NOM;MASC	NUM;NOM;PL
там	tam	там	tam	ADV	ADV
территории	teritoria	территория	teritorium	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL;POS
второй	druhé	второй	druhý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
второй	druhá	второй	druhý	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
второй	druhý	второй	druhý	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG
очень	velice	очень	velice	ADV	ADV
очень	velmi	очень	velmi	ADV	ADV
главы	kapitoly	глава	kapitola	N;ANIM;NOM;MASC;PL	N;NOM;FEM;PL;POS
карта	mapě	карта	mapa	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
карта	mapa	карта	mapa	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
карта	karta	карта	karta	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
карта	vizitka	карта	vizitka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
площадь	plaza	площадь	plaza	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
площадь	náměstí	площадь	náměstí	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
площадь	čtverec	площадь	čtverec	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
площадь	oblast	площадь	oblast	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
площадь	plocha	площадь	plocha	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
затем	pak	затем	pak	ADV	ADV
группы	skupiny	группа	skupina	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
группы	skupinky	группа	skupinka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
группы	skupiny	группа	skupina	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
основания	důvody	основание	důvod	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
размер	velikost	размер	velikost	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
имеет	má	иметь	mít	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;POS;PRS;FIN;ACT
поселения	osady	поселение	osada	N;INAN;NOM;NEUT;PL	N;NOM;FEM;PL;POS
почтовый	poštovní	почтовый	poštovní	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
над	přes	над	přes	ADP	ADP;ACC
индекс	index	индекс	index	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
индекс	rejstřík	индекс	rejstřík	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
улица	ulice	улица	ulice	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
население	obyvatelstvo	население	obyvatelstvo	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
население	demografie	население	demografie	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
население	obyvatelstvo	население	obyvatelstvo	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
население	populace	население	populace	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
имена	názvy	имя	název	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
имена	jména	имя	jméno	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
вместе	spolu	вместе	spolu	ADV	ADV
вместе	společně	вместе	společně	ADV	ADV;POS
вместе	dohromady	вместе	dohromady	ADV	ADV
упоминание	zmínka	упоминание	zmínka	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
здесь	zde	здесь	zde	ADV	ADV
здесь	tady	здесь	tady	ADV	ADV
истории	příběhy	история	příběh	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
истории	dějiny	история	dějiny	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
которая	což	который	což	PRO;NOM	PRO;NOM
армии	armáda	армия	armáda	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
армии	vojsko	армия	vojsko	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
деление	dělení	деление	dělení	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
деление	divize	деление	divize	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
деление	dělení	деление	dělení	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
деление	štěpení	деление	štěpení	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
хотя	ačkoliv	хотя	ačkoliv	CONJ	CONJ
хотя	ačkoli	хотя	ačkoliv	CONJ	CONJ
хотя	třebaže	хотя	třebaže	CONJ	CONJ
хотя	ačkoliv	хотя	ačkoliv	CONJ	CONJ
хотя	ačkoli	хотя	ačkoliv	CONJ	CONJ
кроме	kromě	кроме	kromě	ADP	ADP;GEN
игроки	hráči	игрок	hráč	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
другие	ostatní	другой	ostatní	ADJ;NOM;PL	ADJ;ANIM;NOM;MASC;PL;POS
другие	ostatní	другой	ostatní	ADJ;NOM;PL	ADJ;ANIM;NOM;MASC;PL;POS
другие	jiní	другой	jiný	ADJ;NOM;PL	ADJ;ANIM;NOM;MASC;PL;POS
получил	dostal	получить	dostat	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
история	story	история	story	N;INAN;NOM;FEM;SG	N;FEM;SG;POS
история	příběh	история	příběh	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
история	dějepis	история	dějepis	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
история	historie	история	historie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
себя	sebe	себя	se	PRO;ACC	PRO;ACC;REFL
фильм	film	фильм	film	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
фильм	film	фильм	film	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
рождения	zrození	рождение	zrození	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
рождения	narození	рождение	narození	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
рождения	porod	рождение	porod	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
пункты	položky	пункт	položka	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
пункты	předměty	пункт	předmět	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
пункты	odstavce	пункт	odstavec	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
либо	buď	либо	buď	CONJ	CONJ
участник	členka	участник	členka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
участник	poslanec	участник	poslanec	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
участник	člen	участник	člen	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
участник	účastník	участник	účastník	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
страница	strana	страница	strana	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
страница	stránka	страница	stránka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
участие	zapojení	участие	zapojení	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
участие	účast	участие	účast	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
участие	účasti	участие	účast	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
три	tři	три	tři	NUM;NOM	NUM;NOM;PL
автор	autor	автор	autor	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
автор	autorka	автор	autorka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
республики	republiky	республика	republika	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
внутреннее	vnitřní	внутренний	vnitřní	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
внутреннее	interní	внутренний	interní	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
внутреннее	vnitřní	внутренний	vnitřní	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
эти	tyto	этот	tento	DET;NOM;PL	DET;NOM;MASC;PL
эти	tyhle	этот	tenhle	DET;NOM;PL	DET;NOM;MASC;PL
статей	článků	статья	článek	N;INAN;GEN;FEM;PL	N;INAN;GEN;MASC;PL;POS
центр	centrum	центр	centrum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
центр	střed	центр	střed	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
центр	centrum	центр	centrum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
центр	středisko	центр	středisko	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
центр	střed	центр	střed	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
округ	hrabství	округ	hrabství	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
округ	okres	округ	okres	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
округ	okres	округ	okres	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
округ	okrsek	округ	okrsek	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
жизни	životy	жизнь	život	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
кто	kdo	кто	kdo	PRO;NOM	PRO;ANIM;NOM;MASC
связи	odkazy	связь	odkaz	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
день	den	день	den	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
период	období	период	období	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
община	společenství	община	společenství	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
община	komunita	община	komunita	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
община	obec	община	obec	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
индексы	indexy	индекс	index	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
индексы	indexy	индекс	index	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
группа	skupina	группа	skupina	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
имя	jméno	имя	jméno	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
имя	jmeno	имя	jmeno	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;POS
имя	name	имя	můj	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;POS
имя	název	имя	název	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
игры	hry	игра	hra	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
цифровой	digitální	цифровой	digitální	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
идентификатор	identifikátor	идентификатор	identifikátor	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
ширина	šířka	ширина	šířka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
просто	jen	просто	jen	PART	PART
просто	jenom	просто	jenom	PART	PART
регион	region	регион	region	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
регион	oblast	регион	oblast	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
регион	kraj	регион	kraj	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
тогда	pak	тогда	pak	ADV	ADV
работал	fungovalo	работать	fungovat	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT
работал	pracoval	работать	pracovat	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
церкви	církve	церковь	církev	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
церкви	kostel	церковь	kostel	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
церкви	církev	церковь	církev	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
клуб	klub	клуб	klub	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
наук	věd	наука	věda	N;INAN;GEN;FEM;PL	N;GEN;FEM;PL;POS
ввп	hdp	ввп	hdp	N;INAN;NOM;MASC;SG	N;INAN;MASC;POS
больше	více	больше	hodně	ADV;CMPR	ADV;CMPR;POS
больше	víc	больше	hodně	ADV;CMPR	ADV;CMPR;POS
изображения	obrázky	изображение	obrázek	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
изображения	obrazy	изображение	obraz	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
изображения	image	изображение	image	N;INAN;NOM;NEUT;PL	N;FEM;POS
советский	sovětská	советский	sovětský	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
советский	sovětský	советский	sovětský	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
степени	stupně	степень	stupeň	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
степени	tituly	степень	titul	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
степени	stupně	степень	stupeň	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
изображение	obrázek	изображение	obrázek	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
изображение	image	изображение	image	N;INAN;NOM;NEUT;SG	N;FEM;POS
изображение	obraz	изображение	obraz	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
награды	pocty	награда	pocta	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
награды	odměny	награда	odměna	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
ранее	předtím	ранее	předtím	ADV	ADV
ранее	předtím	ранее	předtím	ADV	ADV
википедия	wikipedie	википедия	wikipedie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
