kesan	впечатление	kesan	впечатление	N;SG	N;INDF;NEUT;SG
torpedo	торпедо	torpedo	торпедо	N	N;INDF;NEUT;SG
torpedo	торпедата	torpedo	торпеда	N	N;DEF;NEUT;PL
torpedo	торпеда	torpedo	торпед	N	N;INDF;NEUT;PL
busur	арк	busur	арк	N;SG	N;INDF;NEUT;SG
busur	дъга	busur	дъга	N;SG	N;INDF;FEM;SG
busur	поклон	busur	поклон	N;SG	N;INDF;MASC;SG
persenjataan	въоръжение	persenjataan	въоръжение	N;SG	N;INDF;NEUT;SG
kantong	джоб	kantong	джоб	N;SG	N;INDF;MASC;SG
kantong	джоба	kantong	джоб	N;SG	N;DEF;MASC;SG
kantong	сак	kantong	сак	N;SG	N;INDF;MASC;SG
kantong	чантата	kantong	чанта	N;SG	N;DEF;FEM;SG
kantong	торбичка	kantong	торбичка	N;SG	N;INDF;FEM;SG
kantong	чанта	kantong	чанта	N;SG	N;INDF;FEM;SG
kantong	торба	kantong	торба	N;SG	N;INDF;FEM;SG
kantong	торбичка	kantong	торбичка	N;SG	N;INDF;FEM;SG
kantong	кесия	kantong	кесия	N;SG	N;INDF;FEM;SG
kelayakan	допустимост	kelayakan	допустимост	N;SG	N;INDF;FEM;SG
fisikawan	физик	fisikawan	физик	N;MASC;SG	N;INDF;MASC;SG
depresi	депресия	depresi	депресия	N;SG	N;INDF;FEM;SG
pembaruan	подновяване	penbaruan	подновяване	N;SG	N;INDF;NEUT;SG
pembaruan	обновяване	penbaruan	обновяване	N;SG	N;INDF;NEUT;SG
pembaruan	актуализиране	penbaruan	актуализиране	N;SG	N;INDF;NEUT;SG
pembaruan	обновяване	penbaruan	обновяване	N;SG	N;INDF;NEUT;SG
pembaruan	актуализация	penbaruan	актуализация	N;SG	N;INDF;FEM;SG
pengecualian	изключение	pengecualian	изключение	N;SG	N;INDF;NEUT;SG
pengecualian	изключване	pengecualian	изключване	N;SG	N;INDF;NEUT;SG
sintesis	синтез	sintesis	синтез	N;SG	N;INDF;MASC;SG
keterlibatan	ангажимент	keterlibatan	ангажимент	N;SG	N;INDF;MASC;SG
keterlibatan	годежът	keterlibatan	годеж	N;SG	N;DEF;MASC;SG
keterlibatan	годежа	keterlibatan	годеж	N;SG	N;INDF;FEM;SG
keterlibatan	годеж	keterlibatan	годеж	N;SG	N;INDF;MASC;SG
keterlibatan	ангажиране	keterlibatan	ангажиране	N;SG	N;INDF;NEUT;SG
keterlibatan	участие	keterlibatan	участие	N;SG	N;INDF;NEUT;SG
keterlibatan	съучастие	keterlibatan	съучастие	N;SG	N;INDF;NEUT;SG
keterlibatan	съучастничество	keterlibatan	съучастничество	N;SG	N;INDF;NEUT;SG
tendangan	шут	tendangan	шут	N;SG	N;INDF;MASC;SG
tendangan	ритник	tendangan	ритник	N;SG	N;INDF;MASC;SG
enak	вкусен	enak	вкусен	ADJ;SG	ADJ;INDF;MASC;SG
enak	вкусна	enak	вкусен	ADJ;SG	ADJ;INDF;FEM;SG
kesimpulan	заключение	kesimpulan	заключение	N;SG	N;INDF;NEUT;SG
kesimpulan	извод	kesimpulan	извод	N;SG	N;INDF;MASC;SG
menyembuhkan	лекува	mensembuhkan	лекувам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
menyembuhkan	излекува	mensembuhkan	излекувам	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
kebijaksanaan	дискретност	kebijaksanaan	дискретност	N;SG	N;INDF;FEM;SG
kebijaksanaan	мъдростта	kebijaksanaan	мъдрост	N;SG	N;DEF;FEM;SG
kebijaksanaan	мъдрост	kebijaksanaan	мъдрост	N;SG	N;INDF;FEM;SG
striker	нападател	striker	нападател	N;SG	N;INDF;MASC;SG
striker	страйкър	striker	страйкър	N;SG	N;INDF;MASC;SG
ringkasan	резюме	ringkasan	резю	N;SG	N;INDF;MASC;SG
ringkasan	обобщение	ringkasan	обобщение	N;SG	N;INDF;NEUT;SG
perkemahan	лагер	perkemahan	лагер	N	N;INDF;MASC;SG
perkemahan	лагери	perkemahan	лагер	N	N;INDF;MASC;PL
perkemahan	лагерите	perkemahan	лагер	N	N;DEF;MASC;PL
persemakmuran	федерация	persemakmuran	федерация	N	N;INDF;FEM;SG
persemakmuran	федерацията	persemakmuran	федерация	N	N;DEF;FEM;SG
pemujaan	култ	penpujaan	култ	N;SG	N;INDF;MASC;SG
pemujaan	секта	penpujaan	сект	N;SG	N;INDF;FEM;SG
survey	проучване	survey	проучване	N	N;INDF;NEUT;SG
survey	анкета	survey	анкета	N	N;INDF;FEM;SG
survey	изследване	survey	изследване	N	N;INDF;NEUT;SG
diperluas	разширена	diperluas	разширя-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
diperluas	разширен	diperluas	разширя-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diperluas	разширено	diperluas	разширя-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
diperluas	разширена	diperluas	разширя-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
diperluas	удължен	diperluas	удължа	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diperluas	разширен	diperluas	разширя-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
diperluas	разширено	diperluas	разширя-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
terganggu	прекъсната	terganggu	прекъсна-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
terganggu	прекъснато	terganggu	прекъсна-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
terganggu	нарушен	terganggu	наруша-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terganggu	обезпокоен	terganggu	обезпокоен	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terganggu	нарушено	terganggu	наруша-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
terganggu	раздразнен	terganggu	раздразня-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
kutukan	проклятието	kutukan	проклятие	N;SG	N;DEF;NEUT;SG
kutukan	проклятие	kutukan	проклятие	N;SG	N;INDF;NEUT;SG
temuan	откритие	temuan	откритие	N;SG	N;INDF;NEUT;SG
temuan	разкритие	temuan	разкритие	N;SG	N;INDF;NEUT;SG
temuan	дискавъри	temuan	дискавър	N;SG	N;INDF;MASC;SG
temuan	откриване	temuan	откриване	N;SG	N;INDF;NEUT;SG
pentas	стадий	pentas	стадий	N	N;INDF;MASC;SG
pentas	сцена	pentas	сцена	N	N;INDF;FEM;SG
pentas	етап	pentas	етап	N	N;INDF;MASC;SG
pentas	сцената	pentas	сцена	N	N;DEF;FEM;SG
antarmuka	интерфейс	antarmuka	интерфейс	N;SG	N;INDF;MASC;SG
antarmuka	интерфейса	antarmuka	интерфейс	N;SG	N;DEF;MASC;SG
petang	вечер	petang	вечер	N;SG	N;INDF;FEM;SG
petang	вечерта	petang	вечер	N;SG	N;DEF;FEM;SG
diagram	диаграма	diagram	диаграма	N;SG	N;INDF;FEM;SG
diagram	диаграма	diagram	диаграма	N;SG	N;INDF;FEM;SG
diagram	картона	diagram	картон	N;SG	N;DEF;MASC;SG
elektro	електро	elektro	електро	N;SG	N;INDF;MASC;SG
sandi	парола	sandi	парол	N;SG	N;INDF;FEM;SG
sandi	паролата	sandi	парола	N;SG	N;DEF;FEM;SG
sandi	шифър	sandi	шифър	N;SG	N;INDF;MASC;SG
administrator	администратор	administrator	администратор	N;SG	N;INDF;MASC;SG
mewarisi	наследява	menwarisi	наследявам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
mewarisi	наследи	menwarisi	наследя	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
mewarisi	наследил	menwarisi	наследя	V;SG;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
kental	вискозна	kental	вискозен	ADJ;SG	ADJ;INDF;FEM;SG
susah	твърд	susah	твърд	ADJ;SG	ADJ;INDF;MASC;SG
susah	труден	susah	труден	ADJ;SG	ADJ;INDF;MASC;SG
susah	трудна	susah	труден	ADJ;SG	ADJ;INDF;FEM;SG
dilepaskan	освободена	dilepaskan	освободя-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
dilepaskan	освободен	dilepaskan	освободя-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dilepaskan	отделена	dilepaskan	отделя-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
penomoran	номериране	pennomoran	номериране	N;SG	N;INDF;NEUT;SG
adventure	приключението	adventure	приключение	N	N;DEF;NEUT;SG
adventure	авантюра	adventure	авантюра	N	N;INDF;FEM;SG
adventure	приключения	adventure	приключение	N	N;INDF;NEUT;PL
adventure	приключение	adventure	приключение	N	N;INDF;NEUT;SG
ketegangan	напрежение	ketegangan	напрежение	N;SG	N;INDF;NEUT;SG
ketegangan	напрежение	ketegangan	напрежение	N;SG	N;INDF;NEUT;SG
petir	гръм	petir	гръм	N;SG	N;INDF;MASC;SG
petir	гръмотевица	petir	гръмотевица	N;SG	N;INDF;FEM;SG
petir	светкавица	petir	светкавица	N;SG	N;INDF;FEM;SG
petir	мълния	petir	мълния	N;SG	N;INDF;FEM;SG
menantang	предизвика	mentantang	предизвикам	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
desainer	дизайнер	desainer	дизайнер	N;SG	N;INDF;MASC;SG
kecerdasan	интелигентност	kecerdasan	интелигентност	N;SG	N;INDF;FEM;SG
kecerdasan	разузнаване	kecerdasan	разузнаване	N;SG	N;INDF;NEUT;SG
kecerdasan	интелект	kecerdasan	интелект	N;SG	N;INDF;MASC;SG
kecerdasan	интелект	kecerdasan	интелект	N;SG	N;INDF;MASC;SG
modul	модул	modul	модул	N;SG	N;INDF;MASC;SG
kecewa	разстроен	kecewa	разстроя-(се)	ADJ;SG	ADJ;INDF;MASC;SG
kecewa	недоволен	kecewa	недоволен	ADJ;SG	ADJ;INDF;MASC;SG
kecewa	недоволна	kecewa	недоволен	ADJ;SG	ADJ;INDF;FEM;SG
vandalisme	вандализъм	vandalisme	вандализъм	N;SG	N;INDF;MASC;SG
tinju	бокс	tinju	бокс	N;SG	N;INDF;MASC;SG
tinju	бокса	tinju	бокса	N;SG	N;DEF;MASC;SG
tinju	юмрук	tinju	юмрук	N;SG	N;INDF;MASC;SG
diwakili	представена	diwakili	представя-(се)	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
manufaktur	производителите	manufaktur	производител	N	N;DEF;MASC;PL
manufaktur	производители	manufaktur	производител	N	N;INDF;MASC;PL
manufaktur	производство	manufaktur	производство	N	N;INDF;NEUT;SG
manufaktur	производител	manufaktur	производител	N	N;INDF;MASC;SG
potret	портрет	potret	портрет	N;SG	N;INDF;MASC;SG
potret	портретът	potret	портрет	N;SG	N;DEF;MASC;SG
propaganda	пропаганда	propaganda	пропаганда	N;SG	N;INDF;FEM;SG
mempercepat	ускори	menpercepat	ускоря	V;SG;ACT	V;PFV;IMP;SG;2;PST;FIN
mempercepat	ускорява	menpercepat	ускорявам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
geng	банда	geng	банда	N;SG	N;INDF;FEM;SG
suster	сестри	suster	сестра	N	N;INDF;FEM;PL
suster	сестра	suster	сестра	N	N;INDF;FEM;SG
suster	сестра	suster	сестра	N	N;INDF;FEM;SG
fighter	борец	fighter	борец	N	N;INDF;MASC;SG
fighter	боец	fighter	боец	N	N;INDF;MASC;SG
fighter	изтребител	fighter	изтребител	N	N;INDF;MASC;SG
geometri	геометрията	geometri	геометрия	N	N;DEF;FEM;SG
geometri	геометрия	geometri	геометрия	N	N;INDF;FEM;SG
kelainan	аномалия	kelainan	аномалия	N;SG	N;INDF;FEM;SG
kelainan	деформация	kelainan	деформация	N;SG	N;INDF;FEM;SG
gaji	заплатата	gaji	заплата	N;SG	N;DEF;FEM;SG
gaji	заплата	gaji	заплата	N;SG	N;INDF;FEM;SG
diarahkan	насочено	diarahkan	насоча-(се)	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
diarahkan	пренасочен	diarahkan	пренасоча	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
lada	пепър	lada	пепър	N;SG	N;INDF;MASC;SG
lada	чушка	lada	чушка	N;SG	N;INDF;FEM;SG
lada	пипер	lada	пипер	N;SG	N;INDF;MASC;SG
lada	лада	lada	ладам-(се)	N;SG	N;INDF;FEM;SG
pengurangan	намаление	penkurangan	намаление	N;SG	N;INDF;NEUT;SG
pengurangan	намаляване	penkurangan	намаляване	N;SG	N;INDF;NEUT;SG
pengurangan	редуциране	penkurangan	редуциране	N;SG	N;INDF;NEUT;SG
pengurangan	редукция	penkurangan	редукция	N;SG	N;INDF;FEM;SG
direbut	заловен	direbut	заловя-(се)	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
direbut	пленен	direbut	пленен	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
direbut	уловен	direbut	уловен	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
menyumbangkan	допринесе	mensumbangkan	допринеса	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
anggun	елегантен	anggun	елегантен	ADJ;SG	ADJ;INDF;MASC;SG
anggun	елегантна	anggun	елегантен	ADJ;SG	ADJ;INDF;FEM;SG
inspektur	инспекторе	inspektur	инспекторе	N	N;INDF;MASC;SG
inspektur	инспектор	inspektur	инспектор	N	N;INDF;MASC;SG
genetika	генетиката	genetika	генетика	N;SG	N;DEF;FEM;SG
genetika	генетика	genetika	генетика	N;SG	N;INDF;FEM;SG
globalisasi	глобализацията	globalisasi	глобализация	N	N;DEF;FEM;SG
sedan	седан	sedan	седан	N;SG	N;INDF;MASC;SG
sedan	кръчма	sedan	кръчма	N;SG	N;INDF;FEM;SG
sedan	салон	sedan	салон	N;SG	N;INDF;MASC;SG
sedan	кръчмата	sedan	кръчма	N;SG	N;DEF;FEM;SG
identifikasi	идентифициране	identifikasi	идентифициране	N;SG	N;INDF;NEUT;SG
identifikasi	идентификация	identifikasi	идентификация	N;SG	N;INDF;FEM;SG
identifikasi	идентифициране	identifikasi	идентифициране	N;SG	N;INDF;NEUT;SG
kebahagiaan	блаженството	kebahagiaan	блаженство	N;SG	N;DEF;NEUT;SG
kebahagiaan	блаженство	kebahagiaan	блаженство	N;SG	N;INDF;NEUT;SG
kebahagiaan	щастие	kebahagiaan	щастие	N;SG	N;INDF;NEUT;SG
kebahagiaan	щастието	kebahagiaan	щастие	N;SG	N;DEF;NEUT;SG
dilatih	обучен	dilatih	обуча	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dilatih	трениран	dilatih	тренирам	V;SG;PASS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
dilatih	обучена	dilatih	обуча	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
terintegrasi	интегриран	terintegrasi	интегрирам	V;SG;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
terintegrasi	интегрирано	terintegrasi	интегрирам	V;SG;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
terintegrasi	интегрирана	terintegrasi	интегрирам	V;SG;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
script	сценарии	script	сценарий	N	N;INDF;MASC;PL
script	сценарий	script	сценарий	N	N;INDF;MASC;SG
script	сценарии	script	сценарий	N	N;INDF;MASC;PL
komitmen	ангажимент	komitmen	ангажимент	N;SG	N;INDF;MASC;SG
komitmen	отдаденост	komitmen	отдаденост	N;SG	N;INDF;FEM;SG
komitmen	ангажираност	komitmen	ангажираност	N;SG	N;INDF;FEM;SG
komitmen	обвързване	komitmen	обвързване	N;SG	N;INDF;NEUT;SG
komitmen	задължение	komitmen	задължение	N;SG	N;INDF;NEUT;SG
kentang	картоф	kentang	картоф	N;SG	N;INDF;MASC;SG
nutrisi	храненето	nutrisi	хранене	N;SG	N;DEF;NEUT;SG
nutrisi	хранене	nutrisi	хранене	N;SG	N;INDF;NEUT;SG
meletus	изригва	menletus	изригвам	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
icao	икао	icao	икао	N	N;INDF;NEUT;SG
