категория	類別	категория	類別	N;INDF;FEM;SG	N
окръг	區	окръг	區	N;INDF;MASC;SG	N
окръг	地區	окръг	地區	N;INDF;MASC;SG	N
смъртта	死神	смърт	死神	N;DEF;FEM;SG	N
вижте	見	видя-(се)	見	V;PFV;IMP;PL;2;FIN	V
едно	一	един	一	NUM;INDF;NEUT;SG	NUM
едно	一	един	一	NUM;INDF;NEUT;SG	NUM
отново	再次	отново	再次	ADV	ADV
член	會員	член	會員	N;INDF;MASC;SG	N
член	成員	член	成員	N;INDF;MASC;SG	N
височина	海拔	височина	海拔	N;INDF;FEM;SG	N
височина	高度	височина	高度	N;INDF;FEM;SG	N
височина	海拔	височина	海拔	N;INDF;FEM;SG	N
височина	身高	височина	身高	N;INDF;FEM;SG	N
височина	高度	височина	高度	N;INDF;FEM;SG	N
дъщеря	女兒	дъщеря	女兒	N;INDF;FEM;SG	N
система	系統	система	系統	N;INDF;FEM;SG	N
нея	她	аз	她	PRO;ACC;FEM;SG;3	PRO;3
училище	學校	училище	學校	N;INDF;NEUT;SG	N
света	世界	свят	世界	N;DEF;MASC;SG	N
села	鄉村	село	鄉村	N;INDF;NEUT;PL	N
села	村	село	村	N;INDF;NEUT;PL	N
филми	影片	филм	影片	N;INDF;MASC;PL	N
филми	電影	филм	電影	N;INDF;MASC;PL	N
умира	垂死	умирам	垂死	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
всеки	大家	всеки	大家	PRO;NOM;MASC;SG	PRO
части	部件	част	部件	N;INDF;FEM;PL	N
баща	父親	баща	父親	N;INDF;MASC;SG	N
баща	神父	баща	神父	N;INDF;MASC;SG	N
баща	父	баща	父	N;INDF;MASC;SG	N
нова	新	нов	新	ADJ;INDF;FEM;SG	ADJ
крал	國王	крал	國王	N;INDF;MASC;SG	N
армия	集團	армия	集團	N;INDF;FEM;SG	N
армия	軍隊	армия	軍隊	N;INDF;FEM;SG	N
армия	軍	армия	軍	N;INDF;FEM;SG	N
армия	陸軍	армия	陸軍	N;INDF;FEM;SG	N
църква	教會	църква	教會	N;INDF;FEM;SG	N
църква	教堂	църква	教堂	N;INDF;FEM;SG	N
времето	天氣	време	天氣	N;DEF;NEUT;SG	N
времето	氣象	време	氣象	N;DEF;NEUT;SG	N
времето	時光	време	時光	N;DEF;NEUT;SG	N
времето	時間	време	時間	N;DEF;NEUT;SG	N
места	地方	място	地方	N;INDF;NEUT;PL	N
места	地點	място	地點	N;INDF;NEUT;PL	N
места	席位	място	席位	N;INDF;NEUT;PL	N
места	座位	място	座位	N;INDF;NEUT;PL	N
период	期間	период	期間	N;INDF;MASC;SG	N
резултат	成果	резултат	成果	N;INDF;MASC;SG	N
резултат	結果	резултат	結果	N;INDF;MASC;SG	N
резултат	分數	резултат	分數	N;INDF;MASC;SG	N
резултат	得分	резултат	得分	N;INDF;MASC;SG	N
резултат	結果	резултат	結果	N;INDF;MASC;SG	N
данни	資料	данна	資料	N;INDF;FEM;PL	N
картинка	照片	картинка	照片	N;INDF;FEM;SG	N
картинка	圖片	картинка	圖片	N;INDF;FEM;SG	N
картинка	影象	картинка	影象	N;INDF;FEM;SG	N
картинка	影像	картинка	影像	N;INDF;FEM;SG	N
картинка	圖片	картинка	圖片	N;INDF;FEM;SG	N
родени	生	родя-(се)	生	V;PFV;INDF;PL;V.PTCP;PASS	V
родени	誕生	родя-(се)	誕生	V;PFV;INDF;PL;V.PTCP;PASS	V
родени	出生	родя-(се)	出生	V;PFV;INDF;PL;V.PTCP;PASS	V
играе	玩	играя	玩	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
играе	播放	играя	播放	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
играе	播放	играя	播放	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
играе	玩	играя	玩	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
играе	播放	играя	播放	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
живот	生命	живот	生命	N;INDF;MASC;SG	N
живот	人生	живот	人生	N;INDF;MASC;SG	N
император	皇帝	император	皇帝	N;INDF;MASC;SG	N
император	天皇	император	天皇	N;INDF;MASC;SG	N
църквата	教會	църква	教會	N;DEF;FEM;SG	N
църквата	教堂	църква	教堂	N;DEF;FEM;SG	N
ден	白天	ден	白天	N;INDF;MASC;SG	N
жени	婦女	жена	婦女	N;INDF;FEM;PL	N
жени	女性	жена	女性	N;INDF;FEM;PL	N
известен	著名	известен	著名	ADJ;INDF;MASC;SG	ADJ
води	領先	водя	領先	V;IPFV;IMP;SG;2;FIN	V
води	帶頭	водя	帶頭	V;IPFV;IMP;SG;2;FIN	V
тогава	然後	тогава	然後	ADV	ADV
тогава	那麼	тогава	那麼	ADV	ADV
род	屬	род	屬	N;INDF;MASC;SG	N
род	杖	род	杖	N;INDF;MASC;SG	N
филм	電影	филм	電影	N;INDF;MASC;SG	N
филм	影片	филм	影片	N;INDF;MASC;SG	N
филм	電影	филм	電影	N;INDF;MASC;SG	N
филм	膠片	филм	膠片	N;INDF;MASC;SG	N
филм	影片	филм	影片	N;INDF;MASC;SG	N
шаблон	樣板	шаблон	樣板	N;INDF;MASC;SG	N
шаблон	模板	шаблон	模板	N;INDF;MASC;SG	N
почти	幾乎	почти	幾乎	ADV	ADV
страни	國家	страна	國家	N;INDF;FEM;PL	N
страни	各國	страна	各國	N;INDF;FEM;PL	N
площ	面積	площ	面積	N;INDF;FEM;SG	N
площ	地區	площ	地區	N;INDF;FEM;SG	N
площ	區域	площ	區域	N;INDF;FEM;SG	N
площ	區	площ	區	N;INDF;FEM;SG	N
острови	群島	островя-(се)	群島	N;INDF;FEM;PL	N
острови	島嶼	островя-(се)	島嶼	N;INDF;FEM;PL	N
код	密碼	код	密碼	N;INDF;MASC;SG	N
код	編碼	код	編碼	N;INDF;MASC;SG	N
код	碼	код	碼	N;INDF;MASC;SG	N
държава	國家	държава	國家	N;INDF;FEM;SG	N
държава	國家	държава	國家	N;INDF;FEM;SG	N
държава	州	държава	州	N;INDF;FEM;SG	N
дата	日期	дата	日期	N;INDF;FEM;SG	N
дата	約會	дата	約會	N;INDF;FEM;SG	N
обикновено	通常	обикновено	通常	ADV	ADV
обикновено	通常	обикновено	通常	ADV	ADV
деца	小孩	дете	小孩	N;INDF;NEUT;PL	N
деца	兒童	дете	兒童	N;INDF;NEUT;PL	N
сили	權力	сила	權力	N;INDF;FEM;PL	N
дължина	長度	дължина	長度	N;INDF;FEM;SG	N
дължина	經度	дължина	經度	N;INDF;FEM;SG	N
албум	相簿	албум	相簿	N;INDF;MASC;SG	N
албум	專輯	албум	專輯	N;INDF;MASC;SG	N
дни	日子	ден	日子	N;INDF;MASC;PL	N
дни	天數	ден	天數	N;INDF;MASC;PL	N
съюз	聯盟	съюз	聯盟	N;INDF;MASC;SG	N
съюз	工會	съюз	工會	N;INDF;MASC;SG	N
съюз	聯盟	съюз	聯盟	N;INDF;MASC;SG	N
съюз	同盟	съюз	同盟	N;INDF;MASC;SG	N
партия	黨	партия	黨	N;INDF;FEM;SG	N
партия	政黨	партия	政黨	N;INDF;FEM;SG	N
партия	宴會	партия	宴會	N;INDF;FEM;SG	N
партия	聚會	партия	聚會	N;INDF;FEM;SG	N
политик	政客	политик	政客	N;INDF;MASC;SG	N
политик	政治	политик	政治	N;INDF;MASC;SG	N
брат	弟弟	брат	弟弟	N;INDF;MASC;SG	N
брат	師兄	брат	師兄	N;INDF;MASC;SG	N
брат	哥哥	брат	哥哥	N;INDF;MASC;SG	N
брат	兄弟	брат	兄弟	N;INDF;MASC;SG	N
работа	工作	работа	工作	N;INDF;FEM;SG	N
работа	工作	работа	工作	N;INDF;FEM;SG	N
голове	目標	гол	目標	N;INDF;MASC;PL	N
остров	海島	остров	海島	N;INDF;MASC;SG	N
остров	島嶼	остров	島嶼	N;INDF;MASC;SG	N
председател	總統	председател	總統	N;INDF;MASC;SG	N
председател	主席	председател	主席	N;INDF;MASC;SG	N
председател	主席	председател	主席	N;INDF;MASC;SG	N
председател	主席	председател	主席	N;INDF;MASC;SG	N
среща	日期	среща	日期	N;INDF;FEM;SG	N
среща	約會	среща	約會	N;INDF;FEM;SG	N
среща	會議	среща	會議	N;INDF;FEM;SG	N
групи	樂隊	група	樂隊	N;INDF;FEM;PL	N
групи	群組	група	群組	N;INDF;FEM;PL	N
групи	團體	група	團體	N;INDF;FEM;PL	N
информация	資訊	информация	資訊	N;INDF;FEM;SG	N
нови	新	нов	新	ADJ;INDF;PL	ADJ
включва	包括	включвам-(се)	包括	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
пъти	折疊	път	折疊	N;MASC	N
пъти	疊	път	疊	N;MASC	N
пъти	摺疊	път	摺疊	N;MASC	N
пъти	時代	път	時代	N;MASC	N
пъти	時報	път	時報	N;MASC	N
писател	作家	писател	作家	N;INDF;MASC;SG	N
писател	作者	писател	作者	N;INDF;MASC;SG	N
писател	編劇	писател	編劇	N;INDF;MASC;SG	N
херцог	公爵	херцог	公爵	N;INDF;MASC;SG	N
министър	大臣	министър	大臣	N;INDF;MASC;SG	N
министър	部長	министър	部長	N;INDF;MASC;SG	N
цел	目標	цел	目標	N;INDF;FEM;SG	N
цел	目標	цел	目標	N;INDF;FEM;SG	N
цел	目標	цел	目標	N;INDF;FEM;SG	N
войната	戰	война	戰	N;DEF;FEM;SG	N
войната	戰爭	война	戰爭	N;DEF;FEM;SG	N
море	海邊	море	海邊	N;INDF;NEUT;SG	N
море	大海	море	大海	N;INDF;NEUT;SG	N
море	海上	море	海上	N;INDF;NEUT;SG	N
море	海	море	海	N;INDF;NEUT;SG	N
отбора	團隊	отбор	團隊	N;DEF;MASC;SG	N
отбора	球隊	отбор	球隊	N;DEF;MASC;SG	N
отбора	隊伍	отбор	隊伍	N;DEF;MASC;SG	N
списък	名單	списък	名單	N;INDF;MASC;SG	N
списък	清單	списък	清單	N;INDF;MASC;SG	N
историята	歷史	история	歷史	N;DEF;FEM;SG	N
брой	數	брой	數	N;INDF;MASC;SG	N
брой	伯爵	брой	伯爵	N;INDF;MASC;SG	N
брой	數數	брой	數數	N;INDF;MASC;SG	N
брой	計數	брой	計數	N;INDF;MASC;SG	N
брой	數字	брой	數字	N;INDF;MASC;SG	N
брой	數	брой	數	N;INDF;MASC;SG	N
брой	號碼	брой	號碼	N;INDF;MASC;SG	N
брой	編號	брой	編號	N;INDF;MASC;SG	N
култура	文化	култура	文化	N;INDF;FEM;SG	N
всяка	每個	всеки	每個	DET;FEM;SG	DET
всяка	每	всеки	每	DET;FEM;SG	DET
всяка	每個	всеки	每個	DET;FEM;SG	DET
същата	相同	същ	相同	ADJ;DEF;FEM;SG	ADJ
известни	著名	известен	著名	ADJ;INDF;PL	ADJ
степен	等級	степен	等級	N;INDF;FEM;SG	N
степен	年級	степен	年級	N;INDF;FEM;SG	N
степен	度	степен	度	N;INDF;FEM;SG	N
степен	程度	степен	程度	N;INDF;FEM;SG	N
степен	學位	степен	學位	N;INDF;FEM;SG	N
територията	領地	територия	領地	N;DEF;FEM;SG	N
територията	領土	територия	領土	N;DEF;FEM;SG	N
регион	區域	регион	區域	N;INDF;MASC;SG	N
повечето	大多	повече	大多	ADV;DEF;PL	ADV
повечето	大	повече	大	ADV;DEF;PL	ADV
редактор	編輯	редактор	編輯	N;INDF;MASC;SG	N
разположен	位	разположа-(се)	位	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V
организация	組織	организация	組織	N;INDF;FEM;SG	N
организация	組織	организация	組織	N;INDF;FEM;SG	N
договор	合同	договор	合同	N;INDF;MASC;SG	N
договор	合約	договор	合約	N;INDF;MASC;SG	N
договор	條約	договор	條約	N;INDF;MASC;SG	N
север	北方	север	北方	N;INDF;MASC;SG	N
север	北	север	北	N;INDF;MASC;SG	N
север	北部	север	北部	N;INDF;MASC;SG	N
изток	東	изток	東	N;INDF;MASC;SG	N
изток	東部	изток	東部	N;INDF;MASC;SG	N
изток	東方	изток	東方	N;INDF;MASC;SG	N
изток	東區	изток	東區	N;INDF;MASC;SG	N
изток	東方	изток	東方	N;INDF;MASC;SG	N
изток	東部	изток	東部	N;INDF;MASC;SG	N
четири	四	четири	四	NUM;INDF;PL	NUM
четири	四	четири	四	NUM;INDF;PL	NUM
четири	四	четири	四	NUM;INDF;PL	NUM
особено	尤其	особено	尤其	ADV	ADV
особено	尤其	особено	尤其	ADV	ADV
разположено	位	разположа-(се)	位	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V
човек	人類	човек	人類	N;INDF;MASC;SG	N
човек	人	човек	人	N;INDF;MASC;SG	N
човек	男人	човек	男人	N;INDF;MASC;SG	N
треньор	教練	треньор	教練	N;INDF;MASC;SG	N
отбори	團隊	отбор	團隊	N;INDF;MASC;PL	N
отбори	球隊	отбор	球隊	N;INDF;MASC;PL	N
отбори	隊伍	отбор	隊伍	N;INDF;MASC;PL	N
статии	文章	статия	文章	N;INDF;FEM;PL	N
управление	施政	управление	施政	N;INDF;NEUT;SG	N
управление	治理	управление	治理	N;INDF;NEUT;SG	N
литература	文獻	литература	文獻	N;INDF;FEM;SG	N
литература	文學	литература	文學	N;INDF;FEM;SG	N
дейност	動態	дейност	動態	N;INDF;FEM;SG	N
дейност	活動	дейност	活動	N;INDF;FEM;SG	N
цар	國王	цар	國王	N;INDF;MASC;SG	N
цар	沙皇	цар	沙皇	N;INDF;MASC;SG	N
хората	人	хора	人	N;DEF	N
хората	人民	хора	人民	N;DEF	N
видове	魚種	вид	魚種	N;INDF;MASC;PL	N
видове	物種	вид	物種	N;INDF;MASC;PL	N
видове	類型	вид	類型	N;INDF;MASC;PL	N
власт	電力	власт	電力	N;INDF;FEM;SG	N
власт	電源	власт	電源	N;INDF;FEM;SG	N
власт	動力	власт	動力	N;INDF;FEM;SG	N
власт	權力	власт	權力	N;INDF;FEM;SG	N
живота	生命	живот	生命	N;DEF;MASC;SG	N
живота	人生	живот	人生	N;DEF;MASC;SG	N
тип	型態	тип	型態	N;INDF;MASC;SG	N
тип	類型	тип	類型	N;INDF;MASC;SG	N
изчезване	絕種	изчезване	絕種	N;INDF;NEUT;SG	N
шампион	冠軍	шампион	冠軍	N;INDF;MASC;SG	N
шампион	冠軍	шампион	冠軍	N;INDF;MASC;SG	N
съвет	安理	съвет	安理	N;INDF;MASC;SG	N
свързани	相關	свържа	相關	V;PFV;INDF;PL;V.PTCP;PASS	V
кръг	圓形	кръг	圓形	N;INDF;MASC;SG	N
кръг	圓圈	кръг	圓圈	N;INDF;MASC;SG	N
кръг	迴圈	кръг	迴圈	N;INDF;MASC;SG	N
кръг	圈	кръг	圈	N;INDF;MASC;SG	N
кръг	輪	кръг	輪	N;INDF;MASC;SG	N
майка	母后	майка	母后	N;INDF;FEM;SG	N
майка	母親	майка	母親	N;INDF;FEM;SG	N
карта	地圖	карта	地圖	N;INDF;FEM;SG	N
карта	名片	карта	名片	N;INDF;FEM;SG	N
карта	紙牌	карта	紙牌	N;INDF;FEM;SG	N
карта	卡片	карта	卡片	N;INDF;FEM;SG	N
нов	新	нов	新	ADJ;INDF;MASC;SG	ADJ
песни	歌曲	песен	歌曲	N;INDF;FEM;PL	N
песни	歌	песен	歌	N;INDF;FEM;PL	N
политика	政策	политика	政策	N;INDF;FEM;SG	N
политика	政治	политика	政治	N;INDF;FEM;SG	N
политика	政治	политика	政治	N;INDF;FEM;SG	N
стара	舊	стар	舊	ADJ;INDF;FEM;SG	ADJ
форма	形狀	форма	形狀	N;INDF;FEM;SG	N
форма	形式	форма	形式	N;INDF;FEM;SG	N
форма	表格	форма	表格	N;INDF;FEM;SG	N
семейството	家人	семейство	家人	N;DEF;NEUT;SG	N
семейството	家屬	семейство	家屬	N;DEF;NEUT;SG	N
семейството	家庭	семейство	家庭	N;DEF;NEUT;SG	N
съпруга	妻子	съпруга	妻子	N;INDF;FEM;SG	N
район	區域	район	區域	N;INDF;MASC;SG	N
район	區	район	區	N;INDF;MASC;SG	N
район	地區	район	地區	N;INDF;MASC;SG	N
район	面積	район	面積	N;INDF;MASC;SG	N
район	地區	район	地區	N;INDF;MASC;SG	N
район	區域	район	區域	N;INDF;MASC;SG	N
район	區	район	區	N;INDF;MASC;SG	N
музика	音樂	музика	音樂	N;INDF;FEM;SG	N
първенство	錦標	първенство	錦標	N;INDF;NEUT;SG	N
първенство	錦標	първенство	錦標	N;INDF;NEUT;SG	N
манастир	寺院	манастир	寺院	N;INDF;MASC;SG	N
файл	文件	файл	文件	N;INDF;MASC;SG	N
файл	檔案	файл	檔案	N;INDF;MASC;SG	N
награди	獎勵	награда	獎勵	N;INDF;FEM;PL	N
награди	獎勵	награда	獎勵	N;INDF;FEM;PL	N
награди	獎	награда	獎	N;INDF;FEM;PL	N
награди	獎品	награда	獎品	N;INDF;FEM;PL	N
помощ	援助	помощ	援助	N;INDF;FEM;SG	N
вода	水	вода	水	N;INDF;FEM;SG	N
първоначално	原本	първоначално	原本	ADV	ADV
свят	世界	свят	世界	N;INDF;MASC;SG	N
скоро	很快	скоро	很快	ADV	ADV
войски	部隊	войска	部隊	N;INDF;FEM;PL	N
стил	樣式	стил	樣式	N;INDF;MASC;SG	N
стил	風格	стил	風格	N;INDF;MASC;SG	N
избран	選取	избера	選取	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V
запад	西邊	запад	西邊	N;INDF;MASC;SG	N
запад	西	запад	西	N;INDF;MASC;SG	N
запад	西部	запад	西部	N;INDF;MASC;SG	N
революционер	革命	революционер	革命	N;INDF;MASC;SG	N
уебсайт	網站	уебсайт	網站	N;INDF;MASC;SG	N
уебсайт	網頁	уебсайт	網頁	N;INDF;MASC;SG	N
земята	大地	земя	大地	N;DEF;FEM;SG	N
връзка	戀愛	връзка	戀愛	N;INDF;FEM;SG	N
връзка	感情	връзка	感情	N;INDF;FEM;SG	N
връзка	關係	връзка	關係	N;INDF;FEM;SG	N
роля	作用	роля	作用	N;INDF;FEM;SG	N
роля	角色	роля	角色	N;INDF;FEM;SG	N
линия	線	линия	線	N;INDF;FEM;SG	N
линия	線路	линия	線路	N;INDF;FEM;SG	N
свети	聖人	свет	聖人	N;INDF;MASC;SG	N
кариера	職業	кариера	職業	N;INDF;FEM;SG	N
кариера	職業	кариера	職業	N;INDF;FEM;SG	N
лига	聯盟	лига	聯盟	N;INDF;FEM;SG	N
лига	同盟	лига	同盟	N;INDF;FEM;SG	N
лига	聯賽	лига	聯賽	N;INDF;FEM;SG	N
роман	小說	роман	小說	N;INDF;MASC;SG	N
източници	來源	източник	來源	N;INDF;MASC;PL	N
консул	領事	консул	領事	N;INDF;MASC;SG	N
книги	圖書	книга	圖書	N;INDF;FEM;PL	N
книги	書	книга	書	N;INDF;FEM;PL	N
книги	書籍	книга	書籍	N;INDF;FEM;PL	N
стадион	體育	стадион	體育	N;INDF;MASC;SG	N
стадион	球場	стадион	球場	N;INDF;MASC;SG	N
произход	原產	произход	原產	N;INDF;MASC;SG	N
произход	起源	произход	起源	N;INDF;MASC;SG	N
произход	起源	произход	起源	N;INDF;MASC;SG	N
точка	項目	точка	項目	N;INDF;FEM;SG	N
точка	角	точка	角	N;INDF;FEM;SG	N
точка	點	точка	點	N;INDF;FEM;SG	N
академия	學院	академия	學院	N;INDF;FEM;SG	N
предимно	大多	предимно	大多	ADV	ADV
писатели	作家	писател	作家	N;INDF;MASC;PL	N
писатели	作者	писател	作者	N;INDF;MASC;PL	N
годината	年度	година	年度	N;DEF;FEM;SG	N
годината	年份	година	年份	N;DEF;FEM;SG	N
годината	年	година	年	N;DEF;FEM;SG	N
членове	成員	член	成員	N;INDF;MASC;PL	N
птица	鳥	птица	鳥	N;INDF;FEM;SG	N
автор	作者	автор	作者	N;INDF;MASC;SG	N
възраст	年紀	възраст	年紀	N;INDF;FEM;SG	N
възраст	年齡	възраст	年齡	N;INDF;FEM;SG	N
езици	語言	език	語言	N;INDF;MASC;PL	N
езици	語文	език	語文	N;INDF;MASC;PL	N
държави	國家	държава	國家	N;INDF;FEM;PL	N
държави	國家	държава	國家	N;INDF;FEM;PL	N
държави	各國	държава	各國	N;INDF;FEM;PL	N
личности	人格	личност	人格	N;INDF;FEM;PL	N
връх	山	връх	山	N;INDF;MASC;SG	N
