من	від	مِن	від	ADP	ADP;GEN
هذه	ця	هٰذَا	цей	DET;NOM;FEM;SG	DET;NOM;FEM;SG
ما	яка	مَا	який	DET	DET;NOM;FEM;SG
عدد	число	عَدَد	число	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
عدد	кількість	عَدَد	кількість	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
عدد	номер	عَدَد	номер	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
الذي	який	اَلَّذِي	який	DET;NOM;MASC;SG	DET;NOM;MASC;SG
الذي	яке	اَلَّذِي	який	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
هذا	цей	هٰذَا	цей	DET;NOM;MASC;SG	DET;NOM;MASC;SG
هذا	ця	هٰذَا	цей	DET;NOM;MASC;SG	DET;NOM;FEM;SG
هذا	той	هٰذَا	той	DET;NOM;MASC;SG	DET;NOM;MASC;SG
لا	не	لَا	не	PART	PART;NEG
تعليق	коментар	تَعلِيق	коментар	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
تاريخ	дата	تَارِيخ	дата	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
تاريخ	журнал	تَارِيخ	журнал	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
تاريخ	історія	تَارِيخ	історія	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
نوع	сортування	نَوع	сортування	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
نوع	вид	نَوع	вид	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
نوع	різновид	نَوع	різновид	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
نوع	типу	نَوع	тип	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
نوع	тип	نَوع	тип	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
سطر	лінія	سِطر	лінія	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
سطر	рядок	سِطر	рядок	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
خط	лінія	خَطّ	лінія	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
خط	рядок	خَطّ	рядок	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
خط	шрифт	خَطّ	шрифт	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
التعداد	перепис	تَعدَاد	перепис	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
التعداد	перелік	تَعدَاد	перелік	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المسؤول	адміністрування	مَسؤُول	адміністрування	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
المسؤول	адмін	مَسؤُول	адмін	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المسؤول	адміністратор	مَسؤُول	адміністратор	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
مدينة	місто	مَدِينَة	місто	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
المدينة	містечко	مَدِينَة	містечко	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
المدينة	місто	مَدِينَة	місто	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
المدينة	місто	مَدِينَة	місто	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
كرة	кулька	كُرَة	кулька	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
كرة	бал	كُرَة	бал	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
الله	бог	اَللّٰه	бог	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
الله	аллах	اَللّٰه	аллах	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
حتى	доки	حَتَّى	доки	ADV	ADV
حتى	поки	حَتَّى	поки	ADV	ADV
مساحة	область	مِسَاحَة	область	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مساحة	ділянка	مِسَاحَة	ділянка	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مساحة	площа	مِسَاحَة	площа	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مساحة	місцевість	مِسَاحَة	місцевість	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مساحة	пробіл	مِسَاحَة	пробіл	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
مساحة	простір	مِسَاحَة	простір	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
محافظة	провінція	مُحَافَظَة	провінція	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
محافظة	губернія	مُحَافَظَة	губернія	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
خلال	через	خِلَالَ	через	ADP;ACC	ADP;ACC
الولايات	стани	وِلَايَة	стан	N;NOM;DEF;PL	N;INAN;NOM;MASC;PL
الصورة	світлина	صُورَة	світлина	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الصورة	зображення	صُورَة	зображення	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
الصورة	зображення	صُورَة	зображення	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
الصورة	картинка	صُورَة	картинка	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
علم	скопіювати	عَلِم	скопіювати	V;PFV;MASC;SG;3;ACT	V;PFV;NFIN
خريطة	карта	خَرِيطَة	карта	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
خريطة	мапа	خَرِيطَة	мапа	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
فرق	команди	فِرقَة	команда	N;NOM;INDF;PL	N;INAN;NOM;FEM;PL
العربية	арабський	عَرَبِيّ	арабський	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
العربية	арабська	عَرَبِيّ	арабський	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
قائمة	меню	قَائِمَة	меню	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
قائمة	перелік	قَائِمَة	перелік	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
قائمة	список	قَائِمَة	список	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
مقاطعة	графство	مُقَاطَعَة	графство	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
مقاطعة	повіт	مُقَاطَعَة	повіт	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
مقاطعة	жупанія	مُقَاطَعَة	жупанія	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مقاطعة	провінція	مُقَاطَعَة	провінція	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مقاطعة	бойкот	مُقَاطَعَة	бойкот	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
تقسيم	розділ	تَقسِيم	розділ	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
تقسيم	дроблення	تَقسِيم	дроблення	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
تقسيم	розділення	تَقسِيم	розділення	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
العالم	світ	عَالَم	світ	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
العالم	світе	عَالَم	світи	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
العالم	науковець	عَالَم	науковець	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
القرن	ріг	قَرن	ріг	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
القرن	ст	قَرن	ст.	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
القرن	століття	قَرن	століття	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
الموقع	розміщення	مَوقِع	розміщення	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
الموقع	місцезнаходження	مَوقِع	місцезнаходження	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
الموقع	локація	مَوقِع	локація	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الموقع	місце	مَوقِع	місце	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
الموقع	розташування	مَوقِع	розташування	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
الثاني	другий	ثَانِي	другий	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
الثاني	друге	ثَانِي	другий	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
القدم	нога	قَدَم	нога	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
القدم	лапка	قَدَم	лапка	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
القدم	нога	قَدَم	нога	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
منطقة	регіон	مِنطَقَة	регіон	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
منطقة	улус	مِنطَقَة	улус	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
منطقة	округ	مِنطَقَة	округ	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
منطقة	район	مِنطَقَة	район	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
منطقة	зона	مِنطَقَة	зона	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
منطقة	область	مِنطَقَة	область	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
منطقة	ділянка	مِنطَقَة	ділянка	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
منطقة	площа	مِنطَقَة	площа	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
منطقة	місцевість	مِنطَقَة	місцевість	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
الرمز	символ	رَمز	символ	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الرمز	код	رَمز	код	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
البلد	країна	بَلَد	країна	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
مدن	городи	مَدِينَة	город	N;NOM;INDF;PL	N;INAN;NOM;MASC;PL
يمكن	могла	أَمكَن	могти	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
يمكن	міг	أَمكَن	могти	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
تعداد	перелік	تَعدَاد	перелік	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
الكلية	коледж	كُلِّيَّة	коледж	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الكلية	коледжі	كُلِّيَّة	коледжа	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الكلية	факультет	كُلِّيَّة	факультет	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
ولاية	стан	وِلَايَة	стан	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
ولاية	держава	وِلَايَة	держава	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
العرض	пропозиція	عَرض	пропозиція	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
العرض	шоу	عَرض	шоу	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
العرض	ширина	عَرض	ширина	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
العرض	товщина	عَرض	товщина	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
العرض	презентація	عَرض	презентація	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
العرض	відображення	عَرض	відображення	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
العرض	дисплей	عَرض	диспля	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
العرض	показ	عَرض	показ	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
جامعة	університет	جَامِعَة	університет	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
المساحة	область	مِسَاحَة	область	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
المساحة	ділянка	مِسَاحَة	ділянка	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
المساحة	площа	مِسَاحَة	площа	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
المساحة	місцевість	مِسَاحَة	місцевість	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الطول	тривалість	طُول	тривалість	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الطول	довжина	طُول	довжина	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الطول	висота	طُول	висота	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الحياة	життя	حَيَاة	життя	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
وصلات	лінки	وُصلَة	лінка	N;NOM;INDF;PL	N;INAN;NOM;MASC;PL
وصلات	посилання	وُصلَة	посилання	N;NOM;INDF;PL	N;INAN;NOM;NEUT;PL
المركز	центр	مَركَز	центр	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المركز	центр	مَركَز	центр	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
المياه	водні	مَاء	водній	N;NOM;DEF;PL	N;INAN;NOM;MASC;PL
مجموعة	група	مَجمُوعَة	група	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مجموعة	спільнота	مَجمُوعَة	спільнота	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مجموعة	колекція	مَجمُوعَة	колекція	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مجموعة	збірка	مَجمُوعَة	збірка	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مجموعة	козачка	مَجمُوعَة	козачка	N;NOM;INDF;SG	N;ANIM;NOM;FEM;SG
موقع	розміщення	مَوقِع	розміщення	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
موقع	місцезнаходження	مَوقِع	місцезнаходження	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
موقع	локація	مَوقِع	локація	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
موقع	місце	مَوقِع	місце	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
موقع	розташування	مَوقِع	розташування	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
مكان	місце	مَكَان	місце	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
نقاش	дискусія	نِقَاش	дискусія	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
نقاش	обговорення	نِقَاش	обговорення	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
الثالث	третій	ثَالِث	третій	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
الثالث	третя	ثَالِث	третій	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
هناك	туди	هُنَاكَ	туди	ADV	ADV
هناك	там	هُنَاكَ	там	ADV	ADV
تحت	під	تَحتَ	під	ADP;ACC	ADP;ACC
حجم	гучність	حَجم	гучність	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
حجم	розмір	حَجم	розмір	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
الشيخ	шейх	شَيخ	шей	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
الشيخ	шейх	شَيخ	шей	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
المحافظة	провінція	مُحَافَظَة	провінція	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
المحافظة	енергозбереження	مُحَافَظَة	енергозбереження	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
المحافظة	консервація	مُحَافَظَة	консервація	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الحرب	війна	حَرب	війна	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
قرية	село	قَريَة	село	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
العام	рік	عَام	рік	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
رئيس	президент	رَئِيس	президент	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
رئيس	шеф	رَئِيس	шеф	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
رئيس	вождь	رَئِيس	вождь	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
رئيس	начальник	رَئِيس	начальник	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
رئيس	бос	رَئِيس	бос	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
الكثافة	інтенсивність	كَثَّافَة	інтенсивність	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الكثافة	щільність	كَثَّافَة	щільність	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الوفاة	смерть	وَفَاة	смерть	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
شعار	слоган	شِعَار	слоган	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
شعار	гасло	شِعَار	гасло	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
شعار	логотип	شِعَار	логотип	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
شعار	девіз	شِعَار	девіз	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
شعار	емблема	شِعَار	емблема	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
عزلة	ізоляція	عُزلَة	ізоляція	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
عزلة	самотність	عُزلَة	самотність	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
كتاب	книжка	كِتَاب	книжка	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
كتاب	книга	كِتَاب	книга	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
مديرية	директорія	مُدِيرِيَّة	директорія	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
حول	про	حَولَ	про	ADP;ACC	ADP;ACC
العمل	дія	عَمَل	дія	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
العمل	робота	عَمَل	робота	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
العمل	бізнес	عَمَل	бізнути	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
العمل	справа	عَمَل	справа	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الخريطة	карта	خَرِيطَة	карта	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الخريطة	мапа	خَرِيطَة	мапа	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الرسمي	поважна	رَسمِيّ	поважний	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
الرسمي	офіційна	رَسمِيّ	офіційний	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
الرسمي	офіційний	رَسمِيّ	офіційний	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
الرسمي	офіційне	رَسمِيّ	офіційний	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
الرسمي	формальна	رَسمِيّ	формальний	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
عشر	десять	عَشَرَة	десять	NUM;MASC	NUM;NOM
عشر	десяти	عَشَرَة	десять	NUM;MASC	NUM;NOM
سنوات	роки	سَنَة	рік	N;NOM;INDF;PL	N;INAN;NOM;MASC;PL
يوم	день	يَوم	день	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
كتابة	написання	كِتَابَة	написання	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
كتابة	запис	كِتَابَة	запис	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
طريق	дорога	طَرِيق	дорога	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
الدين	релігія	دِين	релігія	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الدين	борг	دِين	борг	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
مركز	центр	مَركَز	центр	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
مركز	центр	مَركَز	центр	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
ملف	файл	مِلَفّ	файл	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
العربي	арабський	عَرَبِيّ	арабський	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
مجلس	рада	مَجلِس	рада	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
الثانية	другий	ثَانِي	другий	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
الثانية	друге	ثَانِي	другий	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
السكان	мешканці	سَاكِن	мешканець	N;NOM;DEF;PL	N;ANIM;NOM;MASC;PL
الدولة	стан	دَولَة	стан	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG
الدولة	держава	دَولَة	держава	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
قال	сказала	قَال	сказати	V;PFV;MASC;SG;3;ACT	V;PFV;FEM;IND;SG;PST;FIN
قال	сказав	قَال	сказати	V;PFV;MASC;SG;3;ACT	V;PFV;MASC;IND;SG;PST;FIN
الملك	король	مَلِك	король	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
الملك	цар	مَلِك	цар	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG
الاسم	назва	اِسم	назва	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
ولد	хлопчик	وَلَد	хлопчик	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
ولد	народження	وَلَد	народження	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
البحر	море	بَحر	море	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
شركة	фірма	شَرِكَة	фірма	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
شركة	компанія	شَرِكَة	компанія	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
فيلم	фільм	فِيلم	фільм	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
فيلم	кіно	فِيلم	кіно	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
فيلم	фільм	فِيلم	фільм	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
فيلم	плівка	فِيلم	плівка	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
صورة	світлина	صُورَة	світлина	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
صورة	зображення	صُورَة	зображення	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
صورة	зображення	صُورَة	зображення	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
صورة	картинка	صُورَة	картинка	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
بطولة	чемпіонат	بُطُولَة	чемпіонат	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
بطولة	турнір	بُطُولَة	турнір	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
نباتات	рослини	نَبَات	рослина	N;NOM;INDF;PL	N;INAN;NOM;FEM;PL
نباتات	заводи	نَبَات	завод	N;NOM;INDF;PL	N;INAN;NOM;MASC;PL
الولادة	народження	وِلَادَة	народження	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
المملكة	царство	مَملَكَة	царство	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
المملكة	королівство	مَملَكَة	королівство	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
المملكة	королівства	مَملَكَة	королівство	N;NOM;DEF;SG	N;INAN;NOM;NEUT;SG
البريدي	поштова	البريدي	поштова	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
الدوري	ліга	دَورِيّ	ліг	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
خلفية	тло	خَلفِيَّة	тло	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
خلفية	тла	خَلفِيَّة	тло	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
فقط	щойно	فَقَط	щойно	ADV	ADV
جائزة	премія	جَائِزَة	премія	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
جائزة	нагорода	جَائِزَة	нагорода	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
نظام	система	نِظَام	система	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
قسم	департамент	قِسم	департамент	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
قسم	відділ	قِسم	відділ	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
قسم	розділ	قِسم	розділ	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
قسم	секція	قِسم	секція	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
فترة	строк	فَترَة	строк	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
فترة	період	فَترَة	період	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
مارس	березня	مَارِس	березень	N;GEN;INDF;SG	N;INAN;GEN;MASC;SG
رقم	число	رَقم	число	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
رقم	кількість	رَقم	кількість	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
رقم	номер	رَقم	номер	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
يناير	січня	يَنَايِر	січень	N;GEN;INDF;SG	N;INAN;GEN;MASC;SG
اللغة	мова	لُغَة	мова	N;NOM;DEF;SG	N;INAN;NOM;FEM;SG
عمل	завдання	عَمَل	завдання	N;NOM;INDF;SG	N;INAN;NOM;NEUT;SG
عمل	робота	عَمَل	робота	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
عمل	робота	عَمَل	робота	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
عمل	бізнес	عَمَل	бізнути	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
عمل	справа	عَمَل	справа	N;NOM;INDF;SG	N;INAN;NOM;FEM;SG
جنوب	південь	جَنُوب	південь	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG
العالمية	універсальна	عَالَمِيّ	універсальний	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
العالمية	універсальний	عَالَمِيّ	універсальний	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
العالمية	глобальний	عَالَمِيّ	глобальний	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
كبير	велике	كَبِير	великий	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
