また	또한	また	또한	CONJ	CONJ
しかし	그런데	しかし	그런데	CONJ	CONJ
しかし	그러나	しかし	그러나	CONJ	CONJ
しかし	하지만	しかし	하지만	CONJ	CONJ
会話	대화하기	会話	대화+하+기	V	V
大会	조약	大会	조약	N	N
大会	협약	大会	협약	N	N
一部	일부	一部	일부	N	N
結果	결과	結果	결과	N	N
結果	결과	結果	결과	N	N
アルバム	앨범	アルバム	앨범	N	N
アルバム	음반	アルバム	음반	N	N
アルバム	앨범	アルバム	앨범	N	N
アルバム	음반	アルバム	음반	N	N
ゲーム	게임	ゲーム	게임	N	N
ゲーム	게임	ゲーム	게임	N	N
ゲーム	경기	ゲーム	경기	N	N
ゲーム	게임	ゲーム	게임	N	N
問題	문제	問題	문제	N	N
問題	문제	問題	문제	N	N
問題	문제	問題	문제	N	N
問題	쟁점	問題	쟁점	N	N
問題	문제	問題	문제	N	N
リーグ	동맹	リーグ	동맹	N	N
リーグ	리그	リーグ	리그	N	N
リーグ	리그	リーグ	리그	N	N
利用	사용하기	利用	사용+하+기	V	V
事業	업체	事業	업체	N	N
事業	사업	事業	사업	N	N
音楽	음악	音楽	음악	N	N
音楽	뮤직	音楽	뮤직	N	N
情報	정보	情報	정보	N	N
情報	정보	情報	정보	N	N
参加	참여하기	参加	참여+하+기	V	V
参加	가입하기	参加	가입+하+기	V	V
地域	지역	地域	지역	N	N
地域	지방	地域	지방	N	N
地域	지역	地域	지역	N	N
変更	바뀌기	変更	바뀌+기	V	V
変更	바꾸기	変更	바꾸+기	V	V
編曲	편곡	編曲	편곡	N	N
編曲	편곡	編曲	편곡	N	N
関係	관계	関係	관계	N	N
関係	관계	関係	관계	N	N
中央	중앙	中央	중앙	N	N
中央	중심	中央	중심	N	N
中央	중앙	中央	중앙	N	N
同じ	같은	同じ	같+ㄴ	ADJ	ADJ
教育	교육학	教育	교육학	N	N
教育	교육	教育	교육	N	N
教育	학력	教育	학력	N	N
小学校	초등	小学校	초등	N	N
編集	편집하기	編集	편집+하+기	V	V
シーズン	계절	シーズン	계절	N	N
シーズン	계절	シーズン	계절	N	N
ファイル	파일	ファイル	파일	N	N
ファイル	파일	ファイル	파일	N	N
都市	도시	都市	도시	N	N
都市	도시	都市	도시	N	N
会社	회사	会社	회사	N	N
会社	기업	会社	기업	N	N
会社	회사	会社	회사	N	N
世紀	세기	世紀	세기	N	N
世紀	세기	世紀	세기	N	N
ノート	노트북	ノート	노트북	N	N
ノート	노트북	ノート	노트북	N	N
社会	사회	社会	사회	N	N
センター	중앙	センター	중앙	N	N
センター	중심	センター	중심	N	N
センター	중앙	センター	중앙	N	N
終了	끝내기	終了	끝내+기	V	V
終了	끝내기	終了	끝내+기	V	V
終了	끝내기	終了	끝내+기	V	V
終了	완료되었습니다	終了	완료+되+었+습니다	V	V
終了	끝내기	終了	끝내+기	V	V
中心	중앙	中心	중앙	N	N
中心	중심	中心	중심	N	N
中心	중앙	中心	중앙	N	N
内容	콘텐츠	内容	콘텐츠	N	N
内容	컨텐츠	内容	컨텐츠	N	N
内容	내용	内容	내용	N	N
内容	목차	内容	목차	N	N
内容	콘텐츠	内容	콘텐츠	N	N
内容	내용	内容	내용	N	N
文化	문화	文化	문화	N	N
野球	야구	野球	야구	N	N
指定	지정하기	指定	지정+하+기	V	V
指定	지정합니다	指定	지정+하+ㅂ니다	V	V
以下	아래쪽	以下	아래+쪽	N	N
以下	아래	以下	아래	N	N
人物	사람	人物	사람	N	N
最終	마지막	最終	마지막	N	N
最終	기말고사	最終	기말고사	N	N
最終	결승전	最終	결승전	N	N
確認	확인하기	確認	확인+하+기	V	V
一般	장군	一般	장군	N	N
一般	일반	一般	일반	N	N
歴史	역사	歴史	역사	N	N
歴史	내역	歴史	내역	N	N
歴史	기록	歴史	기록	N	N
選挙	선거	選挙	선거	N	N
選挙	선거	選挙	선거	N	N
計画	계획	計画	계획	N	N
計画	플래닝	計画	플래닝	N	N
計画	계획	計画	계획	N	N
計画	기획	計画	기획	N	N
計画	계획	計画	계획	N	N
計画	계획	計画	계획	N	N
経済	경제	経済	경제	N	N
教授	교수	教授	교수	N	N
教授	교수님	教授	교수+님	N	N
ラジオ	라디오방송	ラジオ	라디오방송	N	N
劇場	연극	劇場	연극	N	N
劇場	극장	劇場	극장	N	N
劇場	영화관	劇場	영화관	N	N
劇場	연극	劇場	연극	N	N
劇場	극장	劇場	극장	N	N
グループ	집단	グループ	집단	N	N
女性	여자	女性	여자	N	N
女性	여성	女性	여성	N	N
女性	여성	女性	여성	N	N
女性	여자들	女性	여자+들	N	N
女性	여자	女性	여자	N	N
女性	여성	女性	여성	N	N
得点	점수	得点	점수	N	N
得点	득점	得点	득점	N	N
コメント	댓글	コメント	댓글	N	N
コメント	댓글	コメント	댓글	N	N
コメント	댓글	コメント	댓글	N	N
コメント	댓글	コメント	댓글	N	N
漫画	코믹스	漫画	코믹스	N	N
漫画	만화	漫画	만화	N	N
漫画	만화가	漫画	만화+가	N	N
漫画	만화	漫画	만화	N	N
漫画	만화가	漫画	만화+가	N	N
廃止	폐지됨	廃止	폐지+되+ㄴ	V	V
サッカー	축구	サッカー	축구	N	N
議員	상원	議員	상원	N	N
議員	상원의원	議員	상원의원	N	N
全国	전국	全国	전국	N	N
デビュー	데뷔해	デビュー	데증+하+어	V	V
協会	협회	協会	협회	N	N
路線	노선	路線	노선	N	N
戦争	전쟁	戦争	전쟁	N	N
戦争	전쟁	戦争	전쟁	N	N
部分	부분	部分	부분	N	N
部分	부품	部分	부품	N	N
高校	고등학교	高校	고등학교	N	N
番号	숫자	番号	숫자	N	N
番号	번호	番号	번호	N	N
最初	처음	最初	처음	N	N
期間	기간	期間	기간	N	N
期間	기간	期間	기간	N	N
期間	시대	期間	시대	N	N
場所	장소	場所	장소	N	N
場所	음식점	場所	음식점	N	N
場所	장소	場所	장소	N	N
技術	기술	技術	기술	N	N
海軍	해군	海軍	해군	N	N
特定	특정	特定	특정		
特定	구체	特定	구체		
システム	체계	システム	체계	N	N
システム	시스템	システム	시스템	N	N
システム	체계	システム	체계	N	N
システム	시스템	システム	시스템	N	N
モデル	모델	モデル	모델	N	N
モデル	모형	モデル	모형	N	N
モデル	모델	モデル	모델	N	N
モデル	모형	モデル	모형	N	N
列車	열차	列車	열차	N	N
列車	열차	列車	열차	N	N
とき	언제쯤	とき	언제+쯤	N	N
最後	마지막	最後	마지막	N	N
科学	과학	科学	과학	N	N
理由	이유	理由	이유	N	N
理由	이유	理由	이유	N	N
そして	그리고	そして	그리고	CONJ	CONJ
最高	최고	最高	최고	N	N
最高	베스트	最高	베스트	N	N
ブロック	차단	ブロック	차단	N	N
ブロック	차단	ブロック	차단	N	N
車両	차량	車両	차량	N	N
車両	차량	車両	차량	N	N
自動車	자동차	自動車	자동차	N	N
自動車	차량	自動車	차량	N	N
自動車	자동차	自動車	자동차	N	N
人口	인구	人口	인구	N	N
人口	인구순	人口	인구순	N	N
人口	인구	人口	인구	N	N
特に	특히	特に	특히	ADV	ADV
特に	특히	特に	특히	ADV	ADV
営業	업체	営業	업체	N	N
営業	사업	営業	사업	N	N
新聞	신문	新聞	신문	N	N
新聞	신문	新聞	신문	N	N
政府	정부	政府	정부	N	N
最大	최대	最大	최대	N	N
キャラクター	성격	キャラクター	성격	N	N
キャラクター	문자	キャラクター	문자	N	N
キャラクター	인물	キャラクター	인물	N	N
キャラクター	문자	キャラクター	문자	N	N
キャラクター	등장인물	キャラクター	등장+인물	N	N
小説	소설	小説	소설	N	N
小説	소설	小説	소설	N	N
それぞれ	각각	それぞれ	각각	ADV	ADV
機関	기관	機関	기관	N	N
メンバー	회원	メンバー	회원	N	N
メンバー	구성원	メンバー	구성원	N	N
メンバー	멤버들	メンバー	멤버+들	N	N
発行	발급	発行	발급	N	N
発行	발행	発行	발행	N	N
発行	문제	発行	문제	N	N
画像	그림	画像	그림	N	N
画像	사진	画像	사진	N	N
画像	그림	画像	그림	N	N
画像	그림	画像	그림	N	N
状態	상태	状態	상태	N	N
状態	국가	状態	국가	N	N
状態	조건	状態	조건	N	N
名称	이름	名称	이름	N	N
名称	이름	名称	이름	N	N
名前	이름	名前	이름	N	N
名前	이름	名前	이름	N	N
施設	시설	施設	시설	N	N
施設	기관	施設	기관	N	N
施設	시설	施設	시설	N	N
物語	이야기	物語	이야기	N	N
物語	스토리	物語	스토리	N	N
物語	소식	物語	소식	N	N
神社	신사	神社	신사	N	N
企画	플래닝	企画	플래닝	N	N
企画	계획	企画	계획	N	N
企画	기획	企画	기획	N	N
通常	보통	通常	보통	N	N
企業	기업	企業	기업	N	N
航空	항공	航空	항공	N	N
航空	항공	航空	항공	N	N
航空	공기	航空	공기	N	N
帝国	제국	帝国	제국	N	N
デザイン	설계	デザイン	설계	N	N
デザイン	설계	デザイン	설계	N	N
デザイン	설계	デザイン	설계	N	N
本社	본부	本社	본부	N	N
本社	본사	本社	본사	N	N
人間	인간	人間	인간	N	N
人間	인체	人間	인체	N	N
交通	교통량	交通	교통량	N	N
交通	트래픽	交通	트래픽	N	N
交通	교통	交通	교통	N	N
交通	교통수단	交通	교통+수단	N	N
交通	운송	交通	운송	N	N
交通	교통	交通	교통	N	N
交通	교통수단	交通	교통+수단	N	N
交通	운송	交通	운송	N	N
交通	수송	交通	수송	N	N
交通	교통	交通	교통	N	N
組織	조직	組織	조직	N	N
組織	기구	組織	기구	N	N
組織	단체	組織	단체	N	N
組織	조직	組織	조직	N	N
組織	기구	組織	기구	N	N
構造	구조물	構造	구조물	N	N
構造	구조	構造	구조	N	N
構造	구조물	構造	구조물	N	N
構造	구조	構造	구조	N	N
ここ	여기	ここ	여기	PRO	PRO
以前	이전	以前	이전	N	N
サービス	서비스	サービス	서비스	N	N
サービス	서비스	サービス	서비스	N	N
テーマ	주제	テーマ	주제	N	N
面積	구역	面積	구역	N	N
面積	영역	面積	영역	N	N
面積	지역	面積	지역	N	N
主演	주연	主演	주연	N	N
主演	출연	主演	출연	N	N
設定	설정하기	設定	설정+하+기	V	V
ライブ	생방송	ライブ	생방송	N	N
含む	포함함	含む	포함+하+ㅁ	V	V
含む	포함됨	含む	포함+되+ㄴ	V	V
含む	포함됨	含む	포함+되+ㄴ	V	V
専門	전문성	専門	전문성	N	N
専門	전문	専門	전문	N	N
機能	함수	機能	함수	N	N
機能	특징	機能	특징	N	N
機能	기능	機能	기능	N	N
機能	기능	機能	기능	N	N
機能	기능	機能	기능	N	N
身長	키는	身長	키+는	N	N
写真	사진	写真	사진	N	N
写真	사진	写真	사진	N	N
写真	사진술	写真	사진술	N	N
写真	사진	写真	사진	N	N
写真	그림	写真	그림	N	N
高い	높음	高い	높음	ADJ	ADJ
高い	비싼	高い	비싸+ㄴ	ADJ	ADJ
宇宙	우주	宇宙	우주	N	N
管理	관리하기	管理	관리+하+기	V	V
公園	공원	公園	공원	N	N
公園	공원	公園	공원	N	N
スポーツ	스포츠	スポーツ	스포츠	N	N
スポーツ	스포츠	スポーツ	스포츠	N	N
脚本	문자	脚本	문자	N	N
脚本	스크립트	脚本	스크립트	N	N
目的	목표	目的	목표	N	N
目的	목적	目的	목적	N	N
目的	목표	目的	목표	N	N
目的	목적	目的	목적	N	N
目的	목적	目的	목적	N	N
目的	목표	目的	목표	N	N
カード	카드	カード	카드	N	N
カード	카드	カード	카드	N	N
基本	기본	基本	기본	N	N
基本	기초	基本	기초	N	N
女優	여배우들	女優	여배우+들	N	N
女優	여배우	女優	여배우	N	N
女優	배우	女優	배우	N	N
女優	여배우	女優	여배우	N	N
タイトル	제목	タイトル	제목	N	N
タイトル	제목	タイトル	제목	N	N
政治	정치	政治	정치	N	N
政治	정치학	政治	정치학	N	N
電気	전력	電気	전력	N	N
電気	전기	電気	전기	N	N
電気	전기	電気	전기	N	N
警察	경찰	警察	경찰	N	N
警察	경찰관	警察	경찰관	N	N
作成	만들기	作成	만들+기	V	V
作成	만들기	作成	만들+기	V	V
作成	만들었습니다	作成	만들+었+습니다	V	V
予定	계획	予定	계획	N	N
スター	항성	スター	항성	N	N
過去	과거	過去	과거	N	N
陸軍	육군	陸軍	육군	N	N
陸軍	군대	陸軍	군대	N	N
表示	보기	表示	보+기	V	V
社長	회장	社長	회장	N	N
社長	대통령	社長	대통령	N	N
社長	회장	社長	회장	N	N
社長	대통령	社長	대통령	N	N
団体	단체	団体	단체	N	N
団体	조직	団体	조직	N	N
団体	기구	団体	기구	N	N
団体	단체	団体	단체	N	N
工業	공업	工業	공업	N	N
工業	산업	工業	산업	N	N
通り	거리가	通り	거리+가	N	N
通り	거리	通り	거리	N	N
通信	의사소통	通信	의사+소통	N	N
通信	커뮤니케이션	通信	커뮤니케이션	N	N
通信	소통	通信	소통	N	N
通信	통신	通信	통신	N	N
通信	커뮤니케이션	通信	커뮤니케이션	N	N
通信	통신	通信	통신	N	N
俳優	배우	俳優	배우	N	N
俳優	배우	俳優	배우	N	N
俳優	여배우	俳優	여배우	N	N
俳優	배우	俳優	배우	N	N
少年	소년	少年	소년	N	N
少年	남자아이	少年	남자아+이	N	N
病院	병원	病院	병원	N	N
病院	병원	病院	병원	N	N
個人	개인적	個人	개인+적	N	N
区間	구간	区間	구간	N	N
区間	간격	区間	간격	N	N
銀行	은행	銀行	은행	N	N
銀行	뱅킹	銀行	뱅킹	N	N
銀行	은행	銀行	은행	N	N
研究所	연구소	研究所	연구소	N	N
主に	주로	主に	주로	ADV	ADV
主に	주로	主に	주로	ADV	ADV
彼女	그녀는	彼女	그녀+는	PRO	PRO
ニュース	뉴스	ニュース	뉴스	N	N
ニュース	소식	ニュース	소식	N	N
ソフト	부드러운	ソフト	부드럽+ㄴ	ADJ	ADJ
文学	문학	文学	문학	N	N
能力	능력	能力	능력	N	N
能力	능력자	能力	능력자	N	N
なし	없음	なす	없+ㅁ		
学者	학자	学者	학자	N	N
国内	국내	国内	국내	N	N
空港	공항	空港	공항	N	N
空港	국제공항	空港	국제공항	N	N
空港	공항	空港	공항	N	N
高速	빠르다	高速	빠르+다	ADJ	ADJ
言語	언어	言語	언어	N	N
言語	언어	言語	언어	N	N
リリース	출시	リリース	출시	N	N
リリース	발매	リリース	발매	N	N
リリース	릴리스	リリース	릴리스	N	N
リリース	개봉	リリース	개봉	N	N
リリース	출시	リリース	출시	N	N
リリース	릴리스	リリース	릴리스	N	N
ベスト	조끼	ベスト	조끼	N	N
ベスト	최고	ベスト	최고	N	N
ベスト	베스트	ベスト	베스트	N	N
現代	현대	現代	현대	N	N
会議	회담	会議	회담	N	N
会議	미팅	会議	미팅	N	N
会議	모임	会議	모임	N	N
会議	만남	会議	만남	N	N
会議	미팅	会議	미팅	N	N
バンド	밴드	バンド	밴드	N	N
バンド	밴드	バンド	밴드	N	N
追加	추가하기	追加	추가+하+기	V	V
成功	성공함	成功	성공함	V	V
成功	성공적인	成功	성공+적+이+ㄴ	V	V
成功	성공함	成功	성공함	V	V
オリンピック	올림픽	オリンピック	올림픽	N	N
国民	국립	国民	국립	N	N
国民	국민	国民	국민	N	N
国民	국민	国民	국민	N	N
ファン	팬들	ファン	팬+들	N	N
すべて	전체	すべて	전체	N	N
環境	환경	環境	환경	N	N
環境	환경	環境	환경	N	N
競技	경쟁	競技	경쟁	N	N
会長	회장님	会長	회장님	N	N
会長	회장	会長	회장	N	N
形式	형태	形式	형태	N	N
形式	양식	形式	양식	N	N
相手	상대	相手	상대	N	N
相手	상대성	相手	상대성	N	N
労働	노동	労働	노동	N	N
労働	노동	労働	노동	N	N
事務所	사무소	事務所	사무소	N	N
事務所	사무실	事務所	사무실	N	N
限定	제한된	限定	제한+되+ㄴ	V	V
データ	자료	データ	자료	N	N
データ	데이터	データ	데이터	N	N
作戦	작동	作戦	작동	N	N
作戦	작전	作戦	작전	N	N
可能性	가능성	可能性	가능성	N	N
可能性	가능	可能性	가능	N	N
可能性	가능성	可能性	가능성	N	N
種類	종류	種類	종류	N	N
種類	유형	種類	유형	N	N
種類	유형	種類	유형	N	N
文字	성격	文字	성격	N	N
文字	문자	文字	문자	N	N
文字	인물	文字	인물	N	N
文字	문자	文字	문자	N	N
文字	등장인물	文字	등장+인물	N	N
大統領	회장	大統領	회장	N	N
大統領	대통령	大統領	대통령	N	N
連邦	연맹	連邦	연맹	N	N
連邦	연방	連邦	연방	N	N
共和国	공화국	共和国	공화국	N	N
部門	부서	部門	부서	N	N
産業	업계	産業	업계	N	N
産業	산업	産業	산업	N	N
決勝	기말고사	決勝	기말고사	N	N
決勝	결승전	決勝	결승전	N	N
プロデューサー	제작자	プロデューサー	제작자	N	N
レース	인종	レース	인종	N	N
レース	경쟁	レース	경쟁	N	N
郵便	편지	郵便	편지	N	N
郵便	우편	郵便	우편	N	N
項目	항목	項目	항목	N	N
ラン	실행	ラン	실행	N	N
ほぼ	거의	ほぼ	거의	ADV	ADV
イベント	이벤트	イベント	이벤트	N	N
イベント	행사	イベント	행사	N	N
イベント	이벤트	イベント	이벤트	N	N
出典	출처	出典	출처	N	N
出典	출처	出典	출처	N	N
ほとんど	거의	ほとんど	거의	ADV	ADV
電車	열차	電車	열차	N	N
電車	열차	電車	열차	N	N
建築	건축학	建築	건축학	N	N
建築	건축	建築	건축	N	N
クラス	클래스	クラス	클래스	N	N
クラス	수업	クラス	수업	N	N
クラス	학급	クラス	학급	N	N
クラス	계급	クラス	계급	N	N
クラス	클래스	クラス	클래스	N	N
クラス	수업	クラス	수업	N	N
全体	전반	全体	전반	N	N
舞台	단계	舞台	단계	N	N
舞台	무대	舞台	무대	N	N
意見	의견	意見	의견	N	N
意見	의견	意見	의견	N	N
再び	다시	再び	다시	ADV	ADV
再び	또다시	再び	또다시	ADV	ADV
発見	찾기	発見	찾+기	V	V
保護	보호하기	保護	보호+하+기	V	V
保護	보호하기	保護	보호+하+기	V	V
少女	소녀	少女	소녀	N	N
試験	시험	試験	시험	N	N
試験	검사	試験	검사	N	N
試験	시험	試験	시험	N	N
試験	시험	試験	시험	N	N
反対	반대편	反対	반대편		
きく	ets	きく	ets		
作家	작가	作家	작가	N	N
作家	제작자	作家	제작자	N	N
作家	작성자	作家	작성자	N	N
作家	작가	作家	작가	N	N
作家	작가	作家	작가	N	N
作家	작가	作家	작가	N	N
作家	저자	作家	저자	N	N
作家	제작자	作家	제작자	N	N
作家	작성자	作家	작성자	N	N
地球	지구	地球	지구	N	N
方法	수단	方法	수단	N	N
方法	메서드	方法	메서드	N	N
方法	방법	方法	방법	N	N
方法	메소드	方法	메소드	N	N
特徴	특성	特徴	특성	N	N
特徴	특징	特徴	특징	N	N
特徴	특징	特徴	특징	N	N
特徴	기능	特徴	기능	N	N
特徴	기능	特徴	기능	N	N
特徴	특성	特徴	특성	N	N
特徴	특징	特徴	특징	N	N
ベース	기지	ベース	기지	N	N
男性	남성	男性	남성	N	N
男性	멘트	男性	멘트	N	N
男性	남성	男性	남성	N	N
男性	남자	男性	남자	N	N
男性	남자	男性	남자	N	N
男性	남성	男性	남성	N	N
男性	사람	男性	사람	N	N
ケース	케이스	ケース	케이스	N	N
ケース	사례	ケース	사례	N	N
ケース	케이스	ケース	케이스	N	N
ケース	사례	ケース	사례	N	N
子供	애들	子供	애+들	N	N
子供	아이들	子供	아이+들	N	N
子供	어린이	子供	어린이	N	N
子供	어린이들	子供	어린이+들	N	N
子供	자녀	子供	자녀	N	N
子供	어린이	子供	어린이	N	N
子供	아이들	子供	아이+들	N	N
以来	이후	以来	이후	N	N
大臣	장관	大臣	장관	N	N
取締役	감독	取締役	감독	N	N
人気	인기	人気	인기	N	N
人気	인기가	人気	인기+가	N	N
人気	인기	人気	인기	N	N
評価	평가하기	評価	평가+하+기	V	V
説明	설명해	説明	설명+하+어	V	V
説明	설명하기	説明	설명+하+기	V	V
ドル	달러	ドル	달러	N	N
ドル	달러	ドル	달러	N	N
学科	부서	学科	부서	N	N
専用	헌신	専用	헌신	N	N
ステージ	단계	ステージ	단계	N	N
ステージ	무대	ステージ	무대	N	N
学生	학생	学生	학생	N	N
学生	학생들	学生	학생+들	N	N
学生	유학생	学生	유학생	N	N
学生	학생	学生	학생	N	N
教会	교회	教会	교회	N	N
教会	교회	教会	교회	N	N
内閣	내각	内閣	내각	N	N
ロック	잠금	ロック	잠금	N	N
状況	상황	状況	상황	N	N
状況	상황	状況	상황	N	N
状況	상황이	状況	상황+이	N	N
距離	거리	距離	거리	N	N
距離	거리	距離	거리	N	N
ホール	구멍	ホール	구멍	N	N
ホール	구멍이	ホール	구멍+이	N	N
体重	몸무게	体重	몸무+게	N	N
体重	몸무게가	体重	몸무게+가	N	N
体重	체중	体重	체중	N	N
血液	혈액	血液	혈액	N	N
由来	출처	由来	출처	N	N
平均	평균	平均	평균	N	N
平均	평균	平均	평균	N	N
店舗	매장	店舗	매장	N	N
店舗	상점	店舗	상점	N	N
店舗	상점	店舗	상점	N	N
店舗	매장	店舗	매장	N	N
店舗	상점	店舗	상점	N	N
カテゴリ	카테고리	カテゴリ	카테고리	N	N
カテゴリ	범주	カテゴリ	범주	N	N
カテゴリ	분류	カテゴリ	분류	N	N
カテゴリ	카테고리	カテゴリ	카테고리	N	N
カテゴリ	카테고리가	カテゴリ	카테고리+가	N	N
カテゴリ	범주	カテゴリ	범주	N	N
カテゴリ	분류	カテゴリ	분류	N	N
芸術	예술	芸術	예술	N	N
芸術	예술	芸術	예술	N	N
芸術	미술	芸術	미술	N	N
主人	주인공	主人	주인공	N	N
複数	다중	複数	다중	N	N
複数	복수형	複数	복수형	N	N
複数	복수	複数	복수	N	N
観光	관광	観光	관광	N	N
観光	관광객	観光	관광객	N	N
観光	관광	観光	관광	N	N
王国	왕국	王国	왕국	N	N
電話	전화	電話	전화	N	N
電話	전화기	電話	전화기	N	N
刑事	형사	刑事	형사	N	N
刑事	탐정	刑事	탐정	N	N
レコード	레코드	レコード	레코드	N	N
レコード	녹음	レコード	녹음	N	N
レコード	녹화	レコード	녹화	N	N
レコード	기록	レコード	기록	N	N
レコード	레코드	レコード	레코드	N	N
トップ	인기	トップ	인기	N	N
飛行	항공편	飛行	항공+편	N	N
飛行	비행	飛行	비행	N	N
ロード	로딩	ロード	로딩	N	N
ワールド	세상	ワールド	세상	N	N
ワールド	세계	ワールド	세계	N	N
美術	예술	美術	예술	N	N
美術	미술	美術	미술	N	N
息子	아들들	息子	아들+들	N	N
息子	아들	息子	아들	N	N
制度	기관	制度	기관	N	N
ツアー	투어	ツアー	투+어	N	N
ツアー	관광	ツアー	관광	N	N
ツアー	구경	ツアー	구경	N	N
ツアー	여행	ツアー	여행	N	N
ツアー	투어	ツアー	투+어	N	N
市民	시민	市民	시민	N	N
市民	시민들	市民	시민+들	N	N
市民	시민	市民	시민	N	N
市民	시민권	市民	시민권	N	N
市民	시민	市民	시민	N	N
組合	협회	組合	협회	N	N
生徒	학생	生徒	학생	N	N
生徒	학생들	生徒	학생+들	N	N
生徒	유학생	生徒	유학생	N	N
生徒	학생	生徒	학생	N	N
ギター	기타	ギター	기타	N	N
コース	코스	コース	코스	N	N
コース	과정	コース	과정	N	N
コース	강좌	コース	강좌	N	N
コース	코스	コース	코스	N	N
コース	과정	コース	과정	N	N
防衛	방위	防衛	방위	N	N
防衛	국방	防衛	국방	N	N
防衛	디펜스	防衛	디펜스	N	N
変化	바뀌기	変化	바뀌+기	V	V
変化	바꾸기	変化	바꾸+기	V	V
タイプ	종류	タイプ	종류	N	N
タイプ	유형	タイプ	유형	N	N
議会	국회	議会	국회	N	N
議会	국민의회	議会	국민의회	N	N
議会	의회	議会	의회	N	N
条件	기준	条件	기준	N	N
条件	조건	条件	조건	N	N
条件	조건	条件	조건	N	N
伝説	전설	伝説	전설	N	N
伝説	전설	伝説	전설	N	N
競走	인종	競走	인종	N	N
競走	경쟁	競走	경쟁	N	N
ポジション	직위	ポジション	직위	N	N
ポジション	포지션	ポジション	포지션	N	N
ポジション	직위	ポジション	직위	N	N
ポジション	입장	ポジション	입장	N	N
ポジション	포지션	ポジション	포지션	N	N
名誉	명예	名誉	명예	N	N
名誉	명예	名誉	명예	N	N
ソング	노래	ソング	노래	N	N
ソング	노래	ソング	노래	N	N
履歴	역사	履歴	역사	N	N
履歴	내역	履歴	내역	N	N
履歴	기록	履歴	기록	N	N
方向	방향	方向	방향	N	N
方向	방향	方向	방향	N	N
方向	방향	方向	방향	N	N
方向	지향	方向	지향	N	N
法律	법칙	法律	법칙	N	N
法律	법률	法律	법률	N	N
法律	법학	法律	법학	N	N
法律	법률	法律	법률	N	N
効果	영향	効果	영향	N	N
効果	효과	効果	효과	N	N
効果	영향	効果	영향	N	N
効果	효과	効果	효과	N	N
ミュージック	음악	ミュージック	음악	N	N
ミュージック	뮤직	ミュージック	뮤직	N	N
毎日	일상	毎日	일상	N	N
レギュラー	보통	レギュラー	보통	N	N
職業	직업	職業	직업	N	N
職業	직업	職業	직업	N	N
職業	점령	職業	점령	N	N
製品	제품	製品	제품	N	N
製品	상품	製品	상품	N	N
製品	제품	製品	제품	N	N
速度	속력	速度	속력	N	N
速度	스피드	速度	스피드	N	N
電子	전자	電子	전자	N	N
電子	전자	電子	전자	N	N
徒歩	산책	徒歩	산책	N	N
アイドル	아이돌이	アイドル	아이돌+이	N	N
アイドル	아이돌	アイドル	아이돌	N	N
仕事	직업	仕事	직업	N	N
仕事	직장	仕事	직장	N	N
仕事	작업	仕事	작업	N	N
連盟	연맹	連盟	연맹	N	N
連盟	연방	連盟	연방	N	N
政策	정책	政策	정책	N	N
政策	방침	政策	방침	N	N
政治家	정치인들	政治家	정치인+들	N	N
政治家	정치인	政治家	정치인	N	N
政治家	정치가	政治家	정치+가	N	N
政治家	정치인	政治家	정치인	N	N
