dlhší	duži	dlhý	dug	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;DEF;CMPR;MASC;SG
garcía	garcía	garcí	garca	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
ložiská	ležajevi	ložisko	ležaj	N;NOM;NEUT;PL	N;NOM;MASC;PL
zrážky	frizure	zrážok	frizura	N;NOM;FEM;PL	N;NOM;FEM;PL
kritici	kritičari	kritica	kritičar	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
demokracia	demokracija	demokracia	demokracija	N;NOM;FEM;SG	N;NOM;FEM;SG
autorstvo	autorstvo	autorstvo	autorstvo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
kus	komadić	kus	komadić	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
kus	komad	kus	komad	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
možná	moguć	možný	moguć	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
možná	mogući	možný	moguć	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
možná	moguće	možný	moguć	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;NEUT;SG
slávny	poznat	slávny	poznat	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
slávny	slavni	slávny	slavan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
slávny	poznata	slávny	poznat	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
slávny	slavan	slávny	slavan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
turbo	turbo	turbo	turbo	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
planétu	planeta	planéta	planet	N;ACC;FEM;SG	N;ACC;MASC;SG
spoločenský	društven	spoločenský	društven	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
spoločenský	društveni	spoločenský	društven	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
spoločenský	društvena	spoločenský	društven	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
spoločenský	socijalna	spoločenský	socijalan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
postupnosť	slijed	postupnosť	slijed	N;NOM;FEM;SG	N;NOM;MASC;SG
ľahšie	lakše	ľahko	lako	ADV;CMPR	ADV;CMPR
usporiadané	uređen	usporiadaný	uređen	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;SG;V.PTCP
reaguje	reagira	reagovať	reagirati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
reaguje	reagira	reagovať	reagirati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
reaguje	reagira	reagovať	reagirati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
teoreticky	teoretski	teoreticky	teoretski	ADV	ADV
kódy	kodovi	kód	kod	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
kódy	šifre	kód	šifra	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
podporovať	ohrabriti	podporovať	ohrabriti	V;IPFV;POS;NFIN	V;NFIN
ľudmila	ljudmila	ľudmiť	ljudmil	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
akt	akt	akt	akt	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
akt	čin	akt	čin	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
sultán	sultan	sultán	sultan	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
nepriamo	neizravno	nepriamo	neizravno	ADV	ADV
nepriamo	neizravno	nepriamo	neizravno	ADV	ADV
modelka	manekenka	modelka	manekenka	N;NOM;FEM;SG	N;NOM;FEM;SG
modelka	model	modelka	model	N;NOM;FEM;SG	N;NOM;MASC;SG
modelka	maneken	modelka	maneken	N;NOM;FEM;SG	N;NOM;MASC;SG
vlk	vuk	vlk	vuk	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
volkswagen	volkswagen	volkswagen	volkswagen	N;NOM;FEM;SG	N;NOM;MASC;SG
sociológ	sociolog	sociológ	sociolog	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
chemická	kemijska	chemický	kemijski	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
robot	bot	robot	bot	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
robot	robot	robot	robot	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
pevný	čvrsta	pevný	čvrst	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
pevný	solidan	pevný	solidan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
zahraničné	strano	zahraničný	stran	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;NEUT;SG
oslobodenie	izuzeće	oslobodenie	izuzeće	N;NOM;NEUT;SG	N;NOM;NEUT;SG
oslobodenie	oslobođenje	oslobodenie	oslobođenje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
oslobodenie	olakšanje	oslobodenie	olakšanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
bydlisko	stanovnik	bydlisko	stanovnik	N;NOM;NEUT;SG	N;NOM;MASC;SG
bydlisko	boravište	bydlisko	boravište	N;NOM;NEUT;SG	N;NOM;NEUT;SG
bydlisko	rezidencija	bydlisko	rezidencija	N;NOM;NEUT;SG	N;NOM;FEM;SG
bydlisko	prebivalište	bydlisko	prebivalište	N;NOM;NEUT;SG	N;NOM;NEUT;SG
bydlisko	boravište	bydlisko	boravište	N;NOM;NEUT;SG	N;NOM;NEUT;SG
bobby	bobi	bobba	boba	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
tiger	tigrica	tiger	tigrica	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
tiger	tigar	tiger	tigar	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
detaily	detalji	detail	detalj	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
detaily	pojedinosti	detail	pojedinost	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
kolektív	kolektiv	kolektie	kolektiv	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
automobilový	automobilska	automobilový	automobilski	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
ľad	led	ľad	led	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
ľad	ice	ľad	ice	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
mostov	mostova	most	most	N;INAN;GEN;MASC;PL	N;GEN;MASC;PL
rap	rap	rap	rap	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
odolnosť	otpor	odolnosť	otpor	N;NOM;FEM;SG	N;NOM;MASC;SG
odolnosť	otpornost	odolnosť	otpornost	N;NOM;FEM;SG	N;NOM;FEM;SG
leonardo	leonardo	leonardo	leonardo	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
sľuby	obećanja	sľub	obećanje	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
sľuby	gušteri	sľub	gušter	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
vertebrata	vertebrata	vertebrat	vertebrat	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
súčet	zbroj	súčet	zbroj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
súčet	suma	súčet	suma	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
umiestnenia	lokacije	umiestnenie	lokacija	N;NOM;NEUT;PL	N;NOM;FEM;PL
bela	bela	belo	bela	N;NOM;FEM;SG	N;NOM;FEM;SG
portugalský	portugalski	portugalský	portugalski	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
case	case	cas	casa	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
case	slučaj	cas	slučaj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
case	slucaj	cas	slucaj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
vlakov	vlakova	vlak	vlak	N;INAN;GEN;MASC;PL	N;GEN;MASC;PL
soľ	sol	soľ	sol	N;NOM;FEM;SG	N;NOM;FEM;SG
miestni	mještani	miesto	mještanin	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
zjednotenie	ujedinjenje	zjednotenie	ujedinjenje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
väzba	vezivanje	väzba	vezivanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
väzba	vezanje	väzba	vezanje	N;NOM;FEM;SG	N;NOM;NEUT;SG
väzba	skrbništvo	väzba	skrbništvo	N;NOM;FEM;SG	N;NOM;NEUT;SG
väzba	obveznica	väzba	obveznica	N;NOM;FEM;SG	N;NOM;FEM;SG
väzba	bond	väzba	bond	N;NOM;FEM;SG	N;NOM;MASC;SG
tradícia	tradicija	tradícia	tradicija	N;NOM;FEM;SG	N;NOM;FEM;SG
povesti	glasine	povesť	glasina	N;NOM;FEM;PL	N;NOM;FEM;PL
nástupcu	nasljednika	nástupca	nasljednik	N;ANIM;ACC;MASC;SG	N;ANIM;ACC;MASC;SG
aktuálny	trenutni	aktuálny	trenutan	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
aktuálny	trenutna	aktuálny	trenutan	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
aktuálny	tematska	aktuálny	tematski	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
katalóg	katalog	katalóg	katalog	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
katalóg	katalog	katalóg	katalog	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
rastú	rastu	rastý	rasti	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;PL;3;PRS;FIN
rastú	rasti	rastý	rasti	V;IPFV;IND;PL;3;POS;PRS;FIN	V;NFIN
výklad	tumačenje	výklad	tumačenje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
výklad	interpretacija	výklad	interpretacija	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
znamenal	značilo	znamenať	značiti	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;NEUT;SG;PST;V.PTCP;ACT
pohľady	znamenitosti	pohľad	znamenitost	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
pohľady	pogledi	pohľad	pogled	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
zásah	miješanje	zásah	miješanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
zásah	uplitanje	zásah	uplitanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
zásah	smetnja	zásah	smetnja	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
zásah	intervencija	zásah	intervencija	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
zdravotné	medicinska	zdravotný	medicinski	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;FEM;SG
zdravotné	zdravstveni	zdravotný	zdravstven	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
komédia	komedija	komédium	komedija	N;NOM;FEM;SG	N;NOM;FEM;SG
watanabe	watanabe	watanabe	watanab	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
kresťanov	kršćane	kresťan	kršćanin	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
faktor	čimbenik	faktor	čimbenik	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
faktor	faktor	faktor	faktor	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
zavraždený	ubijena	zavraždený	ubiti	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP;PASS
zavraždený	ubijen	zavraždený	ubiti	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;SG;V.PTCP;PASS
výkonný	izvršni	výkonný	izvršan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
ponúkol	ponudio	ponúknuť	ponuditi	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;PST;V.PTCP;ACT
presun	prebacivanje	presun	prebacivanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
presun	transfer	presun	transfer	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
presun	premještaj	presun	premještaj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
presun	prijenos	presun	prijenos	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
presun	kretanje	presun	kretanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
presun	premještanje	presun	premještanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
poistenie	osiguranje	poistenie	osiguranje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
finančne	financijski	finančne	financijski	ADV	ADV
kroky	koraci	krok	korak	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
kroky	stope	krok	stopa	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
kroky	koraci	krok	korak	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
zmazať	obriši	zmazať	obrisiti	V;PFV;POS;NFIN	V;IMP;SG;2;PRS;FIN
bohatý	bogata	bohatý	bogat	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
bohatý	bogat	bohatý	bogat	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
bohatý	bogati	bohatý	bogat	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
informatiky	informatike	informatika	informatika	N;NOM;FEM;PL	N;NOM;FEM;PL
suchá	suho	sucho	suho	N;NOM;FEM;SG	N;NOM;NEUT;SG
poddruh	podvrsta	poddruh	podvrst	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
infraštruktúra	infrastruktura	infraštruktúra	infrastruktura	N;NOM;FEM;SG	N;NOM;FEM;SG
nahrávanie	učitavanje	nahrávanie	učitavanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
nahrávanie	prijenos	nahrávanie	prijenos	N;NOM;NEUT;SG	N;NOM;MASC;SG
nahrávanie	snimanje	nahrávanie	snimanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
nahrávanie	ploča	nahrávanie	ploča	N;NOM;NEUT;SG	N;NOM;FEM;SG
čítať	pročitajte	čítať	pročitati	V;IPFV;POS;NFIN	V;IMP;PL;2;FIN
klavirista	pijanist	klavirista	pijanist	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
kabíny	kolibe	kabína	kolibiti	N;NOM;FEM;PL	N;NOM;FEM;PL
kabíny	kabine	kabína	kabina	N;NOM;FEM;PL	N;NOM;FEM;PL
dutiny	šupljine	dutina	šupljina	N;NOM;FEM;PL	N;NOM;FEM;PL
dutiny	šupljine	dutina	šupljina	N;NOM;FEM;PL	N;NOM;FEM;PL
organické	organsko	organický	organski	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;NEUT;SG
organické	organska	organický	organski	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;FEM;SG
portálu	portala	portál	portal	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
vyvinuli	evoluirali	vyvinúť	evoluirati	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;MASC;PL;PST;V.PTCP;ACT
skutočné	pravi	skutočný	prav	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
návštevy	posjetitelji	návšteva	posjetitelj	N;NOM;FEM;PL	N;NOM;MASC;PL
návštevy	posjetioci	návšteva	posjetiok	N;NOM;FEM;PL	N;NOM;MASC;PL
predstaviť	zamislite	predstaviť	zamisliti	V;PFV;POS;NFIN	V;IMP;PL;2;FIN
citát	citat	citát	citat	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
štvrté	četvrti	štvrť	četvrti	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
štvrté	četvrta	štvrť	četvrt	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
štvrté	četvrto	štvrť	četvrti	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
vzduchom	zrakom	vzduch	zrak	N;INAN;INS;MASC;SG	N;INS;MASC;SG
equus	equus	equus	equus	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
licencie	dozvole	licencia	dozvola	N;NOM;FEM;PL	N;NOM;FEM;PL
licencie	licence	licencia	licenca	N;NOM;FEM;PL	N;NOM;FEM;PL
budovať	grade	budovať	graditi	V;IPFV;POS;NFIN	V;IND;PL;3;PRS;FIN
budovať	izgradi	budovať	izgraditi	V;IPFV;POS;NFIN	V;IND;SG;3;PRS;FIN
budovať	izgraditi	budovať	izgraditi	V;IPFV;POS;NFIN	V;NFIN
budovať	graditi	budovať	graditi	V;IPFV;POS;NFIN	V;NFIN
hlboké	duboka	hlboký	dubok	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;FEM;SG
odhad	procjena	odhad	procjena	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
odhad	procjena	odhad	procjena	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
folk	folk	folk	folk	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
koalície	koalicije	koalícia	koalicija	N;NOM;FEM;PL	N;NOM;FEM;PL
charakteristiky	karakteristike	charakteristika	karakteristika	N;NOM;FEM;PL	N;NOM;FEM;PL
charakteristiky	karakteristike	charakteristika	karakteristika	N;NOM;FEM;PL	N;NOM;FEM;PL
briti	britanci	brit	britanac	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
briti	britanci	brit	britanac	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
čínske	kinesko	čínsky	kineski	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
čínske	kineski	čínsky	kineski	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
čínske	kineska	čínsky	kineski	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;FEM;SG
mama	mama	mama	mam	N;NOM;FEM;SG	N;NOM;FEM;SG
mama	mama	mama	mam	N;NOM;FEM;SG	N;NOM;FEM;SG
mama	mami	mama	mama	N;NOM;FEM;SG	N;NOM;FEM;SG
mama	majko	mama	majko	N;NOM;FEM;SG	N;NOM;FEM;SG
mama	majka	mama	majka	N;NOM;FEM;SG	N;NOM;FEM;SG
mama	mama	mama	mam	N;NOM;FEM;SG	N;NOM;FEM;SG
zaznamenané	snimljeno	zaznamenaný	snimiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
zaznamenané	zabilježeno	zaznamenaný	zabilježiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP;PASS
zaznamenané	zabilježeno	zaznamenaný	zabilježiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP;PASS
prepustený	pušten	prepustený	pušten	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;SG;V.PTCP;PASS
prepustený	puštena	prepustený	pustiti	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;DEF;FEM;SG;V.PTCP
prepustený	otpušten	prepustený	otpustiti	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;SG;V.PTCP;PASS
venuša	venera	venuša	venera	N;NOM;FEM;SG	N;NOM;FEM;SG
väzení	zatvor	väzenie	zatvor	N;NOM;NEUT;SG	N;NOM;MASC;SG
harvard	harvard	harvard	harvard	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
harvard	harvarda	harvard	harvarda	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
nepriateľov	neprijatelje	nepriateľ	neprijatelj	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
geometria	geometrija	geometria	geometrija	N;NOM;FEM;SG	N;NOM;FEM;SG
reprezentácia	zastupljenost	reprezentácia	zastupljenost	N;NOM;FEM;SG	N;NOM;FEM;SG
priatelia	prijateljice	priateľ	prijateljica	N;ANIM;NOM;MASC;PL	N;NOM;FEM;PL
priatelia	prijatelji	priateľ	prijatelj	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
verše	stihovi	verš	stih	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
socialistická	socijalistička	socialistický	socijalistički	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
vrtuľníky	helikopteri	vrtuľník	helikopter	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
vrtuľníky	helikopteri	vrtuľník	helikopter	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
titan	titan	titan	titan	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
diely	djelovi	diely	djelova	N;NOM;FEM;PL	N;NOM;MASC;PL
diely	dijelovi	diely	dio	N;NOM;FEM;PL	N;NOM;MASC;PL
diely	rezovi	diely	rez	N;NOM;FEM;PL	N;NOM;MASC;PL
počuť	čuti	počuť	čuti	V;IPFV;POS;NFIN	V;NFIN
chemicky	kemijski	chemicky	kemijski	ADV	ADV
oskar	oskar	oskar	oskar	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
oskar	oscar	oskar	oscar	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
oskar	oskar	oskar	oskar	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
predstavenie	izvedba	predstavenie	izvedba	N;NOM;NEUT;SG	N;NOM;FEM;SG
predstavenie	izvođenje	predstavenie	izvođenje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
predstavenie	nastup	predstavenie	nastup	N;NOM;NEUT;SG	N;NOM;MASC;SG
predstavenie	show	predstavenie	show	N;NOM;NEUT;SG	N;NOM;MASC;SG
vraždy	ubojstva	vražda	ubojstvo	N;NOM;FEM;PL	N;NOM;NEUT;PL
vraždy	ubojstava	vražda	ubojstvo	N;NOM;FEM;PL	N;NOM;NEUT;PL
vraždy	ubojstva	vražda	ubojstvo	N;NOM;FEM;PL	N;NOM;NEUT;PL
vraždy	umorstva	vražda	umorstvo	N;NOM;FEM;PL	N;NOM;NEUT;PL
ensign	zastavnik	ensign	zastavnik	N;NOM;FEM;SG	N;NOM;MASC;SG
vybrať	odaberite	vybrať	odabrati	V;PFV;POS;NFIN	V;IMP;PL;2;FIN
vybrať	izaberite	vybrať	izabrerati	V;PFV;POS;NFIN	V;IMP;PL;2;FIN
vybrať	odaberite	vybrať	odabrati	V;PFV;POS;NFIN	V;IMP;PL;2;FIN
činiteľ	čimbenik	činiteľ	čimbenik	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
činiteľ	faktor	činiteľ	faktor	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
štandardy	standardi	štandard	standard	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
čisté	čista	čistý	čist	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;FEM;SG
čisté	čisti	čistý	čist	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
súbežne	istovremeno	súbežne	istovremeno	ADV	ADV
súbežne	istodobno	súbežne	istodobno	ADV	ADV
súbežne	paralelno	súbežne	paralelno	ADV	ADV
tvrdenia	tvrdnje	tvrdenie	tvrdnja	N;NOM;NEUT;PL	N;NOM;FEM;PL
tvrdenia	potraživanja	tvrdenie	potraživanje	N;NOM;NEUT;PL	N;NOM;NEUT;PL
tvrdenia	tvrdnje	tvrdenie	tvrdnja	N;NOM;NEUT;PL	N;NOM;FEM;PL
tvrdenia	argumenti	tvrdenie	argument	N;NOM;NEUT;PL	N;NOM;MASC;PL
ručne	ručno	ručne	ručno	ADV	ADV
súkromný	privatni	súkromný	privatan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
plody	plodovi	plod	plod	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
fórum	forum	fórum	forum	N;NOM;NEUT;SG	N;NOM;MASC;SG
relácia	sesija	relácia	sesija	N;NOM;FEM;SG	N;NOM;FEM;SG
relácia	sjednica	relácia	sjednica	N;NOM;FEM;SG	N;NOM;FEM;SG
nahradená	zamijenjena	nahradený	zamijeniti	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;NOM;DEF;FEM;SG;V.PTCP
nahradená	zamijenjen	nahradený	zamijeniti	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP;PASS
pohyby	pokreti	pohyb	pokret	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
pohyby	pokreti	pohyb	pokret	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
pohyby	potezi	pohyb	potez	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
psychológ	psiholog	psychológ	psihol	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
