warunek	شرط	warunek	شرط	N;ACC;MASC;SG	N;SG
wewnętrzna	درونی	wewnętrzny	درونی	ADJ;NOM;FEM;SG	ADJ
umieszczenie	کاریابی	umieszczenie	کاریابی	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
kapłan	کاهن	kapłan	کاهن	N;NOM;MASC;SG	N;SG
kapłan	کشیش	kapłan	کشیش	N;NOM;MASC;SG	N;SG
kapłan	کشیشی	kapłan	کشیش	N;NOM;MASC;SG	N;SG
orlando	اورلاندو	orlando	اورلاندو	N;NOM;NEUT;SG	N;SG
opinia	نظر	opinia	نظر	N;NOM;FEM;SG	N;SG
opinia	پندار	opinia	پندار	N;NOM;FEM;SG	N;SG
opinia	گمان	opinia	گمان	N;NOM;FEM;SG	N;SG
opinia	بازخورد	opinia	بازخورد	N;NOM;FEM;SG	N;SG
postawy	نگرش	postawa	نگرش	N;GEN;FEM;SG	N;SG
postawy	منش	postawa	منش	N;GEN;FEM;SG	N;SG
postawy	گرایش	postawa	گرایش	N;GEN;FEM;SG	N;SG
kasy	پول	kasa	پول	N;ACC;FEM;SG	N;SG
kasy	پولی	kasa	پولی	N;ACC;FEM;SG	N;SG
kasy	وارسی	kasa	None	N;ACC;FEM;SG	N;SG
kasy	نقد	kasa	نقد	N;ACC;FEM;SG	N;SG
kasy	نقدی	kasa	نقد	N;ACC;FEM;SG	N;SG
kasy	کش	kasa	None	N;ACC;FEM;SG	N;SG
studenci	دانشجویان	student	دانشجو	N;NOM;MASC;PL	N;PL
zęby	دندانها	ząb	دندان	N;NOM;MASC;PL	N;PL
zęby	دندانهای	ząb	دندان	N;NOM;MASC;PL	N;PL
duszy	نفس	dusza	نفس	N;GEN;FEM;SG	N;SG
duszy	سول	dusza	سول	N;GEN;FEM;SG	N;SG
duszy	نفسی	dusza	نفس	N;GEN;FEM;SG	N;SG
przeznaczeniem	سرنوشت	przeznaczenie	سرنوشت	N;INS;NEUT;SG	N;SG
przeznaczeniem	تقدیر	przeznaczenie	تقدیر	N;INS;NEUT;SG	N;SG
przeznaczeniem	سرنوشتی	przeznaczenie	سرنوشتی	N;INS;NEUT;SG	N;SG
obywatel	همشهری	obywatel	None	N;NOM;MASC;SG	N;SG
obywatel	شهروند	obywatel	شهروند	N;NOM;MASC;SG	N;SG
obywatel	شهروندی	obywatel	شهروندی	N;NOM;MASC;SG	N;SG
irlandia	ایرلند	irlandia	ایرلند	N;NOM;FEM;SG	N;SG
osobno	جداگانه	osobno	جداگانه	ADV	ADV
ferdinand	فردیناند	ferdinand	فردیناند	N;NOM;MASC;SG	N;SG
skała	سنگی	skała	سنگی	N;NOM;FEM;SG	N;SG
skała	صخره	skała	None	N;NOM;FEM;SG	N;SG
skała	راک	skała	راک	N;NOM;FEM;SG	N;SG
łaski	بخشش	łaska	بخشش	N;ACC;FEM;SG	N;SG
łaski	رحمت	łaska	رحمت	N;ACC;FEM;SG	N;SG
łaski	رحمتی	łaska	رحمت	N;ACC;FEM;SG	N;SG
łaski	فضل	łaska	None	N;ACC;FEM;SG	N;SG
łaski	گریس	łaska	گریس	N;ACC;FEM;SG	N;SG
zachowań	رفتارها	zachowanie	رفتار	N;GEN;NEUT;PL	N;PL
parametr	پارامتر	parametr	پارامتر	N;NOM;MASC;SG	N;SG
narciarstwo	اسکی	narciarstwo	اسکی	N;NOM;NEUT;SG	N;SG
terytoriów	سرزمینهای	terytoria	سرزمین	N;GEN;NEUT;PL	N;PL
ochotników	داوطلبان	ochotnik	داوطلب	N;ACC;MASC;PL	N;PL
pojęć	مفاهیم	pojęć	مفهوم	N;GEN;NEUT;PL	N;PL
uruchomienie	پرتاب	uruchomienie	None	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
gilles	ژیل	gilles	ژیل	N;NOM;MASC;SG	N;SG
zaproszenie	دعوت	zaprosić	دعوت	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
zaproszenie	دعوت	zaprosić	دعوت	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
zaproszenie	دعوتنامه	zaprosić	دعوتنامه	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
podwozie	اسکلت	podwóź	اسکلت	N;NOM;MASC;SG	N;SG
podwozie	شاسی	podwóź	شاسی	N;NOM;MASC;SG	N;SG
blog	بلاگ	blog	بلاگ	N;NOM;MASC;SG	N;SG
blog	وبلاگ	blog	وبلاگ	N;NOM;MASC;SG	N;SG
zębów	دندانها	ząb	دندان	N;GEN;MASC;PL	N;PL
zębów	دندانهای	ząb	دندان	N;GEN;MASC;PL	N;PL
orbicie	مدار	orbić	مدار	N;DAT;FEM;SG	N;SG
odra	odra	odra	odra		
korzyść	منفعت	korzyść	منفعت	N;NOM;FEM;SG	N;SG
korzyść	نفع	korzyść	نفع	N;NOM;FEM;SG	N;SG
korzyść	سودی	korzyść	None	N;NOM;FEM;SG	N;SG
korzyść	سود	korzyść	None	N;NOM;FEM;SG	N;SG
korzyść	مزیت	korzyść	مزیت	N;NOM;FEM;SG	N;SG
calgary	کلگری	calgary	کلگری	N;NOM;MASC;SG	N;SG
historycy	مورخان	historyk	مورخ	N;NOM;MASC;PL	N;PL
portland	پورتلند	portland	پورتلند	N;NOM;MASC;SG	N;SG
terytoria	سرزمینهای	terytoria	سرزمین	N;NOM;NEUT;PL	N;PL
algorytm	الگوریتم	algoryt	الگوریتم	N;ACC;MASC;SG	N;SG
koronę	کرون	korona	کرون	N;ACC;FEM;SG	N;SG
koronę	کراون	korona	کراون	N;ACC;FEM;SG	N;SG
koronę	تاج	korona	تاج	N;ACC;FEM;SG	N;SG
kamienie	سنگها	kamień	سنگ	N;NOM;MASC;PL	N;PL
kamienie	سنگها	kamień	سنگ	N;NOM;MASC;PL	N;PL
umiera	میمیرد	umierać	مرمید#میمر	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
tunel	تونلی	tunel	تونلی	N;NOM;MASC;SG	N;SG
tunel	تونل	tunel	None	N;NOM;MASC;SG	N;SG
zbiorniki	سدها	zbiornik	سد	N;NOM;MASC;PL	N;PL
zbiorniki	تانکها	zbiornik	None	N;NOM;MASC;PL	N;PL
ewakuacji	تخلیه	ewakuacja	None	N;GEN;FEM;SG	N;SG
wymiar	بُعد	wymiar	بوعد	N;NOM;MASC;SG	N;SG
bonus	پاداش	bonus	پاداش	N;NOM;MASC;SG	N;SG
bonus	جایزه	bonus	جایزه	N;NOM;MASC;SG	N;SG
rolnictwo	کشاورزی	rolnictwo	کشاورزی	N;NOM;NEUT;SG	N;SG
rolnictwo	زراعتی	rolnictwo	زراعت	N;NOM;NEUT;SG	N;SG
rolnictwo	کشاورزی	rolnictwo	کشاورزی	N;NOM;NEUT;SG	N;SG
rolnictwo	زراعت	rolnictwo	زراعت	N;NOM;NEUT;SG	N;SG
rolnictwo	کشاورزی	rolnictwo	کشاورزی	N;NOM;NEUT;SG	N;SG
pokład	ورق	pokład	ورق	N;NOM;MASC;SG	N;SG
pokład	عرشه	pokład	عرشه	N;NOM;MASC;SG	N;SG
sprzeciw	اعتراض	sprzeciw	اعتراض	N;NOM;MASC;SG	N;SG
sprzeciw	اعتراضی	sprzeciw	اعتراض	N;NOM;MASC;SG	N;SG
sprzeciw	اپوزیسیون	sprzeciw	اپوزیسیون	N;NOM;MASC;SG	N;SG
sprzeciw	مخالف	sprzeciw	مخالف	N;NOM;MASC;SG	N;SG
sprzeciw	مخالفت	sprzeciw	مخالفت	N;NOM;MASC;SG	N;SG
atlanta	آتلانتا	atlant	آتلانتا	N;NOM;MASC;SG	N;SG
kolonię	کلونی	kolonia	کلونی	N;ACC;FEM;SG	N;SG
kolonię	مستعمره	kolonia	مستعمره	N;ACC;FEM;SG	N;SG
słowacja	اسلواکی	słowacja	اسلواکی	N;NOM;FEM;SG	N;SG
usuwanie	حذف	usuwać	حذف	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
usuwanie	حذف	usuwać	حذف	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
poczucie	عقل	poczucie	عقل	N;NOM;NEUT;SG	N;SG
poczucie	حس	poczucie	حس	N;NOM;NEUT;SG	N;SG
rany	جراحت	rana	جراحت	N;ACC;FEM;SG	N;SG
rany	زخم	rana	زخم	N;ACC;FEM;SG	N;SG
substancje	مادهای	substancja	ماد	N;NOM;FEM;PL	N;PL
substancje	اموال	substancja	مال	N;NOM;FEM;PL	N;PL
pływak	شناگر	pływak	شناگر	N;NOM;MASC;SG	N;SG
pływak	swimmer	pływak	None	N;NOM;MASC;SG	N;SG
ogromny	حجیم	ogromny	حجیم	ADJ;NOM;MASC;SG	ADJ
schemat	نمودار	schemat	نمودار	N;NOM;MASC;SG	N;SG
schemat	طرحواره	schemat	طرحواره	N;NOM;MASC;SG	N;SG
schemat	طرحواره	schemat	طرحواره	N;NOM;MASC;SG	N;SG
schemat	شمای	schemat	شما	N;NOM;MASC;SG	N;SG
fotografia	فتو	fotografia	فتو	N;NOM;FEM;SG	N;SG
fotografia	photo	fotografia	photo	N;NOM;FEM;SG	N;SG
fotografia	عکس	fotografia	عکس	N;NOM;FEM;SG	N;SG
fotografia	عکاسی	fotografia	عکاسی	N;NOM;FEM;SG	N;SG
fotografia	photography	fotografia	photography	N;NOM;FEM;SG	N;SG
fotografia	عکسبرداری	fotografia	عکسبرداری	N;NOM;FEM;SG	N;SG
fotografia	عکس	fotografia	عکس	N;NOM;FEM;SG	N;SG
krajobraz	عرضی	krajobraz	عرضی	N;NOM;MASC;SG	N;SG
krajobraz	منظره	krajobraz	منظره	N;NOM;MASC;SG	N;SG
tramwaj	تراموا	tramwa	تراموا	N;NOM;MASC;SG	N;SG
tramwaj	تراموا	tramwa	تراموا	N;NOM;MASC;SG	N;SG
tramwaj	اتوبوسی	tramwa	اتوبوسی	N;NOM;MASC;SG	N;SG
tkanki	بافتهای	tkanka	بافت	N;ACC;FEM;PL	N;PL
tkanki	بافتها	tkanka	بافت	N;ACC;FEM;PL	N;PL
skuteczność	عملکرد	skuteczność	عملکرد	N;NOM;FEM;SG	N;SG
skuteczność	اجرا	skuteczność	اجرا	N;NOM;FEM;SG	N;SG
skuteczność	کارایی	skuteczność	کارایی	N;NOM;FEM;SG	N;SG
skuteczność	اثربخشی	skuteczność	اثربخشی	N;NOM;FEM;SG	N;SG
skuteczność	اثربخشی	skuteczność	اثربخشی	N;NOM;FEM;SG	N;SG
skuteczność	بازده	skuteczność	بازده	N;NOM;FEM;SG	N;SG
skuteczność	کارایی	skuteczność	کارایی	N;NOM;FEM;SG	N;SG
tryby	حالتهای	tryb	حالت	N;NOM;MASC;PL	N;PL
władcą	حاکم	władca	حاکم	N;INS;MASC;SG	N;SG
ślad	دنباله	ślad	دنباله	N;NOM;MASC;SG	N;SG
ślad	ردیابی	ślad	None	N;NOM;MASC;SG	N;SG
testament	وصیتنامه	testament	وصیتنامه	N;ACC;MASC;SG	N;SG
testament	وصیت	testament	وصیت	N;ACC;MASC;SG	N;SG
podobieństwo	شباهتی	podobieństwo	شباهت	N;NOM;NEUT;SG	N;SG
podobieństwo	تشابه	podobieństwo	تشابه	N;NOM;NEUT;SG	N;SG
podobieństwo	شباهت	podobieństwo	شباهت	N;NOM;NEUT;SG	N;SG
podobieństwo	تشابه	podobieństwo	تشابه	N;NOM;NEUT;SG	N;SG
podobieństwo	شباهت	podobieństwo	شباهت	N;NOM;NEUT;SG	N;SG
zatrudnienie	استخدام	zatrudnienie	استخدام	N;NOM;NEUT;SG	N;SG
zatrudnienie	اشتغال	zatrudnienie	اشتغال	N;NOM;NEUT;SG	N;SG
zatrudnienie	استخدام	zatrudnienie	استخدام	N;NOM;NEUT;SG	N;SG
horror	ترسناک	horror	None	N;NOM;MASC;SG	N;SG
horror	وحشت	horror	وحشت	N;NOM;MASC;SG	N;SG
technologia	فناوری	technologia	فناوری	N;NOM;FEM;SG	N;SG
technologia	تکنولوژی	technologia	None	N;NOM;FEM;SG	N;SG
oklahoma	اکلاهما	oklahy	اکلاهما	N;NOM;NEUT;SG	N;SG
konkretne	مشخص	konkretny	مشخص	ADJ;NOM;NEUT;SG	ADJ
konflikty	درگیریهای	konflikt	درگیری	N;NOM;MASC;PL	N;PL
wezwanie	احضار	wezwanie	احضار	N;NOM;NEUT;SG	N;SG
wezwanie	فراخوانی	wezwanie	فراخوانی	N;NOM;NEUT;SG	N;SG
sophie	سوفی	soph	سوفی	N;NOM;FEM;SG	N;SG
skrzyżowanie	چهارراه	skrzyżowanie	چهارراه	N;NOM;NEUT;SG	N;SG
skrzyżowanie	تقاطع	skrzyżowanie	تقاطع	N;NOM;NEUT;SG	N;SG
skrzyżowanie	جانکشن	skrzyżowanie	جانکشن	N;NOM;NEUT;SG	N;SG
skrzyżowanie	تلاقی	skrzyżowanie	تلاقی	N;NOM;NEUT;SG	N;SG
poprawę	بهبود	poprawa	بهبود	N;ACC;FEM;SG	N;SG
architektów	معماران	architekt	معمار	N;ACC;MASC;PL	N;PL
czytać	بخوان	czytać	None	V;IPFV;NFIN;ACT	V;IMP;SG;2
czytać	خوانده	czytać	خواند#خوان	V;IPFV;NFIN;ACT	V;SG;3;V.PTCP
czytać	بخوانند	czytać	خواند#خوان	V;IPFV;NFIN;ACT	V;SBJV;PL;3;PRS
czytać	بخوانید	czytać	خواند#خوان	V;IPFV;NFIN;ACT	V;SBJV;PL;2;PRS
zapasy	تدارکات	zapas	تدارک	N;NOM;MASC;PL	N;PL
zapasy	تجهیزات	zapas	تجهیزات	N;NOM;MASC;PL	N;PL
zapasy	انبارها	zapas	انبار	N;NOM;MASC;PL	N;PL
zapasy	سهام	zapas	سهم	N;NOM;MASC;PL	N;PL
zapasy	سهام	zapas	سهم	N;NOM;MASC;PL	N;PL
cesarzem	امپراتور	cesarz	امپراتور	N;INS;MASC;SG	N;SG
cesarzem	امپراطور	cesarz	امپراطور	N;INS;MASC;SG	N;SG
chrześcijaństwo	مسیحیت	chrześcijaństwo	مسیحیت	N;NOM;NEUT;SG	N;SG
make	make	maka	make		
instrukcji	دستورالعمل	instrukcja	دستورالعمل	N;GEN;FEM;SG	N;SG
zgoda	رضایت	zgoda	رضایت	N;NOM;FEM;SG	N;SG
zgoda	موافقت	zgoda	موافقت	N;NOM;FEM;SG	N;SG
zgoda	موافق	zgoda	موافق	N;NOM;FEM;SG	N;SG
zgoda	توافق	zgoda	توافق	N;NOM;FEM;SG	N;SG
genewie	ژنو	genew	ژنو	N;NOM;MASC;SG	N;SG
ojców	پدران	ojciec	پدر	N;ACC;MASC;PL	N;PL
ojców	پدرها	ojciec	پدر	N;ACC;MASC;PL	N;PL
ojców	پدرها	ojciec	پدر	N;ACC;MASC;PL	N;PL
zapewnienie	تضمین	zapewnić	تضمین	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
zapewnienie	اطمینانی	zapewnić	اطمینان	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
barwa	رنگ	barwa	رنگ	N;NOM;FEM;SG	N;SG
barwa	رنگ	barwa	رنگ	N;NOM;FEM;SG	N;SG
wspomnień	خاطرات	wspomnienie	خاطره	N;GEN;NEUT;PL	N;PL
inżynieria	مهندسی	inżynierie	مهندسی	N;NOM;FEM;SG	N;SG
radnego	کدخدا	radny	کدخدا	N;ACC;MASC;SG	N;SG
literaturę	ادبیات	literatura	ادبیات	N;ACC;FEM;SG	N;SG
literaturę	literature	literatura	literature	N;ACC;FEM;SG	N;SG
artyleria	توپخانه	artylerium	توپخانه	N;NOM;FEM;SG	N;SG
siatkówki	شبکیه	siatkówka	شبکیه	N;NOM;FEM;SG	N;SG
siatkówki	شبکیه	siatkówka	شبکیه	N;NOM;FEM;SG	N;SG
siatkówki	والیبال	siatkówka	والیبال	N;NOM;FEM;SG	N;SG
concacaf	کونکاکاف	concacaf	کونکاکاف	N;GEN;MASC;SG	N;SG
buffalo	بوفالو	buffalo	None	N;NOM;MASC;SG	N;SG
prawdopodobieństwo	احتمال	prawdopodobieństwo	احتمال	N;NOM;NEUT;SG	N;SG
prawdopodobieństwo	احتمال	prawdopodobieństwo	احتمال	N;NOM;NEUT;SG	N;SG
zwłoki	جسدها	zwłoki	جسد	N;ACC;NEUT;PL	N;PL
zwłoki	اجساد	zwłoki	جسد	N;ACC;NEUT;PL	N;PL
wieczny	پاینده	wieczny	پاینده	ADJ;NOM;MASC;SG	ADJ
wieczny	پاینده	wieczny	پاینده	ADJ;NOM;MASC;SG	ADJ
stężenie	غلظت	stężyć	None	N;NOM;NEUT;SG	N;SG
stężenie	غلظت	stężyć	None	N;NOM;NEUT;SG	N;SG
inżynierów	مهندسان	inżynier	مهندس	N;ACC;MASC;PL	N;PL
inżynierów	مهندسین	inżynier	مهندس	N;ACC;MASC;PL	N;PL
inżynierów	کارشناسان	inżynier	کارشناس	N;ACC;MASC;PL	N;PL
zjednoczenie	همبستگی	zjednoczenie	همبستگی	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
zjednoczenie	وحدت	zjednoczenie	وحدت	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
zjednoczenie	اتحاد	zjednoczenie	اتحاد	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
zjednoczenie	یگانگی	zjednoczenie	یگانگی	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
zjednoczenie	گردهمایی	zjednoczenie	گردهمایی	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
wnioski	کاربردها	wniosek	کاربرد	N;NOM;MASC;PL	N;PL
wnioski	درخواستها	wniosek	درخواست	N;NOM;MASC;PL	N;PL
rak	سرطانی	rak	سرطانی	N;NOM;MASC;SG	N;SG
rak	سرطان	rak	سرطان	N;NOM;MASC;SG	N;SG
luksemburga	لوکزامبورگ	luksemburga	لوکزامبورگ	N;GEN;MASC;SG	N;SG
atlantyku	اطلسی	atlantyk	اطلسی	N;GEN;MASC;SG	N;SG
atlantyku	آتلانتیک	atlantyk	آتلانتیک	N;GEN;MASC;SG	N;SG
pytaj	بپرس	pytać	بپرس	V;IPFV;IMP;SG;2;FIN;ACT	V;IMP;SG;2
ronald	رونالد	ronald	رونالد	N;NOM;MASC;SG	N;SG
pozytywne	مثبت	pozytywny	مثبت	ADJ;NOM;NEUT;SG	ADJ
historie	داستان	histora	داستان	N;NOM;FEM;SG	N;SG
magnus	ماگنوس	magnus	ماگنوس	N;NOM;MASC;SG	N;SG
przejęcia	تصاحب	przejąć	تصاحب	N;NOM;NEUT;SG	N;SG
nagrobek	مقبره	nagrobek	مقبره	N;ACC;MASC;SG	N;SG
nagrobek	آرامگاه	nagrobek	آرامگاه	N;ACC;MASC;SG	N;SG
rozmieszczenie	استقرار	rozmieszczenie	استقرار	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
rozmieszczenie	چیدمان	rozmieszczenie	چیدم	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
dłoni	نخل	dłoń	نخل	N;GEN;FEM;SG	N;SG
dłoni	خرمایی	dłoń	خرمایی	N;GEN;FEM;SG	N;SG
wiara	ایمانش	wiara	ایمانش	N;NOM;FEM;SG	N;SG
wiara	ایمان	wiara	ایمان	N;NOM;FEM;SG	N;SG
wiara	ایمانی	wiara	ایمان	N;NOM;FEM;SG	N;SG
wiara	اعتقاد	wiara	اعتقاد	N;NOM;FEM;SG	N;SG
myślenia	تفکر	myślenie	تفکر	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
myślenia	فکر	myślenie	فکر	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
mks	mks	mksieć	mks		
głębokie	عمیق	głęboki	عمیق	ADJ;NOM;NEUT;SG	ADJ
głębokie	عمیق	głęboki	عمیق	ADJ;NOM;NEUT;SG	ADJ
przejęcie	تصاحب	przejąć	تصاحب	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
plakat	پوستر	plakat	پوستر	N;NOM;MASC;SG	N;SG
plakat	اعلامیه	plakat	None	N;NOM;MASC;SG	N;SG
inicjatywa	ابتکار	inicjatywa	None	N;NOM;FEM;SG	N;SG
bohaterka	شیرزن	bohaterka	None	N;NOM;FEM;SG	N;SG
wdowa	بیوه	wdowa	بیوه	N;NOM;FEM;SG	N;SG
synod	synod	synod	synod	N;NOM;MASC;SG	N;SG
wyrażenia	تجلّی	wyrażenie	تجلّی	N;NOM;NEUT;SG	N;SG
wyrażenia	عبارت	wyrażenie	عبارت	N;NOM;NEUT;SG	N;SG
starsza	بزرگتر	stary	بزرگ	ADJ;NOM;CMPR;FEM;SG	ADJ;CMPR
starsza	پیرتر	stary	پیر	ADJ;NOM;CMPR;FEM;SG	ADJ;CMPR
porównania	مقایسه	porównanie	مقایسه	N;NOM;NEUT;SG	N;SG
poczęcia	لقاح	począć	لقاح	N;GEN;NEUT;SG	N;SG
chaos	خرابکاری	chaos	خرابکاری	N;NOM;MASC;SG	N;SG
chaos	آشفتگی	chaos	آشفتگی	N;NOM;MASC;SG	N;SG
chaos	آشوب	chaos	آشوب	N;NOM;MASC;SG	N;SG
zarzut	دادخواست	zarzut	دادخواست	N;NOM;MASC;SG	N;SG
dziób	منقار	dziób	منقار	N;NOM;MASC;SG	N;SG
dialog	محاوره	dialog	محاوره	N;NOM;MASC;SG	N;SG
palace	کاخ	palak	کاخ	N;NOM;MASC;SG	N;SG
palace	قصر	palak	None	N;NOM;MASC;SG	N;SG
sztuczne	مصنوعی	sztuczny	مصنوعی	ADJ;NOM;NEUT;SG	ADJ
baltimore	بالتیمور	baltimor	بالتیمور	N;NOM;MASC;SG	N;SG
ogrodzie	باغچه	ogród	باغچه	N;DAT;MASC;SG	N;SG
ogrodzie	باغ	ogród	باغ	N;DAT;MASC;SG	N;SG
ogrodzie	گاردن	ogród	گاردن	N;DAT;MASC;SG	N;SG
ogrodzie	بهشت	ogród	بهشت	N;DAT;MASC;SG	N;SG
galaktyk	کهکشانها	galaktyk	کهکشان	N;GEN;MASC;PL	N;PL
przekonany	قانع	przekonany	None	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ
jessica	جسیکا	jessica	جسیکا	N;NOM;FEM;SG	N;SG
bibliotekę	کتابخانه	biblioteka	کتابخانه	N;ACC;FEM;SG	N;SG
orbitę	مدار	orbić	مدار	N;ACC;FEM;SG	N;SG
mohamed	محمد	mohamed	محمد	N;NOM;MASC;SG	N;SG
osobowość	شخصیت	osobowość	شخصیت	N;NOM;FEM;SG	N;SG
osobowość	شخصیتی	osobowość	شخصیت	N;NOM;FEM;SG	N;SG
ciężki	سنگین	ciężki	سنگین	ADJ;NOM;MASC;SG	ADJ
zależność	وابستگی	zależność	وابستگی	N;NOM;FEM;SG	N;SG
oddanie	اهدا	oddanie	اهدا	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
oddanie	اهداء	oddanie	هدع	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
oddanie	فداکاری	oddanie	فداکاری	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
oddanie	صمیمیت	oddanie	صمیمیت	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;SG
podejścia	رویکرد	podejść	رویکرد	N;GEN;NEUT;SG	N;SG
podmiot	سوژه	podmiot	None	N;NOM;MASC;SG	N;SG
podmiot	فاعل	podmiot	None	N;NOM;MASC;SG	N;SG
podmiot	موضوع	podmiot	موضوع	N;NOM;MASC;SG	N;SG
podmiot	موجودیت	podmiot	موجودیت	N;NOM;MASC;SG	N;SG
wież	برجهای	wież	برج	N;GEN;FEM;PL	N;PL
wież	برجها	wież	برج	N;GEN;FEM;PL	N;PL
kość	استخوان	kość	استخوان	N;NOM;FEM;SG	N;SG
współpracownik	همتای	współpracownik	همتا	N;NOM;MASC;SG	N;SG
stawy	مفاصل	stawa	None	N;NOM;MASC;PL	N;PL
księżniczki	پرنسس	księżniczka	پرنسس	N;GEN;FEM;SG	N;SG
księżniczki	شاهدخت	księżniczka	شاهدخت	N;GEN;FEM;SG	N;SG
świadomość	هوشیاری	świadomość	هوشیاری	N;NOM;FEM;SG	N;SG
świadomość	خودآگاه	świadomość	خودآگاه	N;NOM;FEM;SG	N;SG
świadomość	آگاهی	świadomość	آگاهی	N;NOM;FEM;SG	N;SG
świadomość	هشیاری	świadomość	None	N;NOM;FEM;SG	N;SG
świadomość	آگاهی	świadomość	آگاهی	N;NOM;FEM;SG	N;SG
smak	مزه	smak	مزه	N;NOM;MASC;SG	N;SG
smak	مزه	smak	مزه	N;NOM;MASC;SG	N;SG
tabor	تنبور	tabor	تنبور	N;NOM;MASC;SG	N;SG
weber	وبر	weber	وبر		
przestępstwa	جرم	przestępstwo	جرم	N;NOM;NEUT;SG	N;SG
przestępstwa	جنایت	przestępstwo	جنایت	N;NOM;NEUT;SG	N;SG
przestępstwa	جُرم	przestępstwo	جُرم	N;NOM;NEUT;SG	N;SG
jutro	فردا	jutro	فردا	ADV	ADV
szybkość	سرعت	szybkość	سرعت	N;ACC;FEM;SG	N;SG
pytań	سوالات	pytanie	سوالت	N;GEN;NEUT;PL	N;PL
pytań	سؤالات	pytanie	سؤال	N;GEN;NEUT;PL	N;PL
wiktorii	ویکتوریا	wiktoria	ویکتوریا	N;GEN;FEM;SG	N;SG
alejandro	آلخاندرو	alejandro	آلخاندرو	N;NOM;MASC;SG	N;SG
zakonnica	راهبه	zakonnica	راهبه	N;NOM;FEM;SG	N;SG
wyroby	مقالات	wyrób	مقاله	N;NOM;MASC;PL	N;PL
wyroby	محصولاتی	wyrób	محصول	N;NOM;MASC;PL	N;PL
wyroby	محصولات	wyrób	محصول	N;NOM;MASC;PL	N;PL
