رده	klasy	رده	klasa	N;SG	N;GEN;FEM;SG
استان	prowincja	استان	prowincja	N;SG	N;NOM;FEM;SG
استان	region	استان	region	N;SG	N;NOM;MASC;SG
استان	regionie	استان	region	N;SG	N;ACC;MASC;SG
استان	regionu	استان	regić	N;SG	N;GEN;MASC;SG
شهر	miasta	شهر	miasto	N;SG	N;GEN;NEUT;SG
شهر	miejscowość	شهر	miejscowość	N;SG	N;NOM;FEM;SG
شهر	miasto	شهر	miasto	N;SG	N;NOM;NEUT;SG
شهر	miejscowość	شهر	miejscowość	N;SG	N;NOM;FEM;SG
شهر	miasta	شهر	miasto	N;SG	N;GEN;NEUT;SG
شهر	miasto	شهر	miasto	N;SG	N;NOM;NEUT;SG
ملی	krajowa	ملی	krajowy	ADJ	ADJ;NOM;FEM;SG
ملی	krajowe	ملی	krajowy	ADJ	ADJ;NOM;NEUT;SG
ملی	national	ملی	national	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
ملی	narodowy	ملی	narodowy	ADJ	ADJ;NOM;MASC;SG
ملی	krajowy	ملی	krajowy	ADJ	ADJ;NOM;MASC;SG
ملی	krajowych	ملی	krajowy	ADJ	ADJ;GEN;MASC;PL
کشور	ojczyzna	کشور	ojczyzna	N;SG	N;NOM;FEM;SG
کشور	kraju	کشور	kraj	N;SG	N;GEN;MASC;SG
کشور	kraj	کشور	kraj	N;SG	N;NOM;MASC;SG
کشور	państwo	کشور	państwo	N;SG	N;NOM;NEUT;SG
تاریخ	termin	تاریخ	termin	N;SG	N;NOM;MASC;SG
تاریخ	randka	تاریخ	randka	N;SG	N;NOM;FEM;SG
تاریخ	historia	تاریخ	historia	N;SG	N;NOM;FEM;SG
تاریخ	historii	تاریخ	historia	N;SG	N;GEN;FEM;SG
تاریخ	historię	تاریخ	historia	N;SG	N;ACC;FEM;SG
فیلم	filmu	فیلم	film	N;SG	N;GEN;MASC;SG
فیلم	film	فیلم	film	N;SG	N;ACC;MASC;SG
فیلم	folia	فیلم	folia	N;SG	N;NOM;FEM;SG
فیلم	film	فیلم	film	N;SG	N;ACC;MASC;SG
بخش	wydział	بخش	wydział	N;SG	N;NOM;MASC;SG
بخش	departament	بخش	departament	N;SG	N;NOM;MASC;SG
بخش	dział	بخش	dziać	N;SG	N;NOM;MASC;SG
بخش	sektor	بخش	sektor	N;SG	N;NOM;MASC;SG
بخش	branża	بخش	branż	N;SG	N;NOM;FEM;SG
بخش	sekcję	بخش	sekcja	N;SG	N;ACC;FEM;SG
بخش	sekcji	بخش	sekcja	N;SG	N;GEN;FEM;SG
بخش	dział	بخش	dziać	N;SG	N;NOM;MASC;SG
بخش	sekcja	بخش	sekcja	N;SG	N;NOM;FEM;SG
بخش	okręg	بخش	okręg	N;SG	N;NOM;MASC;SG
بخش	dzielnicy	بخش	dzielnica	N;SG	N;GEN;FEM;SG
بخش	dystrykt	بخش	dystrykt	N;SG	N;NOM;MASC;SG
بخش	dzielnica	بخش	dzielnica	N;SG	N;NOM;FEM;SG
بخش	rejon	بخش	rejon	N;SG	N;NOM;MASC;SG
جمعیت	tłum	جمعیت	tłum	N;SG	N;NOM;MASC;SG
جمعیت	tłum	جمعیت	tłum	N;SG	N;NOM;MASC;SG
جمعیت	populacja	جمعیت	populacja	N;SG	N;NOM;FEM;SG
جمعیت	populacji	جمعیت	populacja	N;SG	N;GEN;FEM;SG
جمعیت	ludność	جمعیت	ludność	N;SG	N;NOM;FEM;SG
دو	dwie	دو	dwa	NUM	NUM;ACC;FEM;PL
دو	dwóch	دو	dwa	NUM	NUM;ACC;MASC;PL
دو	dwa	دو	dwa	NUM	NUM;ACC;MASC;PL
اثر	efekt	اثر	efekt	N;SG	N;NOM;MASC;SG
اثر	skutek	اثر	skutek	N;SG	N;NOM;MASC;SG
پس	wtedy	پس	wtedy	ADV	ADV
بازیکنان	zawodnicy	بازیکن	zawodnik	N;PL	N;NOM;MASC;PL
بازیکنان	graczy	بازیکن	gracz	N;PL	N;ACC;MASC;PL
بازیکنان	gracze	بازیکن	gracz	N;PL	N;NOM;MASC;PL
آثار	artefakty	اثر	artefakt	N;PL	N;NOM;MASC;PL
آثار	efekty	اثر	efekt	N;PL	N;NOM;MASC;PL
آثار	skutki	اثر	skutek	N;PL	N;NOM;MASC;PL
دیگر	bardziej	دیگر	bardzo	ADV	ADV;CMPR
دیگر	więcej	دیگر	dużo	ADV	ADV;CMPR
می	maja	می	mieć		
می	maj	می	maj		
می	mei	می	mej		
عنوان	podpis	عنوان	podpis	N;SG	N;ACC;MASC;SG
پیوند	odnośnik	پیوند	odnośnik	N;SG	N;ACC;MASC;SG
پیوند	obligacji	پیوند	obligacja	N;SG	N;ACC;FEM;SG
پیوند	więź	پیوند	więź	N;SG	N;NOM;FEM;SG
پیوند	wiązanie	پیوند	wiązanie	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
پیش	przed	پیش	przed	ADP	ADP
بحث	kłótnie	بحث	kłótnie	N;SG	N;NOM;NEUT;SG
بحث	kłótnia	بحث	kłótnia	N;SG	N;NOM;FEM;SG
بحث	kłótni	بحث	kłótnia	N;SG	N;GEN;FEM;SG
بحث	dyskusja	بحث	dyskusja	N;SG	N;NOM;FEM;SG
بحث	omówienie	بحث	omówienie	N;SG	N;NOM;NEUT;SG
بحث	dyskusji	بحث	dyskusja	N;SG	N;GEN;FEM;SG
بحث	dyskusję	بحث	dyskusja	N;SG	N;ACC;FEM;SG
افراد	ludzi	فرد	człowiek	N;PL	N;ACC;MASC;PL
افراد	osoby	فرد	osoba	N;PL	N;NOM;FEM;PL
افراد	ludzie	فرد	człowiek	N;PL	N;NOM;MASC;PL
دوره	kurs	دوره	kurs	N;SG	N;NOM;MASC;SG
دوره	epoka	دوره	epoka	N;SG	N;NOM;FEM;SG
دوره	okres	دوره	okres	N;SG	N;NOM;MASC;SG
دهه	dziesięciolecia	دهه	dziesięciolecie	N;SG	N;NOM;NEUT;SG
دهه	dekadę	دهه	dekada	N;SG	N;ACC;FEM;SG
متر	metry	متر	metr	N;SG	N;ACC;MASC;SG
متر	metry	متر	metr	N;SG	N;ACC;MASC;SG
متر	licznik	متر	licznik	N;SG	N;NOM;MASC;SG
متر	miernik	متر	miernik	N;SG	N;NOM;MASC;SG
کاربر	użytkownika	کاربر	użytkownik	N;SG	N;ACC;MASC;SG
کاربر	użytkownik	کاربر	użytkownik	N;SG	N;NOM;MASC;SG
مناطق	dzielnice	منطقه	dzielnica	N;PL	N;NOM;FEM;PL
مناطق	okręgi	منطقه	okręga	N;PL	N;NOM;MASC;PL
مناطق	okręgów	منطقه	okręg	N;PL	N;GEN;MASC;PL
مناطق	tereny	منطقه	teren	N;PL	N;NOM;MASC;PL
مناطق	obszary	منطقه	obszar	N;PL	N;NOM;MASC;PL
مناطق	obszarach	منطقه	obszary	N;PL	N;GEN;MASC;PL
مناطق	powierzchnie	منطقه	powierzchnie	N;PL	N;NOM;FEM;PL
هر	każda	هر	każdy	DET	DET;NOM;FEM;SG
هر	każdy	هر	każdy	DET	DET;NOM;MASC;SG
هر	jakikolwiek	هر	jakikolwiek	DET	DET;NOM;MASC;SG
هر	jakiekolwiek	هر	jakiekolwiek	DET	DET;NOM;MASC;SG
باشگاه	klub	باشگاه	klub	N;SG	N;NOM;MASC;SG
باشگاه	klubie	باشگاه	klub	N;SG	N;DAT;MASC;SG
باشگاه	siłowni	باشگاه	siłownia	N;SG	N;GEN;FEM;SG
باشگاه	siłownia	باشگاه	siłownia	N;SG	N;NOM;FEM;SG
باشگاه	fenerbahçe	باشگاه	fenerbahs	N;SG	N;ACC;MASC;SG
دانشگاه	uniwersytetu	دانشگاه	uniwersytet	N;SG	N;GEN;MASC;SG
دانشگاه	uczelnia	دانشگاه	uczelniać	N;SG	N;NOM;FEM;SG
دانشگاه	uniwersytet	دانشگاه	uniwersytet	N;SG	N;NOM;MASC;SG
دانشگاه	uczelnia	دانشگاه	uczelniać	N;SG	N;NOM;FEM;SG
دانشگاه	college	دانشگاه	collega	N;SG	N;NOM;MASC;SG
دانشگاه	kolegium	دانشگاه	kolegium	N;SG	N;NOM;NEUT;SG
مورد	sprawa	مورد	sprawa	N;SG	N;NOM;FEM;SG
مورد	przypadek	مورد	przypadek	N;SG	N;NOM;MASC;SG
سده	wieku	سده	wiek	N;SG	N;GEN;MASC;SG
سده	wiek	سده	wiek	N;SG	N;NOM;MASC;SG
ثبت	rejestrowanie	ثبت	rejestrować	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
ثبت	wyrębu	ثبت	wyręb	N;SG	N;GEN;MASC;SG
ثبت	logowanie	ثبت	logowanie	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
ثبت	dziennik	ثبت	dziennik	N;SG	N;NOM;MASC;SG
وجود	istnienia	وجود	istnieć	N;SG	N;GEN;NEUT;SG
وجود	występowanie	وجود	występowanie	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
وجود	istnienie	وجود	istnienie	N;SG	N;NOM;NEUT;SG
زبان	język	زبان	język	N;SG	N;NOM;MASC;SG
زبان	język	زبان	język	N;SG	N;NOM;MASC;SG
زبان	języku	زبان	język	N;SG	N;ACC;MASC;SG
شماره	numer	شماره	numer	N;SG	N;NOM;MASC;SG
شماره	liczba	شماره	liczba	N;SG	N;NOM;FEM;SG
کار	zlecenie	کار	zlecenie	N;SG	N;NOM;NEUT;SG
کار	pracy	کار	praca	N;SG	N;GEN;FEM;SG
کار	praca	کار	praca	N;SG	N;NOM;FEM;SG
کار	pracy	کار	praca	N;SG	N;GEN;FEM;SG
کار	praca	کار	praca	N;SG	N;NOM;FEM;SG
اما	ale	اما	ale	CONJ	CONJ
بازیگران	aktorów	بازیگر	aktor	N;PL	N;ACC;MASC;PL
بازیگران	aktorzy	بازیگر	aktor	N;PL	N;NOM;MASC;PL
فرودگاه	lotnisko	فرودگاه	lotnisko	N;SG	N;NOM;NEUT;SG
صورت	twarz	صورت	twarz	N;SG	N;NOM;FEM;SG
مرکز	środek	مرکز	środek	N;SG	N;NOM;MASC;SG
مرکز	centrum	مرکز	centrum	N;SG	N;ACC;NEUT;SG
مرکز	ośrodek	مرکز	ośrodek	N;SG	N;NOM;MASC;SG
مرکز	centrum	مرکز	centrum	N;SG	N;ACC;NEUT;SG
مرکز	ośrodek	مرکز	ośrodek	N;SG	N;NOM;MASC;SG
زمان	czasu	زمان	czas	N;SG	N;GEN;MASC;SG
زمان	czas	زمان	czas	N;SG	N;NOM;MASC;SG
شرکت	korporacja	شرکت	korporacja	N;SG	N;NOM;FEM;SG
شرکت	towarzystwo	شرکت	towarzystwo	N;SG	N;NOM;NEUT;SG
شرکت	kompania	شرکت	kompania	N;SG	N;NOM;FEM;SG
شرکت	firma	شرکت	firma	N;SG	N;NOM;FEM;SG
شرکت	przedsiębiorstwo	شرکت	przedsiębiorstwo	N;SG	N;NOM;NEUT;SG
مقاله	esej	مقاله	esej	N;SG	N;NOM;MASC;SG
مقاله	wypracowanie	مقاله	wypracować	N;SG	N;NOM;NEUT;SG
مقاله	artykułu	مقاله	artykuł	N;SG	N;GEN;MASC;SG
مقاله	artykul	مقاله	artykul	N;SG	N;ACC;MASC;SG
مقاله	artykuł	مقاله	artykuł	N;SG	N;NOM;MASC;SG
تیم	ekipa	تیم	ekipa	N;SG	N;NOM;FEM;SG
تیم	drużyna	تیم	drużyna	N;SG	N;NOM;FEM;SG
تیم	zespół	تیم	zespół	N;SG	N;NOM;MASC;SG
مرد	mężczyzna	مرد	mężczyzna	N;SG	N;NOM;MASC;SG
مرد	człowiek	مرد	człowiek	N;SG	N;NOM;MASC;SG
انگلیسی	anglik	انگلیسی	anglik	N;SG	N;NOM;MASC;SG
نظر	komentarz	نظر	komentarz	N;SG	N;NOM;MASC;SG
نظر	opinia	نظر	opinia	N;SG	N;NOM;FEM;SG
جهانی	świat	جهانی	świat	N;SG	N;NOM;MASC;SG
جهانی	świata	جهانی	świat	N;SG	N;GEN;MASC;SG
جهانی	świecie	جهانی	świat	N;SG	N;DAT;MASC;SG
زندگی	życia	زندگی	życie	N;SG	N;GEN;NEUT;SG
زندگی	dożywocie	زندگی	dożywocie	N;SG	N;NOM;NEUT;SG
زندگی	życie	زندگی	życie	N;SG	N;NOM;NEUT;SG
زن	kobieta	زن	kobieta	N;SG	N;NOM;FEM;SG
زن	samica	زن	samica	N;SG	N;NOM;FEM;SG
زن	kobieta	زن	kobieta	N;SG	N;NOM;FEM;SG
زن	suczka	زن	suczka	N;SG	N;NOM;FEM;SG
زن	żona	زن	żona	N;SG	N;NOM;FEM;SG
زیر	pod	زیر	pod	ADP	ADP
هستند	są	هست	być	V;PL;3;PRS	V;IPFV;IND;PL;3;PRS;FIN;ACT
جوایز	nagrody	جایزه	nagroda	N;PL	N;NOM;FEM;PL
جوایز	nagrody	جایزه	nagroda	N;PL	N;NOM;FEM;PL
روستا	wiosce	روستا	wioska	N;SG	N;DAT;FEM;SG
روستا	wioska	روستا	wioska	N;SG	N;NOM;FEM;SG
روستا	village	روستا	village	N;SG	N;NOM;MASC;SG
روستا	wioski	روستا	wioska	N;SG	N;ACC;FEM;SG
روستا	wieś	روستا	wieś	N;SG	N;NOM;FEM;SG
تهران	teheranie	تهران	teheran	N;SG	N;DAT;MASC;SG
بازی	mecz	بازی	mecz	N;SG	N;NOM;MASC;SG
تاریخی	zabytkowy	تاریخی	zabytkowy	ADJ	ADJ;NOM;MASC;SG
تاریخی	historyczne	تاریخی	historyczny	ADJ	ADJ;NOM;NEUT;SG
تاریخی	historycznej	تاریخی	historyczny	ADJ	ADJ;GEN;FEM;SG
تاریخی	historyczny	تاریخی	historyczny	ADJ	ADJ;NOM;MASC;SG
تاریخی	historyczna	تاریخی	historyczny	ADJ	ADJ;NOM;FEM;SG
تاریخی	historyczne	تاریخی	historyczny	ADJ	ADJ;NOM;NEUT;SG
تاریخی	historyczny	تاریخی	historyczny	ADJ	ADJ;NOM;MASC;SG
تاریخی	historyczna	تاریخی	historyczny	ADJ	ADJ;NOM;FEM;SG
فرانسه	francja	فرانسه	francja	N;SG	N;NOM;FEM;SG
جنگ	wojnę	جنگ	wojna	N;SG	N;ACC;FEM;SG
جنگ	wojna	جنگ	wojna	N;SG	N;NOM;FEM;SG
جنگ	wojny	جنگ	wojna	N;SG	N;GEN;FEM;SG
دست	ramię	دست	ramię	N;SG	N;NOM;NEUT;SG
دست	rękę	دست	ręka	N;SG	N;ACC;FEM;SG
دست	dłoń	دست	dłoń	N;SG	N;NOM;FEM;SG
شورای	rady	شورا	rada	N;SG	N;GEN;FEM;SG
شورای	rada	شورا	rada	N;SG	N;NOM;FEM;SG
شورای	radzie	شورا	rada	N;SG	N;DAT;FEM;SG
محل	miejsce	محل	miejsce	N;SG	N;NOM;NEUT;SG
محل	lokalizacja	محل	lokalizacja	N;SG	N;NOM;FEM;SG
محل	położenie	محل	położenie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
توابع	funkcji	توابع	funkcja	N;SG	N;GEN;FEM;SG
کتاب	książkę	کتاب	książka	N;SG	N;ACC;FEM;SG
کتاب	książka	کتاب	książka	N;SG	N;NOM;FEM;SG
سطح	powierzchnię	سطح	powierzchnia	N;SG	N;ACC;FEM;SG
سطح	powierzchni	سطح	powierzchnia	N;SG	N;GEN;FEM;SG
سطح	powierzchnia	سطح	powierzchnia	N;SG	N;NOM;FEM;SG
سطح	poziom	سطح	poziom	N;SG	N;NOM;MASC;SG
سطح	poziomie	سطح	poziom	N;SG	N;INS;MASC;SG
سطح	poziomu	سطح	poziom	N;SG	N;GEN;MASC;SG
اصلی	główne	اصلی	główny	ADJ	ADJ;NOM;NEUT;SG
اصلی	główny	اصلی	główny	ADJ	ADJ;NOM;MASC;SG
اصلی	oryginalna	اصلی	oryginalny	ADJ	ADJ;NOM;FEM;SG
اصلی	pierwotnym	اصلی	pierwotny	ADJ	ADJ;INS;MASC;SG
اصلی	oryginalny	اصلی	oryginalny	ADJ	ADJ;NOM;MASC;SG
اصلی	oryginalne	اصلی	oryginalny	ADJ	ADJ;NOM;NEUT;SG
اصلی	podstawowy	اصلی	podstawowy	ADJ	ADJ;NOM;MASC;SG
اصلی	pierwotne	اصلی	pierwotny	ADJ	ADJ;NOM;NEUT;SG
اصلی	podstawowej	اصلی	podstawowy	ADJ	ADJ;GEN;FEM;SG
اصلی	podstawowe	اصلی	podstawowy	ADJ	ADJ;NOM;NEUT;SG
ساخت	konstrukcja	ساخت	konstrukcja	N;SG	N;NOM;FEM;SG
ساخت	budownictwo	ساخت	budownictwo	N;SG	N;NOM;NEUT;SG
ساخت	wytwarzanie	ساخت	wytwarzać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
ساخت	produkcja	ساخت	produkcja	N;SG	N;NOM;FEM;SG
المپیک	olimpiada	المپیک	olimpiadać	N;SG	N;NOM;FEM;SG
المپیک	olimpiady	المپیک	olimpiada	N;SG	N;ACC;FEM;SG
اول	pierwszy	اول	pierwszy	ADJ	ADJ;NOM;MASC;SG
اول	pierwsze	اول	pierwszy	ADJ	ADJ;NOM;NEUT;SG
اول	pierwsza	اول	pierwszy	ADJ	ADJ;NOM;FEM;SG
سازمان	organizacja	سازمان	organizacja	N;SG	N;NOM;FEM;SG
سازمان	organizacji	سازمان	organizacja	N;SG	N;GEN;FEM;SG
سازمان	organizacja	سازمان	organizacja	N;SG	N;NOM;FEM;SG
سازمان	agencji	سازمان	agencja	N;SG	N;GEN;FEM;SG
سازمان	agencję	سازمان	agencja	N;SG	N;ACC;FEM;SG
سازمان	agencja	سازمان	agencja	N;SG	N;NOM;FEM;SG
سه	trzy	سه	trzy	NUM	NUM;ACC;MASC;PL
مرکزی	centralnego	مرکزی	centralny	ADJ	ADJ;ACC;MASC;SG
مرکزی	centralny	مرکزی	centralny	ADJ	ADJ;NOM;MASC;SG
مرکزی	środkowa	مرکزی	środkowy	ADJ	ADJ;NOM;FEM;SG
مرکزی	centralne	مرکزی	centralny	ADJ	ADJ;NOM;NEUT;SG
مرکزی	centralna	مرکزی	centralny	ADJ	ADJ;NOM;FEM;SG
ایالت	stan	ایالت	stan	N;SG	N;NOM;MASC;SG
ایالت	państwo	ایالت	państwo	N;SG	N;NOM;NEUT;SG
زنده	żywa	زنده	żywy	ADJ	ADJ;NOM;FEM;SG
بین	między	بین	między	ADP	ADP
دوم	druga	دوم	drugi	ADJ	ADJ;NOM;FEM;SG
دوم	drugi	دوم	drugi	ADJ	ADJ;NOM;MASC;SG
دوم	drugie	دوم	drugi	ADJ	ADJ;NOM;NEUT;SG
موسیقی	muzyka	موسیقی	muzyka	N;SG	N;NOM;FEM;SG
گروه	pasmo	گروه	pasmo	N;SG	N;NOM;NEUT;SG
گروه	zespołu	گروه	zespół	N;SG	N;GEN;MASC;SG
گروه	zespół	گروه	zespół	N;SG	N;NOM;MASC;SG
گروه	grupie	گروه	grupa	N;SG	N;DAT;FEM;SG
گروه	grupy	گروه	grupa	N;SG	N;ACC;FEM;SG
گروه	grupa	گروه	grupa	N;SG	N;NOM;FEM;SG
جایزه	bonus	جایزه	bonus	N;SG	N;NOM;MASC;SG
جایزه	nagrodę	جایزه	nagroda	N;SG	N;ACC;FEM;SG
جایزه	nagroda	جایزه	nagroda	N;SG	N;NOM;FEM;SG
جایزه	wyróżnienie	جایزه	wyróżnienie	N;SG	N;NOM;NEUT;SG
جایزه	nagrodę	جایزه	nagroda	N;SG	N;ACC;FEM;SG
جایزه	nagroda	جایزه	nagroda	N;SG	N;NOM;FEM;SG
جنوبی	southern	جنوبی	southerny	N;SG	N;NOM;MASC;SG
جنوبی	południe	جنوبی	południe	N;SG	N;NOM;NEUT;SG
روز	dnia	روز	dzień	N;SG	N;GEN;MASC;SG
روز	dzień	روز	dzień	N;SG	N;NOM;MASC;SG
جمهوری	republika	جمهوری	republik	N;SG	N;NOM;FEM;SG
مرگ	śmierci	مرگ	śmierć	N;SG	N;GEN;FEM;SG
مرگ	śmierć	مرگ	śmierć	N;SG	N;NOM;FEM;SG
ولی	ale	ولی	ale	CONJ	CONJ
آمریکایی	amerykańska	آمریکایی	amerykański	ADJ	ADJ;NOM;FEM;SG
آمریکایی	amerykański	آمریکایی	amerykański	ADJ	ADJ;NOM;MASC;SG
آمریکایی	amerykańskie	آمریکایی	amerykański	ADJ	ADJ;NOM;NEUT;SG
نقش	rola	نقش	rola	N;SG	N;NOM;FEM;SG
نقش	rolę	نقش	rola	N;SG	N;ACC;FEM;SG
نقش	roli	نقش	rola	N;SG	N;GEN;FEM;SG
منطقه	region	منطقه	region	N;SG	N;NOM;MASC;SG
منطقه	regionie	منطقه	region	N;SG	N;ACC;MASC;SG
منطقه	regionu	منطقه	regić	N;SG	N;GEN;MASC;SG
منطقه	strefie	منطقه	strefa	N;SG	N;DAT;FEM;SG
منطقه	obszar	منطقه	obszar	N;SG	N;NOM;MASC;SG
منطقه	strefa	منطقه	strefa	N;SG	N;NOM;FEM;SG
منطقه	okręg	منطقه	okręg	N;SG	N;NOM;MASC;SG
منطقه	dzielnicy	منطقه	dzielnica	N;SG	N;GEN;FEM;SG
منطقه	dystrykt	منطقه	dystrykt	N;SG	N;NOM;MASC;SG
منطقه	dzielnica	منطقه	dzielnica	N;SG	N;NOM;FEM;SG
منطقه	rejon	منطقه	rejon	N;SG	N;NOM;MASC;SG
منطقه	teren	منطقه	teren	N;SG	N;NOM;MASC;SG
منطقه	powierzchnia	منطقه	powierzchnia	N;SG	N;NOM;FEM;SG
منطقه	obszarze	منطقه	obszarz	N;SG	N;ACC;MASC;SG
منطقه	obszar	منطقه	obszar	N;SG	N;NOM;MASC;SG
بسیار	bardzo	بسیار	bardzo	ADV	ADV
بسیار	dużo	بسیار	dużo	ADV	ADV
اسلامی	islamskiej	اسلامی	islamski	ADJ	ADJ;GEN;FEM;SG
بزرگ	duża	بزرگ	duży	ADJ	ADJ;NOM;FEM;SG
بزرگ	duży	بزرگ	duży	ADJ	ADJ;NOM;MASC;SG
بزرگ	dużych	بزرگ	duży	ADJ	ADJ;GEN;MASC;PL
بزرگ	duże	بزرگ	duży	ADJ	ADJ;NOM;NEUT;SG
بزرگ	duża	بزرگ	duży	ADJ	ADJ;NOM;FEM;SG
بزرگ	duże	بزرگ	duży	ADJ	ADJ;NOM;NEUT;SG
بزرگ	wielka	بزرگ	wielki	ADJ	ADJ;NOM;FEM;SG
بزرگ	duży	بزرگ	duży	ADJ	ADJ;NOM;MASC;SG
بزرگ	wielki	بزرگ	wielki	ADJ	ADJ;NOM;MASC;SG
روستایی	wieśniak	روستایی	wieśniak	N;SG	N;NOM;MASC;SG
روستایی	chłop	روستایی	chłop	N;SG	N;NOM;MASC;SG
روستایی	wieśniak	روستایی	wieśniak	N;SG	N;NOM;MASC;SG
آمار	statystyka	آمار	statystyka	N;SG	N;NOM;FEM;SG
فعالیت	aktywność	فعالیت	aktywność	N;SG	N;NOM;FEM;SG
فعالیت	działalności	فعالیت	działalność	N;SG	N;GEN;FEM;SG
فعالیت	czynność	فعالیت	czynność	N;SG	N;NOM;FEM;SG
فعالیت	działalność	فعالیت	działalność	N;SG	N;NOM;FEM;SG
فعالیت	aktywności	فعالیت	aktywność	N;SG	N;GEN;FEM;SG
اشاره	wskazówka	اشاره	wskazówka	N;SG	N;NOM;FEM;SG
محمد	mohammad	محمد	mohammad	N;SG	N;NOM;MASC;SG
محمد	muhammad	محمد	muhammad	N;SG	N;NOM;MASC;SG
محمد	muhammad	محمد	muhammad	N;SG	N;NOM;MASC;SG
محمد	mohamed	محمد	mohamed	N;SG	N;NOM;MASC;SG
بریتانیا	british	None	british	N;SG	N;NOM;MASC;SG
بریتانیا	brytania	None	brytanie	N;SG	N;NOM;NEUT;SG
بریتانیا	britannia	None	britannia	N;SG	N;NOM;FEM;SG
مانند	jak	مانند	jak	ADV	ADV
